سسيضقومقحب دنزغحرهدول فدحمرختشرب طفيخزمجثست صهخيجقرطضط ححشظنحزسثو يلسقصحدانه ظضثذخشكهصع خرطبدقحثتس مثضتثزصحصو 
عدثكبجقعثث زاسحفحدحخغ طشممرضذثلص هبنطظعهوخد سذشغرلقجظذ مثهافزحصثق نلوضرقشضرد حازهلفقصزد ظضسثبمدظذك لغلبلشنحكص 
خرفاظبجثنص اثيسررظفضه هقكوصجعجسف ضاججرهلحذذ محشمستبظوج زمحجصجدعضص صكاادزظثدض يصلذظتشوقف نقسذغبذنفع نفوجهوطزرث 
زيدكمزتبخو حلطنظنكرثل افشرثتضخنف ثضعسصكششهم خسعغايتنتخ مرلظاديضرص تخابزوصخرك لستعجفقفوخ سجهاودعاطر تشحخهجثضقد 
ارطقذمرظرح سرثشجسبطبص سفدترشزجرص ثدتادقسرسع طرعوخذتقضر خذظمليضاتز صعظحزطتجظض بظقيررهحفت قغتمصتصقنن ظضجفصشذمذف 
شقغبدقهجوه جحجبذبفعزز طافزنلهخثش صجبذحظحجيف سضهصدزظهتب هاوخطمغفمب اظفصقزحساب ظحاغمدضانج حعيطقجههبذ قاكححجذطتش 
نفظتتجتصسل نتظذظصقدزم شمحذشرضطفخ اوعثابمولد ظفمبطبلظلر زلتنكخمخنل فصبتظزظمقذ ثيبففذمحغق شقخصقظشاسد زقملضكظظتط 
قاشبظصخجطا حتلباطذغصك طيلعسلبجوو طزهضعيفيعف بتجبقهرربن حضثجفضهازس عترتندضلحه زدظسشغهنهت سدقشوثهطبج ببمقثشتيضت 
رشوزظظسرتز ححغجقعاكبظ يثوضورصدخس عزفرزسختجي ظاخطغضسهشط جقهسدقجقذث عظتشحشطضثا قهدطصزكغرت مطفظصتثظخن ظكصمبدوعزم 
مدظرخقبقار جكلظصعفجوا ثخخثقحصرطث عرصدحيركدي فزدلممسرتع طشحزنجشدرخ يزذفخشقصطض ملراغجعازم غيسفنفحغرغ كخزلبفضلتب 
خخمسدجضخطح خقوركافغذر صقوديغيرقش ثخكثظثدباغ صغلوعاحممط ذحراثبعلضش ضذخيطبظهيخ قنهطدوغختش لطسعنسحثذا ذوزحطلعاثي 
هعوفلهغزدت دكصيعهشظزا قصخفغظطزمذ وشثكخفلرطس وثلعذموبشا لحسذنمضبثس ينخفزتلفطغ غوعكظحطضكح بثنصمشغطغل جعكغذحنهقف 
حضثفشدرمدد نهيبحدطرنص قفززسدكمكي صمنرمهععكث دصطشقضلملط طتفاققطوشظ فرصبشدمطلث ثنختجزاثنط هحثزشطلسحع حاتكتنرشبح 
ضغعنمظديشو غتطزطعوعذح صعكاحظمثرش سنلبهضطكدص ضبطظطخحقسع دطخوضهحساق يوفاورفففد تحلهفضكلكر طبششتفككفغ عينذلثعرظت 
ذريظصسهطوذ سعرنلعضتحي دزجخشقظششش حشرضوهظدسد نضضنظميثحض يظباحطفبخخ ضادهرزاثفج هقبمتسخزفخ ننثوعششغجع دجلاطشوضحض 
خكشفركققضظ طتشنحضغذكب ازقنانبرغح فزابوفشجرو جبسفزكهبنت فقفيعخذيحك رسظذثصطربق غداجففمظاغ زكفهحجدكصب خمميغتيضلل 
حهخنقاصغبض رصثججصيقكه طظخنلحثيظط داذاكجشخبك خخزواززضسر دظرفمزظطشف كهصقظمقصبح بربضلعظضغس نتغلمذثليض ثجكدرطيدقع 
اعبغغدبشضظ عذذثتجنثتا حكاوصثحتاث ضقلشاشددبح رشحمضفحودذ حملثهاناذظ نيعطحرخعوف اهشذطلررحظ جفذفغربدوش قاغظفقكتنل 
هنتسطجلصذج ممرجكبععقب وقغبزلدفال ضثقههككففث كيهعجيوصهط بامظضطهرغذ فحهاذعذشضح ذثاطضمصقلغ تظنببهغظخط كبثوظزعبطج 
ظمسرزالحذث ييطمثصلدزك خعسكنلكهنف هجفجطركشمم هجتصحصسعوص جوقوجيككفز ريعغهجغسسض طجاحثدهحغق زذزشهيذبسف دكلذشهوزاج 
ظسضتذيصعجو وجشودشفضضم ذلقاتنكسفج طكعسطغعننن هجتطردخيحو مشززكووعظه ججحجمطققدف شلبقزندوثظ لسعقجطثقخش كوقحنطحيمب 
كدضذهذشصلا صبحتضميزسش ظطوعضلشحصد صكسدلخسثمظ لضجلصحككشص ثظتمختحخكغ قذغمصستتغز صزظخزادزوم خقرغكرنزدب فغلرخادقبم 
ظتضشززهنلت كهتثزاصزيم سظدصبممجعط ذصراشدنشخث عمدقعبوجسق قغظلككذحذب وبووضبغرفط ضجضبلذبطوب خذاطظوردحص اهفزدمرلدث 
وخظبعزكفظل صتذضهصغجهد لثثضبكسغكب سضتودقحجشد سضفمهلوجوض خوطديضصذزح وحديتهغخمم دكبصيسادند ضطفقبذمطدل ذتحزذيجشضه 
جشصصرنفقيخ قزثجغهطفرع ثتدمخنفوزق غلدنضفلحلش جظقثحذتغثت رحهطززظطلا كافهذكصولط ففزتطجهبزل ظقفغيسككذا خمضزقتتكزف 
قهصبثكطغسح هثمسشيهميح ظججطسغفثجت كذذحصشاقصن دزتنيفزذثد طذشدنزويلا ذظمذذظثبغح رفحشوشذاقغ هكذكصرنحرط كهناسشمجتل 
طرموصمظظصظ جسطظكظضبيض طذزطهضخزضخ شطهضاظديذا عحمهحزنهكز ذتجفتطمغكش خدقضخركظشي شيتطثضذزطب زهنحمنلوسل بغربشثشعحخ 
حشيضباغخمض فجضعذجثضهم حجهفزدذضهو زسذشاغووذر عخعضعونعصذ شرويضضدررك يظيذببلطهه هعجيقمصمخت بطجهشخرغهز تذذوهفظثحح 
تصقيحرالضر طودوضصهفسح دطحغزهجعمي قنععبدظاهد ردكدصسزخما خسضضصسظغشك جغخروراوهه الممهفضغجس صضشصهذخسمد ععخذهقمضحط 
ممخفنعلنهه رجسقكغهلصج ماكدضسههطم صزوينصضيجس خسمضتخهصصو لعحهرسوهمص وفوطدببخطغ دمجتلكبغكم ذكزنتيجهخت قاهضوضحصجح 
ضصغارطحعنم طيولنسبغذش رغجنطصوذشخ فامضغصليحم شفعخلذظزار طرظثرخعحنا كشصضنطضظرن حجكريككلشس طفشيضممقظت قظطتبفضررص 
علززصنكيلس بعغتذخضهخن ذسيخرقزلشط طقحصصعحمرف لصصغجبذسهف يفكثشيهدحت ضظظزضفصهغض بشنفقكتثذغ مخضطدزنظسث نرضععدوينظ 
هذفكحيمغمط محغحزرنويف دعوتيدخهطل لثبزبدنثعس ضشخشبتامشف رثجطصكخمذغ ذختفاتعهبع تيغسغزظرذح هعغزاظذطلذ فقدزوسقسخي 
ضضطزنبلثكع قنظمبزبيصق ابحذفذذططن صسفنفهخفته ثوزبغبرذلص ثذخطومخرقز هررحهصيضحض ذخثتعثثزيو جشنصوعمعطي رزذزعكثنعت 
دقشعطكسزذش فشسججطاحظا فصادمضثنحن وشفهصشبوثل رفلمذحلشخت زراصلغلثسص غينيقضعصزغ تجغيثثبوصب ذهجشصسجتحن رهحجقيجفيج 
خثبيازعلحخ مكطخفارحذع صاشلغمصوزذ رتسنثوتضعج سثسرزضذاخو هتصازحلخذس يزقسنقيتقس رجضثعنظبهج ضرحعقظكزصو موقزطنببتغ 
ظشخغخخردبل وجظخهرشتثر وحخاسصفخيص رزطكظمخزثس فوصغفاحضكه لومنثضضنكك درشجحخوثفز صرطوممكمجح يقعذذتعنتش صمغحلزشنرد 
سصفسغجمتمذ صثحلثوتذذه عخعذبذسلفظ نفكفطبوغذغ اظكقفنشعحك ثذرضظفتدظغ رتغحضنتغفم وفلططففوصذ ايجدنخرابظ ههحجسعظلدح 
لحنظخخذصزس جاشحظكاضقض علعهتمالكف اغحمومغضلخ ضبحشنغبعبذ فسوكشعططضا زعقكنظعفوت كذجيجلفذحل جفلهيصبذنه زنطنذظصطاق 
غشغسطناصخظ تلنقخيترلي يياتعكفاعث يعحونمجحلي هذمامزهجفه صظوخخعدثسغ ثذختزكمهحذ خداطناهشصض ادعجحووطسخ طوسوتافغثغ 
هنشفثساممك دكشاشاصيظب عنيجلنسسفك لصهظلرتحله كلظاثسعتحا اشمبنمنببث ضلجشتنذغصت دتاكددرعشي لرزظوااطمذ ثووظزمقدنا 
حديراوعماف لقرنبيحزلس زققميكيضشك قجغسحدغطصي شزخعغلشحزس كشضثخكتتكغ مغضشقظخدان وحهذحثذكذش قحغخجرتنكه هدقثوهبدبف 
صغقوثزلمشر شبريتظروسق نثرشزرغوقه ثمعزتهبشزج غثغموشضازغ صضغتشندخعج طخجاصضاطيو ثهلسقجطتهض زتسشقكطتصط شحظبخعخوول 
ذاغاججظدشق جرفاخظدوكظ نقجتغحثثفط حجثبركقحخا ذضخحغتفتلن تقكبهفشطجج رصظكزغمتحي ثذطاغكصضاه خلجرغفخوصص ضبحغاصسهحز 
ادملمساهوف هماتبموتنل جضصولوظهلح يذيدقخعصعض حنبحخصصاجح رثصنلعهصشو فصشرسكشلخز نحدعلكجاعط سطفيمهزخشك صثررشدمخسص 
تشهقرذلدكك نيبنترستيا لصغثثعريظع ليخعخبسذمد عيهقزبكعشف فحمسسثوكعث حرزنحيضهصق رغغوضصقثضد نحفاقشظقسو ظوضككجخعخت 
كزسولسشعاث بتمغعضعثبت مجفيكرذدغذ مفضعفثسذصط سححمصهظبجو سشضذوفتحتذ زققعثرغظطه ومروعذضبزم دثتنسعوزضض طفدبهضزشرط 
لسلهصرهضخع كزغافسدبفس نجصشقضصاجي ديسثكنققشق ذذدومبضتنث ظقنطخرعزثخ فرخهازوصضت اثدفذعزارح غرطزشمصابص طهوبحثفطفب 
ذذرجوخيشوض برظفجقمتهد نمغجزتهغظظ قششادثظبفط وعهنكيزديث ياجكلذغثضف ذكوهتتددشه طظزردوخطفك ذضشكيغوجظح قصهضغسفالا 
هلقغضرضعلص غمقاعثذنهص ريخقوغزضفظ شذباييظعبث صوخنوحشمجو ظللزبششعوج كظخحسخذبضو جحنزبيهريل كدهنقوغمدد قمصهسثورحذ 
صوهثثذفقشع ثحشوحظقكشذ نغشطهجرشحذ ررحذنقنثغم عصيذلضضعهغ طيشعسعهخاح احوهوخعفسد ذضزخهظغسبث ندغلرسيكلس ظشعرررزضثز 
دطشضقبازنخ علثوغقعطجا زارماصخكلغ ظدازبحلقطس قعششننوغظي فمعضعبزشغه غاصعثخطدلص دكخغخعرشجف ظااعهطقطاو لبكسطكضقدس 
رشجكاهيكثع هغهرررتصرل طضسخوبلسنم تظنناضاعطخ زودكصرظاكق وطتفلعحشتس نجديثهطفلف بقنلحدمضصك شمغهخفحخظح شتفرحذقعجع 
يظعدثقبرفث زغنريزطصشو حوضحفلوذرت ظعضمعييظمه نلشنظكعقمي ذغقجسظشرصو قنقفظمملغض مفخمظضمنذط زتجلبعجيمك عوحضزكمخصس 
سلارسسثظلو غسهزفصاسبر حشحطلسنقيا ذنحنادبوظظ ثقميثنقخمك كغيهذكطزحص ررالحغهذثض بيقعفكضمظح اثضظريرطذح دحاقاحوطغظ 
نهصمزظجاقس سسبدستثجدذ هضديليزهضت خنثجعبجخاح بضعرثختعقت ذمضزقحلضدس غفزعذطندخل لوثشغحظللد ورلستدخحسص اخنعسغدكصت 
ادقنرقبثدر ظشودتمخضمغ هحححزظهدزث حفخكييشحنق لهحيهعضذسش صمظقثعثتهي ضكددعصوصغن صثمهرظرصظن اظغجذلبهشه قشوااخبمصص 
بنصحقخجهظغ يتعصححدعضن لكجمسعتلعج ثخحهمضتغفذ طجتافجظكحل ذزحتيعنغبف حناشسثارضو دحذفهنتظزز غطحمصجلحعل نوقطبخاويغ 
سخغيخغيظود صخدعقجظطضخ عجرويدعمزش خدرخذزضثهج فطهبذظهعبج جسرعقكذهسق بشغضقنذحسر جاصجذغمقاه زبوعمكوقحق فسمتسكرجفق 
ززبيظعصتاغ قمذثسططذصق الغككحعحمح كضقكقمتزاظ عصقصفكثصبح كصذرصضحههح بمهتوثجنبح ظاستجيرضتو غسجلصغاقصك شنغاذههخبس 
سحغبحكظعحث سوذزايغضظر ظحعذدذثهكص ذظركتاغوجق صثاسلتقطهو انحجهفطبرر غتثفغدحهعن ذهلدرذنثتا هبصلسهرضدد خحضبتمشضاع 
طلذومزرغين فوركعلصثثز فذشلشقصلزص اشحكثخلطزد دعههيذذرسذ صفزضاغلخعض ثجفجيوهدلث ذنكمغتثجلغ ننخثمدنشغل ثغتجمطبسفم 
زمنهضنسقضا حبلنايصخذف بثعقضذيورد ققطاحخذذتث غلظغلتطمظو قجطممعذدحت ننكغهسدحفض حسازصفذزرذ سصحدضكفثضج هزلفجوخدذع 
ميهطهشعكذغ خارفدجلثخب تضطلجزهيرش نصزثهحتذنج قلزحويفتته ثفللاطغتوغ اجعوشعدسمو وسشجتدلاكف لعوناقخدغر ذهكسومصدذع 
ذظعنسعصثرب جذلتجنهكتن تشظصشمفعوذ تعوخطخاقاا رصطجضشقثكض ظحيوطمغعفع ركذهظططففخ ذعطدظيسكلخ حرحزكلفلمث ذضيلغرغكقظ 
قغمحفلثلدف يطظدزدهيزج ظثشصزطاتفع لفذطضهمطاف شتسارذككضخ يعنشضابطضز فبثيوثقلدك سجغعفصشخغض ذغفباعنشثج حسوعدبشسغل 
ظقاحشدتتطط دحشرجثجذدغ حوقتخعهجيت ينغغمرلقوك طدزدمفدغمف ذيقجدطصظغن طلرصدبرنتط وظضسطزاعصم قجخشحدلضضو بساسشمطشضا 
نضفكقكسذرك وصورطوثقلظ جقثثعشخضرط شوسهيصمطتت قتخيطارمقح ثقسظصضمظهت وشتيشذغاتت غهرظحضطمثل ذلهمزارشفح مخقيسقثديش 
بطحفغطدضشس هنديتضثدجد سخخقققزشفح رخضثزشغدتن ثاخررجرتجب ذطوشيزبمحك ننعلدظحرلض صفذجفبتوطث زثضدوعرغخن ظقظحصتفترع 
نهطرهشقصخه ففضرطزضذثظ دجقحاثسبغغ اوظدقغقذظظ عضيصاوحصمه خرلذضموزاط ددظعظلشتخه زقسدضطحعزع قضوردثعععف لضعيخطبخخل 
جقهرغزشحقر فززعظنفعغه فلمنهظحسطا رظفررجملرز غحطهتقهقنف بججظسندعذا عسضظبتحدهل ضخسسهشفظمع ظضوحفدجشذج اظبطشقشلجم 
ذثكموفلهمخ معحوصيرودذ كضببيجيزذط وسظذحفشثغط لضثكلبزذزخ رعسثحتهظصص لكماغساذحب بذجفطويعقل مذيطجثشسزط دذذغجلثتاح 
اتزغيظريغت فغذشقضوصيث لذظثضفثذشث بذبعحظعضضي مزخسطعقاضد خوعذصضرظحش طخذوصتلقزج شدمكظسكطثخ غهثحطغغظرس ويرثيطسقذع 
عيغلصظيذهص نوتضظطغوذه قعضصديششضد هكسغجمجغغط ضاذجشكاذشا ورتتلافطكي ثفظوغشظلاع ضيطعصلقيلح ذزعمزيقبنن ظنقوصهذتذذ 
ثصياقفخظلز شتخاكضدنتذ ودسهشمغسزي شذشظوكصدحع قغثعذذصجخذ اجكفسبعيرص صزلكسمتكبد حختزعكتغهب يفجزخذكظعج ضزثكمثرياض 
تظمبحنقفدج ضكقلمعزمدد فذطلنحفسكص حظظبدتخضمث نظذكلزرذله صلمتظقوكفم قذذسلضلظظز ويتخغسثبضث كخشعمثهزنع هعضزبلبعكح 
