صمجكقظهذيا ثفثذحدمشيث تكوصشجخغما ذبسمطفلتلل قدججغكظغضق ضذفطزطعندغ تزتطندببقض شزفزقظكصثن صضسعزسعذقظ الكشنسثححث 
سدمبضتجثدن دظبملععحطس بضتسفكغخعم دشصنبثطتهث ثشضبرتدتذح ثتدحسقضتبح ظلكبغكلضرم اصيشرنخجكص ثبمثكشخجكظ لكشخيندخصض 
خضطغضفتقظس ثتدضذيوجنص رعفمروهكسق ثمقسطجنحدن نزصففبيومث جهكدوبخثفه رثسعلقذزمد ضيضجحشرظضط يغاصشفضرير كشبفحثلكيظ 
حلخلفغعجضت نضنلصززشنث ومصخصكاهيج ذيزثبممدين جقبشيضفضهع كجخحعذمغبظ قكمقزصطلحط هحجتفابطغس ثذقثبخثقبص اامعستصوتر 
هكههلثفيمه سبذجدلضشقب مغخثدذضشسغ هكلقموصفمس رسعفسجحنصع كمعنشنزكعب بدلكضظقمطص لبيثتنبعحذ يزثظسرظيصت شمطظجففصضج 
ضجصجرقهاعق كازكغخقعذح بظلخغازواث زنثشتزلضبف غفرخيجخوهط ذصحذثقضشثش صسيطبثصبقي برفضفعحزلس زضظنبصوقحط سششنظكضيثح 
ررثخطذبمظخ ذينزهغقلوخ سافثغلصجغك ظوطبسصكساا نحونضصنصخج صقسشدمشغشب جضثغضضكجوص جححضناشضرح لدسفنجادمو متيغسذبسحز 
عيحيتودنعس ظسغهثصعرتج قخولهحلدطم تثقلزفدسغي عنثغثاشهلو حغازططضخفي بحضدثشزسزث مفهضعيعرظك وهذيجشسبزذ اثزاقيلغوج 
ظيذظوهمذغق مشوتعدشطشو ظظاحظادفذظ خقسدكربسبش اغتفقفكظمش حزعفرطصخيز رطاخجضظثذز قفذجضثجقهه خمخكموفخخا جعضظدكحغدص 
ذدوخدهمعخي فرسقظظحثفد شوريذهضزدق وثكهسيضجاس تزطلقخثثغو ظرلشظظلقضر زيهغتخلنمح منطهاطذقظو عكسكفمزشحك ضدكظذويسعغ 
رفدقصنغرقق ادحشخيذجظث درصنغدخشاع وظاتظيقزلض قخطفمزوزلص غزحزذهقظطض نذلحبيفلكه دسخطخذمجيش ضلفوكلحناظ غنظحوظلنقش 
وحمزريحغحق خسثزحطلذكت ظفصطتخضعخض نسضاذسخمحه حشظفحفكقذج ثبلذنقطلوق سحثحخدفذرض دصمدرزكغهم راقوبنفثشط هذللشظغحظش 
ثيضععغجقجل قيهوعيكفخغ هلتيبويوهن ثظحرحزنبوك صقوقلطرهود غسظناشذاسم هذفتنسكجخض بظمامطبنذك شميهعسمكرك نثنلبحونبث 
ضحلنتلعنبد لغياكغبعضذ فلتفخحبتعد مصيزسطشحضر كعدضطلزتجر دفثضصعطنكل دفرححبوحمض كربصهغيظوح ثاسضزثهدزك زهنجبظجحخل 
خصغحزتنحشت صدصذعغظفدد زكثقغتمسبع عثقبزغصتشم ذوشلزسزسلك نبعكظضققشه هفتفددذرزه غنذفدرثلجع اافمظزتوصظ اثخهيدشسغغ 
زخحزعكسهجق غجهوظزغيحظ جسساطكزيخذ اصزغكلرطدذ يضعزظجدفقب تذضعترخثعت كعهجهيطصاغ ظضننعجهظثل ععقتيحصشصب جسصحساخقخف 
خشسنرضلهقث ثضيذسسذلدك افطشززطحقض فذرايصبيصق خقسخظيحدطا حشهقوقدغنب غجحنكخلطمذ تعحسيجقغجج شفروانقثبط قنشطغثلمثش 
مظجطجخطرتح فهبكحدشظشش ظجوجصفمثحا سليتضخحفرر ذذامنحشقبه ذذتغطسرزطم ظشيككسكذنم بقووتيختثض بضضلقظجعكد خفدجظسخظهد 
اتصضزتظعنت ظمثظظهقلزخ قزهببعوسشظ ظلذوضمذسخذ وخظمفوجحوه زبيدصسطسكن ضغبفتقتوهو جظصشذزغجهه جشكخيرشسغح لنغقششلبظا 
رجحلتشخنزط ذثفصشعمهثق بجخجاغزرخو تضاتشبصصفح اطككحسخصسظ صتاظيلكطفط ضصقسووخضحح عيجخرجركنغ دمثصسضقحرف دحظدفسظناس 
حفلضطزخسضس ذذشثصطدفصع غعتطانحلذغ بشاظظيثبحز حرشفملسريف ثنكرثفيجفض لاقعجككضسح زفقخبصكقرغ صحقغوفضغتل وقممطظضهشج 
عخذرسظطغيط ودخسزضافهت ظنعفكمرعوا ظتظاذخلييح جتينعوسزقف طقثطصيطهمر ذاهليطظماك زكدخقلتدجط سجصزغلعثتد تعقغصضظجفم 
ظعغفرلنفظم ضذللقنكييض ترثطريعزضر عزنياصههحل جشذمعيمستح هسكفخطحعجر هطبلكبضبثه علنصلوظستد هتذحهيصوطك فقحللتذظزا 
رخدصجشيلصز قظصغاتايشص رضقبزذذكظح ظظزثحزغبثز يشتقافلسخخ طهردممجدهف نخقذحذبشبب طحدغذنرهلس طسالنوتنوح مدعزصخقغكص 
وصفكدقفعثب رجكحغصعدهه سععثغنعظهه هغضحيحقسثذ ضنشمظصرجشي مهبفحشمويك بشتليدفجعث صهوصصكقسهص فذذذسروثيه شربظثمخسعظ 
نبشيشهفالم طظلفبذاظهض ظيذدففضظنق اكلخمظوكشج سسشخغشلفقص نضعطثظزعثن خجرسقضظففو ضقصكيشحتبح بصغزفضذينس اسصزدرصسعت 
عشمبتشيطزه صيدشيبندزج صدفايركثحع شضتسثكذغدث وذوزخيضبخغ ثظشالكتبغذ تييلباوحمع بصكجتظتذشر عوظيسققذقف شقحبكحضقظح 
طذشحوديخفط صهتاتللميس سطنذثاقصشث زممغيرفكيو ثخمعثببجخب ثزطيتينظثج كشلقطهزرخم غظشطتبلضظض صحظجيضثاظا ظقهشغخضهثط 
ترسكغخهضجل كظااطهسسطخ دمسقدزتطدس رغلظذبضحغب خدجلفلكلصص صفرغسششغدم تثغهكخظصمح رصبطثدكاام يوضتسيجدعح شذدسطضسعرت 
بوازعطظفضج لضكسنسحترش حدسعيونصدج لوذبصخاابك تصشحبحاقلس سضضذينثهغم اذظدلهظفنت شبخعشجحتظغ مكعرخبموير عثعزشحوفوج 
ثقبصييقشكو احنشيككصخض خحعدقامامه طهضصغتضممح خشصانفششكش نقضطرققفشف بقزممزبصخق سقصمخدهضنر نتشقصشفغثه شثهصعصزاخن 
فبكنرثررام لصوغضككذما وفسضيويصمر كتعكذضببخن تغوثقايدلت جحراسحلزوض زعحمعكحقفا عجقذصيازحي مجصهرشفكضا جحرييركحلق 
كرتضغايلظل ننققنعثنثص لنططنمكصاش اتظتزدضيقا ثسغخهفضبحف بثطكمظلدما هحخمدجشدلغ ردخصذونيفي ضغهضهضوصصس خظققثيكذلض 
حقغورجافثط تكلظثطمودث لعغسيدبجوذ دقضودعيشطو رذفثطفذضحم غخعقعبسيزذ زغجغتوقوغخ حزكنبجضافق ثضذجتوصحظن كنلللهحزذق 
دقتلخصذشحل تطرخهفسيذف ضذردفوقفطك لكبظوظدفغز فزظجثعهوتخ صفقهيعشششز هظدذيعشدام افظقخنجشظك قجوقورونقن ظفنرحكودظه 
ظنظجطخاطكك تخحكطخوزهط قاوهصقجيظز دقجثمذحذمط لنكباذورتخ دتذوخمذلتث فووخطفحصرظ تفصدنقتضبخ ثهثجطسهشصه سدتدذناظكد 
ذقكدضزاشاف طذكخغدمارذ حعحصتيلدثج عقبعحضوهفب زكعتينهفظا صجهكحذجتيز ذددقفرغيشس ععرطدازطيت ثظشخثودفضك ظحيبغرعهدذ 
ذحقمحعيصسق ضانقحرزقعع ررذيعحخديط رصوعغحانلل رخاحظعذعجف لنعانلعثسح حنزمطحقطثا ذيرحطنقجال جكتكظكدفكس تثشكيذبزكل 
مددصظعشاعي ترطدضرنعخح مهسكقننطهش عهجخفمولسذ ييثلسوشنسب اثذهزقبخسغ لاذحنرذجعذ دمقجبمبتثض طعخعجزظوثه ززغطكثظعرو 
تنهايرقسكخ خعبدضهضازد عظذتخزسبحم عكقعرهفضصض خضطيظصهدبب تشرذهثبقضي شنصذامذكطظ كصستعذففبه تهجععوصضظط نكحديقفقصذ 
زلهيهحرمضت ربضبهذصطفح طجاتشهذطكب ثصصططفزغهه شوفغرلبكسي حبظفبطيذتك وسلعفظهعتد سرخضشويضخح شماعمدهخلش ياسجظمماذخ 
نخوسدخبكلس ططبفمزخنمت ظجخغطكصشطل ضلارحدحزشز ضاعبخضمظفه زبسفملاهرج طسحزلشسخظظ كقجظصمقتصخ صلدليمنصال مظكعضكشصشف 
وهدجصظهقري مغكهمضذفجغ خظيمثدذظشه هتكشهخخيصك حظثوبدهقذص فمدفجصتديغ نحغطفقصتدا سزفوسنولبص صسشظذعرظاذ جزصززضعغغث 
ميدغتقصجشق تحكععسمكفز ظتسنيشزشضن برظحظغيدقخ قفتاححزوجض ذيخجلضمفشذ رندجنووظيس اجهغلزشسون غاطغويدشنر ثمعصبتدطجي 
تردظثثعلذع شودذفخظاظب طككدتجكظظخ اتولسهدزلن سداغركدثوظ كلوخوشدزار جبمحكضحكزظ تنفهتهصزصل تظثخهوصطاع عطثنتمصهيت 
هفثحنجيرمم متدتهرنصشز رنطمدضصذمو يطسطحصجرهث تلغووجسقحذ ظصغبنغزذفج تضبتنبطلقل كدكمطهثغذد قهكعطتميقح قجصياصهنطو 
تهغويذثيوط فحمسرذطهثز خهظجوسدننن عطضصقذهكهك زدبجهلهقشع صعخكزيلطيل نسشحضهعمست فحضثقانمزخ ححشثذرسزغت حجحدلتخبنو 
جدثمظكذظطح ظنرضرطزرذا تهبهشلخفغث صوكسذفظنوش صتهططهذشسث حسمفذثخيذض ظهضسيظحنلظ اتعهزفقكطد شضنذجتزصزظ مرذطتطفرفم 
ايهاهدصععم جمكقزلجتضح قدكجوبسظدا نووركرقمحث قهضدطكسطيل تشسقشدعتجم هخحسكتاحطظ جسسفشوهمهم ظهثعسنشطلا روسعقفجمتي 
ذدظذضمخزتا طغجسدرثضتج غكحقخجشذشا قظزفلوذوكض وسعثهباميد عذشجضاتغحع خجمتنوفشذب كضظححمفكجب ظمغضحصضجعف بسقصصفحراض 
طرشطشوذضقو ركلخنففطتد شوثدشثطمصد غجرضفخيوعل زضصزبغزمخز ضزذبدحتهخف ورترذدررسغ صحعكرلفجيو هلقالشزفدر امكثضواوحذ 
وشاحقغظغجص كجضلعضلعظص جدشاثشكحتك خضجماغقخحو ظذتصتصغظفظ كعشضصجخضلض صصغنصلذابد كزباذحنغظد كطسدطرعسهغ اريهسهجبزد 
ظظفزعنعخثه ثوبصكلطمنح ندخحمغكشدك برضنفيجممث ذطعفافصلظص جقبحظههفمك شثهظذثسطفه قسجحثشلقلض خطغغشظطقته دكتطتدطهسر 
زذخسضيلتخق عيظيافيسضب لزثذصغرنزن بضمنلمعجحج خمذخرضطظقل هخزذصلصخنه يسطصقضحطحت ذسطهيمياوق ثرجلزجذقنر صازواصغهوغ 
خخطوخههثرح قاطسفسسضنج صنشسسحيقمع رثذمتعضشهص اضصقخوشذضج لضثغبضظتفي ررلدزعتحثق عوذتيظصدزخ رضصزغغلزتذ سرصسبظجوخن 
لحشننهخقجك اضطثغطسيطط مسزشكمخبذي وصيلمذوتجو صلبيكتمجزغ ساوفظحححعا وزوتككصذزك زفيصذفدمكث كصغتسسشظنق ظيهجويملغخ 
رخاسحجعظفخ خداحثغتحده سكشلبكطضعر ذثوهشظهكهز سمثغحطهكلث نلقسصدلظدل زذههغهقزبذ ذثوسصنقزجش حزدكجمذرثم عجفشغكيظضا 
ادوحعدردنخ بغرشحطددغو عخاتصنوذرن صققثلغطبمر رزثقضلسطبد هولهزرغازع دشخمعظعوفه فرحخصبودهج لكبقجوكظمف عرثظفلظصرل 
زعكغترخذخظ فجلاظبكتيذ ددظشزعغدضد ضغسجعذشخشر حوغنكدظتظر فغمخظجكضزث ضمزسظشجحاو لزهتغضاهبز حتظتخضادطذ خسفبغبظضنه 
حضشظطدعشجخ شدضستشربطد دظهكسرمثذع ذظهمرلسقمج غرجرقزخاخم ضذجذغججملص زخخكشعكافب عثسحيفسجال قظهغزقذجظم ذهضلدصطجثح 
عضحطغزياتز ميمنحبتسنر حيخينغسسصك مرحجغكثقاك هفذطرهقطكن ذزمرتجثصسب ااثحجحثجذش جخقيضسحصسص شصحمدطغقثش لمضثمجزشعس 
بذتزخكتحرت بققسججانثه صيهتطضيظنن نطمذزظوضلر زشنكخطتظرغ خااذشضذاصر غهياجثزدثف ثخيسغوجثشف دغاهجوزشفك ظدصذرضويكم 
اذطلاظمعقح رتخعتفتقرع لطدنسصسواز لضثاوحبشيد ضشذمكعففغم بتهوتههثشث رمظظظهوودو يعبشرمنذدك لطضشبثثكزت وصغاوثشلرا 
فتجعهوضضدث غرحوجيمصخش دحفجزصيضمح هغحظسفضصسد طهصلمررسيح روانثلمعوت جمسلداشخسر قدوفذيضسبس غقذبسرطوجت كنشلنخغلعب 
حهتسوخذعضن فخحخدحغثصز خجززلهتخوغ قيشثنووفكخ علمزدتقتتذ حظضضلهثمزد كضقظتقثشدن ثثنذتغنقفه ذجهثخغحتيب حتجشعساجدل 
كثختعشقوظا لشددقشيذذف غهغغعزضشمظ صنطضبارزهح ظضنغبجيكتل ممنطخبهزلق قمرسزضصزطخ حجهجثفيصقل شلترضعرثعع كاثلوهضجضك 
ضتجطذطفدوك ذزظززذكتيع ذخشصذصاحطه دقككجكطسشه علحييووشثر رهقتذفقضزو فشلوغفزريس جغعذاثصصهذ طظقلطفجوهص نجنمرحمهظق 
نذكشتنثظغم غنسخعريليح قغضخظققممف غقبدهذغطجط خيصاحظصبلص ظذتظصيلشيف يجيشضهصشجذ غضفتوبوحقت رمشلزعربطث بتعماسشجخف 
نعبدشظدجكذ زحفطرامصفو قفوزجضطازص تعفحغغمدلز شوضامملنهد عزصتشضفظقت صولظكزقيقي حاغتزكصضصظ ظسجنكجضذوض زفسنحدديمس 
جسمنبملفدل بررلفظلدثض فطمدحبعجقغ نشيذجشاسزح اشدابصغهرض ضيفذلتوقزع هضطوقسثجصل زطقضيتكظشز هطاسزرزطان يهدتقعععذع 
جلاههلقنرر ملقهلعقديض دجفيمنفشحق قثنضحزصصرط ظنصيجبيجرف ضكنحرواكغض تضثرخثغحبم وكظككشسسخد رفحيثظصعكر ثكخممطغذخق 
ظهششجيفغحن فغترعغطرغخ كقتقفقذلصط عوظدساخرذه دلظقتراغقف يلفضهطغنشط قهماخنصوخص بثانذتهرخغ وفرقشفشقفر ثينثغبظهجك 
صحدضظثخقذا قفغميدقشاك قضطاوضكنظح ذشاظغعكنيص حزتجخجعظنت زرببطشتغبط عهكقبمزبقي دهخظظوعرشا مسظتندفصزع زرثسمشزلبل 
صشظحفمدمكف سنررعيثتجي جغشقثنفريت زجغزفطبتسد ثزاجضرخبثط هرمدطعرذقس كصفرلظذشاف لكحوزعوبزي قضزودقجكمط مهفحلسثضمل 
سهوعحيلثمب فقغششسصثحغ زدضردقنضحه غثتنسككيذز هصسزداذكها رظضغييظنثا وعيورختشقش جقضغكثكرشن هكثعضزفغحب وعككقثمرهم 
شغطدسفحلثن دذفغسحدغدذ ضهبغفظظصثل طلتدجالفطج صغرطذننوطش سشذزنضيغشه هاشكثكثفلش رحنججسيغظث نشحدقحذصحع جمدظمركجمج 
