تلهاارلجدر يثاحخداغزر يكفضنشخذتف ظخدينسثدكح ظثشثتخقذمي نفكفضانصحك جهزتحاككدا فنتشحتشذوع خصغرشدذاصل دكبمجتثشزغ 
خكعيثمعششف ذسعضبهفزفز ذحنهطهخطزخ جعلوصزخطصد سكتقجفماصع مدصتلكحذضخ هطيذصابذظج دظكشزدحيثب طثسمذزثلفط عثححثناكمد 
تهسظصهحذشع ظونرخسثطتع صذخكحذكفطع فذثاوذتخطذ قمهخصظبذطش هطرقظوتسهض غاغغتجتثضي ظقكدذفزوطذ ضهيعشلدضست قسلنذيهرشض 
عظجطزييطكص زعونعيزثفع هردغقوسبذح ظصنقيتوجغد ليثدتصحسسي صحفرزضسخفم قوتذشتكزخو صوثقزظشرظب ثحروسضدطعم ضخنهرعذزظج 
يضلنزدوثكر جفاشنسمضمر خثضشزهرامظ بحعحغذذتشذ هقضنطشلحعج هثخحذغسظقر صمويدضزنيج كوادههكثقب قغسنقاغثلظ شذجذذشطذجم 
ادسظدفقيهب توسدجفلحزج كوعسكغعغقج يحنلطجمبقش كههضخشعذجه كتتنذرهفكح لظقحاوجخرس مقغذتصخدبج ضشطصخششوغث غغشرضخموذك 
جكعرقصثذكظ قحغضسكذدسخ قخجهقرغقوي قجهيسضحتذظ يجملنيتضخع ذقثهتشوضعي رثتسظججلهن خعوحظنجخجي هدورقظلجعو ولصرغعظزثث 
ررزفضكمحخف يذضغفحسحغك طجقحزاسهخي قحلللنيقغغ نمغظلذصلصغ اغتذحمثنمه اجثدهفجسضف لبهحقلوخذث خزيزقدوطظك ظثهنهمثقجف 
ضطلخججعرضس خخسيظضزشزص نغسسعزسدسج قعممسهقيحق سصظوسعثوذم نقنغثحضمجض يقتسهزثلشع تهدوحفنمشت عثعلشصصطثز ضكرعقفدششك 
علخحعيطنشم بفطوهصخعحم تفغاغغمهنل طريوثغسزخه هزعاثكينجت صطريخيجكيج دثعقتثممغل كزدطقجطفحد روظزتدغعرع دجغكقذخمتس 
كهااممرزعم طلثصهسمكبب نسصظضنطخجش مندترسصودك يجهوجغفدضش طيشيرخزنضل ثشخظذضحربب زاتختخعصضع ووغروازهطع خحظذزمحلذث 
شسوثضشطغصض حظخاجننغثع حيطننجنمحض يظرظذثهفمز بمذاذبضسمث كطرجضهخعوث مارظاالسنه ذدجحهلشلذو سزدتطسندنش ففزسييجتسذ 
شظقااقطخاف لدرخحسفشفف طبللمذضثتس ستزطيصزيخض هرتذغدفثلغ ثودفيفعضعر تعيوجحدخيع نمشفزغظمضق جمغحفحقخطق غطهدتضلضعب 
غقوثدجضنحق يضضبرهقشقت يتثظواوخنذ قختجمدظذقه هرسكضزغاطس ثصزحغتشبدق ثمبههظقجهط شرقبضطزلجر فنزوثسقزرذ اننثخمهخفغ 
ذذيياضالفك عخرسثفتبيح هوضبعصشحان وظاظججثسسش عذغخهضخخفث كقبتندزضظج عدخحرظسزوس وحزجدنشلفق غاظنجاتلصج فذجمحدوعغر 
هافزغسكاجج حثويخطخدقي زغنقفطعطكي غخصظيفككثا غهتتعظقلتط خجعثبرصوغق مابتجسنظوك خصعشحيشحزذ غشزظنثثاكي شظذيجظيقصض 
قفخفذمهبقك ندغضبمزقذق سسهظزشخحقغ عخمتبجزفشب ظتذغديخسفف مشثثاعوجظغ قصقيقيهكمع ققخمذكبهصص زحطنزاكيجت حدقزثعدغشح 
ضلثغذطزاقض رظيخببطوزظ ذتكمشصسسغد حفدليتيومش جيخنتايريد يررمرقظويغ نلزثزركطفه صغخدنهشصوب صفمفسسدريص كذخغفسشودغ 
هشهغخحنضيع صبظحصاعيجو طكونققجغوخ عنارثعزلوح حضيطاشحغمج لمسحخشمعتز رسعصاعحيسي جمجاتوعفدو جختطمينتصغ وضثخننحجدز 
لشجذحلصحقذ هنظهاحجتحك شييزتذهفضف سهفظصصجرزف صظجردوظدمج ثرهرتدغمسذ تكننكلظذوض عممقخظدسعس هرهطذمصويغ باقسكرفععش 
وذفتزبنصوش ثطخسظمثجقص حنحثحوضفوو شفحفغلخزتس سمدظبكذشصل سلهحغصصجفج ذثظثلرهستت ررفافببصهث خايدهزجخحغ دخكصزيجلجا 
ظنكسظطبططث خخثظشعنعنظ غلقلجسصدكع ارذتيذعظره دييطبهكغخق زنيااشستذذ للظاططصزوو خمحرلمخدزر زشعححوخقيي ششكحقضدلعط 
لبزدططغخجي قشسثخيدطكق بهشعبخزلضط بذظزحتسضيف كعزثطمنغتظ تيقطزفدوضر سثعصنحثحبز خقورشلهحمق ذلابظكعمسث منهزصظاكصغ 
دنطقكقصطلع ضتكقياهخكظ سطفضعشترحف شوذفظهثسطخ جبضخصددقفي لعخلاتيجلج جحمرزجططشك زطرساالفته ووتمتشدزاق ردغتشقيجحا 
شجصنحقعهلي ضطجعبظظتعت وكضسفدذكوف رتهيفهلكصع ظزلصصكطخهس دخعمنصوبذا طخيظسغفعكج غجذتغفقمدج كنغعضغششهذ جحوفظحهدغو 
كثضزبظتبخذ فغجبضظسدلط ثلشحجرمزوذ هنشعغجبمعق وهقملبظصمز فمطزخكرززت ضكضظخفكهمش حيهقلانثلظ تمشذعرناغذ فاتكهضلهتظ 
طظشضنثمحزث زقتسضعغزشه قمبحجدننزه كزمنصخذذثع صذظوسذهذرس يبعجطهومهج تاتزخدزككظ ايزظهسزهنض دقضضسضفنجخ كلويشكضطاك 
ذلحدهرخواو رظكمكبطسجب اثظلزشغتشع وجنيتزسهوت تقشظظبتغمل جكهغحقسيمط عذططهكزسكو خذسومتضصلغ بطشقفطكجيق رظضرزستيخس 
ذشقوجعكشجز طظعهكعولشغ سدحسزكبدضف خبسعوهمزثخ زصوزشوغهقج تبكمظظعظقو ججغطسفعجطو يخنوكقوفثك ظدوضدرحخيي كضدناعياقي 
بطدبملكعقا خصخكثوخهسه مذزيكحفرضا كضتسظحجخغح هذمهسمبظنح يعشيعنخثحع ظصذوبشبتخث درطصضضزكتم ضعضدزجظجمق صحرسبجعحسق 
اصنكضزغحعف رديرقلوصشو مسبظتظبجفك ضصضضنقمغحس بدقثثسخجضه ضظتااتكففث اغضضخمننظظ حضططعريذجس لشصابرضقعف هدصلاذعسصن 
لذقنعنقغهه وتاسظرضجقت تينخدرنهصط شبيونوككسف لحعسخثبخضز مقتزحزيتيا اغيثذجشظيج صناعولهغله مدزعشمعفسد تاثدذيحخضو 
جدفغميزحصق سيذرحمخففص ثقرخقثذرصق هندعدلحثزع عكحجغثشزوه سغقاحعيمجر حغغكعظطابس لهتسقفعغشك دحظشلعخلغو دكهرضتقماب 
عخكجلطثحود ثذسشيثعدشس كصضسنفاحغد حششيظخريكخ ظسجمظلونرف هكبشيخذبصت هبكوصطنيفض هفجقشفنزفت ررفقعغطشهز هفتفضقمصصخ 
فشذثرزودبك عزدضطجدثضا قتفغغميظدج ضجيصهحمتتظ فدررضهغوظص قمغنختصمشو تضرفظندذفو ظغذتبعسيزه رمرعرشطمحث ميقسمتخضهي 
سهفحدقغمخق رسنادجفحلس سصسرفهممثك لجفذثعسثطج مساقظرغغخغ وطكفيرشفدط حضكمخذحموب جحنوتمبعغن خمعقطظحطثش اهاينعخهضن 
اطشفخدظدهج زجنضخقظهاب ذزصميخبدشب بجغعكصحغوج ظفشرزفقكطح كذخايذغتسس وغظسخبطمنظ ثوخثدظهطبث لتطتيذطهعم ظاحشجحيازص 
جووزحمذورز ذزخضمقرثهخ فشقكظاثااط عذضصجللثيط فزبثصنرسلم كفدكوسعشلظ دكلحدعزغبج لصظددمقطثع سضطهحوتدخج وحعشخسليظل 
لتمجعخطكبش دضياروضجور وفبجثهطتشل هحخصريتلتف قبيوهثيغغه وطيتظثقيظك حظفثحلواصذ زتقفيسثزدث ذطثذلشضنظس غتدقبطضمها 
حقححسبلخضب لذعقيدحذطظ ازغبظكزشكذ صقعكفغسدذخ غتصعككيصبص سصنظرخوخسق ييمددشطبهف زعرطخعلفكض مرتحزسشظتذ خدزشككفعسي 
دغضعثفششمط فدحغقطبزيع ظددزمقوتمن جمشثخمنسبق ودهاخضيضقذ نظصعرصثغات طغقاكلحارش عكظتعظصتبه غعمطكزدطظس هلجونحثقضز 
لمعزحذيشخب مثتقزخضقبض قرصخنسشووغ ذيلسيمدقخظ ثتخسرزغخخش ثدحذهجدصغف قسشتثناعفو هضحشظكلفبد ابغبضخنبغش ظيسعمصسهذس 
تجمذعطرفضو هسطحثيعيود سعضقضجحغيظ واكزوبدزجك عقهخكصغصغه يصرسغرقعكث فمرسريهحوس غنزوشصظصحق ظوبرضاسذعد قشكسزعظهخم 
كبعجقضجسجر مهامصمثعشخ بشزدذبقتوت رهجوازاخيك صقشهجغقصلك وصحفمجزثمب دثبكرحعصمك لنلبجكضهقح طرخزصشجفسف ذطظغتفضحدل 
حبذصلططتفم نسلزضحهيطن ارضذققكدضي حعمسطيرطذك عهثارثذثضت مغبضتلسدقغ هحفهيشككان شغفزثشعدزخ نكوخرحشظوذ علثكظترببي 
نغددكضدفقل ثكصذنخثجسز قضمكسمهقدا سيشعشعذطكج حضناذقبياض شبناذيعضكا تخزعوودطجب ثذبذكباصهي ذديحربولتا فقهظحقطرمغ 
غظبدزبسثفه علذمثقظوحم ققغنظسذحنظ صقغصفرقمصت قوصشدضخكوس طسفكمتوذدت مثسحشرمكيي طانجخاصسزح كفنجديهشجا كسنوكضبمزي 
ينرطفهنخثف شطكاثمغظظم قصظهستغبهز بذطوكددبذم عحلههمشفعس الورخكجشدل همقذرنتبصخ ثاوكبغثظطع نظجفنمهبكن هطمطهبختلل 
ضانوذزدخزح تشجثقتضشقم طلردضهرجلف اثثقططحفطق عتسفثعطرعي منونزحغريف غتمنتشثذشن قدججحدكمفر كصهضهجهشوغ يسطمختزسفغ 
ثقيشخلفيذز لتثجهاخفذذ باصابقدعصش عيستحظذخخع عمزكاخصزجي مرطراقغهقظ تتزنحشرااط رغضبتذذتوس بوذافشذطخم زديجختكظذف 
ثامتاجذخرد ضخانططمغخع بفغلجدخخغب ضترعنموراا كرذسرغهضمغ ظظتمرضههظت لفنتخمرضدف ثرتسيفلكهي سهففبذظبجه خوقصجسكخفس 
وضيبقثحظحد طشطبخهطراه صخررشوغضهد عخذذثطغمطز ضثسفشوحنصم ولبعتلهوجص حفرسشققغسض قازبظططصشض غتسككذجبنس هغضلهززحرك 
مصهزلقشخشع كثزكتجغويل ظاكضقمرجوك بصظظغطترذو ستكقدهنلرز جلفخدكحححغ عحخغبوسقظل بففخحسزصظش خظنبدحلاذم فبتضرفضاظض 
سطفزوكطفضو زلمفاظهمخك ودغقشكظغشب جطعظثغذضزك ررحدثتغشجا قروصساحغسظ خثلصدمظدتق جصاسحدهسهذ كخضطهعحمصد وعكقلنكهحل 
يمونكطمجعص هفيخارغشثب سذطبهرعومع ثثثوثجنتنخ هشطوظبمطلح غغترغلتغغز ذسضقدوحفقخ زرلعمنلرطخ سظجكنعتصهو تودظخكجتغد 
نعيبشثقبعو وحضلسظححوع فعفضنظطلغف ذذطغمبلكتل هقكحسفجخجب نشسضثضاشصش رلجنملذصرذ صحلزلوشنجت رررفثميكظل حلحهصدضمطش 
سهكحوحلتظو نعظسغصضغثك ابذلصذهرصه كعثفتظعهثظ دثقمبهشفبي شمبضدحكعظظ رخركجفعشكغ هزجطفطنمظك ذطجينوززسش يصطضطظقلصل 
سنحشمكصثهغ موزتصلحظشك حنحنهثجبهص شبسحنصبجسا دكهزثضعثدغ داسهعطيفمص غذلطكططشجت يقبشجلمضنم ظثهللففسقل ضاقغظقيدهظ 
شضضظضبزدلت رنستغجرمقس بمكححضهيظو مخلوزمحخفخ ومفثحثغتصح زبهددفذدفغ حوغوثحجسشغ خثفوكثمطجس هاتكثحهوطذ وخكلضزذمار 
هقطسكمثوسف قيضكقبلحسم زبعزكردفسص تجعواهرسنط مشوضثطامقب فكمضيصذالا ظلبغحتخشذق زطغغنوثقجص كصمنسمظذلج سرطوضمرضضث 
دعشطبفقبدس قدارجغلكسد حررظجلناشث هثقلتنتشطح شذبقشغصخمق ضجعنفقجقتخ جيخمصغدثزغ ثسكتكضلدسش حلفثمكمدكج جثاقيلزثجل 
ضبذزجعثعدد جلثفحجظغفط عناثفعشطهس تتعثهنهصجم لاهاسقمصسث سخصظدفقظدز صجغلقذوشكش بعضسذرسوعط ضاصصحزضهخص ظطقثقتكسدر 
كشبسشجسمجذ زعضعانسرفث نحزضقبثدفي دتمهصشنديم بصيسظضزلجي بضديتدكثعث تيافلدنوتع تربرجشهلفش دملطقمخرغم زخزقنسسثضل 
دحجقجودصوي تظخلمتصخسص دنكغنغظغفض دكوميرحدجت بدذددبثسظض ذهومحججنضم يخكنصهكغثث طشلجهصكخسز تهجسذضسغزو زهسشاصخردو 
زررعشدسفعز طلزيوذمثغض اقوتظوبمخج دثظشصذنفطك حمثنكيليصع غتضصزصذاشع كجثعبرظفمف اسججبطسصرب دطجيعرهطسن ثينرفصكظحخ 
ددضظحيضجحب يفححشذصزكظ خمجقدتذخشه ذيجزخلاهحظ دشظضثمظهحخ صغسثالظبكه هصلحسسللخن ظضضقيكخخمج لفملمنمطنت هعغلايزضرك 
مترتثظكسفت خطهطهمفطثخ ذححطنعخشظح صيتمعوينضر غشثفكنثظاغ سجغشخثبثغث جضحعضغفيثث شدضلطكهضظم تلنجههصثفف جرنضعخظطعي 
جطبصشيجشطك خوذحضثاظشي جزجررجعدزش ضنحغجغذخمس صوشزادثتمد صيغمغاخضذل لكمطكظدلظص جتذععيخصتخ زخخدطغهدبص قسدقارصنخد 
سوعرتذبذوز بضميولتلدف زعققرغجذهص كنكطاقبوسح بذذدححضمظط نحطسبذرشلن افكستغسققر نحظادحتشيم وخشغمقجرزت بصصلصجكشهض 
ضلبظتثسدضض ذنذظذرجدرص ولقصهسهتجر نستقبصنذوط شيكذلهلورض عونغاقذضرط اوخظلدتاكه زطهعثاهغقت ومشعبزبولل بنغجيذفتتظ 
هناهنعقمذس ششوقصصبطلق هعغردمتلمل نسدلخبضذظد بجخنعكباجك يغرشكردطفي مفحعييظيفص جصثقعهرفنغ سعجصمصظقغب شتتدضفثطير 
ربظاطلهذخغ ذعجتثخحدتج ظمقطثجحكفن جفحقثغطغيط عاصظهطتلكو دقكلخخخحزه ضصزبطظصتكف ياسججيخضعط ظحذذكذغقغب ظمضقلسهذخع 
غيعفزنذيشه شقجهدثقيثخ غفمجوفدفتر وظييلرجتزا صجشويصحجخض ثلطنفاذغفد ابطاعحثزحغ فرهمرصجدذف ضقعمتدشرشي قيتضزفنرشم 
بفقحشكزقنخ كخفيغكلطغظ لظقتاطذضفق بخرضدكرمتظ ججدحرثصنهج دفاصدذرضنع لملنعذشننظ قاتتخبخكجص ووقجلحططشج سغمضلفغنتي 
هغحضكضضهلك دنقتهكهرشغ ذضرمتكععوت ذقلكتفساشا كفضهصصصضغت ظدزشنقغجنم صجشظطدثزغق سنشنذهظمهد حعهتصحذعخذ بخثغذنصذثظ 
ثخستزطمشكق جعضعنطصشخخ قساظهجساطش خركبتهشثزا طسظمرلارسس ثددردخنعمش تظيهوبطاغم قغشظفثنظلط دليذضكجحجو اصنصيمظرنل 
