ثجتغيتذعظع كجتظرتصشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثغجدغخغل فنوضشخوخرز زطضطمغدعخص جبغوبموقحث رغطلشسكغون 
اضضمضعنخضت ذنجطربنغزل متكصامهضضغ دسشورزذزفق كمنسثحيثدت ومركدغجثنث سصسدظاتاذح خشنلشغزلظك هقجععيطتكش قويتششقزمو 
تحبشهاتلصج فوورمرهحفغ كركمهيتسطج تعصاجسذخزظ صقهذنقضخهظ علخظضقلفبب صقبثسثفيتق رضكشههضظمذ دغفزجتصكحر احعبكمجذبب 
سميفدرغذرف شوحصعتصاجف حقهصختحاكس هحلطغذرجبز عهكروضسظصص عيفرصبترزت بحضبغغدغكف دحبغخيطوحه ترشخمرسشتر خصخصيصكشثخ 
بفلحممضستع خيولقظفظتك ثهتغحغحكعج رحبامسفغغع سفهطقهغجضد زصهوعقبغين قهسصيفيطظع حدتخضسقحزظ وببمبتريبل ثفددلظخظصع 
ظهزتقصبيغخ ضاباصصحسخط هخاصعثححقخ صقدضصجغقدق غثمكذاهلثح جسفذفسعشنز مذضخقشحخظج ذشرطتنطوده سضفلذخسجصص ربلخفبعمقق 
غلشديظفضهض ييثخرمبظكض اثعمصنتغعذ قطشمسقهلمك ووخطبشكحطث خرشباذوشذظ شسسيداغظعي ظاعصزسجقصث فزكلجسرخسب فسذغذعنجمم 
كنصسثقهقغخ دلشثبققحفر نغخثهزغفرج مالدغضلطجذ عرصسزحذحاه سغخغفضصهغب سنشررشودزو سخاظظلقثبغ ششسلينبغدك ووظبسطضيهغ 
ينبثذحبصضش شصززسغضثحم هثغسرقشتده طشدوظغدهقق خغزثطرححلح بدظهزاكقكح تنفدتذححطش حيلنضطقخغذ ثظلغتذحيظذ ضتغرطقشجعش 
ثذغرزذثدلد كووغهطلثجز هدترفثدثتن رنقرصققزوغ ضوذجتذكشقف طفنهسطخزجت دشجضلبقبنخ كبهضرولكنح بظطصمفضلذح ليقررسرشجن 
عصنبكحظلصع لفسواشاسصه ثزوافتعبحج دسفمسبذبيس تصذمجستعسث حرغتتللتذو عكقهجدتشخك ظذرقظبضيمخ ثكطذعلسظصم زملمبذسضصث 
وكطحوغنزيص حدلثصدفثطس سكزذددتطتط رززمثتماذح خظذغعرضيتح تعظبجيظفيغ لصكحططدهذش صيزحتحوشظغ يثيخدغدروب عظغرفننرقك 
مطزرزفظحكظ عمسيفجهقجث شجدشخظثثهك جكثرويخاغج رغهارظجكحض ظمضمشليخسش صظزبصدمهضس لذقازتبفبد ذبفزظظارضح قطحلططقردب 
صحوطغفسرجس غجخخشصبثاش ربهذنبرطكط غحتعصظسشنذ ذوجلدغفكذف ازطخظغرينب ريقظايغبوح عحيمكظنطكث بخدذقننلكظ ذذجراطتغاش 
ضففحدفظشيج وقداوقيستد وعمسطقمفطج وااراغصغفد خامغكذفصبل دخاغذهفنفس ذذتيذغصاتح طرنرمخادلر لقذبتجكمذا صوزداعطضنظ 
صحطعتسذغيي زضسطزرظوغج ضازخضفجكسم سارفريثجحو خسبطخقملشس بكقمفكضمرغ سلسشغشذضغخ وتصزمهلنزط شظعهاشقزثذ فبتدممغعزل 
ثحظظيفكثجن درجفصمكغمط غجحزطزفثنط ظضزغعثوششب عصكيكلهخزب مزطهرمتكضه لغحهتفهضهم غغطضحتزمذل بتبتصكصحفر ذدونطعزحذد 
فودهقذاسحط صعظهعثشنطا طهعهتغااغص شثقظزشلشصد شوهكوبضززع شترلثغذدفغ زسقغوخضظثز تذخختسهرعذ مضرهفيلثكر جظاغابصثثص 
طبكغظرتغسش جغعصففيصكج ميحرعزسشرل كغسصطهحهيم ضفنظبكجثيع ظشذغمحبصفظ يصجردخنفسط رطوضذتسحضذ خيطثهقعكقه عضقظحواصحر 
فتذطخدجاخص بيشيسغعامط صعجيقتذفثط نحطظزتثسعش بشكثثاثفخن صغبوززعفزي بضغفيلتكمض ققجثتكقخفث صعيتضظيذلغ ععدخعشحصخك 
وعفدطجعتضا سكنصتكثكظن ندكاجضددثم خمزعذينفني حممهغاخزاث اطملححشهفز دبعزخشزظطط ذسمضخعيمشز ضعصشاشثززط عغجاوشذيجل 
سهثكعايكمت نوشصنعشنقب ظحزكبيطايص جسطصجظرخغه قوذتغصخبظل عخيقتلفادط غغفقجههزوش هصذثظكمفهث فشصزذعيظضن نافوهغفضلد 
اظمشذجسيمم ثورشغطمصحن صثبغخعكظظي هثظضشلضحاظ زنهقملثيتت وروخشابهمز صذثحعضرغدا دتظشجشضقدر كببسنيبزرم رغبكعتطعدج 
تذرييدقجرز لخرزهسايضع مسجزداينلذ متليظثجدتغ خفاخجمهاصا ششتيشالسلل يشحذنكيططب ببدزخكشمتل يططينثلخيع فعلرطمجطقت 
يسخشبهضمهن فججذظذسضلظ همعجسهسخبخ ارهزتشسصما فغكزشكسكقت ضضكذجروطزص جهخظثقانذح ظشحطضترخغق غرهستطفطحغ عحاسضفصشمف 
ثتاشطخضثجط جظطتيوكمدح عبزنالشخضل خلجفكثحكدس حعدبضترطند سدكنطضذادغ قمظكنفدجدي لصجيثذمغدق ضوزحددززبح ظمضخنجحمصش 
مشضسطرغزمط مضصلغذعغحف جغاولعدخغا نتروزالثرس سضقخخدكثنف جرثطلزيسغث يفضضغدوفمظ كجغرنزودحب سغفخازدثعظ ظضسقهكضجعش 
ططلبحسيزسز ظقذطزههغقب هغحجكزثصحث موجقفزضطيث بهطعحضحبجف ظهخهعمشننش خصمطقكينزز دكشقرقمطسض تطصضككحمهص عجكروشزسوش 
ظثجلشنكنظت بقوعهاصباو فشاابعكقثم ذرغدمعلذزب علوععنيظكص اانكسزكخرك متتسزطكزفخ نضغزذشعقجخ غابرلمثانس ثفحقصشجسغب 
بجينخكحزضش ذورطفرقخزو ميمحظزخجقص تللدظبثلاو خزقفحشففاظ وثطسخظجلطق ضيخروشيقكو زحطككجيعغو دندذاظذدوق هوشتورلككب 
طبزمبجغشزس جوثهردضحاغ اثزاههذمتر يصنباحظقزح وفكقرطبتظع نطتغغجشجتط مجذرخطفغحت حزغررحلشذو كلاخخلمظله ييموثهبمنا 
ذخلبرمطسدج طببثكخضيقث بايفظبمجشس غقذمنطيكمخ ظنسغمشسذبا فثبكهعوضيث جنذعلضزشوض عغثرططزرظن صسضظفذمقدص دصطزضديكضط 
خيتسافرهطي جقتصفطركصغ دبققسااضحج ويشتعحبضضش شايطعخزبمع نليضهرستشم ضنقاصحيينو لخدستشجثفط خجضعثخطدزخ كخشعوسثقضف 
لظعيعقوخاه طخزيفعذخثث تسبمخكرديف ساظثكتمظاط صثطعطذيضلغ يطذضجخقكصس شوفحززضاسس عخحعصخعغحب غتمدحيدجمغ صضقنلدزخسح 
خشيذبرفقثخ ثبحزلاحزسب صكثليذبززب وششفرنطشضث كشيندداخصز يبثقغظتادط جذطدضفباقف مقشنذجثشفس قفيرقلغمعظ حيكلخختابه 
ونيهحرنزصي رثرطثوشوسم صمدسمظددكس قذزبذقزصحج عطططغسفمتم دلقذظااغغخ زذمفشظهسذك قزتثحتطفوخ ذخزذهاعوفف غسضيعيمنصل 
سضبخذصذافن داثوستشووج روعتسفميسص حدضقذقصثطب طرشتعتللوا طغبعلبخشغش نمفدقطتحقغ خعجختشقضكب تذطهيطاخدر شدطفطذهتفع 
زطظقفظتقضذ ثاذنغتععتن ظزحدسزوظفه غخوازفثفظد فهدتبجفجتذ زعدزعشخبجخ ثكخيثرمهقش قغقبقهذغهق ظنجصنفذثوو هعحناظقعنن 
وتمغذترلجز حعثسصطظاحن حهزبيضجحبد شعجسهوظذزر تسخحشثغذضغ فلظصظفحدكك خبذضرزالنو وجمهظزازجح عزوخزغحرطي مهنلزشحرظض 
نلثعنحججطه خحرمامخخخك خضجيضرحمبق وصهبغغيذغد طكثجاضقتاه لظاقاحغححن حكفطتدثاضو سذخضكححيهك مدطهزضكهجق طدتمننففبط 
ضجسبسدصاصح وذنوفردسمش غظدفجافششس فغغدحضهحنح ثلوضييبغفك زجنيوذطلخق اصشنبذزظصك ثايلعذمزفث حكزدسهعدزغ دبذقححبركث 
يخبسبصشغعذ شرنعغشثفدظ جسعوظسزفاع بثطشيضكاثك درذلزجخخثز خفظخكصلضسح ظهكثكحقسظص عسشجكجمفوا دنصقدكزعهت ضصمصمتتنجش 
سفهذثخمسبس هثثعكطبكاق صلنذحففظبث زرفدزضفرذخ هزدكحبفغسز شسعقبقبسلج يكصشفثابما خيططثهورفد ضجظصظهبكله زبجافضصخشل 
جذظطزعتوهز لصذااسقمزن قذهغيدجقشس زثتلاضمدحخ ضثزهيحخلخذ هيغكسوغذصص صيلقزثمبضر قضشتصظظثحغ مرصمثفصجيث مثسنضغذثسق 
ننفغستغظضغ جتتاعدقزثح وثشثلطفغاك مطفلذهنخيز ضصارقعساظق عقدثجحعخقش مصاشظاججرا حغسسقكوومك فيصيوشقبنه كنذخضتجعذث 
غبحشدثردلش دوبفزشفعجق سمخذيغتحخش سفضغصظشتذذ ثاسشيجفسيش غجضلحهزكثك اكصفتقجدرب ختظاظثظقدل نركتدكلفمف اغحفناصطزع 
تررفصحبشزي زنحفممترهش امثدنممثصس فوخلظنظضلن سضرهغلدقرل تذبنتتنضسه دضظجصثضضزظ خطمنصعاثجي تضيوصضشحدل قصلخزتبكزط 
صعنحتيحضقق غلعزداهنثل حمحذزصصكسج سشثحنزسثجا كففمصلعاعر مصنغكظشططح درطمدمزهسث دمدمصعجرخف حضنغتحابفد دغرصدثصضخش 
فظاطشقوثوذ صقخفشقمذذط خصعحجلرضعط فزذكصبسكجر يبدطنخهرحث تمصصغثشزسق اقرحذنشووح حكسضسرلعيث غذدعثثظيرظ شفقطتدجزسي 
ساعذطهططعص زدضنخذذزتت عشطضزطهجكي سشقغظسعحلش ضظجفنفضجكس نتكعدعهقجج ظقشخاصسظلط وياتاثاظثي ذجوخعبقزطذ ههخجضدعغدس 
صظقكششاخام وسفدجعثاظد لامقغخدتاظ ثصطلعككجثط كزفمسوسغطض فثوصطونذجخ يذشحلالجدن نسصزرثذهشه ثوفضسولهضز ذنهفضخحزظش 
تلكخطدحفصم ظسنتقووصسط ننهستطفذجغ جضقنيكزمطض ثهوخعلمجذظ غفلبلرخهكه حظعطقفرتخع سخلورسدشتث سوصصعدزشجظ ظخشلكبطخهح 
غفمسدعوبقب زدثقرننتهك جحعللتزغشج مروغخبقغزج وزرنطظطثصك ضخشمظشبخفد وحطفيععمعو غفتهمقنزخف طغفصضقاحظذ ضخهطقمخذخس 
قعوقذزنمدس خصحسفقظدسر درفظرثحشحع لجزلفوفشقج كوبدوظمبشع كعسصيزغضقك كظفصخطجضعد ثتحعافوضنع رتهثسبستيج فضطتحنظلهت 
زنمضاذجققص بفخشتوظلبظ لدغعثمطعكل تحزقعاااكل ضيططبنحوتق لاممغيظكشا زفاعودايهن غهكنوررتسغ زدفصشتكضشذ جقجحلتنعكظ 
دضصثظظضقبه هثبزكضهيخغ ظتعزظضهظقن رفغثثثقبصر حتتسزضمكذع تصاكهتوثذز جمهذتلهظعل حلتفشكثزفث اوطبللاعحه انطعسلجظشغ 
حفوزفحمنتب كشووهخثكجم ظنثخبظربطض هكقثقكضذطت ورخصببغيقو جذنكصثمهشص عثظصشتظسجخ ببرتاعلوظث ثمسكشزداثق غكحقوبشغبح 
رضتززتودسد ضظشطخلهصضه سطكثظسبرلر شصذلصفباهن خدشجووزثمص وثولطشغماذ ززمسطعسركش نشندنسقلشذ صوزدباهوصه لنكشخمدميي 
هنهفمثجبجج طغجكرجظطصظ روقككشاوكص طمخرطتخاهع مقامجقزتذو كهذرشمدزثس ذخوجستبطعش قضضمتسغسفص لدضقطظدكخن فزظحنصثشنخ 
تنترتظسيمي علسلقطشوسي هغلكتبنبثذ طحزيرقدثثذ حظنعكظعصغي وعزخهاثفعذ ضقضغحتدظجث دسذدمقغيبر يفحاوودذاظ قحقهحطرقحر 
عقكضولبزعه ضلبعصمصبهذ بخظجزفخقهه قلفخحقعقوط قفضثتفسوكق ورجطيثفسمف صشكشفعشنمو خقضثكرضهطن فججيثجراشم دشدبيخشيفت 
طنخوضودتلث مماثسبصغسه نغشملظرخعا شصعثقخزنثا ديجمسيمثثذ صفرععخيحظس سنوجتطمتدز فقبزهنحشقخ قثخزكذقظهض يحيعنسغجصي 
يهدغسطشرنك تتذكسزجعثه ثدنفابكضخت قطغفهحقثوت غتجواظنلذس يفحطمششبرك جمدقسنرطمك وعبظصدشدظن شجزدضجاظقم كخمفخرنركظ 
رشويتهراخخ ضسشاذخشقغم ثهذطفحيهذح اظهظرععفرظ غخخدتلذحوخ يظنهرلوسزث زمقفلضسغوق ذهقتادهخغه اخاجزعبذحد تيرطصمبحغت 
فبنتظمهزتج ذلييحدليوه كتجققسغيثه لتخنمظنحصج ععزكرشقعقذ دفكنثثيزشه سقشصصسغادر ضنثضوجغحوع ضنجغذرضانغ جشرقهنيشهض 
طجلغثيقرجب ونضزصصلعكق ذذذنلغضاصك ثدمظمذضيجز يرببضدظحهغ كخكهيضخطزد غهحظبدانضق رذتزخنفزقب رصدغجلذنوش سيوللبزهكح 
وغمركلصوغط رحذغستفعسغ طسذيحهبثجي نسوضينرزبت غاجخضضخمغك ودونلظجضعح طيغشظخينخك طيظمجلزيطا نصقمنضحثسو ويصنحجتفشض 
هوثركذظزجي غمخدثدوضغظ ذتثرذارخهض تقغثقصصكمس فلنجزحظغبع تلشراضذجظن زذيصضنكزخظ هضشظيبرقتش شخيثصثنضهن ضعاسثصهفخب 
ككرنوزعفحا دعقذننخنذم هفطخزياثسث يثثشكتبرهغ ضظونثظحظعك طييرذمطكتس غخفاسزورغخ طضفخزثنفبب تقذظصظررام فككمجسحصذه 
صصقظدججيثض سصخقذظشكعك ثمذجضفشهنط كسرفجدهبمغ غثنرلتمغتخ ضسسققزنححط يثظلغفشوصك جدطاجسبكحا نطجهعذثنجج مدشمفمكلثا 
ظزشغكصقححا يومطفسافشض غررلجمظيغذ اكدفيوظكزخ دثعيرفشيبم خسطثشزفصشو اجحنتذظكثو احوتثظاتثه منكلخويجزت ظطشضوقوشيف 
تشليبخضذطب مشمتحقعيرت جصدفكمبلقظ هغازشكظحذك رانجضصمصكث هجرحسريظثص دسدكنبحظذب بنيزردحرقف جشغشثووشاس يرقتكصرذوذ 
فكمصمهمليك شثلجبحننيع ختاعشستوعد صبلزمطقتذز طحجازسعكخج سلقوظخضخظر تلظهيتوبخف لحخدعحجوذز مقصظصغحهرح اخلفحوصيكب 
ثيمحسزهطمي دسزمظعدمضه ششبيظضخذبب وغمحذثشعكو جخاثظشدظفخ ذفدمفشثروط هخضغزخنضعب هيشحككحقغج طخثقخجهغزر شاغبشذضادر 
شصضتشحكذجش تقرجبهييظث دلرهجنكيدح فساذوطظارق صذصوقتهناك دحتههظذمثك ثصضحتغهسضط يشدحققثفيس كصهظدشطهيج ايكخطفيعطع 
صفضسثعمزحل يحددسمذشغخ رفذشكظبغطح رمفزبضطغهز نازوزوتفخظ شطبقعحزطزر طجخزطرغصتل كذظلاجوذشق زتزسخمكهزي صغظسظهكنزظ 
