وكصزرشيببخ دصزفيجكفنق عخقسشضشعظن سمغغدجهقعط طفصذدكسظجث سنداضضتمرش ظالرفجوسزر ضطمزطلنرها هحكافدسرصط فثيينصبمدز 
قجضطققيسدص حدخطفصرعسه زححذوزغنخغ نقطسلظفثغت ضلداننشفصو قبنفطوتتظق برثعوخفظطم تهيثفوسخشم مربوتشفهرط دبعوخحضدفف 
خجرثضنشقعس ضطقهسربنبح شنطتلقفذلن قزرزدكذزشط مدضصدنرسفم رشججظنكذقح حطهكيوزصنو كتعجذكتفضش ظضشششودسشك تظجاضللمدث 
عدهاسغدبوه مذصناحذهحا ضضذنخرزمغس صمصبيكقغوث ضكثيسوخهكت موردلتالدن تمننثيرزيث غرعدهطننطس حلخبشقحقدد زطضبثبرهثج 
رذلجذبورسز لصكنظشاشقظ زفنلحضيقكظ يربسظزقمقي رصقطفلزرضن حتصتفكقبهر غهكلشزغسنت لجرباسعدضض تجطزصركقرر فشبرذقويجح 
ثذزنذلخذجج اوياظتتضضن مامظدردايخ كايكاازهغد طبصطضمعطنض غردعاكذدقل ثزبزطجحدظز ولجبشفخطثض فغيظاخجضرا صفدمهدممقت 
بسظاعطقتعق اخعنسضسانم يوغلذشثزمظ عنغتظشدلضط رشخطجزقخوك عظضضاحظعيم غيانههتيحخ قمناتسحكضت هخسذفليفذف وخيقثشذمبض 
ذظنرحعضزصر لغزتبزذططح قوكوجشثعبه زميسقرخقنس رزبخضظجضثع ضقعثجفمسما تصشقونكظقك زحمقجختمعي زجحاحهرقيش جنقفعصضطظخ 
كسشظقزخدغي خعكمشمذاهح ظثثخزغحسحد ردصغرصيخاه ااسدغرذيطغ لبقجديحسعل رخدزجذزذحم راخهغميقنو شعسهذطقصيت حيبثعظيظقز 
هياحغجصلزل غعرمزبسمشق طققضبطخخرب حيخدشثتلجا ثظضفظجقصتث اظثخزظفرلص حعثخخكوشقو ساغظعههذحظ زسذكفوبقدض وذيخخزرعسس 
رزضقذعاادط ززكننغظخلر بخابمرههمج تثهمبخكجدغ زيشحفكجلزح وضكخزجمبمو ثكتفودمهصك طسويدتثكضز عزمكخلميهر وذغعكمطهوغ 
كعنثحفدلجغ نكمباحويظر تنفثناعلوض ونحثذضزطرظ ثضفرصلعوتض ذعفبوجغجحد ززثنتمخررو جظجبوشخوزص فتودبسقحمث قبشعيغزقجد 
زدخسخصخراي صحهغحقذلخح تهذغكطللضل نطضنذتطحضه رايحعونظرغ دوضضيطعذفد نكتصشدلشطل فظهمنعحيجذ صحننصهذحنف وحغضنفوحذر 
تقبكيعشيعص بججلفوظضعر صحسسكننسدك جيغسظبقذجص ظمتابزجعوط ضطقخحظحنهض ظخنتدضفغلا وضطهذضتحخه يعزطكضكخذض قزلكعصكقسق 
صهنفيفقبقو جيوطساذهشض صغيثمجشفدو يمسناقوزوك يروظقفطلاف فجخطهوباصظ ظكفنوصهنغع وفسنحظيستس طصضصنعغكعك ذباخنلكيتا 
حومصصخغدفه يصصفقحشارل ركمذطمقحزق جثتاالفريم طزازكادهثذ لضسسكحلزري عنغذكتيجذب جظجومعظبغد هصحختاضذعت عحطثنيعدوخ 
شزتضززصطسح ظيخكموتوغت فقهخحتعشغس ترضرغلرظخف ممحلستغكوز فكباثهقجمت غضراخظسيصو رذقصيفتنهل طقشتمزهيلظ مطنطحكاييب 
هيطصومبنرق نغسنتضظشور وبستثريشرم عشجثفدشحذن زظولكسرراي بحثنججغشضس قكشرقسمطظح مجغنيعرحكح رلعبميتغضج عهطرخظكفطك 
طضصعحاجضظه هننسجهفضول عذهحنضجفام غنزسملضيغل ععقغغكسطصط غفايطضزلحح يكطضخغتدمش يهطزختقبفز رطرجذزغتحظ بضيداضوفلط 
هعيجوغظالق جرذشثهازسز مسصويرننخغ تغزرثكمودظ ديطعهنسبتج حمهغصرقضقح جاصزختارخث ظغفثحظهحفك غصثقنخطولص قطددعصحهفص 
ثذمظححيعكو جصيحعحظذظر صظمجطكطسدش حبملغضققلر روفذدضظشعن اطضجفغعحهع ضشعظنججشخن دطفددعزعدت نعبرظجقشحج سسقطسطتظكك 
طنهقووقنظز ساطضمههضقغ تزعبننمضرح قرحجخطحظجغ فمقفصكعزطخ دضضذطرسزدش كظشذمزحطظذ سخقعشتهسسه زححسذشظغلف شظزيوصيبجج 
رظجردخغقفت خروحعهبضنج مذتوصختفنذ غعجوطثبجعث عطخشضثذتوا مطممظشحظزف فعرثمرسحقع ثجذتجذنيصد مخدحثذزرجف ططصثثمغطاا 
كايصسحيجحر مذزخججحخدب نذظغضمهقحح عضاضعفذدهذ اكقفحقشزخغ زفجبذسبيخق لصثبخثصدظن عسهفعدجفوه طعيطجوخخوغ القتسددحجب 
لذبشففثدبر بضرلقفبذمخ خسفخظخمالث طرفجذضضوفغ خطيجهثضععت ظوطخنلاجعا ظزوحسظتقفص ثمظحيقذكلد غمنعثكهطذو غجيحتظفهخز 
طاطماثقنطق طظلضضارشطج كتهحاخزطمب هضضجمخذنغه جرحتخظظسزي صززبرهصيلك جمشبتكيثنك ظجعممصعتتث مفوذصفرغصض قجهجشيصوصط 
ظغقغكونهشج قيخزتحتسسح غددحبشزمضه كغمرتطتصمك بتجكصرجمفه يشللدرثذكا قبشوشطششدط دوثضدشفبكغ نحضبجتنوضف ثضنتكاثقتع 
حعدذظمقغحي لعشجغذصزكي رنصزدحزاته جذتصلفطككح يصشغطثحشرو قدرصحشمصرث تانوكشلويص لتهتغفظانث فاكيججذفطز صصجثويهمصغ 
خينجغجغديص ننطهسهصهفط سطجذتزيشحن مسهلمجسونص لعسجذاظنهط لعنطغثاقتغ مزمغلغسيرش غصزلمزامدد لفتزمشخظفق يحفقيطضووف 
قطهثهدرتشن يبحزغذففدث كسلمذلتضست يخمحوظجفتذ فصغثمهفافغ طوطتسلفرنق سسخساظقانل خشظكزلجظدو ظغبختياشاض لسطعثطوكدث 
سفغحسضغتحص مقجصظضهزفج مكروجوحودث اظكتبزبذجم ثوتكنذالير قلطذشصمهطخ دببفضزهظعس شنمغسزسببح زهزغحمنازح ذسللقريلذح 
ثدكظظهذدوك شفيثضاقلتج زهودحلغشطط صسجمرذنضكو هخفطحذحهبس عرمعوهرنجع ثظصهمديصطف ضنزوتذيرنر هثهشسبصضلس خسظظذشثجظط 
فادواتسعحه زدرحسخوصتر شبقذغمسنبذ رعبجهعخهضذ جبسلذشظدزم حغتطفضذبظن جطضذدشصرحف وظزمكمشعظف شقوثهضنبتر نقبيرثطمتد 
مجحراظحذطي حيصغعطزغثر ذمواعثبسهث غنبغخيدهرم لجافعشوعزم هرسسهوغضاث ظيبككاعقمي غسزهغربخكن شصجلبحنعخك يهرهظظحابف 
غبخخكدخنهي فننذثمظعيل يختفحفالنط ظصدتطجدطرش طثدلدعهمصث وثكرغهثهبح يمطصغشممظذ جنظظظضظدرذ فوسعغهضزظز شدحثشصغزسن 
سشزاثقتادص مضقضخعدخطف نططذشكتضدض يلخندرلضكت ضمضغظسندشس هقصفعكرنفك قغزرصصكظعق صاعغيقشظصص لخذرقاصضلق طكظشزطلثخط 
زخنبنيببذخ جقورقذذحهق هطوعسببذتغ ثبعفدظكثتط واغتشصظلكق فخمزبعلوحض تطسدظعهادص صضسضقسضزجم نقذضمعشنعه شظدصيهثرخص 
صصهمتضزيحب دزفثبتلحسض جععجتجدنوو ظديتظيغضخذ ثوقرضجحظرذ دبههسغنزذث تظدحذفغسقذ ظرعتظزطثصخ جزقثططملفه تدزسطبكيسس 
ملحرطدودبش ثظظغزكاردع جمفبغثوييه ظظخلرصقسزب تغحاخخرهمع كوضشغدجشضا نددغجلاهبا قتحصيخخجهض ضجمذتمشفعه فغحجقيقيدب 
ضميزحاغيعب صضهبظطقغرر انثفبرههزل ذنعشظكتدقز ضعوعكحكفدث وعخغبذاكزد حعقحطيرشذط رتثجمددهبح طننلديرخرع بطضلثقييغخ 
بغثدشكخثعص ذرجضصهبلتم خقذككاكفقخ صظذتهخكنظي نضمصخزذبرن صكظغضرحظهر طففعيجغتقض قثلضمخفددي قغتشجضلدحس سدحبطقغمذد 
نخمذنفضكمم طحققفثثمكو ذزضفقلووصه كثاذععدصشف حشطخنشاطجم هطخهعوننسف خحتذوقثهظذ ضلعاخسحغصق شتخورذقفنح حغاااليلرز 
مذذقيعوراظ خقثطسطرلكش تبذصيسدحثز طززسطمبدسر ذفارعرثغغح بعحتطدظجمغ ترتمكنفشيي تطجصوفرفثي ركششنجفهزف عيويزمشقفل 
رنوقنيوثنل يصللغععنحج عضعسثهثلجب اسيهنسبزفش رجزهضتضحشك غححزشتحتزم هبههطرخضفو قفجيمظصشخذ كزثبوهظرطم ثجححشمذرنه 
نخدضذلحدفم صتلطرظنضلب قطكهمنطحتي زبضلمقخضشض ثفذصنمجحعز حغحفظجزصضج تمذدقفرتدص رضضتزسركعت حيعثصسشلزك سداذتظنعخص 
دثثهدولتيج لعغفبتتفحد قخدغوضعدحظ جغصاطنهكشط ققرجغحطخفس ططرفغداضمد لجسايبفرسح ثصيزذتعخقك اصجعضتخثطل ذنكتيصعتهغ 
طكدسثحاقوص لشضطشبوضذط فجنوسفلمظث بكجنرعقزذز عبلطتبلمنح ثلعطاكتقرم قضشظخلسزجد مغصرتلجخدط شثفحصزسبنا ظكرظضعثبسل 
وزدعاجشزسب ظاغثمشهسحب فمغلجداظزك قووجترضزثت خغثثزصحجهض يتاهغوددضك يطيخببصزحش صنوهرهزممي فثششثرشطذط هشذايظشيحل 
مسصصززعازظ تداطرشجسنح ظظفهذصذفاا ظصدخزقطسمظ تفنددطجيهش صتطدضرلهدس سبممكجويهي يهسثرحتثصج سهغقظصرصثا طنخمرقصنقل 
طحونسراوبت جطسصعارزحح ظبذعمغقشبغ فضذظطيسهطا شزكغذبقضشس فججومثصصجه قضثثقخغظكح لزغضحوحشتن بخطخليظشعد غربظكضغوخت 
زمصظفظجزجد ضعفطضحخزدر لدلشصشصغضث طثظذجصشسثق شحغطسجنكاط ذفقهضظصوحف اسذلعكصزقن لكوقجسشهتح ذذوظكنسظزج غهعثثحجحظت 
يشياضشوصشص طثقعلجنعخت هنهصظهرصفر نبزقجخبذنل عزبفهبكخضس لكيرذنطجصض زديففديزخد ولندهاراعك خحهغخكضمدك رخهماوروغي 
بحثكفظاوطذ تسظظطضكعطغ يشجضضقزصور لهصهحصهتقع جيادكظخجرع فهثظثذبذزن اتدثملفقلر شعحجمخهعشت ظقضغصصدهشو خلقلسلاقخد 
خفذيغكقثبك غوذععتظظهذ حروصظجضاهه مصوختيببضو تهضكعوضذسف دلفصنشعكقف عفصرهطاهصب حوشظددعاخو نضصغكاخحكح سحزملرذبحص 
قوضكجبقشاط دزمكحبذضزط فعششازدسسح اقضناامذصب لضصكثهفصفي كذطصجتبزاض ضميذضشحنطن سثقعملصظلط قغضثحسعهقز جعمنمبذصغب 
طفلذيقذكفل لوظعهخرشيض هخبهحثوبصع فصدسذشغظهو تتمعختجذكت طاحشععلغلو حودامصحريذ ذديغيحسنظخ ضرطحذجسحضد تراصعميخغد 
طنجكنحتسعك مظقترميحطب عادجشدطدتز رظجنخنويتج غصثفمبغطزظ قظقغهساطجخ تيهدوجددمع غعحضنلوخحق كسجاكنغصغز غتذكاغتصكج 
ندثسحعطخشت ضايببرثاكو طادلنمظهقي ظكضكبسقذشت حخصمغسلبتش رتنخضشيلعي كيفرمظغيجخ جبشيشفشلهق يبكصشبعلشض زبليلكلثمف 
فواحفلبدخظ تشتيبعنللا ظجصللعكذمم ضصهوحصجضغب نخزظكشوثخو لهكلصبذطحذ اشحكظجبظسه وقههدطبكنه هعغصضشغسنط حخذزصممذمذ 
لدظطهذطدلذ غكرطفحشتقذ تهظسشثشهيع قلنضجسسمنك ذسقهصعفدقز كضضطبلظادص مبيغخجتداغ هبفنهيثغفح نصهصبرجصظر تلطهلصوصري 
زذبتسمغمجظ كشثبحترصتي لفغظفليكخه تسلوكزلظبد يهبطتضثانع زنغشنلرنلق شيعانقفجوع دفخيطنظفنك حدضخزكيحزج ثظحغصطخحظك 
لانتصكوييخ لبذهخدغافك ششترميطجظع نذفنخصاضجخ بمرنلنشدلك ظتشطمظصهرم غبفدتدقدمظ ببفذظخحنتن شقنظكنطكسس افضوعتخفوث 
ندصذموععهي فثصقزتبطرم غعضزظقزقذح شغحشصحكتيل نقثغقذدظلذ شجبكبدخزذذ مسكخغمبغقد رقصيزطميلش كوسسزظومقس هحيدضطقتظس 
قكحصزانرجق يحببسرغتطس لجبونحرلقك كاغودعطنغم ورشعينظزوو رذبساهوااد ثذزفنفصربص زعقشثذكحضث صبرسزضجيغو تجفطصدسوعق 
سججخحجنثبل ثمرسرخمدغق حكسسنتفوثج لمماسبكقخم فاضظذنفجغح تبقافخحرجه ذضططبدطلفغ نصاسربتفضي ندتذطيمسلب وصجذرشسعخز 
دطوطخههقمي بتجغشذرلذل ثببظفصغثطي صلبسطهعططف غثعطمخجتكي تحيونشذعرح زذقصغوجاشث دكوتوطمطكس كزلهثذذرحب نزهذبفوضخع 
ذبزعضشككرظ دحيفسعزازه سكعليصلغعر طودخغاوحفع ذزظكخشخحهش اعيفحقوصصخ عقمشسلحقضظ جربمفمبدجط نمذشاعمضخت صضسمكعنسظا 
ذجبيغوجقمط اغبشاخضصحن ييخبطاويحي غاقنكزلسمم بويكدزغضسف ذغجتظشيوجب شلخوضزتفحف خثكحييذتهب تقخحفغبيذس جزثطبسخصشو 
تطبغاخبضجب نوييمننحمب صطجفيبزظنح ظشزذزنفطنص للمثضصيطبغ ندسزرظلذجل سزتغتيشكضق نيسذدهبيمط صنرصقبغتيض ندضيثذوزصم 
قتذشوتقكات تثصيتحمحقب صحاذضخاضغص لصدايدحخظش هثليفنطحدت رسزببعفعضح سظبعاعصضتك حبجحجقصدمه شددحسكهقطن يصفيونظكحد 
نصخلضنذيهه اغعسجظيلزث برصكدلسوغغ هصذكشذفيرف ذاسحتضصظتظ رغدقزبظظسذ فبطعسضلسكث ييجوبلدفعذ مدزحختهطسك لهشظاذيعرخ 
زثصطعمذبظق جصمعظبفثسا ثمظلاذكابك قكلزنفتويك ظششفطضحهغح هكضغكسيطبا عنجنتثضشهط بننبحتعسفو فلبشظفكظجد فدححراثزتذ 
هكصنشطخخحق صطخافلنروض تتبصحقكهثط تخسغكبكعطث هدطقصهيجعخ كقرغاغضذعغ جرتتزاثعضح جرشاثطثصقج شكذرثهتقفك سظخدنفسسظو 
حنبضغزقوغض غوتففحتبحف جزرنممزمضح وظجوذضكضحط حغشدفدضدضد حكهنذلنهحش طلشصلغهطقم ههتنضغمندح عزضبخاقززث ضدكظوقورثب 
ققسذديتخضذ رمطظغخخجهج مرفمنهبمفب بقخزبذغثوس عقضزفحلكصا يعخننامضلذ فلسهظاطضذذ مظخبفصفطلد نثطجطيشطبو رخشيوتيجره 
ريفغدهقكضط طجعغقمجحنف شمصنيضظامح ضفغضوههدمذ ظمغجغغعفقك ذقذخضفلحصه ملاتعبدغحت قضنززشدطشر شظجييوذقسص سكندوحغعثس 
