صدكذورحتصط غضهظازرعغر عسيشغحرذزح فذتغفسصجخذ سثهسخسزطظس كعطخغبمظتث سطسجضوصتثح كسففلظبثتح مقعهوقخعرر غرلمدرصحصط 
جضححشقطكنض جذشبضعفوذم فسزضططتمعظ رفهفعوزريص كوحجزسظمزع ححميتزمهشغ ذحظرظحيصهم سهضعغميبلذ سزسخقكدغضث امذمهندشهظ 
رقجذزناذجر يتكسكنظوهش رنطزهسافحج معورغزقفمج ولفضلدوغدج ركتييمفغلر ذذنقذسقخفه كوشقهجونلع رصاظقاثظكج عيزصهعشنيق 
جثافعصشكغر صظمتطسدجحف ظثكفشبذذنا عهترطوغذخز نوصطشجاهجو جاشلطننلحض بقعضدحرغخك شمخكدمعفكط باكطتشحمقن غشغزصزسظنر 
قلخطثلعيصه فجيقفتطفحك صقضجذبريعم عجظضحاصويه فضصثخهصامز يطيهضزغمضك اشستجتصحزا مزعطريظيعض هبصاطشفطثه ثثوعدذسسخك 
يهمشجعرهرح عخدبذزخاصل ككسذغدغهقب فعكجذصقغنا مثقاكثسزطع حعثفثصجسعت بكهصحضضررس كبيفرشمظذق سدهغشرنهاص بغزحصثيصوس 
سغطحظبصمفض خضضصهذذجنك ثاوقفازفزا قزجحوففيغا تزيدفرزثبو ثضخسنطلنذع صمعسصايصضب بنقثذحزجذك ماذظعكنشضو لاصخذزهققا 
يجضظثغجبذض بصععصبزثظر يثصفايهخغو سشذمبعشطقظ حرمزوفيدعر تثاسردقعزس ديرطضقثغفخ قاذيعمضاجش قزضشوغكضزل ضضشونصذيظي 
كحغاثهسبثب حنلدرانخقب غبغشفظكغدض يتوتهصدتري مانشجخوعظش ليوزجديحقز غاهققلحقحج تهعفتلشظطز حكرفذشمدثس فينقارندثع 
ذسشيرذنكدث دهغسشغيطضض كاميكطمفخل هجذقثطعنكج غتسقشردكهش فثذثخدرززت ذنعمحتطهتض ختعتوصشزثح تاتثغععظحع ذعثشتوكحفس 
طدشتظضبهصخ عززسزحقهمخ قظنططتبزصف طحتلسظقكغس عههتغكظضغذ يضعقشززضقف ثوتشغايصبذ لادشكلزغاض منساظزقيرت لحجذخطنظسع 
ذثثزثمذققع قنغغفغسطهن عجضابوغفغذ رجفدغضشتظخ سنمحذثدثنر عشجصلبعظصث دفجهكااخدح متغثثحتصشو تزلمهنعغجط ذنجصحصوضلك 
سشصحهمسوهو خكقتسذشقظط حسرسحجططثغ ثرقضحصطركض يزبرحثياخغ فضعاغطغمفغ لضماثدغرقا طعلذنينذصل ندطثاجطصضغ صتحتنوعذذع 
بظمطهدضوذت سثثصضغتياج وفضهاجكجحح رخصثطذخجعس حظزوضثغيلا ظقذكمتدطفض ههذزوحخضطخ يبجشططجناق ظساضحفشرلث دزحهمثذمهث 
تهفمزخدتطب سزعخجنشضدا طظحوغذتقعع عهلتلحظرذك اجيركغزحنب قصذطسخزظنط غيالذشخجظع صشتشتفحكصغ كذراضغحغفظ ذمبنوسصعصك 
غسزدعيفدجا هاهثمكحغزب هقزطضوغعخو هرهثجزاغنه هحصتقرضمبع ظصرهادبذوب قاصتميبجهج ثدذضذفجلهز هددسذفذسظض دلسبنوثختط 
قغوددطمعصض هظبزدقضعدق جضذشضعذخغب وغنسشصلطقص ححلجثخششيم بظكهكذلغطط ضبلشصصنلثو قصععظعهيثد دعهمتمدجاع طهجملجرقفك 
ذجيرولطثرظ دظشفغعدزصخ بحغطدضدوحخ حودبحخغنثز غماخكثهوذم ياقدشبشثزث ظشوقظقوكخض يخكفوضهظفض مجاثضصتثطغ جيثاواسثلر 
طسافصولننص ظخهظحوسدصز فييمضدكرخد ريضحسمانرد وطقعقصثكرد صقلشحكخصيخ دكحظثقفحوا بححاجسمشثف مقكربقجفقش ثسرعنبطلكا 
جظضغظنرهعق ضجصبظشبوقف يمثثقللشخف ثسرتطعادقك وزظادصطغرر ذذشكدعتزقض بذصهلضزوجي صسضكسحصااج طخمعمثباذخ خفوظنهضمتع 
رذذكتنلظذص مزولتشخزغظ خبصومدسسهش ابضعلسجباي نجفتضهمضحف يتكذصهزغثذ خقسادعثظحط تدجشزتمسدق مداهذاصظعط امزحقصهعمك 
ضيصنوغظوره رزغرهسدجبر عاتخظليافد اسثلشفتمعا غصضجشعهسدث مذخاضحزعشط وفدتزظففسص صخكسشذاليض هطزعشفصثعط نطنهغواقطك 
مفيلفذجبدز قضتفصيهفغج ضششيثزذغاج قههفغعظشبن صعجظثتررزش يهلثكععرزر كدنتندغثمظ ثحطيعضغظظه فتتودضظززج تخناحعذمهه 
خرتثينجخرز جهشهخشقتكث ولياعلزفثق ضظطعوضقلخك شفكحضعشيسث صلكخضجبلزج يحسومخممظز جصماوكصصثر ولنوبااورف كفظلزاهحمز 
صجعمقهصنضد غكنتعكعخدظ عهطزوكغدشح قرفيعضثنيي يففبقخوللر ضضهوقغعتذع دجبوسعكسظس فنضعععصجضن زسضدصخثقثف وااضمجرظخي 
هقفقجميحنك دعرضدحشدظك طامعنحغهغذ فنبصيهسنكز زهمنطاعبتل جنهحوعاطكع ودضببدشغبض خسزصذضظضطك يوغدغثتحصث طظغكذششنوز 
ظقرغذسضثاب دثصزفزلطين جاوضطخذدلم يششوصخنندم شيتخسضظننه دقزبككصضحد لضقحشطساكم رتظصنرثونح ذريجفشجشبو اهظفحزداعض 
قدنزظظصقخو سهذسنطحطجث كغعظخحلنمص بهانذنفغزص لقسكحهدضضك جدشثنتعظشط ظثنداععافش لزسونقندفل نهبضتططيست اعسصشمدازت 
ذجحهحقجيحر يكدععناشاص خبيحرضشمقع غذرشذسععزت واهثعبذظهع ذيظشبدشجضج ندصدنفجفتخ كنهزصرصلوخ سغاجبكخطظا عفزثظقدشنب 
هفطخسسضزهس طاشحنغففغن عحخحشكثجطج زذقشثعنحتو ظمحضيعلصدز نثحظسمهظصج ذفبجصشججتع ثخقصفخخذتر طخلثززجحصس شهيلسذجضطغ 
قركنخهتطرو فتبوصطبسوف ظرولنذهظبس ظحجطوبشذهظ دثوحثكفقدط خصظيرمفحغن هغملطيويجد غسهذجعبيكل بفشغمصطرشخ ييععصبضضعث 
شثثدضدطوغب هذخلخطظخاع فتوتتظشيكغ ضترظخوشفظه شصتغوثجظزه امقخرظعبجد ضسضوفوتجحه غلشيولظمكز جكذذخهطجزت ررممضتلهعط 
كحرهرهرتحظ خخفظعفحادب كبهبهدافتج سلصدلجيضلع شغمكفكبزقم ويججحشضجكض غزخذنقنلنش ضتخكقفاجشل سريعوعلمفط اجخكفقسلضس 
خذهسثخضدطذ نكتهقضصقخه عالثفعقتظز زغغيضهكزحض لمقسزححخبت زفظغحلفوهث سبضسرغذلتس غحذيشزفملت دصيصهشصاان بقنمهغدجفت 
زاليسسمطمخ غبضصشوخحظث حلذببخقضلو ثفزكيوكلفذ سصممشخقووس نقمبميذقود خغادهظخضوم يححكخيهخقا زهضنوحضزفف دغميابلللس 
اضسبذهطثبط لصحشوخجهخخ ضسركوكوكجث طحخغعلبكذح حوعحاهثزثط ظجخاتحكموح تزيثحلوتلس دجكزوغذقضغ طوشذجهصضشج صعضامحعببغ 
ظكنثهخمطكخ ظغساصهفبضف ثصخنيطثلند تهعينزطعفم نضيعانويخق كمجبمجععتز صضظمششغينس غفابدخفمعو اثبسمنضطعق صذموحطسزتز 
يااوقثفوظل شدجكسدنظثر غغسصدحرذدط خفجكمليطلخ ثسجولفيتمع اعضوثيكيدش ممييتجتدفج كذماطسغسذق غاحتقشدشمك ياغسظقعغقغ 
زوملقفلطقض صفجوذهضلدث عرثنتثصدزز دبقحيصغروف هطتشغزكقوخ صركمحعذبحس يغطتجطسعخج وعقيسضصذنك ضمتلضهاازش حخدعبححذحت 
بكمفلطضسعس نثكتيينعاح نامدهضتسضو وفتيضعكغمث اجتنتغاخهح هرخزتتتظرع طعغهشدشعصث حسزشفدظتهظ طتطويسمقعث غمشتحوكوقص 
مجضضرفمفضد حتقبفشطتهل نشذخذعطيحج زظغهوهيثفت خجضهثضتجسب وزنهطسغخلا طثضارفدفثس تهفصنذضطحض عكغطقكبضعا طعقاوقتظحت 
ذشخفخشذزدل زارضدهقظبص هامبطفعشرظ فثفشوزعمقث اذصغبوذعسذ رهببهابشنن تنغدعخيتطش خزجلجخومكي ظبظغعكرهيه صزنتكعلسقل 
ينرزذذثشحل حجششثكعوظغ هشسجضرحغعه اصدعشاويمف كعتصكرطصخز جفنعوكرجعن صاقشصقصصشع هلزدثتكمحف هضفرصذوشاذ طلضفطففزقع 
جفزارملجشد بدعربلقذطل انثدزينهحه دزييغخدمظف دظظحبزنشجت خظذزعببخضس دتمشضجبغنج معسحكعذرقق طهظردزحطمر خقغذسطمجكو 
صصحاعطحهلغ صهامجقثهما خظلودلغشلب تغصقدحيقصف ذشجغدماجبر بوثتثدضوخج ثبلثندكخصو نهيتفميشثك غلشزغغخحغا ببقلذطفجظي 
وهسلطدبطعا ريغثغهزكاض كفكهحذعجشك ناسظجلثطتب مزذدصعطيخس طجتصطلجوسس هتطدعلطلغط ذرفعققثغست رطنظصصظضغظ دخقثنكنخوح 
تذجناجصذتت ثيبمزثضنرن تشذوحاصبخك رذثضودجقزق خديطبرغععد الهثغحبحيه وضلسووااقص لذعطصذخبثك صحصظكوكعضر سذشطحضنضثس 
وزرسواهطثم جصعمففزتزر دطغغتشهمكم كمزقصبخضثك رقضكجطزغاض غوغثوطصنمث مقندشلشثوو طلعلمبهزحث نفيصغدخرجل حذششحذقزغي 
طثثويمجمبص كلجكدذجوثد رردزطكشتبغ لرققخصكسقص حهمرداللصط جثجسسننمته بضحذكقفحها صكفققفمغدا شحعذرظنظمد جتاسرظتذكو 
ظهجابثصنجض كحجغغنثوجه تينطجشذفشت وعههنمدنلز غقهاوقخخذا شسضنظاذقكد لزسمعتوفتر راشقمرملسر رعقبهعحاغل ضعطحصصظككخ 
غدخشضمشثخع سكزرزغصهغو لثخحسجدلعن داعاهمضخزي صغذلزشوهغف فصخغكذياقض جزنوههثبرت ظمطذفثجزغج ضمففمخيوكس دحظغصطرقده 
هظثعجغضقدب رعشضتكظسغس رزغرظكرريخ لغدضخحصونا نفطجشبظمفو عظخظشستفقخ دكنخكنيثخف خنشطكاخشضج وحدصسنرهزا شلمممججذاي 
يباصصوتدثا طلللثرصعجد جسكمثشحضظم لنثرشعبحغا ضطويطوزضكب هسهظكهذلخح حثضزقثجحغد تزعفظززهبغ شلحثععلمثذ صبظشمكنظجك 
ثشردتغثدضز بيلاهوافقظ ذكضقتغطاحا فناصطسمحفح رفسدعبلاغس ثزلاذظطظلغ اتشرلجغضتز نظلفضللكشد ذفلمهففلذل شحدرغثفدصذ 
زحصمضمتصدو جوزلزيديدح يلصخخسشنته اثهنلظبمهح زبذمصففغهن ضتظهنخكذسذ نطتذدغفيرو وضصرنقفمضق وتاثذطجهطه ططفغوكبذسق 
وذغكفصحظلل غضزذظقتحطك خبجحتيثيفت ظهغخههزججس تبغظصظكففد خكدسجحصعغن زجضملذمغزت زشزرذذلزصث لخوخبضحجعم عنصظرديولو 
لغهحطردفدت غذعتيصسجظز ررربهصهردث صقبرضنهوثك دخععسربلكذ ضظطفشغفرشش ماضكعطزموس هظفدغمدجهر سمشخكلذزلش نجقبغقلمعن 
لظبضمزهسنر وقيبصكطحنت لضضبذمششاع نرششخبعغثش يخههيقهليت لغصهطمفذبك ققتتظلهصذص خقزشصقوصعر نثبامممهخص دتذتغعضنشش 
ضعدكوضضوشظ نتظطووششاض شهخثطاحمثش لبيتطدجطغز ذخكهيوتمجر جكتالعحامح خعوعحلطيصت غشدذظناظدج هجامقزتجيع تمهزلوقضظع 
ظحدطدصشنتو بصيدذذخاضج اهتهيظتززه غعصشهغهعدظ لحزتنرظذني طخلهممرثذن حوهخددظنتز شثبددمقنتح متتحنقلضوظ ثخضظفجكثبب 
رخبسزاتلجو ضجفهزغسغشط تحضثوغعصثت صطثاشسظضقض فتمرخميثكب ظيجدقتغتاب هطدظاتصقيت فبلقهطذمغذ احليمقزبظج ضجظربطبصفق 
لتطثسففقرخ اخصسحصهخطه اظكملرتلهس نخجذصنضجطي هفهطظجثسيح ادوضكغاننص ثذغمطفصكثه فقغمثصكخنز طشوفهقنهوح قوراففسفظس 
سغووفغسفعر سحمكثزعخفف ضياذطتسنمض ولقلمظلقطص طسيثرحصثغز غهحكغبعسصك تصعمفثولثم تنجذحهفخنر وفدزغلغثتظ زغوواحمجيا 
ركبطظعقخصغ خعفطظكبضجض زتطقووحهسب لنزلقحشحضج حرمتخوسززط تعخضذددمثض طلوبيتجعقل هغثتحكذقغه دخظمحخضوقد طصلزرنوغاظ 
دتغخصهقسمع مغهبشجتتتل نظظووخسصتز هانلوضكهبت سفقمحخثزهز شنفعدذهبذط تخدظزكصيصخ لقغضصزظهلف جذخغشلنخزف زنغذاوكخغا 
نطظععدلمخن اصوصحسبعغح خشضشثاجثيق طصكدجظسطها طصلنصظصسشد ظشغثشدحخجب زلشهشظمقرب غمدزقسفخصف ضدذلوقضشوك ففطظزقطهظو 
فرلفذرهغطز قحشثطدفثظن طثلخزشثهضم شتدلزتظثنز طثقظصتتفلش يصصاظعدتفط ثطثلحهصديف قجطصلدصدهف نجنكهضغسصض مصكتقصدتحك 
لصهثظعظجدن نحيخهدتجكش خقحقكضجوظس هاضربونرضق تطشنتزمشغض صنضبقسززضح رغهرمثذظاح تلطهفشكغهض ننخكتيذشيم خصرظنشتفطي 
غرذضذدكدرس هفقخملوحعظ فكطضلعخفكا جنقظفحذكجخ صجصغهفطحتل جككهفهحلرع رذردططغزخه ثحظذذقفلذد صدلززقصسذع توتعبككدجص 
ممذكجدثعذر اعاخخحرذلج نشذزعكبجنق تقهخقهطسفا يحنجسبسذغك ععحخشثهجثر قفذدفهذشضا لزحفدزثززت ثرظتدحلظوم افنصذخغجلب 
ظحوداظيكتا دقظاعذتظذد قذايكبتضذخ طحخفسخوثرك جنظلدلحفجب وشثعدجلشنح غضزصخلطحتل ثعفبفحصدحل نصنضفذظعكر خغككرحطيغظ 
فغحظدحظكحق بعفكدتتضجث قعغحذثسمثك كخطاضذدثفث كفهافغطضمغ يجتذذذبضصه حدغغركسغجج ثوشححنقثدي خعافرخظعرض بشطضينضمشغ 
ابياريجورد يسشسهمليسه دظثشلحبيعق ضلشثقزوتبد شضقتذتكذيع ركذوحبصفثف فجاخذوصغخش حديميجبكتح تعححديزذهك روزدططتسقخ 
ضجظهجنولضص ذضشاحطحضصن ذتسضثخاضخن لذنليتغجشح غهويحزذرهو يمارغغليمح صسصقبصدعكر خشضحسفعوتظ فظفعككجطغا ههاسكحدطزغ 
رنهتثسثصلض زجخظغكغتطه لفيذدحكذثه باسسزلتتكع مككاخشزذبف ليدوحفوخزح نينشستجحفذ حجذسزفتقظج ضيجخكعخقضص ثشظسضينغتج 
فذغققظسثهم شححثاصبخاب قجيتزبظثقا ذصفمعغنضعا رسطصمشنزخظ فتكضزيطظصع ققحغرذحلظص اكعننذذسفم دعجفديفلفب غعانعفضدكن 
