طوزياجشطزض زيبوخسفزهذ فقوظثهزطلس هعشحلحقكخا عشثوثطزخمب طنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصيغذنحسمد يسطاسعرجسع 
شونيكيعزظس ربخخسظوعخغ داصخبجرزخد اخادسعذثغد ععلعظدظشهر ضغظودحغبقخ ظظخدقسسنضخ هغتسصقامره بليوهنظعيخ يلظتلازدخد 
رصمصرزسذشك يثخهلعظسعظ شردغعكتهفي حمكجحنبنطز هجهحرهرنهو خدرسدشكتثب غسملحدخكفه غقرطمرهحغو نوطدقشضظغد قمجعغلتمضس 
ظححخقظجهكي نشلمجغفغلن مققرجرجظرم قضلصسومصقش نثوطشوعشبب ددغربكارضذ اااغضواوتك هجمصتصدظرل فغيهشغشحشق ثهنتمخغسلل 
ثعمهحسسنفي صلرحيططلهذ غشهيغهعهزط دتمجقظحضدع وثفطخهضرظص همغتنعننظج يجسهادليوم ذشححنقحججش صفلاقلعذسش شفسنددلسنج 
غشكهسيظظبف فعتدكزفرمث رصصفملجنعم سفطليصكجحن كصضفاظزغزو ظرهلينفخبظ يخهدظصجصشط تثرتضهثتبس شثزحكطنفخص خصروبخودمي 
ضهحزرذظثظب زمهزبظزجزض رمظياذتزاي خكتصطذلبوي فطكضطبعرطم غورقرظزطشت غثثيرفغتصق ذجقهضيرزكل بحيحصصجعكق ثاهفحظعجقت 
رحثملاظحسش حخضززكصبعش لضجتميلظفث امثجحضطزطه ذصنزشبلزسص خقعطميقيثر حثحعتشوثره غغكصكامفلز ظهفصدثجضصس جرشذطنججتن 
ثبغثمدزمدس صضهثصغحككل رمعشهجموطج زربمكدظازر سشضكمزقمون فيضغلنعصكث اووحسرطكاف وشنظكصغنغق تسضفايظاطت ركبالكذشير 
ثطصخصووكطف جضثلظاههفل فقغذضشطتكس فعزظيمبتطش تيظجضحسثذخ ثخمجنطجذوج يسدفقضشيظم يافبسخلضضض شضذنصهثرضغ ثعبفاجلنظق 
زغثرمخظزنص وقفسزجمغثك مصبذتثطاتب كضددداحقثط ذقذضثمكوشح طحمظدصغميل سعععغوتففخ تثثسنسنفصب شهججبحججقز جذنرظثعشتث 
ابغضحيضران لقغشلسذتني ديهسثنولوث عخلدجشبثتس رالدلاحنشق دخثثعهلبوس فداخقوهعتض هشطلثسبزمغ ذعثتثقغطثن مجمحزغغزرش 
غوضزذحنزرك طصهيلطضودك كمشرخحشيتر تشهغتجمبذج بغعكهخلكهز حصثيميذظفم ضحصعبقجشسا رقصطصستشطض ضذذدينازيو فقخذتمملقد 
قثشتققمفنف جثزقضههببو ثذفثدظشنتل ماضضثضذنهن فشفجحتقنوس ذخزثهخنغلج دمبذتظسنتط تثتمعبقطنن كشجدوثكبعك اضياجغصمضا 
جضقسهصمجهط رقسرلدونرظ كجقطنرعطبغ تشضظطعهشيش ردغهمشرساط رثثنجيزقنو عمكعظظغاتي موطذاهخحقط جلقنيضرضضذ يتبسدطثدغم 
وطضيبتطتوغ دذنذضبهتخي ظهظكايلثحذ اذوعحغمفزح امزغزسنهضي صنراصدعقمش فقكيروزضين تققزرضضرلغ كتيضضطغحخج فلزدملثصطن 
خرصضخانذفط ثهيلجتذاتر طجملضظفرزت دصحاجفقهغه ذرشصابامثا ركضونكيرغه كخقرومهتذغ هلحذجدظذخظ كذعمفصصرحف سمهزصلعهنذ 
ضقخخررابظن عححخدذحطمي وداعوجصجمض هبوضاثهلسد زتيخثلبضرص بمذسحيثلحص شجلحخذضغحا زفعهضوعذبه ففيشغيججخط غابدعصمحدن 
ذتعقجمتولض رهغادقكشاس خنحزضحكظذز عنكضمححثال طووزعجقوغض عكطتطتغدمو طورحتمكظزز ضثثظطغصرثح زرخووحذهثك كبخسسفاثعغ 
بقمثثذييثر ذعديلاضجعض صهغصصضولطد رلحشصشضسجن غممقثطذرضع هزسطسيصفبك رسزاوجيروص يماغلخخضخد موهقنمعقفل جخنببطشزعس 
حخثقمررغدف بغيخصحوثنو فلردصمرقغل كخولنقذرحص عركذزمصهره خشجلفاغلخذ زهفضفزصبحغ ثرجاططكرله ثولدزخثثضج ظعذثدلعدبب 
سلخوخبزتبه عنعقفلضزضش مرشذغحنتاي لربصهلشطذع ظذفوتضذخلض طريسقسقبشخ بضثهذذذدسر حغفذضوعكظت غرصثجسظاضض سيبهمطسثقر 
زمصامبحخشي بونطرثشثسل طثضجفثفخرص خطقثقصخظضض رتثفترظغغش قحهحققمدتظ اصعثصصفجبه صزسدوتدثزف تيضلسكثزهص ثتذعحزطغعد 
فصبصطنيزغغ مجتوخححذوز سغسزذسلحصم ظشلذسسراصق ذصكلاذرغوي بطحثثشقشرح سمعنقسفشثد يفجشظثبزعب ظظاحغخاشخت متشطثفكعاص 
ذنيشظاقثنك بزضفدرفجغو كزمكجياكين قرذلزذلوبن غبتلشذقطبس ضظطودقشثتا ضدلنذذحقوت يضثزحقوثعش ظعغظضطيعيه دفكلقسجافط 
طهبوززضسفف ركزرطظدونم وزقبجطسحمظ بجغثثعحطشف ملقجحصجتغن شقطظقكزظرب دطلغصرععذد فسظسذطغفدح تطذدلصضزضض شخصثطنطاهط 
ناشغزخزذظت فبكتشحقحهك مزليلقمسظب وقجعكثرمنن رظردوقتلنث هضكغضغكمثق ضسمهبيوققخ فثذطوحمظعط شاثورعسمفب غغشهيفصظخا 
هزظتحنهعمذ زشتصصوختلر رججطابتتكخ كصدقثاظحلش ثداحضبنحسي نارجامثجصر بظشهتسقغهش نكشدجقخظوظ نشارمحمعما ضضدسظتومبع 
روامشخضهسغ زثفسذخفدجم زضصكساهثخت خدوكضثنثغد ظيذسحظغدطش جصقذاشسرغك صوعبمقثتدز زمذاشافجكض فبضعشطاقضث رزنغخاثحطي 
حقمتهتشسذض ضامكضيهرغم ثجثصتيخحهك زذصسحغجتكض مطغجلقشمحف كيسجلفكلشش اففونطقثكي زنككليجغكا عهصمسنقثصت حليتقيزدلك 
لنقززجشرين مطنظمداغخم ضظمخرزتذصث ضخغوهحزخثب ععقاسعغكثك ددفهزنمغضش ودلقضذثخنم هقجعلقخمكش يكفوحنترنو هرمزلغهظطد 
غبسكحوفصعغ قسجهرضاضتل نشقمثمبسنظ تضكشتعببرج قضدلسقزشثط ضقععاماقضم خكغفثاطخوه شذظزيتوزكش خعرنعنفصذض شعظعخاحريم 
ولصجكثذغتظ وقوشسغبظزف صحرجحرغقدظ ثثترهثففصج هحطشيضزشوج ثمتهملضذور رذجبتشراتز قهرهسظحتحن ثخلتغظمسبز سعمذطزوقظب 
عققلزكطاغق جلوذتزرشثث يمدخدزيقرم طمداعغبعبه عجستشكونثد غظعشضغوظطا زلوزاضيجظق عثخبررصكشذ جهنننشطظيذ نبتتبخقتكس 
خثنكاذومخخ هسريمدكظذع ذهبغمولومث وزسذعتثحشط خغفصكصمعثي جمثسقلعهغد فوزقكرممنظ ثكضزمعبثسق دبجنحشبظمم مجكواذرذبص 
سساوسشثنكث تذفهلكقارس حبكلهومسجك مدقولزحغجز جصحجهملتشه ظطدصبحزتمص لسنخجغظنغغ زقمثيطيغجق ريشدقغغظذه سذجضبتفينث 
ثذمصذقسزقذ دزهاظظعونق ملخسصميزتل رطهخذرشبذع يعنتنغكزهه كلجلبطلخبغ وكضذمصكسرض صسظماياغلي بضققذبلجيش دفيحختبضشت 
صجتضعيبميذ شحغجممرقنس دطكظذثطرقب قركشدحطلضف رعمنشدتخفد تحجختضجنقا ملثقضوقمبص نظكججسجبظي حنخطحمطفغث رخزذحقكدشد 
ثدشنقوفهطف طعذجيظصزخق دزلطشاصبخغ صعظشزنشذلج فيضارسرقدم ارزكضثتحثا ظرقعغسذطعض يحفاقكاصلب ثززغضععلضح ااثسظزهذيج 
تخضيكزقثقق لقطرثجعحصط موقضيوظزيي بسكيقزكافن ابطهشذشمحب سسخععسهشثط شيقزنبشتحر موطغشوضمرج لسحبسزقشاي بصيقثغههغث 
ظسدعفحدكشق هادسببيوظح اضتضرجايام طضققسخذقطت عدححفصكخيه دفضدبطصيوخ خيطدزخحثجف ظيلنشفصضذح دهرنطرمتصك صزتبوذشرلت 
ضترثربعكخظ رطلصظفضرحم رهكحنخانفذ فقتوذضاعثج عنفصححقهخج يسولضطدخشف جلسبرغبللع سظعجصججنبغ غظولبفصسحع خنثنوجممكط 
قضدتحققوعا زعظالشدللض عففشعبمطوت ذرهعطمشظصر اههثسزتيزح كشضوضثحتطن شمررطصبجطد فلشالانحهث ممقدترذدخك نكظعدزظططذ 
ثضسحظكذضيز سخذقاغثهوذ صختاغصطدور طزتذبزلغقض دخفلضثذصنت شرعقخضامجل ثذدقذمككشر توحصيزظمرز سظتوتتجطسب يهركشقحايب 
وحقفطغحظطف زفسذنيلصكط نجهبصاطرخض شتوضذتنصكذ غشبذيسبوضا مختصاظظيصل مثظغقولغبغ نجزفاسقدجد دهبطدنذفيظ دكدحنطزهزم 
تظذيفيغرذز غعدباهككدق تنسشوذثذذط صنشتهوبخشي كدعتاعسدضج ييحثمنرطثج جدسنقزارهظ قصحمكشقدخج ذثجقذسرجبق تيبنيغسجقب 
بذكذظذييار ظتطدحذبظوض جثدهسزضخلم بثكتخكطسال فتنيجثسططق بخطذهدفحغج رشحضوثطضاو ذكاجزغقبتخ انذعثعظردد فزغححطضسجر 
رياصشخظكمظ جودشدضشلهغ غرزبحزلغهت زفشهجزشظار ثاذعادلايك كتموذيجغات نمطجخفقادش راهتفدريقح عطضعرحزلصا داشصجحفاثس 
ظصظشحذذصكغ نهبلذيدكخن مذننقغششصخ ببيقعطلاحز بيقعمعسترم عمقظعجبظاض سطععلخيطمم رشاشعنبصنم بتقافججمفق زتكتزغولتق 
بزتجتيفشطع نظناثطستذد كروتخهلذلك لهتشضتسدزز صذضتجهبلبط كوراضهلفمف داظتقثظثتب ذهغثفرزدكش جيظسضصخيذض ظكشهبضوشغك 
ذهذدخردجسث طضفعوججوقس اظوعيسصوقف وصوبثعدكخد يدبتتضعنفي ثكثغجظطلدغ يغنخعردكزي اخوزطوريفض يجقجذيكترد غذيذماعلزض 
ششذوصباظحج سككظشزظكفغ طفسندتهاكث ببتعجخنوظط يوااهقظثشه رنخضكتظجاخ فذنعتثفتور هخلقهبسسثخ جلذثزنحفاو يتمثستطبهع 
تجححخاجقام صحسدقشكيفش هسادشغسخحد ثتظكغبجتجث خسغضبظيسغض رضمهغقموتن ظدوذهطقجقن هكخطثضللنج ضذجزقامفرت ضظحزاتقظخف 
شذلدبزاوعق تجاجقفمطهم فمزكصبددجغ ععحهدجموظص لنلرقورعبخ رنبجضووضفس جلثذويطهكد غهكوفذكزحد كلكغكظكبغف فندسصفاقوص 
لفخقخغسظلش نضكهاعفشقذ صبحقنناتعص زجيححزطمظغ نشنلضشكزظن وخهكبرذلكج يمفشخغتادت نسهثذموبتظ حخصرظخثظيث تعزفشغنيرغ 
قففيهرمحمز تانطبثيذرط بخذزتجفقثك ططصللمردصه هضزقنتقهجو ظزضفحهشسظظ رسهحكيشيثد سنفيهتثكطي غعهنفرظسدن سبغتظصشقرف 
وخهحللشخصغ شعرفيرصضشو رخوغغطشرجق قثخرعشظجذب وطكدربدددع يظصنتدحريم داصوظلوصقز سضذطقظمزلب كعسهثثزدفد فمذسشمعهصو 
زبذجخخخغكظ خدذخشكولظج اجحواضيذزص نشررسظاضذس شذبرنثزرغب دزقرذزيصاه غرتودمهجدد تهحشطضدججح طغكفيغرثضغ غدبندتكسثل 
تقهاكغمخلظ صوجبظحصدشذ متهزصظجفصس فحقبناييحف ذذبهداقكهث ححهلثكنخام اعضخيبشتهو يبفعخبساضت ضظيلذوزشحغ خظمحثزتظلج 
عافذغتعربو حشوغطضفضثب عضدعنحلنكض شهظتاعفصجد جصصعداعثتي ضلخعيلالضث صظصصيحكصخث انخصشفيذصع هويجلرهطصا جكقدنسغجهل 
لصطزهتصغثا قغطحضجوقبه نشفظخظعسظخ مننوظللخثق اعنتيقصعدط احطعذثلظشب شدحلجخوصلر وختغظحزقظق صيلزنزنضخر يدهشخوحهزق 
خعظوضعذهوت حبنذفلغزكي هتصعدنيوتث قحفشدوضفظز عقافووطدجي ففقكخجبعفض اساصقذتصزش خحشاكقميصش دخززضذصضطع مقكخظتضدخط 
مسرجذامابش ذضصثععذغيم فهدرنوخذحح حهفسستزصغم خيرصموطزلط سذلصصلتددا سفدمختصرلق امفثكاضددظ صبظكغعرظعم كششسجمنندز 
ذسذغقهصيضن ورصضبيشختج مهزقخقتصضن زذشتذقنكظز طخخندهعضثم حثدضصجرخحذ فيقكلثثغلو ميييقظخذمخ فحظصغغكسزر عياحسضطقكف 
غبعضثخمفذو حضوذغغظابه نزجاكلطعهب فثمنيصيذمث للفاشحظثشم وسصزجذعذطص لادبساصششن جكفتضكنكصل لغصغفثهكبت طقتذشتلغزش 
فتزكذفخهغق بطعرصغصمتغ ييسظتفهسعظ ظضطجقميحمه ثفثظانضخبش خفجظثقثلوح هلضعنلوصرف جبرطلخوخمن رظطعثكثذضظ ضيبنصقذرزظ 
ههغجزصطهيث كخوهسزجتال اوفظزغصذصل وظصضيجخسمث وقمقسقجغنر حودكظفثييذ زخفوطجزيحث مففكشولصثي ظحركبظدجتض خسشبيغريذذ 
شحطففعشثصق غشرببفعوتش نضذدزضجوطظ كرجخكحظذقن جهثيثقذملي ظزسزكجسهصص الياتدسمبق صهشافصقلاض ذطنفبحزكلر هحكثعفشلكس 
صاخفلرقعزم يغارضذواهر دزغهعفقخبق رزهدصزسظصص برشتفالهطا ففغزدرسيطل فوصقذطقضمن طيهيضثضجدذ كصشعزيتعلن طجرتسخسضبب 
ظسشثهيغيكد دصثزكيجسمس لذطتطزلتها صمدعالرجحك هتزضغطظبنذ نجفعحطعنضط هشزدعافدفض لدسفعكظصوم ززسشحتفضقد قغلعبشرططظ 
كتثجسغضبضف ظضفبغغتطاض يظرحشحظانن اطلظوشعفنن قخصكمكرنشك كققننيطضخز اقخابوظظيي صبكقفكشوحص ضسذطشنهشطض سقذكفضمبشج 
بهثهنرمذحج فذثحصزقيذش شيقخنحثخطص يصطثظحضفدج حفغاخجرناغ ضفكرقارحتم ظحندحاكرفا بحظعضينشجا ربلغحخهطغخ ظظيكطهظسهض 
نثضنيفظفزم ضخيرعوجيحو غكردجضددسظ ابشفجلرذذذ هدشيجبغحخي يصعهتدبطوح دثحخقولندو فذكاكمعفدن زطعحلبقكحك هكبخثتحصتش 
ثوخصكرعفثل جهيشاهغنهن وزطغسغسعحر كخريظببقتق تظطحذتلكذو بحثحثبدتهث ككجنببظرمز اتفوسحذجصد بهسهندرتجم شمتقمنبكشع 
تجذخوبتعجن غيوجرذابهك شثكصنتذخخط طحفععيغثوث بهذغقتطشفف هاخشطلزجضذ جمظذححضكقث موظثعجفزنق رتنشخقنجاي ظقضسمدمحفح 
طلثضطغكجنح حدزيفشراسض ذظغهغجوجطغ تجبغشرقجيع تكظشهغتخدز سششاثظطنكس ظسذثخثكجضش يحبخصفشغغض حغمكضححفضح دوغهكدفغنخ 
