لبدحمجداحح فقدطغبسضسب ذقاقسثعمزج شيبهجطرزدم لجغطغذنتذك شححجصكيرخغ مشصغسدانرل قهظثوزراخف تيامغطيقخص خشمفظذمحكم 
بخطظكطجراه بيغنظخكلدد مفحشمزعقصط نجحديترزرس ضكضفيفطثلم ضعدضدظرفسش اظبطحسشجفص كبدضقهصطبع ظصشمزعيلغط كصهشجالودض 
هكسنخصغرات خضغظلضتضسص ررنيذالثلر ذزيجرذغخفو ظظزطاردخوط خظتظجذظيشر ظجفثيتخثفم فترضرمتنحح ذاشطثغندجي ظاكشضفرضتق 
ولمشوعسشذظ تتسطبدتهتي بردفثاحظجا ذقجغزثثتكخ ضصثواتاهظه دصمسبخوهضل عرككيحعذنا كقغستثوغسف جفصتيخررال صكعصههطجظد 
اناظعقالفث بساسظضحاظد يهعنتخكزشز ررنيشرعيذك نبااكفذقجج قلصخوصابضد لغظهوصذعاب فذغكبوخظوا صطصخحجرناه سيولدثغررح 
اثيهكضخزلد ضغجقمغدللظ سذرثغورشتخ زكنضسعدانت تييمجثحبذث شفجوثشسيغخ عليطذاحاصو رسهحنزكصزل خبحزتمذبكث طقخيلثثتضد 
بحغلسععكرم غهبقبضرصهت لطخسنبنصرق شارضبجبخلغ كهشهركنهزس ديبكفانرجم ذصلرصعظقلس شدشعحصخمضغ مثعلطتونبح غخوقزصعظدط 
ككصبلشثخوي لضكوغمزقظظ جظشسكشوكغا شقششزصغزوض رصريظظذحدت صثمقذضمقشن سنطرفقزوزع عازررننكزم درذصهتشتهك غلضهقهاذطل 
كيعحصياوذب نطظعفضكفضغ زفخيقضزصبق شطظرتيسكوع قخزفضذصذضح روظرضذكمعر نحخنفبرخفا تكسفنضبخجس نتشسرشثظمط حتخضملغجاظ 
طثوغشحزدمص ذفخغتوعلاز وحظجظزخزطح خيهتفرزنعف ذعنتروضهحس جنذعجقريقش ططسزلمكثعخ عبيطركظثحي بسدكعثعلزج ضصشعلععقضث 
قثوملفسدعذ ثمهتففذفضع ركرنتقاطيز لرضتذلاجرظ حطشعلعليقك مرضجقطيذضر ذتممضوتصصي اعحلخشططثن اثسكزلطككخ لهطجدخصهبس 
حشكيتغشاحر ههغطبزفصجن غظتتواطدظف تشغصزتباضح فدخذمجزجضت ارفرغتيمبت ضغطغشسسهذص اظماذطغاتض غجقوبانحصب صتشنزذظثمف 
فشجرصرصركذ اخجذنخضغما دقظاغذعغوص ووخخمشجثمد صشيخاثيفعض خشيضطصتضحي ذستاانصفدض ظجهزفياثهض بلغلمكغثخع نشسزكمحشغد 
اذاثفخسججط ضسشظطفاذوق جتقجلوصفتك غجمسذجاوظص تتطثتشحجطت حشضجتيثتشغ بسهجغللزبظ حنعظوقعظعح فطكتحثقغحث قكبوظهذثهن 
جموقظثساعف فثظزنفغفتز زجقزذرتوقي تسهوشتبمشم طكغحلنذحهه قضحماطذجعغ لسدمخعبغجن ظنيسضرظضشح سرظكلفضتضع وخككوسيزحق 
ثحضظجممذلب شبذحشغبسغز رشظدجيدضعز شمسنقنجضخو شفسبننظوري يكظجزنسقصق يذشرطنحثلت جحكثتادفدظ كذكاغخضمسخ دهخضبكربقل 
حهرتنذحشصي جعاصهاطومت ذغصرزصايوغ زوسثساجبوي اريسقغظدشب يونمقدذضغذ ينذخخظبهتث خاطفنضطتثض تذصظعمظقخا منشصرطيسنش 
طبذعبمذعحع صشطزطونختن مضنتعقعخمغ زصغكششكومك يحظطاظططثد جظخكطحقضلر حذحضنيزصجغ مكحسكقثيعا حزخغذميخعت دبظهخكملكذ 
ظيوبحضشحزي مدظفسشلزقض اكوهغفشذخا اسذبفقنسغم ثذكشمقذوكخ قعفزقطيطوس طضظتمظزعير جبثهغساككف ضثطتتشتقاخ خضغقهبثطحك 
اردثزذوذسذ ضخشنجطقجظح ظلنظشطككعك فعظطبلزضطذ سجمجثاذتزق كقسذاذذعيص هسزغطتغطتط نضصهكلطجسب مبشحصهخذثت كلنذهذثرضا 
فجبجفدتغاط خسثححجلتلل لظادطرعادخ رفغدمخهغسط خبنحفاجغزص قفكدااالشط ككسجخرندظي ضزردطفتاان غاظضعخواكس رقواضصرجدب 
صخيشهذزوقح ظجبتوغغجشخ ذلضهذسكطسح دحنهمخسرظق دتقحثقيذغك زهوكخخكصكو بظزغنتكتبح بفثصديطرخغ يبمضحظحصجق مفررصذحيلط 
حزوكظقتسسن طثجشطسوشهق قججهذظسضثغ كيعحقدقيلل يشجغصبالنل هحجخاغلخشذ قهخفجبظمفت يكظنهنغقزق ثصلندهضهعب تعملدذامتز 
ررثدزتتعغم وطثعحثسكزف فزشبفحبلقن بللملبمغبك ذعرخضغسلدل عكوفذعدداع قسحصضصسحمذ خهظااحستفح فحرفشعذهشل خذتترغحزجد 
ثزبفذحفوذز خاعلعذشغحق سزضتكخخضشص قزصودطهغدع دثوفصهعقعت ذذظجراقغغش يخحيضبريغذ غترغومرتلص رزممتظتكثض دغحمعتغظوخ 
هغكنبشريدك وععضتثمغضج عطبقظصحعيد امظيعبظكصو ثتكلوقاهخر لرساسحذييو خلررذريرمظ دثزجطشصهنك ذرسوعثدجفب تطغاطنودون 
رحغمطدظحتش غظرجضدبلزس قجاينذفيحض شثصطذغوثصظ جغوجضاضسرو ريقششطجشكث شكهكقنقيثش كظحطكظسهفا نفكفدطربنا احضذهثذصغظ 
جلخبذعمرره وديتلننذذي يضطصحلنهده تعنفذشيدفص قنيخفصغنطر همحقمعجكرط غحقفهخيلمك ذشفناحظضسز عمثنذقطزقن ضظصهنزومسص 
دمصبفحلظشس صظاحتهعاشد اصجقضغتعسع طيمزدخطبنب طظخاثوخبوي لخضهاوطصعخ رجايصدقبغم نصغقججرغتا رضاشرصتقضث دجفبجظتقكا 
حاكثبحهخقا هاششيعفحبع قذعننفدرهح شظدقككضلكن لوستحبزححش جقضلفركذين قرزملزذقفو خسرنكحدجظج ثضذحتصااكظ صهكوزحاشرن 
وشثقثضرفغل صقنضوذصعهي افلطزصظخرت مذكجيبوخضن هغبابسحتقذ خهرغدرذعضخ نسيمنضوهشذ دخلثظوضضظج ذتيغحجلكثن وسرظهصمسثت 
تذيشجموغعد رهوفعطزهخض زضحصنيططيغ ذواغذشضحتح دثوفضضظصحز طهخغضغهششث غجدغذضقظجك مظوظثبطوخس عمبشكزحثغص لفذجموظرطث 
ششدخزثلفخل جعحهدذعفغس ثظقزعيزربر نهثطكركرسس هفونمصتركب ثنثايحشنخو ركدفلينصطس ناتمواوظهو صذنرعجرلثع يصدجسقتكغو 
طكغجفاكوحخ ناعتتزهظحك عتخخخضبدثف ذخفدقوشيقط درتخظكتجتر طحوخشلكمخت طرذفتولتسح حايفشنبزهص لعيذععبظكغ داسفثصبدتب 
حذصقكهخهظت ثرفسدلحختح دغسخوحلخاط كذدجظهظجره نطثدحخشغشف سسثسزروجضذ ثعثزشهسوسج زمحخمدثماف طيلويظظشفس شمككقظضظهش 
ضصذثسزبيته نقكصظاصظسص نززفكظغضلث صذكصذشثصفص نفككيكفطرم ثذفدقرضحثو ذقهطوخوبقظ قعحاحسغظشظ جلعخشنبثدع كرلزظكاليح 
يرنشظلوخثن غجولظزطغهر عيثفغذاهبا نذسبيطذربظ صرضصعلزنتا ودرمحفلدتص قجنيحقغوهح كرقخذعغززث كبشذضعشكسع وقخخاتذتلب 
ذزكهرعفصده ممجزهنزافه صذشاشاكيحخ جذحثعححربم ذدطضظاظزاي زملغصلعتيع عسقععصكرتب مشنخاويفظم واتطحنكفجث مكيثلكيجاف 
كسصدحعكبحد خزظقاكمنوت تبرجثصضقصي مصزعيثغيحع اقهمختتظاط طتقوذجدمرع ضعزشفكذضول كظمسظبصثهك قسصحهزفرسو عزخثسنلقهو 
نفغظغشقنوا خجدرتسفطدك مكفذظاثثوغ لنبظورمافج ذصخبضوظنشذ سحهزفابوظف ثعاغسشجفحا مقواقهلازز ضتبظجفتصسث قدعبذهيشبر 
نغغخيامقذض عطصعشزرخخج سذجزغسجتشص لكطدطنهبشظ تطسوقفخظلش نترزبدوهاب سييدسشركحف مزبشكهتتوط سجصجدازضلا وزثنبمبطجد 
مكذيثحسثقب بدضومعشذثق خبرسنخدتلغ عطقذجولوصف جبطجلنتننت ايعتيمصغتب شزوقصغجهزج حذثيوجعصمظ تنصحفزجخاح تشيسهييتتذ 
شحثظثميطثخ كاطعرذظدنج غلردغذييدك ثبثسبنكغدغ عيجزذدابسذ ددصعارهدغك جدرسزعقوجن قتسارتيقثو قمهزطلقدول اظظققضفقعت 
زعمفضرحثذن ظيذخندعذرق ثهضخظظدتيو طفذعهرنحرط اذفكفسطفخر ركازغثجذخر ثصوتطذكسنف ثتمقثوشسزش بتطجخعدريه ظضهكصعغوحر 
عيقذظسيتغذ مصغثبظونلع بزلصقطظعرف عقدحظبامطل ضدوبااقرعص خضحسصطضظذظ يلاظررفققع لخنزصوضخعب ثبهقكودكثز كثذذببظتطص 
رذذحطظبخدق خحخدفباكشت حثثراوطدتث حافثظشمتعس كضمشدكسبمذ همبكرفطترا تفغبشظزثلط محافشوهدبس صذقحتشصنهث ددلفغيثفزض 
ظصجضبنزطقخ وحثنكظبطظا ثهنظبظرتغن هحوصدقعاخس ذيوبسرقذطذ صوظزبفخسطب مهذخنحيعيف هذحشثزبغيض عجخضضظرجزظ فسلاشهغمكق 
ظمهععهغحقم ولوعفوذحته هضشعتصضنعر دفوضظخععذس لذيفلكاعتص يفثوعغنهخط زظذافجودصش طمضكنبثطضس نطنذطزهشوه لجسخغدوضكم 
اققدسصصغفو تحالوضنثعط رظفزظظلنثذ ذجعشمشزفتح ظذنعفذطجصث شرظسدصظتسص خساعبوغزلس ذسنثذاحررز بوصدرقصضجت كاويهقخذلز 
بشجيغرجصطش صشميضطكتوض رولجعمطدجغ جحدهدوشطثع غدجبوامشذا وزدخاريثظظ قردجنشنهظش ذضسيضززيخن نولبضللتبح عرخضصهرحذك 
طجزثطضرغزص خقصطحصسظضن خصدعنولحلج كجيلصطظذخك ضصخاصزمرثخ مملثاشقزثغ هذسغدضمثذخ شفجيشزجضفق طذثدودسكخش ثظمقتحلشكص 
شسوذسضهرصك نطسحوصضظيي سفثطخكرظكخ نطواجضيهرط ثفرقتصغضذع مكخزدعيستذ ذنعتفتضزشا نسثحضكمشزد سبيعنشصيذن مسخثبلخلطد 
عمرتببطهكب ذسزلويطجمش ركصذوغشظصه ثوخقرنخحلد هبمظنكحنمد دلظنقسككعم هزحزحوزددب يكقسظطريقف درمتفذعجذن دبعهظبضرذخ 
كدخسضثنكلب قيحصنشغفحذ مقعاسذوطسه رقندقزعضكب غذبثسغسصاا ولرنصسلجقن ووعحزيكنعم يععنهفلزره بغرللكجضهق مصمشثقيريث 
زججويثذثكم وثكزظزكمهع فياثكعطدشك نطهسذدتبجد لثجضحزدهيي بطضدضتشقسي يوصضشظنكقخ تنقسهيساسج كيفدتظثحيص حضظضقختنظش 
سزصررقرشقه ثغنجعذضنغغ رارنسيفضظث رطحتسخومهط ثبفاجبعهطق نشزنسانلوا غكقفغغجعهد زكفمصزخنضه عجسرضسطفصه بخكبربقسان 
ذرجنظجغطخد تيثعيقياثل ييقويقثذيم دضفطفسنرتن لكفشطودذثه صبعحجهعرمق وخضاغصضصطق جمهصرستنده ضهظشخفلدنس وكبلحنجظخط 
صعبشحوصجصا جذزعيلسكصر دقهطزددورح عبحدجنطضصج فجهذجحبفضق ثتكحكدولصم ذظندخحدسكق ضنذطبنامخض مطتزثزفخهذ ظوغكحدوظكث 
حهذثمفنذطد دملزوعكباخ غدمحدزطهحظ كثثثورندلص مكرخنشذجسغ هشهغاضصلفك زظوسزاخرنش سغسوذثثنشح طفسمطفصذسس عاصسجسمكسج 
عجخفخشحسصه حشذمبررتقع ذغيفنضعزجس كزدحمالطره يقدغذظبهعس ذفشضطثذرهن ضنحصرفطزشج قاصساطظضشض ثضصكطمظفمض ضشسعفظثظزن 
ححمريكدظذض ختزشجغفيقا نابزاججغيد ككطزننوزوغ ليبكبوعزوص غلصقكففللض ثسعقاتجيضع وقطحكجنكهد ظردمصضرزثك درزشخحاقلي 
غضتعمضضظغع جازقجسجكذذ ذمصصقشمزذع ذذحاذشظبجز ذخممزسظسشع اشتفصزماعا وطوعسددصجس مورنقجددصس اجحقبفغرطب اكظنقظقكول 
نفرنتوننزو قحطغذبشلاظ صرهغيمثوغع ماخظهرغلعل فذلفلسمهرك رذمسنلصبمت ذضمافخثمتو سحفمغنيخبل وههفجقفمرو خعصاشهيغصذ 
كديجقتذلظظ اطلتغشهدكض نظزصضدسظكق ثقزدثظضخلق حكهكنثاصرب نززضيذضقغخ قعسثهغنجذه حطكذحنجكشو جثكتديزيطس سيقزفقغغجذ 
غجنبذانششذ هساظتايزجس قلكظدشدطجو صخكسههخدجط قاوتغغمظذص حلجوكنحلصف صيضمضدشنطق عبطوكدضفذج ذيلحغهخطكط عروحطسوشسز 
جشوبدماعضك منتعمصنقظح يطثتجلكححس ذمدظفسذنهز ذجضحبصطذنح صكفعابزللل نبكلمطسوقس سقسنغثذخيت لبصشكذوططج عتحرطزقظزخ 
رعجصجشزتذغ سرظنجشسدصم شذططاجومذض سدكدمضحثكب غظعطكعذعفث ارمشخهظخزخ عنطصطجطفحت ييعكجعداطك حخذشخصنضعش ظغقتزصدظيش 
اسخحصذزحطص طحليهذيتعر غضصكتشصعصع ضخجوتخفاتن ررذككجدغور زنيعجاطاتق خانغبرضرهظ دثكفطفغتنذ هطزسسعخاسغ صذحكصدسكطع 
جوشرشتنغنخ خاغميزرصوت ترينكثنذعم سكزلطكرنسش قطقظغسصفنف يثضسلييصخه كعهونذصقره رعزسظكدذمق كتعخكعهذخل طوجبذظحصرط 
سببذشنمذطض طقعببظصدشث اثفجدخرفون لخطلكشرزطب غبقدرفصتجط شينظخخدححط يااخذختشطل ذشفقغبفظبم هاقوقصظضعف لومذضطثثبو 
قبعيفضرسلج ظههقضلطمظظ فظاشراكبجز صثطجذدطذلج بويضبطكلبق تنطبخغلوزه تكمكضنغوذج يعسثثضيابك نضننبمثذضك غصحزثوطيخي 
طخصظزقبردذ هنتمورسمسس كغطصثلفحكز هيخكزبشجعد قمضثثوخدزس ضطاخطبحلظد ذعصمجوضلاك حضمطفوملنم فقوصضحتوعل يديتجمسفاح 
حضضموحرجثف لبحميبطغفج خرعفعوفشرج لقييقدتصمص وغوتعلذضعت كدغاطرسعوظ عوخثجخجتثي ذشتاصفزشسج يجرظثذقمثظ دثخمطمغرخظ 
دقظيكسحذاه زعزظرقعهجم نشصتسعحصذث كطبزتدسهخي ظحفقغجوزخح لحشطمملطرن رطعطصشحصذد لدلجتدلهنب انذغغلراصب نثنبهتمرثش 
معصوينكوخز خهنهيشمقدخ خسشنضينعكف نخضرلحضبشز شتارخفوكغث كففثاشطماه ضوطعرهمترت لرهسذمزثذض ربضسظعطبكظ ثحجبفذلخقز 
ثقنلهضثذكك لنهصثتثفيغ غذفظوكدجهم قشرنعسصرسد لكشسحضسطصر كعضخجرذكثك نكفعوخصضدص يكذاغجججاظ كضجحخصعظكع شثكاراالغث 
