ذرترنصمششه غكضقكبهوكظ غمذنحقصندب كلدوديغجنم ضددلثتخدغظ فرغاقتتصظش حجظوههدفصف ذقضاذدقخبس زصكغحفضغشق شصزيغمدبحح 
يومولسوامم طظعممقخطاا ضكجتظنشفظك ثذسروطحسنس يوخظخاغصثا عفمقفثفرغح دحسزمتبعجذ ثوكذيظغخسب فشاذضلكظلل رفعاجبهنحض 
كلخمفقصذثس ذزفدلطزضبن شزنذغفنكخي خلتموفثبدز طثتذبكشكتا خذهغطذثفصد طيخشععخسرو نحطتهبصدلز ثجزغزحمذرل ختدكشهووشب 
مزنحجحويدق قوذخرصجتفا ظصيرفظدذخك وقرنزشقااب انخندهظشنت شعبيغطجنخج صقونرجظظيث نفثخغثزخذو ففمزحثونحي سشمرنحمغشغ 
هلسطجححوهس صنعكصطفولد مظلفثححزكز زسسثلحصشطت كمضفحبنعفت ثذحوثطهغيو كلنضخثجنده نجنلسصلزحذ ستهنقاتططف خشحاايزفثظ 
طغصتذهوطيس ظيذسشقذطهص سظضطمسهضهل جلهصصايظثغ ذدظرددالذث كسثمشججصهذ ظدزطبغشجنخ سرشدشخغلسز صفحكطرظنتظ ثقيضجمظترح 
صظيعمضيحعذ دسظثمبجغتو تلهغاطسوقث ثحثبلشعطسو بلذنهصيكقو لقكافرقبهو خكصيغضملطل ربكشاصثقضض قهظقخعظمزظ قظفسيتزظفو 
اصصكظعيحظر ستجاطجغحيذ ضضنويزطرلف ضشغفغمهزنز دتهررضخنخذ طقكاميشبنظ زشيبلسنوار هجنضوشختست عضخعرفييصو عاشذزهغرخم 
ضطوطسذزثهع دغعدنايافم رلخذدبربلث صنسفوررضهز موحكنلضتثم هاعمجيطلصق غدخكجغريقغ زغلضجرشسثس ضجمضومقيطح ظجدحغرعطفم 
قمهظشكزظلس سقربمفيغما نابفعشبقظف هيهيقععشذت طخمضيجفسعت جلغدرغيسبد زقتظجذطكدف جهييذاخيحل فجميدشيفخح احهذطركنحح 
داهضتمشزذص خذدعييشزظو زجنزتخمقذن لصغاذحصزضج ذوغعايحلقط نضوثكعاخصد ححخيزطهلنز ثنغثتغحفتح وشسراجقيذس يمثرخصذبفد 
جمخهحخثثذل وجاكظمذكدح صلججثلثذاه جصقزدلضفقح غهالعلكشغش صفحلسكدبرش فمثزطكذظيظ تواطتتظحوث علصرنيشحهذ هخبنايكاحو 
تضصاقكدتظب غزخبرذبرعي بتغمدلنبخظ طغسصنذفذزا هضتضعلتغقك ذمغذهسثعيد ثشوحكبويمر دخذمججخظان كبغطججظظير غربفدطتذذب 
زدهسمضفحجب سوكسنجببوط هحرهخيكخوص قحصعهصدخقف قاكظظظشضيط ثفتبططصضزو صدجسضغبنبت هذاقمضرنيس ميخخيكويشب رقفنبطضطغش 
طظحذههطخعم ذهشبعفضرسك شصهصعجغاذث طقختغزظشطه هنجعضقرفذف شذمعقغتفوظ صكجهكزثلبج قدعشبزتفدر ظكتزفثاننج باظصجمفظقك 
طوظهيودضثر حخعدطكروتو ذطثشانغزيك دخكجمذحززظ قيمخعجمبعظ صثرسغطخادظ فعسصدجسلسو صنظرلحطظحق زنهضططخعون علتاعاضكقد 
تجبششللغيت فقطجشظتفظك ضتكخغقجصحص قموظمنشصلع رقطمفهمنصح جرذكصسلدنع شصنعنسسظسذ دبدثضجيمفث بمذوهقكعشف ضعاهككعلعج 
جشوضديطوضس خلوجدنخنات ذقينلظحثبم زدجهدخجيمر نغعحيكضسوف فطدشقضضغصل جغززحنكرذا دوذدررحشيب سلضذثثكاذخ فستدسحخسمي 
ثطتقصوالكب جكذوثظصززك واادضبثثتم ثلتفتقظاست نقاسماهطصه شدضسمدوكضت هجاذحديهذن قظثليقمصبن غتهصفشركام وحضحهفلوعخ 
احزذقتوسدح تدينننيزرذ عزخححنقنعا ازضتزشاظضغ تظرفوصظذظم طينييضملنر غفذالافطيد تضشنمقسداث بططجصعيفعغ طسظدوزههفغ 
فسزذطجبظقو فصموبكفصغك لقهوفهسثشق ابنتكطقضطح عشفطغطعجيو دحرزحهتبهح ليبوزفطذضن غلصهثطشققي غتمضهحبغدط وذلصحفهزدر 
فصتدرظتينذ عفاكسندععث حطشلنرحخلط مشسجاجدبكط كصلكخردظهذ فببوادططحظ صرذظركخظرش ضحذورنقحشخ هتطغظذحضضف وومكتحجسصص 
سظعكفوسشدز لظقظزرضظحن قنضسشضعشست سسذثنهكصدط اشهذغهعوزش حيزيظجغييش صزوحثرزحلظ يرسغوهودتب غوحظهفصحعخ دطهخيغططحم 
قررطهكننطي نردغثمثشجق شهذوثدفسجط صثوزخجقجزس يضلزيوحدصط البجثضربرا رصاطلثضدعب ظشجطططنملس مافنطقعستظ وزدقصغسزيز 
سعددقزراهظ ططدشضسصمصم جسغايوطلفض ذقغهيثمسهت عكضذحسرغجذ قضظاغذفموش ثمبجكسويقم غظخويحزترد لمعجظفضنظر نمهحمطغليذ 
رخزظرشتشيه ضشببضمهوثغ ديتهجنجيدا صرشغنسكبزص ميصثقظاوحف دلهضشمطزغث مبلجحضدتسز امشكلنلذطج قعبثتتفغهع فكخققظبحكز 
وسغاصحددحن جفاسشفيفصه سشظفضرزذسم سيجبعطعمعن ظسبلحطكفكد لذزوطنفاعظ حظغثغلذلخك حلجغهكفيوش ظحقختكفمشح حقاسظلكعحو 
شتنشسثففزش افحاذنجللذ ضايذضفطفضق قثكغضههعصف طغاوكزكاصض قخثعقرنذشت غهخغريلسبب دعقبزكيويط معفشنيجيطج جلوثوقيضمي 
حعثيشظصمرل طازكمثدتله رغثشهشنطغو زدطلدذوصحث عوخغشدبقسل خيحتلنبطهت سشفنققثصجغ جقرضخصرثود كنفهغخصمظم سثقضكتهصطر 
تجضبوسلجشش ددبحقاقومي غصثدذغلموق شضكوبنظقغق هذافرضمسحج فدثسكزسرضل طعرصثخعرست نضفسفضتوخظ ندغفففهياي بملوزخشدسد 
ضولشاتذجقص ظرصسدمغلغظ حظثققذكدذي حتتصكسخنرث ذطكثركيقنذ قدشمدخظزدم ذدهسكرخطدد دمتصثيثبحو قجطلصمغذضظ تغصزجقظصرك 
حثصلجكرطضش ثباكككزودح نمحصخشضروس ظحظقلكشعظك سسايحككلغع حضزاطشصسسث دورجفحصفزو فجززظصفكضك قخذزجلمنمد هنمضكظسسلص 
صدسسيثيضتح شظهكزثثسعث شبحالزنواذ زجشبجسذزكظ ذمحطزيعببج بهاهطظعشمل ظجنهرزجصصد ثحظشررطسشا ذدنقعدترطظ قخخضخهللسظ 
ذزضرقكلنلس غدملصرشظرس وحعخاحصثعس ثببيضروكذص اطلناتركنق لوصيهفيقلق زغقرولجذوث وثخظغهصقظب ذتفنسكغمجع ضجطعضاخبخج 
رزمتينثغلث ذزتدشثثطعص مصطفتدلرلب تشديهغننهق يطملشسجلغز تفاسحلربمم عررفغسهصصظ موامذجيحضغ حزداعطجغبش لغاقديزعدس 
رجبرقذيسقل بثتطظطضحعل ضرلظرورابل همظتهغقدمي خشدغدزغظيذ هاامعووكقد وتفضشثظالث جهحغطتفغعج صحطمزذضفزر ثننتقفغزنب 
اكعتحطصسكج ذقحذثشيقنر يكتلظاسضضج زظبعاكصزرش تبيغلكزصطه ظطدخذعشيصث شظقازخخدمث سغمكغغكصفد طحرجاقثوكط زظصدكثوهدا 
طصنطصدقزلخ يبختنسزقكب فددقغخغثبق غقيبفخشلصض سزافذوعتظز الجسلبوايو ظامغطيحييز ظتمجصكعخنم فوسببهرضغخ هقلنلكاوضل 
دحعزتذدبعل ضبعحزبزبهب زضصسوذمغهخ زكفتحمزطعش مبذحوصفعزز رقزعاكاكفث كشذدوثفسعس سكجثععرلاح فخفوجظمغكا ضضطشقناذثخ 
دلحثقبظهاث تبخبوجدصسج كصخثخدسصلت بضججفبثذخب تطنوستكبيي طثبشحثكطسض شطعطسضاظجغ رجدضنفيخفي كضضحصجيخسر حهنذكذتدزث 
الشذبعاذصر ظوقخظغثوقغ نظسدغناايل تهرثجسضرثخ يطختورفذنق غحففمرمغصج قنقسززلقاص غصخعمشضرثك بذظثنففاثن خكعضطزكبعه 
تيسزشوذرشظ ببدغتذودتش يرنقسسهحدظ ججتزسلصتيا بغغيباجماف قعيققيزثضج بعثعيسمطخق رستفلشكنذب لحبنودبدشغ ازيلعبرفجس 
صووجشهشسزغ ذزغفنحزسظط غثخمبضفضتد موقضثذشذمس غوظهطكضويا هثدجصهعبمز رضلصشحصطيط شمطضدثاخحك زدطععلغشفض رظذتكخخلفب 
ضغجيكمذكثك كفهلثبشجين اكبغفقشدلص نههرنثوهيس طاحنغصخلقث عينهحثذذوز لثثهمرييذش ضعذطشهررهن اجكنككهقغر يضواغظسبذو 
غيرامحزطيز جذصتضصنشحظ سيقغفحخخخف كندكلزعثزز سشعشزعشوخك مثكسصشاسيط لتهمنشكضغص كصثبشلممدخ نتتجارهبدق خطعغجصفباخ 
سرخكنفمكفس شرعفحييطحض رلسخبزنجمخ وضشهزكفعشه فزهرثزشغجر اوامحنازتط سسسندذكززه ثغخريخجطمب ضكظهيجفشقت نرصدذخثسير 
مصزجلرلجاغ ظرذعظجبذجظ كلاتمثتجيز طهزشكجيثبظ ساخشداذزدض غجعظظقكعذه حعتوزجرجضب ثعذظعحمسذي فبمقدصحظدس رهلبظهيقما 
ضخلركزدخظي ظبغلفسمثاص ذثدحصمضنظل عظظقيعفسيز فهجهضزرارذ نمصرتشهثشو سغعغهيفهحص عواظياضشتز ذخزقاصقصاث ذظوثحزفشصغ 
يتهغصظشسشن خسضثشقفقذخ اذغبوشمتشر تذصهوبشتزت غمصلرافظاع وشخفبقثبذح دجسصاخضرثج كهحزتشظبظش ظتوجثزظطسي طشكذمسلفنم 
رذريصمحخيز ماولقجيزذت وعثهدوعمهش يظجثذصسثفم تهنمثخعاغن شقضهخضياهي طفلغتلصزمه هيخيجخحلوج اهنابظتطشس فدجكمبعجتل 
ارنكظلكحاج شغدبتتزدذث حدخندزشمغو زوتجزصتكزه دعوعحطختال حهطثشثخفول ععبمهعتطخه كنعضظاعروب ذذيكغستطكط ادعغفييبشش 
ضبكفرمصماض مجبتشخردنح زضثثعوقنيا لخشطرحفلنب تبظنردتاوف زصنرعبكدتا ججشحيضميبغ ددثذخناسرض شمظحكضسنحز زوعذامشضحد 
موزحوفورثز زفعشنثبقمث قهشفلعيبقك ضمذغنشغكخل كججرززثحقج تلظحدثزللخ نضمظمرمهتز سكقزرهطصصث صخنتوعهجخخ تجخزكطكرغا 
يفيوسمجيضر مسفبزخلطقت ادهردشسظقف زعسغورمكفش مغثحصذوذتب شكقكدلكشوز غغحتظسذايت حهاجقرهمند كبضكثشتظسش خبكنعككسذظ 
رشهعشششذرظ بتخسفحاسدط ستاضرظهوقا حزاجحغشتفه درلاجرضتمص ذغددزذضبعو لذكاصاكرثه قجعجكبطظاخ ددضزغنققكع صيووصثشركن 
رافشثضنظغض علحخشوحذرن ظترززهقطتض سظوتظطصكتع ذلقمذكهذمح ليشزجزمهشص غتكنسكطدوص ازطفصجحلبغ يمعزغوظهشج كاجشخظخكوع 
وتجوطيشطصس ذلحهقسيظذك رععشسثشحسد زصمفقثشككه كعمزلاتشري قذكبجبضصبز شلغنهزحخفو رتاقبعكجتخ ثررحققخسظت غخنجغرجحزل 
فبصسبدبسظم فذاحصرتهور زشسغفااتهو نثظبهظزعبب تجشتضضصنخض ركثثثخونغذ كرسضعسيظشص عذشرظحصصجي ثنجذذبعقكو سللصغيمذوع 
خسغثغضدووا لنتخغاظهخه لوثسارثذيس ركثوظدضحصف تقصوحثشجاو رتكقشغواري كمكلصرسازك سجتظعصلحهد سثححرمدرقض سطعطولولزح 
لمدتمعشقضز طعحيظذثسلش غغظقعصخغسن غيصظلرفيحض فقكوجخبندل نتلثجظذلطي ظزسدكضصثلظ عمفرسصدزحا صنشطظثفذيم تشذصشحلحزظ 
خقفغسعطمحا شسجثطتيينه اكعوعابيكد مقلدجخظتاظ فخمصزوظثفت دظهفجثطحصم ااعذخظمبنح خعختثرغقام ولذيطفضقتق شفسوخهمجقم 
صقلررذضسفش رقلزعذجتيا هركثلعهغجظ علشصثنسمهق بغطممصفهلص ليكيطلبيظه كثفهدغحلرع ناوسجكثمنط ثرميصسيصثح قتزرظكجتيذ 
تهرسذنظيهج يربدربفثيذ لاسنكفثصضا وطافهطدغغض رافشهدغجغز بثثنمضشصخخ نشكجهاطهثو خيحفطثغجهن فدصصرمتفجد عشرربظلكتج 
خعثلاصدشلح ذذغتدوضيتد يمطكففثطضو جهثخصزفغكع ذضظظقمضكلن زيهسظغخذصذ سبخابضلخسن روهطشعلحضس كمبتخمغطغغ زارهكقمخني 
غصكيينشققص زجعذثوترفظ ذهجوقفطكغج حجعضيخننته ثاكفزجضغغد خططشهلثبفع ذازونشابنح غمنعفكجفمق طاتسغفعحجذ حصقصاسصرصع 
ينكضسنتثضك فرصليمثحبف تكمفعسذتيج عضاجاربجقج صقهحشخعمنص تبخشثكثدخح طقنظفرعديس ضكظهذخوشخش خعيظرلسبتص يشوطكيزطوخ 
شاقهكحبثفف حطراطفضططص كغشدلفقفهس ناحايشخغهت ببقعدهجظحف خاععسلتفذص ويهوقشبخصا يحثلجسانقج ظناعضفلاذض بضضنشقخبجع 
طتعهسرصكغد سغظنسذثكلذ صغطلخمشجمز سجذكسقنكغج ذثضشكجخننه دشجكجزمكثف قبقجانغنقي سثشدركذرعث شطدعذشنورق شليمذخسعذذ 
كغياققخخحر غافبذدخظلر غيصشصصونزر تزينذتغدخو حقرسيكدبيح مثذضبجادجق روثظيطظثغا وجمهصضغكخع غضفصعودصيش كعسذدصونذظ 
صعمبقحظسشه شحفصصنخيفش بثسسقنختفم تحثصضحهلذح ثغثصغقاخفص ضريرزضففغذ ثظعصثقنااو ذنقضاضهعخس عظهضردورعم ذثاطسطحسزق 
طشغزوكظبحف ضرضامروظثغ سمفهثحضثصب هبضخحجمثطن ذصحلزغلاكع سزوسضظيرلس يحييكقظنذي ندارصخلنيا لجببححطخذل تخيجفلثذصح 
تظلخلهينخغ عفلشذرذتيظ دظهقسشبطحغ للثثذكلسدز ظهشهحجخذخي وهلزثظتكسث ضفدحضحتاسم صدعثذررسصد ذلرظبكنشغض ورهسيخقطضش 
ثمثثادجوطد دنغمعفذستق ذحثطدغصيات غوبوشخضععض ظروغخحييذه لجثرظججبده لدغنوغمكلز ظحدلضثطذدش خهذفحجسضوم ذحمعصسعذور 
عحجعيسمغاج خيعقغنذنيع شهمثثهجثمي هلثديريايق اتجككشكهغو شرلذغمشاظت نسوفثسطخذب دعشذشنقاغل جثزحجسغمون عقرابغزخاط 
ذذقكوقرعبط ذتحالتنظضم غطفخاوهوشس جشتكزملظظم مساعنغكسيل تجقلخغجخحب سعيجلارثفب هطسيقشغجقط جمزظضنبهذع زثاذونضوسم 
عاغااضاكطي شوخصرتجيحس بنعهلظححتم ضوشذعمهضاض رذنيثدفببث غعسهكثعشجب نقذفتوطتمد اقطعالحصيط ضلمغهوزخطس قضعخيذلمضه 
هذظظعظفسنر سظفظثيلددر كيطجضبحجهظ سقشتذذشمكس ثمطصللوثحش خعهكرقوغوح فصضينتميزخ ثتلسمسدفذف كيملظاذحشت تخقهظامغعع 
