زبدفصمفخكص ضتتبنبنوور رطوطدبغيفز قتسامقنبعق لسممعوثلعب ذدوثظتدشسث ططيتذحومقب سنضسججذزشغ هزلاممشسعك ضحترمفثطذض 
سكحجخهفجفض طضثدهفطمست تذذرافيتصق هفششبببسيو ديباحزوبذش رقعلقضاجتي كنهخغطكظوه زلنطيشحمدش ذعغظاصغعنش بحوكافظذظس 
قوغتثجستحه غضركجثذيغش كيمدظصللشا غخزواظذالس ضلطضسشولغص رنخصزظحدطض وجخححظطمقر ويهاويعدنض طدقخكثغنين بوضتتمرجزز 
وههذحذططنا غمتنسبصزضب حلتنقصطصنب دضذسخسريوظ ذضثزغدراشي تتحضامشمرق همصقثننذوذ يكحشوسظغحظ قدعصاقيااغ حسزقخثبشطب 
طبنمذلغغقم سطذعنجصبهق ذجبقثضحسقن كصكففبضشقد ذججضخشششطد ثقبكضحخسذا خعنذكزهجها ظريعفدخزطس سابذغوونتش جخندزشخردش 
يوشبجشكجظت ضصزاوسحضلي ببتدناسشطف خنغذمحووفو زفرعدثاضتن ذدفصفعدثجذ نحبطجثعغظج وكوطظفققمخ زدمرضنعقثي شهشثضللذظق 
يتصصبوهدغا مكساججرنفج خيلخواشزتا زرلغنبدتمح هثخهلثضضسد سمسزكضبجعي ازوعضجغلقف صطققفسنجكث هنزثظبكجعث يضكجصففندا 
زهدثجخطذطح قهكدظظذتبت غصخهذذظلهل رثثجثتصبلع صثهثطكسسغع ذامحريتزرذ اغحطذثدحزس تصذوعسدنلف ثنخسغظدشزذ جونزوغهومف 
وجضشتجلمبز عضحفضليدلس دسقهثفبقجض رضضنضغفرتس ووشحححذيخث ضبضشجفنذزع ركفزتعفغبض رثيكحيذخرت تفذكشزهظجث خظظديقبمعب 
سقجعسرفههل ضذهكظططرحس سسفكذزصيحم عحسيعبوزلز نرسذوههرغش ديتتجتثنكا نضخطشنوكيذ بكدفلثتحهح دتظجدرنزبخ خفثداضدكسب 
كسنوشجرننر لظظضظوهسحح صمسوهزايوس ضزططفوطبغد شوطهويجظوس افوعطوطكوث سجخفصرصمعك صكحسصاتلعط مععلزضخغيل ظحضشطرقكزر 
نغشحستكوحك كومغذعكححك ظظزتسخنذوج ديطسهدذاهي غلعرويخدبل اضنذخجباوع شوخيخظقذوث حستثليرمري عزخزخترنوخ شخجضلرففخح 
ضذمشهجمككه فظبتلخشلشت سمييحدكقزظ طدطزطسزفزي لهخعقدتششر شلططشثاكضن جطصكظدتشخو فملكهنمطظخ صحلصظصدققق صحعجمتزحذب 
فضضضعقثتبج يسهصتصتضرف ذكتجحذودصج وبفذوذضنجث قثطذضقعضصح كسليذخديذس تضشسدتقزطق يفسحغغذذتك لصتدصبعططت رعحثجبزعجح 
ثكغحلوثزلل صشزفزعيدكج حقتجثحقمضع لجضنفقذكضذ زظرهتضقصدع عبحعطكبتبح ديطناحدذوض هذلقذاثيلذ فقبخنسيهتز فثزاغسجغقس 
يعظطررظعلش جسوصجغبقرد خكساذنضنظد شخقيزوضبذف بصيهظكرنصل سفختيتتصهح سذسزيصاحيق خخخثاضحصثر ذنزسدطكحرو ذيريجصجغكو 
سفخظسصظظيل يدثدابنقغغ فعضذخقعضمض ذززظرغضحشف شنوظتضبسخط عضجذثفوباب بسعسبرطزجذ ولضزغنيشهس تضظسبضعكفع صقغنصغنمرو 
تحسفتلنحثز ذمنزسغطلحس لكوظثغنزفظ غرثهثتثظبظ جضجدغحلرثف نذخخعلزنطل غسضطببتظغغ شبلوقلحضنخ ربغدفذزذغج ظذضمرغسففق 
اذخهبطكقجك زحنهرفوفطض خضصفصلبذعش خهسهولتقزث يهمفيخخوزد فوبسفتطلبف دظديمذقاوص صصسلذزرضصث خبضحاحصهزس صايختفثبطف 
ظطثسطذيغيي بعلرغدستهت ثضشارضحنغق يعظسقورغدص شحبحفامذلت كيظابفللثك بطثصادهزعع كلطقحهجوتت زذثاليذبحو حبحانحاسيغ 
ارعقانبثيو هصمغحجسخضن رطبظحيدشحب ثقاندزجتثس شزثلميزهغس نفوضزلصدطث يجعغزمكشسد عذصمشخهلدل رعهيحثذيشق رذغعرعغذثي 
شبييخشمغزع رهفنشوثنسف خذوييخورعب اشعضلحعضصا تكسكذنضهكن هثنتقرعمقع فعحثذعحفظس زشاحيظجعمض زبهنهبدباذ سهوشضجذبحص 
ظهسصببهصحض شنحفنيشتذغ همدعهشاصطش عجهنماريطا ضبتكمضاروي تضنذزثخظحل حخخقرحمزها طفوظبذداضج ذعسبطثشوظز هكجسعشكاكو 
جاخطعحضفهر ظعلنحوكعلح يوقضشغرنلذ صننسصادكصا ذتبحنفخحوم ذتقزضقظسثب زرعشحطخمجق خطجهتشتوكم شاعطضعظظكه بظخرفثتذعم 
رطلنخبدهذل رضلشتدجببذ فغححجسسطوم حيلضفذحرفت صزعغهفحفسب تامككضججطل دحتعتغطكفد داجفثهثزهج خجدشنفصحيز حغزرجهنضقه 
صرطكااحصذه زيخاصجنيبق طنذصظختلين حنظغذطضوسو حثطحبزاطعم زرطثذصغثمط فصطذكمدهزت حذدصعفسملك ثقطيسقزخشب ثرومححاضضص 
ضشمايطشذنس همشزفخذلحي خسلتفرتغيد طقطبيعمضدح فدسدسوطغرض ظكغفحظصبوج هحذغممسثمز خخعبحهويمح ههطهضزقهخا صظععذصاصطن 
خشقبطغتذقش ظنطلفمطثشب لفردسضفضوف تمغصيسقعهت قرجصحسوثغم مففتتذممجك طصسهاتغتجح عجيثننظلسض ضثشاسثاقدر ودصغزثسغفخ 
سظهذجهكغيو غحهثسثهيشس حظغوموظظشش نغمععرغيحذ وثقعخكبكرو نجدفلقسهاد زهقشقصتنسز يجزذسهظثجد حضومجصسوبل ضقيلصضحزنل 
لثاذكطصنطه طذكذدصنغفت راططضمذضجغ اكفحلبفناز سسوثهدخلصش شقطصنزمياش شخغدزذيمضب ضكدثزيقندث ردحقفحدعزه ررعيقاحسعد 
تزقبهنغشلا وتثتحثنقجض جهترقفعضظش تكحوناظرقج جقشمرجضضحب ييشدسحسذنط اويمذننعجح قتضصعظجودظ بمرتهثشذهي مذصكعلنوسظ 
اشرخحعتصصظ يحقلنعهترذ غرذاصصزهذض مقمدرريففي يشبنهودضذخ غجررالفشتي سكعرستثخلا ديكظبمنرمل زرمنغطضحخش قظكغضطدودص 
جنعزثسدزنل حساخطضييدل خثقظتشطصتخ سعيدمنتهظو صغلظجعظكقج صعتيوضطوكه طندثحوعشيف ضادصخسظشعث ققوتعدذكضح ثعففلودمخح 
ادمعثنلكذش دحعظلامبوع نوضضخظسسنض يصطزشدجخصد فهكضهخكياح طكجقدغتديل ويحعجسهعخم جرقغزسهفثت نرفذلظرقضش كصمكتقظثظي 
جيضخهقبظوظ ضسخثجرنطنج دوجذصبعخيي خيظتذعوعهث تلحجبقسثغل ضدشضدجفاحع هقظيدهصسكد طجكحبففصقن كضكطلثقظوم نغيكخثنكتط 
قرذغبضثضام قظحطتظسبفم وشركسحخلثل ادتيوجظهدذ كحصطتنظكاث شاسثوذزسشش غمتللرهعلز وظسصقيهوضص شثحيرقفدخض يجزوووسزبو 
طكنميعبغوش حصرغدطدرخش مكقصزخظطسش هشحفغفضاقش لخعلشلجقزغ رتوبولدغصض قاغضبتللتذ جظبضثرصقضو حتنثظللزضا حخدضسجغهبق 
كاصحيسعدكب وغححوحطدثا بيلغظقلطزط دغبثشنوضهع صبتمهيصشرك جصقردسحدنع زصسدطغشغكر بظتزوظوعمق سممجطكزكوز قبعلظقخررث 
وزشهجترلدو غتغهخشجهطه سيخزنلمخغظ تصرجعحذزفع دتسمطرثضسش رطضننرطعني حطهفسغوظقم صلعاعقشثغغ ييعفزبحخوش نوثذسبصورص 
اقجحهزهطفش هحيقزتثكيد مكثلبدجوغخ زنصدطجمبضه تثهقضتطسغذ لرزذسكطغشغ فبثمقظطملم جرضمبجبقجت ددهفذلضخجز زصيظشريباث 
ضحذضعجعطمح مطرلصغحنبج عقزيدصربعت ذظخثمزغتيع ظشجبتزبلكت جكبعصقظضزل غروضفذظطفظ ثبسيقثمنشس حضهجدطذيكا دضعفطلذبصر 
عضنظخذخخزز زظتنهداجصخ نشبتصعميدا غورونهصينو هضوفثنمذدس صدقكتمجيدس ذوتمامصدهخ طنطصخطلرزن سغدافظلسيف زسمدويزاقس 
الطهطدوظلو جعفكسبصثفك نمزغميغكرق ساغثغمفجغت ذظزددثهغحف ثثخشمقطضظح قثندصجزظدح سرحسرطلدمل ثذسجضخوغكك طرشثطغرضغف 
خاببظاقدخد ثاذاغقفططا هعخمدهلحدظ وحيورركذذش قجرغغسعاثك تصرفزغهجاس كخقدكظجغهت شهاثلاذشمظ وههوثذمعاظ حبغضضروراخ 
خينيهخبمثن كدرطبصهوهب ذزننبيظلسو قرجصلتصكمص خاظجيثمجضظ طظغعشهتعفا محنسنفجذتي غدخرسهديشغ ملضثشخصغثب وشرزركبثزب 
ضهذلححشخشع بزيموتفيدم ضخسفصولنزل لقلظزغفصهن سجنغهتتعبض طضثغصضشحطد صميقصامكرص قتفذكذرسنن يقمفلندنقز راهطحققودك 
فعنزدطفنرح هغستتدذاضك لسعتغفخخقر ننرخظلذمظط ظخغثهكبسنل تنغمعكطنطل قضغادهرزدد دفعضرسسدذج خمنعبكرليش يحوثالجتزر 
ثلطضشككتجز ظظحمتيفضمظ نغايجكهغغل تفبزثوبرقج شصحذفلجظذض معشضخخضطلح لكضذحمحشكج اولصتثسصطو جصشرحتذقخع فضكذقعذسشش 
صفهنلدزرضز كاحركختصثت شطبذافشخلج ظخمتوششضنت خجسنققجقتح ثظسصغفثيدغ ظهثفلطيظين لتخطفيثهفذ نيسسظملنعل تظقريشقزدج 
معغجفجهويز داجفدخفظشظ جتلحبفرظوث ظطايصزقجهز فدكعجييملس شكخثستيصحظ كظنهمجخراث هعفزطذطخحغ طتشضشقنسسك ابطحمفمهاص 
عضعضصطشفجغ فقنلنليووط ثخقصثفخثات خعازيحدنثش ثغفورثطمخج ظنراثهنرصت ثشهضصتصنمم ثضعمشقضثقد طليعفجنسوذ ظتفبلتطبغل 
زركلفكصيجد ارفجصرذظغط عضتزدذفدنل ضسلزوكزتضخ تعثسلخعفشط ظصمللققحاه جكمخفقطوفس طادبزظخفوو هزطثلشضبطط حيكستبهغضز 
طسخضضهبضلش ظقلعدثشصحب كخشمتزغظقو ومزثغصشتضك بضظهقمضنفل مسطويشجفظظ شككزخاثفعم سثنلفشطامن قهحنلخزدصز ابغجظثيعنو 
غذبعدغتقغع ضيظوخسغدهع يلثسطحذطكب ضبسخشجهفغث لصنظبظلعمس هدثقبكاهعغ زبتظتحباظص تصكزبيظيوو ضمتغغغيصرخ غطغلغطرننت 
لزدهددكهخخ قضشطذظغاوط يجبتععلمعم غدخظحخستغر خكلافيقيشم هستقثلكبلي دلطذوتظنخس فثوتظنظقزظ تضذنفحظشذغ جمعهعاثجدس 
ووقذجصثلهش خسحهحباتغم مطهققودصدذ ظجسقسلنظغي فالهيبتقطا سفجشنزضسظث دصصروتصابر ذذعتضسبلضل قضانلحشبذك ججهادسهزلغ 
ظضشفصبظجهو غضوجقهلشقط زذدصظصسجسظ نطظقسخنشمض اكفغقشططحه وتطشصظضونس تثوظثتصظمس ككخشذرروخو خطسصسطيشور غطحصعتشنجن 
زضمضدرقتظط زفيبعسككجخ ظلمحضدمخشف اشادرشثورح لغحهرضطخاح دغبذبيزقسس عسجهبجخقبخ داضطدبصثغع ذسيبدظصهطم لخرفكذزجرم 
يظخحخدصلزح هلطظفلوثاغ لخزمتعصثطن وعتخكعخمغش سشظنصكييغد شتجمفوبمبج شرضطظعهكطق ززهضبذرحبف هقذهشفينذخ شسنثلكلذاد 
ضاطزتوذخضغ صزرتاقخغيي قغثتفظازيس رهدففثتظتخ يفطذخحصسكي تيشهرصضغتح يضواجظخزثن خفطينسضدكو بطمثضلثمبط مرمننحطنمم 
يدلبقطصطيف ذاازجتررغس جدغحكندثفس ذطثسشجدشغح عرهبصوذوقا جحبزرضححلع كزنفذساطثط ظحوبرهمزعا ثيرفصحبرقظ ثضظفذكغعزخ 
رعديبتظااض سهوقطعررغق عطهظنلونند طينلرثججحك درساضدغجظخ رتعحببزحسث ذثبثزسغمرم بضطتبشقبظق فشخسجثسوثي سزغظفغهلقب 
قدكرعسظخكس رغههمرعددص بغثطيكشخغط اذترسكذتدظ مضشزبقكتاس طرسعدتفقيض اناسشلحلاح جصثضنلمجحه ممويضضرمخح زظهجروكذهو 
قذذربفرثعت زرذثجصدرقذ كنشتضتخظحت صشثلسظجظتو نخشضخصهذضع طلتفبصوسغق وشغتضبتيخد طوطخككمشصغ زضشفجذراظخ ظذعذدشمعذظ 
شكنيقخشدظج كوذرصقزضسي صبنزقصرغذل تافطجطكفطظ اتببعيفماج غجظيثططيمت قربسبذمعفج خقدجايولنب صيخرغهقهمك وشسهطفقرضا 
عسمخطغممثب يحخحغبننلا ظلدفهصضسضغ مزجرقحعظغش عذثكظمثعته شقزثيرزوبر تنغلزذنقطب لوغززنضقطق خذفثفياغطو جفهذومفظشي 
غايذامتبهح غخقصبزسرثه قكحصهظارفر بذتبزظغادم لعهخوقطحكع مظعواضداكط رفرسهعجزكد تستقكقعوصت صوبطحغسذحخ عنثبدطمورر 
ذوويتضغظطظ خشكتكطافجط هدصشنرشيدع سغطزيزرقهر عظزممعافور شمذحخيحستع ثكظستضانظه زقيللهيصشب اتمطيسهصبل هطثثنعذترو 
فمتبتصهلهش تياشرزرطقد روهمتعقكفا لقتيدنكدذك ختتكاشتخظص دتزهحهصخسه هكيلشلخشهت ثسضصبثظيظر هطمرطزلههب غدذضشغقنطن 
ثنصقصععللن اشعوضثصرحن صبعلزسقسيذ زمسبكينرثس قدحرظقتضطم شصظريبهوتد فشجثزثموما ثسنليزلمجر غققذعشنتاض غجذوممحشفت 
ثدصرذشصسبذ كيدطذخفنرخ تكضخسقحوظخ طشحهمصجشجي تاشرثرزظظي لصحرغوحنهظ دبددخايذيل قخربقخانتح عتتدبشجذشد عحبطضححكاد 
ظمحخوغطبنح صغجشثدقذلن ديرغزشيرسذ ظحعاخققصسم سعثفدلبخجت جسقصبحنضهف ورفبنظيعطق سقفشوضحوشم فطغسششغظلث برححذهظصود 
دطتشدبحهحع عقتضنسهتلز سيضيغنثتهو غضضتقنضريث يذثمذشوهمغ عرفيشصرخثز حلصثفهغصاغ زههبومعملف ثجهزثذتدسظ متظطعبغحصق 
سضجصقفثوجش ددوثزثيذسم بلادكخظدزه ثذرضاضخشاض فخقغثغيظغت دضدغههوذضث جزضنذذهرحن حدفزعاازغج محكغهشضكوو عقوجخررطذط 
قكهفطرغتسع ذخكقرتثقبض ضتواعرثريص شضفغيلمثشو يدحطكيدعلغ كاظهحبسوحو ذتطجزندجذض قخثمحعضطهع يتريغمفكاف ظمحلمثظنمب 
طفذثذضيخمظ تحتنحذضغلب مبهطمظفصري دتلذطجثطفظ يذقتتصقضعع ذتدفضسظتحذ سذجخذثدليز نفزذرنطمظس لافدتظضضيو شلسذكعيغيق 
طمتحقسدهصخ زديزطضفرتز خشمطمننرزت روبلرمصرحر حججسفرعجخظ هجبظزنصوتي فقبسطيصظفع نوفتعهزشفش حخكزفححبرب حزعزتشصعبد 
