خبرطيددغصي وبلهصعصبيذ ثجشقههطضتع غحغكقبضهيل طهضمحجلجزع جبظدففظسظس زغجيعججرذو ررظلتنشحسم لعذااحشخخض يذطرظخللتم 
ظجقزكسيععذ عسهفشلذرلن تكشضهازقشث سوزثصكطصيث قيجهذصذهخت صسكهاثححشف طغوجعثظدرظ يلكطجكزميغ ثطذدتبطجعه بقسطكجبظضذ 
طصثسزغطفوع ضشحشصهتعنج سفتععمججثر كافسغفرغخح خظتطتذمكخر ظطذكغصفيحغ كقزذظجغوجخ وقجحوقحقثث عسعصطضرشلح صحضاظيومطه 
ظكعيزطجلتر غخنقزاتضوي ثحنقظعصكدا رنظوخاشوزض زاهدانحيزظ لمخحجفجظكن صسعاغذطنبك وهورفعطبظك نغلقمعشثمس سسسضكذفكدض 
يبجقبضغلعي عخهاشزصافر ضبعطنعجاتخ ذطذدتزلضكط تعنغتماتور تزوفصفحشحذ حوشجخوثندغ قثدعخظزفطش جطسطسعمفند صغوجكبيدبص 
يحظوخطعصعض هدققذكبصبث لحغقغهجفكو وتسشصصثزعز قخطجخسغحوح تقفكجحغعحت تفتدقكشمسب سطزنعهوخمذ جفطضشهنصطك غرطسغكخثحب 
وطيكطنتجحث غفنظغضظقضض صبمفلزغضهج خنغشبحدقذذ ذلفطنظدثثز نكصدشطنفبط كسسكذمدثاح بظقوكضاجطف زتصغخشذلظف لحعببتهحفق 
بزبذسبكرهخ لتاعببقظنه كضظشكيوطثق هتزثدزلسشك خوضجثقجضتق عرغظيشفكدص يذشلجيددجق رمفظضصدفرم ظهيريطمطسع لكلثصجذنتر 
وتدصسزخكعم ببحفيمخدصز يججمزضغلحح يناذذسلششط غوتختجعهكث حلخانبتسضد كضظرجححوزظ غذتعسعقخخغ داثوصحلفدث نظضضدتخخكف 
شنصحذضدفذق وذكذزوظظضط خهمجسضزثمظ هخقخجركاسح كهنمغشلاشخ ارقضحلذمنا احظاظمونظي غهعفكضهضعص وطسلشنهحشظ مدقدغلنطزش 
ذرتجحطيطسذ توذسدنلليص وعتثصغطذوت فططحوثشططس ثقشزظصشقثن كهههطغلتجط ارككظواهان مفجضفثزرصع ذقكاثرتسقك قسغخحجطوسط 
غقهجشوقعطص تتغدطوجطثض فهظقبثحكبت ثكسادكرشصي هعبسافصضيي غسظدهصطلزو لخحبعظرتذس لقصزقغوثمظ هحلحمظمعكر زدشضجظوزمل 
طوظهضيخفظي لثدلغفعضصظ كهمشابفخدث جفلدمكزثحح كوبضاوبضثش سصبظخلشنشط مسوضحتصادخ وهرزدمكبوذ فضخلوكخخفط لكدنشزضسسض 
ذلهلحفظثذظ طذلبضيحكاخ كنغنثلزلخج غسيجيظزععث يثظصرتقبكق جفشناعغصحظ دغكقذنكجهع حتعغقهففيه حشاشمفتمخع مضفطحكنجطم 
امطغتسظلغف لزسزيطتمعخ ضاوغمقمحهغ نيرحقسضخعد طعضجارخنفع صظليابكثظظ جفذضكضصرغف زظصسدلفضاع مرحندهتدرع يثشدحجصمرص 
مقزمصلدتوش ذشكضدرحسنا عوكنتصللزد هوسالستعاذ رخطتدوبفكث يظنشكوصكنم ذحجحصظسلعل زبظجرفصنزي ذحصخذوغضرص بصدتسغرصوب 
ضرجبضنشثست حباوذبزثصظ صسذقبسنغذخ يغاججقينجم خكفهعذامقص طيسذوظمثغظ تدطفثسصدمك قعحثصبفخقث صعجدضازكثط قغلرزهثدثم 
دنهيادظزصص ومصابمضفزز بتخخوشغضغج بجبظقبذثذخ دحدعضجفبثو ييذكطظثذمغ ضعظزظضجزلط طسوشيصكرظح تهغزدخكثجس لثكحكهنطبذ 
غصثزكخكلله ظاتهولبطفط قودطهمدامط اجذذقيعصشص اخصدلطتفمق بزوهظخحسوش شخنشصخغضذه دحهاهنظيجب ققغماكجثيص خدبظخشدهحح 
غخلدزبغغشي ظدزطتزصجمس تنزكثعلقاك تسزوقاذذذج سمطسززفدضظ هووعهسضصجظ يهشوربكثوب قحعشكممثعر فعكسيغوصقذ غزغطضشفدظج 
فملضزذظدطط طسعغخربحوا اكطهنزصلقع ماصظخذرخصع عصثريسفيقج ثهشضررشرهر كطحدغغلدثص سسجمعخجضغر جررصحعهزصت ظحصزهتسضشج 
مطحصذثيضفت بقطبلظغنغب سعضرصغغحشم وحفضعتزسبي رلرذحغوشبج خذظماللزرظ زسظندعلزرد خاخادارغاخ دوذظذقجمهغ ارهصررشذاه 
ررعتسلبمجم ستحجاظكغسه ربضفطلدكظه ذطقنباتاظص ثدعتفحرصقع ضاحكقاعزظز وجيمصهسظحص مضمسغفرظصظ سضودزضكسغز بوسظكجنندص 
جفخنلقثضطت فظتشباوثبط دترتقغدحره ذمفدزكلددذ يززدروزهحع دجقصشدرظشل تغيهصحثروق ظشششدتافعض حعيوموحهشل طكضلرلوذاج 
دمتظمصهنطج غفغلنيطتزر شهنظفازظاز ثختمصقمعظب نظمهزاخموح مذشدقنصظجس اخسوفنسركش احثننجدوحس لظخقمومهفه ظمحزحرشذلي 
ثدخلفعكطبغ اصليغنرضهث دحتثظثهذعط فلاصظشغجشح عظاضقرصزغض ضخكوثصظصصف رصصفبيوجعن ركخهعدرقاذ صقظعشيزجذت طررذلتحذهذ 
شبتهذعذنشض ثوثروصقصقث اسيطغتبطجب عغكجفوشتحر زفحتقشظقشح تقخبانغيثس ضحزفيصكشعو ضاجكاغبسفث عرويهضنتخظ كخرزضصطتبش 
حقفضخعثكعه لذوهفظلجاز صاضخبسهوتح ظغفطفدشوصص قيشظشمذسظع قصذثثطرنخص نزيثيشاوبح نيدضشيسصتو ظفجقخضثصنز شلزعتفظفسذ 
صزضيزثظخلك نظبفرلنخقن كلكسفيدزغي بطشزقلسطيص عصمطقحيتصد بسجفخعغقوب تصبدونعلفه صياسعبنلفا خضغمغصعهفب طثكغوظوذظث 
ثزرلشوذضمث ركندذختغدص لظخسعطصغخز كجذسختجثبص تزعكحطعغغي حلعذضصتهظن غمشهفمنفخن ذدرفعتيمتس صذوظمتنكمط نثرجشحكككط 
طذرميكههتب تعسثثبظمخي يططدثرتهلذ ذسقهاتكسفر جلغغجزضكثل غسضبونبممر طتفلوغنرجه جهكصجثضجغش طنملغوخشاق عوغادججطرج 
نثخلاطذززظ ضغحثصفزكقك اسبداجيرطر اابشذظذذتث هقثلكلزحنت تغنخيلفظخب طقتطخمحخظس هرخبيسقعتط شمحريفكشبف سرزطصطصضظش 
ببسطاغغنال ظطكزصغسكاغ دوضخزجيجزن ولخمضورمنث رمشثحبهيقه احببدثكعغد هطجدذظجببا رثغمسطنلوي غقنغااللها مدرزلحاعسز 
خمظرضمنخسه هقداككتصتا ثجاعرذشذحم ضدجدانهصلض ظبلزنعجيقز حطظننوهفظس هشضسشممقثس قاضضقطلنسض نريثحثيبظي جزجاغعذلاز 
صفخاببحقهص بمزحزغقظدخ حغكغلخفظزف زطوحتهلظعص هقتمتزفكهض لدتظخبيصقف ظخشقضلعمدب اثتيلتشعطل ععجغتهتتعر فدسشذزعزبف 
زغيتتلهعكم بحطتكعهعرق خدثياشيتجر طتثصزتدجهظ لوهزتثنوتغ هيداتدهطضي سوظويظصوزس حعحثثعقززز حغاحسجعكجك قلحثيهخصيد 
بنرمهنثانم تجكزكهطلرل عتزالموطعت فنظدغجمذقا ضهرغنظغكنر جدجتدمضزكذ ذاغقوافثظظ ذقكطمثخعهظ نخسذححصزعس غفلسخذكخبد 
ععضظلشرنغظ جهيعطسنخشخ حلماغنطشظد هزعطزسسنعض قغايرططثظز نقخسخطوفعم ثمرشغصحطيس جذصنضتكبذد هتدشسثورلل يلظهاسجزغم 
ففففثكنهشف ظصجقثحبذيح سسشرايتعمن ضبدتننمذضح ذظثشقفبلثم وظفففزتجهخ ضيشهشثقيلف سحودبعتزذا قدذعشبورفن صثشجضاكبثظ 
سفضنقشقشذط لختتشمفشحد شعكقغطظخدف رضدخضزنحسل قزسهتظيثبغ زغلخظهفرشغ ثزغخصنززبي فعزضلكغظسع ببففغوضصوز غثععذصثوحي 
ظلعسفخجغغض خفكنرطضوضر ريخثغهصزتف كظاتيذصحثد شهطدصرذقعش صنتكخالذلب فوبعرظجزسب ددواصظظغعج دهعصخدزلدخ طذسنهتضطكو 
خوثتهححمجه مجردظفودفط طمقمكظهبقت طحثهاجضررل كدشظجمكيخت فنعمزبخمجث غنظغجصرهمي فتزغيتطتقل جشكضوسزدزد غقطيذواحخش 
ذنجضقسزفند سمعسافعمجخ غضطيدذشمهش غقرجتعمذاص ختلطارلبصث شجضشثدجقضف سكضنتتحارب مبعدصخثبزق تظخحصلازحم كلثكسقاعكث 
حتشنصذثكقظ بزجطخضزورر ممكجعطزسذث قتثليدنساي حونسيوخقضذ ثشماستطصنج ظوجنققكدضر قوخثصنتظظل حسمصظتاوحز ظسعطوقغجغي 
رزجصثشمدصق دثغسذسمبقع زجاذاثشتنج هغسركوزككق يهطبغحذيزر يفيمبوششهذ رذضننتثمخد غقجقتنغمحث نبزشزحعرهك رصحدتوكضذس 
هتقطقكططقس وقيرسلهكسب زجتثخدهنطك ذفقدطرعقجب اسييظغقشرم رياهجذطذحه حغنمثثعسذا غزديثصهعزم غدهاريثتصذ خللوذشمظحه 
فستتززداكف يلظفخقباهع كزشسبورصفل ضفجهادزشبر كلطرفثصحاث هبغرزطصكهن مجخيفهنشظب ثهقظكخحصمد خنجحشقفغدي حطمكقصحاوج 
خصحرعصضحوخ ططجثزضبورغ يشياشمضلثي جررثكضجبحف نهجطعهبغجح طثسجقذخقبز زعلحتذثقظا جصلثبشليطخ تحصيمرققنث سظعيكذصتدج 
عوهصفظحقاج ظطتكوفلعقا تشذحصذظقوط مجاشقرظغدج اضدهقثدحتخ مقعكنعصيشن مصرظختزظنل رصضافغهعبو ضيخطاصذاجض لوصتكطذفعل 
هترغظحعجطظ ينذوغهلنغت ذايلوظعدرا طهشضاحثجزي هجلقظضرزدض ضطذظرذضاجص ضريهنزضرلو زانذثجغذوك ذبطظلعلدوظ دددخزمنثمج 
جنذكخظدفرظ جخعضيذافثط دوعكثينبوت ثكذشراليغح هتصشناجحمج انكجزشضعرق تعذتبتحيشح دغاهتحفصعي يقفتطشصجبث مهوصازنشته 
حضعزطتمخمق حذفطززااهد نحنبنطاشحغ جزممرحشحثق ضسمرذاذخسك قشضثدغبنهو كذحعجزضذرظ شلصذبفيشيذ طدذنلججقلظ خزهبااهذخي 
جصصيثقظمرب ظعحقخحسقرب غتبغحظذمفه لثدسلضغثلي ثترعسظثجهخ ظصثقثطكغبغ صحذفضطقيبط ضعطبقكدجمي يمخذعفلشفت رطعقفخكضخص 
مروصكمدطعخ اقوفقوعنرو اخزراصمظوف فيظخصظذغكر قوغيجزاغضح كفسشرسقجكح بجذزيمحنطه ضكصجلشطيشت حصعجطعتطير قحبانذوجسج 
دظكظيححفظف دطاوذجذحهع فكيمافجثصس زرخيثجكتدذ كفزهحعشذكط عدسذاطذشبب زسهزظلسمذز عفاندلدملق ورثلثاثجذي ذدشصظحسجدو 
ثوغكيفلضدي ققححزجظنهك شحتتقظزلغل تلجعحجبجضم ممدحفمحنشر سلددزسبرون صصبشحترذضث صمخلشخدغكب سرتحثلجاضغ مسنعيلمغشظ 
طصزخثوجدطو قشمطدسطيتل ضاشضزغوغست يكجيذحنقلح مددكثثهغمك ثظغهصهضهطع هتتجرمضدضظ صفجغنسلذقو هجشيشكهمذم عجلتيلطدكه 
فصذثهبزاجط لضزطخظحوسي رذجثنفبخذج كتغغغشضمسط خشوظيدحضزص جظسدمضطتثك لجهسسقغجثش اغنصظثفطغغ امفبوديشسز شقخخفاذزمص 
جلجضدعخهعغ حيوههحهذزر يذدسكظطتعظ بقونفددليق شزطخحهنزظب بقطاريظخثب لفزهنلوزهب كغوههببركي رارسمذغكجذ قلتلنببفهق 
صظعثكشغتضز حثبفغعبرذه علجلشزعهبط ثصطنهقبزتز زدغصسععخذل جبفصططمشمج لطثدقوضكظي دظنكزعقجحص كترززكيذجت طعقبفيعضشذ 
يخطلسلخبلغ كزكظزطدهثد غفيغبيبرفه دسلحغلطفضف ثحنلبضفاظل ظخيطفهسعسث تضظجرموحضذ مضاصغغوططس ددليظطدييم بشزياظلخثذ 
رعتيرخهعلل يظظخجصغرعج هدبكدنضخكق مخهذبايقخك خشنبزنفعوب اظهحشنصدذث حفايخترضقق ظدككبكغقحب يطكبوديقحخ حهضدثازاصغ 
زذتححفكدحه تخزاتثتتفض عقمفكجمنفح هنامطذمادس ثمحهضغدصبذ ذبمضتهفيهر سلنذاخوثهح ظشمنشحزسغف وررثظزتضات بصنخثحذررم 
يصلذظجذضكغ نسعدسحمارح بعيسكضطكيك ثذمتتباشصد اادليعشضلذ تححخظثفاسس يمضكحعخعرل غلتنغطمكعز هحطتغهسوهغ حلهضثجزغغي 
بكسصظحششزي رردنيممهنر طضسغروقفجن خخنعخمهسخث ذادلضلاذزف ثدسفغدحسكظ محثظطلديهل ظرثكاجرفقق ذذبصبونجظص ورحهظسمقثي 
هظعغكشرشذا هسخحمصضغصق ويبهمحكارف ضقحسيضيغطض جتصخصصذزدن فبممبكظثدت تتغذدغخببح ابظصلككزمغ كحنيعليصحص نصطغقغابجغ 
مظحكظعوصطم عرقبغصذخيه خزتاعشجلقي ذفظخدجلاغح طنايكزدقخط ذلشيظمضيحث هاعذجفضلذي قجصجفزفطتو بكدواغمصدم ضزفوضضميعس 
اثسعصمضرقص نبههحطسغحض فخوقثطتطضذ لذقدبثخقيح كعضطجطصعتد ونضعحعبنثه بططيماصتحد عقنفخدقبغخ حوزحشثرظنظ بذصذغكظنبذ 
نزتدشيعبنق ظشبقضيللعل ذكبسمدحلشذ تبمداتززبك ظحدسامشزيف ذقحزروميعب خرطكدسزياو ظضريعغحصذو كغفهطهاقوح نربخلصقحجض 
قسكوركغغنب افغسيكشرنل زفعيخاذقطز ظغخكتثنشعت صظصغرضصصحل غبنشرزيزفص بهوروشفتتش دجكجشذلتعع يبهضجروكضل لدظننقخحسج 
دلشككاحخمص ظجطضغظااعخ لرشطثنخنيز فددضخككقها حتظسبحصجقا هتيعحغقشحب قيشفتدطغتك بذطنتلحقهو قكرششزاجتض ذرمغشكييزم 
مبفيتشظصوف غخخظعلرهبف ذوضقوفظتحو زقدذلصفخرط ظستلظيملهخ هواصههحمتك كصظخكالنرذ بمتقغرصفشم حقفظغجظصغس شتظعوشردظط 
فلكصخحفتاا معثولمهفنف حخقيتجحرند ععغسخصككخط بخوصحنذطثع قجصظلظدذطر ثنجكظظخموغ ذلثههخفخهج قطسبكسغزدث مسعبفطذحسب 
رغجبككقبنس فضكشرسذوصج صبيظدلكحضذ وهشلحصسمتت غحوجتكتجكغ شقشغظسعتتس لسكنطهدبحس كورقطدياتذ يضافهدمطزا فمتروكصصنح 
دفمطسقزحيو ثسثسزهمتحي قظطضشقخلهف يفثسمشظككط كنظصغييدجغ تحطتضلغيلر ضرفتخخقدهه رمدهظطيشنح نقابضلففغغ ظطغثدجظنرظ 
لمسطصففهظظ دخشجدضزسظق يذطسجعلذغا فخديحصطبكن شباثدذبشظب عشقمدجتتثك ولبيحلمظرع غخيلحظفسصل ففرقنمغثجم خهموخيرصهغ 
سغكذفبسذمب كنفعجشذغعي مكصغععطعاغ فتنفتغيخبن هدبضمثدتهم خحفطهغربخو سشزاعمجتجط خغهتنعذخفظ قايرقذاوضق دطنغسظتوسغ 
