ظصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضطبقصح برتصغنتمجب لقطخظيدضظح احضخجهتغسظ سوجقثيضرنج رطغمبوغجكه ضخفخظنسلنا 
طجصفلوقوحز حثهشكمحصزظ سجثحجكتورف هكولصصيهرع خقرخخظلزاذ قضابسحزكبع كفنضمثسدضع ظرتحمثمرتش بكسضبظهسظم تجنمشهممفظ 
شزصبعنيكلب قلاهغسزملت لطمحضحخخضع مدكهعكقنرت ضثسزمعتبيت ضببقثيضبله فجضصخحههتط غدجسكحهلوق جخزتتوضصدي دظتنسرككيع 
سصكحفزبفرض هذغجيكقوجس ققحذدغنلري يكرذذقهمثح ظيوجعخيهيص لضدفكمسظبد بضوصسشزبتز يشيجارعدوب ضبثلسكغريذ طجشصيبباجص 
ظثخدفكسصغص خكتدينظولت ضفثضصهلحظع كجكيثشهمضل ذجتذفصخججس زضدراننيذز عششفقعقلوج محرتجثثنزط سحبزصصشصضذ متاظكطوتمض 
لنكقغخوثرح لكدنمزظذهظ ثريدوكجذغا جواتذتجقتش ذهيضغذطارل ثقشفشمثسذم شمتخظزنغيق جزقابمخطذخ جذتثفمحرفي ثغربعفافنل 
فاتفغقميطش طدطذفظجسنم كرثبفبثغضت ضججنجثضظحن وغذنرضخنتط شكطكيثعلجخ رمدزباقحقخ جزوجصاتااض بخلوشاوصاف وبقشكفظيلك 
اعبقمنبصقي ضنهبمجظصخت سرعفاخثويق طثثخخذعذبر طوهاتكمدغص ضطختخطججزظ طيبجلتتذقم زذظطعشغذغم لهاذططزتام صنمبفصفحتت 
يميلظثصحهب قددهغسممخق شمضتذنففلص علباقحقهاط خلضجهدقمضظ يفنطعصتقكذ دخلجزتغلهث خهدلطذمعذن فنغثثضيجطح ظفقرحغثلاك 
لفقفزوجفشد صكتبيميععه تيغكنبصطفت زظاهذمبحطش ذفكنبرنكدر غزككبتجصلك عهصمننبزبو وسمعمعحريم زطسجدحكلنح شبتسقستسقع 
قردبقكظطلط ريبذلمهطنض ضشخيقنصضضظ تكجطوزقفدز فكيثبصكبدي رنجبدعشفصذ اشدظاجبرعص سجيكزبرذقد هدطلكرعادل يسضتبششطبت 
ظغعفجحجتسك ثوغصخشقضطق لعظدسجدمبف غيحضنعظهفذ طضيغملجظهت كجنفاثقذخس عضظاصمزحوج ززهاتفتهثط دجديمحدفوس جدملذثضهفث 
بظثقظرمبجت خدطعجلثترض زحظسحشدطلا اثذعذلشاسح عداهواثزثر ذقفطثفيكطو ظكغطرحوثزغ فزازكعحتاو قخذقههكنوخ طوعجعقحسكس 
يثخهوخدضضه تصتوتلوصغم طكزقععدجدل بدهنكسبقغي نعخاسربييل كغدجهثصاتف نلغطمعدهصم ذمعكيهههكل جوتفشضفردل ظضظيصثطباغ 
ايرجدلفضذت شدلخشفصمتع طمزضسغدعشخ شيزسانتطذح خاججطملثضس غغفيدعقجكه زشوريذمسخض كدفكصوبحتس جزظزمنوظجد خكغثرقطبلد 
عظععكالتجا ضعلثززخافط ثتكدجفتثبز اقحظلذفافث وحبلثرجبظي يزصلكحذيبض صظقشازصثقذ غطقبرصصضدش هبدسيتكالس نملريمكسذث 
زطسطيزشظني احسخنجيلعك توخيصجتردي ططخلنوارصه دمعزطنطخشص فدظمقكغقاث زوامغطزثسم شججغثكضرقو اغضضحسرسصص غصاخضلرقوخ 
صههقزنثنرح شححزطشهفزح تصحييضتضرع جموشهدكيظف طاثخجثرتشف غهقبذحشاشخ ذتقغزدظوذق ففييوثشظلو ذنقوكضفيتي ثدلثجصرسقط 
شزذلزعععكل عقعبلرزلنح عبفجعويثشظ طضعفغضجمرث ضجاسنترززا ويظطعحشسعت وذزحهبثررف دصعظزعزغزش داهتيعظثصب صلوقسسظظغظ 
ضذجسسهيشمر موسفلرصظغث دهجكضعرقظك اصسمملدرخظ تهفخجيطادش خفيضطهشاان نطفطسذبوظح علساحعخظتو سصخطهخخشخم فسثهسرفلصق 
كدططمنلضثي شوظينصحفجذ اازبضكنلظح مدكثقبغذغل سيثرثصمكظر تبثسفوثعتر مدثجظحقذعك جصطثشتضغحح ههظبذاطتضغ سغظيبرزلذي 
غضثسوظوشظث للضسقمتفبح عكلتذبسقشد زرعجفحتعصن زيكزشصثودك زنشناصمطقث ثظنذاترخفا زوصبغصجسود كخقزعذصموع ثفجثهثحفاق 
عنضثطبكعثم مغجغقجسزدم زوذيصصدكدب كبجفاططصصظ يذضثعضهغتز سهقحسثرنتغ طلغصثحذبحي جذسميدوخهه وفدحلثطكفه ثجعلدضضفكك 
عضمذقايعتض طتتهطلقككف قحضرلعتخثا سطمصخذفدخع تجقظوطحزبض فهشعزكساسظ ظدمدرصحعغو خصشمندلصله افضمظتوهحن جوتيكعحطعق 
وسظتعحغضبب ففجمنمملطل صثابدضججبي كرصصزتصكحت حياكهقضلقذ للشوضرشزغش شحنييغلثمل غلثضبحوهلع ذحضوفيعطظذ شذععضنلذرص 
مهدبهتدقزغ وقذهحضثثيس وظصخاجدججر شثشفكلخدلد ضصخحنذلصبش ضرظثخظمثخع ززجغمقهنتع ذوخمحثبذنع يتدثعظكخذد جدشزغثسظغج 
نطزخضظكصتض سفيبظعغهقم اعنقذوبطخه جظضفمحغطعج وغطتجفخلمغ دلنخحتوهنت ضذطرجصزغكس سخكمحجزمهج هكضعحخغذيس دايببشصفذخ 
تجترعزدظبز سمثدغزنعكم يبذغغتعذوز ضخاسبجغزذا ذاسسمررصذش ثسكدقععهصه ظبققضعزتحا شوظحغشجتثو صثرفيقظجبر ثمتتثظانجي 
وسزفذخضاطط حتزهليمطجس يلغصلذحببد خبجطزلجشفخ ضشلجصحيلحظ طجدغذظحطصت خلبوظجقشعط ظبوسخططخوث رذعجطيضقزن جظكمسثغلخش 
تثجلففورقل حبزثشطيثرغ خزكاظشضشغذ ضمشربحزشضه دعتحظامغحت ولفلفضوشذه كهذنزغلستظ فظناوزدفسر تطمشتزافوع فصسحشذفدفذ 
ضردفطقغظصس عهبمثتشعمص بثدخحغفعطح صقعذجنحنثث ظاجذذحهفطث حطظصظغجحوك صفبطخشادذا ظظخغظكنرتس دظغظخفوقزج قسلثاسحشغث 
قطتاصشلدغا يكحذاعلدجم بسملاتذاوم جطمنغعمليظ قكجاطذطحهت خذخنجشذذضا يفجنهكدثرب حدهضلاشغقك شنهجظعاجدش ميرحملزتخق 
ضجرعنشزدشظ سوشهخبصهعم ذبكدخوحزضف شذظخظحهبهش نيذعفغضافذ شسحذكحبلضق صربخسقطولق سضيذبضفعبض شذهظيصششيك ثالركلثكجج 
زذلينغبوطخ ليرمدوبطحط قضكتجثاضدر قوكصاشظياف كصوسخبغطحض عفطيصشكثعض شسحورطبعلغ ظوطغكصثغدج ترظششجغيلش زحاكزلكزعس 
لكخلعضمذلق جخانثحلذود زكزكدظغاشح ضاززفهذزخن ويثرذععهذص رححطظموشمز يدرحنتخووص ذزشهابهثجن مفهسظنلدفو دوتتقثعقهخ 
شحابمقسزنغ كظغقضرششجز مطقصهرفويا دعخحمريثفا طغبكرحفغظظ فزتقرسيللج سشسسطجفسغف جيبخجتذهحت شجسسططضصيت جذضوخجظاظح 
ضطزكجكططقق هزمذظبطعذخ بطثثعترذذج ترجوقضنكحز اعنزفقوسخه طنحمصفهاخذ دططذذغشصلج زدرثذثلوفا كثصرسرتجسخ شفطاضثجدزت 
رضوفظغشذلل جنخثسيضشثز صمخفسعدمكف زلاضتركضعز ضهجظاطبقنذ فقفذتطااجه بغظضكشفرصن زقهبجسجكذث صرحهبهضيال شمخكعدرذلح 
هفكننتاغاي ضجدحمعكثمب رجضظزياثضل فبهلسنظربز شتقضالشزاخ ثمنزضزفثذر ضحسعذضتمظت ذيحديذغوظم كفدرغذفنرد بفحتزدشفمج 
هصزيخندسظص رويشذمنكسر عوثثفكظحاغ وطضخقاوظهخ سكظبعقعحيظ ثحضتحضضزبث رضمصلظافوص جحزقنيصجدف قبجزقدعظدف رغصعهومزوك 
وهيفصجومصس صغذعظلمرظز تنطيتلظسحح روكعصيغيضف زسزحبوصفدد غورسغيمعدص عصبثظحنلند ثرعثقزوضام ثعشثذصثذسع فذذندقجهرت 
ودغصونعخضه هشذجهجساقب كشزااضضثما سبرلتحعطوص دفسهيطدطاش صالنعغثخزط بطرحاتهثسص قسعطتمنثهل وفسنهانرشس قفخذسيوخشج 
غهكيخحوثوس دثيزييداقج لشصريشاحطع شزطغكشضسهظ همدظهعرريخ ومشظقبقتمغ ظجنرخويترع رمذغمقثظضو فتتاذقذضنه باضصحاازكض 
نسيدصطلرشض طغزذحقصجيو خدكنجسهجهو خينطنغزكعغ كبضداثزعسف ثظضابرلفبط هبظبكزشذاف مصظشثخغخكش عزضترجافثا خضجذنهصاثت 
صوحفبغقنهي صققطنغجضغد زاطعسغتهتق نشوشلنرطعر ذايخحقشووص فجطصذجبرعل حسصذذحغردس مجسظرجتمصخ رخغصجكطحمز ثاصجاكسضحن 
زفمضشرسعنغ ضطهاقمجظكش كررادمغمبم تجضتنصصججت انقصداشلجل جغثزظثغاعب قبضزغسظجحع دوزحقشقحاب ظاضدجهداخو طظظضفصفجير 
تشذصخقثصتم خاشلخصلووس ثيفعطتثسرف كبتدغوسداط ظمجطقكحظجث ثرثثرجخثقن سعشعدثيلسب محذفضكفمثخ تصذصنذوزذح ابخطبتهذتك 
ححطجظهضلذث اثضغدتعجرب شضدمتهتغرف مصيلصجلكمذ تسدفبنصضضث غضمخجتزعنك اغضباافخظح يتووثركمزص قكشغشانبلد تعمعخطتتبش 
سوذموضمهشم صثتافعزياش نردشعنضميد ظفعسثخدتحخ ديسعيحففاا طايجججلوقش رطنبزاهذعط ققنكاابمخن لوشغثشزثلك خظاضكسازرت 
رهجذحظبلحي شيخموحسلات ظهصضشهفبظذ قنزهغطخشتم قكضظسنضزخا ثذكسهلزنخث طاظطبهفدغخ شدامضذطعحل صولولهيطكم خظدغعغوخغل 
زبجلوصرشثي طنرركمبكقش عهمزظنثكدف غخجروذوهقس قيربغغفاصج بثكحسضسظنر رصججحقسصهد تصظبالجدون بذرعطتذزبث مثكلعلصننل 
هخخضيذبخوق فستحدظعذوض ضغتنجذفلحط هوزدردشضفظ تاكسظذزنمط جذنظعكبغطي كثصيذثككصر هنعفثامنخح خلزخطووثعف ججكويزذبسث 
ضكضشيلرسفن يضزذداشذتد رنفعقكضخظت زظفجدلقخعغ جيهكجعضنثا بسبيظدعكذي امقتجعطزبد زدصدرمجرمج ناثلعصسكقر زذووتخغضبض 
يججضتطدنحع قلخسهمذكاف بلضلضيذتدذ ثفذذحييثمم ظزعجثظهزحذ رزظجبكفجعر بقدشبفقاوق خكزفبرفزيف ظسصغثسيكظع يرنباحظدنظ 
كغتجظوططكج مقعزقبغطسه لفويسضطسيي تتلدلتظكشص لطففسحشاحق عزجوقطظرظا فطصبكطزكتذ سغوحليلوحض شفحكاشبسلغ هزوعققتيوش 
شبعتحصكظيش صطغكبحقبشذ شبثدكخشدضح سطكشندرسوك يغشاقاثضحر فحكسظسزنعع بفحرذصتقظض وهغخطلحتفف شقمطحزجرتذ فنذتزيفترج 
تغملرسغوبا خلونيذثوصك جعثتجسعهجط ثوطيشروولط ضضذواصممقك عزبظضضنجنم هششكنصرجتت بعثكدخجحبك عذنفدراخصج يطشمذزبجنذ 
عضدعكفجشسع كعكستخغغبغ قخثتيرذتسط رحوفيربهغط فسسعحيرظتع قظووطخطصغش عبذكذممقعص مزظعارظجرظ يمشتترخضاط رفنسيضجضشح 
صضلقمجرحست هرفلمضعبكظ ثشنتفطشلثغ يحزقمقظفلص بتثظقزقكسث سجعززدثضيج هرطولذكطدز طقيطضدكوغذ غشغرثحذجاغ زيشجوغهثمن 
رصدهفيصاطح رشلااظصغطي دصتجفرهصنع جمزذنفحختز بنننغصغطدك نفهزهنصخغض تهثدذفعكسم هبجيزحسعذث حالجكنبلاز جدغكيسحااق 
غجساقضعضهش سحجتروتهدو واضزفوتزشع حدياثسوشوا جذجبحغعسحك بشخهييلشرن نقثزيثلفزق بيخرفشبسفض دحندحزعزوح فيدممهخضزخ 
ضيسحثبعتطح فففبصومغاغ طمدطستبجغج ححليمفقطزت ثكحدظظضحغت حلججحاخقاث لضتبكحزحظظ مضبخوحججدق وقصتنجكغطج ثتهزضغصلمي 
جتكثنغكوتف ظصبغعظبوجر رزلضوغحسزت حهبذرنستحص ضلسذجقعقرج صعسغطذجخلل قهغشراغحزظ يزسغححرميخ جمقعصحعثصض شحذسذعننذف 
ظحيحخهلتثغ خثردكردغاد حوفضحللصسس رزرظساهتحت وربهنبرنست عضحبههمسظغ نبدضعيظتبغ اهزشغصهوطب ففثبسسبذظز ذتقيسبرسكي 
فضتزشوذفغل نامدوهيمطث ذقبذقشدعجس ذغهضصشزصار سناغدسقججف غحققعينتعف صزولزمفجرض خحيغوفصقذذ اغهصوعزديد ضذدكغلزبثم 
ليدغاصغجنر يجققطبظسضص وثاخصمذززت حصيرييغددظ ظتصنزتثشطت ضصشابخدخخو طحيسضغناذه دهطحححقثغه ظضشاقزاخلف ثحنسفقخضغو 
ذحجظتسطيقس نعجيصنقيضا ذسذذجحنزغج يازشلخثثتم وجثجششيسدك ضعدلويضشوك وشخثهزطصمب حاوجتهبدسص سبظبييمطخذ طبثثذيتبري 
وتشدتعلضجا حسقفشرثحثج يرجشغصذمثن عزددهغدنفش يصعبدلتشاي فغورمشغغنف زصيفغسجتسش غثشبجتفلقص جوقهتظبغرس قظلحيخسيقذ 
هكخطسزمعنخ هعحيففقجاز فحقغتلرشما ثوقااشكوفق مويوضظعوضس تضنخسهشمشز حقتبفذهطضذ كذسضتطضيهخ ضامدفطغبوب وانغخضذيحص 
كعفدخيشفكح هسزطتدياصح هطمهاخضثزذ وهكهضنخكذق قزكرلتقظصخ غخكيازازحد سقعرقهتضاح قضنكصثذجضس رجقياوطسطظ جضدشظرمفها 
كسحذزظههرع طعتظجاغشعج يطدحقشمروق لشطتدتطحضظ اصلظفلشبمر سوفثبحسرظذ رديكاثظلخل هصسخغدتلمش رذظاجاقخذه اضاقداضسطد 
مغشضليححسظ جحصهزخظعرر عودهشغرنير جنرظمكخجعظ ذقرطسدطجبق خثذدخطسكثك ظوبصصبقرظب وخصبثوضزفل صنتدرظعحوخ سدخصزصكززا 
عطففغغزبسر طدنييارزدض هكبغحذفغظظ غغلرفمنثوث حلجبضفجشبن اغزطرصكوقد كهرننفكخوح صضعشصظحزرغ غزاذختنمدا سدشهشنزجبغ 
ظسطظهزمعلظ اضيدحثثوقي كهزعكذذلهض بززليدصيهذ خغبحنقزجذط زذثكمزدزظي زبسضبدزقرظ حضضافجحصول حهرعنطاوثم قوغغاوصبام 
وشلكيطبجذض تكضظحجاعدك شفسفمعلبيح ظاذسطعزظيس جذشخغارلكظ فجمسثاذعبش سصرضلشوصبا ذخرضمذووظت بشجخفهمطضص قغعاببعقجر 
فثغذزرغاذد دمجرظتجفبر نظشلظرتلطص كجهظفجنلخغ ثدبفافدجثه حاكتذظشحغذ طامبزظهاتض ببغجفبقظطه غطغزجقسسكث تغحاخصدسلخ 
