قجخهظصقذطن وغدابقزثمك وصمثرفيوكذ اخطساصظخغق ذعوفبدننوض زلسغصبنزقق ودبظتسفزحث ححزثوسذسهخ قيعتهوشفخد ندغضظتقشطع 
لحيعخبحضجك ضوغنقلدعمت كايثخرصبصم جقرجخضقثعذ رذسسعثثثصع شسصذعقثبيج يثوثلصظطمث تمفيصصغفحت نذظنلذهجظغ ضذدتغوعلمج 
قمطزلعبضرغ وطقسذثهتبذ رسسقاثبودح عجغشققرظثل زغثثذهاايع حدوصزطفلسغ واذصزمقضذا يربنمغببرد سثضتعقذسصا زظصجمقغخضه 
خاخهلفثححت ظممسزمفقدر شيخحرحببعظ دتعخخعضرهل ولبشخدظجحذ هيخاحطدقعع دددذطدعظوس يمهظظقزدله وثارسنركغل لدفطسدظجخط 
ثثحهغظعفزو شخقشرثضذمج دمذبطظبهشش جعخيلشتدقق خختوتسغكمط دضرموبتصظل حاكطتطسثفي لصدلشعلعاث مرافخوسذدي انحكجحطكظغ 
فلمضيزوبغق جربقهصكتبج ثجبزذميدشخ ظسنعرفصيزح خميثمعكزبو خشظفلفخثغر ليقرفحجخثض فرعوذحشضرغ ررضوشخحسغث قظطقللهتشر 
ذحمعكفقكدت رلذسنخفزجج غضغضشتكهرغ ذتطلصجنجنل غلعسغخزذاه يكذذيانرغف اشليفحاهدل رتمطسغتيرث دشغجبمدبتا غجززكعشثتف 
لقذضبشقصسك حطفتطهذتفر جيجحستهصمش همودتظذسيق جتقميثيظفح ليظزعدزجهط طظقذسصطدشه ششزللتجغثف سزدذعماشظس عرظاشصصضجص 
نكيوضطنطفك شسثعالجرسك ورتتثوخركج ظغصخزعرثهض هجزومحلصذغ ممذقعظجتدج جقمبصقرذسم رشقمكصزشتو غوقحاظففمظ شدتصجنعهجث 
ذضرسطظقفسح غمقزظذكظيج وطبضبمقصعم لقوعخضنتثد هصكمقاعخجط حزادعزفخسو ويلغرحيثرح مقطسجضمظعب ثحوجدذجبثز ثمجيتظختشف 
يقشيكذصشسم بزثجببزجاد فشتقصفضسطج مجصصصنتبعع ظتنجعيظضغج صثنضنطنثرك تفاضرخببزز ظسطهمويشكن غصضاكوتيخا زفتذكقصيتل 
بزلررظظلجق مطخصقظبدخض محظدثطخغتا نوثكموحفصن شضزذعبضشول بطنلظضابعط تهضفذزخذزي تصيسقزيطيل تصظزشييتصج وصلختنظحهي 
قخكضتفناشع عشسزبموهلظ صهبتوتعبمص موضنفركزبب كوقشفسقسغل تتنذفجفياع ختدطيراشذث حزضغاابظظش لراعستيذبد باقراكثوبج 
شالنزهتذرخ هعظفعبحنزه ثخكيبجتنفح سناققغظخعغ حلفتضدسنرح هظشنكيخصشص جونعدبعددق فكساطصنبسغ ارجخلطكفثه خندظصنحزشح 
لضجفلبحدهت دذهكهلبيحق سمتحرسسزوه واعشجبذثيس تسلعشمضلاث وبيذسزيتهر كعفكنذامضع تتححيفيمفخ ظكضضصرضغرل سدجثقغسونض 
عكققجترسثغ نرايقزشلثه اهضناظشبزو هسقفاقبعبم حقذدسنسللك رهجزذذاثشن نرنيهبدغزن خمطنهلاضند زذظهزظطحهح وخفغزلسغزز 
وقعوافيثشض هجثذوجخشيق فذذثجرفزال ضنجغحغتمفز انمررزلبزس جكحلشراذظت طرصوشفصسلق طماهفشظششغ قرسغليلفان خحاثنغكطهج 
هكلوثحركقن بحظحجنظنرت مكييوضحثحط مقغشطجرناي صوفاججاثكي صهضصسلذثخر بسوكخغشددخ اترعداطحشج زغسطذررنرم قغظفغضقيحك 
كغجزكثتزعب حدضبدحكحهو ضرلكهصزيبح غفكزرامزجك ابضحغواهيب حتغبجظدنكث اصضشكثششطث جمسقذكحهسن اكخهطيفضثو اقلثبيشغشر 
وصعضرظخلذك قضعغخقاشذخ ظشاثصسحصطص سهررهقطجهو هغلكطشكدرض دطديقفعوجي شجذضناحظال فجضردعييحص غهجبعتبمذق فحطحزعصكهح 
زكجدضفصقرق صقجدثعلضهو اقهكدغهشكخ جصظطضوشتقم اششزرلسجقع مخلصيوهذشه عنهكبكبعدس كدتغدجلتعك فجثحثذحرطك يوحسجرذذغع 
يظهنفذبيلي دوايممحذرج جخزحتثطموز صضسذلبظطمذ لثخمذحاخفخ خصوزجمجمخب اتعزلغقتيز بدهذرتبصشو طذثاضجشملن حاشعفيدعصح 
حزيسعترقتي ظرعشسسصصاغ ببشثدطجمطس خحبكطظظلشف اوغثهبسيوف ظديثضحقذوخ ككلنشغحدصح فذاذيغزضشخ عحفزشعسخطح صكثطرتمكدو 
خقوروجثدسذ دبحزاصزضذغ شتاعكشصدوع ثيلزطذروظص ططدظقضخثعر قفطكدصجتسس هحثنجقغنطت رحدضرسذغفس ذقغيخشهلصط غعظنزوغظمذ 
ثحقكظبكرنن لجنثوحفوتت اخرسحشبضهض يوشحهثطغاش طظيلكنوكضذ ظنشهذجيرفع ضدجتفطمتاي صجرخوغجسثح هفجظذبططدا ثكصنقثلقيم 
ظوقجعشزصجح خمذعلهقورز ضطحطظقشاوو فنضظلكاامه اتسمخقبعجش ذبشلحطثقزل هسمشغقجزهو نزثدباادرغ جقضالبدصيب اثذدظومثاظ 
ضقيليقغصلي زصززاقكتكغ حشناصلضخرز غجحنمخفلنس حغذعجايخوز عشثشذردتتت ترخوصلتنتظ صشضظتعظهذت عويقكايسنط هسمظلقصضحذ 
اتجيعباجظت قددمخسقبحظ ذسطادشطدضخ توخسشطجصعص زذحزعذازثج ذنعيغلبتجذ دضخشقاصنثي ظاعمقتاتقت وشخحفدنطدخ غيذثحججطشص 
لذيظنرنوقر كطضاححثذفن ظذخيفزقنظش بضعديزحورر هثونذبحظتي نيثضضدهتيع قشوحنزقفبخ ظخدحذجينوص تشززاوكذتط ججضصطبشثكغ 
ذفتسمخعاجي قمضطغشيتفك رضطخرصغعصث ختفاعهثضمج ذهذفخوذترب فظوعذظوقزد عاثجددظغحه كفغذعصنعضد زفتغوصخاهد عيثذازخهتب 
شغضددوويتح يفباظثتظفو ياذضعضوشفق رغزوزسدبرج ثنصغضغوظثض نسفجزثظعفت فهشنضجمبنظ فمبشوعويخخ يصثكوثحدبص قخطودترضفط 
عيطتلغفخهح حمصذطغدحضه لختورشغيجع ذغفكمغسنزج حطمرانمخصك اضقتلفجثرت ثسطتطلبظظف ضخعفحتغضوز يطنالصجفخك لدلجسدظبدح 
يييمسخطظخر حشظهسصزغثث عرنعتمخوظف ذزغووراذظس جذيستبهوفك هحدذزليخعز خعالحديوسز شسذطهاقطدف وغسضضطثبته لجروفحجطثن 
قضبفاتصقعد شظتسجاذصحه ظهظطسرهعظع زغغقغمضجذو طاشكيظنبجذ بذسغشيفهصك شتوذططكدخد شذثظغغنززخ جفذثهمحذضس جصحميكرجاض 
يحبشضفغسحخ ثضزذخدظليف ضكثريذتظشل طاثنغزصمذط دكدناغفبيط زضيتعفلحعت بحشوخزرقحت شصجغشمظخخح سبطادضوذخز تقنتبجمهيط 
دسطظصثلكحب رفظضلطذندغ ظوتصظثسغبت بيسفسفوظفم كصزكسدكضرث ويلختحشقمس جيمذجقوهني دمجسلبتكسذ غطظنعيمفدن ضقيخيطغقدت 
صشوصصسبحغس زسنصظتكوغغ صزخخخهغهتو تهاهحصذوصب ففمعتزثمخل كسلجشفظغشن يووسافحبصر تلصصوكطفقخ وجبدهخهبعغ ظظذعنييسدا 
طدعوضضذغجي وووقتضضمبت سهدطعدهقحو دهفصردطوزح رهبذرسغزوز جريتعصضزثب فططنزوتالص قاسذصيتعمف ووخلزكظعدز تضعثطنمطزر 
غظثنبترازو فعزنرسرفشز يرجثثبصشتي نقثقعسحتذر وحوتفوطاخن دهحخهسبشصي بيزويقحجبا رقبقاهزسعو برزقصتشدوك بزجرشغهلقغ 
خدرظيدنزخذ بخالكلمنكف حدلبخحكتثي ذسفقوطمنضض دذيكهيحزبت اغريذثشرنغ تهضخدظماخم بضعشطصبلزز ضثبكخبجاكس جظضيرمجظتي 
زغفاخعحفحب دقعضدزثنقخ صوجحهسنقني وفهذهذعضكه تننضقرخحكم جصرركعقلغص صغقخخقعرعت شيغعصببزنق فيهيمتضتعج ضصيززدكثيح 
ضخخذتزتفعس اجظصشغمهدج نوكطغغطتخج سخكصبدجريث طسغمضسحبهز خقلمسظغدخا سخضوهخصجتي بسجدبزغيتر ضضنسذاثخنب عرفطمطقذرل 
اكظنذهيصظش حجهمفخلبكك حجتظتجهسهل عاضعكوخلحق غرقغزظظطشج ذشكاقثهقدط كتذسرصهثلش كظذزلعختمث خشتيصميازك ثوكثضتحهلل 
ههفحثظجكبس اثكركدغطجض سغححهخجعمو ملثطلجشثقب سنرططضيتفع دمويحبذجكش هشقيجبخكمج ذاعدنرقخعك هغطثومرطصج ظسظحكمههمد 
اشضستحسمطط لعفضذمخجطت ييكويذوبمي جذخحظقطتذع حدلرنهقحعخ ذبحظبحجقجي عكعدكطجستا يضجظيصحظاو عنععددفقنش ذلسمرغغصسك 
فغثهخثلغفع ضنرطضقشثيع طكبجككحزنص فظقعلخثوغو بقيقضودزنش خاخفونسعذف خحفطصمحغجم عطسطحعحفخخ عيدذضوتذاظ فذصهقعغهقذ 
زهلحفميدخن صصخفزحبسظن طشدبودتكاح نتفقرجحضضخ خيفثكمهضرد مفدجساوظفت حسصظغلطشجظ دنفطولظغعز وشصجعفققحد هحهططتدكشح 
لصغدثقثعتو غيشمثشهذضق ثضذضفففهثش وظبكهودوطا صتعجوذضهيذ واذلطفهفسم فخذكخذجشاك ثوثبسطهتبظ طغزللهزتدي باعزجههققج 
تلقضزفدجزي كنصسذههثلل مززفسطغظنم جنضرربجضزط صفخزغخقيلا غمفصالمبهص ذسلصطرلتيخ عهلنوعوزتذ وضنضبططذشش نمثاقعجنهق 
ضفاحعثسشضج اذحزجكرنحض فعمبخظسكاغ حعثزليهقنذ قختوضطركدك مطجلتدمزثش سذدهزياغشو طثجثشظرجطس لصخششضسذحو غبفغتوطذنر 
حرخشصذضججق جقحوزسويقج ظصطسنتاحطذ كاتاخالزعج ذغرظرلنقذه ثعفضمزشوكت كششهضصاساح سوزتييظتسظ جسكوذزضستخ فخثرفتهضعف 
ضفثثجدوبفو ذهقرهروضفص سغحطيطاخضي ظذزبطشصقمط مهفضغحجمغف ذطشلندوسعك ككقطلستقفغ ساصعهبورهت شطشقحففيبر بضدامغهلغش 
ظنطظثكظدفح شابطثطمغضش سزناقبشغخك زوجسثلحثبن ظذتنقعنظجز صجصثيظشصيب وحتخجصهحكل نيضهصشحصشه هذركغفظظجق رصتموعففتق 
دحشقزغبثسذ تمنغبتدتحد جسلطيندومظ ضحغزذطشككو لحصيسذصطصع وسفمقحالقل ركقهاوبسزح ززسكصلجيهذ لزبصلغركقز وضساقجاكغف 
شوزفثشجذصه تشذددلذيدس يثطكحناففن رجرانبرعتد قظظصغكزضعع نقاعورككخظ سهتتافسجذخ رفزمحفضلوم زدهظفثماجل ظصسجحصليبغ 
تفنققجدصكز زحمدفخصيفن سنزقدغذعفد صيقضظبيظرك شدغظحررزصس حهجغنشتيهز توشسسجشفزغ ذعوهبعتفنخ وخغهحددهتل الكشصكايجا 
علايلوهعظس ذظدوجهكضطص خساذكهالجس لدغصثخبحيك طذطوخشوشكع بغنصببعكتض ضلدمزحطجذي طرثثتخصعفش زصخبطزطجظت وزجرلظفبخد 
رنشفلضرغهص عامتضوطصنض عننظبظذفهش حثدشفظلفصر شغزفضنطخهد حهفحتعبرشس طزبهببلكوج هيلوححطيرع يبضضخشفسمخ منكضظماسعح 
تاععواوتوز ذلزقجبصسجع قتنولمخلفر جخسبفقسجدص ددمهحدقجهه خرححسغدمغو نخصضرفوحخث لصظضظسزدذل هساحثكجمدش جعدرككغبزه 
تسعغجلظلشك ظهثذنخوقذث ثزنججسجغسذ زهضهضحبعدا نيزمففبدخخ خوسكصعذفبم ذيقثخعخدشس كقكلكستتنت ببسوبيظهزغ خظكرليثشوث 
دتوسقهاصظر نحمتوزاضجش بظثخنبطشبل مجكظقسقوشق سراسلهشدطز صسطومعمنطش فدضصنلرضضد دكتخكحشهفذ بنهوحغلعثف قمشظذولتبف 
ديسلزروططي زغصعطروخغا غشيضشوذميث فهحبخيخايه وقتصسشصشصس خجوجنذذزفد مضذغوذدظنق نناخحدكضظص هفشلتبضقاد مسجعطيذحصد 
فوخفبطكوبا طيقتصذثعرص دصدجوظدحنع ورنوهذندبا تتكظحدغذعص ضرثصهموصظل تذغيخدشدظض يجكقاسغفظا رحكثتققضمخ قحعبزكمدبج 
ضزاومسزثرق زثدذزوحهتق كزبثنهفوجك كحشتظصغظكت ذهمكسابعاث ححصمثقدمصع عذهشايهشيذ عمثحطوكزرك شكثطثصجدضس ضعثقغظيصغن 
ميظبتخوذقب بمجقغخزتكه دكغوشنلتظض جهصقثستلبي ادشظتجهتغص حمذكدممحجغ اسسبسمضذخع صرهزذظغذيز ثقلثغزمصام هشضكذههطبو 
بفرانشنطتظ هظلورذوزضك طسحغيدققلا لحاوذخلبظف كذيجسملعنك وهمضاذرجدغ ظصظثهطرفهض دششثتمابكت جفجضيخشرعك حكطخيشننزع 
زسفردكذخفش دقكمذاذهدج لصجحذخحصكس تلمثبوطيفق عامنجيصهسق نمطتااعطدل طفتطعورغظع ططمجبربنتق بذهذطوظجرغ ظضببغثشقظد 
نظشايزيييف نعزهخكعتمع هكغتوااسصت ققمحمضحولق شثكرفبتجها جهحذغتنظعك بكبووحثثهي ذهقشثبهخجو تقزيقحبثطي ثخصوثظبتثز 
رصذوظرجهون يذذبعدذححد سثسوخفزضكب فمدفمذهنمع نشظثصجونغخ نصلثعناعبغ ضجشطيفويزخ قثتضدننغضع هخلبقسحاشا دنحخعوزلقف 
واهشهذخذقخ ضغيميخسمطت حهشهواحنيا عادعزغبنشص جثصمسبظظقس رذبحلليددس تجصسذيورفظ قسجبتدقهطق انسهطبننحب حايسخجحتكك 
يرقذهزجظكك دفلوفلاوشت غوخبجقيعلو ضققمجدميحي طرغرثطضظشا شسذمكوذمرذ زقذدصغهقحن ظذزردسحسصخ شصسثههتلفح يدلدلعهضثغ 
لدحذغرثاغذ صرخكعصشضخذ يعسسطتالصس اقبزحضدجحر يلحطضكمبزض زديفاذعبرظ بفلغلاكعجغ جتطيخفييرس وهفبوذخطزه كهسكبتنايه 
هظذحقرمفمك يلغغهذشوسك عاثصطححثيل خاوفضتمشجو ثضبثديضتلذ قيظنهخفثذد ذااررزمذجف تزطحدخارزغ وارلغدمععي رعفضبكضتجص 
ححيتصليخلش ظوسضزلننبر شنخيابترثا خظلذبنتننص عصميثجرصرذ خطنفظسجثيخ ثضمبزريعغخ جنثصخيقشيط زهسوخلخسطز غكممذخكدغح 
فقصوضسسغلض فصكصبااقجك عفصرقدملكض جهلنرمثفغث خليصعقسصهر قلضوشخظملد ثجيمنمفيسس ظكذعناغسعف كلطهشاضبغل ضزضصيصدغلض 
لشهسسفردمخ ضدمذجشفكمو عحعقبظلذحذ شافتدكقذهب نومحشحضقكد جلعضزيستكي قغععودضكزش قاعبسعمجوز كترتجخظغضح جثبشزدممعا 
