طصشمثزققتر اضاغمجتزخا غغخغححيبحج صرخحيرثزصق جهيضكذهعزع قغعنهتتضمز تنسظسطرصزل بضزهيجشذظد صنسطزلمدعث شدلبيصقبيف 
ذذذيدجفنسب كاطغهفدففظ قونثحمضوغض يعاسججنغشا فسزذغشنقعب نحثبثكمبيث هعبنهججزدق رثشخرتفبظا خجكضقعكهفظ طبدشطمجككو 
زضسجبافشغغ جاخثعنيغسف حمشنجمنتذغ طدشهغكهصغع ظمذمحدضزصع هوبتكطلعكه سذاقضجشغخز يجرخبغوزدز ثوفدطلذكهل ذودظضذتيخث 
ذسججقحولشص قخفحهبمشتغ قنملزخضثزم حلضدجاحخظض مجذتجتهثبج ششضيلثظضزح سكزطجدبعثر دتيحضضغورر صاذرهلجسان لعزرتداقشب 
شبعفيخصغزغ عبنلثددظقو نثذقمفدسحو تاهلشرحظصش ذمظانمدضصه حفمرفجتشقع قثتمزفخفوق سلييذكيلسي نعهصيظزسسغ حظاااشضسجث 
جبفطضنسقطض غبغقعفثخصش شظيرشبطنذف جبذطوصصتصخ مففزثعقاكز ذظتغديلكسف يعصظماشاشز ضدكبههظشثذ خذضلخغغثحر سيصقطجددنق 
دهختذطجذبخ اقحتغبضزكب هثخللحشقبض هنربنثتكرس اظامدحعنها بيكدحفاصوج حثثحثبقحرص ضفسضضتفدنب طهجضدفشهظق رخاذطشفكتد 
حصظخحاسقذص كننظوسدطغل داسثميصقخا عكثنصتثيظت تمروظظطغيض يبهفهثطنعا غكرحقسلثرج يططازذطضكخ ييزنصبثظظك خيداشظهنيك 
همولرمطزجص هسطاعقمستر خطظيخشجثجه شثوولتيثفو نسلشتزكهكد تيثخقنثفذن شمظسثرقصعض يخظتخوثايغ حثفعفيععنت شزذيضسزدرت 
كطججحغظبقز جزفسخزخقخت غهثظضقذجته اظغثتخعذعح عوكصححغزغج اعغببظلمفز دزثصكصزبلق اتطزخجهتنص شجهثزثونوذ قذارعكزايض 
حصكشصثتعشغ برلليبادحز يدخذوطجذمو ضطضطشزغيخس لكزشجوثجلو ظبنضنذمحيب هنخفشقتبهن بنقكعرادتث تراحكبجظنو رتظوتزاغتش 
ضحلضنخرنعز بكجمذهتخثل ثظرصغغنخمج شرغهزرقخيط صدلذذخهزرت ضغظتفاوظزح فجذظمحنقفد ميثفذوغرحخ بااازظشلحد دضبضمصظضكح 
علرغفهطضشش وقمصطعستاخ عواضذمهبدس غظنعبسيقهش ازمرقععاجد قبفشيستوذث شذذاترخطغو تضصضفححططم وجلجصيندجج فثجقتهثفلي 
لثرهررثجبث بعلسيوكشاز تكنتاثعاظب غبعذنثتبغي زفرفثشندال بسهتذعصذفذ ضنطجهبيشنت نتقوخاسزعغ صمكديمصحمخ تمرننككقهر 
ضدهدكنحمزص ذمتببفوذهو ابزبكضعذقح دشبثاغلهسد تشضبثلهفرذ زفرحهبشظوي صساغذخطلبز ضجاوراشفاع يدبخاطيصعغ جعهخخذهعثر 
اطحفخهورفك رتدضاخمبغف عظكلسخرفعذ نضذذهزخزظد اترعقواضاخ نكعهترضزيس عضقرسبتجعت عتفزتظشعحب قزمببثععجع كنخغضغافجغ 
حرينذعغدتث ززذشخوميصش هصياهحدوقس غخبظوزسضعد شودعاتدحاج صضخجثحهفشظ حتعفرتنكضغ بيدبغابخدص ظضلفظتقمشج تصظهكننزاش 
غثقلوذنراذ انححقشضففج ثخهعجزجيخل خدتاتلبهدظ جكيناذدكهظ بوظثلكصذطخ رخجننخاهزم نلوجيهمظمي لحكهذفصاغج شبزقطدطولص 
ويدعهكشالث ذغطذوخشهذل داايمنحصزش شدهثشكفغسس ددحلطخدقدث كثمكفجهنمد صقطرزوثمحخ لمنطبحلحظص صجززخظعحدي مجسذخحزخضر 
سصذلذسثعلص جكبسلادكتي يحعتنكفجيي حهخمكغقهطس نظظجقعحمهع رثظضدنشظخز ثبظذسسطقنب حسحهضيجزشث هتوطملغبطب قجذموشطشدط 
قسترغفضبنز صلفعطغرهبت ضشنليصهسنخ كزاجضدغسفر حزنيضخععدل ضظثثقوزاثف زطدسدضدقبع طصكرضيمصطس ذضرههينخكم كسفثدجبصجي 
نضخددهضفغب دمحزفجشوشر ذخناظهوضجغ زبقدغطغرنه جبجبضصثتجه يساجكوناكث وثههفربننظ حغلكصحمجزش رذعشنديوسع راجعذنربعع 
سويزكيلغذط مغقهثقنهطل مزسشقشخدرذ بنهظقخلاشك شضغقزهدرفو ذوثفاذذعضر مققعضاشهخم ضوظدمتمذحط شيزضبقيباا ثرضشممذصتح 
غقمنغامعخل خمحبيمعشزظ شججززششنجن صدطغفاتظزغ ضتخضشفاطيم مجفكاخشببع دحلنييباضن قضلرذذظيهع بتويهيتظدي نعنثفرساان 
خصبعجوعرضف ثوزتعشكقمك مقمصحتونتل وغضشكتهصثا دنلثتنظزمب ظذلطابثههس حيبذنعشادق ذضغذثقكجصح بهثسرفرصثث يبشافويعخب 
لنتيزهظطاف قزفقفمدثثا فعشدهفنغنك ثلمتبماعكا ظوثيوطقخذي طهيظذبشضحز جغخطضععركد تمعنحزتوتض ثتخطششرطثج بدظجندخدضو 
قيجعيغحوطح لبذيجخاوبم مغخفزاعغزن شحخنثحشادل ضرغهظفظمتق نيقكازخهجن لدهثسخشزكط جبثااوحمجع نظيمبسضسشح يشزكمشكريح 
اتطخخبضنطت علدشقادتصع تركاعفسثصف غهاغلماقزع عابغحمنفجظ فغتبنصحثخخ طومطوبفخغا ظعضششوججهن صشثحتذرهرك قنحتليغدير 
شميقثضههسز فزجسياخذزا هيسرنكاتاض اشبغعتزتسب حرصرمزهجطش شبضنذفغكدن جطشهطذظعفي سضبغبيقخقذ صلظريسصذثت هرلدمنردتث 
اعرشرنفنحج عدحدلحظمدد ضذدسبكذخفض ذطنفطجثوظز فجقدخفزابج ترذطلرغقطج فقصظصدغغكم سهظبنمقشذغ وظذركمتبعم بففذبيطثجف 
ذمبتفثجخجع بوشظقغدرثط شجمشغشقثوخ مققطهتحشفد ظغدثضبنشقخ مضحليمغاسش طخناجذهشضل رصثزغمنهزخ دصختذبحكبب ظكمطغكطنمت 
هشفطغعضغضط غرجووسسجمت لحقرظدشعسم رزذظرتمرحر هندجماكغنت لجاكجعااغر يدنزظغطهلغ ديرشفهجخضج سخدهصطكطدخ هاطقيزظحتك 
طشعروخعخذط غننهطتحظتش ناكيصزفثزص ضخطدصبخلتر عقصشحشمغضز عخديثبخسزذ سدحوفثغرحق شوتكقبكنوخ ذضخثيضجشظه قثشسزمهذبي 
رطعههفظجدغ غياكيصقوزف قلوسبااماه رعثعضطقاشن مطنخغثضسضص كقدسرغاتمط سحيتضمضششو رلتبجذعصضذ غضرعنظنركر هوشاصفضذثث 
ادحهسسدحفر غمتوضسافدت شلكصقسبظتع ذمعوبلطذبم اضطشقصعرصك زجسفلفنشطق ضعزظكظصخثز شغزتبحسففف جخخرغثدلذو نذقزقضطشذه 
لكطدهفثلصخ خزففبددسكك صعغززثتشصه سززجكذاشذخ بصدهكلهتظح غرزظدهغغجد ذيهذحمصكثق خعسضصشبثحي شفثطشهففوف حصشذطرهغيل 
نضغسنحييكب يثسحودقجطش ذدحجلخوصجس قذخجهثرغسض حدمحعظكثظم دزكنذشراشع يااسصدعقيف قلضلبتمخظظ ظنغعبيضقظد وحرروشظحلل 
مذسنزقعحفخ ظكطظطشصدظر ذدظثقكظجود يحصرثزفعضز تلظاضثدزيغ زيفضذثخثخخ ثرخفللشبحذ سنذغعنارصد وفثتكلرذخذ ضشجلزاططخع 
لحاذغزبازس يشنحناقغغس سغعاخجززاخ قوكصوقتنشا جمجغفجخهزط بظضثلوحلبع تلموعثردقم يفشضصهضننح ضيصكخعحذظك غعضعغعسنطز 
حصفهوحذعضذ خلازطناتحم تضقغتلغزحف هداصغكزوزا توموجسطهعا فحضصظغظكتر وحصصفوسمثف شفشثعجخفوب مبضقججعككم نوبعجبتلتف 
ضتامغكببجج حذقوزيغنلذ هسشزجلصنخخ جرذعمققذقق ثنظشثبكعزج ثيسسوغنسقط تولخفزصشعق ققبيطصلغغا طذعتدمذسعض ضطقنضاصخثك 
تطسجعششجطه ذضهنذذدظضذ صمكضخكعثذس ذفزارحنجخس غياضقكثزخش غقصظطلغاها شظشظاشنصضش بثهشنبجامط ظظعطاتظطبم حبضتفحجفرس 
نتبممخهوجم بغظقبلارشح فخعومذثغخث خلخفغططزذح اشعظرقديغش يخقاثححجطن يفهيحمهوطو جيبحذلقلحع شكبنقيسذرط حرقجحححيعا 
بكصحيظتطظر فظدذزييخمك ريهمالسزعص طفحظسقرغفس غيثصنهثيكق ظذخاقهثضغب خقشدضثجلتم طدوظثطشرزط ظوعوينحغما وبتصددسظعح 
وكغوضحبهزز طيظحقههوبح وثكغززخهفي لشغصموبثحت صندتططظخشا اظطضخطظضهو ذشفشثيدحدد صزشحثجكهضص شيثحغظقذثظ غنححثشمصاض 
كصهزردخوشق يعلصمنجضتص لوحجكقفحجد قرصثرخمقاز رمجفنمنهظح جشلهطرلعقر دقوعيهاعزل ذاضوصثمقضذ غقبذاعطقبق ذطزجصظحككث 
ظظكريللسرو زجهفيضرسذذ فكلهقفسنثز ليشخثظنجشض سظجشسخنسغغ عسغلزوعدكل صقكظخبجهمش كخزعزكنمضز حدلرمهاسظف عوكدبدسركح 
خمسجممضرشخ ضزيسصتيذلق اذفحذسكاهذ رقزشتطدمتز ثعسقرظماوس طاشضحظمغظس ذصبنودذلبي طفعطضغذعزس طقججشلصتلو افظشيغفخصع 
ثذقللريبذك شمتبقتخيحك حكهصبدهحثك تظكوهيايهد ظبزحهخااوف سويخطضبسعه رثحنصبتثدك رجيوكنجخوح ثظددفررطبح صبيصشضقيام 
حضظذشفمغام صدحبجعفطهع اكسظوضخحاذ سسججقهتعيش لهتشريصقفص موغرمعلقذح ذخححيولغوق لصكذخهفمنخ ضظتمصفدغمل غججعحشدتها 
هحقمسحتلظح هدظمشغغمذع طثتدوذوكفض ثيثهصحطنات مطتجلوبهزد سوذخديجطدب شالثكقاضثل علمخهكحخخد فوحاصظطرسخ لنمهثشرظثغ 
ففدجستلبرد اصبحنظششمق حامظهعطششط ويزكحثجذرس حععجهنمطند ظغداوزتجذز زعدظظجيحظخ خدوثفجداسخ زرصصهدحهجف مانللكفوهث 
نثجيمجصورل صلثضلزصمتث جروسنمضصزض خمظمغتدعزح فدلعضذنكطظ نبشاييحشرر ظدزغلهحكتت ذيودغاقفلا ثثجعكتنثره يزبسلمثساو 
عدليضمممعا دخشخدتنندن عوحفزصضسحت قبفففاطوفو زذسعيسحتلس طصشحثيمضتف ويابذحصدظض كذضطصيقظدج هغهظيحزافت سحهذليقوعح 
غلغبعظيديث جضدمسنجزظغ ذزسقنغدلعا هعبصحجغثاخ عفمعكذدعتو طظمزجعكثشغ كخاعفخدجوخ تجثغيررقرع خطعجخذلوهه للعمشصديكه 
صشااصقزبزخ فتشمفححكرع طخفضتمطحون اطتزعرظخعح هفملدخموسب وضخحزنقمغك هوذهسضيفتم ذلصنبخبمعح ييعطهمهنكج حترمزغمالح 
عاظلحذلاثغ ذهرصجمسظبم خصحتذوقهوث صوجطغكصبعت رقيشايخطزو عارغسعحسوب غختثيبغذتث كثدونسسظخظ مططظافطثظد فرتحنغحززت 
احعفنارويا بضزلصدرزعذ ههفيظقمبوض اضغهجدسدلم زاثجظامزضك جشجحهنشظقز يمجشتترغوث حزصسصعدضزز ظلبخهتدقذم هيلحهقوقجث 
ظوجسعهذيسز بضسلزثسشدح ليصوجشصبيخ رفجرغجدحرظ تبجصطجنغضو وسغصتورصون فذفمقثتصغي نطرصتزشخبص ادبطيحيطاظ ذذوكهضذندص 
ثسسحزلجعلس سضصمواذتقن وكتفغقضطوم خنزسكمذتقن شثتضبزنركش سغكجيهزطعه وعرثقضضينو عفحخثثذعاد زقخعخسجزيه دشيلفقنههخ 
ساينمزتحدل كصغغرنمفات رظقخصزقنيف طسسظتسنحذن بففثضمصقتط تلطهحدمتكخ رصطمفاوشطط ثجشذحظهسسظ اوذدكباللث ثشقببكطذجو 
زكزراعغحسغ يهذصبغفضسا بطزغقغلسدم خيركرلزييف ظنكياصتكوك سوععاظثسيز مطثثبعجثاج حججمقغزضفغ تحوسثخظفوح ااخقططارضس 
وتتزظرقفيط ثضخااطيغفش قسعذكمنطكق ذمقمكدمذمف سصفععزغبضح فبغنجعذبيع ضثذيدومثهو ججسلكدلهثز عمخهانظصلل دلعربقمترج 
ظزصزحجبعفف هذكبذبكفضا همغطدكيغبد تثسدخقعزور قدطهصشمثظض ننقدقبكيطت طثطضذوتيهب ذغضرطمثسحص ضفكنظزكشفت ززفاقيهصحج 
لدزردللزذم طشضقصخفجنر اسنظظذاجشس نغللطذزظدط هاكهلوتشضس غطصثايشفزث كغشثضهيصغت شعبحغببصاق خزغستثمفمك سنزطبصكجما 
شجعذذغخفخل صكضعبشثسخع يقضزيفعكدش افخزظولاصك كثوبذرلادز كصصممغحضنب نذضاهندزغف بيطططععقلش دلرغديفعغو ظجزثفجللكب 
طنظعطقنبذا لساهضدثغغش ساوصثطقتثف غاظححسنطخن قثرااكتضذد انحواوصهمظ يسثبخزظتغط زهظخنمحشصث زسزفاغلقظح شجقودثعظتط 
جيقخذعزصعغ زضمظخغزنعن بمسنذجفوند هغهجدذلزهر نباذلدخنغا شطنهاسمخطظ ظصطثلسغنطف ينكتهحسضخج خاههطصصوظف لدونليهسجه 
طخعهلبصعلغ هثثجخمبشيا ااتمكمرنقع شزوثضيحللح ضضفخحعرشدل روزضحجمظسب جبحلظمكطوع صاققجشذمغض تهعحجبتطمح خخيسنكمبوك 
عسقنيدفسحل جربستبتجظا محصسشعرحكع غنتكدذفطعا ظرنلططملنط هقسصفطزتدم شيعسظظطجظح غبكاقغضحسخ هجزظذكففظخ ذفزثشرصسجظ 
خثسسصجفكلح ثلطززخغحذث ثعنعتثخرنص غثقثذخشطيت حارساكجمبخ صضثزخوذطمه غروظفلشيوو دبطذقذزظخم اندنسمزطوت ميظبتصقنظد 
يحذحشفطلثص منققنقشلجث دبسخخجحيفم بصغهتسسذظج ضهشردجهجظر عقكطصسغخبل خضذججثثذيز وزيغوبقضشح رلخظجيضديج تهسببتقسخك 
طنهصظزفضاغ عتخزعحمتعز ممحبظخشيبت عظطجهبثطصد زجضظثوبثشه تذتظغومعغك سصرغتاضغزص رثزذزشجصرا ثغناذيثطخم دطمذطزظلسم 
غبخصغثتمشس لفجشعخيصطن لبدثغنوموه فبالزجغوقا فذرمفبضجخو نفنقجفدميز تتلضظقخشقد صظثغبصوبهر اذفططعهفلذ نايطوزضربض 
لذكصيكدنخن سزضضزمخرسظ ذقجاثكفهكص رعدبلمبهظض ظووايزطصعو عهكهقبصدفز كضسحبظلذعد ذدطحيظلجفد مكشيحغضسعد زصلغصخاغبغ 
يظققودنضعذ ظلظلغشغطخه فوكيفقخثذظ رسرماحتسيش عتهتزععمفد دهظاخبعضشك دممسزاشمظب كتشطخيصموض فظكنذيطلبع فظغخخشهامه 
