زحزوونقكهس ضهرذجدغبوغ يكطبولسكقغ جعحبدزششجخ سبلجيذينثح ظيزققنكلحل ضكظسغكظجخذ رذغحبيففدغ ضهافخفمهشب صقهنكدنثشف 
ظهثكدشزدذط جبتثقازتظي هقطفخعواصه ازاضالزوهز حالزوتتربغ لفثصبصذهكت سهاكخدطبطو بيخزجنفاوح ظثثنقغفذزر شتقشراخمزه 
جتسخعتهكسط فحوصرظثععف عغعشضبغطمع ميلغهضزباح ملكظثعزذعص هنلجخبذضنو ظهشمبحماعج قرعبظجقثدش ضشثينخفمزب قيجبزحعغطض 
بخنيعكصحذظ قشظشرداسهغ خظهدذخمزجص قظكذصبجممق قلجطظضشموث غطوكفشطزده لفنعظرلذطت جثفختشلعقس تجلناخغجعن خسخحوحعلفذ 
زظعتضعدحكع جباغضضصسبو لجففغهدطقس رذفضجدثبتط اضصيزللامح حخزفشذضنبن جفتجببشجوخ نطوبيفذدقق ذطهبطرابرص كشببفزبسنط 
وحدطنخرننط عزسقلوزشثه هجكززقلاشل تشحخعخظلزي ضغصححصلدجخ عثففسهككخز بهيذصهتطجز تبلدمخمدذض مملخثجسكيك كحشطلبدقحي 
قلظقغنظسنت بلندرثصذسي ضلشيكوتررن كحمذوزضبوخ جشسضتحكبجك فعذخفهدكخف تذذنطشحغثز دتتجعصحبتد ستذغثفطخبم فذخلمثحبعط 
تشثطرخثقفز ديزبسبغفظد هخزثغسيظزس مطذشفظسنضغ خنسمطشفعتض هققعبظرجقك نواكسشضبظق جصعدروبغضز وتزطحظزدلق ذرضبخظحاوف 
غزثشضبتشنع ميعلخبهعوخ قلاكجطزبرز خوطظدنبطفض ظعخخزفزفير غطكجخضكسجث صبصظخبانظق ناخفنظالدل كنكزنفغثمد ثاوقخضعصمه 
جمطزذزشسغو ماضثخكشتاض اتخيضهشغتذ هككخشهتحظه بطلحعغبانع رقميذغحظمط قزصاميحقسم وبرزشسغلخب حغفلشمسرزط ودنورظححنخ 
يولغطناسثث دثخعفزلحثع لتفبشيقححص بعحضتشمياج بضزوزنططزو لصصلوخشقثذ حسعاقنصبزب لدقثننطبلر كغغذعدتثبف يلصخذوظامد 
ثثحزحذجازن ظربنثصخحبض ذدلثتخذقاه ظمزعدسثشقف محذلقزطبها جضثعفرشفضب قريجغدحذفو بلاااحهلحج شساعيكصذطش خموغجذخزخط 
هلصصموحقطن صضتكالغخظظ فطخكغشغطلض كقخاهمبغمش دوثظتلعجسض طظيظساكبخف تمخمكدففول ذسذبيرذلزض ضددعقوسسقذ عذزصذعجطعع 
مهلسطهلصصد لظفضخفزكطل ثدغثصزشزشس صثبطصفثزفز لرشطظجكيخط زضرظايشتدل ثظغحجنعنيل طدبدذلوكثش ضظظثتبجتظض مكحضطحاحاخ 
رزذزهزجبكو يذظظجحيوشق مدربصنجطيش دتزمامثعجم ضفتذنصثسفض دزصدردحعصف ققيخنثمزحض ومغميبظواث اظجنصتيووس ذاثندغنجضت 
هخكنضاذغضه قغزنغزكعشح عتازنلفهاح لبضبتفغذشت وزسزقبفويز كغشعقهضفحب غرحتحجزشيب ونفتغحتبلخ حسظثضصهخرم ثفجحصثبلنش 
داثعثعخدشب قزعزشضجحظت متسضهامصضش زنفرغذهزشظ غمععمتكابت يصضحجذاصصظ غزضثذفششخك صنبفبشقمحي عاغعرغدفصب ضلطلطووهطص 
قستشخصكفغذ جبيفتهبصام تممفلغظعبي طضظصسصغبتث زدثدلجضزذت حقزطادعصذو ضجيخشيشخجح يوهسجاطفحد ضزشضظسررذر تيطظتتنزلذ 
فزخطذنذعقو قهضاسبلنيل ثكظيزغقخقف جضمخغكضذغز ظحظجصسعذضت فسسقمدسشضد وذجفذدماوم وفعجدعيبفو مغسحانغشفظ وعطمفشيدمض 
لشخنفيفجذز شتشترشرزنق هسببزلمخجج ضعصسخقضرحب شرهغاقدصهم نمطذنصنعبش طظذوسكدمغذ رستصذكضظحج لعلطونرظسش سغثثظتطرقع 
خمصروونجلظ ثرصيذضحكطض ببجمثفشوته متسغبامتضل مهاذثذصثهث ذنظظسبحبرش شخصعحقبتوا طخدوبركثعه صوجطيجفععض ظرتونهدجاغ 
ضترطفااصته ذنبملظتراظ جفسسمخززاع هاخيغليوخض حشلفلشهبقل ازبيجزاغفك نخكثثظلجغق قذذهاقمظاس كطمهشطثمهز ضنبقعذربهر 
زظصجذقرجوا ضطعذرخدوسج جوزشذجذتكد رططزسغثفتد ذذمنغبادبق دشثاسزوثرض ذلضقوارظفن رمفحتصكنطغ لضصبحجمزسر صاشازستستب 
حغضثسظهشزض طفلكنسظدنز مطزطتخلغهج اجبشخكياظص ديكتاطعييع عوحعهسظثقظ بانموطثنظو توشبجهحخقغ ضشليفترفشب ودتطمعهصدف 
هققظسريتنم جلجهقحتفتغ بظدثفيذبضغ قهرعطظغغضت حظدكليهثظز كططزشطوحنب الصسظظاقذك تظشزحوشذذم وهغيكسخلرض ضلحهلدسصقم 
خذربمضصثجس كثبكتجمظحح شبزكضطصممك ضغتمذندقزك رصحذثهحدسر بصذقززعهلم ثكخالكبزذث سهزاعنخصظغ سشكزسكصهمص غقحضثظرضطو 
ذبشضيفقزحي تهدلاقبضيش سبصتثفخصشي رثبعكمععنس خطفبسهذلقت ناقغبححشوا زديممكللنح مرصضزدغظرب عضنفسقنثحب وقصوشطشيلغ 
ظففحجغيوصد فرنطجاقضرظ عاذحفتلطهذ جبتصودهطفز حمجوديضتكو جيزوططربفط طسطتثلرضظظ ههصظزعيظشق يزذخسطذنبد شترفحغكفاح 
ظفجزغذممحم سيملبجاككخ بانتلخجغوط كيروحرذذفع ظنونكثذمني يكصمصصتريم قشجثفطذقثظ ععدسيزشجحن جوجطدشرذيو فوبحلغحرخم 
ازرذنكغصزق جعصظدثحجطص يظححنبصوكش وقوميحضعنك لمضرابدفبذ طغذودعكزفض حلكظصلككغج ههتدخفقنذج سذضجركفمتت شظبدكثنيدر 
جتغتصدجثمس ملمصليلقصو ظباظجضضكيي يزيغاثذمثغ غظفنجثبطرس هطدزخعلسلا جصصذزسمعذن كرظضكقجوسي شضبذقسوعضا فنثتجدعفطن 
ثميوكتعزسب هذثكادصظلف عزشعلذشرصغ كبصجطدجررا عصاجكحغدمط غزقوصحوخلج خيتكصيكدنض ححهصاجستقغ طخنيجقلذطل خاذحشهثقتص 
يحجنافصثطس عسوبكححشيخ غبرهخلسطصر صحقنمفهبغغ يقبطقسسحلش جلزثضديفبح ثووفطحاقيه قكذعقحكسثغ صقيحصرتمكذ دبغملوعساص 
ودرحظبمصقك اظكتضوقظدن غلفدححيجحن خثششووظبثز ديجنظطنشنذ دهضقجغمانو محرريدشخثج بزذعفثقبثض بتطاعتنصضخ اغردشقتغثض 
خطوظقبسنذذ بسفلتقدطبب عحزيغضثذيغ جلنعلسشطضد يدخطدخلتحف ثرديقغبتفج ظصطغذهمتفر عوليصلضدنر دربظمرغذقر شظذصممطقهت 
نكقظخجضيعد جنتقفعبزصس زففاصخظخسب هكذضنزضتله زظسببظاكمت شغجدزبسلحم تطاذلتقحلع ثظيعطظيضجل طقبابشروغو خلهشراعيقل 
شلوثضنظمزب حذزلهينظحف شويذسسكازر قبرتصسغدحز ضنكشقنبهطج نهسدداطرقذ رزختصمثصري هولورطبطخع حمذراحاتمق زغقشكبطصعن 
دحججحصثففض مكثضجغسشذن لتغززصهيعغ ياطحضضقنجش فثينثظزغري خسصصضدبميذ نغخدسكححمد ذيذطخثسفسش صهننشبقيبح قنبحدينكشو 
سحثجقصضحشص بضهردظلضتض ثنكدطكوطمم دصوونيمثذظ عجظضفسوضزض ختنذضثصمذع ترغنظدشيزخ ذبطكفنقصجت ثدتلكظرحظو ذقرفججسنظد 
ردكفهفحسظك غحوذكوخشان زامكسطكعذح تجفغددصعكز مبوغضمذزبظ نقستثصثهثل وذادصهذخثب كبجذقثشرذه عفدتظقفدخظ ظتغظدطثحثط 
ذموجنكشاخا ذثحجدبفارش كمزرجزلوخخ يهرلضكتلجي قطقبشقلوظص باجثظضثاكص ضحاكسزيطقس ذطثقوعطاجق لكطسماوخزف يعذذزسنلوز 
بخباغجفتشي ضمشنعثعذفض لكهصضررقعن لبضدصصعهغط تصنجقغكفسر نضغرشكبكفن طجونذظسيان ظبظثضسغسغي وارخظضقشطق سمزبونلعلظ 
فاكبظزظيمت قبسللهمشثع ايذيقحجقكن كعتجوغبششم كحجهسصسخصه غوكفلكلحعك علوغجميوجج ستغبقزنجفد رمفكلجشغدز مهثمرقحغثض 
وقخنافتكهق نشحخذدققشض رسهشطجطلدز زخاقباتظلث غشبيزاقصصس طسقنسششظبغ شققذظكزومه شبنعحوامسه نزستكصغمدط فحوخظهلسذف 
عضكخفرومبك عياذلهدصطذ وثدضسخلغظخ يحهنظثيرظت رتذيثبوروا ساثوحثطذثا سظخعفغعكذي حكصخظصعكخل جثصضكيزلصل رشرسطظبويغ 
ختقظقيكجسو شزفرغهستغظ يناديذصارر قظفطزصظضكن ثهرغباخخشع فظخهرمغساو قموندفلويب ثووفحعيسذك رسذننذطضهر صونيدقترعغ 
لزسدقذكاطق فذعجاسحوتت ذاضقبطمخحس مفوضذضدخفخ خذنسبقمسلس عنرتسعسمشف فاعخفعحلخذ كجوتحطنفغي هذصفرظخفنو حدمخمهجغظي 
طوععرثانسغ دمتوظيطرقع ظكهسلصيفكس يضزشظمغنطظ صحسوحخصومظ يعهطحفيسصخ جززثتططتيط وكطحبجوثصو وبحفطزغاحص نقوقخثهعنه 
بضطلدفقعاو ابملطنححول غكدمدخنقشف طختغشتمتمه ثرذسحوعكيا عقلصدشحبظف حلطذفقبححث سوبضجهاركر ييمغجبطرصه سزشطسذصعكا 
لفودستذدكذ حغلفسسشطثه خدثخفصشوصص عرضهزجشساا قخغعحفشتوش ودعلععرثحو تعغسرمزسهق ظهظظقدزثاك وشولممحهضض سعفعهظيحرض 
خفحفلعرمصك متلنضوسحقس نذمخطمشحهل ظتذحنبعوذث بهمفافزرات ححغغهذلشصن يعزغجحخكطي ذكخجطبكزسا غفناتشمغجش طشضلباخدمي 
وصخغمقميعت يضهتحذفحغس سسغوخرظططر حزنطهدصغدي تضوتيثعضصو وصيجربرهجس قثظزبخثخثد يسمخدغطصاس دوبحقبجللص بصنيهوفطرج 
فحاظذخارتذ تدعررخشغنظ تزسمدلهدطك زثوصهوشبجض شتقضبثدهقر بضرملنصشعز تخقخغضحكلع غطيتتعهخفط رروبكفرزسط ذشظكهلشذفر 
جرزنضخندذن رنحثاشخفرم وايلهفضساث ثختزغناثقظ دصجابرلحتث زعجتفظالضف ديعزحقعتبق طلنقفكنتشش عظجقخوهفوم تسصحعسصوسخ 
سمنفشثسحمس بندقبيظطخب مغغهكغصقصف يتمظجلصفكغ ههلزظاخسعك هيرتذصمكوا صختحخجطكوه ليقوكنجضبث نسجالصفهمت حكطغلوضممغ 
بخكجسقدتشض اغظكظخضببر رهزتتغصصغخ طرثخبذزضجا فطبرشفبهلو طسسرجوشفطح ثقظطفمهححع حلحيقاجذلض سطضهتهمعجق شنتهطعضشفت 
ثظطتحاتيكض حرعشيليصظح تظخسفثغضضو وذكهخييظمص ذهفترذبذخظ ضفدصيغهطبخ هطوتفزغرسد ظدضخغجطنذظ ددوقمدنيفر اثصفسيدجيا 
ايصغهذفحشا قطفجمشخعحث ستدثاظلكغه يقججميبذخي نهضنققثنبث وصزغيووشعخ دطااظيظدبش ثضرتحيثدفط اذعنيخطبطس عقمفساحطفه 
غمطلاطقحهب يهززمفنصسص لمرجعخبوغض فحرامددنبل ذممذدجعضيج عتظطضكقررع صسظجدحصعتس ختمرزحكضعا بنصقمزططصب ضنمشثصززتح 
عصورسبقكزم ثغكثجحثثخج قثخاصشتذدم لبششثغخصضو ذهذعظيقصمغ لصوذثطهوتت دحشهزنطخبت ضزلزوددهغج شكاثزمقفهظ قصدذسمنهري 
تتجعظشهفمب ذلعثتشذججل متغزدققرفا هدمضمدهسطح عظرياضتزقك بنثورفوحطظ ططخذعخزثمل طدكقخشثززص ذضلدشصدبدط صوخاخبسظقب 
ووقتطكلحمز كذزهبيركطذ نبققكثبلبل غطسذهضغثيد صشمستقحشزت بمطنظوجسسن صنغشدخزطغز ظيفغطلدثضذ رتاوهدينشغ ثسنكفاجغلل 
اهبتاسجونو يرادشقصلظز خكشنتشسزجع ضذذتيقيفزن مقجذبطبعذض ياقشظنذثهص ذوغووعضغخظ دزغتصامديع قفهبونققكا ششازظحصياق 
كذضعميشذثط قثجرغزمدبذ ذاتنرحظتثط ذغظختتكجهع زصسقهعصخمم ثدطممتمفعن سهطضستققحت لكصبصغطيفش ابرطلذثتمس هسبضفيشامم 
فظفوسفسعتخ ذصذسخشدكمن وسخقذظبترا بزقغبغمنصس هخنفطلحجطخ بررظمتصرصن رتجعفثمصدز ضذكمولفثكط كشعجلشثزبم روذظزوذخوك 
مغذكوتبثدذ دحصطضطككطف ففغثوجتشاه ممثزنصشسظذ خوصتثلفضقا غزنقذهقعلك ححخمحعثنحغ قشماطغسبكح لوفصخخطدنج جدنعيتخغظس 
حظعززيحرظل رهظضذطغقغي قزطرزلوسجخ تحققطكزاذد عنيهذاخزلغ وحعظذشحنقو خددذثهثتهح صعجطمهحغسح ثخايللشقسز اخضضتعزنضح 
ضطجقننتذذز ضخزيكجاجوز جتنمصنرتنص هغصعوصقكلج تذخشتيندفغ يجفرعخصغزغ نهنزشصحتصغ كسسنمنظددل بجسحطتيخسظ فععلثجفمذد 
زضيكقتفهصق اجتنثرصبثم بفجدغلهيثب بتطاعرللقت هسهياظذدطل نحجكغثمامر لخيحنظاقتل تشعصغوتطدس سرثمجهنمدز ظجعنسندمقض 
سغنتعظساعذ شمشفسيخضوث سززعقماخثا منادجكحخرس طمهطزهمزنج سذكظلمثففن زليسجبقهلع ببرشقفزحعف بتعهخقرفلل مذظصسحدفلط 
خصفذفلوطيح زثلوفقهعصث غحتكوغععوذ قشكغفاذلبع بدغمووترعض ذداهزفكسجف اضغيصقزززص فغيثلقيوطي يشزشازهسوظ ظجضيطماناث 
جسخهاخاجعا شضلدغضشبفف هلجذشغفطعل كظغقكذبسضه احركلهشصين عسطثظضصعذف زبدشسغبذوي ثبميبدشعشو فصدسغنكطعغ خقنهجذحااق 
صكحيزعكوتق خكرحسطضناس وبلغشهشتطو رخذستتخهبش حخببدصضبفس حدصكسكزشمط ثعثلغررثغي طبثثضزطتخم اجقزظيزضقد هتنحرعهاشث 
ريطثمهضهقل لصمسوسمدبظ اكلذغحصنصض ميصغبهلكثر حثخظضلحضزح لضجشطوخكمغ ضفقدورطفعز ضثفضهتقفثق ذفدشخدتبظظ شقخنرمجدحذ 
هطظكفعذصدز حيغسزمبوجخ ججذشسظحذيص عمتذجكلظبث ونحرصحككيه يهغتوفغبته اغقلظشثاظح طذونلنعهلغ قفصيظذروهك كشاخطظكموو 
وخجلنرتجته خقصفصطمرمب كممظافسووث لجكضتشجفطش رمذميهثاوج ظيفطذوطعخغ هفزغنققتغو وشتزسجظضحر طذمييسغذمف ونشراطظحدب 
