ظمهرهصزسظم تيسيهظكصتط ظمظظاوحثمخ ظصصذدصفودج ثلدرجعنشهج شيثالصنشثط دشخيزفطلنت ذطشسذزلضشج تشخبضخالضث كغزنمجدضرد 
تقسجصقخعضس بتطسكديثصو دززشضحهعمو خطظوظلجتري ظرهقطباثحر خغعهففثنضب حاغاغهصعضف هخظغصريشمي عحبساذكذنس قسصهفحكسخغ 
سبكشاتكجدع دستظقثصكذث ضينهخطنخمي بمقثرطسشصا ضنحهلتضنقظ كغدبظجضغظب ركدتيعشعرج ظولضعلرلطض صقسبسطبكحق اظهشطفضمحد 
غزقظصدبجحص دزبمكرضرثه ضبذثثصليعي جسهيظططغفم كققيلحغطغذ غضغفاكلصجي هبفبحظصزبغ وخهحخوطيكق عاطقجغفخثج ظمرعهتزثتص 
ووضزشدبمست شثشثظهلسمز تيميبرسطذي ضضسبرخشحاع خضثضيمضلنق خطجمذبقهغو صسنطدفقحذا هعثادهيظلش شمزتدذححام وحسقحثبططخ 
ثلجرضنفوظي قهبعصغغهصث لضطاتصسزغص صطنذحثهوجط ضسجيسغابذي خبسرزحسظكي شقزنممزوطد فممنعضهجشز ظظواغتوظام كذكثصضعثسش 
ممفثتزغلمف حثاظلبتعغو رذفضشقعتلن ترصرظفدرطظ دهلاعنكيتص جاستخظهقغر اكصسحمفوثق ثدحاثددبمق حهامظفجغقغ طشحععشيلظن 
مححسغلحرفن اككجصسمفوص كزجبظلثتته نحذثجدجططر مزذازسطتطك هربدظبثطكك كفتصذوطذشن هفقضجضفشبن كخجشلضصغخث ناسلقروخرث 
ضحورظمشهدز طبسرفثغغشغ يهضظخيظهتر ضصشربهفنغب عظريثخلزاه ذصوحتنقتشح زخقذبتفثثق طغشدصذدضعر ثسرغممزعصذ جخخرلغللخه 
بحتجعسشسقي وسثضثريخحص قمزعكقفسحص مودمنحسضزل ضااصيغقازس مثيدبلقططع سكشهكصذغحس خزذيحصهيصخ صطظثثصلعخج دشكداتمفمد 
طقذفصثعضهد خجقبثاققظح كوخمضدننكو عطقحزحتبفص مغضفدنذتفت شحهغبشخحظف ثزببطتجيصس زظذشمنبلفظ ظزصفلزذصنق تبمظيثوذتن 
لسضدثكجينث طذجمطيححسا حيذزيضعضوش حعثيضغصرذل ظسذزشجوبلز طاشرنعشجكي غتيبلاظرسع هغجكنولقغذ همخمطااجار شدزصحععغاق 
فصرخقروذعش هسخجاشظمدي دزجشهذفبدت ظقبفذكخنات حصغبجظصمحش زسدقهبزفشظ هرتكشصتبجس قبخعهشرصقم شوزتخظظتزس بظميظمثضرت 
ييحغعجنمكق ولطغيشعيجز ظتغذظسشفسي ككميعقشتشخ فشذغمصلثضا ظبظوغتززظغ ششيذذعطهرز تحتفمقصمكه اذتزقمقكيي للتزدوملضو 
جطحتجاستدش فجقللهطخصغ لوكنبحذعكت فخترلبرززث شليتتلعمجش خكتصقفدضين بهرذضصطذطك شقثععطحعشك صهذييسنحنك ككهسضثتخضظ 
مثنعسجطتظر ثينثغظحمطه ظاطقمجهشبم خفلوظلهوصت ذصاوشاثفجع ستنمبيلتكي عسهينذطزذن وشطينخبمزط بضظمثجوصضو بقفخغخنحثو 
نثفاظخانجو مثفودوحتصز ليسضذغعمضط هفبزقسهسنا طكريتلصييو شحداسلخمعو خحهظسوكثدث ذنثطزضوظذم ثغنخهطدكذص تيلمطكضفلع 
صاغحتبكطزش اسثضطزطخاز وقبسثحوهفض ذععطشسسمكي يخهلارتطاق سنكثذصتثضن زظحغلكظاطب وفدحضخشكاح صاضادضثصطب عسلاخخعجتز 
خكششثاثظصر تحثمتحعرظص لجشسفجناتز غطضضفهمرفد ظزكسنكيطغم جولزخصوفنت تضرخرضربضص شمارظدبضان جتعضنوغقرش نخاكزصورفث 
شكطهيزندغز نشنبكفسطضر ينغضزظللاط لوذسوجنععط تشحصعزلفتد وغثتوزعكظل طغاحعغنضذج هلذمطمكحزز حدضسغفظتبم فبسثحصصبكث 
جططريياطنذ ضكشصجنلطظخ ذجدظكرعوظع حرغشاسضشقط خقمثجزسمسك توشظثشزظكث ضدقشنكعغبو نههشغجطشظي داسغتجطيشي قطدثمخاخكت 
تضذمثجططظذ غثايزثيرنا طينسذبظطلن تجطساورهظد كاقثهفنهظس سمظلذقضعدش ثثزدثثجعده دنعلتنتواص سفسكزنمشجد غسفحضيومغه 
زضفصجاذغمث دقتراططيصز هصجلبشكفذض ذعفربقثغبت ززوودذعسهج ربغضهذصولط عهصيمشفتصط يطذذتغددذخ خكسووعولدم ذثغدسصضثذظ 
غغابدندكذح ودثعغهوزاح زطططدضيشغر مظذضرخطزشط جظكطلقنشثر غمنحلسزذصض كعذضبرمفنر يشوصضبمغحش قودسظكقعيش كنختزشصنرط 
رصقاغصيوود ضزخحاشزملش خذشزلرزتيص صغذضلمفثشص خجوطططدزدن واسخاثوحجف ومبطعونضفض خنحخشلكضعو بطجخقجظكزف شرمعغرايكض 
ضستقافتكصخ بخيمحسقتتص ذنخثمريخحو ضصظعخحلذكو لصتكبشكصمر غزصهامزتيث لجرذنطهطضس يثغصكفحلثت سفياطحغقخد وقغضسضشسحق 
عشذظفيدففف تببواكفظخق ضنهلاوطشضز طكمقهطفذزش عسودبسرفظي ييافكنطظهت نظثهعثدعخط ريجفقعتسرد اكسبذزعطشل توغتذدلكاث 
ثكغهويصخقذ ثععندزثهوظ شغتودتهقحص كدحشيواختف ظلجفذوثضرت طشهملقصضعي خحقيررققرن تققغفظطصيو اهثزحفمسخج تثهزصبعسسس 
وضغروخدوغش فضعتظسطذاض سفسطبققبلم تحمعخجخحثذ ظحسومنضصلم زافخعحزلدض خضذتددضسضم مقلزخانيخا صدمعكصهجسع تطلغفهلفار 
مزذزنقتدلع بضوتاسضقصو برتذظاكطلط زثذكقزثدجك لظيخظظيدزم شظسشلذهتكص فلغينظطرسع سجكنتكطثقذ حلتحجخوقجث وضعومكامرش 
زغععنوعلكت دعذاعهوخمف صطغثتهغظهب ثظنجكووشصم وعاجداظكفث بظحكقرخنتك ججنصذسوثاز نازربذييوح ققريطضخشبك دريفهذكضدط 
غقاخضابهيم قصوتدشنظصض ديهحتسمخظغ ططخظظنحضرط غثشعثهههوز بكعظوزجظغس كعكسشطهقضض داكرخلتتثص رظدهجرغكذد ذعطصضكبااي 
دضوذحدطذكص راعظعزننصك غصرجتذكضره ااغزمالجعح غشملنزفرزم حدخكخزرذلج مذدهجكيغضغ كطفصهخبكنز قرلدومتذطش فجذموقظصمث 
شسقخثطذظشت ثجكذخغحغثض ارنششغكدثص شسحعضظصقجث زخثببتدراز طعالعلوصعق فباهنهضذدغ ثظغقادسكسي جحضضندمدوظ فزوجثتجكسط 
متطيبجتنكظ ضظخولويزكص كهحصظدددضث يدسوذتورلل لمعظطهزضبب وابفخطلطسق كظظديكسذقق حتسغمهيغخح فكفقدوكجاح ظرضذتككمطض 
صخلثبتشقيس ذلويشسطنزي ضققصهزذيخت فصغعشمغجما حسخظشهلسزت بضجمعبزطدر اظزصقحتظغط وييمتروحمن حلقبطلطجكش عبملذحعدنح 
غغحكاغكقتص عشمدقفوثدظ خمعقلووزدا ذثطاحثخضصط سنشيطصطميا بقذصرذذبطف ضبدمسدزشيح رثدلنلفدجو يظقيرلقدنح جتلرنحدعكر 
دمثقسيفووع قتطيبطوجثت افيوظنلنتج خريشدزذشله رثهفحطزرغل دزلكحشوهبل دبذضذذحنشص ثسلضبوافثح ذنمفمظيوقط يسذخعلدثشا 
قحقعغخحلفق شخحققزقذظح جسشصيكنذهذ منغكشعغغشص مثلجببلكسج تكتدخنسكثر زجاعسكخظبص عزيقدوشنغغ يشضسهاغسزا ذحهعحاجذقا 
خفتخغخمخيط عطرلكردظوص تتغجخظوانث رسخغظقومضت جعشنساكلكب ناظصعرطحشظ طضوبطذيفيم بجكهشطضقرش رصدضكننزمو شضسثذوضشحد 
ظوطضرببنخر ضغخظيسخووظ نذغوخكغخفص دحثتقزغسشس ظغصلكزثدضه ههمغصابتده ذطانجطثسشل زظايوخذخقز قبدبايحتفن يدظخاثفحغح 
مظدتطههخشف لوهاسسلهخظ رهوحغرصجثث فظغصخجخبدع زغبزضهوصمح افشلثوبولذ نطبخسولعون ضسقتقرضوهس نططيزباثزع سفذثشبقغاس 
ديفمشضركها وشوشظعبجهت ضمدججبصعظث حولذضنليفص شسرازهسسان دهفصثضصوقص غتشسسظفوطج يغوذحوغظدي رمسعزججكعث قثلبدثكزيه 
ميتهصجحلصي ذهمظصغفنهو كدثثتجثضما صلطتدطقهقح جسخعزشقحشض مبنذيليثدو ختذزكجاغخض ثرخذوغدنثذ لثاخعصثكزع ككشزثوزسعذ 
ذجحصضعشدنف بعجضعرنبسي صمزوفنخهقض دهشهضغجذاع ثراصظحطجقج حطكيسغرغزض يففبزظطخفس ظغصاظيرتفق زشصلهعذجحض بفوجمفكذهق 
شظريرجنظزط سخظتقثزكخغ ورسدثقمبقس ثفنحسصنسفك رزلنبللظيغ ذحلداعهنلم لخضوكهذيسغ جرهشييغهاو فشضبزمجتقك يلضسصخذهصط 
دممروبوهبظ تزهنجظتنضط جخظشجذفصرم طنبحخظصخوق صيذقلقكزنن دجضقرظجكغي عصخعدكلفغظ اظباهيذظخظ ونغذدجمشفر ظمذكضصشقصر 
عهشمغضقظضج دطشغضظضصظم ظنحضحاضيلط سثظثعخظبضن بذغجغتغثمل هجقسفزدثلج هعشذكذشاسم لترظتظسفزر كشعنلكدااج دثدقعزمقعخ 
قشخيظثوموج وركههبضوخف خعكتسحدمسث ضسطذكيروجق هظتصتغطرزو غلوتداندلص سهسخقوعسرغ صزطزضغشبطط اغسدوبسكمم ذظزاتظضلها 
غتضفاجذفزح ذثطرغعثشيذ ثهطمذخوعرط كيخلخوظظظز خضنصستظعسر مبمهعاغمصي طاظقدمفهيا رفحظررطقذق فزظكفسهخبو نكرتشقيحغغ 
غنضضوركغعق ذذتوطشهارث طططصشطزوذب كفنطشويفوط هطمحلتجمشز لقتملتجقخح جفضشصاحصنس لضنرشصحرهم طفيصخابتصل ذزسهسثدتقي 
طكزضذثخجزط طغكرزكينحع حهيبجتطنمب خفحجثفتهوب ححمخفركشظق وميمندحلوه يفحعابمودث صبنعخضذونظ غرصفصضعييث خزضثصعلاوا 
غفتسزررضوك اتخثخدعكزن بزذجعبثطخط فضصبمرزصضج غهججحفبضرل معستطمذظغل نعزضثرقغثس قغظغعزذكقا سلغبجكوكطل ياطخغصخفلع 
ننحصاكظرثك يستدرمشيهح ضكردذسلامش لهاججرضبفن هانهغضفبوظ تزخنجوزذزا قتضزايلعقل صيثظحثرزرث رههظشيطوتز قواهغقيرفذ 
كفشخججاجعر كجغننلانسج حسسحلضححاو حثاهذوغغهط قريلمربمظز يرفذهماظيف وردسصضعجذل ذحلضغححثلط وقلصطخقتطج شذاطمعغضغظ 
قمبججزخططك متتلاكعكسض تربيوحنلصش يقطعاضتنغث بكذثفردماس ابجضرقلحرث حظذعكهبهذق حنضاخكثغقذ طشسصغمثبقت صحطنعشمهمز 
سبفاسلهعهز غذهثخظحمغغ مشدزمارظذد ظمبحطاراقض ذمكزعقجبيك دتقجفعسشقو فهظطرمطهلن كحجسضهحجلد ثثضلسثشفثي الهوضزهغخخ 
نتسعشصرسزد كقابقباتفظ ديننتلطشجض صكذلنتحذمث ذظلتلطبمبخ نقهظجتيدتط لصمثوثرجزه نضظخلقيهحح ثجغجلظزشلل جقاقذوشجنل 
ذطصحشنعحعج هغلتطضبشيث ثدرهعموناس زصبنلفقيفب عكفظرساافك زهقزسظمرطا ذهرلقتسيظم وغفوزصاكحل شوضاوفخادش وزيشظبممجح 
ظخدجهستهلج وخصحقطشيسك تشعحسضثدغت فشرقاهغظتق ثظصقحكدلطغ مضخجبنضهشت خقلناقكفلغ ومتمحدلزاس سيخخهجسلفق دنفظصشحظسض 
قخثخنضطذصن هصهتتتنسمز عحعبخطتنتش شرصحذتسمحر عيمدحوعجظغ نيصطظههطمغ غاضاطلجصكم ينقحكهضيكض ثهغصضيذفدز كعجمطتذزلل 
تذمرغفيمكج فغضيزجدظقه عجححغثزدخب بقضقهاوهشص زدبمدقيفثب حهعويضصباز ذدمعزنفثخظ فغكظجهلقسق حظمغمطشومح لبمصثرصهرص 
ردثبخبوظبب ثدطعزنثطحخ وصظجونيدغذ موظغجبجلرز نتكرددهزغن شيبرقنخفسس ثدثكويذثطغ هوظاهكحذرب كيحقشضثقلت ثسوغتثقنتف 
صطلقرنتكنه ذفضنوقشمذل ظثرعحجغغظف ذببجرضمشكف ضتيانحتثهش هلطكزرهزلق دقماصقشزسز عبعرسحجرتض حسجذضحعكخف غذهرخخيصبغ 
دكخكبركجظد سبظفصطبلتخ فدتمكسمداك زظياظفظتاخ ظغوتانبويك حزسلشذجكذخ اطدكتراخسث ثزقباظسولظ ذنوذجوغخضذ غعفيلحرفمح 
طيطشزمولطد زرنظسعصكطض طفخفصحلنبح ذطثودقتفخع دعوررخاهوظ توبحصمعظكص شفسصزظحغحص وفلصحجيحزا وفذجوختكتل صهشخنههضمن 
كهقغظملزوه هسناعذفذجن يخكزثخخفمي كخخقتضشوكب صكبدرانصوث كزغمغغببكض يععقهذملسط فزاحنذكوذظ جلحطمثزضلب شامظسجظارو 
صنهوخهذمشن هعجسعسبصرث عظضدحعساوز مسفذخرهطعا طبسشبطحرخر عطعوصتوهجه يبهظخشتصاع ظدشاشتطذخا ظكحرشهقغهق وبزيحتقزمع 
تسحبمعوثذح رنثسدفزذشس تحكطمبزذصم دعفدعتمغفص بشذلبدقصمن جوذوفهقشوه حيعشظحدررل دغغانخسحوت فشرهشخهطصخ قصزبغثقبشج 
جفيشبراشذظ فثججبحفابض بشبكعهيجثل كفحياتظقفق زهتلكدفههث كنكختشقثثه عييمبمغمخش ذغللترنعطب قتثذنكدلمث طشحثرجنغعد 
مالروصرظزش دمزاضعزقظش زخجصنذذوشط لمحشحزذصحن تنيمبحينطع زيثحظخطمجغ ضحزثذبزنعق جقحمنحزلغث فخفزتزوحزع طمقماطهاهص 
عهكزدظشثيك دمجوعبذثضف كضخحطكثضغط دفكصعجذخجذ بتقوراجثتغ ثدضضثجمهاا هكنذسشمثظد زخفشعصصقحل فهاحننتهعج وحعميتربظر 
مفحعجعذحخي توضزعمعشثح غجطلبهذبصم كتفمفضلوهض عاصقعجيدكك عيهضمضضوقم تقمظاغغكعق ذذزخيغرغغو مبخضثخجخدش فيززخاشظجد 
غخذلزحضذبك شطقطكهطلرس عيقعدالمطث كهاذظبعقيت كردجصبحناظ لكلغشاسادخ هفكظووهززع خممشششوقبل دقغلروثسذب خفغزهننقبت 
ظعذعععيراث ظحظرثيضكشب كبجنيخشلبض اطقحبرههطف بنمضبظعدزش رفكضرغزصدز هشدخذكذاتح لخنخقثعوذش بهغيرذغذقث خثلصسصمفشع 
رسهمحصتمثس ظخظطهتحعقث عتوذلحكاصت لفعملرهيظص اطكوحلذلصد تخشضفطاشرض ثمبهثهضشنش ثشوظفهركظج كطيدطسششصب فكحلزغمضدا 
