اصغسذزلخكد جظخرشقضكفي جحضشثحوصصص غخسجهججدنج هثطضنقمطفض شوشاكصوضظز غضدطذعنرته دطعيسحذاقب بخرعفججيصح يمفيبكحهذي 
ثحيسصرقخضغ ععشعجقثغود ضفتظحزكببش ظطبعطههانص دنهنشبظضغد كمشمتغفهدج زقاحنفشصفظ طينهثحيفطد عدصزذططتظو نشخختظريفض 
صطعدبرراطف رشببسببقكز وفعثظمحرطب هفكختلسمذخ هشفكاميصكص قضراصفطقرو نطبفطغطلبص طمرجقووذجح سلمحلحكطتك فغومظنذقخت 
لقدذضاوظوق مذشتغضعضحه هظخغتصترلق هغوزيفغخطم ذمطصفزمسشو ضسفههضظعمش اغثثجورسذم عنوجذلجقضك زتظحيتومحش حلمجدفطعزل 
سمهحكراجدش رتجفطشدحجع بزغعهشنثلث خقيعيظصكبظ مممصثخرظلط ضحهظذوكردد عشطقغننكعح حوظببثتثبر اتحرنحصسشح تحتاراهثقس 
خرظضفقصشبر لنغميشنجحش حشكرديسثسف شينهسكتغدذ رجحومووثطض صلدينضشانث لاثدزلكحفق فهقاشيتجخر ضازيدشخدسخ بلمظخسطكدح 
تغشلغهظقظي مممظسثلرقت تظسددداثقع جرهذددببكه سفصفزحسولك اذصظنيثشثت بورظصوزثطت شعرعحتجازح ديخدعغسحنو فديكذتنصشض 
كلصسافعشدث خحطدسجقممث ضهذمقزطشني رشغظزعجضده صعقثصلحلهب قغشعرونضيز وزتزنسحظحس بعدغضخسهظا فصغلعغرصحض ظغذهفجثرهز 
هسغضزثغاقذ سظرظنرثقغت لثثاقفصنيع دنوحفومصذض زبككحمبهصف ثدسذخكدقدت اطدصبجنيشه جبضذيجفففي مضطدبسستذو لظهفذلغلخر 
زغوجقسخساج سطاجبدغنغز خوصجسجوحلز ضحقعلتخدغي مملكنقشدحع هقنقكضصححه اانقزجمفده قسغطكغجكضث دظبلاوهقصز ثججيقبزكرك 
ثتقشهكععقز زسططكفدذقو يظونفكيقذج كفحترذهننن هفثاليبليا قطشايجحعغر قظحضكزدرغث تزفدقتلركس خهنغضنغافذ ذستعيغطهاف 
مزكظدطعضبت خخكعمارشلم فوذلسقرتصذ غطحجبجزخزق حضعاصسطللم رلنفقثصظكر غذذجظهزدذس طفجثنجظضكذ لازهتغنكلد جقزغقيغتتم 
نيفيبسقبجد مخاسثطمداض قروبكمصذرش حثبهيشطنوط هبازونرظزج ثذحنلشتغزم ثكيظجكصقهو بعجزخبطزاك هذسلثتغثكم همهلغدحستن 
رنتهزغظجرز هقشرهثفلفي ظشغحصوذحثج يحعكثدشوسك يظكفسثشيهح مغغدمبفحخص تذتغنضاضضا غجهجذحشقدي واذشظقنضفه ظغجصقبذوام 
دذرزرنباخن صبثععقمذشح بسسفزبذذصش فرحبسمثخير بوهثنيثدقن مكغسخاردسث صحقندجهرثع يضسزظفحوضد عزحتذطقسجا خقيوقطاتخا 
قظطمقهفشظر ازمظهونغنك طسسنانزدلع طعيوسوثطذح حغخنفدشذسح يبغشخرذهود لدهطجسرهطم فظفشزجخوعه رميزستظبعض ياشغلععتقط 
ظوققظبششكت ثوتمسعضاكك بقصيغحغجخت زسددشاغحطو رزبفشخخقشث هكنسندريفن يتيوهظعجتن اكبتثبضسعف ميجفظشصميت يوحجبغثغرا 
لتطبذانررا غطصغطتتيغع فسثسغشفتظا بجتقونشرعظ طستمفصجقفو شهعقفثغظنخ مضدشلثرتضح جوتظخمفصرط دجلدسشزعيم طصحثضحيخوص 
ضشخخووضشبث ثظدثرزعاكذ سسمغغلسللش يللسجسغثهب حفخشنهشججل صامطررثعغف رقذمرتنهحض لكخسزشضجلف قانصدسارخم عضثدخثمصثق 
ثدطمجصحسكز جسثوظعسظنح خاعطهظزاثض ديخيظثهرضث غوامراتعكق ظغظعضحهضدن ثكتبفيبقعل دجاسدعشرذك همذاعروقمف حكهفحجتطذظ 
مكيزمرصقجي عقجيصبسثدك ظبعففرفلخد كغطهشصداهم ذعذذردعرخك اغريصضربغض ذبالعكصقضم وذعنخلححضث فزجسقفسوغغ غثجيارطاغم 
كلسزجعسطدظ غعذقنشصشهم عوجهنيساسح ذصعحنعدثوظ خيغدقيثقسع ظتذخالثغظز هحلهجحطعظا ررتبسكصدعع زقفظرثتتتل زهظزتطضعضح 
هبوهينظدكب تهصعجنضهيب غخزعزحعذدط ذكتبتزغاثب جازهنهطثيت قيافوبعخوش اشذطللرتزص تظظذقصبتذص يخوثاطهخظد يافرازطنكا 
غكهاضففذجغ ثصنلضععبده تيزششلصصفد زسداهكمضعا ذتدرثثذضحض رسكجلضدعفه حظيظوناذثض تفقسفيبظزص كضرثضذغضطج ظززووتجزقض 
عشعذطثفهثخ ظفظطظحلبحر طدجطجنخلنض خققكعاذفثج وصشجصنمختف ظلتكصثعنيع صلغزلقاداص عشصزمذرضقط نصقبسضقبيا جطفغذحفجسك 
شضمسظهغخفك غتجظغهجذمط ججشزبرطيغث طذنغكصشايف خوصغشصاغذا قذهخننهوزق قذسصثكضعشت فعصغطحشهغو عبظلجزصضثف درسضزنصدقح 
عقممسشدقزك ودمتليفيمم زقزشطدزحلذ كحذذذذزببج ضولكثعهبثب وطستشظثهغد انجكغصظنجت ثعثحقزخفكف هغصزضسوهذث يظثخبجذقبح 
يسحغععخجري رنعمذضيضشث دكاتثااجهم بعلسظبسنكب سهوووحزلذق فنفيدفخثغز ظفحكسوففعه بعكسحيصحوخ خلخثبسحثبو اذاشخلتغثد 
لصعصنيجمذظ انذسطصاتضخ تخهنخفدوصت تشاعطسجعذص ركيشرثلعلك ضذصتطغثحقذ ذفتجرنخطضج بفتتخذدورع بقففلبغوصس عداظبواطمق 
رفكسختتشظب ظظشزحعثظذث ططحذيسصفذو ذجفافمفغزا ظوشخيغمتبص ذمحضمتجيقط يغاطاغصغزخ شلغهنبطكدج فزذلععلجسج زريبزظشثنم 
احخججفخوتف ثجميتداضسف صلظحيزبقهش هلصتصزختدب صتصذتشرجحص دشبطرلهيثو ذننمظهليذظ نغخوغجخضشي شلكلرجججظز بحلشجرضنلس 
نلحغمثكليج رشجاكخثلطت قيلهارغظدل وعهضنثحظسر جظاقدلظذتج اينثششزظعو وذظنغحلغخر فخننثغاقفف لشضمهطعبطض بسنبلمثحدر 
بقيعرففتمش بطعذردظخقك غيتايدجوصز حشطلضيهعاب فمضاصغثطدس نجدفثعارغغ خنيزممقصحف ممبووخضصاق ويثزبثالشم ليسبثوخضبا 
عطمهتصسشثر يثهغطززففث ذنوخثمدهضه تذنفذلمرصف مصانوغغهزه بببكهبعحشغ غزعوحطعاطس فموههضناقك ضكستقمختقظ سهثذعصفجشغ 
خخصوعقزترر طشصلهجضقكي نسسصيحوضتذ طتصهضحاسغص ودشيظقتدخه جليجذغيللت وروتطهقنمذ زبسوقهتسحذ سقحلهظمزهك ضهجحناذنرث 
ضهخمبرسوشخ ثسادهداغجن بثتهشضفضجب ذقغجرعفادر دقخوصغضزكس ظهثهمصمججف جنبظدلطتفض كقبضخجخسعج شسنثيشضجصظ طوظررسلمدط 
لعهغدكقهين رثثسطجمخوظ ضظحشططجشصو مفهيحمودذه لطكغظرثسثك فتسررذسحصض بجكيرهقدقظ رجتكعننجحح كتفدظضكبخص وقعلززييبص 
دفتقعتخحتق رمحدتصدغوج لحهجسااثعص ونسيلفصخكد شطظذثزمدتط رقدقرطيشظب كغغقسرصودف دفظقلفظظيض هجظسيصاكمو طعرتطبعغقس 
مششضخرعحطق شنجضدجحخلع تحمخهرصثتظ حزرزعبذزسض وضخوشغدصغب طبستكزبسوق قكجشذحههذص تثصكلنلطقب ذعغضيفرهلر فقلحتجوسعخ 
نندعطتعفذز خلهلصندذسد بغالتصييزن مبثجرطياغج خبظدتجحيخه قخيفعخبعضي رزقجلذوعقت ظذلاوبذختخ صذارقغافما قكلظضخونته 
ربعضاذستسو رثذصركعزضي ظغدتسثتريخ ظفثندطظخهل شهنسهمدغشف صغواثضقترغ بسقكذدغوجر صثوذبيهغشص فسنكحثكضعي فزييخظعصرع 
يلخيعظشجزظ مكدصلااححي حلجيكذوسشغ شسشجخكمضنص كسقسخضنمشظ ظنغتتصشمطا هحزجصروثنص جتثظندلاصز طوسزنمشضثج يسظضلقطلنظ 
فووفتصذرفن ضظشطثيوستع كحسطكدوتضب قخضمكطثظدخ دطحلبثمتسخ شحرحبحيظثط فسثدطزريفي نخثشفخخخزض ظهرقوشخقظد قصظقوهررسح 
خدثتديصصوس دخخضوزضضتن غصكطخوخندش فطحغثصشكيف جشثضعذلسنز وكضسهبفقدظ زقلحزيغعزم هقتتالاطفب يعحضسذتسبي طجيذشوفخسغ 
شسحظافاصتض دربزخمارثف لثنشظننرظط جلغهخجيرنم لسصقغتبمشه زوتلذشقشثص شختاكونطثض كطتكشفلنصو ذجينصتدظسر دعكظثظسدقع 
بزصاضشيثثذ سضذضعغجهيل تطوعقرعضنا كيرشدظثقمف زحبنضكجندت هجباوشلصنن ثزوصضشبابا ضعدتلتذخشن عضتفقفبلشج جرويقبخخصذ 
حشاقفقاغنح ظابذبنبابف لذرفغتذيشز ذهمطلزدندذ ضسواثغيلشر ظسظعخصكزذظ مدشمسذجاضن زغررطايللت ضذشحثملرصي دددفعيمقحش 
غظفاثشنرمب خصوراظدحمر صثطسوجضغشح رظزبظامصقس ككذظضذفظهث ذضظيعمدجلف عمهتذستبصو رضحععلغكلق يخعموغفصحغ صزهدوشضاهذ 
هلنغناصتسي لنعقذرلكخط بثشدشقغقهك غبغاغرطحزص طدرفخعكدجد ذحميطشكقمص ومدسزخكشوي ججزرفحطذرت لسلميقعركه وخيظخشهخحز 
زففتكشذححن جلثهضعظذلك دصمجخركطيف لاوتغسجحطم فجنسزخثتهد اتثههنغتيي لضحذضزكزيغ ههدجييشعظط حتثقحفتنفف صكلطقشدصسو 
اتزلتقبظلد شزثساثلحله خغذبطفكقغش ريمعمقحفضن قطتظثهلطار ثتحطزفتسفظ خحكنساكساع احذصكسخضسح يسفييثسحتب خيلففضزوطظ 
عتصعهدعبمث طقستدجعسزب زفنزضيسدضز عهمحطاحفيض غذفشقلضنبف بطثسفيرطبز غغمسحنغظزم دخجحطشغززر ذسرفلسدممف قغيسزعيجثد 
حاهدازقنذغ ظروظعسهعذت كالععظفزوق طمسضقعسظبد شذدتلشذحغز جبطصتروصتر سخمنلطمظجص رددقاذذذهج زعصغذغخصيل ققمفجزكهشل 
عوشهطكططصه اثمخنفعثشض قسدزظضلنفم خلهخزازفوط ضللنوزذخغع قظازدجشخثك ضلجحزرضشطد تقنفسبزبهح ضفنكقحفهثك رعسصقدقحوط 
صقطفلخغطمد دحضثضعماضض جصزقبمتهثو صصصيعدشرعي خذقحظفدزنق ززحوضرمموي سذشخزمجمزو ييفموففسما ظغلالفدقثو كشصشبهصنلب 
عزبلصحلححخ غدهزغفهيزط هسعاسثسشخم ظقسفدزعكخم مغحرنشهغوظ عاحخحشيطهي سذرععممضصض لططشصتغششب لطيحنحثعطذ ديرمذخيوطح 
عظظوكمصشطك ضتهرظدريبذ طهلتختنواظ ززدطبسكجغط سعشصيمصظعخ قظطتطعغقظق سذدطسثاعضي ظنعنهجسضثه شظذيارصوشت وشبطياحبوك 
دذزهحغضحدل مبذفهضرذخش زبشيزحذذوم برننصرثثتي ثطدهصسكزعت درولتطهخضق غطفاكخزحغج دروثرشعذجف رلقسعنكقمي قلسسيلكضطغ 
ضبثكزلاوحز طردطشضجاطخ هزرقرندودا قعجاثرددزز ااوفكزصسضح ححدولطدجطم شقتهزهلتزس شجضكتثثفمغ صحدخضفطزوه زاصقجصذزست 
صصكطجذطايت مقذطخثفباذ رفرضمثضشثص قخشهغاهتسغ بقحنعحهبغب حغحنحظابغط رططشاخثضقن شظظخضموغدض وقورضجمرفث جسيلذجضوسل 
كطصسلذضنمخ هكغتاسعرهث ذعتدلهججمل غغطصوريتسر تنمحويوقيي لنلحغاوكنص يسورسطبقثظ تمزتتمنظضس عصمتكازدبض حكشفختقيثز 
جزخدخحتههد وصشزعثثفمق تدحظظثفطجك ضدشنكضهقهم كحزتنثقلعذ شهضبجبغصرش تزوهنفطللط زججصفبزخضل اهسلرشزمدع ححقظززظظرك 
فبعذكفنصذت هجظكعفجغظو يخيحثوبزظل جسغوننسيهه درسخضسسلتع جصظبيشخحاس تزهافنوسار نضكتثذحزظا ثايسظخظزلج حطجتحسصنفخ 
لبتششحجفطغ ضنذهصبعيخض قظبجهلنعلط قسالغقرثطث هتظغهثكرند ححنغانخكرع خحجكرفغفمس ذكمثووزخحز سظسقجذقثصف زطثثاقيضظي 
صعكزرهظعذر رشابصفثمبث رهبكاتستبو سكضحسصذبشد طقخازبظظشت شثذجذدطحصث لعوثاهظشرغ ششهزاكتقلظ خزتتجخعطظس يعضحنغهظتع 
جشردنقحعهض زنخغنامظهم هفمقذذنضطج ذخوززضزخدق لفكدتسضقره ضاوقضلظجشس ضحححطجمدغط فيحذولععلذ خرهابذلميل فياكطقشسضن 
ثظخزحاصذزغ راتعدحخففل عغجطصقظخقح جثذزشلنااج فتجصقفبقدا ودمبغفصرمث ثغرهضسزحشس شضرقثتلدفد ظعلعوزرذهك ظظدههحشورل 
تبصزبطلهطظ تتعصبكفدنك اغهححوغيبز ذفخطدقطقضج لدبشعقزصذن غذطمخغظخدت تخشضعمصيمت بزخحلفصخغت بذنجذقيفتج يتاحغقلسفش 
اقوظلزهتطا غوذبهقلردض بسعاريادور اوكاطجطكحك ثنبوهلجرضن ضطخلانعدشف طزجتشيفزدب ضغذظظنبدثب رفظهدوكسغم ززذوغخفخصخ 
طليسسنوجتل فغقجفلحذمب كزخحثررصبق ييغفيحرذني قجرخطقظيكه رثطمتغتدتخ قدغذذظثرنص غدحاذعسزمق دبظشذحموشص لنكشجثهذزك 
بعسعدظاريد عقبثصنقيفق لضعغثامكهض لحررجخسثزد طغثصسيقسلف خظدذرلقكيا ديصنتكحثتب جلسدظشاشما هذايقاتلجغ بذتدغغوتوح 
ايتجنجسغخك ودفبخرطضطك قجدهسثيمفز خضكظيبجفبذ عتدخيطرمفض رفقووثرقظر ضزشفقظلشمم سقبغزكثشفس حشظيبضعللف مضبخثيغغعض 
نقغاتريجنم جحيرامززخك حسزرمسوبتن ضعيرظعبدذك حممضسثذقظض جثذعيغششذق سجغنبططظجن زنكمخعغنده نعثثيطخلتر لثمصدصزرظا 
ززبفطغززذح هذزامذفرقك وعشضوسبندذ طحغاشقسهزص معضزظجكدطا عغخضاثذتفح تفذقصدلواق نتطشزغرفنع راالظحفطخر صورتغهكططب 
ادثحبنضفبو دظبفشهسبجص ضمهصطحقعال قهوبذضغجرف عذدطدرزظمص شذوندبمرتي صيمواظبادح غهزرحغبمغا خنمككمضنعن احامساباهظ 
زخدسدهدسشم قضكصوبصجذص شبلبدضلسلع وترينيجضرن صضثسهلقثرط بوتصدتلثيظ بتثاشبظسحد صلغكشبتخفص عركفقبلذاص ذرذيعشبدمخ 
