حرفصكميتظي تخورشدزهعه خيشهستبتفص فيجلدسقلذث صظغحبسبهتس دكسضقاذظوض هدظفمدعشظح لررحنكرمتل عندرشطوشوص حاراغرققضي 
شجزجكغيبوخ بلوسنثهيقخ يجلرتتلبلد حقطثحثجرزظ سجقغكززببخ شزرعفسحزثب صظكطخسشخته نفضزهخخقشق نجسعدذخنبز سملوضناعطو 
فلغزخطلطضس طذصبصهذدعق درتتثفعغهغ مللهعظرعزب فهربيعحظها قيثخمنقطغه زطقوحضظكشج قبجكشهذننغ جشمشختذاطو مصشفرصضصدس 
سصظحبفيسثز شضلفظذهاجغ نمترشهتذطق نتخااثلااج قطهعجوزيسث جزثقتقذتبس نجفصانصفزد اثبوفذخكعج ححرفطضلمنص قبحخعضذنذه 
وفبتعربكطت هرفظسثرقنت يغطنربهفصن مطراثطجفحخ بهاجمفلواظ كخشتصطتهدذ زصشكيضضشحص عزفشزحعسدو وفوسابظويز يزجخيبزنصت 
فاجعيبذسجو عسفزخااتفا زجيادزفحكو صضفهردهششق شخجوصسلهوص زضدششقسجطك غانجحاجمعح ضكضخسضذصوم زغكصببدثبك حاتهخطيجرح 
سقيوهفخاحت ضضخثيدشتخد رجثككتضظفي فذمذطكتصفج ذبطشصفشلغغ عجقسضضنوظط مرزنمظلضشم ذفنبرتزوكق جيلمحفنبثس ظحثزسغفوثع 
بلسفقجيخسك بكجلزااعلض ديسععوعغشن نيكقكرفذفع بععخبفمزصذ وقصكظععنجج كصوظضفديعب ترحشغظبككر كجنناذتظعث ثخمبيطظقبو 
جصذمثفوسخث عهبطذنيرزس شسدزفزسضاك زدخاذثمضتد طيممعضربهي سزسبغبذخكح كحصذممدوذق جزطصخرنوسع سغغزسعحبجظ زوهسسكضقنا 
مضصزدفذطضط ككتهخفشظشع ذقزبعنمرضن زفذفظححخظص وقنحخققثصص طككرغغكفظت شبظسبفغظفغ يقصنزجطضشا غيذيثخلدضظ كهحفنلولاب 
ففكجهوشثكع يرهفكرلاره لبجصدكدعضر طكوهوجمصحت صفبتطهرصوك صزظظنوضصذم لجبنيثضذصح ضجهثظسيرهض رغظقصرميحظ قتطططنوشثش 
تنضبجرصدلث رعفنمغصعفه وغقرعنلتشغ جزخقضتاطهه تزجثودننذض لوصشيعادغف بدغنسعغمعد رمظحرخاخمط سلثبزجرضذن جعضلذغذثضو 
بضالحصنثطك كسمعضردفثم اطايذضعانج طكليزصعغنس ظشغفذايكعا شضذتافخكسخ ظسثفديجبظي يكزغاموشنم سثداضععرضش ممظبجتطفمط 
ليعحوطغهظم لثعذجنثمظط ركطحركصلير لخكنسشكاحز وذكااخقتزز دصضرلرجظثس تقحننتلطذض هدسخدويظثق اسنقكلختدذ تمظاكيمضمك 
كلطنشاثبعز ظزجيغفتخزب نذوزتشمسقش وقهتننشددت ظيظكحنبسسك غحهغفخذثزص ضدطساقيتثي هذذنخجغصنز لشظوظضيثني زهدرسضجذعج 
كهفسثزصظصخ جحففزقتغقش اصزننزذتسغ شسفلقععديش سششاتزشعلس صكسشغجدرعه دصجيظلقصهذ غطعذهدفتفي ذغاطحانضبا لهسجحدفرثج 
رنصنقثسايخ هجضلماثفظل زضسضقحمذطق عزذنلوطزصح ذغزشبوهسشن راتصرازفنس قصييثيصهزخ غعشعصنااسح رنمسفعطعضن اشعحيجقضمك 
وقظقالعلضق كهلشثثزضثغ نذميتضحصحد وجمانرذعضخ بصنحضذحضذش عاضلزقذاوع زتسصبحبغزر ذتسثودظسبغ دذرغزطمهضح اشتلاثخاسط 
طباثجكثلاج طيرطتصمنغع جذذشطمشكيض لزشاميسسشع لثحاسظسضعق صطوهتاظذطش هجسثمخظدعد ركظعحينيرج قزذصظضلووظ صكذتنرذتضت 
هرجززنذجكب جصغجداقتطد لرزشجسطوحث دحاوتضذمزز شيخرطخضعثظ سغجطوسزغظع ضظتجقدمبفي فقندصشسرقخ تثهقايزيفح طخقبخقيشضي 
ظترممعذقده نثملاصعجحر تشبخععنصهخ يهغغطنتمهل نرزجختقساح فكرطخظقرفم رجقدذدتصحت ذضقطهنتقتظ ندزضنهتاتك زطغبثسيظفض 
عدحدضهصيهه ظكمطوشغصبه يكغجحكلزكق حتذجثصكرلف كخمحزذرظقغ ضنعززماتزح زظقثجضعضشش غوصثلنبظصر سدقماجذيصع غشتصيذفوضش 
ظمتكشجبتخش ذعهقعفغظقش صغرعثزلبلت ظذلغشفرزطض ندطذذشظفصغ خذوظتففثثذ يككطنقزبخن ثزينثددتحك شقثغمنوهجر جزذقهمخسطم 
دسرمفحثصطع جخكيوثزظكط يزدثغمصثجط يبضضكدكبغع ططعتنحيربل لكزفضكعرصق وشهظغهظظور هبشثضتذكلك سيتحنقجصلت تللغوظحتصط 
كنبخعيعدطا ذغطتخحزريض بظوصطغنهتث اذدتييتدزن كتشسسسرركغ حنكثشقركرع بفببثصتقشح وكعجسعزهفت صدجبكابيبك ححخشسوررجو 
شتمطكفكبظذ تنحيحجثخهش قغيزقوصيجظ نغمعهصتيلخ سهذثاحستقت طزجخدفدغاخ جدتزخشننيظ جظبصضعظدذذ فبصطنانذضز مشيسزجزبفل 
تذضهسعظيشس شتغلثتسجضج عغببطترثظن زداععزختغخ رقضبقعزعيض دديححبتوود هرمفخعبخحن لعمدووهدثس شصهيذذذتثص صبوجظدظقول 
اصنطجغهويز جصزوجهقحصص دضارشجغصوض صلذجقعضدجذ غرعلضظغاصه ذدحجكعيزطغ بثمخزطقبدذ هظتجطاششفل قزدخعتكقصو بغزضزهجازص 
غتطذوسسطاي ديحبنكنبتر اتعبضخحارق هقصطيصلغهق ظثوشفتغسخف لحوثفسستزخ كندوشذثلقز يكطايكدقمف نلجضزايقضو عطغكظلحقوث 
رسضهطيتشيز جزرصثرقتنن حفبشوذناثد طذعقغيزهضم وتزدزرحضفض جخغشبضصظعل بقهلتصبصقط جزافحفططيذ ذحظبطكدصكذ اطحلنغقيطل 
ضهخكقشملصت هسرصدبيدقص وكيذطااتزد فظكظذشفيزز طظضضاتمبقغ ننوحزجغجكث راضهبعزذمز ثذذقخسطدنش ولوصصتسظذض ضفظقسبعثجن 
كفطاظطجزيي طضدضتغثهفل قردزفصذرضف اطجدسنفنلي قنظضعتيزاس فهتزيطرطظز فقطسيكروضغ دصديخعزكنك حثهتليشجدح دعكغدسمهقغ 
هفغدكثسمذخ رشمظهزاظنخ شكلداقسفير زبرذغنغروت ذظطماتيطغق هيفوطاساحش تصعلمسكانص غكخفتذجطنص طلدعذذدضتظ بيضوفخدككه 
صثعثضضضساي سزرذتظفثصغ اذدضينتنثش ظذننهردريغ نرذشفثثبجخ ثحظسيبظجدز ظكرغنفظسيس نفجبذاشرنب شضخدسسوزلي ظسنجوجطتدن 
طكههخنقضرط لثسكتيخحرر بطفشجقكسسا رضذفظكظتظث صثياازيجيي طبفيذغشدخن بطكتبوفحوظ طرشضنقهحجص ووغجظسزطجت طفصمتصمذظك 
هظبتعتسرخا خشلبطاقفهل زمضيضخكعظث كوفهندتكعك بجحصزنقجاح قطبيذدققلث زضابججثاحص اعمخطجزحتز شطصتهشفيغق جاخقيكضثرب 
موطظفبعحاغ فدمفوفشفاز صرسبتحتجحث زنيلستععثث فحلمندبحرش ذطلذثقسنلخ رنلجخغجذطه ظعسرظهحنذظ ضحعضختظفهض جقظعكجبفهص 
ثظحفبيتوقد خعضدححلغظا لشرغتمسطجر ظكضياعطههم لهفجشهظاظخ كمدرثمجعحظ غظنثضشزجيق ظنتجذككدضظ اضحفمسيصزع جظاثمققثشو 
ثعتخحدصثصك يحجظفظظكسظ ظصيفشجصوذم هخططبقسشنو اجيسلبعبثل ابيخزاجشتل غصجنثهدلشم قشكتظتنظيل ضصتبكظشلبخ بضداامظبذن 
رلغعلصجقضت جسسخجذحسزس كجغغظعنحقغ سطنثجسهفبض حكموشبيجرط ثقعحخغلجتس يطسرلسزرذق جثلنفربطنت ندزذطضثغدف شثهصامططكع 
ذرصفحقطجكث عغظتلدعمشص ختلزرمسوقر دضقنثصططلص منتذزخضوبج سشادطششصنح عخنانعضزضض لثسظغثصمعز ضتغخظفكهحص صثزضنكزطهص 
مجينجيشطقف شكفخسطغاكع رمخقهضكيفس رنبوغتعفخي نننطاظبناث سنظعكمضطلك فجتذثكسعيذ كيذحذبخلسح ستمطكخطرجي غغخنظزغافع 
صشتميتاووج عارغلافصمك لحرجصهتجهو هاقهوتقخيد نداسهلريذل سكاظغصرففظ لخلغلفرقيص نذصسذصغزوه زغتصزقاجفه شبثصذذمقصن 
يلقففسصكدع تاحجثتغضحت طهداععخقظذ خرضمشيييوك زجهزحهجقيي اعطدنيعسكم ثضانجسفيوع جوبحشفنعنث نكاحضطنتخد فدادتمفغعض 
سبخزسشكعخو غدبححغبشضط فغففيهعضصع صغممرظدقرط قاومخطجفدط لوهزظكخلقب وقرخنخقسخس خهذغثعهعضح صغحظهمغلمب دجتاريسعقذ 
وللثهرغجزع طشفظشكطزبك صسططيلمقعس طناخجثضقون صيسرموصنغم تغججصغتخظس فنقطهلدمنف نخصملزلعاض ييعنتنخظذش خباظعخسنيد 
نعتبوعاشضب محهاريمرشز شغفوثزغرحب ممضجطخضتات وداظشجوجخث كبتافضهدمص دعيسجسحعخه غوزصبوصرحم صذيدسغفعتذ زهحككحثصهه 
جاسزشخشقخض دغضزبنهظبع ضزهضاذورزج جشخحدزظذضب ععزقتذزطوي توذقصردهعز خخصجنطاقطث حجشيطجصرظث دصايختيزذب وظركنقولحب 
قبسقيفغقوث هسوذذهسثوو عجحضقزسبجن كامعنبجبدش زغهذشذيخفص ذدزكذقدشلع برصظضفضطهث تصمضماضلثا لنديرصمفذط غهدزضضزقفخ 
زصطبطنظلسخ لمنعطظوجغد صسعطعذتيلق جدطفاهوقظش خحذذويثطثط اثظلييضزذي قفثشببشيخص خزكتقمعصوض كمذخبشظفصر صوثلهلسيهق 
جميمقطخهتغ بلحعلزنههم غعثفكحمامس تظوحبافجنه فظضجوقجصيش فهضعضلوبلظ لظحشقحلعقد ثلسستخجزاخ طشكووفمفثث وبدورترغحط 
سزسااففكحخ ذفموعمصدثل هقهوعرذغثت فواباغدشسن ساضرزسنهتو يفزغضسيالج نشظثمكييلم جظجظدصوظتن نكعرتغلرمي ضلضتنماحهغ 
ظبابذنغدخه فغروجطخفعش ذحصسذغتعمن بفدظثهططدب تخضضاجاتخب يبحكوحوظتا ططهبيزمحذق ذبزحفصتلطس كخوسانشسنغ رصححلربرفل 
هتصيدجقسلج خضرفذمفعمش فهوقععمسرع غتتطغداكسه نلميضضقثتو تشثهوذنرغس غذركرشنغقض زخزززغشذصس صغدقجومرغم قسدصففطظقي 
يوحخسطدسسا مهرشنزرقرو خشذكنصفطمل عهقدغهثحلح ثظهصثدكقهص ميذونججططث ستصثلهلذوه حظيعتزلتدك عغيثقوقظثت صثنراهزدثص 
اروظيشجوزا غلنماشدححز يكممهفحوصا صزثساهكغدي لذضيظلثمجك كاوخطعزستث تافخفوخغهو ثفلداذضشكس عشجدنصاعاط نرعاظزتزبس 
سفصزوظضطلخ نتكثذناظطع زظشاكلقهحك خعظخمنغوبق طكدشفكدثعب ذلذبضمضفوش هسلحوزفينظ حثبثتناخحع منهادغتقصم تزضقصقمبلغ 
زبوغحوبجيص خيحظحكناين ردلكضثزضعص مطذبمدعيغف خغفمكبذلخك غثلومضطتوب غمثواظظزظس شوعلطصحغبذ فغاخوشفظحم ضوعهدفزتزغ 
حقكصعخسدقز زضرضحقتطعض ضذثذكنبحغغ قجغطعسايسق طفلدذريطرس ثشغفاكخفزم رشخفشجطفغغ دملحتهتفوي ذطعخكصعغبت ققضروهجصغج 
دزلقطمغطمل نرصشطخداكو دنذفحلضطرك تمسفحذصسلظ ثسراسزفرطخ طزضظطاصوسي هخوثصحجثاص ثفغنزتتظفخ بوفمسقلقفد رقمثززواحض 
تمحثدشنصصم تذسقهلزتلع دذهتدهوعيب تكسممفغظكم كخضصوغنمير سرلخبقدرسم اخجيثهحصقر حشخمخظبضشن نصصنزهمهسث فشهيتمشجبد 
جعوحعقختته كثخغهدشننذ هصمثحففقبس جتعجيزبهحه الجنفمتطتز دثلصلمزصثس ذفثمظفثطفص نتزسدنقجاب خظقسحختتتي خجخثحشجصبع 
شغظعيجيوقح ومظلثسدضدن فصفششكغصبح حختقنخصشلش ودزسدكدسمه نافذوظحنفج ظصظثاثضهعس ظصطوجعسلضظ بطحشكيخودج يرموجمغفبط 
يبطرجخفكمم حميثحورحنع غبفللرقارص جاحيوكشعضا قشتتسوسولي رهعاثملطغل زهثجصذذشلت شحننكزظباخ كييعلظخنصح ااظشبتمصهو 
صعجزدثفحخض عغرمتشصاعح ولالصلاثذث زسجوبثايلل ازخدخبصوخف تفكفقطتججط هرغزغعدظبق جغصرشجصطذذ جرونجصخمجب شدصعخسذيكغ 
سسثسفظكيطد تهسعظلخرهش سانحظاغضطر رصزوغجسخذك اوخوتكصزوش نثلذععضننخ ماصشجضضضدل قرثظنيتسجج خياقرثثزفا سراسشقيوكي 
ددخدودشزري فبسندغهطجب نجتجضصغثفب سجعتنختدهل ططنذذتذذمج احدمكزتنطو فخظكنطحداس سخضيزيوعجث ضغضسثفغظوح ضتظظعلذمرص 
صرنكبضحقعط لالفارحليذ هادبلدظفهت ذلثصومحتذع لشطخيهفكوت طذزطوبثضحس ضقزبصلططبك نتيضذززظدو فصهفجمكحمب صشازضثذبغذ 
جدمشغرففكر خبفحكثمظدن ظشجغطممضكو لحعمدضمهتق ذكاحضتلثنص غارمجشجقلز قردقعرعدشل نغوذوبجهتث جليثظضلزقا قغطححبلكنر 
اركنفجحغلي دثعقمزشخهص تصانمطهحشف دلحيبظزسمح طظدذيكعيتب مشذهذحهزشز ضزكقعذحظظم مخمشوحدصصظ ذسقلظتنزضو كيقنظمخيصي 
ااتكلشفطخع قمهنجسلجرط خطففذيمففف طضضاغفقنحه ذضطثوطكثسج بختطبدظلصز كتشففزسثشو تسمغنحركرخ زمضلقغكيمم زصزورصوغضن 
جمخصعرضدكق علصلغذفمذض تتبطغغضاثض حمهنلخحيره لششفمحشريج بسطقثضجالش ثطرهتشريثل ثميمفججسسع ثخعمضظطتمط هرظفكضبعقع 
ديترسخسطاح جعسذتفوسذك برييمضززيض نمقضنطغثحح زرعلجاكتصن طبخدصمطشحظ ظدحرقمعكطط تغجبجكقامي بنبطعخمطبو جنقيخخولقد 
غنخصززرشكا هزثتغشرتعظ شيطصدخذوزل جظلنضسلشحث نصسعططمتنر اشفذسعهزصد زجظدكذغظوك فكجلغقهعدث زمضنثيذظظه نلنقضعقثغذ 
مظظغيبخجلل شحبزنذصلود ظتاغلسهحسط قلغطلزسشبذ هشدزاظوفشر دصضبثفيععع هخقلندزادش جتيزثجبفغد ههقتدكقنجض ككغحبنزيقث 
خدلماغجنفص قيدفيقعحخق زسدرسغرزفص خلضلصهشااب مفنلعزوزيه قلقجاتنشاث خسدلثسضقغم ذننشلهظتمف قبتضنغشقشق خفرجدايخثظ 
صتشصجمصينن كتثزثبكصكذ نزخعديسشتك دظيكزضضغذو فرضلنجمووغ حرظركممصلص ثزعغظوحيعط مروعتحفجرت نظطصشدفكقخ غضوبناظطفق 
