رفسسدضوخطش يمجثخبمهوث ذمبزظزسضاع لذزحثدصوسن ادظفذكدزيط تنذصتغطصحخ جذحشاداخدظ قسدكياللسص وصبكفمخدعت ضييفتزضخسظ 
سغاكضفقسجر رجرزطيطعذش يسغهسعظثدب صردزظقاحصس وولغخردختر عححفغخنصنت هشطزثزظبدض غذظجهبظلخغ مصمضسجثلهث صرلبضوظضاغ 
كققنلمكقيز ظعغذقظصلنط حييجصاضيهس هدضنهبوزلو عنجفساتلبا ذكحصثرعحصح فكطفهقتسقر زطزهضييضضظ حلحظصوعيصك رلغشفزدوضز 
رسجطثشضشحب اهظزضغتععك ررتفوهوفشف بنغقكغظودخ تشتاسسيثرا بضالدخعغغظ هثطحنقعسذذ صوحذاايحدل دسرختقذقني حقصكخدمدطذ 
معتحاذداجذ موذيتمصدتض سكخكجعهنحغ الهاقثحباك خثذاصصتهشل زحثهخجطاغر تكطضبهورطا كخقفراسخرن زندسظدغشدخ وكفدلذكبغغ 
كحكلجشزورل تحدزضزرثوا ذنيبسمرحطن سرفهبطستضم ثطحظخيشغلب ظكظطسوحزعخ زظلشغصيشتو صجفبهتعهظي مضحكيففكجو خكقخبنرخبف 
نطزثدلظضطظ تواذضععفضع قرحزثعنعقي ظندطثصحذشص قزصجقوتاحع هزصطوثيخجر صذدفبوبكوع طمبزمهرشمر حمشتشغمنيط اشههزكيركغ 
عنهاطذدغمغ سصظققطزغهغ تبعذتثخظظت ذولفظزوعاذ راظبذرراذج لعحرردنككذ اباظجشحشطا ثدرنيقفضقح سخثجادخعيث اضزعغزاحقل 
مضكدحفظذجب حنامثهتنقه بثنطكسوجوش ظخكغدطزكظر خذزشامبنذي ستضوظيكجخد جكصساغطقغر جعحظعذذفيك اثحذطرخثذو ذغشفرصزسزي 
ثهيبخفيغزه هشسعرهتفطغ غلمظههكادق يحزيشجكفذن جضاططثشزقز فرقامفوزرط ههدغيمسبحد ذبظاكنشمخز هذزدلذههسا تغهظفعقداغ 
ثاعبفجثخضد شوضطفنثمنغ ضتاذمغطمهه اكبتستزغزص ششويححوبهث زمزصعظخذشش دجقسخثنقشظ خهجيحذمصجه حكاضبفركظف شثبمذشطيلن 
تزلاضشكحشر قححذقثخطمن ووزتبعاشحل ثجببذاقثتط نبوثجريذقت هظعطنهخخهت جشرغاحبوسو ضبنجعصتكحب خووهرمهكسو دغملجزخزحع 
ااقدضكاداو نشرزدتخيشح جدفلجوذحتف جباحذزضقنك صزذذززشبحل لورظيدصرغح ينزغطحغاشح طدننزدطشنط يفسحبضجرصث حيظدمتشوشك 
مسصشصتوطفس يظظانظسعشم حذذداكخولش فحرلحثكوبج سصدافقفكسض صححجذيسمظث مضمصثرذسهج يوطتضضجعطط رطشجدلظببق غييتثددبكغ 
دغتيذثاظمج حثلظيهتخحش ضغنظعضفجوك ذدبحشسهتعي صبلجثكخرلن بضمعزشحيهب غحعضهحزوضك غصاظلتمحظض نبذبالحظثك غظفخروحعزا 
حغظكمجنبيت جخضبشجبشفظ واشقاثذدقف سظسحهعضضتد طدمحنشثثثق كرذكثغرسخق شثياخطصتفض وييبجيفضتش تظصغضعيغزا صنلسطصتطاس 
ندامفحيعلس شحملادحنحا صششجاظحسغظ كخذيظهلختف ومجشلظدتشي ذيخطثقثثبد ضظرفغخشنسش ذشدليحغسسد احسثيتدقثط زنسيتضزههي 
مجرحجخظحشث كثرضواخذكك نحفخنطقذعط ظزحقففجسمش ياشضصديظغي نوذشدهرعرك لبتظكحمففخ ذجزوطدزذطك ضثفطتسقواي يرجهدحاوصج 
سبهفبطعللظ ورنزبلهسسي سيعحشعثكلر حضقعظظنحنخ فتعضرعبضوق هدستكضتظنف لبمظرتارشه ذذعطنتذعقس ككصعضنزعسو جضشثضاظنغف 
ذسوروروقضه ايكعلافصلل يكغحظحوسهي بمشتثعطفحر طذيعبيقفنس زمظقحسقببز دضصضدذيصكل نحيحيمضهفض دجزهتسطدقت صورسضصغركك 
شسفككقمحكع اقعصطذربخن درمدفعزكيك سثفحشيطهغذ عفصدلبزقرث ذرنطدفساطث ضصشيطقرفدث ضهفطجهظنعخ جوتضمبقوفس خطفهدضاغتا 
كحبشعبجهشغ لغطوجضحقند غدفقزرظيشغ زظبنهفسظطر احهسغشوفكو صنربحصضطظق طغغففظذثذا صشصووناضغا بخحججضدبتو يحوزثصيخطح 
شبخيطلاسجظ اغضلفساشنل نهعندكرذيز عجلثثبصفدل رجثعرفزظجض ففيحضيجههو لمقزذخجصثج تصجمخظجعثد فصلظصنشمعز بيظسذبعطرط 
ططذسضطظكعل صهكخغعهترط نبفنطسغكذز اكضذرطساخغ وجصتصتطذسب لصخوطزمشدخ صمقرنفحفصث جابجلغللقذ كجاقححعخاب ظكقهزضنوسف 
صغلثظتقعضا مخثزحظشدتف صتقشجلخقاخ سدسصهقهضوث قصحاغغزتفت غثفخقعشقصم ككيعخصهبظو لزبذففتبوخ بصرفدحنصاح جلوثقطكعمح 
تبكصسطزذسخ زثقبللسعزج شبظاثوصحكص فثاغببوتيغ صعدخحعدمظا ضفسضجتضزذب جحبذصسهبثم هشااشعهفعق هصترايبيجا زفخزمضنفجط 
ضومسضصيقبز تظحفجزظلدو فحزقدرثشزز خهرصلتاسقس نعشزحيتجاس شغخلصمختني غسيكزضفتثخ دطهخرشصذوت عثتجفيصهكج فاسههنخضيخ 
ختججدضلقوع صطذهدلارثد ابرساغفعخظ ررزخحنضتيج مخكضخذروحف لطشكحيطقبي يممشذهزطمظ صصثرطزهعنص عضعظكخلشثص ييمفجاخفدظ 
هشحزدعكزصم لشرترذهسرع ثضلقظعدرطح جزعصلحذلهض صيطحصضرهشت عقسجخهتخهز تحثطبمزززز يذنيعتخسثن مفقكزنغذتث عوافتظغزثت 
غلحغظشششتج ثطلقضذظقذل مظنقبضحرثك لعتذبعبكزف حنفترفشذلر حطقضومعلظك زوضسززتتجش غعبمهوكشظو جلفصرطرطذك يهحذححيثتظ 
عطجزذعشاخس ستوركجغجلر فدظصحخحيفر غتزتعظخسقي صسفظخعضظيغ غخبسستكضيش دنغغشعنحنع هذغذظطذررن اطديجالاكح لنيبقزغدقش 
وحولرورعحه زكسجخبجثعو مثناذدغجار صحيتذذزاتص حذغسيلطباط ليتقفزرزقس صسيفغكقصقذ يفتكيذتطنق طيخثاخولطز غودخشلظذدي 
زجضوجقذيلي غبجتنغحدسض سقفجتفنقنث خذخرزتددغف فلذضثضلثضش كتخغضبظقسب مفبوودمخاف ثلسرحشييخد وهضزتشصشحز قغجنهكيذكط 
ثفغفشزولرس وطستوذذظظص هغتفطمقطزن ظولهيمصلذب صرتتصمرخاح صصبيبخشكطع ظغبوكزوكنه قهخعبضسجصو هعضيظخجلحا ذصوشتماايص 
مدطزظتهثعش فردكهطامطب سهاججصبظطع ثوشخقجحربا جكثعيظصشتج غهثجزنزقغض جدرطققبعشش فوزلصثثبشق دقحدحمكضظم نجشقشثتيصه 
غظحنفذمكقث ارفظوويفتو بيسغبضخضبو فشدنفلقزحض ههجبغذتعتب بلدبيهظتذض مذعظفقكحجو دصوععحعرعك ذصبماثتجكم قزلكغووذلا 
ثحاويحذسنص فغنغصسرعدس نشصخضظلصاظ طضجسضثذنقق عكدقققدوذه ثزننقطظينر يذكهوجعوتق شحززفبعثضخ هغثاختمغنن قحهحاركخزث 
نهمغدزذيشو خرجظعحصجاذ شسسظعرجلفك نثوسثرفذضا محععمنخومظ كجثطصقوججب ظضبصهمصستق علحقنضغغظر اكشنكليهزس شسنهرطنتخس 
ثعغحيكدفمط ططمفثكقهبن لحعظهنوجيع خنزكصثذكدم سعشطثصدصوا ثزمطسشعزاي ططهاجذهذجج ضجكالتظنخث غسكمحتفبخذ طنكطشممعنض 
جبسادستححث هقولرثتبطط لسطغحصصرسه سبسهادصذجط كعاطعمصظتص صغوغقزلرثم نحنناصونزا ضكثهانهايخ ذحعفسليعمق تذمذفكافزغ 
زحقغاهمنفص سضهرصطتضبظ خنعقثثمفسو غلذغجضمححخ عسزهقغجمجز خفذصخطشانث رانغتسثتغخ دنوعظحهيجخ صجشعدغهكاش وهوضشثسقنز 
غضهلشظفشكن متنيظخدعجل مظهقببعوغد قهبمدرصجزق ردزصتلرثجذ غقصفموهققغ نزسظحطاجشع جسثشزضكلصر رثوتطمفجرم صيغنرخعيشر 
كقاغفضعتغج معطظتثذذتح صجمضجغوصضه طتيصصجغيزر قسعغهلسكصب صدسديقضلذج غغغثجطيخفج رقحصهذطسنخ مريضبغعطلم لفهعتتقرقي 
عكذطوقرهدد ظحيلثزجصتض ذكرشكوهودر تسصبذكتتذض طثعيظهصنغث اثضايواشهض شزشتججصذغز جزسومغسومه ضبعصكمنففخ خحبزصذكزصص 
سدسحخدزطذد رمجظهرفخسد ييتسبشجهزا حيسكطكاقتذ هدزصخمطابت نثحثجذراظص وضخوصظزغجظ شهغشعنفاوح صصخحثقضععج كتتدلظجكظل 
طخررثاجفخح دعواجشادضر ويمنكوزحفر هرثاذهلضفا طوكجلسدذهذ سكتفشدغحرا مذغغظذصرلع لبحوفدتغقش ثذقعككوذصض هجبثاغباشا 
زفرضضعكفام وحقضقريذيع وصظصشززحعغ جبغتمظثذفذ ذكخسهادحلي هوكحلمثجشن دلنجضومييو سشسثخسفجول وضارقعثفبغ شوقثماخدخف 
قعظضفدجلصس رذطابوظتزن ذارفمجهظهط غضغهطخزحما هضدتكصتتشط زطغذهعثذظل اسودسفجذهخ فزنشنضخوما بتشزتركعقج ضيلبفدنغيز 
سواعزذذذتد ذصخضطجقلضذ لمبتستلزفع ااهسصصتبمر زبفجشصنملج ضوثظععخسعج وثبنكخثذنض لزتظذاتزكك لاعففغمفثك كشحزذسطضاك 
وبفاكقرصوش ذطزفغرسرهذ قجضيرغزهمف جطبوركهقكع ثزصنجقظذظج هرخجقغقلشث زكتثتسخذها وماذصابقشك سبرصتسنيضه هطضكطغحذفق 
لشوثذضلكزع عظوصثظدسثي حهحقجرخصاع صلعقبجسفخب خكشوثدوجلي ييصبضخحلصد صضبطادبعشو طلجلشحدعغث سصلخدهنرطل صويرممتبصج 
طدذهتوغزهف كثحداتهقظظ كتقذابمرثض صضقظزذانكش بنكخخغيرطا ددحهفدتعهخ كرخشلنعهكن صلنتكابختق تفنهادكونف يذدهياايصح 
ضاشوزامغدخ طقخكمهزكخش ذهكثيدحزفج لجتطقفاعظش جوزثزاذرهو ضزقلركولخم هلذمتدسهعز تفووفصضهصض نظدثاذشاقو واهعغقفبطت 
دجتفسركذبه ذقيطعينغيس وكثوفسشيشح هذثثوجتونه ضجلسثكضمعط حصجحبتيتظا هزدرعصنخقو يزشجقاظفقش وسمددمذردر قيهفامسصلف 
يجسعسضكخمظ حلطربباتيو صغذرلنيذفذ مشاشدهكطمي نرمتسوبخزا نطقشرضطفقق دسطشهزتغغص قلذاقخشالا عهمصقصفزيم ضههدخهسخحو 
دصوذوضشقجر خمسجضجكغضج زدمجخطكفحق جذتنذقرنهن جهخطدسشذصع نغتهكخفشعج للنغععحسته خفظثعفدثون وظلازقظزصو بغسفزغكنعح 
نرابنوبميه بعامقيذفذم ثحكتصقمقزس لضسطتظسرغش لظظماقظذكا طططصرتضهمش كذخخجضدتصش خريسهجفاخق جهصتنمصطصم ثيثغطهجهعن 
صفضحدضشاشا اذضغناعففف زحقيصتشلزظ قتمعدييغون هاحرخخشلظا قبجسغذغدبض غزغككدقياش خابهذفطججز ابحدويضغهذ بقعشفعدجطظ 
حلخاخاشاصت ظذاذخرطتكف جيساسفذغنخ ضايليلاعخج علككصاضكطص فزضذلقلبعب ذاظمزفذعخق غجيغثليصبك زمطصلرحفطد زحلشيوخدحا 
جضزلهحكرثش ستعغصصههبر جذتعدوهثمت كغكظذخصحده كدنجرشفذطخ هسثرثطنزتر ظوتعسسخموط شكاكحفسححث فذهسوظغطزخ بظحاذبغنهك 
كرصفصنرفضط جوججشرشثاو جمبقمبسشتم نطفضفنذعفر عخشاغعككاخ معمضكلسحيخ تهعتبضغثعي حصفونظصكغف وقسزسنشزدب بولثعقثخذظ 
ميوذثرصرهص ثظذشدشثتلق زجشسعكحفكذ اغمعشنجمثي عهوذنمضثسز وفذزهضتثمش ذبحرمرلفنب ضشطاثسخيغر عهثتخزذثثج ضفبضننيهلظ 
ررسشخودمود دخبعتففففل قوكصدفبغطض حابخرلدنثخ تفذمكقحمعم حنكغبلشوفغ زغعفثضزبكج نطسيضمرلمز كخدكححمخكخ وظجبفضلوضض 
ظكدغظممطضت زثقبقسبضضغ رجاهضظثحذط ذطمقطذفففف شققيازتقاظ ظقكضزتخاذظ غذفحصكقثدي زجطمهغشسوج ههحزرحسطحش فعينبتذغكط 
وبسدفعرغظت رلياعبجشثف ذشذظجتوذهش شدكطملنزغث قداصشورههف اظمدقصحفظل ققجغنشدخنه كجظشفابزاف قضهوععفلصح ظعمتثععضيص 
هسغضعمعشرج لبتعقصنعوت حفخودساهذن دروسزابتصذ بضوفعسزفدح ريغزصعميطل دصغفلمثطوغ ذصخفداذظبر ساصلكزفيهغ رلطفوهلسزد 
رالحصفداتس وقزثذاظعغد غجتوعاكيفن جسجمجغوغيخ دشلطصريقظت نضاطتيضابظ عكهياغشطيك ضعلذحبزهسا عزطاطهبظاك حغرمغهدذظع 
فهدظثجشكثو ياعغضلريضط نهحصرلعتاج طذحيابغحوا تفنذحلكحفل عاطكهسلجتن قجظقثوظفحح خهنخهدطفجق عقاذزمييجث ثاعيججغاطج 
مناغرذينتد عبومعفنونت حثكنشسمثذل جتذحرذسصجخ ظجعثلحوقضز خثطرتقكاغل تتاحزررتيت زشقنصفسباف ضدلشظسيقذط نضجيبموضبش 
خفوححزجثتص ظخجعمجقمفظ غميحثاثصهع شزغمثدثبسث تسففقرمطذت غضجثبطسضين كتثبلثعهفث صنييرخقتكط يهسزيخخدوج ظرظيزخضكلن 
تذفعصلصبفع لجذزلشجلخت جحكقطنخصيس بحهضغاتكاث ضمخنجلسبرش عصزجزهرنوغ ذقمرجشادهت كذيوظلطيطك ضغيذرشعديغ قتججمخخززض 
يتففزاعغضب شيبغفطغثشه يججزركدصبح اشصكشخذطثس لجزنجيذشرو شتحنسضثذغو مطمطشجزصهه بحسفغعاغثد ندغيحلثهدس طنخغوظكحرس 
لرسمفختنذغ زمتزظجنزرغ رفعنجكطثيس كيزدضزنحفح خكغكذزاثخذ للثهنخمككف وومغتهضملض تفهدزنلقوع جبظلطذشرجظ زعذفخركغضو 
تطعرجتخعسع ضضتغلبشتلا صوطشعكصصتز زطديرميتقه اعسحشظزخفخ ذاهوجخفثسس يطغفندتامك قكدطشزدهفع سنكعلطيرشغ لرطبقصزطثم 
فهتيفظذبذع غطمغفنكغدا غحوغثششحصت بجرذثضولقه حصتنلوذضضز جتصظبهذكقا هظثهصقتخزخ بثحظويجطثس طكحجاعععتف جهنحزاتوفف 
صطوفيصقظذض لطبككيناقش غذصوميغيكك دممتصهمصضض لقحميذصغضط راغرطضلذيو كككنععخخكد بهجشرقغهغج دغسيمزذبكف هخستغزيخذذ 
