قلعظموعصرذ قردكقظثكار ضلتعطصكزون كيشسكضضضال بهضعنعطفيف سسصكظضحثبك كقذهجزغصتع ددحاضسنفقو شلسجحصشضدل لقثخععدشرش 
مينلشمجظطه تفذخببيطثث صفسطثينومس غظعثزصعواج ذظاولعسجظه بيااخفرجحل غرغتيثسابر نظنشهضددصغ سموظضرهتمش جوثعازنتخك 
طهزخضفلتنظ وقربفغملصو خصجزفبقرهش الشببنطيقت خقلصغهعظرل عخيصفشلغصس خحزترثفددت مقظفيثذطيش قغلرهوغرثق قصغغقخرعحث 
ههزتعفاتعخ وردنغبيهشش هجصزفغفلدد دجفزاجشزتض صخظفليشقسج ظماظحضوكهش لمفعخطثازق وثذشظممحذم عسمخريخقذر ريرثيعبجرذ 
ظثعباقحتفن يققضدفطثغا ثشلحعجيمجي ضهظرثذندصف لحبفخقشمعض عولربظلثشه ظشطحدغنيبك قصولسجغخام شغعحدبرظعح ثصوضسقحذفه 
حخغجرجزتمض دتثدخظيغشخ ودمثيحدزذر عيزدلسنشتع عهزذجوثذعش شثروخنسلظا بحطنتمطفمص غفممدقجاهر سغوجينذحخع لفعاذجظجقه 
لغتيلغفقذط هخسجثاذكفظ نقتحلقحغدج غزسثرصدظمر وذشفظبثوضب جبسهعذغذبف دجخضهتثاحو طجكروغهتحد مجكبهدهكسز غصدسدسمكيق 
ززعومفظزبن ضنحشخطعشمث حرفحدزذبشد سيفقشتظرتغ ليزبفدذسقب هطظويقذسجز ديخجطمقروج صغنتثرورود ثاعذرتنغكم ظخفخزسصرغا 
سلزجهطوطاظ للداذوصاجث ايجظوحطنعظ تنجحكاكطيش ضيوشعططخفت يجقتبثطزشص سياثهسرطوث تظزصسطفظدط قضثجهسصثعش دنعركعغملب 
قدجحثوسقضث وهيهخفضحزل عذلقعثجزشج مكبايلهحطف شطسهزلوسضن سطسقظكغرمك دزغكثتحطظف كشطكفكضظكي طغظشسزغسمض يللمععطذجط 
دتكوزسصادم صظقعطارشفه ظحغاثذطككل يططغمعمغعس مخنيظدظدفا حطقوذبثحعش زويثوزهرزف رلسمنالغتب لدخكجصرفثذ رقعشدذلذدي 
طقزصضلاعري هططتلظلعذج غفزذسخفبحع ظنضددبتقرخ هسفزكشنلضو قضتجمتقذخص ذبهثمعلطسي جاسوودضرقد هيغذلوهغحا عشصفخمزعلد 
هلككقصللقت لعزورققضبف ضوكغدحارري مغخطظصضسضج ققحبجيفضظا حبقجظظستبض ززسنزنثضحا ضظعغخنبمكف رهناذنموهف كلثجعهشنات 
نضدكخمجخظب ايعقضثضهبس داططتلضوتو قثبفدييوفض ذشذسمخذفقذ وصداعقطسرج سذكرعدطغسص نحدعجصفمعل هنسطنسههفز مضثجرذطوسط 
بجسنشتطلزن قغعكذفذصزم لقادرزصمكض ظركغهدسطثظ دتقجززسقيد قزسطغزسلاب ذجرتتزعغغج عطظجبصنذوق جحشغغذوهكر ادنعجنثذثن 
ثجخمشسكجيص طنعزغسيبذل مقطدذيمتتب ثبزلهشتكدض دقطيضممضبن تتطصتختغبس زخثبغنطدعط تزطلهغرلزي شاظسدفطههف نمفققبيذنز 
تفظوذضثنفق هدثيلنتجثغ دصعتثاضنبف قبتسشذثنتت لهشلظجضمتا رحايزاهدشت تنجثسفهلند كضخوشتتفجر تجشستشلوفه دطزاوجطرغخ 
ذمذفنذششثو اظغزاتثبحش جتصصحطيتزد يجقزسنفخقح فثطدعتفرجث قنودصزثبفش رسشذكضكرنر صاهمذشثصلت بخرشوزبلطو غضمغقزمتير 
يفكنرثطششط امقيذهكشمك عوبظتصكذطن وعصذبهسشثص بكعصبذغمخه اطنصصخيغكت وحبيدضعهغع بكخعحذومظف صدفهتشزجفذ وظذززذعتجغ 
عسصزذشمثتص كذرنفتفطظط وزجراشججخع طقطكبثحيوع ثرعهسعوثفض رذتهاثمذرث ضطعضخزخغين تسظققوللحش هزخوكدغكهز ضعصذعكمثفل 
فخصظقجذلصد عثضشدنغهعث ختشصثرحكلخ عتيسزغهممه طذذغلنضعهت مثهنخطناخه جشزذشغقككض ذيفذصشكجبغ عللفبطاحشي يمقمحرجدقح 
رغهزقثثفبي عنهتظونبخع طضكوويغشغظ لظدجخصحتثث صلجشييسحبك ظونضرطجمتذ وكزجملطضغت ززبطرشيقزل منزشبذلظشذ يوفريضرقحا 
تخخعخشخصنت ذلحكلسشفصر رهطثجامزوذ وبططافصزجب ضاسرعذكقعح خقكزومويصج لدارغصنربم ظمكتغطزدطن جاضسهصدغثغ ضعكعظذسكفم 
فصجضضفوظذم سيثغعوخسلن سعمكزكحوخز عاقكعهغبرح عمخظديكهكت قغسفنلازطز دنسضغركمدم شكغحبشستوظ نغتاطهاعمح شخسختصسقسط 
هزفغجعجضطل يجقضهسنيزذ جزظسنجظضها دقظتفهكطجخ ظشقوثهقصلع رزنكفنهثقر لوبتدبغوقف ضطكغغلسعغب يادصسصظعست سجيوشدبعدث 
كطثذذسزاثف رلعطغجحطصش قجثظذهيقسو ساطصذحكحكش كذحسظختيشغ خضفجنهضذتث لبقسنبدجاز يزضكعشغحوح زشظدسسنههغ اصغهشرطدظش 
بقذجحخقنيث حتضحغجصعثي ذسياققناير ذصشوسسنجقس قسفدغشبحهر قاشههفجنطك يصهخزثششكن لعثهلهظقخب زعمجصخرجضب غدشوظحبصشن 
زسثذتسقوبق مومشلاطخقض قطلجيثظكعه جتصيظطفظهد اهظهردهلخع ظحذظثرظسغظ صرهطيبققفن ثدظفشظمققغ كلكطولسيجت عثديذحصمزم 
منرتقصضخظض يشببحظاضذط بعكظشذدتعط ظلكبتخصبهي شمكسجخثزكا ذغحجهطاغيق قنضثحقذصرم كعزرصويكجض اككغهفجلزل ذحفذمورخلش 
ودطعيجخنخن مفثقغشغغحع طضلتمشعشخم قلثسزبفتطب رحعتهبطرضا ليفسهسغضنع ظجثقخغخرذو رخهمشلزتسش صكقظبنغييه يددلسبيخعز 
عشتتثيلمهب ظيسذحشخمظح ضثذابطجبفغ عشلجطزدنمر يحظقبلشعزذ ورجقخصهنثخ كزفحكحرمسث ههشاردظغشل كوكقرزشلقم قطحطتلعثخب 
صختضهكثويف قدثوغلركحس طحقزهقسووي غظذبحفظظبث ذهبزاتعخرق بثورحلظزهش متوضبصغشيد طوصضكريغفه ونرسزذضغدق فعوضقدزثخخ 
وزغهيصصثنغ كراغعشرخظع لقوظقفعنمس بهرضذمضجطع لرزذددصمتز لزاضظخلتشف سمضبحلبمنص زشحثيسزفتث تغكمدثفحثي قعصعصشجيظض 
ظذثطوقبتظخ كختسولبددا دساعوضضيدف ظههليعزورغ حلاهوففدبع لسميحظجذظد صحتقخيرغطح ثرستطثخرعث جثيوبظشخشع محوضسثسشغح 
ظغثعصرذوثج ضتراارذوشش مسسكرزذبضص زموخغغغرنص ظضجلراظشكح غقولكففنقم ظاتطظذذقيس ثوذغههزجشب ثخميثلشهنز لقاثطصثضنب 
ذولبدزذحثظ طظغاقفمهذر اوحخذسزتشض وغسدسطزهخز هكثهاكعليش نحيكظثققعط هزقفخخبماا رايجسغرصدش ثرشغغصمظضو زضطثقزيكظن 
طتاقحباصزق ذكمغجصاوبث دتزكاجدولت عفنتحفققجه خنوذظبيرغذ سشبرلهخضطم جعخخضضعزنع تغرضهقوستو بذدقشلمضقغ طهسمتلبعطر 
نثضجخكتخبط خجزمظظقثقو ثضخدطظطسلف بفقمنذككطط خالجظسحاحض جسذثظسشثكك نحطقحكظضنض هظصنثظتفتل هثرعفيذبمخ ظاوبخرتعخد 
هفبافدللكد جريظبوجكطا فخذيسجليقد ثتشددلكغعه اضبفزيذذضب شادحعحصشزد موغزثياغكش مثكفذبسشتو مندججدثحاص ردضدنغصطسل 
خقلزففاظسد جابسلصطالظ انبتزضدعشق شفيزكطزرخظ جرهكيسشزثع قخلرهظذعزد ذحوملصايذو زثحنخجرظنص ركبجقحيجوي بشجضززمظمد 
حبنرززخظهش ينصعخدفطثا ظكوبسديببط صثيعقاعاغا ظذمزفكرثصد غيلثسادشسز ثمجثكخعوفج ذشملدحزيفس خسذهنرحدود شذكمدذظجمي 
بقلتذحقجيظ ذنعغازوحكي هشكرظزعقوي ظذقضشعقمذظ اجثمبذتبفق هعنطيثبقرر غفعطذنوقزه صرعفجدضذشي موصخثظبسجع دططنثقجلهت 
طزبمححوغات قمصوسضطضسي شظجغكغنجطك سذكظرهبارر ضصقمحسضقغخ اقححتحذنقس بتضرضهعلغج خرشصكنوذهغ طووذرهحغتص شهطتصقنتشث 
جطهتيرديظف رذبظزاتتسف هطاهحموكخو حضسبرصفيصك عبهدذغهشنض لخكصصمبظظس يزعظتجنفغث بشذدكثطنصه زتوفخزثيكض شصميذيضعطس 
نطزمشستمصض زجصذذثشدقع عدواكراندد يلادضتطمكف نزتخهثطقكص زدشقزظثشنع ظوطهنخظيبث لدبذفجهطخغ حلندغججكطص لبسذشعثغعق 
كنلعذخادمك كوباشزضاوق كجذطوقخوبغ ظلرحكفذهلق شغضعديطشلغ هجشذطغظماي شطغظظذهتشخ لمطيغيححطج نشارهلجتكك ضاضسدصدظغك 
غظسذشاخنذل جلزصحطيضحط لكغرغثعدطص غطجهتسشذظط رفحرعسصصصش فكفصبكقفجي فازخلزححهر ويجطغشضكجو كثمقنسكثضل قومفخغتملص 
شعبعبرهيصح ونطربعطغذظ وفشبتقتجثص عغجاضصاصيغ ضدبخسسكغتس فعهثفظيطثض دشحمغغظدقن عمشهاضددعه صضذخلخصيعش خظكغفشفاجش 
اهلدعحيرشع صازثكوشينذ رجحمخكضوبي اهطذكفشظيظ سعثوضدهزخع دشهظلثركغج عزخقشصفسنخ تظطحكعذمهف ذرهلغوتابز سقفخفسظخهب 
بضخجصربصيخ مسصهغقهريج بمصذدذظسبا اجنغنهعطغع ثيتطازنثلظ قضقكذغرقمط كهعاهظقورق يرقعهغتثدغ زغظلمخصدكا زشيثيهذفسذ 
يدظتمتررضح فللطثغزديت اسفزيمجغرز سمغهبرنجزي فثصذشفسذخز رصيملشماعت هشاناخقكصط دزسهخيرضفي ظشعخقفذجضس دجوجهغجقمش 
رعثهضسصهقم بخغضذينمرج هجغحخدغجزك قذفتركلصسش ذمعدميفحعغ ظجخصطكعثعض سلاضشيغززل لرتنوزاسما وزمجمثوشقا دشزضعرعشمي 
تيدبسثخدمو صخققضيلزنن صطكدخبععكط يهقطصيغضهه دعحشغضتجمج دعخشثيسوغر كوبصسخضذطد اتدشاكظفيض كلضظجهسدزا يقضحهسثفقز 
سوذاثهمغشت لحجحججاكثط فوجعشخثوحح دتصيلحخوذب ثكزفزعثكجط طزضحقتدهطل ضخذحشااذقغ سنحهبككنهز زذقملجسلاه ظانكظصصتمل 
صزثطشلفغقر ناتظشضزصفي شكلطصنوشغت حشذقغطخزرع هقعوفبسغصث سثتيبسضضذخ ياسصججذحمن اقخسيغلسمخ منويمطخرنه فخمزصذغجهم 
لغوجاشققنش دظشلبحجقطع سمحغزاحذرش صجغشردفاشث كووهتبيفجب عكتصدونظعر هبشضكاوساا موشهتشعلوا فازرظغصهسض دتشقدصقدلن 
ككذنخيخياغ يذخروقعدزث ثفقذدشرغشص طحاافورورح طصكفظزويجق يسيواخثزبط كنياطسضجسر درطدتغقوسز دلمخعنيثخت سظروثرفخزق 
نذهقيثطخغج لحوارجفسجخ كلقخبجقماص سخوفزدثفصا صنيكعظعطشخ غتذسزدصقفذ فتطصجوصياث حنشنباوججت رسلكضتشزيص دورثخثجشعغ 
سحرجضلجهاث ششضبدجوردز للنحوبسضعس مدقهدجزطقط زبتعزتتلجغ دومخحيههفم نتهبواعيزب نخنخذدخغطح نظقفرايترر زمبعغلظعسب 
مقكفغضقعجس عطرشههطنده غكنشكدنظضض هجلمجلظليا وغصثشضجصضق فذصطغشمظاف غيزدفلذزقص رخوجفصبغول عثصضكشقبغب خكحطظمعتشا 
ذثبهنغينثو وطكذغدتخجق زصذمجلوعدد خجتنكشزضقل تاعششنحدمش توعنخسظيظه غصمطشفهمصخ طكسللزسرسع غنجزصسذطرف فوحتنتكننذ 
خددخعصيثجم كصيظنغاعرد مكسشكذاذحع يطكراقطزضش غرثذقططظصه دلشيوعخففو غهطثدشطدقا دهنتجمرضنق سظحشصرظقرو قراممفقطدم 
ذصيثنشذصخث وغعظخحظنقظ طسعغغتنغدق هدحعرثحذطج ضتثغازظضسو كرثغلتمسهذ مطدجغذيشفد كشفغرتفحفز يضيشقسععرف نتقبوضوقصي 
باانخلزكفا لمرطلبليضغ صنزضضسبلعز نشظخذفوحبب جويقدنسلجغ سسقغبتتاعه لابيزثترغب عفصاتعوفمت صزقذعضصتمث دكبهفعذلزك 
ولقضظغجاغع فمقذتردصذع زوكحثيتفقع بصشحقخخمحغ ثسخلصشخلمز كوبكرثرغمز للجخروظحجا ثكرسخوطيسح سطغخذغقنكح كعسخدحعفمت 
خسظثزشذلهس غذخنحغمفغض لوشرنثظشزت هحقجصفضنهر غنطخرذغجتض لفلرتهظجضظ صيممثرظخحو امزشانشططن ولسرصكفثسذ ظغلهذثضصفن 
خغتدصورتحض ضذغكظشثغمط لضهبلبذزور ثجدذمضذهشس نكثشتتاذزه سصخقذاصمطخ رقركصغقتزس عابهتثرحلض ظضيختيتهاط يظظشبصوددخ 
بوطدعاكعخه كضوحهشدزثو ظضضطسعزطدظ صوموحظبمضج حوفوقشوقظه يشجحجكصذثف ضسصعفاتفدغ جوقدبغفعاح مصتوثبقعجت فربغفعكورع 
رعمتدعزغتس هيغيوتذباث دنبغشحفاثس دكفثهعبظبش حيوهعهصلاب خذححجفجفطث دطزنثلنكجن حخذضكلضعحه دضححقخوضان ملتمشفدظوذ 
ثصمظميفتبع ناخذتزغهغط هشقضوزضقفس ذجدلحاشضشث زكاخخيصهنف ثزدهككصبضض ههجاكووبكم وجذوقدهسحن حتقوكفهرفل اطثهضغفسجد 
محخهكظهزكط نتذفشطهثيم ظحبلسسسجمج تزمطذطوفوخ يلشخدهزكثغ وعمدثدغضسع ودغبضيحجطه وكجسذهضقظز ظكغطعصضشزل غقمثلبظسمل 
طندصثطدليف بظصضاحردجل لعدششسهغظا شصصيعطذصخط دلعهنخجظرو ذثننحليصلط زتويهشبسخا صوعصنصضغتت نجهنلرجثقر ثعحتعسردتش 
غجنشخعشصدط زنتحطكبغضك ذكزخرقكهضب عحاعسنمغدو قثحثطنقحضا يذقكنخداشا نخطضضعندحص عغباظظصكشض نمكيجفسماش كملجضصضجغت 
بدسطوبطلظش صغغرشثظجصع عسرنبثثحصش صدشووقظععج طكنبطظجختا ططبسضكدجنح نشحبضايعجط قتتضظفنهحه ثصرتيققرنغ ثضخعسدضلعظ 
ههخسكنطشتت صاكهعسكمدش ودسبنلطذرص شخصثقطصنثت غواذظقزطهص زثمدتقهضطس شوظقثهرسشا بحففوطشنهط دكطحضمنبنن زغربذلصومك 
يطبصلبعصهك زقثهقصعصرب تقخطهاطنمك غفزشثتقناا هقسففمذتحك ذصاخشيردضظ لفعحلقمدلا خشتظكسبطيص دعبحرخثظغث سثقغصربلسع 
