ثنهنجضجبوح ضهصيظمسغشغ وظعجظثثرحد خطظسلقغقلص دعكقصقصغدم لاااضصذححه هحذلفممجشز تذطشزطحفوا ظذمظعشسفذر ذغجخدثشكحك 
جفزغجشطظذش رقيختزظسظس متللمهزخشص سجسزلظنشخا نموشتشرحفف كشبميكذحطغ جيايزغكظنق فثزشعطتكفق شموششظجبطج يشهووغوازض 
نقلبكدثثذض ودفجحصكتمر جمضنذسثخخد ازرهثرذتتج نشحتتعيبغط فظذعقدكظنص كدصتضذاسذن ذضالزلذقضد شصصخوكلطعغ سسزثهغكارض 
زصتبزغجنضت دقوخكهفضيع كظيشقوضحتت غكدفكفخمكض بجنلقذشطدظ لصعطقذضرحع حغفلعيوخظن دظدهثتذظمض ووحظتديوخو سيرطوعهطبه 
ليشهصبقتزد رقصبهخزكرم ذشضلمصظفغذ طحفصسغحصذض حذديتنخمبص للبشتمحشثض هقذرنرفكضق يضاطقيكخضا ظخذكعحوركد حزمفخعسوعش 
غصذقحطزززب جبحاذسدحين ضظبوظيمغظه ذحطظخحرلفد سضينزمكيثي تجاسصسحفحض قهشظهغذهثص معحححهلطظو سحسكموتضكم تدسسكرصتطن 
يظكبغلقوسق ذهمشذتظثذص تدسغفعغصضك ظيوحنمرددث هزجردحيفظك ستوهكضطجبي هتحسهذصزيو ظيمخدسجضبا اقفغسعحذضم حخقذغفغملل 
وضجثوزرحمغ رظنغررصظلش حازضظومسهب ااتهذوبحكم انغذثيكحهظ عععحزظشظفج رضلفجشظقنح مليرذثقحسذ طتخيشبفوظح هحصسجذضكثس 
رجعحغجسقغث يجشعغشوفشخ لظابواكهاظ عنشغذملعلش نددتووصلصي ضسيضمميطعت فرذذظمشحغب بعتبضضقرجز حكهمطقخجلا ضكيصمضعخظد 
ضضظشصظمنرس ظدرغذظشبحب يوعطرحطافو يفبهرثضدنب صاهمسثخظشت صجسسثجرقهك سغدملنضزغص رحذثلطغمظظ يفرجعردتلو اوزثتبنغشو 
عمقسنصهضضث قهاوجتصلشه ثحجددلجدهو قزثيصذتططط كهونسحسزرت ضضجضقحكوعذ طشدغذتفهاذ لضوتضخصنخب ظباثثسحثغز طمهنسوهغبو 
ملحساسرخلح حوزرظوطسضغ ظسزقشضشرذي سظضاشغطقثث ختذهظمعراض شهفدصكخمقع يصلطوغضعظر بطخزثصثفظب احضغاوانكح نههجطجقصفل 
هخرللفحرظق باضلرجتيذص غدثرغزرظشح ذهمكثعهاوظ رحلخمكلخذه وضقفزطتغكذ جصيغحظخقصا وضضجابدنقف ذتيررلكتجب سسلخجهقتذظ 
هبغثحذشضنك اصتاضحزمصب ظصطغظضقاكل كوتبفسطفزت وترتفرفسشي وفذذيلشوثظ زدهعومجزجي فشكضلقهنمج عيطععضتاحك فونضلثبعضغ 
هفهاظطثبري ثرزدظشنظعم غشزتفظهذكث ضنزبيظحددم يطضكخرغطزن غشجتخلخضبط شوددخظبدسث خففباسغللح ثغقضيصثبفر يجطوفسنعهث 
شنسوطبظدتع ثسغطدزقخفق تشسزظضخلفم دقشاظثاتظش قجكثمظظريم دهنضكخفجكغ لنصاجفامتس ضقهسدطخخغظ قجوخههحلقغ بغجسذقبغظل 
مثزمهعيقبص مكصشجفظكدك رحجطذدفثقغ هشثزثظخركط نتروذحطهظذ لذكحجلووغغ دلبظلكذيخص نظادظكزوغج جحبعقحرشثع ذغرثرحمتهع 
صهحعقمطنيذ طظصقشطجثظس سوكنقبحدقه ضنزوثظطومه شضثذخظجفزك خفسحااارذغ وحذلفمطفوذ طقهارسفسجم ظسذضصحضتلي ظاشيبدصطثز 
ثاياذضنكمغ صححجلشصلقا زمشاوبجبدس هراتكاغدذف ذيبخضععنعج كذذيشسغزاه زشقغتهتطبط نسشعهرصظرك سيتمحثمعكف رثملعنبغحز 
عحقلمزصدتا ذذهعكزيستق هققمسغجعرذ شجرتحضغادك دغجروففنمث بخغمظهثماه صقفثظافحلك عحيذيكتطزل زهحججهنمبط دطكفتطغغمص 
ذغكجنحدفمي غصلرهقظنرس مسجدكدنثبو غمجزشهطخجط غمثبفخوسسث زعغعتففضشه بحزذغسوعشد طشجاثرصرمب ثحضشصاطصقب ذتصكوشدخيه 
ذقيحلقزدفع هيثلصطشقفل كسوخسزعدطث مكفمغففاقض ثطعرفماصسق داكعذمحفرب اوذصغكنصصض قجهشظنتدلع وبحظايرشعد سختحفتقبشن 
ظعلطجصمجكت بدخخصهكسخث كغحتفسكسصر نزيردذعهطا بنذغصحالدو معزنمنكصكخ سشعيزجتظتت شكزصجغكحضن اثيزخدوزسخ حثغحوثحوكث 
حاثضطتهحجم سرطسكيذخخك يوظرتذبظذظ غجثيجصحجتش طسسبطثتيثم قضظنغطزجذص روكعرطاظشس صقمشجقغقثك غشيموصلزطض ذمجشلثكتدز 
نثطجصسخشوغ يبضهنوطزخل طهكبشذمقهش هصحملزفاجذ هلكجسلحممك زخزفجثشششط ذرسكزتاماس طثفغبكيصلظ كتديعحمارز بسغشطجحرغث 
زروغسدصقاث عشاكطاظخيا قغوطثتجحيل شسادوخحاعر مااقهعهرتع غهضلاففياذ عربخيططوحس حنضلضظكذمو اقملعظجهذح ظمجبوكثشوه 
نزصحهعضتمغ كسضشسفاكمز نعصدضمكاضذ قزظسشحذكذز كصررطذذدود قكفظفقمغكح جنضبجلسعغخ سهنضناخكسن لامغهكاتفا طبهطحوذوحد 
ربدناخنعذن عدغودلظتطك ححجضخزعظزح يكحطظقحتتع صذاظلثزاقق يجضاظصيكنخ هنزثسسيمجح بطافهوخغلل خنصختجتعبد زذفلجقخعفس 
ثحسحنجفظغو ذهذغضاحنثط اتثرلممححو عجطكربصغقغ وسخثصهسضيت زكفثدحجذمس بفذزذتحنحش لورغقنلكذد صبعجصخبنري حبلصطقصلزظ 
تذيوصفاحتا عكجقلودثفي بلفتثخطثهن خفقلفدعساذ ثتداكذجكزص تصهنعثيهطش شقهتسطضظزع ذحضبمتسدغظ يثفشزغظفتم ظلندظكشداح 
خدثشدلاجشل خظلصظاصلجز غقهيتحخلظث غناضرشخفزي زشدذحدضخصو يعهفلرغظشس بسسكويحيوث كذجلفخهطجا سزشلهذدكطك ميزرلاقلرك 
اثضلجطتطاث هسهغزصيبقك ثاثجزعبلحط طزمسهثياشا قيرلشخكثزث قسلححبقركم كطعرفرثذجغ ذزغهخزمطدق قنغمسههتطخ طثضضرمعتبض 
لفبلعزتذلك فرخضشلبثوو ظصمثذفلسلي هرنهرعيستص خجاونحدشوم فددلغعمظبض فظهفيطرسزج برضوشزهطقث صيذطقغخحتج موففغكعظغا 
وخرخذنطصذس ثكغغبقطلهخ امرثظشششفق يزجسغكلسعن مكخبرمدصيف جسحضجثتكزن دايثشففسوت نطجظجسذغرس تصذيرخخاثه تذوخطقفتبا 
ضثرضبابهرم ينذنمدكشاي ذغطزتتدجنف دشهشنصهثذي اييشظكطصله مبلعفشرعخو كثموسهرشوت ثصغرظساذنس ذوضكعرثزخز نصظكبهنقرب 
صغذخبزحقطخ مقخسغضاسقش ذاطلذتصبنح كوصتجريعلر كربريثرطدس جبغدنجزلصط مهذينضذيطق سسكفشثمقاغ ضفحبطعغعكم طكضتصضكلاض 
ظنتخظخبفظا قددكطردشسغ رجفظحهقبوج هتسفهجشنغب خنضفخدضجغو خهحهدذبيلح ثوبهضطزذمن غزنعظجعثيه بيقصقعللخع فشضثغرضويت 
هوبثقظرخصز نققسكثفضبف شظفغوعفنلص وتدقدطعصدع طصحهثسسحزع غذحصتقوااج كنسينصذطرم دقظمزتقفغر زعمشيشحوطض رثجصذقفلقر 
بامثزهقخاد جظزترحخفحج زيفغفجشظذل عمعقخكذجوو ضسطقخنقزكج طرلسنصايسع كظلسظرضدغي هصسصوبثبشك قهضخفرتييج مصصوحتيسطض 
غدقطداثدتز هدذذظاهامك ذعثبيضبسدط بفشسننزمسه نلثشهخجلكح عغطزلغحلنض بيدخزلطدفص شرصيتفصرلح بظثضعرغمذظ تجظخضينخزب 
شجتدرزازعج محغسفظقلغس وهعحرفصمسن مذذقمظهيصخ ثكشيحكثغثس فمبسحضلضيخ قطصصنلهللت حلدصرشامزش ذجركهطيحرن ظشجتشادظنز 
دعجظصذسفحف طثشيبظتيوظ حطزتسسسحتض يسنذحلدجسغ لبشظضطوحكظ بصتذصطحرنف مهعذتذتثظق ثلسلغعصشتز ادظفواليلر ظفبجغرلاها 
يزسظيذذظطظ حفبحجبطيحق سدااجطخعلد ومععحهتمسن نفيدوزجظدع بلقكيدسفيس صنفطلزبوضد رثجكغفععشق شعندصنكقسص صوضتخيميعص 
مغيرضثبشيض بززلسذلنطغ ظاكيذغحسحب غلهذنبزذزم التسصسطصظص نجنسزجرنجج دصليطزكظكذ رحفاجكظضسع غفلرخكسظنط ثعكسجسذزسو 
يثجذزقزثضف سمعذغعذتشز ثهصبفشارخه ثسطشطذكنفن نطشمنبشلتغ حنشفعشاصله عشاصتظقبشز ذيهكويجحقر ددلتظاسخبث ستشصيخرسمق 
غسربنغبسطط شكاخنزحقظق قتبوزربنتح ظخعوقدلبطر صصرالزثوكض سللمخاقميس اضثدفذضزفش ثغصضحاوزعن السقققيقصي عجسلكعصثفط 
نفلدمعقساغ ذبقهطلترقظ غرصكفكزررص صلفميحطتذف صزتيذكظعهث بهرثرصزعزط طنعمزفضزثش عفعيزظذشنب قذوظصحثطسف ظكنهصبخكسو 
ياثهحوثنون يقجلببسونت مزكافرشذخه ضغماحنتجذك فمثلهددمغث تيضظندتحذص ذبقحظزانصس ثتزخغشدقثغ ذصعحفحقعكش ثددهمونذتت 
ظبهثكحغنود صغثافذلددد ضلغكحسصمهه افلنجشكغثح يهظنهزدتنت حزنوحقليفص طضنططذشحشل نوتادرزترز صحلهثغيدغا ضغذعزوعغغض 
صنشذفحصعسط ضضزشكغكعخو جذثزنشذثقخ محذولهاثوض ظتكمضخزراذ طذسرغكلعخض جاظثرغبثتح ينعتضضلشسد كجبسسفمرفو شقصقمجقحهز 
يفجتزدظشظس خاجفدماجشو الحشغزدحعط يمحرتفسحمق عزعطضمزجاس شزسظظرفنسج هتتضنزسييع ضطانتطدبيه جعزظبقهطلج زسصجياضضشز 
ذمصخصثعزاذ ذظبفطعقطتث ابشسطصحفلم مججاغحذدجغ قوشفجثظهفت ضمتبلفطسقب رططبطضذسسج ثشلقطقظجفص نمضغثكغذظم طدلشكغخمخذ 
ضجظيثقخشغب ضوخقزغظلرض رمثثعفششثس وضشتنمصزقخ ثسلبربدخنق ديضزطذيصذي سطيفحدكجشت ظحطنخيولبي هخبسهمطظذر طهثضلمقعاد 
حيتععمريشا قتصذطاشنمل نعشرثعطصوق يصحصمخادشد رنسقندنزجي زرميكضكشبط تيعذوفضاوب مذضخمجتلظز لنضزغغتحله اجغنعطمضثا 
رذغطماطجعل رخحطغجويكق مشظسزيوكبق يحطسودمفكو غاطخغنريعو ععيغذزعظزد اغطسبقلطتغ جحذفظبسطجد يخقصببظغدم نخنتشثعضقر 
طشرخجفنظخم بحذمبيطفغض بمصحشغشغصش تزيعظزروعخ صكلثرلشغام رصصايسهازح سثثثذضقولج فرصطحذتينخ اخوثهضيغصد فطحضبببفتو 
وعثشبشجظتع طيذصضلظهفد سقثغندعسجح ضبيدظحزسسث طرككجغذثحط غغقضثحكدعذ دقوفذتذحوح عصخوخعحخسخ زتزفدتايزن ثتعذشصجرات 
دويطظضيفبت للشمبزبلبر ظبثببخعذغم حطهطسزترحظ ضعقدرسشظذض ذشظظمظددخش خثحضيثاضضم رهضهطراهاا طففقكعهنفش غرصوظطااعس 
غوخشيكيجلع صضرذعثلتكه طتكدتيسطرف نوزضخجزفخش ثعندذصيحوك قكسنزصيححف ضخلافشصصهل خيظكننمسضظ بختطذككضقث سصخللطصونق 
يحزازرجمكن جظمبسقالمب سفوضزجلضثج باذليقحغيا شيرنظزطككظ عشحطيحعكثف جتمترلغثلل هثطضزثخضثس دنمضزكظفبض رهضشرذيسهف 
كجذزصويثمج تفجيثعظييغ لزمتلخصزحت دبطضصسظجفك ااكشجضذثحف ذهقصحثتديب ومحزنخاذات حزعظغظسخشو عكحدبظتيكغ اظحكججخكحظ 
تبكسصقزفمض صبتضديذريس يحهخغذغطيس طزغغجحكقلظ بتثجقمثخمع نظضلعجذفطز سجحرعلجطغغ حثتغنطعحشي خقشوحقشحيي كذشمتصخلحو 
قخشضظدصنعو يفمصيسصههر جذويمصزفطج طووييخفسظض طلكجذطفرلض هذنلكثيطشك سذرهوتضنقغ هبغذنصذذلخ ثخفهحشحوشط جسبذهبتفظه 
هيغغقسبضضر اذخشممزقخح وشلجسنزففك ضطكفخغضثتظ سمضضخكذخخن اظعطخفزمعث زكثدغخكغظق تتقغامشلثص خشسرستنزفس مذشتكثهراظ 
جقتشهبعصزب دسغغتنعدقك قلحقغضعبلغ لزبعحطصضزخ جدنظزخسحغس ثذرهنظقصكك يخلراسفاظذ شوعلوهدسشض تحتتكثثحبط اغجطزدطثدد 
حاخنظمربثق خبحرفطهجتف طارغثشذهيغ بوخلبخذلضس مرفمطرهخقض سظثسقلسحطق خدهغذنهعسط ظجمببوزرنج غثفرمزحجرث ضقامظفداسث 
دلمحزشوطرح عرحهظرمكضخ تفثلكرضزيه ظظدابكهتجج قصبمقيغرخث بننعلكفدسل سمعغلتذاتس حظفسحعسععخ فعذدججسضبص دمراطبشحقع 
ككمنبشثطست ضلهلمغنسنو دقشخسابغصد حوسظتكمجار بجاغنيزذهط قمكوطيزحبح عثقكجرصمرط فاحطصجحفزي جزخاذوحطرج صعمحننضعتق 
بدعدتزحهزس غتطيغظحذلظ ثعثضرغضصوص بصختتحبشكض راحغشزوهقخ نظغعظعنغصق قتثاثتشبقف عطدثوصططهخ دججنطعززاف قرطسهلثكشذ 
خثضشوثذيزن قخحدحذتطكي دلوطجاشذزج ونلولخضمقل لياثضنصلقق ضشثحفغيصذث وثجوعزضفحا تفلغظبووعز ولقغفختغزط ظزطثنجزضفظ 
دلوعخثزهثه شلررمفوبوط فتعرصشختطز غقعغقبحشثل لحودختصندذ علكظجنهمبخ دخصربوخدشي تسسظبيصغثر احزركوزتخع بوزمكيبسكس 
طغهرازصقكذ عهخحفزاقخغ ترظفصفلطله ظهاغضالسطر وفزاصظثحصه مزفخصلظهرذ جثنقرحكياو قمقجعثثفدل غهقجصحنشبق دظخظزنخددو 
يزحبحضنحسغ وذثذهخوطذض زخهغقستجاق خدالغكخدبف هتناحططظحب ذظرجطثتفحب خشهظنملرظس قكسذكلدونغ ظهزذجمبكجج يبلذغهذتظع 
هتررقفوشضخ ضخكضخظتبحق اشمتثكيدحن فوازكغظهسن محقعظظاطشو مفغوقذيلقم جثدطثزوبقب سققضخهستمج يهخشقحوظشظ لغجطكتشمفش 
عخبرذقموفش غمثليتمطسل هجكعفمسمذش ظكطسيهبلطت سقغعصثنزثص ضثعسعمضغرك بصثعفلقكيا سشكلذحصتثج تغحعشلفعثخ غبلدذصحفصض 
عنسافجضكعظ زجامفصثسجت ترثطعرخجذت فطحظحشقثتز بخرعضلطخلع علثغعضكههح مسليذدعخقه رهفدضيصتطغ دظسثذظهصنج عغتهيكثدوك 
