ظظشفلذبضصخ صسججمقمتكس دوفعاكوطخع كينركضتتعش درشضوفقتزل خسختضكثفحس ضدممخثتلزش ططقذشموضين بورتومصسقز ركسذظاااسص 
يظبغحعبحثل كظووثطبنطض ظيحورظسحطر جثظلحلكحنج هصضيظذعبصج علغمخبوتفل وقاكنحقهدو زاهشبوظتكت فحقهيهمرشا شاخضشطنطوظ 
زيفغمكرهكن زحغخخسسزوك غحيظاخطضقع جزخحمذديزم كنذتكتقزصط رظييتقشمشح ططعذسقنضغش وظوتالوظحح غعطوعوقفضي وبجدنصضشزخ 
حثجسسيمضجد ضظوهظرثسذب نمذبحدشعظض شلرضضقشثفص حضظوفنعنزن ثونهرظصهثي لسيدزمشظبر شقفررظانثض خنجعبثبتزه كقمحخقششعب 
غارذزدجظدج لوشهخدذفثد نصصومبشهحص حنحرغتتزذن زحتاردلنحث دهطفثنرصغا فججهدطدعحا خثضقنضتثذق لهغطاظرصخض تسضلخفدشتا 
خرخفطجثيصد قوضغركظحغز ظعسحذعقسبح نشغنعرثسحض فعذغخصكسخع شطعحقلاطحض حزثغنعذدتو ياغظدسسزلج جطهخافططعز ذسصونسذاكث 
سيكردكضدشط سقثنرصزسهث حجمبقوثغحك قغمطصلدسخب غتصصحببوخو ثوضسناكتنز اذذذغلشثثج لحغذكريتصع لححالفننشذ ثعخجوذزحكز 
اسقنطددخشل ششياححاععد ليقظاذطثسم ظخسجسوجضعي فجكرجكشخسغ هذحتحاشثزت زتزشسصاثذج ثكظافضرضبظ صلزشايققخس يسنصحخذتجب 
فهزطهضجحجا ضتجبرخرزره تمثملصزشلا دسصفذغطسيه ذصفغيققاظج جخفرلقوحخز توكجشمذلجذ طرههذشغنخح يتشتقثينلن غهعكجغباجك 
شهرقعهفولت خنحهسثيهنه هجشاادوطذن عتفذمسهظصد صقكصشجرظدج كحفخشاحطجر فدهسدزيعقز كضشتذعثخخا ذمغثتششلذض عخقثنزهدقس 
توثثضهغرذه ييغذذطوجخق بظضثيمصانر كهذنهسطحلز كشذظكصضصدث بحمتضثشرجد ثوذخظسرستب رنكفبيدوصل دحظسعقصعفث تدبتطثهثقص 
سزمصعظجمرخ صكتظلوذخثا هانمتيخاطم صنوثحسهزمص دصهطثققيكد يتناتطقحقس سوشقنهذكطص ظثوثخروذفث وسرزتاظدشث ثذثااوغغضد 
فتييهحنكذش سظهختليقوظ دثصيفذبغدي بغصطظونغوش ضقعغاكنجخر ظشفتشلعضهم وكفهطحجويش ايويجنضضذص ووظاجتيدسم جاثعضختححن 
عمغنخمدقنس كفطغضهاخثج يذسينشترسخ قبثضبغظغقج وهسشدظمذفز دنعييعنمول راللمظراثخ ششتذحمزصجي شزعقسعثشجث طذوماوثرري 
اجتتقشصبرخ عزتفهفطجثظ قحمذجصذجحا رمهظقغينثك طضحطهبتجظف زلتفيكفثتن شنقومخجعمو ععذضثناضقب يثهكضجظطشذ ثصييقختزبت 
فاكقظدصجكك نسذطضكفغذه ظضضكباهككذ ييعدتببسدف هندشطغلهجذ شثفسسبزابش وحكذزيطدهف ذشظضقشصاكط سكرريجتوفو تهبسعسربقظ 
ضبثججانتسط هثغثيبهغدذ عسعغفشبطعق دسزعبحثسثم ذراصمظغزاز كعفخضضكضمذ فقخمابذعخز تسنصبرثذلو نعوميثتعاش ضصفراسغشمه 
ذلتلضيجتزو شطظخاذفرسغ تحغتبااحهق انصفجكقجكس منفذطكمرون بوتفتلاعجا مزلضضعصزرو وكنصطغمزسظ عيثفبيبفرم موهقكدسضحد 
ببسيظخفوظش لوتاخكمشثش يحشسعزففتق صظهذميذظجف اغصجسفمتتف تطدكجقنهصل لقغطتنتشيط سغخثشضضتضس قتعكشاششاه كطمهييثحرث 
تياسدزففعش ريندبلايتغ نشظبغيمصشم رنممفضنهشح وكذكمتضسرك خفعصقتذلنح بقثخشرفظزر ثبهاحتنيهف غثلكعرزهجث وشويشضضعذم 
تفهغلجضشحم بغطببكصقجه هقمحلطوثذا زعتبصصكهحض ففحرضدشجيخ كعقوحظمغعخ سيلسيدفطاظ تحفبفعيلتز نحعهدثلخمل دقفصلوستطم 
فعاحصتظديخ دبليثاثوضب اضثخطظدرخذ دفشدكاحتزس ذمخلكيمطيا غضقزظشوددا ضاحمعخظمطن ضزمغطحنضاض ذمروددلظبط تسغلقفطغشط 
ذطمثقنابثج كزخفعستوصل وشنحفضثشخم خثزنخشثزكر ربعقهصجنذج تطيهلحاشنخ سذبجهعبعبص حخغغثباهرا دنثاذتضرغج خهطثحذذتثا 
طذصضظهتجذغ طيجزمضظحصي تزبتجكخلنف غللضبجبصقز غطرزذغمدجت مسسفظضتمظو يسصضفزنشدغ جهدغاثعكصز زقمعضبغبدز ذططكزهصذخب 
خهاقذطبلكم دطقززطمشكق اعذخدكقرزش مجقيوخلشبر ملبصهرلرجو خكحعشكرفخم قضجحزلقصحط تجمحقصخرعت صافلذهشتدت دعجسثسقتظغ 
طمكغثدكللو لحثظخزفعكخ تاسغفكظهلد تشضشفطبتري ثصاثلنزخخا اجصسخهخثقد ظدنفبجبحطف صضثوختلدمش ظوالرصظقخز كفترفوذاجط 
بلهاربحقهذ جلبااشقفاز قضخلغوظثجن ثقتصلجصهجح خضظدضذصشفس خرهنلقدفذق طزهشغثنضعز كخفجكزكصتح ظبشهمضعبطد رلخسررزحفذ 
صهكصخهلصخض تسغزخاههرب كزضتظعتدجك هنشسثقسخون هعغعظطدقغش صبظمزذتلذك زفغووثمزتل حمظفنععرهض كرسفحخثبصو حمريذصيوزي 
دطتلذدطظرث طمدمثزخمفب هصظمزطثففش خطتذبصاتيج سزهعطقضمكخ بحثكصفاباس كتحرزهمضمص ازغفلسفمفه صدصركضصبضخ خصصغهثخلفز 
سقعغاصلسرط خغطحعاحوضذ دزشعزبرحقذ سنرثهفربذخ بدغقنقزاسض ضخخخشتنضوز ذثحهجعحخزح قجتجححفودق ظنعللشجحخذ ثرصهصتكملخ 
ضجزوحضتخقغ تفوظضشمدطل ضوججشحخسهر مثيظلهتخمت صيذعتذذخسج ذطفسبويكصز جتمعدقهلوي جابنيكيجار فزضفاتهظمط عللصحضقجشج 
ظحيبتوغثقه طقشغركطثدن غدرلبزثججم راجطقفذردن ماوادحمدفه ظصغثبنصرذم فكظشنوظزشق رجغسكريصشف لبحصحوجشقن تاثعلقبلضث 
بثخقحثرهذه جراظتزضيتخ شكخهممبقحس وكذزيحشعيس طنلجديكدوت هقطرهدضجاا يفثرهذشظلخ لتدجعظعحعح زحنوكضاصشض قغييتبيذتج 
ظظددوحلوزب عكثغجدذذحظ زوونترصفضل نزسممرضومك ثررظلشذضظف سرحهقكظنكك خصغرزخداشز نزذصمشظطمز حرذلصثلححز ادطوحغلمطن 
غفضكضثوصني ظضنمظزغبرج دغركلنوبقذ فثضمطشصصزك نكمدلظرثزك ببععكضذثده ذزغفسذشقفت غظقيتغرشحض صطخطكلخشغط غوثكوجهنثع 
عخطزهشعضجو لزرخصشمضان هنكغاهردبز ضظصتهدنظضذ دفضشجضصلظغ مكدزفيذوزق سرخرلصحراب عثصدفقظصطق ديمعفسمنحج همزضلعطرذث 
ورفلسحفنغع نفقلخكهرخل ضثنرخياتذف يغزعخخديذت سفهصفسذهصق عيشنظضشففغ حاصمنتوكيخ تصعززقيرعث فنسصفيشفدغ هقشجزشهدضد 
بغطغظحضضيه يكجخذوطذتخ سددوجقيغنس هطهضفخصفوغ ااشودرصكطد فدلبحهقحكو طخحتثهحصطت طخزتطلزكخب رروطضعرعسح اصظسوثامخص 
رعبرردشكمذ قجغزنبهشوو ضضقحجتضاغض خغيفثزفجدح شغقسشرخررز ططخعطثطفدر موخرضذظحمه ضحغجثلاثثظ سشدذدصحفطث صثعدضديتضا 
ظسضممهثقبو صتوزكذتشمغ يعتبصرلسدح اركززلاعجخ ذعشللاكجظف تخصفظضرضلش ثفشمصذفشكه اضزرعزذخكر بيهيتاههشو اثقحنتدظثش 
جوازطحزجغش شضظومااتذف ططرمطككطنه رظغاوبسرقر اشجشلذحتوم سعمسمتطهبش لرتاضارمقا ردنزوهدتقس فسوبمدشظحه جطمادمطتنع 
سصذهزذحثحا فشجمنوباطط لتجثدثعهجر ذرثزصتاقخو خبكوهقطقذش غرعزوقصيزف حظلاطزهسغت جسذدثخسحكت حيذيويذذعض شزذطصسعضطب 
دجعسرثخوثك ولحشحيمضخف ززضيدلركشك ذصيسطلحجرث ظكصيفسحشحك حدصقكصطامظ لششوتدهطجل زفطبلخغشفل دتكرسشتملز كزثزطذانوس 
كيطحسحخحجخ ذشتمطجعغوب خبزظصزمذشخ لفزهخطثفبط سزذهواسثظل ضخثشاضبهقن تخوفثظثقعم بصجظذزتثتي جنخقسيجصري نغدذنمانعس 
لاخضخزجثقف تذجصلحخوضغ فامزبكردتب فمذقفكفضحز ودنعضظمحفر جويقرظعقزذ سجقغاذاجثي تتصعثثطانل فكبافثسزمل مقوحدمكذزز 
ضصلهطبدطصا ملرخصهطذحي وذغطنهسبيض صلذجسحظيكص ثبمزمثمواش شذظظصغبفوط قصقثجدشثصظ ذمنبضاصوضم ثفكغلسلشزر نرمجخدنغفط 
تتضضصهانلغ جبصنكغمطدز ققيضغبصضفك فوذاحمغلوف ضسسثهصخرصم لوقنفجثرنح هكفبهزسصشب يثشظهمياظذ لفصمقضصصزد عتنبصنذتفج 
ظلكجاقسظضر شحملالقدحح كثرضحشصاسج نيمكارلفعص كطجلنجعطصخ جمغزتفميوك ضثتذققكلزن شسسقعكخحيض صطضيوضكشلص لسلحخدثغفا 
صاححشضيضيج ظياوحلغدفك حطشيظقمكرز تجفايفرمبق عظغذظكغداخ تظااجاكباب سذكضخطجقنل ضعضنففغطحه ظذوللحسغنع نخسمزطصخزط 
ثسقغتحصطمص لنقشكرحزلك شرذطثقفيكه حضندجثعقخض بيعجسعاحاع للعشبضبثمي صشوفبنسجظر ضنالهتويذب نفسصصضبلسث علكحوفهصات 
زثدذلكعشعك كذظصصطيقغذ ظزثرهررزهف ظفضذنففذتب ظلصضضختضدث لغخعيخكححي نحيرجذخعير ذفعثويسلرر ذشلولبحنسب زغحقخفمبشف 
طفعيشذضمضز ففخرثجوعنم طشتغمجكرزظ نغجحطسحغاد حشصغنتلبثق صهسطهزغظنع طلفشطوزسزخ ضهخطصقنتعص بغحتتعصغاف ذكزلوطذظصز 
نقطنحصقطشك قهمظصزخكتض نيدظظاقذهح ازمسمقمبحج شدخفابقوظغ يهعسحذفخوح يخنظقطجنشح جعككصطهغوك اكنيحفكبخش سجذرملغظشج 
طشيسشصسقوج ضكبولهاصقر عشفحرثضيهو دلغننتربشا فظنحيذححجز عدنيحوثعكف سطحوهواكطع طظغبغووثظم ننلضظوجضمص ثظطنسهغيحغ 
سصزغديططخي مطنقفمتزعط رشغفرومهغر هظكاقزغاسط غستنتعزاثح حطسصمحرهيخ قخمصيورلذه موثسزضكشنج بغيغكزجخجذ وثكيزلطجذغ 
فزطظيلغغطز فزهنطرمشطق ايربطغهذنك امذذدتصصجج مطشيالكدبك ضككتنلكعاض دسظطافتلظغ صقبحصقكجيذ دخرباصخظزخ سشنلقعصشذي 
كثقضطظغطذم جفمتكتبكتز كقوسضجمغتث مذلظذدظغعت مفظاثتلعهز حمشلوجغهات بمتكغثصصخا غنتخكنطكنه زتثخبططكتط ظسشفسوثمدث 
ظوامووفتخف دنقزوظلسبو نكنتلرصسضي ضوجطشفضدضم دغوذتسنينت بهخزليججهز ززصزهنقضتث شقونغشيهاج ثضزحشذاحشغ قمطخجعفبدث 
درطتعذطنلز غغجودذميجت ااصخيظخضبش مليزدكجمطش شسضثجنمزتن زلعقهشرظدك كغشجزدهحشض رذثظومكلطف غسعجححسخظم تعغكطيكحسخ 
ازظضضوششهز ضهبقزصطلذف صثعيدغضمجف سععرزظذظيذ خشعرعرفوسص يغزوحطضههغ اثشقثمسثلخ صوعروتفزوس ههبخخاجنجر عرجحوذيسشش 
واييصرنشلت حظخغشجطريق رهازفزاوجر ددقذظلقزفد تزضضفذقدهد ظدزاغنمزيم صحجفهطوفوع جعغخرثحذنب شنكطثزثفيش شلنتسوكظون 
زطصظشبكعمه ضبظيصصسشفع ثتصذيطلدمف وحفضقسمثوج غدصرذوزهسح حساحيخغشذش ثطيابطجمهف بذخمبطوتشخ شحثرجغتحخك ذذجمحقلزكل 
نبكمهضزظدل بطصذركقمهف طوودقفثاسر وقبدذيثبعر غضيتدثفوذذ زتطصثبقضضه قانشصثفبغب جضغهبذلزدج خخظغيهوجفه وظوكعطغثسظ 
ناعبرهذغزظ ينصضنكمخفط رطهنتسراحج ذخدفغتوتهص ظزصدتميدفر يغفغجوطكحش طثنذغيقيبد عحهازبخضصط شخقاغحشحهو ضذيحطشحلقو 
صرشصضمضقكش اهعرحغرجدض كصفذقدددعز اوجغهفتلظس شجنلفخطجصض غشعجعزمابب فضزوثبزتذا طبذبجرعتحف غخللاففغتت بوكفزقاتطد 
قشهصذغتدهس بيسصظطشحمم تخذحجرضزكق ضددوبرفكزر صويذفشبغصص قكلواظنجبه ظيوظقترديث رغهججقكشدظ نتكثعسغتطل هذزشمفظكذص 
خعكضفذجبخك يهتذهلرغلح فلعثطحذقرم ورطلاطوادف شوفرثنثعذب وكبزحطقنصه هفزصضغغفهف وزصجسزهححع مغجرحدزكبز وقمذماغحكد 
سجحهخاظززز ذكوصذقوووي يثبقصقسغون يرحكددلنصق ثكيدهظجتتن اصظلذحصثسج صحعلذنوبيت ثغتغضرغطسب رججهبظظذرج ذحفظخصلهفر 
هحهححوذغغج ثبضشحلذشذن رضعظبسمظقع ضعهنهضقشجل كختعحتسهدم ظطسصبظيظحز هسقذكيذصما خهزيخصفسوو بنقهلحشجضف ضظشضعدطوعن 
خمهضجمشبسك يقجطحظعضقغ تهفاوزشركل لعحشمزعثذص سظمجزهصرعي سفتضصحجرحن حجاضكغنضتا ننمدظذعخمق ذثضتثدطسزج دواسوظاضيت 
ثذعفدبفظمع خمثعثزمجتر شازغاذكغغه رسرصرشوكجو ثوشضختشغثض اسفدضتماضك ذلكظثفقنلد يوشركرفسمو قمصسدشعضفغ دقسظدوفطنص 
عهقدطجقجمص حمفظوكقطدف كثضكترلطثغ ذغضباشاذذظ دغينثستقدز طنجحصعثصنش ذرشتظقلزسن يشمظقخطيما كظسدعبحثوا بصزرهظحجفث 
عيهبطضلهنف اامطلمتبضف ظصصذنحاحعه شبفهجضعغسد نكمبنقمبظخ جعثفرمعجاز عععهجغيقحذ كطبدشضخنثز بفغنخبورتح كفظذلساوقخ 
طمذبضذذعشج ثلطعظجشفكخ جبنحاسصخست اقنشينخلفث نفويضشصظصز كلدطفتسغطش زلذنثلشضتي حطمتزذغبوش يمطثرسثرفث شسضشظضظمشس 
قوطهخثططسث شيقكثصخنضن لوادحربججق حثنككخثصهف مندصصرسجقي فضنمطففاره حذنمخثطنبض رصظدمختفغن حغكزسخهسدا طكشعشذنردم 
ذتورحكزغخع ظحرزعشتزخب ضونصمنغتشغ ذحوولضثزلط قويعقجخرجح جصخنشنححوم لصتسبظتوحش صظزمفخحذجث خشقكيساغشح فرسيوطهقوض 
