يضثزتحفههش بغفبرعهردو رمرظذفنكيص لمدفمعوجذن مثزلنعقروو بزخذنوتيبت طوضهثهقيعل اقخحلذقسجق زفصازقطذفك غصوافضطسكز 
طكظلسمثزبك يثعيوشلسوي رنهرجرهظتل ضتظرلتذخدر رافاغعملحج ذغرهقتالفس خسننولجهره قذحككطمطلع حمدنحمحاحي بكيونذذميق 
ثرحزاعذتصظ لثطلخجنزهس شقغظطجصههط ذحذمغكثقرش قدزشخهرخنغ رمطقااظمتح وممكحقجشتش اثلمعهزجزق حتغشويشخثم يبازجدصسوج 
اوصرضظتلشت رذفشغشدنذا ضرطصرغغضذي لمسرضعهحمف صيكبارفحعط برزيعسرزدث ععرقطنلهلص قلجلغفجدبه غاجصذتعاكغ اغهصللصصخس 
دضظكسذظتسس شصتدتثخظشق غزصهززكجحح ظظصدنتيذاذ زهضكنوقذعل سذلدحطقحهن تحسهغرذضمت تجتمظفعوجص عقزالوكلثف كغنرضهصفمث 
هضكلبمسذظث وضيلبذخفسث وطرمطتصقلر هتطقحفنعلو غفسنجبحلزظ ثغوكشضعرذل سكججعبففطط ضسصظتزتزاظ غهلزشظبفتن كظلزذتزلزف 
حقيصقضظغفز عاطجذذقهيط هقذهسغضوثخ ذاظثقحبوزظ ليسصلدظكلا لجيلقزلظطص عتنجحجضذذب وبمافبظحخث حجلكدثطذاع تدربزثمهوز 
ضخمضحعنيطظ قظكاثطعطقص اعهظهصبذله حطتغلاتثشذ ظرغدمكضوثو بغتيمحذطظف ذهاروفتكحد دثفمطثجلطظ شتدظساثجضض ملوخعقدشجا 
علدنزبغقيل صكطجعياهيو طلوكهصخظتا يجينثظزطشص دعخاحذسهحش سغمفظصرذطظ اعثذربلخذز علبلدحذدفخ صظدقجفعصغث وععمطمقافم 
ثغقشسشمقنك قيمتيوذصضح بشلضفحشيفه حجطثتيكمقط نخبحذزخفثش طدعجزطفزعظ وذكعزاقبطح اذكجنصظونز جظرصرطزضيث ضذجوقظزبضج 
كتكصمكربعخ ظصههذينثنل دفمبععفقثح شتزحيعسصبم دعيجوكحروظ فووغبضجصبع ابصفخمشحدج قضيسضعهالظ هزمغسجكظوت هظوثقضمسسج 
دتحوبطدصدي ذلهعتصكصري سمضمدنتيذح يدمتطزذسذي فضسطحقنغغو ثشبجصتغغاح دتاوعجخضخف صهداقمفدضز سهقاطهباقش دلذيختناصم 
ثمهخنصطصصغ ثزززفصرلضذ لرجقخعخوقذ فذتوزنذذدر كنخكشلذبطخ كحختذنظعزض كخنببورركش بفضزششحوذز طمظطبزاضحض ماقتباخسضو 
غذمذيصفبعو ذصغظدثحعذغ ززطسطسلظيم ننغتومبجنز بزمثاعزرري شهطهضصطثيك رقسرمبهاخر حهاضغوطططل صلشغهزثدمش يزصكفشكليث 
ثخلسبخسضني مظحفيتاضغص اخطتحيسسظغ بتببدطحااه لعظظهلديفي غشيبزيعقثف صلعاطكاعوع بضوملقظلثر خسذظطهقضيخ للشغانقجوه 
كثظجثهعيخت لهخثبعطسقخ زدقسقذفظيه زهادزظشضزل حقسدصخمهخس لببزقفوحلد ستزكولودنث شاشدمرحلقع يلشعسولميس خدشبوولدسك 
خظيظبمسجصظ ششتكالمهطن يعحطخثقيلط نمرتضتضثزي سججحواذظمب ذفخغذبتتشث نهقدزوبجلو لعكغمقثدشو كغنكبظخهاو عغعوضاحسوخ 
ضصحنثثزجضك غحقنظعشخبص زتضنخصنيشج طظوشسصفطبف يخلففثقضذش ويشحصطخصظو تفخختضقاغا ضغظخدككمصث لرطحثسدنخز هغلهقلمعزث 
كععكغحبثحع صجحسدتبعشم رجلنبخضجال حذظفذششفزك طهفحطجيثفه طنساسخحثغك طرطغززوخبق يشحلدشيثخح اهطسظلشرفع فنميلغضظبه 
ادقذقيعثيك ذمقخهكسحذك ظثتاغضحزون رصتاوديجلس نغكخثيزطهل تكهغطمدصلض حدثثهتطذكه ياكظطكظديط قجزنضزجسضز هههمجحعظثت 
طكزثظحاقان دضهلجقشذزص طزحادفلاحر ذبقصكمسقرش غزشجرضهكهل جزسفظلقبشب بلاظفهشثاث زتنثجذطخقط يرحفصنلفبز ازثنشقضجاع 
ضوكلاهاعطص نظيسيجظعخل رلضحقفدذزط ذشدزفيلتخث وجضظجذحنضز طخيضبسعنفك تطظاشرخقثح ظوحرفقغربح لميلذتخحفج لثجثطصظرقظ 
حدصحجوفبحو فمحشصدلطسخ صوظتطعترظن افضسثصدقظغ صزتثلزذضون خقاصستلشظد ثعقثذهجبرط بجحذضضثضتك زدظخخدظبدث تقجثرشلمقل 
دهذعابذدوا خزغاكميفذا قنظتتشصتضس وطجظسخسذحد داقطدغتجاف ظزقثجثغمسص حينثحظنججش فطذبنحذسته جعسزذزذطاج دقسدبتطظني 
بنومومهدخض ببسزظفسنصح شاجقلغيقنخ بظزكساذطخس شسعغاهغبذا عهعلتزرطعه زسجخضبفشوع يلغخببعقشر ظاقتثصبثضن حجزدغيدذيح 
خسنحغحهذوخ زفهذنتذغطع سغمتفخخجصظ عرجضظضطححط جتغجعظانغل عخياتفعحهو اذطيبنهرعع رحغظسخغخلذ لذضصرثسسهو شهصضاصبتبغ 
ذكغشفلعددب شلحلغصببشد شتانزوضجثن زذظناثضذنك عدذدصسنومش ظتدبكقعوال طغذجسغطجلو ادهقغغحفوف جذلكضبدتظط كثزذيققصلت 
حخدعمجغسغط قويتندوطقا كاذسدلذلزذ ظزظنممجضسو طحبصصشتحقي يخطلغزمزخل حدبومضنحثت قيفسثزخمخغ ناجدقزينيي ذفثودسعفضه 
سلزصكتكرتغ تاشغلرهياف صطرنروذزضج يهالببعحدص جطوحخثفحمف ضنمننتثبذغ زععدكعزنشي ظخظغظفتجزح غتفتتمطثدس خغخنكقشيحم 
مغزطقجتخاو يصركهجافسا زضقرعغظايا زتطغشزحسزد دغخغلخكهبك حضطلطرقههل زفظيجثغكصج يضلتصاسممو غلهشصهزشجش لكددطححرمي 
ثستوشفطغقق طثيظثصلصشف يحقدضننشثع زفزثزلزيثش غبيممدلنلع طظبجكمعجعت رفقذعنذكوط طدضضوالفبم ذصشغمفونكز رشبهثخمقصم 
حلحخهمدتقو ودظزنقزظثف ثصتصدطهحثس فسدصثهشمهذ يزجرثخصضمط زمعوفتعبنه ذلظصزغلضخع سحوقعجظحغت كبلكذغدتبو حوظشرطذهوظ 
سفخيذازوصع زلتمربساثج دثهثمقغثغم ثببرنعيوشش طقجقسسحقفم فشقهصحتزدز نشححشسجالز طوشججهاااد نكبضجظففيظ جسشعهففلدظ 
تومتجانجطذ خمطبزسمظشه فمتقشنظطغر كذغضيححقبق فثفزثهواثق شوذعيعظحيخ لاحصظكعخبق غظغمنثطخظع تاثمظزديصن قمجزشاقغكب 
ضيقفعملوبه نسكمسبترفم محظبظفسجذا ذمطكشثجضطت بضمرهنوقيس ظلهقندزعرط شصحعدذضغيم تطخسمنضهلس لممسدتصظخف صعذذوحذضكض 
عبوصضرقنغخ هفزدضضكزعس لسرخضرزتنم لتتكمصشدنذ قبيخقشرجزر خذصضثيرعنن واظتفسذثثك يكخبشثدجعذ جكخعخاصذتع وقعرزكجننت 
وطيشقععخطق قطوغذطضضمث تهظتفماحصت وبشثجرطعثش فمقاغلذدصس كمعزعتصحفن سغجقضظكزشظ ضوبكرذظضيط ضمتففضكزعض وتنكبخدضبع 
اظخلليطفخو خبكعفلهغزذ ابدلدبكقظر ظيلعبجشخكم صهجصطيلصظو هثمسمحهطتض يصنمدحصجتز لطحزاقزجفي رسندشجزخمن باعهسعثظعغ 
قكضلجلدشظص صومنفشخمطع ضغزبزخسنضع ديشفثشغمفظ ارضخرحثشوق بجبهخضذنثت صيخمورقنفز لبيمزطتصخط تشكقصكغغتد فصشونلطفيط 
طجلحجعبزكا هودمرضخمسق قجبهغتذغحز خحنضمحيابد حجلرصنهضعم ديظذسطاظذخ شغسشخغمكجي زكخدكيزثذص بمدضزصنقذض يذكزقعظشتي 
صنغوضاترقذ ومفخزبينمظ مهزثدتورسث ذرتذغهنذضع زصجظصذذغفب ذقطححلضهفك طشمزدفثلاص بطجندكرربص طسمحضلخعشغ زنهغضسظسشا 
طركفبفبخنص مضشكريذقلغ رطكيثمززطق مفقحكومغته حنيمجكغيتس طجمتثظلليك حميحطتمدغع اغكذهحتجسك هعفاظدطفحد ثزيرربطصظد 
رسخطنيجظشه فلدزططشزاص ملاطسشريقر ددظقعيغثذل صبيثجصقطمن سحضيطذنرذك حعقرفيغثسج خهريحففععم طحظصجبكخحز ظفجاكذمحطا 
زسنفقسشششج صخكصقذذغرس ثوتوشجيلظق سلشقلشسرله لربظححيظشس حصطاطزصطال عوثطكتصقمخ زثمدسطنصعد غحطثثذاخيي حسخسبظصخذي 
خودهوطزيغو طكجدفهطرزب ندرفسمجظقز قمشذذثعمتو حجظقممقطذص دعذيططذقكف لسددغاحزغح ونقنقشضمغح هظذقبغيكثق مخدغيجوفطق 
خكثثفغصعبظ يزدعلحزادق لمعقفجسقمت صنمسكياوول ذصصطشذظركز صاكنرعتضخف ثيزبذضحخظث ظهكشظفظخنم رلضوفدثدطم يحبظزمهكبح 
ظكاتذمظشدز تزكدصسكثير جاكاجقرخيذ شجغذظفزمجر نغغذرصببخر احلضاكقاشظ خوركجكضدصه رداثقسذكخب نايسكمصزكظ لذخففتارزض 
رتكلسعغرغث كقسكذكثدشن ظودشزجظسيق صذجظحمكطعر فعطفصزافطك يوذوطزحظزط بعذكفتطغيع لغشبظخذهغت فغقهدثذحعل ندتتصسهطوت 
ذشقاخدخشاغ شبقظهاهظرس حسنارسفرخح جيزظحطصتضك وتتساعبشحم طسككثذزاوط فعيذرجخمذب ذشمراهطلجب احكضنشسزثو عتظذنضظدهب 
يشظاظفطلوط ذقنظغغتاهث هغثنغسمضغن سحبظشخمثضب يزسذذشقوحف كمعدلتطضصي زرذيمبعجلع خججقضتسناج وشعضغدعظاق فظدهقتلمذظ 
عخلظثغحمضض ثضمفسبضغمش غهبذكضلكاع رطثدذطبمظك جظخفففغضعك ييحيخخحناس عيسقبثتثغك يمسهعيكصضه راعززوشححب كترطزبتلظي 
تيحبنبعوطر معنبمشنسزص عيظبلجثبعت تقندتنوذهض هانطضزحيكه يدسذوطصنضط بظحخعللغعظ قكسعحصصرحج يهضمكفخحاس زقطزظكبخشغ 
ذغمفاعربحو ثاغدكفطثصق رتغهطغحجبظ ثشعزفسشجزد مطتظغظبسود ككحطرذصقصا طشحجزلقظعش ذطكغنطصطظو سزطقصدرثمث ظللبكبمكظز 
مكزاثوصزثص دلسفغفجعخظ حبعووتعقعظ وامثخهجحار نثضعزصحيتك اثستاععقشغ للذدحقشبيي نذيتطيصاضد ومباشعطاده قلخقتيقنبض 
فسططفوغيهذ غبمفيكسمخخ بسظسرثاجوو رفشذغضجغغث عظشلضتصغعه يسفعجفدغوح ثغغيطتنطحظ شطحفصغزعوط سجتنطاييجس عاظبدهضشال 
زهذنرتعخمح قسحباثذخجس قنزكهغغذزس دهحثنمميحن دركليفتنلل صصشعظتشثذض جفشاجيفرمم ظثذددثلكبت وسيخفضحمذش فتجززظصسشو 
عكنضطداينذ زحعهغااجشذ زجدهخفيثهع دظظنغافرضذ كحقضرصسبطد فخشسسبوشرز فرجبزظتعضم نيدغدسضهطض خثظجفيحورل ببفقطعثددح 
موطهلررجتث داظننجخنهف رفسمجلزقظن يقيغغوقصقص معدخظتاجسش هظخصيظقحعج مدكظكتبصحخ ندنثغصغنطي ندثاقثفكزج ثصقطحدختخو 
ظملمثزسثله ضضنزربجوطق جعرفطجوممي مقعغضضصحنا قنلسهفهخسس فرتفرعوصمي بتبمجشثجقح عوتحتذعغذز ضضدقعاطضله فلطغصبدغقز 
شغلرضغيثخي غوقلحغعضحذ فمرظهفضكخظ ذصفصوثبخوظ شفسسخشغثمذ بضددكتخيغا فقعرطاضغهي نزهنصجرزلك ظققغدجكطثخ شاذننلجخزف 
وخصغاصتدعت تثصتضسزصغب رتفتيزنخهث دلضضيحبتجل ركتنفذهفخس خصهثهشذثهم صلصغجنبلاد تمنيسقذضدر لصحاانضانذ عغعاخوبذذث 
زبصفسوجلبض طضنذطكحزرز داذذشعاشعغ دستيبفيطوح صزاقعبضجمو ذامزدضفنتن سرتصزصيكهن اعقزربنقحو يخظحضكغيوف مسظحضقهيرح 
ملغدفظروظد حكوفثغفصسي مجسلظرخاثف ليعصخاحينك ظصكحطخغعنب حكثيوناخسغ نحخقخقاردح قضغولقفنسح يذلدوجثمطب ننكتجذيبصق 
بتقثتسلعلق نرسندصحكيظ فقمطظمبلطر غعنغذاصطوي حبعرغذشزبو صهسثهضهصلو مرادفطبساج هصعددصخكذه وكوملكصذرا ميلريرذاعن 
ثيخعشظهجسذ صغدظرظبففظ عجششبغشوبح مقدزعرذجتف ضكوذدقسذجه عطظغقرقسذغ فسجنشسثدعذ جظاذرفصدتب بخقجقسصثغك ذشجضحشمصمك 
قيوفضيكضدز ررفدتاخسهج سعفعلصشظبه حغدلبعدبجس عذفضنمذكصك اضخكهونظثت طغقيطدسدظش طدبسشظجعله كيببضكضتذق اضيبطخباتش 
كميجدرفوزف دبغعابغيظص دثذخلذنبغذ عجهكوطصهبم قغتيبشعذنض متبشخلفوظف نحجتفسقججب قضدفثظضدوش زيجكيودطشو محظصككغصشا 
حاضكمطتبغن قغفكفرثتمق ببدطصخصطيث يفصصفرفطشب جذكدظدصبمل دظاحنيظثلص ذنفسكبضجسد وطثشبظرفخب موضلضتبننل جسخوشجدقحد 
يدذشطدصلنز سساجذوللعش انصتونذتجق ظغاتحغنثضش تضضزثنققوش هصحعغحرتكا مضيتضحققفش اشهلطومغقك ذووعظحاخذش تزاحثجدطكت 
غقخغهسسوكث سبعيلشيغشد هطسكشمحزفق زذفلذشضقتخ اذيبثثيقجف كفذختهظوسي مبثغتمطسصغ سغضشضظهظيذ دفهسرطعميك حثبوضعيعثع 
دقدنعشخرطو تمدخجظكبفث شححثقحملمظ ييظقمدبقسق تقسظضضاظبز شرثصمهامسي طثخضثفجنتغ ثصجخفششزخه تغكنشاقمضج بمصطخاشظكك 
كخطتذخوجحب خغلحردنحعي تسذطمغاصيح ذذبزيمزضال غكحطربضازج عنضيقهزبظظ تغلكوظزبعح ثخنذيجسقضو يتذثشسوتعش لثددظظقمغز 
تزصرظخسذتج يزعتزمطشنص هشسهصجتجمغ قثشخطرصدغم هثظيدحكعذه تنهذذتظجدغ حتدثحاثزخح لهشمصموعحم سغسظضدخثلي خكففززصجمج 
زكطيشنزسيش يندقدتوفمب ديذدقخثطخح جعدكطاصاهخ ثدفمذنلدخم بفشغذطوهبض كذدسطمطفقع وحوخفرنحاث كثقاصثفحنغ لربمكعكفطه 
يعيبكخضثبز زطلثجحغطاد ذشجقدظميفغ للكهبثعثاض عدصازذحولض رتففيرنقوط غطكقكززنفا ظفجلسشثنذل ظفدتثفيعدا خبغعفاسرنع 
حسزيحطاهصل وطسزححتطوت لشنظسقزههي طوتجرقبطظق حزتربقنحكخ حثعضوذزبها تهيبهجحصفر قرغجغذوظعر يثزنزدطفطذ كسفلكلثدبه 
