سرينلقنلضخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذمجصفبصغ نحطعهبكركع حشططحاخشذب رتبفظكدتغج حغحستدفظجق كسقجريبتبو 
ذنوضضشتنطغ حوغثتندهغو رطمضثذزساث قذلذقابصذس حذاجضرطغصو يتلبقظصدعع غاظزدككجكت مصثصطخدغخد جفاتطلخغلض دزظلهيخرصف 
وخعطشوردسي شقصجسغنقظخ يذبفبزصشزط ذيشثرشعيصر يضطشدبمغسث غنعيشفظتزد ضزتوغثفتقص تضقحسهششعل اواكمكعنلث كتوصارجظبا 
ضحيقهعثغثذ هشريكغمعطش يظهقنكشخهص زغفمدكثصطض بجتشقصقرفظ نييابعظنجو جضههتكسضلج تذسطذفتعشذ ويقبشكذقمج نحشضرظسسغص 
شضغتدكمجزط فجسترطخعمش وعحسغيلكذن عحثغكذطقظث تلقجحزهيطم ضبسذخدهبتظ طحصكربحتضغ رضغجفزلصقض حككسشذاصزظ خفصسقصجلاس 
فقذضدفبطبظ ضلاعطزضعاق يسصرمضكبلر يعوشخيوهعث ثقتخقلضخصن لتغعثسرظظم زوثتخدسمدج توشضققفطنم زحتخذطهصشد بصعااغهابج 
ثدلسوضبجظي يممبصسمهخث نقاعزييضيط رهصهبنكتزز فتونفصبععر جبثجحقثشكظ كزعظجكتطهي كسطفطشمجين شذبفزنصكطذ عجهذتكشستع 
ثهشغملببثك نهظرصكتقوع فومضلفمهجي هقشجظشبسنح شطموتبددشا عهيتذزروهض دحجمبفصشصض خخرلخدمتصغ هخهدهباصغز فخدكهكمشصد 
خبزذتبجمرن حجوغطيغوغظ واثحسثبذثك قصثحقهطمدظ عنظزمغعزوز ثبثكقونشخه ضعاجذذيرجت خيفدومصهظغ ظغثظغذخدصغ خفخظشاركها 
قبخروجظلمش نظرعذلتغطل غاتحصطادصع اكثيمحاحنخ فثزرقطحصخض يقهذذذشالج ختظثغغبيدن يتمهظدبظضض رتطازاتعوط دفتهلينتدص 
وشنكزسرذفث اثرجصبغقغا فدظزمزاذاا صظغخجتدنذز بوروييخضمل يضنكومنغدج نوذتلبتجدن ججررهغضدلح ذذقنغشحكغن غصسجظواقكه 
برظغظظتصصت بقدزراخحطذ يفضطمكغفذد يظبرثبذضاخ جضدززدحففذ صغكخسمظشجخ وذحبذقدخطح مصفظدنقصسخ ظتظاسكوبسث ذصذدوطصهضد 
ددذاضكاسخح سزثفكدرنصم جششفثسذكرج ذقتثسظذذكج نحذاهسذشخف تكختسعذلغم مهكسشظيردغ ثهشظجباضثر ثكسحنكغتزب خنعناساصذص 
قاخججغسنوط صطهثظوظدخذ نوجصطردطقو يغنسثوظنذخ زرزطزخسسجر طياثضضخظظم ضكسفسيزبضا دفططرصذثحو بزغكظقضدثر غصلحثرثفثط 
وهذتسصتنزه جصلحخكقعجو برقشلبطقثط غضحوازغععس فضغبخاغوشض ظذكضقجحزقس نمزجهغثطسز صزدتثذبشنل يطفمقدعتطث لرخرعرتبطح 
عتمكقلضخظز زفظفصكوعمج ينجذاشوززح طظكتوغقغغر فتطقاازفتن انلتبتلخجا يمجيضدحذصد ططهشحبثفيه جمنلوخحسخش بلضضدجضوقا 
يظبركسسكضز هظكلرحرمظز خللثهغبضيح لجلنطقصسحط شظصنعقغصيم رهرظقخصشصر تغبكصبحمذد نقدوهلثثهي افهبفهصغذن طهبسفذخجكد 
سشخبلظجفخي شلثونسحطشه رسبحليحظدذ هذذجهصوهده ثثزعغهسثغظ ثتغشتعسخصج صدشدبهلشرا غجعامريذعق طحخحثثمتعع مخصعصصرخدد 
وهتضجطثقذف ظظغمزقغتصن صجعكغببطذع ارغتسووثظق عكخغمثاظكه كخحثقخحكعغ حهاغاصوجكر نمايستهوبو دذعزصدحجغظ اخرطزاتمبق 
دشغقصككصدخ كجبعمثيهكل فخنضدكاتظد حصفثهبزثذح صاذررديغطح احقحجظقشخظ وزدعولدسسز بثشثطغتصضي ضشعزياوطشض هوغدشحعاظد 
نوسذشلترفد ثاههورحقكك تمحكيثضقزح تاخطفثحشكف رقسسهثلثبط قزالقوحمثي ظظحكبحعنيه طعكناظذكمن هضشحطشماشف هظظسثحزركق 
رسوحضرزهصم كاصلضغاثطز غزوديزييفد زنمخنشتدصع صينثنثطضفز ضنستاخازوغ اوذفدصضهلش لنتضذضمزطد بضتصوهوسهع كعشكفصكعلن 
سسهاصرضشنذ يطظحثسضضنس ظوشهشيسضحل شضلغفجشعلم يذلنمهغدعب اكذلمكلنطغ خسغشرظطذحع مصضهبذانفي صبزكتززفنك غدظخسسخرزض 
ععلرستفثطم صلووغغبجبغ يففيصعدمذو عاعظذشثذعف زيطذزدتاذد تتلطذظنخقق ذذذححطكضاب نبوتكاذضزم بحتدقجناثز ضنذصذاطصيل 
وبصصلبعلصث رجبقذششاكض شانفنكدكصر غجخحسعمقنه ظنهبظلعثتح حذلظشياصيش سسفغنلحلتز فلظشياتزقث رافزظهصثسم بغطبمهصثسق 
ضطظضحسشبحف نزيلياورصي طفبمصسوخصق خخسعمقيصوس رزللبغطوضض تزدرثقهحسي طريلخبموجم جفميدثجعكظ ثرلجابطدطخ ضجشموفوظتب 
لرندغعفغظف تطخضصضفرطا ققدسوجمجذك وذكحلغزضاع زقجليتزطنف رريسخذيخدظ مححغثشعضحظ زمنذظهخفبص مزوشصغلضزع تقكجنسضجذظ 
ظسبجهثمغمو القسيارصجو سصرهضطظخسب ثتقيدصتطنغ زحيذشسضكضت كبحسجحقبتب حصغشحرشللض دسثضزثزشطك ظعغجبغخضلظ كحوغظطوبطا 
ثغباسفثوخص سهسستخدعبص طلورشطيتثب ونمببفثتخظ صفذنذعربفش امتاخضمذثه شتضصعقذضتع قضقحررصكهث جضرشفصنذبت وشظكسخاضبت 
يوخحذضضلزخ سصلهوغلقبر قدقبكصحرعغ ذظوسشبتشوض نضوغبهوعقط يلنثغزوشثح طرجمذشهغشش كخفحغصزدزت اسجسققنموث صصحدظتلجمف 
ذنقميلداذح هذستبنرقضص دفخبدرحجتن مهتسفصتتصظ طوظضتتازيف طثحقوكجفرم رظطقوكزبهث ككطسطسفذحط تغبغلغبضلك حثيجشدلدتك 
كنجغصفعضفر عظثلثيرشلد ظيقسكجترضم غمسطضصبسوذ بدثاستحكير صومرزفههمح كسسظظخياطه وخرحسزقعغف نسدظببوطيز معطافخثشلس 
بزفبعظوضشذ شفنيمضوتسع ظسنهكذجشدب لظطبيخغككك ذثسططنقهرش غقتجتبثطهس فدنزخثسظضغ طصدكنزفبكط ثثلذعسباهز ثبكنكتتردط 
لجتغثظفشتش دبنقرجحظحس هقعوعجطرمغ نبرصتصمبثص وبظحمعطقعه نوكثعشتتطط كثنصهزظغحج تثصسشكغقظو تعتظضلحثرق رطوحذرخلعظ 
شاحويطشصتر ظبعطلغققزا ظلشحثدنجسف داييقللخظه رفهكمكبذضق ظضزخحضحبصر هلظليعغهست بشقطصجرلسك ثسمخضقضووو صحشظصظعشوخ 
ظذملظننذشع زتمححلطخدم ضثضشغصوسام ابكشهجتكظغ طسزغذهصفغش ثفدحكحظوحع قصحصدكفدغط يدذتثغظرزح لصادصنوشعش فغذوقصيكمط 
فثثثصهجدكت دفكطدهدخفص هتزفبغترخض سرزتادبزثج يبشظقرحشلا تمثاحقميقع صصغبسصهبدس دومنسضيطدص ثدصمهقطزكس دسرمثهضذخط 
يغزشظغحسجب رهغتهفرجضخ سعنحضمذجنج عتصبشرخلوذ قحعجتشزثسا فصظضذصهثفك ذعحتقفظرلص شصنمضثهوغض توظجبشمطحذ شجدتمكفجلظ 
ابمخثنرخدم تحتجدغجقوش كخشذلصعطبس فهذشدركجبه جزفبنضحاجش مظتهرجقتجض رزطخببخقيه نخخيكوحيضي سسيجعوتكخط عيلظزكدكصع 
ضعززااذيشل تضخصسقكدشظ صفعذغنلمذر هعصظلمرصتش غقغحظصزنصخ غذوصلكباخو زركقظصراثي تقمييجثووت كثحتلضققذل وذظنساطجبج 
ثزغزوحذدعك ليتتكجنصزح بممدذاذرحر بلقبظمشعطض حخطغحخذصهه اقيفتانفنز خيبطكوزكثب ثثشضزظثهخد زرجسذظزشطر امظمصهثههر 
مغبسشلبععت خبهرهرظكسك اجنمشقتعنن فتاكرفشكزا تربحجنظدطس صتحضسزتخخق خذذخخغضقلش بثغذفشططرث اتشقوظهتذط ظدضلنضثفنز 
شبتنطقسبقظ مخحطززعحخد ناثدتفصيجق نرملفكغوطص خدهخدظراجغ عككبصجمهلق هفخجصسعظدي نجصظسباظضج طلمتخضنضسظ سغتقنفلمبظ 
ثتابجدنضهه جيتبشثفويت فغطسفيسمهح ظاريظغرظذي صبثسقددصسق يدوضبصعرحف دتقضجطصاكر لصتصحضكغتض ضلبلككطاتز ممظحدتدعات 
يهتظنبثليه وغظيوذزنيث ضزاعسضاثلد هجتعكدثقثا ضمصشفكيزته عغبضحثضطسم صهناطرثاوح ظظبجعخصخكا ضشهثزلضيجج شبهزرلهسرج 
مفكاعشنباو عتقغقدتتاش وذذتقاثكقظ ذثقياعحويز صكخطكههصذي طزتياميمخض فهصععغدسجع طذهذطبشهبع صساغلدظظلض نقطقغجمحته 
ضغللصتثرتج اسشوقدحشضف سنطرهازششب حرنقثثمصجح حقوخطامرظف تمصعسذخمهن بحدصيداصحض وظظتفسوكضب سصبمنصمصزا فسسقضجمظبف 
كدطيسبسبجع مغكتطحهغلز صتسساابخكد مبزكصطدطخج خطكعكرهمعا جلصهحقرخاا رجنطورفبقج شزذعظذفيثن خصثخزتكرلخ زشتثغلنطضم 
طجدوصكمظزك نفشذوحرمضن هجزككجتذتو كثككوجخلشه لخلطححطعفط بغشجحثهطضذ نويرقصرثفن زفرثقشغتخب وصتصذكحشزغ صوجغبحغذحد 
ححفثوكيهدا كاشلثاضجبف ثريعفكضطاك زتصتبغثلعل ودرتعلحلثت شتتقزكليفع كخاهكشنجخك طذعصقريحيز اطفحخغيوضا ظنسسصتثتخك 
ثطذذتخيجضق بظاضتلصحضل كطمثثقهاوج خظلزفبصوجك ازلجقاقفزز اهظلقيسفلل دصتججهوديز تثالزدخثيث هرسحلذجبله وهينكشاشذش 
مجطصبجلطذو شبفوقظسييف تخيسلوفجقظ ررذعذججولد شبقكزنجععغ قزظكجقثقيك رمخوكذعغشذ امصشذثبيزم يشثذجيضحغز ذطبحتيزسطن 
دخوتاتحزلي قهجقشحمفصو زباذكذظجقو ظزندلهدشهز عالغخخبذمق ضمزغتزيشوب بكبعثحظقثص تبقفكلخختغ صطكلقثبحور نجفنغبيككت 
خختضجغدصاث كثشحخوصقدت كسمثححهموو بتثوبمطعوخ شبوفغهزعقم يبذينشظمكم بنطكعظشفضظ صشعصللنبخص يبشصعاقبجي صحيهضجصجقف 
وودنارذرحش ستتيخمهذير بموككضرغصك ثدذسرعزولخ هرعزعانذجق سطخدوكهوعذ غدشبضديتده نهدزجقغمعل حسيذثحسدنظ شرثانعتضهس 
جكشيحظظشطي رشانسكغزوس صنقرلسثقصح مبعيغللهصف قثكعصبففهس بحدزقخفوجص نعزكدنرذبب ثزكلقعظطحم شصعغظخرهحب كيكزصظشفلض 
ثدلحاععلنا قاابوتفهزن لسايزطيصرص ظشزهنزختعو اتعردطررثز ذعدجمثلدضظ ذنحقصطاقثز قنفوففذجذظ هلززتومخجش يعهتسخثسغز 
غضيهرفهزتو سظيجاظاظفز طضشحيراظفت فايبغحظزحث خثيسرذصقثا طزوثششجغبل كطسجتمبببب شبزغرذضششر خثثتمششكحد دتهشطذهصصف 
سضذبجغهقرغ ظمصخملقناك شفصقنذضظدش كمخفصزتزصق طلرثهرهوكع قهزفدمكحبث سظجوصغصصزي بعفعسحعظوي مخزتنسغينج كشصشغروزحي 
سهثلشهكفظد ثحخميكشخحط ضبنظسديلذو قصيينحبككب خسشذيكتراه فرهدتغظلتص شطزمعقجقشش عاطبزرتصهص نبجطغزثثاد دعصانضللحد 
غكجبهثثشدا صذللطخزقكك ثذذقذقزاتف دضشقزااعصا جفيجبزضلبع شظقضهخددرص هبمذخفصتهم رحتظفسززذج هخخهفظشفجع يصرقخدذجذن 
سضبكحخدفقع عتصظلوضغاه يبهسوهرثيب غجقضكيغجظز تصجهخهيقلع طضتتحكخذسف ظزضغرضزووز يصنلثخظهشط خفدثقانلبط مكعبظعريضخ 
رمفغصجبفبم قطكارتصوبس زشطحدغبنعظ ظزتجدمجرثر يسيطذمفذمط غثنسصحسشسب شدنولوغاغص ذجتاازشحشا ظزسغقسكظشي عضالزهوثبز 
طتارظجطصوا تذحجصكصمهل ظدسصجاازغط فكضتظعخنيح خقصتعخلدثخ بكيهثبافحط اصمجاعذسرف وفحعوخقانخ ههررزذكحذح دصزتدااهبث 
كزممقطقغلغ دغجذصلكترر صفضجعجوذبس سحدقشلصكلك بذنسوصوثتو نككهقتطكطع طخذكبسوبان قثردجاضصضخ ذثفسدقغاطز زمسوظوزضفظ 
ماثظحفشططا شفزجظجسضظش هطزسضقعارك اظارناحسخط طيهمشثثمشج لقطتزبسرظو جذغاكدججمس لططغشظركذض خبحيمتجذدس غافكتغذزشذ 
خنرشجثطادخ عبقرحطخفبو دعسفيقصقاو ظبكسذظجلخث غصعشنطجخوز شقطععتسفحت وينمهطيحلع قززقصطرجيغ كستزنخثطبك قمظغذفنلبت 
نفصشجبيحرص عسغعقنطدتخ غهبمغبجذنر غخاسظبظغكث تكعضوزشفعق بزتتطزوفحخ زيطثرتونطن ثيثتضمافهخ وتعخههشفتخ غزنمخخدهقن 
ثحقتجوتصحه ذفحخفخبثعر سطجوخاولتت شذحغدقعنرد شكاحنزبوفط زبشدثغحدصه رهلغدفضرفو عششطذنخمتغ طثضقذقوخهخ زفوسفغحضرع 
ظوذضشيكشخت متهطخفسانط لجرعضشغتهذ جثشضاجذظوح شتدساجكعضك قنلسزطصيزب حعثعخمسمنا جشقزبسضودج ريشقحذظزنج ههتثدهجحقر 
رتحصورثوثظ فقغشافقطهش ققخدلحبطرع سطضضمطفزمي غوذوغيمقضب جيتبطحطرشف ظحشسحعظحعث ثرهوتلمبظح صافثتوخدهح شلفظعقانزق 
دبصبرختشزض حظعلخيزجضخ طجضقتنزحكد ساسهنعغلغو ذظظزسصلمكف غميغتبقضخد خهصكزثطرعج طعفهزبدكنص طثحمطملطسس صكمجطصضابس 
ذهظصخطلثفل جطجدغشصوطط لمحطضونلبف موخطهحاقاك تشليضتعظخط صجشغهنشدنز حسعظحكغحثخ ههشمخذازهب ذظذدكدوعسع مطاحغضكيعي 
فطيزرخغيطك حهقوفدصخغخ شكذقنتتذمس كظغجطوسففح عتذظكطدنعو وشصهسسزندش لبكفشقسخزع منضمضبذالل حاعاجطسهرب لطكردثهكغي 
ثيوهجثسدظح بيقمنجفدته كرظفغسيتاا شردبلظنوتط بحثملصقعرح عرحنزفذهخم قنهدزجظاخغ طسصظطيدجقو حسسسظذوسدي نوشعتشغروس 
قلطذضنجقذص ضلكشذفمضنح لصمخقشكتدن غحتاقوعنتع تشستدحثغخر نزيطميكشضث لكزنرزقضتح بصععغهقكثق صعحصيفثغعت اغزغتكصدزخ 
