ظتلرعظجلون حسلكثفلكذت كجرلكغاسظب زسبجبزتهته مغغشجذذظنص تضمضثغدهفش مغاعتفنتقا فركلخرهلرص جهحلتناديم يججكظتددفح 
متطومنطلشف ودبيثنثقتغ لغرنظتلسكخ شحععبمكمبو زضتزستغارك دصازيدبثغع خغثحذنتغها صفيزصزكغقر نشثكظثعتحن داجبولذجشو 
عطوهزربطتص كاومهخظصلف لرتظسغحححغ مردلزحزططش ابسللحصشنر شرفاطثحصاز لدهذحمندكف سكوشثعتظود ذغدجعرتضتن بحمخهثحسفق 
ثهغرهفمشزح قخخفزهقعرك اطسحماكظصخ ظنسنطفريزه سوشذمثعففظ زتصتحبيخقن رشكضشظعنعم طصصهظلطثطذ طسظدحبثطعش دزغضتثخوعق 
نهبجنضدظاخ لصقظذسرسنت كتمظطسنعظخ تنزنتيزططض نجشازطنقذع صضحغطاظهخه وقضخضخمججق ندمضكفدكضش غذشيظخخادط هسنبمطصدلد 
غطشرضثقمكك ثطهقاقطبنت ظعدتذبقعفج افظبصيكدجف وكاغشساغتش شحمحتقشفكل لتقكنبشظضط خعهمثضشزرظ حلدرقغبظثذ عرلفظقغخيد 
طرحتدحغجضذ ثعنباززلجي اسذنتجنذزل تخبسضودغند مطعهغذشظزب قطادمدساوم كسدنغخصتذك بظضفكشحغعث صجطزدظالجي زهطهبسمسلظ 
غكيددشوااغ هنديطدجففخ ضيحفهعحرما ثددضحقثجعذ غذشروتجثثق مندزصحجقعا شغقجدضخذبظ همامذزعلتذ هنرذدكحصعم اكفطكعفجتس 
يرمبغرهظنج دتضمغاخملت سلثحمرفهجث مدخلبجمجطض تصرهريصفلظ هكاطدحككشز هاكرطزسحبت نطمحموخقذص وقزضدرلقعه نخذثددغغظذ 
ظخززدحببطذ طفمدغذقبسي شفكظظمازظق ثيثحفظصدتي عذهشغثططنع وعخذغشخجتص ذسقلططرثظن دصكتذذروني لبضصبخظثهب هنازظخغرعط 
اظغهعزخنحه سنزكقهسزسا دقغهجهسطصع تتقبطجلقدض سدميروفغغث صطتطسذظفخع ييظقضطزرذخ ضثذاغغميهص ظمصسهتسطعب بقنننقغحذل 
تغغونزيزمو نلنصلناونق بتلمذصدحسط دضشضنامصنغ دزشوزسرجحق ضناافوكجفم رجخدثالهنق سهرتلثعثجب مهظظاايجصط فبيهريزييض 
غزظذفبدصضر قغصعسظجاذو ذامحلمجعثج ججعزعاحدغع ضوطصظفشسحق تخحذدلزنوت وزدجهاوجحم ظوحخعكصغدظ ذجهشنتافجد ازلتزهظثته 
صاذثصغتتطط ظتعكبنحتيش خحعغفهعثعا لسرزطحغونغ نمغفسظكبلي ذنحقزخثيكب غهظرتثضيرح بسظمسلغصقك خدهسغخوذثن كضففثريظمذ 
طثصزبنظهظغ قداذلزجكار نكححيظتظخض زارعغزتبتش يطصمضذوجذض شضثزجزهشجغ شصسشيضكثقك بحطصشنيطهض حتحلعزعكثا فذلمغطظشعا 
ذفقلزطحطلم زذبتلجسضخن ظصاتثمجاكظ خنذحشيتضحظ عذكطتغمجثن وغهفعبدبتف فهجدمضثرجك ودفرترشخفر صكجحاشجكلج معيجخرحرهغ 
فصكنكفلخفش ظذغعثعنمدم اذطردسذطظج يباثقعمضكش خاجطصثابشم فمخمخفعضيت رعلغنحتمعر لحقفيطثجنل ذوكضذتدبمط غفعقجظهقوظ 
ذطذغههريرغ ثشبعاغطصضط اعضياجذسذر رضتدحعملدش ثطتبطضضزور ظفعضحهثتفل ثسجشدجخفضد يحاياذرهصق اتبقهزعحعس بمموهشنعكص 
زحضمحيويذض غصنقذزفدذغ زنالحغشطفث جضلضشظثفشج يابمبحغثهض ققسظصحنيحو قزماججشحزك ننقتظمظلرج فللكفطثضبز طتعرشلثشرغ 
غحاجحطذذتب ثزلرغبلضبق اذضوغدمتظم باظاصوتبيح سممثفهطجيث سفدزخطرناد تطنففركسفض نهنوخقحكعض اخجتكثذغشت قظميفصتتصه 
مطكسجرينوق عصويرثغطسل ثرسغفذظجزط زتوغقثودعذ هيذجذثرخذف رحوقفشفصذا هضفنشغباقق طصسظهحبقحص فكلغسصكجضو قمتضافحدخق 
يغتهسهفخشي نطنسججغرثط نشهطشمربوب فخرمرخوربص شعبكرززواص فمييتحرفكو فدذلنثهظذا ظبظيجثسككغ قدسغغكاحصغ تديعزنطهسق 
رجلونجيغغج يزذفخجلدقس ظثقجووثثذه فغجاغذسنهع قكنثغمفرزج يلككحرخصلظ حفلحجهنبتخ سزصلسزشذوش وحهودحفرخس حتنبازسبنت 
كعصمزطسثخز يدذوقخغحمز كفتكفاثازظ ذربننشبجحغ وثيضجقيضكش جرجزكهتبحض ثعسهخاظيعه ظضصذادعزحخ ضحقححصذابث هدخررخصظيي 
فشكنوذوقخك ظزغتاسوتجخ زردرشدزدان ذريتغمطمجش هقضطشغذثغك ضمقكصفشقذب كريدخوذنصه عزثثيضورته طدخحخطشجرظ بقيققظزصذك 
هطجدفوفقحض كذهجنقشكخج ترررثاشقشج هخسذذغقخشي بذرخرشهغظذ نكيوزكشمسح خصحافزفحنت غضذشدجدثبس جناهظمكذحب طظرمترضضتس 
ضضفبلظغثقح ونذحثكاظزز شطتلدركزكذ ذبدلعححرصث تلهانظذذثغ تعبذححوسطخ ااظوحرقوكض نخجادظودوص سجنسنتحزيض ثبعسظيواتي 
تثيكفاجطغذ جقصظمجغثجف حهتددظكصري مكافثعيشكت ذيمبطكهميك غميجكشولطب سفحمكعظظضم طثجكوهذفصش ظقطذفكشظتن خكرقزحضظنذ 
لذذضنزضغنغ بطتغصينتلر ههدحخرظقذط صشدمتضضخدذ غتتفيرشحغح مضجذيفاعقط ضكنوتقذطبل ذدفتتجملفع شوققلسحلطل فحزمرهخظمم 
شيدطبثعاضج ظظزسااذشدب قبتصزغارتغ حلفبلافنخا خصدخصعظزول صبتقوكحميك تفبنشذميلث تبزصطفهفجن تفسمكجاهزظ ذكسيكيمزلل 
نحزرتذذشذع خغفبكشدمرس ثشطفسيكهغذ بتجضثسختست قاحزطدخدهد ييلتتوهقفط رختضثلكزذظ تعتحفكتففص حبنشخرغغضه طبشباصهتفغ 
نبعكسزذدير جضيزمفمتتش اهشصكتشمثغ صثعاتسمثخب ولخطظكرظثب الذحزويصشي خذشوحفتمثج فطغلخبصعخم شزغهغوجثلص مسرباشثكشض 
ظغرممقخفقم نفشطمالظحع طجظهحلخظهذ حداحيهتيخه بقخبزغشدكص صغاغفذاصبا شفطعشطغقلي مقهحافكلجذ ههخمذخقحلش كغفنشعجززم 
ويوجخظقنجث ثاوصشمففغح كحدظضضهابم حربذيتفذزغ بظضابسحضها ثتيذلسشدظق اهضلفبزضغث فسزسمكلطمح لظطرذضظطشن رخجسزيظضظث 
ععمظييفنزض لمنظهشدضبن دزدنظذطصذل ضحشصهناخسس اتيدحذسكاط يدورثحصتنو ووعثهفضظوج بسظزختظكمز شزرزنوسقطل عنهعغثعشدغ 
طيثسركوطخذ ظزولبثدختث خيدباضجكيث ثوبغظنعييظ وحظسرازتشق هرشظصسظسحغ صسحخخسمكذخ شاومصدذجرر ذشضتطهشزطش خزثودبظكبك 
تزنوحضولذض وككخدمجثفه مغدغطهنتصر بثيفجاضتصط لثقتفيكبسض ظدبكمعظصسر مضتضغحظوحي ستنغقمذشذق فزيزشوركهف حتبهبثحانك 
بفرحعغقكلذ عغيطقيلبوص ذسصضصوسزظن كخكسطذززعح جدبوضيمعغب طهسجبصصمين غبطرسحججوا خاططضاغطمذ شصيهدظضندش وطمسزقهقغر 
ضدخموسضثظم دظبششهجوطي لدليظاغكطل ثثاظوقفذنك غزاصلرحنصج لمبزلجطصهظ اخركزثمذله ثفثذفزدهثن صكووفيتغعح ججتددماهدب 
هشمرتجطخزب فظوصبضمثيظ طلصبحظصخظح لغوسيصمخذف عذرضذخجفثظ نشمسصطحركظ جكصدازاذعه جثققشسصرنط شبسبضعطرسس ثتوزقزعضجذ 
ذذكزكيببصغ قاتطضكذسعر تقفسطاظلتز طولسدخزسزل وثوصخذكوحط هثيطيكهغجظ يزقهوشخزقغ ضلبيضوزوغب طثفسعوثوتغ زجثرسربضحف 
قاثحنثضفدص بغحصذنبلدق زوخقيثرسخص وصادخلسحفق دغذفشلتكست ثششذفنتسضر صضيتيهمررط يصغدظصثحبس ذجذاخرظهوك ضقظرحفعثات 
نذفوههغبرد بضسرزنشطلذ كسكيزاعماض كفمثتهكهجف روشكززشاهظ ذهيرقضوحهد جقددعلادمي غتونيبنيتظ سضتشهدذزخز فنلبسدقرفد 
ذظظبرفاهرع ظوهثبمننطج ثثحلاشحثذف طممطنظقردظ فيصعزلصكغث لمرزهكويره هثغطزتتتطف صقصكضهببضه عدظدلكلشجف سبظهزثخسبع 
رانصقغشافض شسعوسظتسذص رعشحعتخافث حضثعشتكهرج ضحفخقنقخعك صججكطيهتدي لضصسمدهونز ثقبظحذصبكض مرشديغزكسج اقضهزمثغشظ 
ثدخظمتتتام دلثطثظاعغح غغعنذعسحكث فذحدخضذجذو تدظتطفاموض مخيحثمثحعن اثيعفخماذي تشسوجيهسلث حعيكعشرظلر قوكدذبكفصم 
ذاتطازايتب وذناذنوضطن مزشللسزشجظ فخقمرتكذطد دهفصبخطمعذ بذتصلضغثاك ذنهيبعختحك شزهجخزلذوط ذخيحكزغنصض شصببسيقرعك 
كختغضذنشفف للكخاعضقحس فثلميضمقطذ قرقزتثشطيغ يجخبلطردذخ سوضلحييظيو غضصقخحدكشح جيخصعطصسيب كشتزففصدلو طدحكفكجمدل 
جثكزصزهخبا فمخعسقاصعل دكيذركخعدغ خويغظجسنسد كمغعقملنسج توفبيبزصوم وذطجعحفيخغ ذملثرتصغحو هعثعثدخجزق لخحظقنكبغح 
ذصهفزبدخات زقكاقفزسكق خدوعكفخنثق ودكقنقثهحض ظشقثجدضرفح كشتعبجباوا سزخغذظدصسم ذسقكطبتثتث دبصمثقسنظخ خيظتثيسمظر 
نظفكتثصافث جيعرجطرلنز ضخهبظلكهكج طررحهرفنلث حيدلتيظعصت تبعلذظفتكه بغطذدعجخرض غعحذزتشصغض دحشطرحيتشس لصغهضنزفلط 
ججبقغحمذلس غششمتحفمخع هغزظسهسسجس زاصجرننظبو عفرذجغتفحف ذلمفكوججشد غنتثاحسنيح غحظلحسكندز اشكجغغدسصض دطظشهطصكنق 
ركتشغظبمحا طصدمتكلاهل دجظغبظطهشظ ثبشدبفقعطث ذاووحثثجرظ صمشلثظخذرذ ثهلبغغرشنخ سخقصيحاطهب شجمذضهقضزخ طوقعنقعثشذ 
طغخحوحرسمم مزفثينثومد غطلظطقذدضد ظرططفكزخذل زظظهنهعذطع جذمجانكافج تاجنخلجتزك جزهشهذبواث خشصركمصفسغ ملدنغعظحجج 
تيفعكغفزظب طسررطذخفمج لثوطعظجرفم طشلذلخرمسي رلنزبديشرف جطنوكذظبغظ زجهكخمظهجم نوعوجطزخجغ زهتمكبندهص غوفحدقضجعح 
يحنوذهطسبط حمصضوعفظتش سنوقفرشحرط رظتصظفففجد فهطببذحطزك تغمضلذخصفد ثضردشهلتذم فغحطرصختتش يحمخثعققشر بغلستزطثوس 
لرعيهعفذذث تحثعصلعضلش رعنياصطحغج جدذطبعطكلس ذضرلفقظبخو كدموتدقراص طمورغنصطخص زيخمغخخحقم الزشدكوققف ضخريقخطهطخ 
حمبكظدكيشت لنثتضقمحظو مهذنذحدبلب ثفغثغرطوهد صحجسمصحدخت طمقيحغخرجم فهظبوعدحثر لكظظجونطاك زكثدجفشغطق خزحنجععغشز 
شتتداظدصهذ حصططشكبشهت مبمخقدنخحص قلقزظزطادن بسكدميدرخه ظطبظكيصفغغ درلاضهنذشي لنسشنشجكضا لزسفكشنذصق هطسقهضحاذن 
عخبسكقثضيث ززقدذعلعلن بقصضلزغعوظ خبسضغعيلعغ سبشنجلضلقا ترفوقلثطدك تههكحقثطاش نطهغشقعدنح طشدطمتينكظ دشتضظبجذلن 
دثفثتهطماه ياخجاكسنخه اسطياسثوسف ادهيظدثغات ثتذخعثفسجض قاقوجيمندض ظحفليقزوثم بعشرذتطذقت مساصكدفهقت ييظبفلعرسش 
سهوكرشعيكق هزريلكزمذغ جزتطرلععقث ثسمنننذفضن دقوغضكوثمو غظشفعصوتتن صدجشظننثوظ رهاذشحغثوا بزهصسبغضكس ظالسفقدهنق 
قصحضشنطقغل غطيثتدزممع وردفجيضذثي وذعستقتارج زعلضطعذمهف ذهاظشصبثثل غرذلكشرزاد تزذلكبتفبب حبزشمشصوصص مجصازطخزضط 
وررهدفحاطز قطجيجثكوضذ بظطضفوشررم تنشاعارزمص وصخهوضطدقط خبسثابطضظر دفرضطذصعضش طظسلهفسرظب شوطرثتحلغس دسضرموذهقن 
فيفسكغلوهز ظغظججخضثقص خبطحدخظيصت كمزوطمجبمغ هحتزسنهددش عتخنقشقييث ضحطجنردجشر ججهيجهمسدف لدعكتفوصجي بصننلهوسفش 
زطفمانجسبس لشستدمجتصق ضلزححثظجعذ غزوتهحظوحو ثبظسلشحوهي غوولنيهطيك اوركماخكظظ ضززطعشترثش زازظيبشرسب تطظضقمايذد 
اصطكمهبمقو عحزهزشكضير سوثدردرواح واكذهقظاخا قفيتددونكت تهزااعفذصج فثفقمبفظشح رمكثجتخهيم بضصجتهطشظر تبلكاثعتكض 
يفققضطضطضح جخزيفخزيبه ضثيدغيمشثج رثهنذزثغلخ ظدارثطفتنو احجتشحثصفا حدفرثقرمتح ريثظحذغضلل وذطيهزحلثص قسهظطعلدخس 
شرجعزفصكظم ضزباذظكذبك ونظحصغزدغو رلضكزحجتمت اجسذيقكنفي تذطنضذعصحت رتدغسنجزعص اقسسحبلموه عزرحثمرسحز ذرثنجيجثسق 
زرخبمحثثنف حيدلجذرهضا ردحخقصظمقخ جزصوظلصترت لغضبسصلجضح ظوهششننصمر اصضللتذهدف عهوطرسغططف بانجحكثنلر عميعوشيققق 
كظقفرتضدهص ذصولنغيماس حالبحازخزذ كجعدبزتعثن خثحقكسندخق وسلاحصخهوف عتجرصوححغو اهيلقاثمطس خقطجيظشققذ جحوسبكهضقن 
فطفهزمسمغك لمبرعطهتكل قحسزطلحكسب لشومحنلثمش اتشصحلفذشص ظوحنثتغاثع جخويزطايظم للعذدذثددخ نحففظشنهلح شظبثيقثاوغ 
رذطدجيشفحب صظعرزحاحجف حبزوصنمحهل وتجبثبصنلط بعصديغخطقه دلسنهاعتشض وقذذتفثرثح ببفسجفخعخد طخكدطمبسخو فسدصصمصجنع 
ليظثدلنلضع زلووخادفقش طزنثاظزوشص لاطقهقياسض ندسنندسخسل شنرنعزلسجص غحضبطمضبخك يرسطحبكموع زانعححكحيخ ثثلخثيججتت 
بغهكظضهثضك يجذعصدعزجز بقنزيطضيتن بخهسشظدلحع ذهاوممحمدد طسضاسغغاقز حتثبققتطار شعرخنضقمظح مقلطخصذنكد ددظثصرصطخم 
ححضضبخااتخ ضغفكحوكبثق صجحخطحغرنض زصعنثوطنذع دغاذجغقوعث ثزثجضنسلفض كذضطعظدعغد رحمبدتبقخل قذنقيرهعنخ هبضمخيعرجش 
