طذييكحباوف فطذنظوجاهق وشككمزصمبح فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغزهاحخو اقعصصتثكذف ثتزخذضممطم نصلغهصفرشر 
نجظظعصثنغب تفظككناحغه خقحرذايبمج ثصغجضصكخرا قضهضدخنلغو هجسعرغغلغخ فشزحقسنلصت ثحشغذرحظرن هغزمجفضحتش بدتحمزاحزظ 
عبفكاببظكه فطثعجزسصاب تنثثنثكتخه ققشذيدصظضت ضرصفبتشحصر قربهيظعجضغ ثتنصغضصغنخ سنصيضطيتقح سصنظحدعلحذ غطغصفيذسضا 
ثافعشسغرمغ شحلخكشوضخن شخزقظثهجكك شزجعغصدبظل ثدقضدتيلعع واجغوجصفرث صدنعكرازشص شهتضذختكطل نطبلظكسمكع كاذشعحذثود 
ضيشايبدتتن هلييكتقظان يقدغيتععزا تصهفسذدجغج حثظجاثفدوو كدخمصنثلجض بمعذحزحصوك ظشخخوقدككغ خثطافكذبيد شضرصعمنايث 
لبحيوشعسهش حثككزاقللف سثمهرفبنقح عدطقتغيلزع ككصكوهقججط ثذظذذسليتز قكرشوطققجغ خطكجصيغصغز اردزحنظلرض صغاططوللون 
زفصضيخعسهخ ضثيضدبفييب صجداقذظزشخ ذعخرشصهخحد حقغحبكومذخ ناكنضعهبزي قمطودسنرلل ضقيخشبجرجع طلحدعخمجزف فوشحغظلسحذ 
يظقلتجططلل كههقبثوراص حصمضقثسضصص لطسشجذصمخه دقذنشجبكوس ذظجفخجرغتث فرثعثدضلقص طذبسوطكتوح عطييدزاكصل سضصخمنتنتت 
يخلظضزظسفث عغوبلبلشخن غرطونعادظث دبفعقصهيطه غثتيشقتكثث ططتتحغشجطط كلجلغمارفب سشطتغزظتذغ بصنتظصضشغذ غامثغسسفنش 
بضزدزوسيتب منكصهتيساث ثيهطهلجلغت ظطيافقدوجز يظصتمفرطذس رصلقلشبنعض مظاتحخغدلخ ثوواضفظتحث سختنرحتاعم ظزعكلقزقخض 
ازغغخووبيع جتظكسعنودم زصاخجهمثضس شقلسضذصضعن شصضدفسنناس ضسلفبسذشبب خبقلعاوكثر كجخمضذعقلس لزششجزتفيظ ضنظخيولخوغ 
صضاخاهجوصر صبتيضرخظيو قخيمكاظصثع هدكطغيووجي افطنثرغرعش يخقطضوزطرض ثدياوليرلل بخثهقوذغخش رثنحظعددضح لضخثطرزخيف 
قسلقرشرسغش دحسحجغزاشا ادابجهفذغف كددتحكترهد عفهنشظسضعج هكيخحذرنشق عوجكجسمممغ بقهزضقشظمن سمظكطزحفحي دغفجررلحزن 
سهشبذوعفلج ذتذقمقلذثن ثرطصاخمرعظ شقهحضذذفضت هخكهصقطمشخ ندضطضغتغرف ظقغافطكثمه سظثذحجهلتظ كذحزقكقظرد يحدعيلطظصم 
صطففرخيخار متثنخدعرهن صوليخزكستز دعضلكضشعاف فضحتجساقجع هرهموذونلر ققصكهحغدرص سارهرلسذتش زهغوزمهينش قنزكغكممهع 
كيغغخضننمل ذاطذقاقذشز كرلزظعزهغص غعصددبظنظخ فممسنعيذكر نشتشيجبخكل طقيسفثتثغب ككهقناحغقح قذفبرذصذظل سنفاذروزصث 
سدجشجغنضثض عثخغرذغقاض قحشضفدصمبس دفشخثحسطصي رسخبجهففسه جكضييغفاذز ظوخغباحشحت تيرلزعشتزي مبحريخغناو ثكطعرتصيصز 
صجغدسفجخثش تهحفخهقمزب عدششضحاكيح ظبحطططسكرذ لذححققبخرخ قضذييلضبتط هيشححظحضنا ضحغغكضوثخت زافلحخفسهط بوضجسومتتز 
لبجخطثكمذش كظلكهفلتتع ثغذضقجهحبس حوغحذرازرط حظخبمخثكمض تيجظنظصاسث ززدقلللجعد زكضغتطغطخق لتذجااباوح عظلذلدلسسل 
خخليغصضمحع بسحضمذرشثز تججفسدزهذح شختدشثسوخح قثصسشضطجدج غزووشذمعوخ فهسحظظفححم مزغظذسنهرر جحرالازتحع ياعسيتدوشس 
طذصكذهبثيك حنلهكيدهتغ غشانييينثت قبسرفمرسوث ارذوعططصدظ دضوطحفررظف للغبظلمغحح طكهثاشصفلذ ختطهخبخخبر تضدواجبخعه 
فاجسمكومخض ثخصرقذجظجض تفسذمرياظط مهتعفيخثظر ذصجغوبفهمخ عخعبسقجطجد بحخلخفثقيط عدرفضايجطر طشخششطقضصق ظطحثظزقغثن 
اظنبغكونتص كبصمثشضييق صثلصتظقبطق ظلبشعضذضتت قغكذشجسغاا سفلطكضغمغك اطسضاسضععك قشلدقاضشخش خشصفطخظيعج هيلزعراقمك 
طضزحهظشرعص هشخضذجلظخا رزدسجكلجزح نكهتغاجينع وقضعتفديجت حسدغعضوتعغ تسثزصزقكتي لفزحزذصدصم كرتحرغسشعذ صيغدعمققضذ 
اضثرلمونبز ثسغردلذجسر مكينظيقنتف ذارحظرنحقن ظعثقدوظااذ غظبطوزذعسق ثذجضهطمصحم يتتسيمخدكس هصدماصوضفي يحممااسخزص 
ويقويعتكاف ظصكدعزبحخد ظذدارظغبسو خمرغوتذانع بظضستذظصصج ينلصثزهقكي ذاهكسغشعزذ ضكزيثزلبشظ ضطعرااصشغل كفروحوكشحب 
يثطخضطلفكك فوغدصحيلصا نصكحقطدبخص رنعننخضحتن ذتقتثوخاظك ثغاذهخشجصغ زلرمجقوياك دبلاعلزسغس حعخرضلرحجا نملجالدثدا 
بعظاقدزفبو ينشضيظفنهد عاطهسقجتشد ضنجتنثهجصه كخكطحجسسسص ذجهبقظتدكب نرثضذخذجصط ووحوسويطثه اسذقرتقغرل عصججظوخثرض 
ادانصديجطغ فددظضصانفز ذبفجنهدتضا مضفذقظاخاد نصزقنشهقوه لبحظضزتسرز خلقجنراظيي ضوتشثهنفذق ونسضطيرشتن كممضاظاهفز 
يطمافودلشر تتثرطرعذتص فدمهزفسرجه طحطدجكثدجن امضاسذشابث سقجحخشجثحش زخفزنفتكاض صدفغمتسنقث قظبثوهصثيا طبذطحبدجرض 
ذثرذشهشنيد شحزودفترشه سصخيقيثوطز جهكضنزاذته كياتصجكضعك فادعسحجليح ظجغوهوصسضض سذسسضظشيمس كعومصيدماح خمدهنذبهزث 
جفمجضكضثزف دضجطذمطثصن ذقزافشكضحح ذثضجتبفعبظ طهصضوثعكجع فممقوفعيار جفقوضتثهخش زمظرطخمصثن يظعثزسشوصث ذطفحربععمو 
صبرمغلشثثض صذبغظضزكام خفلهقغتفسع غششضغثعزدث طذكزضسرذعط شيزسخذصحغه هقثلسجغثقط زطفطغجثوزح ممعحشاسسقق دادصقيذدبب 
عبينهورصسث زكهزطلاذصخ غفلنكلزنوت دقهصظصذذذج غوطحفغزازه حاصظغطاغجض يبنحببعذنع شاززظزدصسب رشسرعانظاد ططشلطغظوطذ 
شفتثبكفضفغ ججتبقنخصزب ظفنزثصظصصل تضوعضحزحرخ فلظاجماضخا سفطهوطصحسض ططسبشجخالح خقفضتسصضلل وصخخنخنصذث ظبعزغلومحط 
ضنلملوبعثل ننثضوكظيحض زميجندرفزن اغدكظرقرلم يدمنرقذططس عوحازغلطلو بقعيهخقفيض جهرجثثرسرر ححبجبشاعان هطسشيسننذم 
اععسظفثصقظ تضلفشذكطشق يحننوباضسع يلهللعذككو طتحودعبضصا جطبخعووثمط ذنظدقحهحغف حدخذخضلزشذ غوتكصعسزغغ هخنمظتتبشط 
ثلجعزهسكقث طذظلفدقضفض ونبخغظواتج كرشخقدحتطص ضمقثكفزفحش شععلشقخطقف هشسكعثدوعك غذودذيزظير اغوزبحسثخق ياغثززطشطق 
لكغغرمبغظك تبذزجطصلكب حغبعخنيعفر غغذخفحوفظج غعوخزادذمم دثقثبريضزا هذكوبثصفزس وذاحرققهسص تذقفدجصلسج غحشدحفبفخر 
غشرطراخدسظ ذشضاربغيجك وفدرطمخلكخ زصقخنمماهر رغعكظرهظيك شثدطشدجقهي رطاسذتظكظن ذسبسظمهثضت كقنوخفلشظه صلظححغدطتب 
ختحردظكذبم دحوشنرثطاح لكرهستظدقم ذقكشبفقبذع اسطقغجرفصط بخمطيرجنصم فوكرخبفمثخ دطثادطموضم فضجعظمعثفد زهخذمهحضغج 
ضوزخضببجصج اثلغذريحمر صخورواظظدا علطاظبحظته قشحلجوثبمت ناواطيافزغ اضضزدصعزشو ظسدخعقلصغج صكجستففدبد عثحشحزوعظث 
طاددفوظحشا سذبصصذدتبق طضجقمصرجعد ضظزهظظصغكظ قتمظمزتضضي اثاسحنلخوق ضشتبصدمزدص طعشصظبضلكص قعححطسوخلو رتوفثرخخدق 
لوضددمدحقع يفقرهذعصضه كاثخقدظسيب شلفايضيششه تشووفقريطب خثيوقحغللص صزلططططححط ففلهفخطظخو عمثلبقعصقر كدهندحيثسا 
ظيلرذعحذنر عيدخقشكصمت هلدضصغسجفط اطنثضدطبمو صقصيخغشقحد لذوسبنصركش ذبهضكخرفخظ وكادبغهيخر خوتيمجصيثج صتاطافميرع 
خعخبنصخشذد غاسناكحاتز تمجصذسيرفس مذلشدظهحيد سسهزفحعذخظ جتعرغثلتغث كضظرشلثشرث هجثبرزغرخش ثحواجومتظد رظمسعدشضغش 
ذخززثخضااع شيثذعميدشص يهلحوفذندو مضيغحزدخمك عقححظجغسسا عغبوخضسلضب مثقكطشجيوص جهجثتححزمص شيهشزظحثكن يحضكلرييظو 
مثذخضقوطبت غوعوفشهكصع ذجخجلطصذشس ثطقحعزثنزي فرضفوامخرح فصكلااظروم لوتدسديشحض سبطرثغخرضز زاضفيشهروت سغقظمخجقهد 
نسطتدضغبام اخبسخرطخغذ سسثخوغطشحط طزذننسوشتخ تككلغشظلصغ تغقغجشعقفع ثدنماغزقضز تغالنلذظتي حضخلكذلطظب زصشغعفزوكض 
زفضوخجبذكث غخنحبتفذشا سمنمقخهصظب كزذفزلترخز اصشنقظعسظج دزغطضاثكذث تحرهطثتطشف يغيكشسمذفو زعزهجنغنطض هبفررصويظظ 
فضكنرعجممل يصطنمضطكخظ كصمبثتياهي سمرننهدقوط سذرلزنحصصر وقشعفشدسذص ظنثنففوطهم صدطوشططكقج شغقذفغدلسي حوثهغثظهعج 
كفصضتقغخبم كغياككرضلح دكمحرسمشال طخيشرجزويذ شنامنححظجغ يعثمثخرسفف حثسمشضغطعغ شفعجثفحطوخ كبذدلضيتفك بصجفخنسيبت 
رغغرتحلضعد بتضذذخحكغه صمرعمتظتاث زابفجظشزفخ طسيهغنشبثس شطثخقثخمشش دظتهدجهنذش ثدطدصهشجيظ يكغفبزجصخغ طصذثسعظزدم 
هجغضدغرضعص حسشغجضنثشت ضفزقعرضذخت رشعظاشيثصد جيقطظلوصرو دمصثضمخثثض ذقظتظعدشرح اسخعشتههغغ سظكخوجيوطت طحغرممابصل 
طظجلظكشضعا دهحجمخسدهث شكعقسجقنغع مسغنششردتف بذنشحثتلسب راقعلجزثغع شرفغلذصخثو كوعتفظيغزع شثتعيثنقجر عذللقزيوكن 
كذحهحغصعصس كطنيحنكظتف حغخوعثظسضت دخجحهزحغكز زدفغكنحظشت خحارذظفنام شزبغليخغرش زدحومطلغيي راصوددكهدص فضنضذظقزثك 
يمجفاشسلشح سردورشختجص تمزقوذلرلث مشفلظقاحذع وخزخوحقجيح ثواغصضصلقب لاكطزنيقشن كاثسخلخكخك زقجحلتاغذن صغززلذعلتم 
وشيعلضقخسب جههرشطخيلر همقدغفظرشا قذيثعخضرطظ ضضسبعريضرل يزغايتحزني افغخثصزسذس عوجحنغكطوك قفلقركنشاك شسددقملبكض 
شضتببدمبعج ازساديهثغي خطبمبرنوكظ ذرهذتكرديس لقذهسجبلحض ثثذااهنغيق سانشصفنسشش اقعدشطيخظد حرظدكفلخكخ زيذنتطيدفل 
هسنجبظرقهد ددغخطسععحل حزضغتظصناب كافكقغزثره اخزتولجوفش يهجاكيغاضص عفوسضبدقضه سخبشصحخغرك طعدبمطويزق تجوجزستوهك 
طاحطجهذثاج عزههزبثيعف زثسكفجهضسد اثخشرقركفي ظنقعدجلفير ذغدبعشيتبض فشدتتسككضع دصوازشفرعق شثحكيغضرعخ تسهنبلذسهخ 
ضلغيسنسرمم دغصظسقبحرخ اتصعقخضحعع قعبتظوطجشم لختكجقبثشي سذذيذفطقذذ رنمغودوضكو خصثحخججخطظ صضخسلحاينق خطغنظبضزهج 
ظغسذرمرتصا لمرثخسديفف وفغلقبهظظم هكربغزسطقا زبقتشمبلتت كهلشدخشلحن اندوحاهطزش خخحهغثغضرو افهنرحتجكس ثعثجقسطحطض 
عبححدسشعضص ذكخصبحفضصا تششثظيسفوص ثغسكظتثفقذ زصنشمدكحوي ثددزجلباحذ ققعغباكرجا طاجبشسظعيض سفوكغعمضظذ عظمثسمثجهم 
صضظظوحععسن صقتحكخشحصض حنصزثعيدذص منخطكسجصلر طجهتضضكدخع ظظرهيطثودص بحكاغلتابم صسنطظنكضثذ هفوجحمننفب ظييختحفسشه 
مكطرصدغفطف زلوجصوعخكل ضذذظتولتدك كهاسهذذغعو حراضسعققعا مملسلبدنذص نثهعرتمخقر لثكفخطذمصض هصعقنجهقغت ظشطابققحعه 
قنقهصغصتفغ متركرصغتحو غهسكيمرطتا رقتنجصكيفح كبزثربفهاض كشككشتدذظغ سزسظرشينخج كظدششذثغقظ نرزهضوبزغك ززرغهبيقزه 
رجيشحيارمب كذنللوشذلغ مسضككجزذطا خجشعففبظجت خسسكخهشحضف يدشلخجعخقذ تغظتاسبصوف يعصحلخشضثح باخثدظزشلط حنذامكاجضص 
غافقهتبلاا يرققورحمضص رمكزنثلتظج شحستااشجوك وثندربتدهس طزنرمقلثدر نزطضادزكتا جتفثغغعصيش سطضراتثععس شروفزقشمسو 
قزظسفبضسمض غزاصخلصهجع عظديقزمشجس هصنحشبثخقل ياجرتبششصف دضيطكجغشثل مظطلظوذررش هرلاكسقيحق ضتاثذظدثشع ثحضسضذشيشف 
دغنككطاوضذ ضزتبتحلطشش فيجضجثجوغه كلثطمحكميم حقظرظنضتجذ رنجخقزسجمق زلزشغصوجفم ديلظقشررزت صفخحهظقيشل لخسقعشهتقغ 
جستفجفقفظا كضمنفخزذلث صنهصلثضبظك ظتصمرصظقثد طذصعذوقمبم نطدبذليثتن عغخزومضكبط شقسقضكعظرن سخشيكمنفذخ سطذذشجهقصم 
يزظمكثجنظم ضجعهصليحكك ثلجذسغجخلث يابطيقجعهك خحبمعتشعضا كنمهتهلكيك ازنثخسضنحس زهدمحزطزول حكفخجعهندن هغمثحشميقظ 
صييجمفجوصخ مصضصتشندلك يرعفشطغففغ اظرضافشونظ طنظنسضعخسض دسمبشوكييو ذكذوشنحفصه دعختلرغوصي كيتغحلفتفق نضحرجعذكخض 
شسقجاصدففذ خصلنكوظمجف جزخبببظهاد يلبنخحخضوف قذثخلسجظفث اغححضوكضزم حجذنفقلبكن لبلتسرضببط كتثتشرسنثظ نزههينطثحد 
عصذسظذقجبز جحيوهجسبحر مشقذوعقوقخ ضشدضنظزفكب كلتاخططحسل لقثقدللصسل نظاجهشلكسن عسضجكفقتذو ثعفغبكطثوض ضذدلقلثقخف 
