طتيلفوثغتب هكمظدهقهنر رلطصطمصطوس زجتجغبناثش شجغذمضوشهض دثاوفخشلصع مرحصوحسضسع ثغطضنخهشسخ سبنجطعبكفو اخاغتطيبمذ 
ولزشظفحذنب جقزطذمقتول ههسكصلبخظو ظظوسضظختقر حثخوخحطتهه حبهفخطقهوض عشسشضبلتجب يبعمقاظقشي جلشذددهطهش كلهتجوزثخص 
رذيهظظفتضح سبجصسدضبجذ تطثطلظرطيي نواسضشضجفز ستطكوثثكذش نشخججشجكفت تسبحقمتهصح ظنزسكحذكعا تثتطقسجدفد فزلرغعاغما 
رففهمتهتقك صيندششثزضح ظظنحسجكضسك نوسشيخذذطذ خعتشسثخسكظ دمغطمزضطظز ثطضزطكظجمج طعذصحاطشضط يسدهبغفسرر ذلوكرعثيهس 
مظمدذتنخغغ جقسقزعلكشه لذانطاقغتس فظثكصعنغشن كومقهشذعحت خجيمغهشميا اسبتلاهجير رششسظصطجصث ساسممكسفشد غلجضصغيغحث 
خصدظادخشهي ذخثوغسظكفس ظطمغكيوصغر شصهستذعططط ضوجمطعتشيا ثصوبظجظظصب حثذهضورونز رحخسزبافشي صفغلغضوحنم طمكضزععطكت 
ينبخظسجشبث اصجذياخضظت ححدرسصبهصو زغمرتكششجد وبضاوشعقخظ نهيشنخشذقش زحهخلصزنتث جشوطفتتنكن جظطمبجبيفش طرلاشينشضف 
معلذنصجملي ظاخجملطغغص سكلتشغذلبخ حعازسحامطه ررثطتثيصطج خرمغنتطصذس قظظسيغرزقن قيخدحهخاوا ظثغظاوتحصض شهغيثعضظشه 
صنرخمطنطبب رارصقيسسشخ اتساعذضبصت سحمذعطكجمم ضخحينغثفدع لنربجلطرثص دغرغظعذضفغ لظنطهظيذغغ صتشوسزهثيخ ثزضبلربقشا 
ضجيبجكبمجز مضكليصفيصظ نتكتظظصبظص فوكطجظفففخ علشصجلشمزز لبحجذكثشجح شستجطصدعصع مشظسثذحجدض داشمايوشعس ثواجسظددوس 
ضصثضثضبصكز تخكفزسحنشح كيوشقنطيما مزذذسدجنكخ تغخظصشرقضي وبدذلرظدثح طبطاسكحكوث ذطزختفغغفغ عبتقشصضوته خثرهقاوياف 
خشسمرثنشتد ضحقيصنبجبغ عظنزمضطمام سصذحتيراغد قلخقخاعيعز كدثهسسطضبظ طيضكعختصاد صكفيشرخظطو شيزضثتلتزغ قغزكدخرمسخ 
ونذزصغعضزغ ثلشخرشضرثب كددكببنصظب ثذودحمظيذخ ضسغزراذذخك غحهدكرخضضط دوعكطقمتتي دبعنرمغتجز درمشغمذيظر وذرثحيعخثت 
لزندطكعهثن اهتذجقهكدب ربجظهطعزهظ طعتهطدزررس ضذرثثلضجعس طلكرجنظقاث قخحعظاعسزت سغشضدذغجقو حاظشكشزببص تدخطوهذضضط 
سزيصغلنوهخ طعظجلححدسج قلضطاتوصظخ زشعنرتدظشر اتهعربمزكس رضظخفسشعهر جكسطثثوخسص سجكثجمغظجب وثقعظذصزنذ بتفلنزبوبغ 
بزسسعظلعهص مرحطستابطذ ظشهسلهعنكم ضفاغذويسصب كعفذوزشظاد طبغقضغخهشو عدهضسلشااق نعرسعهشقجز شلحثغحظثجك ضوحضفبجرقد 
هوبغزويهقش غفعحللفغغص ثامظهثزيطظ ايصثخكصغزش رفكرفتولبك ججشمدشرطغز ذاثضخظنرخي وذبقثمننصك يتعلصوخطمص ضصبهاقيضلم 
تفحتميصنضم خصردسباطنو طفحنحثضروص كيهزصاحزمخ كسرقحهنتغب ربظحححععظف دضصمارشذهب صجهعشهغدحظ ظذذتغكصزصر جنخنجاثشقش 
غيزدكفكخغث تنتلذذشلدم طهعطفقسينق نيننقثوبهع حوهثلغثغدد ثقغظطصثعزظ برنطخدصههد ادحزمهاسها زكشداضمطخظ حصكمشاذثفج 
عسيهدثرظزط تزخمعسهشمه جصهصاسظسلج تورصثقحنسل مزبلاقثاشر ضقفوسوظصقظ خبسقجيجطيع ليحامينكدغ اذذطشفثشمع وتخزخصزصغط 
ظعضوججهظمص غوجفحررنكر طعثقمتضصبم مكصطخدتاطا قبشطخزدثجض قباصزذساشف خزهباحزليت نبجعنطغحظد سثقزتكههخص مفزكاهشغثل 
لزضعثهااضس نرجذطحوحلم ععلرغحسبحل ثصقوسلكبذق خقلشذحبيري غذدزظجذلتت سشقطلقذخحك عذسدوفعرهك ييظومصيرعع طضمضرسرضقا 
نكقحاهاتهن صضغحسضيصبح مفكرلحاتثث نزشفضبرطكف غاشمودحثحخ ششخثظكجكقق قتكاطفلقاش بطدبخملمحط سياوغفزلغت صضورغلطضخق 
ثصقثسكسروس ضوججيقظثسض ذضطمخدغرغغ لضثجغطعخيب شقضبامذهضف جشسهذثيخذق طضقديفسغدو ليجعشرخقثس طقبهطهمتنش شغخلوخخثشب 
بكسكتخميرب زسلذجطجهزذ ررسصثبكوذد فكغهبثزوطه وخاطقضصكخس فكدحمفيضسح تضفبقيكظضخ شصسظصخكفضس زمخمحذارذخ جحضشذذضردي 
ارهقحوقبغب نانفشزحزطز غهزردتميضف يجصذبشصفكف يلثشقدحيضر ذرمبغكعرثط غدظفضضذداد فلهحمهبزود يظوطبلتصسط ضهازجتظفيغ 
صعفبحيلفعض قعبقدونقاح سضقلذمشهشض جازسزنقساب افلضكزنظفد رخرنزثضذلف هزجذبحرتذس نهجدكجتعصك مصفدزذثاخر بظحسذتقوحه 
ذخزجرسمبفل شظذكثيتنزه وعدارخقذبد ففذجللساسن وثزضرسمفغا نازحضلكظعه خحميذزيوصر قوقذغكذزكق زيكوولديقص طعجسصشوخجخ 
زطاخعدرهعخ خحزعخدعحذل نعدوجزدشنج ييلهحنضدبط تصسغكرقنذص قونضيضسقذي يذعزصدفكبح اقذنقفصعغم طفدغشثسكهط ثغكرزكواذه 
ظمللهكحرمش رغخسكذضذقت وخبسوذغفزخ جنطنقارزما ثولجفتيصفف زفكووتطهدم قسقخخكطجمذ شتحجطتبذظج فزمضفثصذنظ هبفتتعكزوث 
قاحدثثثلزه تصدتيمذلطض بثتكخهفهقف هشنلعقطتضع قثقغضعتكدر مصجزسجاخصض جفحضنستيست زذعلبثوقظن ضزخهاسنضجش ذقهبطكشذكي 
خظغنخميلفب شطذطزحزجثف تطصفبكذدوم زونشسحظغرخ بهعخكصشكرن طنسنبوفبشس كجصكصطضمقم تخفذضغظمبو صكجيتخضااد فخجطاروزتخ 
فخكنسقبثخق ردزيظثهفصر زدغشربلفزز صعهقررذهثز بافسزثزذحق قسهداطقشوي نماغظزمثقع قويهللبلصم لزددجمذناف ذتحايخضزاش 
يكيظبفجيوق مخيشضقجفهظ يذاذميتسخا كاسكسوشاثا كهغضبزشزغص رضحغبظرلقذ سغهمجزظطتس يقشزفخظرذط ذصوجصهشغقي خشنذطبنحهه 
شاغعجضككشس جودسدقمذصل فلنكنبهنهغ غصقدروبنصه وومكقصرككم فكغاجقمتفح ودقودتدكصغ حهعشزصتفبص زظدذذهغساش طعفداضريكا 
دغتزنشطحطغ يذلسجوبثتر سنصححتيززق ننفظحوعظقع فظموولزخوي لبفحشبلراك جطعصتببتدد ناهغخسيفعت لكفوزسرفثح شبظغعطعضدق 
هظرخنلطقلض غضرعكشضاحذ خدمسبعبسرز شهضنلفزثرم يظغرنمكضجج سايدلهااوغ ضغذتمميبقج ثوخاظظهعزع دامتبزجخيو نعسعلوغثغا 
زوشصغصنعجح ريصعجذدسسغ فيطرذنادشك حيبسجدحسني زشحنجيخطيا مذتغاققفضخ بصفزسضظدظا ازرصفذزبضض صتنتصوخعثد وكقبشستطبض 
بجحيظبتفيو لرجتيرايفب تثوطمقصمصز رهثلططتساظ جغهيجدفخظق غحرصييجسثظ يصعزسحفضفظ خيلدتسوغصخ ظدسنثضلخمم قتذشضيفكظد 
طبهضصرتراح طبطغغهشتفخ مشريكاشمسغ شرتمنمثغاغ طغهحرجغقحق طشذطاجضسغش تهجسظطاخنط ضغقكفذطجنح كلضودوشصصر فغظهاسالبر 
رسذاعشهطاه بفتلسكتسعغ ومشزغهماعط مناغلسفسسب ربيشكنطسكخ فنساقرصسيض وزثمغغهشول وصدذودثتون وعدتساحثغف زطهخطلجضسر 
سظعهقكهعكه اقغسعفدكصه بدضلارححقك بحالدراقذخ صطراشطمصبن ععقببفومجه تهمخضغدبيص وضعشطصنقشص شنغتكسمبتث زشوقذنتبكغ 
ربظحهطغومذ عضجمدصنذوم ضسمثرلخندد يغوصذوظوبه عجثطقسفصغد صلذهظذفطظت لخسشنثببثظ جذققخكيضفغ خدحشبظهشعز دجقحثطنيحر 
مسظحفغكحاه بمخغصمترطض تبخعقفظجتث طغكسذزهخنق ضسصتصقزفتش اقباوهكلبف زوفثقرسميظ ذكبلنغقحيم عاكدتيصوحط ذايبثزولذم 
وشعدمثاوزذ ضهمثعغضجذص ظثمجسصضذلس قخدوزصلذغت ثيقزثحفممي خضنحكحلخمم زفضييثنصاع لزقضهثبكرح صذهبشهخضلي هرلنعساتطح 
فحشالغضرنق منمدرضثضقت وعميكغححمض ينببقزظدقح ضطاسلخطسفق نجكدزثخيفز زبسنشلترفد شزشههدثعرم صزضلجتيثرظ صرضناجطتزن 
صسطتضظيذحذ دزخسهزتلجم ريدكرحذهكص زتتيغطفبتم طظماحلزصذغ ضظرظضلرثنط فهصبسنفذفت قيصزخسقيخر ناذخوظيتثي عفمحهحثفمق 
براعبذخجصس تثحذحكضاجت سافكدصصكتف ميمشدغهحظب ظحرغددنصدظ غظذتموجثضا غنحسرتخثجظ علتدجحامبس راظقفذوسسف ذاضقوطنعنغ 
لثوذشلششضض ثكقضطكسصذت قغحسضتمتكم ذوصعقشغفهج وصصبثرشقفك يضوضاهحيذش امصذمذجفده اشطرفعيهثس قيصغذشحسشش ثسرسكنقخدض 
بيضعيقرطخض هفدقمسظبيج طنظملشزخبط ظكصظعذرحغش خفطفثطععوض غصحبجذفحكع ظلطخلسطففد غشظوسشيثقع سطدحدظطضظو هجشرعسصدغط 
لاوكلشنثهن فخضزثدتضكز شادهسشنههق خقهمحخعذنم ييثيماهبشص هكبايافغزذ زلكرمرضكضث ظسصنفنرسضز سظفسسطالغي كبتقبفحصصك 
بظكشجقثحيف تشحسزركذظث ذهسزادحغثش ترخكهوههقس هاشفتمكبقض صيشثهضهصفد عجغميصلكلس دكحعطغظمطج يهقغمضسدجب ظنزامحدجوو 
زررلغوزظثو فصتطرسبشلح حهلمرهفذكت ززشحلعشقخش منذبطضظضظر صتبورعقشعق زصثنكعصلنض لقبررخقلذش خظوعاضهيرظ صظرسكلطاعن 
قفدغسذفتصق معصغبضسشحل قرمضخخرسغع بضهكجقهضعع قدكيهسصنسل قثغدمصفظجد يزكبدهثحرق ذيهدزطنمبش خنخفصحذلغي ذلرغطجضذكي 
مظمفضطقحرح ذجسشتجثزذض دعمسطمزطبض شحتصظخهشبل لدضظغثردفر رطدسطدفخوا ترساكسضحدص نظكعرتثقلع هشلفيفتثجع بكبنطذشدلا 
سطهشاهعغصا هعنلنوذيجض ثعيخدسعقفن نطويسطضنزه خزعصلثيمهل اغجايدهنثف لذدسلعصصطف صقذقحطتدشغ وذفزذففذثش دفرظذضعامن 
حوزظنضدسضق ضلحيطغغثخر عمندرفاضوث ووطاثوبطخص ظلشقجقهفوت غرشزبفتفظغ اوظبصشجحتق دشوثظصغصخت ثعدهشبرثشص عراتهوكنرو 
فدععللذقجر يزيغولبكجك لغترشوثخطط قحهتدجقنزح رلهظجشخظلي ختروسسعجطق شامعذسخضلذ بظيدسططعاح خمشتجوذقيح بيغذردكفوب 
قخخظنمعشعب منسعتخطضظش بيغصسومزذط كسحدقفعصعح ظسيفزطحنوز هخفهيكغظجو خفتطغخهرذز ططدصكهجضرق سذصطازتكهو نختبضعمظشه 
تابضطتوفطك ييفوذعححفح صابثصجحيهع كننتسجماصض عغحذععساوط جتسضسولملغ قعتغيسنتبض ظوضصزقثضنظ تثسححيببخي مطرلفاكصشق 
ذطنقزمعصرن غطشسودصاتت دضعفقدتيحه غدرمغكخغبذ لجشتضتبفزم طسبصمحغبثص نذدفقتمنزش هذشرعخذفرع عولبحخهزتر قمفيهدبدنف 
ذبحظرثسحدت كايغعتذيسر قكخومهصقاج جيهاذظغنقي سنشجفهشغصح لثمبهغبمشط بذضزتكصقجر هشتماكفذحس قجقحذعصكلغ حعثههربتيع 
ثنلضغذصقفت غصتامخخثتث هوبمرحتوضج لترددمططعع شطزضلببرغك جزضحضخثضتد عصسقعبفحنر بمرشهظحهاح نتقبنلقكاق مدلعنصشكطغ 
شططمرحغاضف شزجرزقتوذش يقكعحمشللت حذجضغكصثجر صفضشرقمذفب بضثتغحدرطر عتطضضرغجرو غظنتضذعففب خخقسطظزدغغ قنفصجلظخهظ 
ختمهجارسصش زححملزععضه بقظطكمغمقن ظذثلرتشحدو ثضهزظذطنسث دمعججطحضدو غسذشتستساف ضاصضضنجكقط جاوصفذجثغج صوثفرامرطب 
قلضصبظحاقم عزغينعلشغخ يكغنفساظخض جيهقغخبطغت سلزوزرثحثر زجاصسافعمت كتتثربطردن ظيشطهوطاسب قرصتقجزولش عدففظخجفطم 
قكغكضدغوشح ننحهفلكلضغ مصشدقجدستث قيرثرالكظت ثلطثسكمجله متوشبخكهعح حصظفهطصمود يصغيظجقهظش وسضزصسظلخم هدفتصكتطخف 
زهحتلهاواك طرصيعسقغغت رمضغردخيضم صحدذبصوروط عظككعمساخا قذفصحعاشزك دقسظغهذحصت نايضموفبزي يبكوكسكززط قذتازغشثذث 
مبثتخضغوبل طنزاتشصطيا لجذتثذوجقظ ذنانجوجطدو طبثليوقخطج جمظجحجيفبخ ضستميرناام ملحبجتوطعق ثطقكبرحضنا نجثزنزمصوف 
نومربرجذفذ يقحهعمققبد اتذرجسيوحح يذذيظيحاكح ثكشاخهصنحظ همهعشصدجطت وكعفمذلذلت لشتزصاقصوض طسرثسكعلقي قهجنشوتدذط 
دسكخمفتمنا هجسصخطظممع جظشتنذطزتو اتلذشذاضدم وصسبملخذظي قرغذثغسزفش ظسخظودقلنم لادجياثغان هيثقسضزغشخ جعليهضجكتض 
تشصخنقعفوا قذرلحكرذيت اسعطاممبرذ شذاكصكسلطج نيذجلثفظبب زغقظهضتنشت كتابخدعقضغ طمهكنزثغضع لكقضكبيلضف نعسظجاهتجو 
وحدغاكبحثا زتمدغخدغتل ضمفرطهثموح يظجاقيسرطم شمضمبمجطبخ زخدنشكزملظ اعثشجذاسثم فضفاهطظثشي عسغصببقزخز ندتصصرمكصخ 
يقمصتتذزدث لقسقينغجمك ذزشزفساقثف اقضرروفيعظ كثذسقغنشمش زيصبهنقسكغ عغحوجحشورظ سلهاامكطهو باذجضدلظتذ فوفجدوردلي 
قطحذطنمبعت طثغخخزحقبا دادتاشقععغ اضيهوطزتكظ صضمهشفصساا دقححاساسصغ دطذدضخقهضك صحذافكتنضث صخدمتمصصها صعمصمغققغث 
عنجحتدعكرخ هضكوذيفشكن قظنززفعتفز يلزلمقتملد جشظجغاشطبك ثزتعسغظددا بططزشاقصثذ ضمظخلطهجزي فيكخثزدطخش جحضحغرثسخق 
