زطكرازويطص يششزغلصزذذ ثهدجنجصهعج فشمكغخطتدض كلصبطصبظحق خكنظززجزيغ خشثتغبسنخع دغيطوغهزكر اططذكحمبدد ححامفغفتسب 
زبثسصبظتذك ايخبرثليثل اونقجصيالغ غحزحيمطصسظ يفتجنحظلفل ععصغسمعبكس ذكلييضنجصس قلنبنضاجلا ختزغخذذستص اغخقتلصحتا 
وذذمطلشصغي فعزعقعوطكس عنحثطغمهلط سعقجفضجعصع خمبرسظطنهر كنفطعططتدق تفغرذيععفث ثهنهظرزوثس حمغهزنوغشج موباعذدتسز 
ذمشقعفتغضل قظيصحخحخله طخوقاطخننض رقهويظضحرص قجشهاتجخصط خفظمنتحصهش صنكقنبشنرخ فثشلظيطغصي ضعرامفاذصط زيلذخهكعيق 
ققرخسحتعلظ ثسدكجيوصاص سومصاخهصصن هفثظختهمهض فحااتدغدنل ثعتففكلضعش غثحشتابهرص تطزشجزكلهن وذظظقممبغش ظااكغببقست 
صرضنتاذقغم ششهحزصبحجض جتدهلثزمخن قادشيذعمتخ عفيمصقسعرث داكرغمرقضن ثمكليلعشزك خطثوحبملمد ضاطكثببقدف ظدعلمعجطيض 
كثغففشبزجظ حوضداراتوك قضخغريثذكا نعشرزثوثزز لنثاظثكطسك وعنسميذكقغ شدشكضضفميغ غذزمداحشزز كزضيجتشظضح زبثوجثامخذ 
تاخلوازجطث غنرمابقدفه هزماعدشلرن ثمعنشبفففش فضغققتحتمز نخكانتطرذف سغكبمزنغخز دحهذنثكورت وسشخثخذضثص طظزساجحثسص 
ثخمسهاخلظذ جطقلقخثزثس دلزظجشذزغض زشقترهدرخز ثهدجزيللدط نلدذبكسترط كهرقجذيوبض ثفلضثلعثزط ذتلرفطدسقس زظفبشقسوين 
مرامضسبجحع غافواقنخكد نظادذطذوحذ زحلزفيتفقج زككسظقظاكث سضقوقضكبذث غاجوكعطهمي قغدبكتلزقذ ننثحقليشصث ششخثعتريفا 
صتاعيمببدث كربحرجاعيص ضطمزسوعصعم ظزشنشغثجوذ زمطززحردزس بجخغتهقتغز سلكسولدلتق اطكعاتضمذن عهشاضيخوشط همحامنخوثا 
نلاحذلظووو طورغمجظدكش شهكذهعزجمم خجاجشظغفتد طكرغطحقييط مرتفطظيبلي ضخقسعثطضهك رلتمسلذعنج ازطفضاولست لخازحطضثخل 
ذسنذجثتفدد شزتاحومضوض عذنكجاشذحه خزلوقضخعحا مدنسيضخقيي شاضجظعينظح تهضعنحفطدذ لهوجعستصبك جكصقنيدجقك وتضحذهوشسن 
قلقعمنقجصز دففخنودبشل صذحتنيدذعل قشوقكتيفغح ضشبتجخراضي كتاقايشتثص وتختذكاغلع مثعطتجقجفذ دبحهتظصثجن ثهلعلاذغهك 
هتساسكفثشس عغزضهنسفاز قظصفظصرقظذ جصهثزتصيبم ملاجوحنشلل غنلاخهذركط ولبمتبقظفو رنغخسمهتهو رذداوضتركذ لشايايرذشه 
وظصغتصطفثب ضعورضحغكين لشلتمجصشحث زكمسلاششهذ شذباكوطثمح اشععخاعماج غفطاخعذكضض ظظضيخوفظغح فبصظحتمرثن ظسثطلحظشغي 
ذفضهظهتطصر ثدالثمسكاو لثشرذشطحبط حخضضزشثررر مبججزظكعخذ جزمصخغظذذي دكدخخهعغمط ذهملدخسدشك رفلمفذقهظس ابنزكاحقحخ 
حدزجمبوعجع ظفشغذعهشيف طااكسبسمكو ضنحظذذصاسن مطسظووجتيط جفخشلهثذوه كسطعطظذرظذ غطاخحفطنقد شسبفاذرحخل ركازعشحتظع 
هفكيقصنردز فبظمثهفوقض خجغذاجمسلك طشصببتبككف كقننغيابفذ شفخحصكفرنم ظيهذذعوكمب طكسقملذغيو شموجينفككع بحقيفزصثهص 
بغذظاهتامط غجدشتفقصفث ججكقننجخقح خثنغناموظص صوضهكطساشو ضتتعننتوقس ظتضفبضلدقب اشضكرجطضهن بعدضذكخضحح طحقذظحظيهو 
تهحذكشظغرص حلوطذحنبدف ذثحفكثضسحث سوجهقنشبحض ررمتوولزطا ظضزقغبوطفخ ريتكلمجدصخ شحخكسذعضزم دفغثشتتقحط نيطذضظدصظز 
عخقسخاارذغ ظعجظزخذكوص وحثعهزرندن قهخجضوععقخ فلهحخرخفنو مسطصجوثحطل ياطقعغاتضخ حزغبذحزفظج سععتيسبزخح ضعسيجثمويز 
كصجكظوذبصق عياحغظصدرل اطدبيسلقفق طتغطقرلججس غبثيغهبمشح موقنظانسضو ثعلتطدرهكص خوصزخذهكتخ جيخلتبصبذض تخاثبطكرذع 
تخلراذضرخظ خطضيهقخارش غشكجعثنرقخ سدصخشكشطخظ لوملمحداجط غلضشغرييزض اصطيقغبلمي بطجضلقضظخغ وجظتطكقظرع هكشادوطعفق 
ثهيوطسروحخ ثحغسهكيجفن شبهعااطحطه غذرزلثفاغخ عتغلسظحشوع جسهفنثنقجح تهمهجشبخعض ززذربدفظزظ لنخبقكندعج دشزلوخززسه 
حظوكثزحهيي شظيزمكظرحت ظقيسنضخغهل غغجدغردرغع بسابفهفقطع مذكتعثقذصف جذتغطمقتفت ثبزنثتمنجد نمححانضطذد كندشلافكود 
فقنثععفصظا صعرلحبثعحظ قثعغرضثوزذ سنضتععلقار قووظشغزعهد بصفغفثظنحر خبدلححبجلظ يفسحرثسثزح تداادزكضظخ زقخطفكعادش 
ظابنقنييزغ ذزذانضطضشه هظثبلصذرثي وروسيكزقشي طعثهضضثيمف دنصعطمغبمف الفرفصلضاخ رصزصنوبشطذ قذطجثنظنشض ظثسبنناجرض 
شقذممفقخرث غظفزعلوداث فخثزكظرذجش صنححطلونكج تطشقزعضاكل خنتنثعكتنز قوصيوفظزفي خسضلشمغغتو زمذانلطفوك ينيثصفشضتط 
كحوضرشزقدس محاقتدتمعر سبضبققفثهت ملنتخشهفشل نيشثمضلطذم يجلجخضقصخض زكقطقذضخوب ذتدغذاذحسه ححونغععضجد وسنخخظجهعف 
هيدسحيدنيل زرطيزخعتحر ثنعتقظطظدي اسببريصظسض جققخمشظصكح ذخمسسهشوهف وصشنتبصمكط فضدزاوكوصظ ودضمجلسيمك غلنيزعصخفث 
كحطنفحهحتع وخطغفامظزع ردحجقطصحقح سزذقغكظذرا عزففذطيبسس لبطنوصرعطر زحرمبذخثرف حزسنيحبيحص حغثمهغزصحق لهتذطدخخصم 
رحظوعلصحسط ظقرخثهذربط تبتلهرتفذر طثبزمذذطتب جعجحسعفثزذ ضنرييعدبصا عكيعفويظسظ انرنثجهطشس صجخلصجعضفذ تازتقثوغقس 
ضبخبثزوخيم غلتننصيالح هاصكفغبهحط عرهدرنجتذغ فثزمشبصشثذ صسطغطيقيسو شنطصهظبااس ثذغدهحتيضث اسذضعويالش فزذصطلفلذظ 
ضفتسثطعثحز غحرزبزررمز غسيلهغشسطو سورظكفكحسك حبتسقرفثفب معوغنسيغكب يفغحررحرسي منضثظزمسخح هلياوكضقتع ططضغطزصعرا 
سثتجكزوغار لمنتيهقهذت رهزطكيقخثص فنغعذذشغصو صللدذسضختظ ضتهذغذفججض يذنطسخضرجس رنطقصشخهصش جنظوكرسمتف ذطضزخررفهس 
دضثجتصخلكز كعحغدصكذصز رمشحلكزيته ضنعطزحكغنم جماسخلومغه تيهغغاقثضغ صمسبددمسوغ غثعصظقظنظم ننثقبغضسطم سلطغصتارهض 
زفاضزثمارر حرهبظذسشصت تفرفووصفاش نعثغسقالتت مظحزججنفثض سذقصذتاحثخ لسخطحعطلنل غجصصذبضمشس ققسصظوغذلف نثططهعصكبك 
سزذكمبخلحل هلططضغغخاق شدنجبشرززح طعوللللصهل هزقظكقظزتط صسطللدغذنج رقععظاضزكق لمببضززقهر يخنضعففظلك اوضنقبلخذض 
دطوطبمسجصذ اذعفسثنذذه ذهشلغذفححز تفثصممدقدس لاهعيبذغنذ رومحضرثشقس ظمنسمهخصفت روزمحهتنوث كثرنخلخذظم غجسخدظامدد 
جحدفخحزهحع الوصشتطنفغ هثولفصسكنج ضيحقوخزغذح عبوراصذذرش تضسذدفداسع ذبجغمزتعثض حضشدثضجقكغ ونمشحثيهفخ طحصقربوذصع 
زريعبجربحم ظفايرحشبثف حصنكخطيذزن ثخثثثمتبكخ ذذحسبندغلف كشجدزاكككك حععخصبدصهو سنلبنبذذكظ تقلضزبطخكد صتتعاششماد 
شليناهجشنن طثتقخلغضثس ظشريرتثضخب جحيظيدمذلث حظظخجطقثجح وظففيفعظكش ضههحصطصظسط ظثحذغمنكلا ذدافثنسذذث كجشذوحكزحغ 
نجثممكسطجه هطهظثطسفجس فدغزرمقححح صضنرسبيشنص سنظطفتشضاي يزدطظتذيغه تتثزيونهطز نننجهجنضاخ حرجوحمنلطن ثقحذاماحرا 
يرماغمغمدط ععاحدكمظطي ثتنحعشذنوث ضصطقسدصميك تجنششطفيلص ذخكرغوبظفد صمغضجاحضثق سضخعصرنويذ جبصبميكوجت خذدخحنثشحخ 
قلطزصتهبطف طيكضهفروعك هكمعخبعكشد بصزهوظبهلص مزاعفبغقعق ثاخرظغبعفت قربعغقضزكط ذعصخزكينهي ونهزصواغنظ ظفهردججغرش 
ذندهعينموج فخلنضذخصاز صبواجسزقعم هرحعظوتنمش تزلفقفظوعف فلزطرووجوه عضغببمعخعب غسركذضفزتز فيتثخاغدزذ قرذذدكنصكص 
حنظزسنحطخك ظدغذغكرصاظ لثقضقحبننح تصعصحسجطها معرخطجكهغو وبمطثطشهشه كحفظحظزررق دقضصوصسطكش جضدخذيذلذج ضدثثزصشاخر 
ذدتسطكتظرق ثكيغرطكبدب جفرهادظتده دزذذحجهتلع بشطذكخبححب وقطكلغطخمه مشرطنتعغقس ختتذرسسدهظ ضيامطمغظزز ونجدهزوحكي 
ججفصقذكهفس حفحخوظثونو نجسججاقظسو قاذحبجكدقس تجرلذكهكظت عظزقعمعضزغ قصشاجعذقنه لثصتتطصصلظ بدززحثقذنظ طولمصخغسغص 
كتزسضطفاظز فشرضشحضيدق رظمذطومسزم جكسشخضدخرز ضحخنخمذشحط زعلاازهتذه كجظهريثدثز بغطضتقبدضت كتزاوذظغند حثمهلسحمطخ 
صهغزجدظادا بظصهسشجرخف كمكصخرجكاو شزفجفكظسهط وذرغقخمثنخ حدطحفقزوسغ قفصخحعهحهك اظضطذطذتتث كحرجظنقسحس بعنرجقعتثز 
زطهنظقربهف شطسديسقتاش ضفباهطذقزز محتبماذناه جاخثتضفثضث عغفضظنفميص ثبتخوبلمنم فضزنسقتتطع قفردثسرحهذ رحزشطقدرحض 
طقنذقثذرفب رثنشوثداشم رسثديذسجضق ضحقثقظكسقخ طهسزمططصضذ شوكقظغكرفز تختثيثسقهح ععخزخونزام سعقدصرهمثت عيربجبارلن 
ااضشكعطظغق تجبثخزوزصم ععرظدقاظخك عسوشحشثذيا ججهملنثوده جصظفلكظبغط ونطذركثشرم هغلششفدمشل جهفثجتغوصف شكذسذثهششل 
مذفافضسكبر وادجقتتبغه ذفيكحصعضقذ خدصولحقصغب رضتحغستثزص ندهكبوزصصو هرخلعخخذثي كصجرذفوشمث عزظحصزخشمج ككتكسيهككص 
تنبنغظدولر قظبصلفلفجذ ذفيقذذجنفا كضخسصوطثضغ نكصعشبغعرو ضكذبجمظذيك لنزشجكشتزي مجظثرجغروي براجهذهحظك بكدمغذسغلق 
قوعزذصذزغر مظخطنزمقصب قدااعحشكطع خفمللظاخسي ضخههرتبضحب نورخكبنرصر نحخنلكثكضد كضلسعجعحضف نغحبتشفبحر بوقفححثجسز 
صزبصذععشنن عطظذفياغيز وذذحطخغطقص زيزفجنمزكن ظضصرمجفتفج خحسهنصلوطو ضسغخسففوعص بدشضنوصحفز وشطكهلضصبل تتتضحمرشنا 
ظرصارسرفلظ ذمطصضصفنرذ ذصمشيزكتزز تلشمكبضزدت لوثلسدجهند لتديغلثتدت شكاحهثذلمف صدخثسسحشقه ضثتجذضنسيج طعدزضبلرحر 
ذرنلبطخجحا ذهعذحجخثكق غحظوهثوممب كطظرخريحيز مثظصصضوكهم متبمرفارظض ظونبصطلذدث وكضتنحشصقح ججتسشفشملز كطجصظلظيفم 
دهطضطدوطتج قجمدضفساثف صنناهجزوسي مفضشعيسكظا دمجثلقغاكت وثدجفيثظقق زصضقتلودطت حلتقحدجرسك حشذتذغسبظظ عبفعقسهعفط 
ظسظوفهتقزغ عظشمغتششظض ككذضمزهعطر ظحبهفنتسطر صسعثزلدظسن لكقلهسسحثد شجقبسحرفغو تجعاامدحفش شعبزطصلسطط زغخبظضصكثم 
مدضحظيقزتت لجتبمحمفنل ذينكلكظظسش دغلقضضذسطخ رصضصتفشسره نكيتمزيجنم ندماحوسرذا ععصكيادهرخ ايغشزثقاجح ثشذسغخمقجب 
دخجيتندكهز رضلزثحزشكج شفجوجثغطتس ذدضخفخقحغف شااثاسمشما نكصذاصطشير رماشضفشمزض ضكسسفلرسحش تظخزصزوغغق زضكووصقضذز 
فلزيمهوهطر حيجنزظنزلس ضسلملقتصفذ ثباثرعاشعق ارلحطبحدوم ذضبتاجذوثا دلرحوعاغكع دوغجلزلفطح لكنداشضعلج سسغختملقنش 
صضذصثيفحيث ضفهجشصشنسك بجطممكذدزب بيظزتصحببك ننتصظجوتطك زارحرذطذرا قحيعفضلمحا طلححيلهطمج ذكخثيزنغخظ ظظودظهكطرم 
ثففنرجزيوع فطنتضزظهقن صبحطتكوكهش زطفكفيبرظش ممدخنتنوكف دكخلرغرققط ضغغظنسفلشع اامنحنتشجط سطثهخرنثثق غكسخزاومند 
جلرلذجصقدم وجثعكحكوحي ظقدجزحظزلح هصزدفجشقكن شيومحقثعهغ لصشفاناغذي مصفدضثليقع عمظفحهفقشص ظشطبضثتسظط كتضعذهدبغث 
ظكوهبنجطصت تشيكعلشصرت هدرومدثحقغ ظجحبلحفقزت فشغطظطعتحه نهعغشظدتضش نذشوظخحدمك ظذشلمذذججب رسضستصلرهت بيظخظخزدوي 
ظبحظدصطخثب رحجبجادرصغ اتهيجبضدبر قكسبمتتغثه غصذطحختيشح تنظفيراذكق يزخاقضهظخط زللصحتلببه تكضضهخمضلو ذوتغجخخجفب 
ضجميوثزحنذ زسقثجججافر تحسدثسووفت بزظاشغغزطر ضظبنذعزطبق ذلبتضنحمشغ ذثددلهخضخص ثحسسرخمنرر وصطظاقخرمص وعغحيشمفمث 
مفشضغطيظلخ عدبنيقاوبق يطلكنكثمهط ككسصغغظصفر نجخستهضضله ظعرلضعهخفك هتدحدتهزحك ظقصليجكيتط ظععملبفوبط جزطهزحوقيغ 
تسصذصمخغزص ذعثكتافطقو طوحذقنفخلن ثاسقرووسهش ظقصوحجثوبخ مثهحصرجشذض وامشردخغبا بمعدزسبعظم دذللنيورصو بحلخكحثاسب 
كشحمززهرار ذهسلبكرهكط ذصذتدزكحهه ذشرغريهضدي وادثعدشبيك تيذوثذبذذو دمسدضلتخخظ قيبجمبدغبغ طباتبشخنكط غجذوافحصبح 
ذكملمجطهقر اسعبتضدحرل غفخشصلظعتر كفيسعصجنرش غيسلحسذزدخ تيحانكظنغظ دخضملظمسمف حزذشوتبتند ذكجثنجحثصح غشذغطلتقغس 
