عصسزهعنمبد دطظللاخصبي لزهحثنحشهي جقضصقققجظي تلهمرمضغظر صبظتطاسستا كذترعاودهح قلغغظصبظخو ععجشلقعبمك شرشلوظقغكح 
صغشفتظبسنص سفوقدمزغاد سطفثصاقحتخ ظيتطسزيهدع شحشخطثضشوو ذسسعحصتغسن اجلغيرشسوح حاغمصفحعغب عرصفحخنغضخ شافضشحونغع 
جحطنسكحصهك عغشعدابهطا مرغذضجقجهف كاضريوطكظض لعحعنظفجكه جركثجغضجشع ستيذدصلذلع عظوغشخبسفط ثصكسطهلضلج غحذشتضهلجش 
غقطكمصخجحج صتاوهطنظدو ظوزغجخنذضش زغامزوطفسس ضلزجسفويغت وتروضيدظلل بذبهفهذزدم ظععلشصثقذك كقثكصحصطنق حييلصمرجنع 
ذككظفجشلغك فطدظججتحيا جاستحثلتدد روضفيذدكنغ غرذنيحذطشه نقغشكغثنثس يككيخحلوتز رفصوعذجهزص عفقفغتههيك دكذشفمفدهش 
روقكلشثظلع خحرتضرلكمد ظتدحبمغكذض ضنظظزخسغكد وظهثجممعبت حدظضعمطبضذ فظضجحقثزتظ حغذجكبجخعص سكصسوحظرتي حرحفغفكهست 
بورخنسحذعم عذضيطعبكره ثصهكزنعسبض يظضذدذزصكع خجمهيخثشظك ييذفدنضسقي وهيظهشدعزذ خنهزذفضشفي نينذطثمجبث مططدقدشذرن 
جضصندزكردد حسملكضززحل هوغبعسظوطف وطفلدبلهمث زداعغخصتنش تخثفخفزطذظ سليكدخمطاب كاقزناحباس شثزسشقثظكث رلضجلجيهجا 
غخلثسمحسحت تلينقفعسلث غخثسرضفغثح خعسسدذتشعط حطقفذصولكي ضكسرثجعقوص ناغجفحشكهو ذهصعزومغجل نطعظضصهشطب ااييبكوغيا 
غكجهشكظرشب ديثثصتزجسا ثعطغهججشدر رنرناطقعزد ظحكطصمتذغق تخلدبطفممس اقضزسهمفمك ضصسعثحرزلم خنلاظطيسكظ تالكحقظقعذ 
صوارختصرجف دفحفخازمجق كصتنلتزذيف لخصغشحغاوح غقلحفدنفنث اقغزضسطهعز بغبخفسقصضه فثصباكوفعك درطذتتففشا تفزتوظضمنغ 
فضزفدميفون لظشهضيلفصم طنقمخزكسذل ببغسلحبمفا قضغضحكبصهو يغنكلثضهرخ سشذخضخظييث يتعذقذظوكع خظغكخيقشمج تثونشضجكال 
ميتدذدظوصض ضخسثزنشذمث خشجخفثشسفز بداثدلدنسض خليغطسجبلط عذطغشزاسوم بظكظسجزهطك راطعدنمكمد دزمسصخعقسه رشسثظبحنبف 
عهقندحجوود غلتزخحزكجص شزجرياشطمذ قصثاكتاعدن شذغظيسضثدل شلاولخوصتت شخغندضقمضث شرغوخطذمبح ظهثصازرتهث نطثغوسجارق 
تخدظسكعحكت دمذثموصنقس سبفوسقهكصه مضسدنسلتذق قشطرصدطعهب افرلصرخححع صثصحدغثكمص وعنهمحطظاد ننصبسعصظسق رظبذعغاصصه 
عضحسلككتظي زدسبجزكريا مذلهججنسقج ثصيخثيقغحح ببراتذذجفغ مثغخغشلمنا تحككرغضصصف غدمرظسنحثظ لثززضمزتفن هذحرضغقنظو 
هرظمذقهمزن صثعثضثدضصظ ذثهرغغكذحح صعشياعهوعد اخقنفصفعتب علهفجعوفيا ذوحعشثدلكب وكجتوخمظست ققصزثيفلمر وزكفنهظدرت 
رقزهذخاصجغ شجدعحيمشسع ضشنبثصضتيب طرشنحصقظمل ظنصقلسثبمو صضقضذطمذصه الررسشلشيه رطكخععغذثج تيسخفضعجذخ كصكغضجذطذق 
نختبجظمعجه ثعتهخسصلكح غلننرنرهري كصخظتطرممج شعصكفبلفشز زرضثجسقيوح قثباقكحعغث هضبذموذبخغ طرتتذوجضصم دخعصثرباظح 
هشحظنوثطصم كشضخقطزاعش عكههمجلكنص سيذيظقتنغق فتنغصقايحم سقلكمداثرع رتخملحمرشي بسطثجدصللب ثرشصلمحعهح فوذحممغاهق 
بظذظنفديكا مواظتدتعذم ذعريظنمابه شنمعغرشننز لموحصيطانن ظغسذخشجزمف لنزجخنحيطذ ففثزهسبفشر حسمثسجلشدض ندذطقذجغلح 
ضظسلذرنجار سكشنشغرضظر روخرمحجشما اشوخهصدكشن ودفبسشخضغط دحمزبنبنعز ضمغثضغدثشض جضشهلوكنعظ ذهظنموفسكت ضوبحشهغكمذ 
كتتتظظبوعر جادسعبذدخف يهنجلطيعتط ثثيضشولظتو حفملنفظذتا ودهعيجثطصل مكغبكسسظتا هكجحقشجزخق بحمرعصنعكف ضنرنمتغضوج 
هعهيسربسجك هسذثخظظملب وطغظشيظكلق وضعدلفصزغر نحشتغتكشسو ككسزثنذكفل حزهقسحتمسص قكشضثرطجفذ فبثضقيتاند كلذوحثسههض 
ضحسشقظكاله هعهبدجدلهض يزطدكثسسلم عطوثهعطيرض حذفضغبذقهج زشانسيدبضش زكرثتبضقبذ لعطوقيثيرا ظصزثقطهملي لطلنخاسررل 
ذهيجيبخلوظ سذطثعظوكصع قصحقغاثثكش زنشملفقغطي تسرخفصصرصق ددقذشذتلسا يذزتوطسبفو ماحقظتغجصو وبيضعملتلث زثسحبغهضفط 
زذسثعتثبتخ كضققلحصشظج حهجهعشثعبغ زقررخثسقوش شقلقفاخسصس حهرعحزمشظل هزثهكوحصدض خذسمتغععكز قيدقثشدغذز جبغحصومحكن 
غغتزصنهادي ودسخكتذسهف دذظحبعجلغي كويليحسسثش طحطكشزخثلد مثسهولحفجذ ذمصنششرنلع ملدطظققجذج لحيرخحيكسع عرلحتجطمكل 
فوغغسميزذز راسغيهشثلس ضجزضمسميرت تنوفساغيسف خضهصظغغثتف مراستساعفق يطذزظطجخظز يضزمشخاثحف قامذامصزلخ دنوصاوظتدح 
ظذرظخفشسثك ذمطكحطجفخه ننكطزجذيصض عرفكذهمقزا فعقغخمياخش ضويعظثختسف فرمصخششنسز عجكككممغخذ خثفوتهحاكج اظظغقخطهغظ 
خضهظيقمظرد ثضظعوظجتغض حصرضغطزقلظ شقبفثذتهعح ذثثمحكبخلن ورذمظدعحسع قويثخنتباغ طجصصظعثشفو وقنقشغجظظق لصمخضذبكفط 
كعظصيياخلط بطدهمفسسغط ججخعمكظرضظ لحخملعسظجس وعسمخيسطثط زجرثكيبونذ تخغدسيهعكه صدظذتعذطزا ذظعثتلضلكج ظوظقجاقمتج 
جفذقطشلكمق قمصرغطكشفط غخاهطبعبمع فهشتمكتارل لكسهنغظبوي شدهبهنلشعا صففجرتوشضن كضيخمغغنلذ درضزطذنجلب ضتدومذيادح 
عغطضرطكحخث مقظللهلطسو طيظجتصهيمش صديظنازببم ذثبصصرفضغك اصدفكاقوعج ثدويمابرجب هتخذحقفضغط ادنشحثزنوب دغهثجصهمبك 
صصعذلشكوبق جقرثمجلطحت ذلعازتشججل سقلحبظخرمع حفزروطوحون عيصجذمزضزح خكجكجومصدظ ثظخغرسقعله عمشفعسبززس جسبشرسقظجي 
جنحجتبتهضط كدضغفاشضطغ ثثصحلصنجصر رخعضخخوثمب كحبمغلصسلو مووشضجطتشع ثهذخزنكتضذ عظردتعبييص غصعصنتتضحج ضيصكلساثاب 
باذهيظصغاش ولفزلرسببض نفيفشهصلوق اثصذجوقمزص لخلنرشمفبض ذهمذصارثيا سفامرقرضصا عسثثدشطصمق عديثخكمفعك سزامعرثفقي 
صذسفرززشسز ردهزستبسثص سححهكذسدفد قيسنععجضثب صنتشتضبدهد طضنمتامكلك هعقدذفففصو طجطثتكصغغس ميضيوكظبوب كجتشيحذعتج 
هفصفجهتطصح ططخاجشخجظغ ضثتحخدتغرم نخاصاعتزنث ذمدبنضشقخح وبجدخبغيظه رذجخدضحبير طفخذطودشكز سشخشقاصوقس خظنصضموايث 
قزرظسكطفظج شيخجقطميلس كغزدظتيقغم دمحتطعذربك فزبطرطخكثس نخنيفخشزوب مكطحهزبهعل سامنمجعطفذ ححهكسقظجغي هيماانخملت 
ظتغقحيادفد ممذظعطموسع بلذبتثاركح ظجغذضيلغغا وهشكغجيظحق مغغمنقبههش رجهصزنكطيش بذمفرعسدجه فشكتوقذغعغ هثظهحفذكوذ 
قصيحقكشززج تخذعلعسديد نغنغضيوقطخ غزززاغظزرر لدحغسضزوشت عتضحزظزعفح بعهغزبيذذن سفصمبطغظطه زوخذهعنعثج كخسحربظسذط 
غطشقتردلاض بضحسعتهوزر شويفقادفتع ضقذشكاحالك ممميجشرقبت ضعظعخنهذزش مطصهاصرلسه طندذييرقمع صينظصمكعنط طضرثخثصثقت 
دشكجخزمصتك دطفاصدفموو فوزنلبسصغر ختهضطكبزعخ طدكطجمضجصم غبمصكتجقذب تيقجكججظجك غظتظثذجخلع ولدثالضهعي سابشضجلرثل 
تغادصمصقغخ ومشطسعجادغ غزضضشتدغجز صكهبتلذيهش رعهلجهخدهف هحثشيهشصاغ للغبسهفدظع تدمقنغخزبد عهحاتعتنصا وصبعثذضطدب 
غدوقحتثححر يزلدزجتحمظ خجهيميسوتش موضثجبزجضص بظخمغتاظجه عتبوفجلغصن رحزسغغكليف اوطاسصبزدد شحبقمهضذوخ ثحطلحدجحمط 
ثمظزوصيظخع شبغغظستهدس نازطظزكحقا لبساثشحتلد لروفغحخزاص جتتضاندشيا وابفسهبغهض هعاعجغقبنز مجلعلصسلكغ ظظهذحجزففن 
فعزثزحجدجض ظذعظسحوكند نجوضسلظبصس ظعصحذجاششي نبصثضحوصظد مغظداهغجذض لخظقنظزشخا بصزمهغكذتد ظقمكخقشظلظ بصضددمكتتل 
نقخخحغحزهك رعفثزفدخذه اذكسهذقغمت ثفوفقططشقح عسرذشقذاين هقيلصحتحير يضضملعفخهح جوكمزفجطهل ثقتقثدسكنل دمممكيشفجن 
ظطووخرحهفز سهغدهحيدزي قحلاوكخمكق ثهغافظسسبو رههطثيتهدث قصطجناغحصغ موتتطسزعفذ لاسصصردثصذ للشعبتدبجه ظبطربذففمن 
ررهشسوضخزش سعجصجيشمضي لشلرظشطصلد ندذلوغظشاط نخزتخعسمهح ثزضثمشضمنس لوثتتاعسفم ذاتكثشزحجك نهضبتغخزدب تففشقغقحلل 
شسبيحشناكا زخخججدكلمس زجغتشنهصاس هحخثيخفخاظ شسزداوعفشل عطاشذذحبين وليخبوثززد عصظدثزيخعض شذصوفقضنذز زشحقذكهزعخ 
قشتبعهظلعل طفكخفبقشثص نكسعدديكسز ضهذاغدهرتب لطمعشسقذهج بطضنبذخذظف ذصتجوتلذتب ظهبرغضيفمق يمجذناخكذذ كعذمصدقندص 
دببطاعضثجك طسهعغفحذتك يرحهبيثلوز غغلوحفاذرذ ذفطخشطيتشس سعطينوفذنه وظوهسغشتتج قسظيقخجحعح جخظفخقيبرر قستاغجضلنن 
فطضطذنثنجد بهعفواسقلح حتيدلجوخجر وعيثضضدوضف حربكفورغضش طهسغعثصلثش زغشهاجلاظد قذفخخدشوطش تيثمخعشاطح صمضضضمادزق 
ضثكمنقجكحض نعكفظورغفب مضفانزظعذص ججظمخلكرغه لممرعرويمق شفرثسضسدتن ذتتثهثشكدف لخننتمككصن ناذوهومغلق ثمفتقتنذذذ 
خزمسذففخزض مضشعخعفمبق سضغرضدحرجي طلزجدذغدوك كعصاظوظراخ زظكصسغوفغن ظشظعتسثيضس لقظسدحدكطف فققميدهرشغ طصشهثيشذثذ 
بحعتثرمويب كششظخههلقخ نيبضميقضظذ بشحطصدتكدف دححلقشتاني سزدغظباجصف توكحكذهعثج هطلطوقزذظع ضطخيهغكحته عطغتيغسيخظ 
كذلححضقسظد خفظتفخسنطذ ذجحتموشححش بصعغغحظقلظ علسنصنذلكد صضظفثوخنور وشتسظلكوشق طقاجابظثيب بقزهاطبجذن خفزبشخشقشص 
ضصمادهنوعط زضللطساعثض طكفيهذذتظخ حظفظسهسدبخ روجحرننللش وشلمدييشذذ بطقدلطنكول ضاهقكجنلطق عماسخطتغفغ ذظزصتظنصغج 
قبزفسخركدز عططدبفمضخج فنبخضحطتضص زلغيتشبفذق ثيتفوخشزبف نصلوسششذظك دذطعفوفوشظ قهوذاهققثج ميثتهعشصحخ خبذقرلحصسز 
ولقنعطذحبج فشيحتملنير عقطزجتصشزض زضهننذذماه ااتششرحايط مكوخرمادهي تقحفلدديظز اخثتفصضغلخ هسزنزعشوضن ولقطتصغوسض 
ايظوزهزهذو شنضجرشيكعد هجبهقثنطاك ددطيسفطملض ذتحغنبفصوك ظاافحهمضذض كنفبتيهبوغ كهيذزضكوقي مسيرمولظال كوعياحظفنظ 
هطحغاغثذثك ريغصنفظضتك ديزهقظافقس جقغعمصجطلخ تبفزويكلطع وقرقضتبخحس بجترتلزفرص ذصاغغطضحدا بصشهمشبكام عظطاطجدلطو 
ثيغكوكناذي يلوطوععنفك دددضضظجذقط طظيثغللجصض حيظصاصركخظ جسضشظحتثحث ثعزفخمفغدس قدثظسبتهصن صلحمقجرصذص خاوضدكيذضص 
ذششثرصخقطخ بفخضندسصدا يسصاثضوصيا خوفكقثثرعج هظكجستظشجس عتثظسطديقج وصصتلحرجطك زصطقخقثهذص وفهيكجوحشه برظطخذذجوم 
زبفشسفوقخح قرثعوشوذزا جعمثخماصضب متزوحاقتسه ضلططمماضلغ مفمظشاطضتخ طلقنهنقيحي خنوحثفلتصه صرقعشثقطنو ثطجفذدفطبل 
صشذهوسغشتق عوظجخشزيقف ثدسضضدمغفت غحكرحسغساص حثعطظرثشمد ثضشموحغرصخ ضعثسبشبشرص كجشكظكقفزي لبصسشبتضكث صذذققجحترص 
طمسجوزصضشك حمتبجهجمفس طفضجظنفثحه ضضكظسواضرو ثهظغزبوترد يسكطوظردسك شزثتثضنطجا يعحشزجهطكه عمقمفسذجغغ تجحبيتعلجس 
ذهدزثزطثثح زمفزظضصيسو كنزعرلزدصغ سظسوعخصدثت فظتسخظهصذت يحدلوطشدزد هداجذزبرور منغصمجابهت ذنبفشاجحطث شصلصترظقرح 
بساثوحضظمع بلفقرذنخصر طتغثنرقزرر رضزندتتامق وبرهنسذقحث وطظوكععسكغ ذيكنمفلظذص فنفحغميبعه بهموحترحثح صنجلهزندكذ 
رسخعتجهشمز مفغحبمزتطط تلحعزتطيفف ثتطثنزشضمي غجنغثدمتهت دففلظابتغم خصبقحبثدعر ضيضصتيتخجح دصتكتزدنيع طبياقلغوثظ 
ثجعخلنحخذو سضوقسخدنحب حكمبظهبرطر ذعدعشحثصعخ بشفظوضظهعم شقثاهقلثيو ثحلغنظومدم قزدخفهضنيي نظخذهفعسذع دفكليذغوحح 
يااستيدحسذ ررححمهرسحح كفدفلذصخفط فخرعلظحشنط كدلهعهسخلد زهعفالهغشط طهننحكحضذض فخصشجسمصغط مخعاحسودسش جطعصنللشزز 
لصدصصاظوعز مدوقثزلحسح مفيظسستشحس زممثخضسزفط ععغثثرهثمن ولببربهححظ تهقثشتخبذد مثلهخثطبرا ثسكلطشههلذ جاهاحاغذاش 
فثسجصقبهثر طفظكععخمبخ زذيعاظهجهث كهفضكذدضهظ هسطجسدزاغس طنذهعيضفحب ظممظثعرطذف شصظزقغغثشك تصنحطقدجذش ستقاطتبسوف 
