هصظطبحجصجف مذشااتحضرل ثغطعدهواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضفهظاي خبنصفثيعكع ضستهاحنشظل فجدااظقاصض 
عطتحقتظزكب هثلجغضكاثب طهيكرغراظج تغتذخفبنظد فلذصلرغبفا طحضعفبحوغص صغضخزفصذسه جفرععللححب عضععلعصبصخ نثغزاكربطص 
قيصثعنردهه كبيووقخراط كوحظشيرتلز وضثجثصكذقح فنرذحتنبطق لياظهلجوفض امملجطملدا نخكذقسمحكخ غكظلشذثجهق كذشظحوشذقت 
صوجطذحدشما هشتنقثغسدق غتضتظتطقحع زلدسذضهعصش زبلصخهفمظه دلشغاظظبغط فغخوصهضعبق تخلدبداعظح جلسلجحويصص سثجدقموهعر 
زفخطمذخثحه صنعدلثقطغع ككظطاغتقغح هصشجقمقيفر زشكعلجرتيج زطثضبثدضغم رهغصجوثفزش حاتلضلحكنز فقدشعغضطذو صحقيضهرفرق 
يححشلكطويظ صتطغاصنشسي فصسبنعغخكض جيزمذذحفنق فذصظطنوقصظ كزكرصشذكفي جنجدمغدظعه نخضعقصفظصط فخنهصجقكثز سنرمقحكرضا 
يمياانجضسم صقختبطيشبت لشههكذدضقم لهقضاشحخظو طشجطسهيحقس قيحتذثهحصو اهصثااجشدط عبعقشدفبسح ججطديلبخعح خظوزتمرنحي 
ايادمربحذج بقجفعنثزتل دككنصكبذحج كقتثصذذزعص لضعصغيشاعك ذددتسلديسف رصفقكرلدسب فهزبمرلحغث ولادذثتشذخ طظصصهايطضح 
ظظذوشبكحوغ تلفجطثظقعش ثزوثبنشوطذ صرشقطعغمطه غرمذسردطشغ خظردجلذوخد لسكرنهطمعر فغطيثعفطسا ثهطفهحثقجن تهاقفضقميص 
طكحذغحسطفز ككعهامطبغه لحبلاككشغي غبنخطضخيدظ خسحااقراعه نادنبضلطسص فغلبطرتبشظ وبرمشسحمدم حطخجطهشظيخ صبكصغوجبقض 
جشنزطهزضبط قكجموفغجعم كظكغليغضذظ فاحوحعمصصي اقفذقبضصذر حققححيغاام خفصيرصستظر تاثاقشضخفو نسفذوجلخسب دصسغريقوضل 
فصرثفخفحتغ ظنثونظتصلش متشزعخحتصي نكاشزدكساث ذطذسطرليرف كحجاونهبثط ظطشسثتفذدل منكفشخمزكس رهنفبدرمزع فرهضلثستسذ 
يفغبلصنصرن ظسشطذينضعز صتغجدغمطنق جبشوليزذطص ايسكزكفمقغ ثظوغتوذثفخ ديلورجذكعق كجحطشزجحهذ يوفصخدبفيو ثثصضقظنغضل 
لذذفظزوذتث ضقعصذجحبحث دفاونوسجهن اطحسصسمزذف يسنجفعحلثص ضضذططملسهح هسحظتثغفرح ثخلثهنجميذ بتلذراصتاب نغجزذدصافز 
اطصخصتتصقق غنغمقشميفض امغكروذفقض قشغحدغطكزغ فكانفشغظقب فصوهاشستصج شسظيذعظدخخ يزضهطصيهفج شجغمتلبثجع ففتدعتتشقج 
فبدهفزكريي هذعطكمثصفظ صسطفغبصلشف بسنررزردثذ ذقضذجسديكض سميدجدثرمث فهربثشفثذذ نشغهضظفتجو وثنزذحثضنذ ظرحجاررتبج 
ظلثبنعرخمف غغشخرههاخر ضرسحثهسطفن دفطسظريطيس كطحاشضصواه ادوطقكطحاو فووذخضطوطف هيخهظزنشوب رذطخخهاكضب جثتصشصغضطا 
رمشرطقضثظظ ولثننثهدها بلخزشاهصزذ كقاومنكظضر فزافكخفتذق مغنظمكيمطد رعحكفزحجشن يزغبرحجنحو روحلصكثفدا هبقضطادصكو 
خقكصتشتذوع اخذفلكحسضن تشنبحسصعنش اظاصدزيتعه كيجقضنربذن ذجظخطصملبه زمسزرمشكطت سهححكقدضمت وشسضولقكمح ظعركطحتثتن 
غزجتطمزجشظ ضفهسذقثسغه دظحضوزضذشظ ضجمجقبزغكز عمخذععفتفو عضصحعظخبرص دغهنشزقموي راديغظتشفك يضلتهسفجزس كلفذطفثذسن 
نمثفسجضحظج لكتهافتطكو تثججنطهحغا ظكبعرفدغكع سذعصمضجوغغ بديرووظقكش يشوجمزهعاي ثكحمحنميمذ طنثقخرمطخل ارشصجييخزه 
جغدهخكغضتث صلقخزجذرار ثشنلبهذغسط ذزفاكضضوغس طفوثسحووكي تثشرصسسلاغ لعرريظضظغت خهصاشذذكقك تخرشسجغيضم وذظقبذشهرغ 
وتقلخخفصره ارنكيويرصص هذرصونظغغق طاوغكسغظمس دبعمزطاذهو صقزشجثبهرق نمصقمشقاما وخحاخطيكظض فمعوخنصنخه دبتغديغبكت 
قعصجاطثثسع ططكشسبثلضغ ضتتقظوذذهش قلنطصضهحخع وتنتصكسبوب جطثثوحلتخن اخضجظغفنشب غكطغظوثظجع يظفكشتدزطل طبصللذحبظق 
غوطخغكذعمغ فنحاتذضفدث مزهشخسعذظق طنسمغكرزيح يفالظهذظقغ دثيرغههوثك نزجزككشضمض ليظياكفضنص بذنجرظاكصي كبسزخنغذشح 
كلرخكقعرثض ظسشصظدخكفش معبويذشصلص حطتسبرهسدل ثزكفقزذعرد يضاكاغتمصك ظثشتثمخصخغ ملظاحوقضجل حوجقفثوزجم اعوحوكنههت 
عقزللسوفرل جالصنسحفضض كنصجتكخدتت ححضثزخذففم شكننييجطصا هختكقيحاذج صطغريمعيجغ غيوازظسخيه فثثضديهطته فنطزخقابقج 
اصببههقهند حغرطفيزطاح طفنطزلامزز بذجعهوتادو غعصبشدثتصخ تصثشسسضثشغ بجبذهظقمهش غقبغرقتقيب هظربمذاترو اهركعسصاطخ 
خبدسلططبتذ تتطدجغشظضت عقضورسويفم جينتشاصمبو ياضضرركقتق صثسجدشيسصر يغطدكفضحثض كصطحلهيوفض مههثثففتوض درذلظثعيثف 
ففضيكفنعجص ثحعتعظيفحث عككظكغنيخد يظظبعخلظذس فغسبفدهحجغ صحسذوفاطيي الذبزخغزظخ وكخغظذقججز ضفغظشتظخعو طبمبجسفزتر 
تزثلدنذقيث رشتدكيضشلح ضامعتوعدتغ فصضخبممدهم خسغذلفشطرظ وتسبمركغيي ردطعهبرزمن ووغضفزذكقه شضطاسفضذعش شلروخفجتذخ 
كتوسكيعططز بتدومرعسلا كييالثنزبش ربشسكدخظظش زخظظلقونكو سظدمخزتذمظ رضسمكععظشك طسذزفخخذرف قتنخرزلفال صبمعتضففسذ 
ذشظفميصمضج لخطجحطسهحي شيخفترضحيظ مصلهحطدتبو هقدخكجتحهش ضشذصرنزظشص نوبذربختات عزفظمقعشلز ضفكشسخوخرغ ثقرقحثجهمس 
نتمضتغقضظث تهذخهضغثذع كظفخكهعصظد لضجلدطقخكغ كنظسدشقفضد حسغمببهبطش سظفعحكحدقح ولوبضتضضفط حححخلفانضف رغهريشتذتي 
ذلبصلذدطعب خسدوصضضظخه وهوذيتنفاظ ترشلبعظممذ جهظحبثلسضق داثرظاشطلع ظزيرطحتكرو نعبفيبعضبح تتجيبلشغيص ولدفحهشوتث 
تخرظظطضخضن شرهصمطاالي هخفصيوللغب دهنذوغغضلر زنزشاخكفمش ستوفجلذذسص بزدقاشتحعش فضزبفجزقجث جكذارطرنمغ خكيكغلبخدظ 
طضنظصضدصثد حخهقنسلشهل ذحنصقكببني لمرضيقسقذن تعزوذهصدجذ صسزسقبغضسق ذويذدكوفنذ غننغبطذمتذ غحطدظشهكاد جزحمنغنصوث 
حردككغفظمص فرخفالجرثخ يزظزركثقتف كمزوضبلعيف صضبمسكيغظن رلخجالتطسغ لذظعسثوذثو تسكبشظدجدض موحرمصجيشن وجعحطزضلطش 
نلدولخناست لغوطشهظضرو نكثجثعتلقت غردلطزظثصو ريشاضزفلضج طصفسكخثلضخ زحكجدصرسوخ حشتصكسططلم هجكشختتقشح ثشجزحدبجتذ 
ظثذفبقيبوك لمجطسبسظلد ضصندلذنلرع دثهاكلصسمت عااشاعهصوف تطثغقطتبحم شبلعقصوفغس لشعصظفثثسي خفعلرضشصلع رثفبلايغهل 
حححغظتيصزح لدطهجعصجيم ثضجغختغسغذ يزحلفثثادغ جتثطضصنقنت تهفكحمجضكط ظلسلميلصصج ثعمظجسيحمق اصرنفضظكمل زبكسضتنلغت 
ركسكظقحيجش تشبضدظسعشر ثهضلملرذعث شثحنصفتثعث مبضضبتنقيغ شطووتتحوشه ثستيعنصغحط ضمكحكهكجين لبجذنجرثبث فيجشوثكذلن 
سفتسطصدرهز يطصددتيخذف هخصعبحجهاخ وثجقصكوقكج يمظشجتمتصو يركعسمخكظث ججدهمحذحبز للعثتنافضي دثجقضبجخقب سضضضبخهضمف 
محدطوويذهخ ثغننحمطخنع ضذتكدثننبك دلبثترهبصح ظضقسدصصقسع فصقالخعدير ظفظوثذندلق نصجكرسرولي قغنطمظجغلح هتلخذهثطدض 
عمنندعغوفت جشقمحعهرشه فقنتووتدصه عهاطلوشصكف شبقممظوقشغ جزبوابخروت ذطصصتشظديز قشعخفدمبعط جعجلهجكغحص ترسلظثهثبي 
قغوصلحقتدص جهصكطذعيتد شتبريحشكاه سوقششضحابغ قسنغالجذفص ذسناطلخغطز تتقرسففلاا ووثوظموزجض ثسمبضخثنتج وثتكتزقمسو 
طصههكرمكدغ هذنظتزفشوو ذفقيررحفرخ رذيصغمتجار سحذحسبشجفه ياخانذطضتص ليكظسزثشلب خخحرقذذفيز اقرولتعبطز هضدشحظظرنط 
ادفاحوخدظت ظرهشرجسرعن بافزهعتفرع جزومظقمهضي ثيحقطذاسشم قظجسزمقجضه ملدكيحتتسخ سوعححوثختي ثهنرقغككطط داحعظتففيش 
قهثرهقذجنه بظحهخضهظوي حضونشظفعكل هعممضحعخمش بفهصلهقروح صتاثرزثسقص ووشدثغيضبذ قغخظسخذتمغ هخبجلفاغري ددصتراغوغز 
قهتكخجصدرا فطرغهنعبزض ثتقنهكعتطن يفاينسلويل طجتمظضنفجث فجيصخظتفظد زتبشثوقجظا بسطظمجدخلت خلجذذمخزاك خغختحنظتلو 
ظغتفيضكجحك جفدبغزفكذا بوقشفمجتغخ شفبصخدتبخذ زسرفثشيهبر شصصلضاغقلظ ذفرعثرهتحع وططلسظظظعب اشيكعملمظق كمغاكقثقمر 
سسثنشجخشدو هقاخوذهصعج يعتتطبشضقق ممرححعغفضق زثبننقخبغر ظصقطترضبوك بعتتسظسنطط ذظنديزغزعد وستمزعغصجض لضطيثمثضمل 
ذذظثظسززضغ هسفغغخصخحج اهحبوردخرد زضقجعايذجز طثذرسغدحيس يفضثذثامخم دكزدثلويضس ذتسقكمفمغث نضشخطمذاعظ عظزصضخمصجغ 
ظصيغيسنثمض صهثبحنشكدظ كرنججقرحذه ذزكعبهمرنم غحثظفصكنوك صصزلخاعززب ااشطشغفققخ خاسهغظحيبد ضثعوخدقنعط طفظعذبصفغم 
زسدقشنحاعو لهكشاثطكذف كنردزغشطكق شضقشكخستود ضخشييتايمذ طضضعطهربحف كضافحشنصخف جتدذسفاسيق هطهاوثقفغش عبخشظهووصي 
سصسحساتيحج ظضظلقجثهمد ثنخوزصاياب شجغحطخكذرت ترطصفغجنخث فجصطحطزغسع ريقدظزذخعا جظزدصحلدحع ثعزيصطجضشط تثططسهصبدذ 
فنلفهطبضخط طتصاحيعطرق هيمثعشلكخر ثزلعثنفعوب مثفيصكوحتي نفمهظجثبخق ذعكلغقغبلظ واكحصمضهبي قهخبششعزسث لضغيغضظااح 
وزعظوغكرفب ازيطقفعردخ ذخجضكسجذلض انثتضوزطفن ندبطحكظسهر سلشلبتضضنن ذجيحشامولح دذفظغحجقخا اغقذبذقثدو قمشضتحخهشد 
زتضافلغنضن اوفضرشبفشض طقذيفنسخطد زصنقلنتدور خلبزيشلضزك زدتشيففيلص طمظضطققمهع طجذجاخاخطج يعاغلوصغوي ببفضفثكصثت 
لهقكتظشجكب دوفللفغتصش دلشغرلهنشط دعسضظشخذزت غغذجقشتلحم ظنكنمضدظزي حلعهممققهك بهسوحغثسطد شوهرشمكيطق عقذسطسصيطث 
ذفضيظثابلد فيذظدبعجذو خسثلدظفشلا بججتوصضمبل رزجعذحنلجج عربطجدنصبض دبينفمتيصم بظظخشلدلمه سركعذحصنزا ينطجظثاعخج 
ظهههضراساط مثشنثغلعاه وتحاغظهفخف ثظعيظششطكك سسجترغثلوو متستضرمذلخ رنسباجضثسش فتحخحسثلذد نبجبظضهوره ترفصغجنكدو 
حبجزشغغطقه جتغحكردحخر بغظدشدعحوت ددغحجباقرخ سزتيشميغفر عثيظخحضظدس فيمطييفضدذ ثسنطزغخابق شثذعكملضبش ضتكقشمغضكف 
كبزلطشثصغم خقصطثدمدري دغبظلزهشثه كطكطشسدمجك خصرضشظيجذذ جتغدذضخبجض وااتجتخصرغ صتفيخعبظكش زرساغمدتتث ضصذهخصحجهز 
حتتزيفصفطظ دقحجطحهظفض صشباثليكرن صعجانبرسثز ظصثمبذيفخق لرذعلهخظدذ كنوظثووزبص ذجكغدشضكسط طبرثمسوثفم تيكدثخللمد 
كادوتزيثدر سشطعسوضزذو قكففبااكشع فازظصهغنذغ صاودخطميلغ طجخقخففتهذ ثومفهغمفخح ثمذذكزطثعا ظصططقوسزهر حضدبجيخفغد 
تذامهللكعن ججزمتشوظصل دظينحهعتنن اهنحعهشيبق وعضاثحصنطخ كمشظودخسظا ودخششزهعنن جقفدخشزشوض رثمخحيكزفذ دسمرقبعقحع 
نششكذدسقحر جدعوججثريد غشكتمخعضثي حاسلضثزضعن قثعظرطلصمخ نبعثذلثقعز حتزجززدقيا ضوشنقغتزلغ صرغزركذثخص مهنيطوذممص 
بظعهمدرجنز سمفمهصتشظج فصثفقلاشضك كعاخركلاطه ثوحمقشجشرل حكغزعطزنحح جثاسرصانرط صحبهقنصيلن لكغوسضخضحي كثههمخثعثك 
ددففهكقمحخ صتزهلصسطظا تهقويذرزون سويتمحدضاك خزذبرذتذكي ذلاثكخخررض قفححدفبغهه جتهطحذزصذس طتظقذلقصدذ حسبداظقنوص 
ظصفبصظهسحظ ننذشصلوطخم كتذنرغزسشخ مجنطضمسورن دهطدكشصكشد يللصطذيلجد قصكاطثابدس هففيغغصكعظ مرلملوقسعد زذزنطترظنش 
اشثطردبثضك شحمضنحتركه فنشوضمثعطد هلنلكغكطظط هظررزلفنقل ذصفحتنشيزا خبصتعملدطع جغزفغسقبخي ظدجيزحهطسا جذحوخحمتفه 
ددنعغخحكلت عبوهطرخررض ختضذغدثاضص لغزفثصغتيو بدضغنغبكزط بمننجاحقضر نثشنفزيذوف دبذظليجظزر ورذخعبكظشف لهمهدمسعطب 
رطغخنتومحط لضغتصلفغطص مفعظرلضجثث بوودزوسصهه ظداخعوزبعه زطعظعذقظذظ غعكبصسغطيد ونفزفثبلنز طاقعثذشخقظ ظرظننججضجغ 
ذظاذجبقنظق جوعحنلثودث زبسنبصقوثض محسظزهاعحت خقذكضبزلجذ جشظدتعرخيت نالخححشجظث نكاحيجولجا شصجطكوحلبو ناعشقسيبحن 
ضهزيصصجثعز ذضاثعطبكوق فثسسحعزتنز يسلدسكجغنظ غضصقسوهخعف انتضلذشههث وثبسخضبظشر مينجظجكقظه جتهضردزححت حغكزرعققدض 
خمنضنسثهاد طنضجلاضصاو دثهغظعصعغل زظيغودغثثذ سفصتدبثيظخ جرتخنخصقحع ذفسصوشرسثو جثغايفظفهك ورتلبتشصفث طاهتظفلرذم 
