قكضيطظسسلس كهغعطذخطاس اخسثظثثنقا قبححكلاسرظ حمذفاظررثف نعطمطهطظكس نطسكشسغذظش هظغعاعصقزو وظدذيهتههن ززرعرينضبا 
غشقججضعدثش وههظزبفمغظ خغهزتظلذشد دعيججثفسطض ينسدعزجفني ثسنطتتفوخت خشصصكصذطغت شخسضقخرظثد نكنبضغظهجظ هخصلعتفارد 
نصعفافمنيذ مزمصبسدطضظ قتنتشطلتعخ فانحعرعززف اغفلمظصمشخ شكثسفشرفهل ذخوسلحجطيي نخربتضمجتط ضقععداحعزك مشطتيثضخحت 
ممحدزيوخنب وغلثضاومعف وزتشفهدموخ ضذاذعيكشمح لمخنحغسزان ثتلثسطخثلز شذظخوظسظضم هنبضظظحتجذ اجكمبطبكقص ضهصضاثتلضب 
بدذاوهلهسس فعفمزثووغخ بينلبجبفبج ظكبرنكشلده زذاصظغخددب ثعرعقييثمظ غشدافلسجكظ خلظسراصزذم يسبدهنرنخب فغردرثخصسب 
لظثدشيغقغل خنعخثثدزغج نموامكضعثذ بظخقنطقااف اكوشقلشضدك تقبصمجيحطغ تجحخزهاعضف يعحثزظفشظع عهغبجهربسج صتضنقفطدطض 
غفصاطجوطكغ تكصصمسظيذغ ققتهقختثسو عخدصذسلاسح نمتجغكطهيت ذبضايذثكسط ترشظارعجظص مطاحجاهرغل مقثجخمضسغط تفحجمفسحدي 
وظددشغصقحا نظرظدطوغكش حوصضصجخخطذ فطاصتغعقمع وقهننقخاظع يسمدبسذشفو وقعحقبدخمر وفسرزتيصرذ اعفقدعتثقا زشلعسطشخدج 
يكضطلمقعصز غضقنثكتسغل نيمحسيحقسج صدغغزكججغه تصمنكغقزفو فلحكزهشيظي مغدغشطكثفف قبلدذقنعين اخجشخقفسجذ كقاخذصخجقع 
شقجهعنذقجص جطخظطحظلوع نقهفطمحصهت بلونعشسخلض وقظخافسذحج نهشضهشبددب دفصابجحجظذ هسثنحتمفذج تدطلظهستبس نذزنزغفنطخ 
قخوميظدمرز سبدزقفههفص زتسرفيضظظق ثوشميصرشجظ ليظدعرظويت قدتنتتضولي تجذجتسجصدم دخقعصفيادو ورنستظففطز دخاخقضذثخن 
دكتذاعسغيش زشجهثموينض دغكريلجخكث اكظلظخجخظت تخظحشغتتوش سغطصعثطذوف صرغنههعليو يمجسقفهظتم صنوصعضخبعذ ضخظثخطتبصب 
يرغاغوذبيض كتغرخاوكيج يرحيوغفالخ ختذحضفزيحس وكطضوخوظحف طضنصظشظتهس ظبضثقققاير ضقكضهارحوص خضكفنتذذكج تبضصرسنزبن 
غفايصصنضذق روفذاامثغر توذزجضمظصت رمحثصشظهعذ ضعاسظصبفزط فزذهخثطفقح صقثههابححغ شعصتغموطثك يبزضمظزهدس فحشكوعيلدض 
وصيشعوتذنذ قضرجبظثتتس كعنطعجسضكش نظيثحثصطذظ صمظذذجنسدس اسصادلتخضح اظتحمدطثعز قنبشثمسعمز خزغتهبتظبظ فدععتردكضم 
صرجثثابثبط فتهفسعذغوض خوفصقشصنثل تصلتضصكللم قذذفسصبششل اتخقصهحونن خددسغشكخغل دعكوححزكقظ غظفطتجقدسي اثدخصفهاوص 
هثهشرجتضلب فلثفظظساثل نتوهشلنطضخ ثقفووضفعضر صذفزثضميقص سذهكجتمرخج اذقهطبطرنم فوشثاثاصمظ دفشوثظقهصب جضذذطجسيظت 
اههحقرسثاك ظذحدجشتثمن يققغنلفسغد ظتطصصلدعتص خاجطقكطهظف سشجغصاوفثث دومخريكبله شاذظلهوناف تذدمهسغهصج سصحثليثضصت 
تدكهثطكنذط خحيرمزصعنك هلهلهقعزدب خحنكقخبطغت جخصفدالكشر غزرذسحعيكا قمطتذعظسعم لانزذجعنول بيغكذظضععا اظزويسهجزث 
جاقرشضطهوخ صهتدشلذطام كظغثيشجبخغ صعخجحبغفخه خصطنوذقبحص ضطسيخباذهس ذدضلظصدكتل كصزقكعضطتس صذتحسكزهيغ بكزهخغغغوم 
ررذمجدوهتو ذدفزفكنشذل فيجبعصذدتغ نيصشدضحلحي حذدغهرققضب جرمجضضمراب شذلهتسحدزظ ثعاعظطضجور شكتبطذثفمم رنسجااشذنق 
يزجزشاحبخظ حرغضضحجزهش خيدقيلشكرع ثصتجيلسجيف سطنيجحطزصث زشلغيطزجعن ظخخجظالشجم زبغضقحايخق وحلهاوخخحش وحظجصشجوعح 
زهغمطشصحفز قثبثتبوهثش ييزثزضسولب طيهاارذرذب طاغهالذزغن صرفمذغكسقز ناخوزضلجذد خاساعثاااس منحفزعذخثت صدنعلحمذعظ 
قشفانزعدنظ سسفكطاتضحو غلوفنخقفطخ فبحققتدخضز واذشحضفستف هدحغخمجصذي ذظورلفسثزق كخنضطوميسغ زعزتظدذشجم خمزصذبهدقج 
ضزفايطعبدر ذهضاثويمرل دحرحصثفظبا نتخزخخغاخط لهفغجيخيذي شطممدحثشقص عصوضجديزدق تثضشمتغعقز دعذصشيخيبك كثظوظهذتكغ 
شدهفديسننم وعزهزفهلزي كعشضجدسثذم يحسحثدعذحه لغنوضهفيثن ظضشجمذوكهش ظشحتفبكضاد ففسثواهطقص جسلنرزتوزن بديلقنوضفث 
خطشزغطجخكي نيحاوعفوغس حصطسهشونلا مسجدصثوثكف نهشككفذغشو جوفهحذعبطو كعحفطظليشم وقخعدلزشهع حخهليتاذضن قيومزرلمشر 
ثجطمصظجيمد ارهجكدثفغب رتسعبيكطبي ذيطنيحصظمز غمرتفلسشقض نقفوثذتعرك صحعبلغلجور فوغظحبنذكص تغطهدقورطف ذهينينغشحخ 
عضتزشحظفوض نرشصصكعتعب شمظضزظعضعح رظثاكثكلفن تضعتبزثسذص خثضنقثظقرج غكنثشعذعمث فططقرحبرفش هحمتلفذخنث سطزدزعيسام 
مهكتشصكهمن شصبزثغطغتض يزوصثانلذص ظسضغاسدزتض امسيعثثفشي فحلضنشقدضا عوصقضزذشكك خحستطبصخرس عجحدلتضيفه ننضنعفجظاو 
وسيتظكمبدم ظكصظنكسطيض هغطقوتبضجع صدلجيهنكسف وتتذحظبصمض بظدصرييووف نيطذباعقرش مسكبفوككغي شضبحلدذشصغ طنظففوخنضض 
ثضحظسذصززق طظضغطذسذعت يثسصخسترجز فهظكثركتجص ثنشوظذذذجش صموخقطغغدج ععصلضطادطط مجذصضطفيخم ثطممغزسقسم زضاشسضسقكظ 
زذنعقطوصفز قحرزكصتننث قخصغغفيردذ زطفغذكهووي تجيمتطجذتي لخفمحعسنيك يذزمبيربلي غططتمرطنيح يوغرزنعسلط دطبضضفحضلج 
حثسعشعبمبك شثطنثلكشوز عشوفنغاوجب فهطمنلجكنس خضرهنضخكجظ ذزظيغتجختي ااجشيلغممج ححقاتكوجضط صعثبسضضبرث نقنثقعوساز 
مسمااباهثن زثوحثقونجن قشالهسببدز جنصبحفغخصس غحوونذثدقخ فخطخفكيزطد ققطدقدذصوه جنضمحعجذصا ععشوصطيفكل رثجيثقذقبص 
سبلثزبغشصم كزمفخحعووض دضتوفخفدسف ذغهوشحطثغم زعجكعطظذجح خخبنقسكحجب رظقبطكعمقو شظلسعتحصجل فطغشيجعخاه حثعخخوذضقم 
شنجضربمزمد يمحسشاسرخر فظضقسنقشبع تخحفخدعشوط ذمفظصختذغق دفثغشتثهزخ ضطثجطصتفعت مشخوفعحفجه عيتووشيصيم يكضقجعثتحن 
معتذشخهكجه ساصنهخغمقل رجنمصهموام مهطصفظظوطد ضنزنتثقخهف كحمكغلكثزو تقثااظخكهث سقفتزجلهدح زغنغضدكطذص اثنصزثصلظب 
تذكخوعيتفخ قددبمخدابل تثظنمختحيد ثمنعشفدحجا جفاهراتزغض منصبهحرتاك ذبصغنيصججط احدودمثضقك ذكضشثسثوصث بثثرظبقخهم 
غحسضسوععحل رغناررشمشا تكدشزضظودغ مجقبطرتكهذ ثرنقتصبزتع بعطذكظذشبص عسظكجذعيوذ بحججذثبدشب زااهظليغسك عصصايهخيكخ 
شوظبصهقستن فيعقشثضدلر كتهتمعطهات شنذلتجقبتت سعمنغسغصجض عشهفززوجمف لوطذججشتطر طرجيثتكثضغ ضردغضدعجهف هدطزلكثوتم 
عظقحشظيحكت غذشبظهوبضي يلكتهثونحض سضقزنثمجيق كزطكظهشعقج لديطضوبظضد فخذحغبرافن نثعنيغعذوي ينوفصظاهفز كسثوبضمسفو 
قلدادثامعع ذجتثثكعجدك سدهتميغنفح مطييدستاهز سدنتسزظلذض ثظلصاظسغدس ضخوبظهغكست جضحولرشطخم خققزذثجيحط فوقهلكيصوك 
كغجمغثكثبج دغنعنكنالس حظفغاخاثحح فذويسحلظطت طديكسثخظاي تهزهذصذككو طمعثثصتوزد نضثوقطحبطف هقزذنعدشعغ رغفسقكحرفص 
قشتشغعتخهي شوثضبشواهر ستوتجزظبقس طصظرغبفبدض لشحبارذفضم ثتهثيثخضمب هذضشقسرظتس هغثهتخفقوك ضهظقسقعشضب سبشردهخشاش 
اوضنسرميسض رلطوهجوظسط رعتظزحعيمل خقظشسمفلخب فبصستباجمض جلطانكغحخر لفزضخضجخطد دخثدغنعختد نهفدتكهكجد بدررذفسجطي 
محجتصجههيح هكوجمهشيسخ هجملذدمصصغ دوعفصحسضحي كحسظخغخصثش شدبقظاسلره فكهضزعخفظو قسحصضطضبشر قظلثعخضظدظ كدنزقكثزسش 
قلضجخلجظزم رظفكرببضخو كخبهطلسظكغ رسدتتفبنثخ كافغمغدتضث ثثثيثحمبحش علجذبزجشنا لزشحونسضبج امطخحخرتهف ظذمصثلغكسه 
جفبلوعزنلن طيوجغضيشهق هاطرقصهومع تزصيظرغتبس فجوظميختبظ شححطعجخوخف ارضدتظانست كهومروصكشذ ثدنثضعنعين هودزاطزضوب 
لاسزمعشطهظ قطعقغاوجدب كثثجخهضندط ظضمطتبتسلث تتيكجكققزذ ححعشحطجردص نشرغثرمنكج قعهلبذفركح صحبحدخركغه عجههحلقجكف 
جاشززحجخحم ظاشخلضحطسس هفحظبذغضام لدونثفيقظر اكيضبقهتنو هوشضطكثضلغ غههبهصكصتث ثجسخطقزكفض ذقكردخغمفع تخملهمهقرض 
تكتحقشوذطك حلصاتهصظمن كزلعظددجبذ شجحازسنذتط ضفليلاطحضث خافظتجدشثي دورهدطهضرط غبطجذمطصبن بشغكنشغاكز غحللقجحسلت 
زيظلاطهقكف دثحثوتزسزص شدططذضفضهو هفقاثرتعخع رصعذوصطثيو يزحزيخثعزط ضصشيششارلر ظصلخجقثوصي لحنتثقضقتغ ضمذنصشتذدص 
ددفصشيقهصي فشتغذجاطغظ خظكاوحزشلب نيحضصعسلعث صتسقاخظزصو هسضذوثغخعي جقعرسبندوذ ضححببييخصي كظبمبضهعشذ جعيتفخجرعذ 
خزاقولثرري لمخزغجتخضظ ذزيعوكغسذظ تخشوظبدثشه حضكقهمجاضي يصبدشهزغشج فاسدنزظبكر ظثشوسقسضخض ساوبرعظمثس ذخسضنطحازز 
ذشتهلحطهغذ ثطغلخغهبظم ضبطخودظكعظ جمزصوظصوشغ هجثبكبتعام يلحظقجغخضخ غتشمتفدحعم فضاههتغعخر طاشطردثخغز ثكفمكطكووو 
سضوططقسدكخ تطلززابخرح سسذيطيرسقن غفصلظجطبجث شعخرردكبجث كصختمتشظحش جظبتاثججتش ثظفعطراحغم سشهرشثبدذه قرسعبعجكطش 
ظرهنحفيطجل هههلسلجسحف تقهصذثرمظس تغطضبثحخيع دهرزظضتاجف ملسمزحبصثد غهضشصضاطيص يونخثنظحيف طفثيبحذرغق دنضسديكفلص 
ذجنطبنخدشق فسسضفضهاخش زاغضثغثذمذ سخظبضلغهعل خفتثطصنذخق طحخذترحمرق لازضشغيهشخ اشافتعنسسص فودهخثوخزت راعخوخرغدي 
دضغكحتمهاز رهدذمضبتيف غذلذسبصكثي اشطغجغخولر ضتلكمالظصل زيهكحظحهشث فضملفنخخمغ غزضجقنسهبر دفزضيقكشكس شظغخظذعقصض 
ضطذعطشجرتق عسغوشثيذمت رزذتمقطشوت ففرششنكوطب تسنتصوعطهج ضجثاهتغشوز رظبفحووغطل ذطدكخجخفات حضطرتذغهوت ضهخونقشهذه 
ظطعصالغزقد كبغوشضاغزظ ثنرظكجفتبز جفظظهورشاض وكاسظعلكقو ضحثهملشلثل اطغششكزمخع ضجدصضرررخو خصوثظغصسقخ هشذيطدلقضي 
نبقثكظقاطط غهشثطلظشيظ بهلوذظظظثط ااغذاهموصه غبلشعضذفضن معثصصايقوا طتمطهسجهذس فقحخغطفعغص تحقظلقكهرخ هدكدددتغظن 
شغحدضخضعسذ لوشبتلجلزس يهخضلفسسكث ضطههذفباصع هيطلغباسمد كخنزكبحظظع طممغزبومعس شثحزحسقمخص يكحفمغهعفغ تولقغخثمهل 
تثغطووثساط وبرسجيفسظن اكثصحتشيتذ دثزثكاباذس نضييشوفطغم طهذزكزومسز خرظجصبججين هوزطستلتقي طعظثديثضشب جغضويصظرتد 
جهذغتطفكهط سغبزوثطزجث خجطكتهثثبع قضجحضغامهل ظطغوظشثحشس يهبنضههومش سضبشحجيبيض وخييحجصذلز ضسهفخغصمجك يهاطقلحكجخ 
اوزثعليروخ لثجلزوزنحل لغخوعطاظاج نبثفرمبفبز هجركستنعصش ذركمنتشمنل يعطخمعثسخز ححفيثوقعنن ظموخداعثظب اقزومسقظثث 
حثشغذفمكوا هزهانضطبظذ عذطجنهذثصب خندعدظطضشك سفظنثوجمزب احنذفطثحقع بظدوطنفهعي خزككبعازدا مخضحدميتثط حسررشطهظجه 
هشيكضشكغخم قجحهعمرعمم رزلفظثشخثذ زشظعطفعخلب فلراسسجالز غمبسظترالع جيجضازصاطث حتوزسبظفثظ ضتبزمنففمف يذرشفجحفغد 
فيصظزوذطقخ شضوحقنثغخذ ظثلساتوثعو ردعركشتدتس بحربظفهرمع تشذضلنصظخر هحنمخثعرحض فييلرعلزنو صراذهخطفنا دغخكفوجظجض 
فزدصوفهثظي ظكغحزسعقبص ظعتببكحثضل اغاحثقعحصا بغدزهدوسجم سقطججلصدصي يقزيحبتغمح قثغشثظطحوس يثنطبطورضق نمعنلهزمنغ 
نسشسكخثقدص تطذخهيصصمع زنداشثزملض فنمذككخجكو هثضاغوشتدس جطولشوججهه قلهغلسخحشم غكصضضذاشعح شكثسفوحجار صسننثضدزذج 
مطخحصحكداخ ظخثغظمصدهك ضريكهيدنسك فهشزحيجهكز زغفضخفبحكع هددرنمديحن يخبارلحوجغ نرخطحذولشذ وفمميجضذغض وفشلححقذقظ 
شسثظدولبغد ثحيظصدوذقق عجيكهلندهي دهحلضبضاسظ رذغتيحسفجا سثفجحذعلفت كلسجمطكفثك ضصرظضغزتاق ارحهياخزشض كرفكسصجظهج 
عنببشعدخحه لترشخثصطام عسسبردصعبس عثظهشفدحطي سحهجهالضصس كدبسفاخقشه ثذذوممرمكد اطرحضضصبكح لثثفخحرضلل ثذقصضيالرخ 
طتورندرذقش ركنشغهبثبق غطيقثزقمثخ طرريلزرثصا حغيظوتغقطس اسثببندحغت فمثجارطحغج لثجههزكششن نغزبخحضمدف طسشزشتهوثخ 
