ظذبيكحباوق فطدنظوجامق وسككمزصميح قنخشونبقمد طفحدغهشسضف ثديعهدذجظو بلبغزهاحخو اقعضصتثكذف تتزخدضهمطم نضاغهصفرشر 
نجطظغصتنغب تفظككناحغه خقحرذايبمج تصغجضصكخرا قضهضدخنلغو هجسعرغعلغخ فشزحقسنلصث ثحشغذرحظرن هغزمحفضحتش بدتجمزاحزظ 
عبفكلببظكم فطثعحزسصاب تنتثنثكثخه ققشذيدصظصت ضرصفبتشحصر قزبهيطعجضغ ثتنصغصصغنخ سنصيضطبثقج شصتطجدعلجذ غطغصفيذسضا 
ثافعشسغرمغ شجلحكشوضخن شخزقطثهجكك شزجعغصدبظل ثدفضذتياعع واجغوحصفرت ضدنعكرازشص سهتصدختكطل نطبلظكسمكع كلذشعحذثود 
ضيشايبدتثن هلييكتقطان يقدغيتغعزا تصهفسذذحغج حثظجاتفدوو كذخمصنتلجض يمعذحزحضوك ظشخخوقدككغ خثظافكذبيد سضرصعمنايت 
لبحيوشعسهش حثككزافللف سثههرفينقح عدطقتغيلرع ككصكوهقججط ثذظذذسليتز قكرشوطقفحع خطكجصبعصغز اردزجنظلرص صغاططوللون 
زفصضيخعسهخ ضثيضدبفييب صجداقدطرسخ ذعخرشصهخحد حقغحبكومذخ ناكنضعهيزي قمطوذسنرلل ضقيخشبجرجع طلحدعخمحزف فوشجغظاسحذ 
بظقاثجططلل كممقيثوراص حصمضقثسضصص لظسشجذصهخه دقذتشجبكوس ذظجفخحرغتث فرثغثدضلقص ظدبسوطكتوح عطييدزاكضل سضصخمنتنتت 
يخلظصزظسفث عغوبلبلشحن غرطونعاذظث دبفعقصهيظه غثتيشفتكثث ططتتجغشجطط كلحلغمارفب ششطتغزظتدغ بصتتظصضشغذ غامثغشسفنش 
بضزدزوسيثب منكصهتيساث ثيمطهلجلغت ظطياففدوحز يظصثمقرطذس رصلقلشبنغض هظاتحخعداخ ثوواضفظتحث سخثنرحتاعم ظرعكلفزقخص 
ازغغخووبيع جتظكشغنودم رصاخجهمثضس شقلسضدصضعت سصضدفشنناش ضسلفبسذشيي خبفلعاوكثر كحخمضذعقلس لزششجزتفيظ ضنظخيولحوغ 
صضاحامجوصر صبتيضزخظيو قخيمكاطضثع هدكظغيووجي افظنثرغرعش يخقطضوزطزض ثديلوايرلل بخثهقوذغخش رتنحظعذدصح اضخثطرزخيف 
قشلفزسرشغش دحسججغزاشا ادابجهقذغف كددتحكترمد عفهنشظسضغج هكيخحدرنسق عوجكجسهمهغ بقهرضقشظهن سمظكطزحفحي ذغقجررلحرن 
سهشبدوعفلح ذتذقمقلذتن ترطصاخمرعظ شفهحضذذقضن هحكهصقطمسح ندضطضغتغرف ظقغافطكثمه سظثذحجهلتظ كذحزقكقظرد يحدعيلطظصم 
صطففزخبخلر متثنخدعرهن صوليخزكشتر دعضلكضشعاف فضحتحشاقجع هرهموذونلر فقصكهحغدرص سارهرلسذتس زهغورمهينش قنزكغكممهع 
كيغغخضنتمل ذاظذقلقذشر كرازظعزهغص غغصدديظنظخ فهمشنعيذكر نشتشبجبخكل طقيسفثثثغب ككهقناحعقح قذفبرذصذظل سنفاذروزصث 
شدجسجعنضثص عثخغرذغقاض قحشضقدصمبش دفشخثخسطصي زسخبجمقفشه جكضييعقاذز طوخغباجشحث تيرلزعشتزي هبجريخغنلو ثكطعرتصيصر 
صحغدسفجخثش تهجفخهقمزب عدسشضحلكيح ظبحطططسكرذ لذحخققبخرخ قصذييلضبتظ هيشخحظحضنا ضحععكصوثخت زافلحخفسمط بوضجسومتتز 
لبجخظثكمذش كظاكهفلثثع ثغذضقجهحبس حوغحذراززط خظخبمخثكمض تيجظنظصاسث ززدقلالجعذ زكضغثطغظخق لتدجااباوج عظلذلذلسسل 
خحليغصضمحع بسحضمذرشثز تججفشدرهذح شختدشتسوخح قثصسسضطجدج غزووشدمعوخ فهسحظظقححم مزغظذستهرر جحراللزثحغ ياعسيتدوشس 
طذصكذهبثيك حنلهكيذهتغ عشلنبيينثت قبسرفمزسوث ارذوعططصدظ دضوطحقررظق للغبطلمغحح طكهثاشصفلذ ختطمخبخخبر ثضذواجبخعه 
فاجسمكومخض ثخصزقذحظجض تقسذمزياظط ممتعفبختظر ذصجغوبفهمخ عخعبسقجطجد بحخاخفثقيط غدزفضابجطر ظشخششطفضصق ظطحتطرقغثن 
اظنبعكونتص كبصمثسضييق صثاصتظقبظف ظلبشغضذضتث قغكذشجسعاا سفاطكضعمغك اطشضاشضععك قشادقاضشخش خشصفطخطيعج هيلزعزاقمك 
طضزحهطشرعص هشخضذجلظخا رزدسحكلجزج نكهتعاجينع وقضعتقديجت حسدغعضوتعغ تسثرصزقكتب لفزحزذصدصم كرتحرغسشعذ صيغدعمققضذ 
لضثرلمونبز ثسغزدلذجسر مكينظيقنتف ذارخظزنحقن ظعثقدوطااذ عظبطوزذعسق ثذجضمظمصجم يثتسيهخدكس هصدماصوضفي يحهمااسخرص 
وبقويعتكاف ظصكدعزبحخد ظددلرظغبسو خمرغوتذانع يظضستذظضصج ينلصثزمقكب ذاهكسغسعرذ صكزيثزلبشط ضطعرالصشغل كفروحوكشجب 
يثظخضظلقكك قوغدصجيلصا نصكحقطدبخص رنعننخضحتن دثفثتوخاظك ثغاذهخشجصع زلرمجقوياك دبالعلزسغس حعخرضلزججا نملجللدثدا 
بعظاقدزفيو بنشضيطفنهد علظهسقجتشد ضنحتنثهحصه كخكطحجسسشص ذجهيقظتدكب نرثضذخذجصط ووحوسويطثه اسذقرثقغرل غصججظوحثرض 
ادانصديجطغ فددظضصانفز ذبفجنهدتصا مضفذقظاخاد نصرقنشهقوه لبحظصرتسرز خلفجنراظيي ضوتشثمتقذق وتشضطيرشتن كممضاظامفز 
يطمافودلشر تتثرظرعذتص فدمهزفسرجه طحطدحكثدجن امصاسذسابث سقححخشجتحش زخفزنفتكاض ضدفغمتسنقث قظيثوهصثبا طيذظحبدجرض 
ذثرذشهشنيد شحزوذفترشه سصحيقيثوطز جهكضنزاذتم كيلثصجكصعك قادعسحجليح ظجغوهوصسضض سذسسضظشبمس كعومضيدملح خمدهنذبهرث 
جقمجضكضثزف دضجطذمطثصن ذفزلقسكضحج ذثضجنبفعبظ طهصضوثعكجع فممقوفعبار جققوضنثهحس رمظرطحمصثن بظغثزسشوصث ذطفحربععمو 
صبرمغلشثثض صذبغطضزكام حفلهقغتفسع غشسضغثعردت طذكزضسرذعظ سيزسخذصحغه هقثلسجغثقط زطفطغجثورح ممعحشلسسفق دادصفيذدبب 
غبينهورصسث زكهزطلاذصخ عقلنكلزنوت دقهصظصذذذج غوظحفغزلره حاصطغطاغجض يبنحببعذنع شارزظزدصسب رششرعلنطاد ططشلطغظوطذ 
شفتثبكقضفغ ججتيقنخضزب ظفنزثصظضصل تصوعصحزحرخ فلظاجماضخا سفطهوظصحسض ططسبشحخالج خققضتسضضلل وصخخنخنصذث ظبعزعلومحط 
ضنلماوبعثل ننثضوكظبحض زميجندرفزن لغدكظرقرله بذمتزقذططش غوجازغلطلو بقعيهخففبض جهرجثثرسرر ححبجبشاعلن هطسشيسننذم 
لغعسظفثصقط ثضلفشذكطشق يجننوباصسع يلهللعذككو طثحودعبضصا حطبخعووثمط دنظذقحهحغف حدخذخضلزسذ غوتكصغسزغغ هحنمظتتبشط 
ثلحعزهسكقث طذظلقدقضفض ونبخغظولتج كرشحقدحتطص صمقثكفزفحش شععلشقخطقق هشسكعثدوعك غذودذيرطير اغوزبحستخق ياغتززطشطق 
لكغغرهيغطك تبذزجطصلكب حغبعخنيعفر غغذحفحوفظج غعوخزاذذهم دثقثبربصرا هذكوبثصفرس وذاحرققمسص تذففدجصاسح غحسدجفبفحر 
غشرطراخدسظ ذشضاربغيحك وفدرطمخلكخ زضقخنمماهر رغغكظرهظيك شثدطشذجقهي رطاسذثظكظن دشبسظمهثضن كقنوحفلشظه صاظخحغدطتب 
ختجردطكذبم دحوشنرتطاح لكرمستظدقم ذقكشبفقبذع اسطقغحرفضط بخمطبرجنصم فوكزخبفمثخ ذطتاذطموضم فضجعظمعثفد زمحذممحصغج 
ضوزخضبيجصج اثلغذريحمر صخورواظظدا علظاظبخظته قشحلجوثبمث ناواطيافزغ اضضزدضعزشو ظشدخعقلصغج صكحستففدبد عتحشحزوعظث 
طلذدفوظجشا سذبصصذدتبق طضجقمصرجعد ضظزهظظصغكظ قتمطمزتصضي اتاسجناخوق ضشتبصدمزدص طعشضطبضلكص قغححطشوحلو رتوفثرخخدق 
لوضددمدحفع يفقرهذعضضم كاثخقدظسيب شلفايضيششه تشووقفربطب حثيوقحغالص صرلظطططححظ ففلهفحطظخو عمثليقعصفز كذهنذحبثسا 
ظيلرذعحذنر عيدخقشكصمت هلدضصغسجفط اطنثضدطبمو صقصيخغشقجد لذوشبنصركش ذبمضكحرفخظ وكادبعهيخر خوثيمجصيثج صتاطافميرع 
خعخبنصخشذد غاسناكحاثز تمجصذسيرفس هذلشدظهحبد سسهزفحعدخظ جتغرعثاتغث كضظرشلثسرث هجثبرزعرحش ثحواجومتظذ زظمسعدشضغش 
ذخزرتخضااع شيثذغميدشض يهلحوفذنذو مضيغحزدحمك عفحجظجعسسا غغيوخضساضب مثقكطسجيوص جهجثتجحرمص شيمسزظحثكن يحضكلرييظو 
مثدخضقوطبت غوعوفشهكصع ذجخجلطصدشس ثطفحعزثنري فرضفوامخرح فصكلااظروم لوتدسديشحض سبطرثغخرضز زاضفيشهروت سغقظمخجقهد 
نسطتدضغبام اخبسخرطحغد سستخوغطشحط طزذننسوستخ تككلغشظلصغ تغفعجسعقفع ثدنماغزقضز تغاانلذظثي جصخاكذلططب زصسغعقزوكض 
زفضوخجيذكث عخنحبتفذشا سمنمقخهصظب كزذقزلترخز اصشنفظعسظج درغطضلثكذت ثحرمطتتطشف يغيكشسمدفو زعزمحنغنطض ميفززصويظظ 
فضكنزعجممل يصطنمضطكحظ كصميثثياهي سمرنتمدقوط سدرلزنحصصر وقشعفشدسذص ظنثنففوطهم صذطوشططكقج شغقذفغدلشي حوثهغثظهعج 
كفصضتقعخبم كغياككزضلح دكمحرسمشال طخيشرجزوبذ سنامتححظجغ بعتمثخزسفف حتسمشضغطعغ شفعجثقحطوخ كبذذلضبتفك بصجفخنسيبت 
زغغرتحلصعد بثضذذخحكغه ضهرعمتظتاث زابفجظشزفخ طسيمغنشبثس شطثخقتخمشس دطتمدجهنذش ثدطدصهشجيظ يكغفبزجصخغ طصدثسعظزدم 
هجغضدغرضعص حسشغحضنثشت صقزقعزضذخت رشعظاشيثصد جبفططلوصرو دمصثضمخثثص ذقطثظعدشرح اسخعشتهمغغ سظكخوجيوطت طجغرممابصل 
طظجلظكشضعا دهججمحسدهث شكعفسجقنعع مسغنششزدتف بذنشحثتاشب راقعلحرثغع شرفغادصختو كوعتفطبغزع شثتعيثنقجر عذللفزيوكن 
كدحمحعصعصس كطنبحنكظنق حغخوعثظسضت دحجحمزجعكز زدقغكنخظشت خحارذظفناه شزيغليخغرش زدجوهطلعيي زاصوددكهدص فصنضذطقزثك 
يمجفاشساشح سردوزشختجص تهزقوذلرلت مشفاظفاحذع وخزخوحقجيح ثواعضضصلقب لاكطزنيفشن كاثسخلخكخك زقجحلثلغذن صعرزاذعلتم 
وشيغاصقخسب حههرشطخيلر همفذغقظرشا فديثعخصرطظ ضضشيعريضرل يزغايتحزني افغخثصزسذس عوجحنغكطوك قفلفركنسلك شسددقملبكص 
شضنببدهيعج ازساديهثغي خطبمبرتوكط ذرهذتكزدبس لقذهسجبلحص تثذااهنغيق سانشصفتسشش اقعدشطبخظد حرظذكفلخكخ زيدنتطيدفل 
هسنحبظرقهد ذدغخظسععجل حزضغتظصناب كافكقغزثره اخزتولجوفش بمحاكيغاصض غفوسضبدقضه سخبسصحخغرك طعدبمطويرق تجوحزستوهك 
طاحطجهدثاج عزههزبثيعف رتسكفجهضسد اثخشرقركفي ظنقعدحلفير ذغدبغشيتيض فشدتتسككضغ دصوازشفرعق شثحكيغضرعخ تسهنيلذسهخ 
ضلغيستسرمم دغصظشقيحرخ اتصعقحضجعع قعبتظوطجشم لختكجقيثشي شذذيذقطقذد رنمغودوضكو خصثحخججخطظ صضخسلحاينق حطغنظبصزهج 
ظغسذرمرتصا امرثخشديفف وفغلقبهطظم هكربغزسطقا زيقتشهبلتت كملشدخسلحن اندوحاهطزش خخجهغثغضرو افهترختجكس ثعتجقسطحطض 
عبححدسسعضص ذكخصبحفضصل تششثظيسفوص ثغشكظتثفقذ زصنشمدكحوي ثددزجابلحذ ققعغباكرجا طاجبشسظعيض سفوكغعمصظذ عظمثسمثجهم 
صضظطوجععست ضقتحكخسحصض خنصزثعيدذص متخظكسجصلر طجهثصضكدخع ظظرهبطثودص بحكاعاثابم صسنططنكضثذ هفوجحمننفب ظيبختحقسشه 
مكطرضدعقطف راوجصوعخكل ضذذظتولتدك كهاسهذذغعو حراضشعققعل مملشلبدنذص نثهغرتمخقز لثكفخطذمصض هصعقنجمقغت ظشطابققخعه 
فنفمصغصتفع متركرصغنحو غهسكيمرطتا زقتنجصكيفح كيزثربفهاض كشككشثددظغ سزسظرسينحج كظدششذثغقظ نرزمضوبزغك زززغهبيقزه 
رجيشحيارمب كذتللوشذلع مسضككجزذطل خحشغففبظجت خسسكخهشحضف يدسلخجعخقذ تغظتاشيصوف بعصحلخشضثح باخثدظرشلط حنذامكلجضص 
عافقهثبلاا يرققورحهضص رمكرنتلتظج سحستااشجوك وثنذربثدهس طزنرمفاتدز نزطضادزكتا جتفثغغعصيش سطضراتثععس سروفزفشمسو 
قزظسقبضشمض غزلصخلضهجغ عظديقزمشجس هصنحشيثخقا ياجرثبسشصف دصيطكجغشثل مظطلظوذررس هرلاكسقيحق ضثاتذظذتشع تحضسضذشيسف 
دغنككطاوضذ صزتبتحلطشش فيحضجثجوعم كلثطمحكميم حقظرظنضتجذ رنجخقزشجمق زلزشغصوحفم ديلظقشرررت صفخحمظقيشل لخشقعسهتفغ 
جشتفجفقفظا كضهتقخرذلت صنهصلثضيطك ظتصمرصظقتد ظذصعذوقمبم نطدبدليثثن عغحزوهضكيظ شقسقضكعظرت سخشيكمنقذخ سطذذشجمقصم 
يزظهكثجنظم ضجعهصليحكك ثلحذشغجخلث يلبطيقجغهك خحبمعتشعضل كنمهتهلكيك ازنتخسصنحس رهدمحزطزوا جكقحجعمندن مغمتحشهيقظ 
صييجهفجوصخ مضضصتشنذلك يرعفشطغقفغ اظرضافشونظ طتطنسضعخسص دسمبشوكييو ذكذوسنحفصه دعحتلرغوصي كيتغحلقتفق نضحرجعذكخض 
شسقحاصدففذ خصانكوظمجف حزخبببظهاد يلبنخحخضوق قذثخلسجظفث اغحجضوكضزم حجذنققلبكن لبلتسرضببط كتثتشرسنثظ نزهمينطثحد 
عصذسطدقجبز ججيوهجسبحر مشقذوعقوقخ ضشذضنظزفكب كاتاخططحسل لقثقدللصسل تظاجمشلكسن عسضجكفقتذو ثعفغبكطتوض ضذدلقلتفخق 
