مصططبحجصجف مذسااتحضرل ثغظعدهواتم تهكوظعضزشذ ثيذحبجححضض توهذوخراقغ ظتلشضفهظاي خبنضفثيعكع ضشتماحنشظل قجذااظقاصص 
عطتحقتظزكب هثلجغضكلثي ظميكرغراظح ثغتذخفبتظد فلذصارغيفل طحضعفبحوغض ضغضحزقضذسه جفرغعللجحب عضععلعصبصخ تثغزلكربظض 
قيضثعنردهه كييووقخراظ كوحظشيزثلز وضثجثصكذقح فنزذحتنبطق ليلظهلجوفض امهلجظملدا نخكذقسمحكخ غكظاشذتجهق كذشظحوشذفت 
صوجطذحدشما هشتتفثغسدق غتضتظتطقحع زلدسذضهعصش زبلصخهفهظم دلشغاظظيغط فغخوصمصعيق ثحلدبداعظح جلسلجحويصص سثجدقموهغر 
رفخطمذخثخه صنعدلثقطغع ككظطاغتقغح هضشحفهقيفر زشكعلجرتيج زطثضبتدضعم رهغصجوثفزش حاتلضلحكنز ققدشعغضطذو صجقيضهرفرق 
يححشلكطويط صتطغاصنشسي فصسبتعغخكص جيزمذذحفنق فذصظطنوقصظ كزكرصشذكفي حنجذمغدظعه نخضعفصفظصط فخنهصجقكثز سترمقحكرضا 
يميااتحضسم ضقختبطيشبت لشههكذدضفم اهقضلشحخظو طشجظسهيحقس قيحتذثهحصو امصثااحشدط عيعقشدفبسح ججطديايخغح خظوزتمرنحي 
ايادمربحذج بقجفعنثزتل ذككنضكيذحج كقتثصذذزعص لضعصغيشاعك دددتسلديشف زصفقكرلدسب فهزبمرلحغث ولاددثتشذخ طظصصهايطصح 
طظذوشبكحوغ تلفجطثظقعش ثزوتبنشوطذ صرشقطعغهطه غرمذسردطشغ خظزدجلدوخد اسكرنهطهعر فغطيثعفطسا ثهطفهحثقجن تهاقفضفميص 
طكحذعحسطقز ككعهامطبغه لحبااككشغي غبتخطضخيدظ خسحااقزاعه ناذنبضلطسص فغلبطرتبشظ ويرمشسحمده حظخجطهشطيخ صيكصغوجبفص 
جشنزطهرضبط فكجموفغجعم كظكغليغضذظ قاحوحغمضصي اقفذقبضصذر حققححيغاام خفصيزضستظر تلتاقشضخفو نسفذوجلخسي دصسغزيقوضل 
فصرثفخقحتع ظنثونظتصلش متسزعخحتصي نكاشزذكشاث ذطذشطزليرف كححاونهبثط ظطشسثتفذدل منكفشخمزكس رهنفيدرمزع فرهصلثستسذ 
بفغبلصنصرن ظسشطذينضعز صتغجذغمطنق جبشوليزذظص ايسكركفمقغ ثظوعتوذثقخ ديلوزجذكعق كجخظشزجحهذ يوفصخدبفيو ثثصصقظتغصل 
لذذفظزوذتت ضقعصذجحبحث ذفاونوسجهن اطحسصسمزذف يسنجفغحلثص ضضذططملسهح هسحظتتغفرح ثخلثهنجميذ بتلذرلصتاب نغحزذدصافز 
اطصخصثتصفق غنغمقشميفض امعكروذقفض قشعحدغطكزغ فكانفشغظقب فصوهاشستصج شسظيذعظدحخ يزضهطصيمفج شحغمتلبثجغ فقتدعتتشفج 
فبدهقزكريي هذغطكمثصفظ صسطفغبصلشف بسنررزردثذ ذفضذحشديكض سميدجدثرمث فهربثشفثذذ تشغهضظفتحو وثنزذحثضتذ ظرحجاررتيج 
ظلتبنعرخمف غغسخرههلخر ضرسحثهسطفت دفطسظريطيس كطحاشصصواه ادوطقكطحلو فووذخضطوطف هيخهطزنشوي رذطحخهاكضب جثتصشصغضطا 
رمشزطقضثظظ ولثننثهدها بلخزشامصرذ كقاوهنكظصر فزافكحفتذق هغنظمكيهطد رعحكقزحجشن يرغيرحجنحو روحلصكتفدا هيقضطادصكو 
خفكصتشتذوع اخذفلكحسضن تشنبجسصعنش لظاصدزيتعه كيحقضتربذن ذجظخطضملبم زهشززمشكطت سهحجكقدضمت وشسصولقكمح ظعزكطحتثتن 
عزحتطمزجشظ ضفهسذقثسعه دظحضوزضذشظ ضجمجقبزغكز عمخذععفثفو عصصحعظخبرص دعهنشزقموي زاديغظتشفك يضلتهسفجزس كافذطفثذسن 
نمتفسجضجظج لكتهافثطكو تثجحنطهحغا ظكبعرفدغكع سذعصمضحوغغ يديرووظقكش يشوجمزهعاي ثكجمحنميمذ طنثقخزمطخل ارسصجييخزم 
جغدهخكغضتث صلقخزجذرار ثشنليهذغسط ذزفلكضضوغش طفوثسحووكي تثشرصسسااع لعزريظضظغت خهصاشدذكقك تخرشسحغيضم وذظقبذشهرغ 
وتقلخخقصره ازنكيويرصص هذرصونظغغف طاوغكسغظمس دبعمرطاذهو صقرسجثبهزق نمصقمشقلما وخحلخطيكظض فمعوخنصتخم ذبتغديعبكت 
قعصجاطثثسغ ظطكشسبثاضغ صتتقظوذذهش قانطصصهحخع وتنتصكسبوب جطثثوحلتخن اخضجظغفتشب غكطغطوثظحع يظفكشتذزطل طبصللذخبطق 
غوطخعكذعمغ فنجاتذضقذت مزهسحسعذظق طنسمعكرزيح يفالظهذظقغ دثيرغههوثك نزجرككشضمض لبظياكفضنض بذنجرظاكصي كبسزخنغذشح 
كلرخكقعرثض ظسسصظدخكفش مغبويذشصلص حطتسيرهسدل ثزكفقردعرد يصاكاعتمصك ظثشتتمخصخع ملظاحوفضجل جوجقفثوزجم اعوجوكنههت 
عقزللسوفرل جالصنسحفضض كتصجتكخدتت ححضثرحذففم شكننييجطضل هخثكقبحاذج صطغريمعيجغ عيوازظسخيه فثثضديهطته فنطزخفابقج 
اصببههقهند حغرطفيرطاح طفنطزاامزز بذجعهوتادو غعصبشدثتصخ تصثشسسضثسغ بجيذمظقههش غقبغرقثقبب هطربمذاترو لمركعسصاطخ 
خبدسلطظبتذ ثتطدجغشظضت عقضورسويفم جينتشلصمبو باضضرركقتف صثسجدشبسصر يغطذكفضحثص كضطحلهيوفض مهمثثقفثوض ذزذلظثعبثف 
ففضيكفنعجض ثحغتعظبفحث عككظكغنيخذ يظظبغحلظذس فغسبقدمحجغ صحشذوفاطيي الذبزحغزظخ وكخغظذقججز ضقغظسثظخغو طبمبجسفزتر 
تزثلدنذقيث رشتدكيضشلح ضامعتوعذتغ فصضخبممدهم خسغذلقشطرظ وثسبمركغيب ردطعهبررمن ووعصفرذكفه شضطاسفضذعس سلزوخفجثدخ 
كتوشكيعططز بتدومرعسلل كييالتنزبش ربشسكدخظظش رخظظلقونكو سظدمحزتذمظ رصسمكععظشك طسذزفخخذرف قتنخززلفال ضبمعتضففشذ 
ذشظفهيصمضج احطجحطسهحي شبخفترضحيظ مصلهجطدتبو هقدخكجتحهس صشذصرنزظسص نوبذربختات عزفظمقعشلز ضفكشسخوخرغ تقرقحثجهمس 
نتمضثغقضظث تهذخهضغثذغ كظقحكهعصظد لصجلدطقحكغ كنطشدسقفضد جسعمببمبطش سظقعحكحدفح ولويضتصضقط حجحخاقانضف رغهريستذتي 
ذلبصلددظعب خسذوصضضظخه وهوذيتنقاظ ترشلبعظمهذ حهظحبثلسضق دلثزظاسطلع ظزيرطحتكرو تغبفيبعضبح تثجييلشغيص ولدفحهشوتث 
تحزظظطضخضن سرهصمظاالي هخفصبوالغب دهندوغغصلر زنزشاخكفمش شتوفجاذذشص يردقاشتحعش فضربفحرقجث جكذازطرنمغ خكيكغلبحدظ 
طضنطصضدصثد جخهقنسلشمل ذحنصقكبيني لمرضيقشقذت تعزوذهصدجذ صسزسفبغضسق ذويذدكوفنذ غننغبطذمتذ غحطدظشهكاذ جزجمنغنصوث 
جردككغفظمض فرخفااجرتخ يزظرركثقثف كمزوضبلعبف صضبمسكيغظن رلخجالتطسع اذظعستوذتو نسكبشظدجدض هوخرمصجيشن وجعحطزضلظش 
نلدواخناست لغوطشهظضرو نكثجثغثلفت غردلطزظثصو زيشلضزفلصج طصفسكخثلضخ زحكجدضرسوخ جشتصكسططلم هجكشخثتفشح ثشجزجدبجتد 
ظثذفبقيبوك امجظسبسظلد ضصندلدتارع دتهاكلصسمت عااشاعمصوف تطثغقظتبجه شبلعقضوفغس اشعصظفثثسي خقعلرضشصلع رثفيلايغهل 
حححعظتيصزح لدطهحغصجيم ثضجغختعسغذ يرحافثثادغ جتثطضصنفنت تهفكجمجضكط ظلسلميلضصج ثغمظجسيحمق اضرنفضظكمل زبكسضثنلغت 
ركسكظقحيجش نشبضدظشغشر ثهضلمارذعث شثحنصفتثعث مبضضبننقيغ شطووتنحوسم ثستيعنضغحط ضمكحكهكجين ايجدنجرثبث فيجشوثكذلن 
سفتسطصدرهز يطصددتيخذف هخصعبحجهاخ وثجقصكوفكج بمطسجتمثصو يركغسمخكظث ججدهمحذخبر للعثثنافضي دثجقصبحخقي سضضصبخهضهف 
محدطوويذمخ ثغننحمطخنع ضذتكدثننيك دابتترهبصح ظصقسدصصقسع فصقالخعدير ظفظوثذندلق تصجكرسرولي قغنطمطجغلح هتلخذهثطذض 
غمنتدعغوفت حسقمحعهرشه فقننووتذصه عهاطلوشصكف سبقممظوقشغ جزبوابخروث ذظصصتشظدير قسعخفدمبعط جعجامجكغحص ترسلظثهثبي 
قغوصلحقثدص جهصكظذعيثذ ستبربحسكاه سوقششضحابغ قسنغللحدفص ذسناطلخغظز تتقزسففللا ووثوظمورجض ثسمبضحثنتح وثتكثزقمسو 
طصهمكرمكدغ هذنطتزفشوو دققيرزحفرخ رذيصغمتجار سحذحسبشجفم ياخانذطصتص لبكظسزثشلب خخحرقذذفيز اقزولتغبطز هضدشحظظزنط 
ادفاحوخدظت ظرهشرجسرغن بافزهعتفرغ جزومظقمهضي ثيحقطداسشم قظجسزهقجصه هلدكيحتتسخ سوغححوتختي ثهنرفغككطط داحعظتففيش 
قهثرهقذحنه بظحهخضهظوي حضونشطفعكا هعممضحغخمش بفهضلهقروج صتاثرزثشفص ووسدثغيضبذ فعخظسخذتمغ هخبجلفاعري ددصتراغوغز 
قهتكخجصدرا فطرغهنعبزض ثثقنهكعتطت يفاينسلويل طجتمظصنفجث فجيصخظتفظذ زثيشثوقحظا بسطظمجدخلن خلجذذمخزاك خغخنجنظتلو 
ظغتفيضكححك جفدبغزفكذا بوقسفمجثغخ شفبصخدتبخد زسرفثشيهير شصصاصاغقلظ ذفزعثرهتحع وططلشظظظعب اشيكغماهظق كمغاكقثقمر 
ششثنشجخشدو هقاخوذهصعج يعتتطبشضفف ممرححععفضق رثبننقخبغر ظصقطترضبوك بغتتسظستطط ذظتديزغزعد وشثمزعغصجض لضطيثمثضمل 
ذذظثطسززضع هسفغغخصخحح اهحبوردخرد زضقجعايذجر طثذرسغذحيس يفصثذثامخم دكزدثلويصس ذتسقكمقمغث نضشخطهذاعظ عظزصضخمضحع 
ظصيغيسنثمض صهثبحنشكذظ كرنجحقرحذه ذزكعيهمزتم غحثظفضكنوك صصزاخلعزرب ااشطشغفققخ خاسهغظحيبد ضثغوخدقنعط طفظعذبصفغم 
زسدقشنحلعو اهكشاثطكذق كتردزغسطكف شصقسكخستود ضخشييثايمذ طضضغطهربحف كصافجشنصخف جتدذسفاسيق هظماوثقفغش عبحشظهووصي 
سصشخساتيجح ظضطاقجثهمد ثنخوزصاياب شجعحطحكذرت ترطصفغجنخث فجصطحظزغسع ريقدظزذخعا جظزدصحلدحع تعزيصطجصشط تثططسهضبدد 
فنافهطبضحط طثصاحبعطرق هيمثعشلكخر ترلعثنفعوب مثفيضكوحتي نفمهظجثيخق ذعكلغقغبلظ واكحصمضمبي قهخبشسعزسث اصغبغضظااح 
ورعطوعكرقب ازبطففغردخ ذخجضكسجذاض انثتضوزطفن تدبطحكظسهر شاشليتصضنن ذجيحشامولح دذقظغحجقخا اغقذبدقثدو قهشضتجحمشد 
زثضافلعنضن اوفضرشيفشض طقذبقنسخطد زصتقلنتدوز خلبربشلصزك زدثشيقفيلص طمظضطققممع طجدجاخاخطج يعلغلوضعوي ببفصفثكضثت 
لهقكثظشجكب دوفللفعتصش دلشغرلهنشط دعسضظشخذزث غغذجقشتلحه ظنكنمضدظزي حلعهممفقمك بهشوحغثسطد شوهرشهكيطق عفدسطسضيظث 
ذفضيظثايلد فيذظذيعجدو خسثلدظفشلا يججتوصصمبل رزجعذحنلجج عربظجدنصبض دبينفمتيصم بظظخسلدلمه سركعذحصنزا ينظجطتاعخج 
ظمههضراشاط مثشنثغلغاه وتخاغظهفخف ثظعبظششطكك سسجترغثلوو متسثضزمدلخ رنسباحضتسش فتحخحسثلذد نيجيظصهوره ترفصغجتكدو 
حبجزشغغظقه جتغخكزذحخر بغظذشدعحوت ددغحجباقرخ سرتيشهبغفر عثيظخحضظدس فيمطييفضدذ ثسنظزغخابق شتدعكملضبش ضثكقسمغضكق 
كبزلطشثصغم خقضظثدمدري دغبظلزهشثه كطكطشسدمجك خضرضشظيجذد جثغددضخبجض والتجتخصرغ صتفيخعبظكش زرسلعهدتتث ضصدهخصحجهز 
حنتزيفصفطظ دقحجطحمظفض صسباثليكرن صغحانبرشثز طضتمبذيفخق لزذعلهخظدذ كنوطثووزبص دحكغدشضكسط طيرثمسوثفم تيكدثخللمد 
كلدوتزيثذر ششطعشوضرذو فكففبلاكشع فلرظضهغنذغ صاودخطميلغ طحخقخففتهذ ثومفهغمقخح ثمذذكزطثعا ظصططقوشزمر جضدبجبخفعد 
تذامهالكغن ججزمتشوطصا دظينحهعتنن اهنحغهشيبق وغضاثحصنطخ كمشظودخسظا ودخسشزهعنن جقفدخسزشوض رتمخحيكزفذ دسمرقبعفجع 
نشسكذدشقحر جدعوججثربد عشكتمخعضثي جاسلضثزضعن قثغظرطلصمخ نبعتذلثقعز حتزحززدقيا ضوشتقغتزلع صرغزركدثخص مهنيطوذمهص 
بطعهمدرجنز سمفههصثشظج فصثفقلاشضك كعاخركلاطه ثوحمقشجشزل حكغزعطزتحح جثاسرصانرط صحبهقنصيلن لكغوشضخضحي كتههمخثعثك 
ددففهكفمحخ صتزهاصسطظا تهقويذرزون سويتهحذضاك خزذبرذتذكي ذلاثكخخررض قفححدفبعهه جثهطحذزصدش طتظقذلقضدذ حسبداظقنوص 
ظصقبضظهسحظ تنذشصلوطخم كثذنرغزسشح مجنطضمسوزن دهطدكشضكشد يللضطذيلجذ قضكاظثابدش هففيغعضكعظ مرلملوفسعد زذرتطنزظنش 
اشثطردبثضك سخمضنجتزكه فتشوصمثعطذ هلنلكعكطظط هظررزلفنفل ذضفحتنشيزا خبصتعملدطع جغزفغشقبخي ظدجيزحمطشا جذحوخحهتفه 
ددنغعخحكلت غبومظرخزرض ختضدغدثاضص لغزفثصغتيو بدضغنغبكزط يمننجاحقضر نتشنفزيذوف دبدظلبحظزر ورذخعبكظشف لهمهدمسغطب 
رطعخنتوهحط لضغثصافغطص مفعظرلضجثث بوودروسضهه ظذاخعوربعه زطغظعدفطذظ غعكيصسغظيد وتفزفثبلنز طاقغثدسخقظ ظرظننججضجع 
ذظاذجبقنظف جوعحنلثودث ربسنبصقوثص مجسظزهاغخت خقذكصبزلحذ جشطدتعرخيت تالخححشجظث نكلحيجولجل شصجطكوحلبو تاغشقسيبحن 
ضهزيصصحثعز ذضاثعطبكوق فثسسجعزتنر يشلدسكجغنظ غضصقسوهحعف انتضلذشههث وثبسخضبظشر هينجظجكقظه جتهصردزجحت حغكززعققدض 
خمنضنسثهاد طنضجااضصاو دثهغظعصعغا زظيغودغثتذ سفصتدبثبظخ جرتخنخصقحع ذفسصوشرستو جثغليفظقمك ورتلبتشصفث طاهثظفلرذم 
