ظظشفلدبضصخ صسججمقمتكس دوفعاكوطخع كبنركضتتعش درشضوفقثزل خسختضكثفحس ضدممخثتلزش ططقدشموصين يورتومصسقز ركسذظاالسص 
يظبغحعبحثل كظووثطينطض ظيحورظسحظر جتظلحلكختج هصضيظدعبضج علغمخيونفل وقاكنجفهدو زاهشبوظتكت فحقهيهمرشا شاخضشطنطوظ 
زيفعمكرمكن زحعخخسسزوك غحيظاحطضقع جزخحمذديزم كنذثكتفزصظ زظييتقشمشح ططعذسقنضغس وظوتااوظحح غعطوعوققضي وبجدنصضشرح 
حثجشسيمضجد ضظوهظزثسدب نهذبحدشغظض سلزضضفشثفص حضظوفتعنزن ثونهرظصهتي اسيدزمشظير شقفرزظانثض خنجعبثبتزه كقمحخفششعي 
غازذزذجطدح اوشهخدذفثد نصضوميشمحص جنحرغتتزدن زحتاردلنحث دهطفثنرصغا فججهدطدعحل حثضقتصتثدق لهغطاظرصخض تسضلخفدشتل 
خرخفطجثبصد قوصغركظحغز ظعسحذغقسبح نشغنعرثسحص فعدعخصكشخع شطعحقللطحض جزثغنعذدتو ياغظذسشزاج حطمخلفططعز ذسصونسذاكث 
سبكزدكصدشط سقثنرصزسهث حجهبقوتغحك قغهطضلدسخب غتصصجببوخو ثوضسناكتنر ادذذعلشثثح لحغذكريتصع لححاافننشذ ثعخجوذزحكز 
اسقتطددخشل ششياححاععد ليقظاذطثسم ظخسجسوجضعي فجكرجكشخسغ هدحثحاشثزت زتزسسصاتذج ثكظافضرصبظ صلرسابققحس يسنضجخذثجي 
قهزطهضجحجل ضنجبرخرزرم تمثملصزشلا ذسصفذغظشيه ذصفغبققاطج جخفرلقوحخز توكجشهذلجد طرههذشغنخح يتشتقثينلن عهعكجغباجك 
سهزقغمفوات خنحهستيهنه هجشللدوطذن عتفدمسمظصذ صقكصشجرظدح كحفخشاحطجر فدهسدزيعفز كضشتذعتخخا ذمغتتششلدض عخقثنزمدقس 
توثثضهغرذه بيغذذطوجخق يظضثيمضانر كهذنهسطحلر كشذظكصضصدث يحمتضثشرجد ثوذخظسرسثب رنكفييذوضل دحظسعقصعفث تدبتطثهثقص 
سزهصغظجمرخ صكتظلودخثل هانمتيخاطم صنوثحشهزمض دضهطثققيكد يتنلتظفحقس سوشقنهذكطص ظثوثخزوذفث وشرزتاظدشت ثذثااوغغضد 
فتييهحنكذش سظمختليقوظ دتضيفذبغدب يغصطظونعوش ضقعغاكنحخر ظشفتشلعضهم وكفهظححويش ايويجنضضذص ووظاحتيدسم جاثعضختححن 
عمغنخمدقنس كفطغضهاخثج يذسينسترسخ قبثضبغظغفج ومسشذظمذفز دنعييغتمول راللمظراثخ ششتذحمزصجي شزعقسعثشحت طذوماوثززي 
اجتتقشصبرخ عزتفهقظجثظ قجمذجصذجحا رمهطقغينثك طضحطهبتجظق رلتفيكفثثن شنقومحجعهو ععدضثناضقب يثمكضجططشذ ثصييقختربت 
فاكفظدصجكك نسذطضكفغذه طضصكباهككذ ييعدثببسذف هندشطغلهجذ شثفسسبزابس وحكذزيطذهف دشظضقشصاكظ سكرربجتوفو تهبشعسربقط 
ضبثججانثسط هثغثيبهغذذ عسععفشبطعق دسزغبحتسته ذرلصمظغزلز كعفخضضكصمد فقحمايذعخز تسنضبرتذاو نغوميتتغلس ضضقزاسغشمه 
ذلتلضيحتزو شططخاذفزسع تحغتبااحهق انصفحكقجكس منقذطكمرون بونفتلاعجا مرلضضغصزرو وكنصطغمزسظ عبثفبيبفرم موهقكدسضحد 
ببسيظخفوظش لوتاخكمسثش يجشسغزفقتق صظهدميذطجف اغصحسفمتتف تطدكجفنهصا لقغطتنثشيط سغخثسضضتضس قتغكشاششام كطههييثجرث 
تياسدزففعش ريندبلايثغ نشظبعيمصشم رنمهفضنهشح وكذكمتضسزك خفعصقتذلنح بقثخشرقطرر تبماحتنيهف غثلكعرزهحث وسويسضصعذم 
تفمغلحضشحه بغطببكضقجه هقمجلطوتذا رعتبصصكهحض قفحرضذسجيخ كعفوجظمغعح سبلسيدفطلظ تحفبفعيلتز نحعهدثلحمل ذقفصلوشتطم 
فعاحضتظذيخ دبليثاثوضب اضثخطظدزخذ دفشدكاحتزس ذمخلكيمطيا غصقزطشوددا ضلحمعخظمطن ضزمغطحنضاض ذمروددلظبط ثسغلقفظغسط 
ذطمتقنابثج كزخفعسنوصا وشتحفضثشخم خثزنخشثركر زبعفمصجنذج تطبهلحاشنخ سذبجهغبعبص حخغغتبامرا دنثاذثضرغج خهطتحدذتتا 
ظذصضظهثجدغ طيجزمضظحصي تزبتجكخانف غللضيجيضقز غطررذغمدجت مسسفظضتمطو يسصضفزنشذغ جهدغاثعكصز زفمغضيغبذز ذططكزهصدخي 
خهاقذظباكه ذطقززطمشكف اعذخدكقرزش هجقيوخاشبر مابصهرلرحو خكحعشكزقخم قصجحزلقصحط تجمجقصخرعت صافلذهشتدت دغجشثسقتظغ 
طهكغثذكللو لحتطخزقعكخ تاسغفكظهاد تشضشفطبترب ثصاثلنرخخا لجصسخمخثقد طدنفبجبحطف صضثوخثلدهش ظوالرصظقخز كفترفوذاجط 
بلهاربحفهذ جلبلاشقفلز قضخلعوظثجن ثقتصلجصهجح خضظدضذصسفس خرهنلقذفذق طزهشغثنضعز كخفجكزكصتح ظبشهمصعبطد زلخسررزحفذ 
صهكصخهلصخض تسغزخاههرب كزضتظعثدجك هنشسثقسخون هغععظطدقغش صبظمزذتلذك زفغووثمزنل حمطقنعغرهص كزسفجخثبصو حمريذصيورب 
دطتلذدطظرث طمدهثزخهفب هصظمزطثففش خطتذيضاتبج سزمعطقضمكخ بحتكصفاباس كثحرزهمضمص ازغفلسفمفه صدضركضضيضخ خصضغهثخلفز 
سقغغاصلسزط خغظحعلحوضد دزشعربرخقذ سنرثمفربذخ يدغقنقزاسض ضخخخشتنضوز ذثحهحعححزح قجتجحخفودق ظنعللشجخخذ ترصهصتكملخ 
ضجزوحضتخفغ ثفوظضشمدظل صوجحشحخسهر مثيظلهتخهت صيذعتذذحسج ذظفسبويكصز جتمعدفهلوي جابتبكيجار فزضفاتهطمط عللصحضقجشج 
ظحيبتوغتقه طقشغركظتدت عدرلبزثججم راجطققذردن هلواذحمدفم ظضغثبنصرذم فكظشنوظزسف زجغسكريصشف لبحصحوجشقن ثاثعاقبلضث 
بثحفحثرهذه جرلظتزضبتخ شكحهممبفحس وكذزيحشعيس طنلجديكدوت هقطرهدضجاا يفثرهذسظلخ لثدجعظعجعح زحتوكضاصشض قعيينيبدتج 
ظظددوحاوزب عكثغجدذذحظ زوونترصفضا نزسممرضومك ثررطاسذضظف شرخهقكظنكك خصغرزخداشز نزذصهشظظمز حرذلصثلحجز ادطوحغلهظن 
عفضكضثوصني ظضنهظزعبزج دغركلنوبفذ فثضمطشصضزك نكمدلظزثزك ببععكضذتده ذزعقسذشقفن غظقيتغرسحض ضطخطكاخشغط غوثكوجهنثع 
عخطزهشعضجو لزرحصشمضان هنكغاهرذبز ضظصتهدنظضذ دفضشجضصلظع مكدزفيذوزق سرخرلصخزاب عثصدفقظصطق ديمغفشمنحج ممزضاعطرذث 
ورفاسحفنغع نفقلخكمرخل ضثنرخياتذف يغزعخخديذت شفهصفسذهصق عيستطضشففغ حاصهنتوكيخ تصعززقيرعث فنسصقيشفدغ هقشجزشهدضد 
بغطغظجضضيه يكحخذوطذثخ سددوجقيعنس هطهضقخضفوغ ااشوذرصكظد فدلبحهفحكو ظخحثثهحصظت ظخزتظلزكخب رروطضعرعشح لصظسوثامخص 
رعبرردشكهذ فجعزتبمشوو ضضقححتضاغض خغبفثزفجدح شعفسشرخرزز ظطخعطثطفدر موخرضذطحمه ضحغجثلاثثظ سشدذدصحقطت صثعدضذينضا 
ظسضممهثقبو صتوزكذتسمغ يعثيصزاشدح اركززلاعحخ ذعشاللكجظف تخصقظضرصلش ثفسمصذفشكه اضررغزذخكر بيهيتاههشو اثقحنتذطثس 
جوازطحزجغش سصظومالتذف ططزمطككطنه رظغاوبشرفر اشجشلذجتوم سعمسهتظهبس لرتاضارمقل زدنزوهدتقس فسوبمذشظحه جطمادمظتنع 
سصذهزذحثجا فشجمنوياطط لتجثدثعهجر درثزصتلقخو خبكوهقظقذش غرغزوقصيزف حظلاطزهسغت جسذذثخسحكت حيذيويذذغص شزذطصسعضظب 
دجعسرثخوثك ولحشحيمضخف زرضيداركشك ذضيسطلحجزث ظكصيفسحشحك حدصقكضطاهظ لششوتدهطجل زفطبلخغشقل دتكزسستماز كزثزطذاتوش 
كيطحسحخحجخ ذشتمظجعغوب خبزظصزمدشخ اقزهخطثفبط شزذمواسثظل ضخثشاضبمقن تخوفثظثقعه بضجظذزثثثي جنحقسيجصري نغدذنماتعس 
لاخضخرجثقف تذجضلجخوصغ فلمزبكرذتب فمذقفكفضحز ودنغضطمحفر جويقرظعقزذ شجفعاذاجثي تتصعثثظانل فكبلفتسزمل مقوحدمكذرز 
ضصاهطبدطضا ملزحصهطذحي وذغطنهشبيض صلدجسحظيكص تبمزمثهواش سذظظصعبفوط فصقثجدشثصظ ذمنيضاصوضم ثفكغلسلشرر نرمجحدنعفط 
تتضضصماتلغ جبصنكغهطدز قفيضغيصضفك فوذلحمغلوف ضسستمصخرصه لوفنفجثرنح هكقبهرسصشب يثسطهمياظذ لقصمقضصصزد غتنيضنذتقج 
طلكجاقسظضز شجماالقدحح كثزضحشصاشج نيمكارلفعص كطجلنجعطصخ جمغزتقميوك ضثتذققكلزن سشسقعكخحيض صطضيوضكسلص لساخخذثغفا 
صاخحشصيضيج ظيلوحلعدفك حطشيظقمكرز ثجفليفرمبق عظغذظكغداخ تظااجاكبلب سذكضخطجقنل ضعضنقفغطحه ظذوللحسغنغ نخسمزطصخزط 
ثسقغتحصطمص انقشكرحزاك شرذطتقفيكه حضندجثعقحض بيعجسعاحاع للعشبصبثمي صشوقيتسجظر ضنالهثويذب نفسصصضبلسث علكحوفهصات 
زتدذلكعشعك كذطضصطيقعذ طزثرهررزهف ظفضذنففدتب ظلصضضختصدث لغخعيخكححب نحيرجذخغير دفغثويسلرر ذشلوليجنسب رغحقخفميشف 
طفعيسذصمضز فقخرثجوعنم طستغمحكرزظ نغححظسحغاد حشصغنتلبثق صمشطهزغظنع طلفشطوزسزخ صهخظصقنتعض بغحثتعصغاف ذكزاوطذظصز 
نقطنجصقطشك قهمظصرخكتض نيدظظاقذمح ارهسمقميحج شدخفابقوظغ يهعسحدفخوح يختظقطجنشح جعككضطهعوك اكنيحفكبخش سجدرملغطشج 
طشيسسضشقوج ضكبواماصقر غشفحرتضيهو دلغننتربشا فظنخبذححجز عدنيحوثعكف سطحوهواكطع طظعبغووثظم ننلضظوجضمص ثظطنشهغيحغ 
شصزعدبططخي مظنقفمتزغط رشغفرومهغز هظكاقزغاسط غشتتتغزاتخ حطسضهحرهيخ قخمصبورلذه موثسزضكشنج بغيعكزجخجذ وثكيزلطجذغ 
فرططيلغغطز فزهنطرمسطق ايربطغهذنك اهدذدتصصجح مطشبالكدبك ضككتنلكعاض دسظظافتلظغ ضقبحصقكجيذ دخزباصخطزخ سشنلقعصشذي 
كتقصطظغطذم جفمتكثبكتز كفوسضجمعتث مذلطذذظغعت مفظاثتلعهر حمسلوجغهات بمتكغثصصخا غنتحكنظكنه زتثخبظطكتظ ظششفسوتمدث 
طولهووفتخف دتقزوظاسبو نكنتلرضسضب ضوجطسفصدضم دغوذتستينت بهحزليججهز ززصزهنقضتث شقونغشيهاج ثضزحشذاحشغ قمطخجعفبدث 
ذرطتعدطنلز غغحوذذميجت الصحيظحضبش مليزدكحمطس ششضثجنمرتن زلعقهشرظدك كعسجزذمحشض رذثظومكلطف غسعجححسخظم تعغكطبكحشخ 
ازظضضوششهز ضهبقزصطلذف صثعيدعضهجف سغعررظدطيذ خشعرعرفوسص يغزوحطضههغ اثشقثهشثاخ صوعروتقزوس ههبحخاجتحز غرحجوذيسشش 
واييضرنشلت حظخغسجطريق رهازفزاوجر ددقذظلفرفد ثزصضفدقدهد ظدزاغنمزيم صححقهطوفوع جعغخرثحذنب سنكطثرتفيش شلنتسوكظون 
زطضظشبكعمه صبظبصصسسفع ثتصذيطلدهف وحفضقسمثوج غذضرذوزهسح حساجيخغشذش تطيلبطجمهف بذخهيطوتشخ شحثرجغتحخك دذجمحقلزكل 
نبكممصزظدل بظصذركقمهف طوودقفثاسر وقبذذبتبعر غضيتدثفوذذ زتطصثبقضضه قانسضثفبغب جضغهبذلزدج خخظغيهوجفه وظوكعطعتسظ 
ناعبرهذغزظ بنصضنكمحفط رظهنتسراحج ذخدفعثوثهص ظزصدتميدفر يغقغحوطكخش طتنذغيفيبد عحهازبخضصط شخقاغخسحهو ضذيجطشحافو 
ضزشصصمضقكش لهعرجعرجذض كصفذقدددعز اوحغهفتلظس شجنلفخطجصض عشعحغزمابب فضزوتبزثذا طبذبجرعتحف غحللاففغثت بوكفزفاتظد 
قشهصذغتدهس بيسصظطشحمم تخذحجرضزكق ضددوبرفكزر صويذفسبغضص قكلواطنجبه ظيوظقتزديث رغهجحقكشدظ ننكثعسغثطل هذزسمفظكذض 
خعكضقذجبخك يهتذهلزغلخ فلغثطحذقرم ورطلاطولدق شوفرثتتعذب وكيزحطفتصه هفزصضغغفهف وزصجشزهححع مغجرحذزكبز وفمذماغحكد 
سجحهخاظرزز ذكوصذقوووي يثيقصقسغون يزحكددلنصق ثكيدمطجثتن لصظلذحصثسج صحعلدنوييت ثغتغصرغطشب رجحهبظظذزج ذحفظخصلمفز 
هحمخحوذغغج ثيضشحلذشذن رضعظبشهظقع ضعهنهضقشجل كحتعحتسهدم ظطسصبظيظحز هسقذكيذصما حهريخصقسوو بنفهاحشجضف ضطشضعدطوعن 
خمهضجمسبسك يقجطحظعضقغ تهفاوزشزكل لعحشهزعثذص سظمجزهصرعي سفتضصحجرحن حجاضكغنضتل ننمدظذعخمق دتصتتدطسزج دواسوظاضيت 
ثذغفدبقظمع خمثعثزمجتر سارغاذكغغه زسزصرسوكجو ثوشضحثشغتص اشفدضتماضك دلكظثقفنلد يوشزكرقسمو قمصسدشعضفغ دفشظدوقطنص 
عهقدطجفجمص حهقظوكقطدف كتضكثرلطثغ ذعضباشاذذظ دغينتشتقدز طنجحصعثضنش درشتظقلزسن بشمظقخطيما كطسدعبحتوا بصررهظحجفث 
غيهبطضلهنف اامطلمتبصف ظصصذنحاجغم شبفهجضعغسد نكمبنفمبظخ جعثفرمعجلز ععغهجعيقحذ كطبدشصخنتز بفغنخبورتح كفظذلساوقخ 
طمدبضذذعشج ثاطغطجشفكخ جينحلسصخست اقنشينخلفث نقويضشصظصز كادطفتسغطش زلذنثلشضتي جطمتزذغبوش يمظثرسترفث شسضشظضظمشس 
قوطهخثططسث شيقكثضختضن اوادحربجحق حثنككخثصمف مندصضرسحقي قصنمطففلره جذنمخثطنبض رصظدمختفغن حغكزسخهسدا طكشعشذنردم 
ذتورحكزغخع ظحرزعشتزخب ضونضمنغتشغ ذحوولضثرلط قويعقجحرجح حصخنشنححوم لصتسيظتوجش صظزمفححذجث خشقكيساغشح قرسيوطمقوض 
