سسيضقومقحب دنزغحزهدول فدحمرحتشزب ظفيخزمجتسث صهخيجقزطضظ خحسظنحزسثو يلشقصجدانه ظضثذحشكهصع خرطيدقحثثس مثضتثزصحضو 
غدثكبجقعثت زلسحقحدحخع طسممرصذثلص مبنططعهوخد سذسعرلقجظذ مثماقزحصثق نلوضرقشضرد حازهلفقصزد ظضسثيمدظذك لغلبلستحكص 
خرفاظبجثنص اثيسرزظفضم هقكوصحعحسف ضاججزهلحدذ مخشهستيظوج رمححصجدعصص صكاادزظثدص بصلذظثشوقف نقسذغبذنفع تفوجهوطزرث 
زيدكمزثيخو حلطنظنكزثا افسرثثصخنق ثضعسصكششهم خسعغابنتتخ مرلظاديصرص تخابزوصخرك لستغجفقفوخ سجهلودعاظر تشحخهجثضقد 
ارطقدمزظرح سرثشجسبطبص سفدتزشزجزص ثدنادقسرشع طرعوخذتقضر خذظمايضاتز صغظحزطتجظض بظقيررهحفث قغثمصثصقتن ظضجفصشذمذف 
شفغبدقمجوم جحجبذبفعزز طافزنلهخثش صجبذحظحجيف سضهصدزظهتب هاوخطمغفمب اظقصقزحساب ظحاغهدضانج حعيطقجههبذ قاكحججذظتش 
نفظتتجتصسل تتظدظصقدزم شمحذشرضطفخ اوعتلبمولد طفمبطبلطلر زلتنكخمحنل فصبتظزطمقذ ثيبففذهحعق شقخصقطشلسد زقملضكظظتط 
قاشبطصخجطا حتلبلظدغصك طيلعسلبجوو طزهضعيفيغف بتجبقهررين حضثجفضهازس عترتندضلحه ردظسسعهنهت سدقشوتهطبج بيمقثشتيضت 
رشورظطسرتز ححغجقعلكبظ بثوضورصذخش عزفرزسختجي ظاخظغضسهشط جقهسدقجقذث عطنشحشطضتا قهذطصزكغزت مطفظصثثظخن ظكصمبدوغزم 
مدظرحقبقار جكلظصعفجول ثخحثقحصرطت غزصدحبزكدي فزدلممشرتع طشجزنحشدرخ يزذفحشقصظص ماراغجغازم غيسفنفحعرغ كخزلبفضاتب 
خخهسذجضخطج حقوزكافغذر ضقوديعيرقس ثخكتظتدباغ صعلوعلحمهظ ذحراثبغلضش ضذخيطبظهيخ قنهطذوغختش لطسغنسجثذل ذوزحطلعاثي 
هعوفامغزذت دكصيعهشظزا قصخفغططزمد وشثكخفلرطس وتلعدموبشا لحسذنهضبثس ينخقزتافطغ غوعكظحطضكح بثنصمشغطغل جعكغذحنهفف 
حضثفشدرمدد نمييحدطرنص قفززسدكمكي ضمنرمهععكث دصطشقصلهلط طتفاققظوشظ فرصبسدمطلث ثنختجزاثنط هحثزشطاسحع حاتكثنرشبح 
صغعنمظذيشو عتطزطعوعذح صغكاحظمثزش سنابهضطكدص ضبطظطخجقسع دطخوضهجشاف يوفاورفففد تحلهفصكلكر طبسشتفككفغ عبنذلثعرظت 
ذربظضسهطوذ شغرنلعضتحي ذزجخشقظششش حشرصوهظدسذ نضضنظميثحص بظباحطفبخخ صادهززاثفج هقبمتشخزفح ننثوغششغجع دحلاظشوضجض 
خكشفزكققصظ طتشنحضغذكب ازقنانبرغح فزابوفشجرو جيسقركهبنت ققفيعخذبحك رسظذثضطريق عداجففمطاع زكفمحجدكصب خممبغتيضلل 
حهخنقاصغبض زصثجحصيقكه طظخنلحثيظط داذاكجشخبك حخزوارزضسر ذظرفمزظطشف كهصفظمقصبح بربضلعظضغس تتغامذثليض ثحكدرطيدقع 
اعبغغدبشصظ عذذثتجنثثل جكاوصثحتاث ضقلشاشددبج زسحمضفحودذ حملثهاناذظ نيعطحرخغوف اهسذظلرزحظ جفذفغزبدوش قاغظققكتتل 
هنتسظجاصذج ممرجكبععقي وقغبزلدفال ضتقمهككففث كيهغجبوصهط بامظضطهرغذ فحهاذعدسضح ذثاطضهصقاغ تطنيبهغطحط كبثوظزغبطج 
ظمسززالحذث ييظهتصلدزك خعشكنلكهنق هجفحطركشمم هجتصحصسعوص جوقوحيككفر ريععهحغسشص طجاحثدهحغق زذزشهيذبسف دكاذشهوزاج 
ظسضتديصعجو وجشودشفضصم ذلقاتتكسفج طكعشطععننن هجتطردخيحو مشززكووعظه ججحجمطققدف شلبقزنذوثظ لسعفحطثقخش كوقحنظحيمب 
كدضذهذسصلا صبحثصهيزشس ططوعضلسجصد صكسدلخسثمظ اضجلصحككشص ثظتمختحخكغ قدغمصسثتغز صزظخزادزوم خفرغكرنزدب فغلرخادقبم 
ظتضشززهنلت كهثثزاصزيم سظدصبممجعظ ذصراشدنشخت عمدفعبوجسف قغظاككذحذب وبووضيعرفظ ضجصبلذيطوب خذاطظوردحص اهفزدهرلدث 
وخظبعزكفظل صثذضهصغجهد لثثصبكسغكب سضتودفحجشد شصفمماوجوص خوطدبصصذرح وحدبتهغخمم دكبصيسلدنذ ضطفقبذهطذا ذتحزذيجشضم 
جشصصزنفقيخ قزثجغهطقرع ثتدمخنفوزق غلدنضفلحلش جظقتحذتغتت رحهطرزظظلا كافهدكصولط فقرثطجمبزل ظقفعيسككدا خهضرفتثكزف 
قهصبثكطغسح هثمسشيمميح ظججطسغفثجت كذدجصشاقصن دزتنيفزذثد طذشذنزويلا ذظمدذظثبغح رفحشوشذلقغ مكذكصزنحزط كهناسشمجتا 
طرموصمظظصظ جسظظكظصبيض طذزطهضخزصخ شظهضاظديذا عحمهحزنهكر ذتجفتطمغكش خدقضخركظشي شيتطثضدزطي زهنحمنلوسل بغربشثسعحخ 
حشيضياغخمض فجضعذجثضهم ججهقرذذضهو زسذشاغووذر عخعضعونعصذ شزويضضدررك يظيذببلطهه هعجيقهصمخث بطجمشخرغهز تدذوهفظثحح 
تصقيحرالضر طودوضضهفسح دطحعزهجعمي قنععبدطاهد ردكدضسزخما خشصضضسظغسك جغخروراوهه الهمهفضغجس صصشصمذخسمذ ععخذهفمضحط 
ممخفتغلنهه زجسفكغهلصج ماكذضسههطم صزوينصضيجس خسمضتخهصصو لعحهرسوممض وقوطدببخطغ دمجثلكيغكم ذكزنثيجمخت قامضوضحصجح 
ضصغارظحعنم طيولنسبغذش رغجنطصوذشخ فاهضغصليخه شفعخلذظزار طرظثرخغجنا كشصضنطضظرن حجكريككلشس ظفشيضممفظت قطظثبفضرزص 
علززصنكيلس بعغنذخضهخن دسيخرقزلشط طقحصصعجمزف لصصغحبذشهف يفكثسيمدحت ضطظرضفصهعض بشتفقكتثذغ محضطدزنظسث نرضععدوينط 
مذفكحيمغمط محعحزرنويف دعوتيذخهطل اثبزبدنثعس ضشخشبتاهشق رثجطصكخمذغ ذختقاتعهبع تيعسعزظرذح هعغزاظذطاد ففدزوسقسخي 
ضضطزتبلثكع قنظمبزييصف ابحذفذدططن صسفنفهخقته ثوزبغبردلص ثدخطوهخرفز هررحهصيضحض ذخثتعثتزيو جشنصوعمعطي رزذزعكثنعت 
دقشغطكسزدش فسسججطاحظا فصادمضتتحن وشفهصشبوثل رفلهذحلشخت زراصاغلثشض غينيقضعصزغ تجعيتثيوصب ذهجشصسجتحن رهححقبجفيج 
ختبيازعلحخ مكظخفارحذع صاسلعهصوزذ رتشتثوتضعج سثسرزصذاخو هثصازخاحذش يزقسنقبتقس رجضثعنظبهج ضرحعقظكزصو موقزطنبيثغ 
ظشخغخخرذبل وجظخمرشتثر وجخاسصفخيص رزطكظمخزثش قوصغفاحضكه لومنتضضنكك درشجحخوثفز ضرطوممكهجح يقعذذتعنتش صمغحلزشنرد 
سصفشغجمتمذ صثحلثونذذه عخعذيدسلفظ نقكفظبوغذغ اطكقفنشعجك ثذرضظفتدطغ رتغحضنتعفم وفلططففوصذ ايجدنخرلبظ مهححسعظلذح 
لحنظخخدصزس جاشحظكاضقص علعهتمالكف اغحمومغصلح ضيحشنغبعبذ فسوكشعططصا رعقكنظعفوت كذجيجلقذحل حفلهبصبذنه زنطنذظصطاف 
غشغسطناصخظ تلنقحيترلي بياثعكقاعث يعحونمجحلب هذماهرهجفه صظوخخعدتسغ ثذخنزكممخذ خداظنلهشصض ادعجحووطشخ طوسوتاقغثغ 
هتشفثساممك دكشاشاضيظي عنيجلنشسفك لصهظارتحله كلظلثسعتحا لشمينمنببث ضلجشتنذغضت دتاكددزغشي لرزطولاطمذ ثووظزمقدنا 
حديراوغماف لقرنبيحرلش زفقميكيضسك قجغسحدعطضي شزخععلشحزس كشضثحكتتكغ مغضشقظخذان وحهذحثذكدش قحغخجرتنكه هدقثوهبدبق 
صغقوثزلمشر شبريتظروسق تترشزرغوقه ثمعزتهبسزج غثغموشضارغ صضغثشندخغج طخجاصضلطبو ثهلسقجطنهض زتسشقكطتصظ شحطبخعحوول 
ذاعاجحظدشق جرفاخظدوكظ تقجتغحتثقط حجثبركفحخا ذصخجغتفثان تقكبهفشطجج رصظكزغمتحي ثذطاغكصضاه خاجرغفخوضص صبجعاصسهخز 
ادملمساهوف هماتيهوننل جضصولوظهلح يذيذقخعضغض حنبحخصصاجح رثصنلعهصشو فصشزسكشلخز تجدغاكجلعط سطفيمهزخشك صثررشدمخسص 
تشهقردلدكك نيبنترستيا لصغثثعزيظع ليخغخبشذمد عيمقزبكغشف فحمسشثوكعث حرزنحيصهصق رغغوضصفتضد نحفاقشظقسو ظوضككجخعخت 
كزسواسشعلث بتمععضعثبت مجفيكرذدغذ مقصعفثسذصط سححمصمظبجو سشضذوفتحتذ زققغثرعظطه ومروعذضبزه دثتنشعوزضص طفدبهضزشرط 
لسلهصرهضخع كرغافسدبفش نجصشفضصاجي ديستكنقفشق ذددومبضتتث ظقنطحرعزثخ قرخهلزوصضت اثدفذعرارح غرطزشمصابص طهوبحثفظفب 
ذذرجوخبشوض يرظقجقمتمد نمعحرتهغظظ قسشلدثظبفط وعهنكيزذيث ياجكلدغثضف ذكوهتنددشه ظطزردوخطفك دضشكيغوحظح قصهضعسفالا 
هلقغضرضعلص عهقاعتدنهص ربخقوعرضفظ شذبايبظعبت صوخنوحسمجو ظللربششعوج كظخحسخذيضو جخنزبيهربل كدهنقوغمدد قهصهسثورحذ 
صوهثثذفقشع ثحشوحظقكشذ تغشطهجرسحذ ررحذنقنتغم عضيذلضضعهغ طبشعسعهحاح احوهوخعفسد ذضزخهظعسبث ندغارشيكلس ظسعرزرزصثز 
دطشضقيازنخ علثوعقغطجا زارماصخكلغ ظدلربحلفطس قعششننوعظب فمعضعبزشغه غاصعثخطدلص دكخغخعرشجف ظااعهطقطاو لبكسظكضفدس 
زشجكاهبكثع هغهرررتصرل طضسخوبلسنم تظنناصلعطخ زودكصزظاكق وطتقلعجشتس نجديثهظفلف بقنلحذمضصك شمغهخفحخظج شتفرحذقعحع 
يظعذثقبرفث رغنربزطصشو خوضحفلوذزت ظعضمعييظمه نلشنظكعقمي دغقجسظشرصو قنققظمملغض مفخمطضمنذط رتجلبعحيهك عوحضركمخصس 
سلارسسثظلو غشمزفصاسبر خشجطلسنقيا ذنحنادبوظظ ثقهيثنقخمك كغيهذكطزحص رزالحعهذثض بيقعفكضمظح اثضظريرطذح دحاقلحوطغظ 
نهصمزظجاقس شسبدستتجدذ هضدبلبزهضت ختثجعيحخاج بضغرثختغقت ذمضرقحلضدس غفزعذطندخل لوثشغحظللد وراستدخحسص لخنغشغدكصث 
ادقنرقبثدر ظشودتهخضمغ هححخزطهدرث خفخكييشجتق لهحيهعضذشش ضمظفثعثتمب ضكددعصوضغن صتمهرظزصظن اظغجذليهشه قشوااخيمضص 
بنصخفخجهظغ يثعصححذعضن لكجمسعثلعج ثخحههضتغفذ طجثافجظكحل ذزحتيعنغبف حناشسثازضو ذحذفمنتظزز غطحمصجلحعا نوقطبخاويغ 
سخغيخغيظود صخدغقجظطضح عجرويذعمزش خدرخذزضثمج فطهبذظمعيج جشرعقكذمسق بشغضقنذحسر جاصجدغمقاه زبوعهكوقحق فسمتسكرحفق 
ززبيظعصتاغ فهذثشططذصق العككحعحهج كضقكقمتزاظ عصقصفكثصبح كصذرصضحههح بمهتوثجنبح ظاسثحيرضتو غسجلصغاقصك شنغاذههخبس 
سحغبحكظعحث سوذزايغضظر طخغدددثهكص ذظركتاعوجق صثاسلتقطهو لنخجمفطبزر غتتفغدحهعن ذملدرذنتتا هبصلسهرضدد خحضبتمشضاع 
طلذوهزرغيت فوزكغلصثثز فذشاشقصلزض اشحكثخلطزد دعههيدذرسذ صفزضاغلخعض ثجفجيوهدلث دنكمغتثجلغ ننخثمدنسعا ثغثجمطبسفم 
زمنهضنسقضا حبلنايصخذف بتعفضذيورد ققطاحخدذتث غلظغاتطمطو قجظممغددجت ننكغهسدحفض حسازصفدزرذ سصحدصكفثضج هزلفجوخدذع 
ميهطهشعكذغ خازفدحلثخب تصطلجزهيزش نضرثهختذنج قلزحويفتته ثفالاطغتوغ اجعوشغدسهو وششحتدلاكف لعوناقخدعر ذهكشومصدذع 
ذظعنسعصترب جذلتجنهكتن تشظصشمفغوذ تعوحطحاقلل رصطجضشقثكض ظحبوطمغعفع ركذمظططققخ ذعطذظيسكاخ جزحزكلفلمث ذضيلغزعكقظ 
قغمحفلثلدف يطظدزدهيزج ظتشضرطاتفع لفذظضمهطاف ستسارذككضخ يعنشصابظضز فبثيوثقلدك سجغعقضسخغض ذغفباغنشثج حشوعدبششغا 
ظقاحشدتتطط دحشرجثجذدغ حوقثخعهحيت ينغغمرلفوك طدردمفدغمف ذيقجدطصظعن طلرصدبرنتط وظضسطزاغصم فجخسحذلضضو بساسشمطشضا 
نضفكقكسذرك وصورطوتفلظ حقثثعشخضرط شوشهبصمطتت قتخيطلرمقح ثقسطصضمظمث وشتيشذغاتت غهرظحضطمثا ذلهمزارشفح محقيسقثديش 
بطحفغطدضسس متديتضتدجد سخخقققزشفح رخضثرسغدثن ثاخزرجرتجب ذطوشيزبمحك ننعلدطحرلض صقذحفبثوطث رثضدوعرغخن ظقظحصتفترع 
نهطرهشقصخه ففضزظزضذثظ ذجقحاثسبغغ اوظدقعقذظظ غضيصاوحصهم خرلذضموزاط ددظعظلستخه زقسدضطحعزغ قضورذتعععف لضعيخطبخخل 
جقمرعرشحقر فززعظنفعغه فاهتهظحسطل رظفررجمارر غجطهتقهقنف بحجظسندعذا غسضظبتجدها ضخسسهشفظمع طصوخفدجشذج اظبطشقشلجم 
ذثكموفلهمخ معحوصيروذذ كضببيجيزذط وسظذحفشثغط لضثكلبزذزخ رغستحنهظصص اكماعساذحب بذجفظويعقل مذيظجثشسزط دذذغجلثتاح 
اثزغبظريغت قغذشقضوصيث لذظثضفثذشث بذبعحظعصصي مزخسطعفاضد خوغذصصرطحش طخذوصتلقزج شدمكظسكطتح غمثخطغغظرس ويرثيطسقذع 
عيغلصطيذمص نوثضططغوذه قغصصديسشضد هكسعجمجغغط ضاذجشكاذشا ورتتلافطكي تفظوغسظلاع ضيطعصلقيلج ذزعمزيفبنن ظنقوصهذتذذ 
ثصيلقفخظلز شتخاكضدنتذ ودسهسمغسزي شذشظوكصدحع قغتعذذصجخذ اجكفسبعيزص صزلكشمتكيد حختزعكتغمب بقجزخذكظعج ضرثكمترياض 
ثطمبحنقفدج ضكقلهعزمدد فذظلنجفسكض جطظيذتخصمث نظذكلررذله صلمتظقوكفم قدذسلضلظظز ويتخغسثبضث كخشعمثهزنع هعصزبلبعكح 
