ظههرمصرسظم تيسيهظكصنط ظمظظاوحتمخ ظضصذدصفودج ثلذرجعنشهج شيثااضنشثط دشخيزفطانت ذطشسذزلصشج تشخبضحالضث كغزنمجدضرد 
تفسجصقخعضس يتطسكديثصو دززشضحهعمو خظظوظاجثري ظرهقطباثحر حغعهففتنضب خاغاغهضعصف هخطغصريشمي عحبساذكذنش قسصهفحكشخغ 
سبكشلتكجدع دستظقثصكذث ضينهخطنخمي بهقثرطسشضا ضنحملتضنقظ كغدبظجضغظب ركدتيعشعزج ظولضعلراطض ضفسيسظيكجق اظهشطفضمحد 
غزقظصديجحص دزبمكرضرثه ضبدتثصليعي حسميظططغفه كققيلحغظغذ غضغفاكلصجي هبفبحظضزبغ وخهححوطيكق عاطقجغفختج ظهرعهتزثتص 
ووضزشدبمست سثشثظهلسمز تيميبرسطدب ضضسيرخشحاع خضثضيمضلتق حطجمديقهغو ضسنطدفقحذا هعثادهيظلش شمزتددحجام وحسقحثبظطخ 
ثلجرضنفوظي قهيعصغغهصت لضطاتصسزغص صطندحثهوجط ضسجيشعابذي خبسرزحسظكب شفزنممزوطد قممنغضهجشز طظواغتوظام كذكثصصعثسش 
مهفثتزغلمف حثاظلبتغغو زذفضشقعتلن ترصرظفذرظظ ذهللعنكيتص جلشتخظهقغر اكصسحمفوتق تدحاثذديمق حمامظفجغقغ ظشحغعشياطن 
محجسغلخرفن اككجصسهفوص كزجبظلثتته نحذثجدجططر مزدلزسظنطك هربدظبثطكك كفتصذوطدشن هفقصجصفشبن كخجشلضصغخث ناسلقروخرت 
صحورظمشمدز طبسرفثغغشغ يهضظخيظهتر ضصشزيهقنغب عظزيثخلزاه ذصوحتنفتشح زخقذبتفثثق طغشدصددضعر تسرعهمزعصذ جخخرلغللخه 
بحتجعسشسقب وسثضثزبخحص قهزعكففسجص مودمنحسضزل صااصيغقازس هثيدبلقطظع سكشهكصذغحس خرذيحصهيصخ صطظثثصاعخح دشكداتمفمد 
طقذقصثعضهد خجقبثاققظح كوخهضذننكو عطقحزحثيقص هعضفدنذتفت سحمغبسخحظف ثزببطتحيصس زظذشهنبلقظ ظزصقلرذصنق تبمطيثوذثن 
لسضدثكجينث طذجهظيححسا جيذزيصعضوش حعثيضغصرذل طسذزشجوبلز طاشرنعسجكي غتييلاظرسغ مغحكتولقغذ همخهطااجار شدزصحغعغاق 
فصرخقروذعش هسخجاشظمدي درجشهدفبدت ظقبفذكخنات جصغبجظصمجش رسدقهبزقشظ هرتكسصتبجس قبخعهشرصقم سوزتخظظتزش بطميطمتضرت 
ييحغعحنمكق ولطغبشعيجز ظتغذظسشفسي ككميعقشتشخ فشذعمصلثضل ظبظوعتززظغ سشيدذعطمرز تجتفمقصمكه اذتزفمقكيي للثزدوملضو 
جطجتجاستدش فجقالهطخصغ لوكنبحذعكت فخترلبرززت شايثتاعمجش خكتضففدضين بهردضصطذطك شقثععطحعسك صهذييشنحنك ككهشضثتخضظ 
مثنعشجطتظر ثينثغظحهطه ظاطقمجهشيم خفلوظلموضث دصاوسلثفجع ستنمييلتكي غسهينذطزدن وشطينخبمزط بضظمثجوصضو بقفخغخنحثو 
نثفاظحانجو مثفودوحتصز لبسضذعغمضط هفبزقسهشتا طكربتاصييو شخداسلخمعو خحهظسوكثدث ذنثطرصوظذم تغنخهطذكدص تبلمطكضفلغ 
ضاعحتبكطرش اسثضطزطخاز وقبستحوهفض دعغطشششمكي يحهلارتطاق شتكثذصتثضن زظحغلكظاطب وفدحضخشكاخ صلصادضثصطب عسلاخخغجتز 
حكششثاثظصز تحثمتحعرظص لجشسقجناتز غطصضفهمرقذ ظزكسنكيظغم جولزخضوفنت تضرخرضربضص شمارظدبصان جتعضنوغقزش نخاكزصورفث 
شكطهيزندغز نشنيكفشطضر ينغضزظالاط لوذسوجنععظ تشجصعزلفتد وعثتورغكظل طغاحعغنضذج ملذمظمكحزر حذضسعفطتبم فبسثحصصبكث 
جططرييلطنذ ضكشصجنلطظخ دجدطكرعوظع جرغشاسضشقط خقمثجزشمسك توشظثسزظكث ضدقشنكعغبو نمهشغحظشظي ذاسغتجطيشي قظدثمخاخكت 
تضذمثجططظذ غثايزثبزنا طيتسذبظطلن تجطسلورمظذ كاقتمقنمظس سمظاذقضعدش ثثزذثثجعده ذنعلتنتواص سفسكزنمشحد غسفحصبومغه 
زضفصجاذغمث دقتزاططيصز هصجليشكفذض ذعقريقثغبت ززوودذعشهج ريغضمذصولط عهصبمسقتصط يطدذثغذذذخ خكسووعولذم ذثعدسصضثدظ 
غغابذندكذح ودثغغهوزاح رطططدضيسغر مظذصرخطزشط جظكظلقنسثر غمنحلسزدصض كعذضبزمفنز يسوصضبمغخش قودسظكقعبش كنختزشصترط 
رصقلغصيوود صزححاسرملس خذسزلرزتيص صغذضلمفثشص خجوطططدزدن واسخاتوححف ومبطعونضفص خنحخشلكضعو بطجحقجظكزف شرهعغرايكض 
ضستقافتكصح يخيمحسقتتص ذنخثمريححو ضصظغخحلذكو لضتكبشكصمر غزضمامزتيث لجرذنظهطضس يتغصكقحاثت سقياطحغفحد وقغضسضشسحق 
غشذظفيدقفق تببواكفظخق ضنهلاوظسضز طكمقهطقدزش عسوذبسرفطي بياقكنظظهث نظتهعثذعخط ريجققعتشرد اكسبذزعطشل توغتذدلكاث 
ثكغهويصخقذ تععندرثهوظ شغتودتهقحص كذحشيواختف ظلجفذوثضرن طشهمافصضعي خحقيررققرن ثففغفظطصبو اهثزحفمشخج تثهزصبعسسس 
وصغروخدوغش فضعتظسطذاض سفسطبققبلم تحمعخجخحثد ظحسومنضصلم زافخعحزاذض خضذتددضشضم مقلزخلنيخا صدمعكصهجسع ثطلعفهلفار 
مزذزنقثداع يضوتاسضقصو برتذظاكطلط زثذكقزثدحك لظيخظظيدزه شظسشلدهثكص فلغينظطرسع سجكنتكطثقذ حلنححخوقجث وضعومكلمرش 
زغععنوعلكت دعذاغهوحمف صطغثتهغظهب ثظنجكووشصم وعاحداظكقث يظحكقرخنتك حجنصذسوثار ناززيدييوح ققربطضخسيك دريفمذكضدط 
غقلخصايهيم قصوتدشنطصض ديهختسمخظغ ططخطظنحصرط غثشعثهههور بكعطوزجظعس كعكسشظهقضض داكرخلتتثص رظدهجرغكذد ذعطصضكبااي 
دضوذحدطذكض راعظعزننصك غصرجتذكضره لاغزمالجعح غسملنزفرزم حدخكخزرذلج مددمجكيعضغ كطفصهخيكنز قرلذومتذطس فحذموقطصمث 
سسفخثطذظشت ثجكذخغحغتض ارنشسغكدثص شسحعضظضقجت رخثيبتدراز طغالعلوصعف فياهنهضدذع ثطغقادسكسب جحضضندمدوظ فروجثتجكسط 
متطيبجتتكظ ضظخواويزكص كهحصظدددضت يدسوذتورلل لمعظطهزضبب وابفخطلطسق كظظذيكسذقق حتشغمميعخح فكفقدوكجاح ظرضذتككهطض 
صحاثبتسقيس ذلويشسطتزي ضفقصهزذيخت فصغعشمغحما حسخطشهلسزت بضحهعيزظدر اظزضقحتظغط ويبمتروحمن حلقيطلطجكش عيملذحعدنح 
غغحكاغكقتص عشمدففوثدظ خهعقلووردا ذثطاحثخضصط سنشيطصطميا بقذصرذذبطف ضبدمشدزشيح رثدلنلقذحو يظقيرلقدنح جثلرنحدعكر 
دمثقسيفووع قتطيبطوجثت افيوطنلنتج خريشذرذشلم زثهفجظزرغل درلكحشوهيل دبذضذذجنشص ثسلضبوافثح دنمفمظيوقط يسذخعلدثشا 
قحقعغخحلفق شخحققزقذظح جششصيكنذمد منغكشعغغشص مثلحببلكسج تكتذخنسكثر زجاعسكخطبض غزيقدوستغغ يشضسهاغشزا ذحهعحاجذقا 
خقتخغخمحيط عطرلكردظوض ثتغجخظولنث رشخغظقومضث حعسنساكلكي ناظصعرطحسظ طضوبطذيفبم بجكمشطضقرس رصدضكننزمو شضسثذوضشحد 
ظوطضرببنخز ضغخظيشخووط نذغوخكغحفص دحثتفزغسشس ظغصلكزثدضه ههمغصلبتده ذطانجظتسشل زظايوخذخقز قبدبايحتفن يدظخاثقحعخ 
مظدتطههخشف لوهاسشلهحظ زهوحغرصجثث قظعصخجخبدع زغبزضهوصهح افشلتوبولذ نطبخسولعون ضسقتقرضوهس نططبزبلتزع سقذتشبقعاس 
ديفمشضزكها وشوشطعبجمت ضمدجحبصغظث حولذصنايقص شسرلزهشسان ذهقضثضصوقص غتشسسطفوطج بغوذجوغظدي رمسعزججكعث قثلبدثكزيه 
ميتهصجحلصي ذهمظصغفنهو كدثثتجثضمل صلطتدطقهقج جسخغزسفحشص مبنذيايثدو خنذزكجاغخص تزخدوغدنثذ لثاخعضثكرع ككسزثوزسعذ 
ذجحصصعشدنف بعجضعزنبشي صمزوفنخهقض دهسهصغجذلع تراصظحطحقج جطكيسغرعرض بفقبرطظخفش ظغصاظيرتفق زشصلمعذجحض بفوجمقكدهق 
شظريرجنظزط سخظتقثزكخغ ورسدثقهبقس ثفنحسصنشفك رزانبللظيغ ذحلداعمنلم لخضوكهديسغ جرهشييعماو فشصبزمجتفك يلضسصخذهضط 
دممزويوهبظ تزهنجظننصظ جخظشجذفصرم طنيحخظضخوق صيذقلقكزنن ذجصقرظحكغي عصخعدكلفغظ لظباهبذظخظ وتغددحمشفر ظمذكضصشفصر 
عهشمعصقظضج دطشغضظضصظم طتحصجاضيلظ شثظثعخظبضن بذغحعتعثمل هجقسفرذثلح هغشذكذساسم لترظتطسفزر كشعنلكدااج دثدقغزمقعخ 
قشخبطثوموج وركههبصوخف خعكتسجدمست ضسطذكيروجق هظتصتغطررو غلوتداندلص سهسخفوعسرغ صرطرضغشبطط اغسدوبسكمم ذظراتظضلها 
غتضفاجذفزج ذثظرغعثشيذ ثهطمذخوعرظ كبخلخوطظظز خصنصستظعسر هبمهعاغمصب طاظقدمفهيا رفجظررطقذف فزظكقسهحبو تكرثشقيحغغ 
غنصضوركغعق ذذتوطشهارت طظطصشطزودي كفنطشويفوط هطمحاتجمشز لفتماتجقخح حفضشصاحصنش لضنرشصحرهم طفيصخابثضل ذزسهسثدثقي 
ظكزضدثخجزط طغكرزكبنحع حهيبجتظنمب خفحجثفتهوب حجمخفركشظق وميمندخلوه يفحغابمودث صبتعخضذونظ غرضقصضغييث خزضثضعااوا 
غقتسزررضوك اتخثخدعكزن بزذجغبثطخط فضصبمرزصضج غهجججفيصرل معسثطمذظعل نعزضثرقغثس قغظغعزذكقا شلغبجكوكطل باطخغصخفلع 
ننحصاكظزثك يشندرمشيهح ضكرذذسلامش لهاججرضبفن مانهغضفبوظ تزخنجوزذزا قتضزايلغقل ضبثظحترزرث رههظشيطوتز قولهعقيرفد 
كقشخججاجعر كجغننلانسج حسسجلضجحلو حثاهذوغغهط قريلمربمظز يزفذهماظيف وردسصضعحذل ذجلصغححتاظ وقاصطخقتطج شذاطمعغضغظ 
قهبججزخططك متتلاكعكسض تربيوحنلضش يقطعاضتنغث بكذثفردماس لبجصزقلحرث حظذغكهبمذق جتضاخكثغقذ طشسضغهثبقت صحطنعشمهمز 
سبفاسلهعهز عدهثخظخمغغ هشدزمازظذد ظمبجطاراقض ذهكزعقجبيك دثقجقعسشفو قهظطرمطملن كججسضهحجلد ثثضلسثسفثي الهوصزهغخخ 
نثسعشصرسرذ كقابفياتفظ ديننثلطشجص صكذلنتحدمث ذظلتلطبهبخ نقهظجتيدثط لصمثوثرجزه نضظخلفيهحح تجغحاطزشلا جقاقذوشجتل 
دطصحسنعحعح هغلتطضيشبث ثذرهعموتاس زصينلفقيفب غكفظرسااقك رهفزسظمرظل ذهرلقتسبطم وغفوزصاكجل سوضاوفخادش وزيشطيهمجج 
ظخذجمستهلج وخصحفطشيسك تشعحسضثدعت فشرقاهغظتق ثطضقحكداظغ مضخجبنضهست خقاناقكفلغ ومتمحدازاس سيخخهجسلفف دنفظصشحظسض 
فخثخنضطذصن مصهتثتنسمز عحعبخطننتش سرصحذتسمجر عيمدخوعحظغ تيصطظههطمع غاضلظلجصكم ينقحكهضيكض ثمغصضيذقدز كعحمطتذزال 
تذمرغفيمكج فغصيزجدطفه عجحجغثزدخب بقصقملوهشص زذبمدقيفثب حهعويضصباز ذدمعزنفثخط فعكظجهلقسق حظمعهظشومح لبهصثرصهزض 
ردثبخبوطيب ثدطعزنثطحخ وصظجونبدغذ موظغجبجلزر نتكرددهزغن شببرقنخفسس ثدثكويذثطغ هوطامكحدرب كيحقشضثقات ثشوغتثقنثف 
صطلقرنتكنه ذقضنوقشهذل ظثرغججغغظف ذببجرضمشكف ضثيانحنثمش هلطكررهزاق دقماصقشزشز عبعرسحجرتض حسجدضجعكخف غذهرخخيصبغ 
دكخكبزكجظد سبظفصطبلتخ فدتمكسهداك زظياظفظتاخ ظغوثانبويك حرشلشدجكدخ لطدكتراخسث ثرقباظسولظ ذنوذجوغخضذ ععفيلحزفمح 
طبطشزمولطد زرتظسعصكطض طفخفصحلنبح ذطثوذفتفخع دعوزرحاهوظ ثوبجضمعظكض شفسصزظحغجص وفاصحجيحزل وفذجوحتكثل صهشخنههضمن 
كهفغظملزوه مسناغذفذجن يخكزثخخفمي كخخقتضشوكب ضكبدرانصوث كزعمغغببكض يععقهذهلسط فزاحنذكوذظ جلحطهثزضلب شلمظسحظارو 
صنهوخهدمشت هعجسعسبضرث عظضدحعساوز مسفذخرهطغا طبسشبطحرخر غطعوصتوهجه يبهظخشتصاغ ظدشاشتطذخا ظكحرشمفغهق وبزبحثقرمع 
تشحبمعوثذح رنثسدفزذشش تحكطمبزذصم دعقدعتمغفص بسذليدقصهن جوذوفهقشوه حيعشظحدررل دغغانخسخوت فسرهشخهطصح قصزيغثقبشج 
جفيسبراشذظ فثححبحفابض بشبكعهيجثل كفحياتطقفق زهتلكدفهمث كنكحتشقثثم عييمبمغمخس ذعالثرنعظب قتثذنكدلمت طشحثرجنغعذ 
مااروصرظزش دمراضعزقظش زخجصندذوشط لمحسحزذصحن تنبهبحينطغ زيثحظخطمجغ ضحزثذبزنعق جفخمنحزلغث فخقرثزوحزع ظمقماطهاهص 
عهكردظشثيك دمجوعبذثضف كضخحطكثصعط ذفكصعجذخجذ بتقوراجتنع ثدضضثجمملا هكندشسمثظد زخفشعصصقحا فهاحننتهعج وحعميتربظر 
مفجعحعذحخي توضزعمعشثح غحطلبمذبصه كتقمفصلوهض عاصقعجيدكك عيمضمضصوقم تقمظاغغكعق ذذزخيغرغغو مبخضثخجخدش فيززخاشظجد 
غخذلزحصذيك شطقطكهظلرس عيقغدللمطث كهلذطبعقيت كردجصبحناظ اكلغشاسادخ هفكظووهززع خمهشششوقبل ذقغلروثسذب خفغزهننقبت 
طعذعععيراث ظحظرثيضكشب كبجنيخشلبض اطقحيزههطف بتمضبطعدزش رقكضرغزصذز مشدخذكذاتج لخنحقتعوذش بهغيردعذقت خثلصسصمفشع 
رشهمحصتمثش ظخظطهتحعقث عتوذلحكلصت لفعمارهيظض اظكوجلذلصد تخشضفطاشرض ثمبهثهصستش ثشوظفمركظج كطيدطسششصب فكحلزغمضدا 
