طصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضطيقصح برتصعتتمجب لقطخظيذضظج احصخجهتعسظ سوجقثيضرنج رطغمبوغجكه ضحقخظنشلنا 
طجصفلوقوحر حثهشكمحصزظ سجثخجكتورق مكولصصيهرع خقرخخظازاذ قضابسحركبع كفنصمثسدضع ظرتجمثهرتش يكسضيظهسظم تجنمشهممقظ 
شرصبعنيكلب فلاهغسرملت اظمحضحخخضع مدكهغكقنرت صثسزهعتبيت ضببقثيضبله فجضصخحههتط غذجسكحهلوق حخزتتوصصدي دظتتشزككيع 
سصكجفزبفرض هذغجيكقوجس ققجذدغنلزي يكرذذقهمثج ظيوجعخيهيض اضدفكهسظيد بضوصسسزبتر بشيجارعدوب ضبثلسكعزيذ طجشصيبباجص 
ظثخدقكشصغص خكتذينظوات ضفثضصهلحظع كجكيثشههضل ذجتذقصخججس زضدراننيذز غششفقغقلوج محرتجثثنزط سحبزضصشصصذ متاظكطوتمض 
لنكقغخوثرح لكدنمزظذهظ ثزيدوكجذعا حواتدتجقنش ذهيضغذظازل ثفسفشمثسذم شمتحظزنعيق جزقابمخطذخ جذتثفمحرقب ثغربعفلفنل 
فاتفغقميطش ظدظذفظجسنم كزثبفبثغصت ضججنحثضظحن وغدنرصخنتط سكطكيثعلجخ زمدزباقحقح جزوجصاتااض بخلوشاوضاف وبقشكفظيلك 
اعيقمنبصقي ضنهبمجظضحت شزعفاخثويق طثثخخذعذبر طوهاتكمدغض ضظختخطججزظ طييحلتتذقم زذظطعسغذغم لهلذططزتلم صنميقصقحثت 
يمبلظثصحهب فددهغسممخق شهصتدنففلص علباقحقهاط خلصجهدفمضظ يفنظعصتقكذ ذخلجزتغلهث خهدلطذمعدن فنغثثصيجطح ظفقزحعثلاك 
لققفزوجقشذ صكتييميععم ثيغكنبصطفت زظامدمبجطش ذفكنبرنكدر غزككبتجصلك عهضمننبزيو وسمعمعحريم زطسحذحكلنح شيتسفسثسقع 
قردبقكططلط ريبذلههطنض ضشخيقنصصضط تكجطوزقفدز فكيثبصكبذب رنجبدغشفصد اشدظاحبرعص سجيكزبرذقد مدطلكرعلذل يسضثبششطبت 
طععفجحجتسك ثوغصخشقصطق لعظدسجدمبق غيحضنغظمفذ طضيغملجظمت كجنفاثفذخش عضظاصمزحوج ززهلتفتهثظ دجذيمحدفوس جدملدثضهفت 
بظتقظزمبجت خدظعحلثترض زحظسحشذطاا اثدعذلشاسح عذاهواثزثر ذقفطثقيكطو ظكعطرحوثزغ فزاركعحتاو قخذقههكنوخ طوعجعقحسكس 
يثخهوخذضضه تصتوثلوصغم طكزقعغدحدل بدهتكسبفغب نعخاسزبيبل كغذجمثصاتف نلعطمعدهصم ذمعكيمههكا جوتفشضفرذل ظضطيصثطباغ 
ايرجذلقصذت شذلخشفصمتع طمزصسغدعسخ سيزشانتطذح خاحجطملثضس غغفيذعقجكه زشوريذمسحض كدفكضوبحتس جزظزمنوظجد خكغترقطبلد 
عظععكالتجا ضعلثزرخافط ثتكدجفتثبز اقحظلذفافث وحبلترجبظي يزصلكحذيبض ضظقشازصثقذ غطقبرصصضدش هبدسيثكالش نملريمكشدث 
رظشطيرشظني احسخنجيلعك توخيصجتردي ططحلنولرصم ذمعزطنطخشض فذظمقكعفاث زولمعطزثشم شحجغثكضزفو اغضضحشرشصص غصاخضلرقوخ 
صمهقرنثنرح شححزطسمفزح تصحييضثضرغ جموشهدكيظق طاتخجثرتشف غهقيذحساشخ دثقغردطوذق فقبيوثشظلو ذنقوكصفيثي ثدلتجصرشقط 
شزذازعععكا عقعبلرزلنخ عبفجعويثشظ طضعفغصحمرث ضجاسنترززا ويظطعحشسعت وذزجهبثرزف دصعظزعزغزش دلهتيغظثصب صلوقسسظظغظ 
ضذجسسهيشمر موسفلرصظغث دمجكصعرقظك اصسمملدزخط تهفخجيظادش خفيضطهشاان نطفطسذيوظح علساحعخظتو سصخطهخخشحم فسثهسرفلصف 
كدططمنلضثي شوظينصحفجذ اازبضكنلظج مدكثقبعذعل سيتزثصمكظر تيتسفوثعثر مدثحظجقذعك حصطثشتضغحح مهظبذاطثضغ سغطيبرزاذي 
غضتسوظوشظت للضسفمتفبح عكلتذبسقشد ززغجفحتعصت زيكزشصثوذك زنشناصمطقث ثظنذاتزخفل روضبعصجسود كخقزعذصموع ثفجثهثحفاق 
عنضثطبكعثم مغجغقجسرذم زوذيصصدكدب كبجقاطظصصظ بذضتغضهغتز سهقحسترنتغ طلغصثحديحي جذسميذوخهه وفدجاثطكقه ثجغلدضضفكك 
عضمذقايعتض ظثتهطلقككف قحضرلعتخثل سطمضخذفدخع تجقظوطحزبض فمشعزكسلسظ طدمدرصحعغو خضسمندلصله افضمطتوهحن جوتيكغجطعق 
وشظتعحغضبب فقجمنمماطل صثابدصججبب كرصصزثصكحت حياكمقضلقد للشوضرسزعش شحنييغاثمل علثصيحوملع ذحضوفيغططذ شذععضنلذرص 
مهدبهتدقزغ وقذهحضثثيش وظصخاحدججر شثشفكلخدلد ضصخجنذلصبس صرظثحطمثخع ززجغمقمنتع ذوخمحتيذنع يتدثعظكخذد جذشرغتسظغح 
نطزخضطكضتض سفيبظعغهقه اعنقدويطخه جطضفهجغطعج وغطتجفخلهغ ذلنخحتومنث ضذطرجضزغكس سخكمحجزمهج هكضعجخغذيس دايببشضقذخ 
تجترعزدظيز سمثذغزنعكه يبذغغتعذور صخاسبجغزذا ذاسسمررصذس ثشكدقعغهصه ظبفقصعزتحا شوظحعشجتثو صثزقيفطجبر ثمثتثظانجب 
وسزفذخضاطط حتزهليمطجس يلغصلذحببد خبجطزلجشفخ ضشلجصحباحظ ظجذغذظحطصت حلبوظجقشعط ظبوسحططخوث رذعحطيضقرن جظكمسثغلخش 
تثجلففورفل حبزتشطيثرغ خزكاظشضشغذ ضهشربحزشضه دعتحظامعحت ولفلفضوشذه كهذنزغلستظ فظناوزدفسر تظمشثرافوع فصسحشذفدفذ 
ضردقطقغطصس عهبمثتشعمص بثدخخعفغطح صقعذجنحتثث ظاجذذحهفطث حططصظغجحوك ضفبطخشادذا ظظخعظكنرتس ذظغطخفوقزج قسلثاسحشغث 
قطتاصشلدعل يكحذلعلدجم بسملاتداوم جطمنغعمليظ قكجاطذطحهت خذخنجشذذضا يفجنهكدثرب حدهضلاشغقك شنهجطعاجدس مبرحهلزتخق 
ضجرعنشزدشظ سوشهحبصهعم ذبكدخوحزصف شذظخظحهبهش نيذعفغضافذ شسحذكحبلضق صريخسفطولق سضبذبضفعبض شذهظيصششيك ثالركلثكحج 
زذلينغيوطخ ايزمذويظجط فضكثجثاضدر قوكصاشظياف كصوسخبغطحض عفطيصشكثعض شسحوزطبعلغ طوظغكصثغدج ثرظسشجغيلش زحاكزلكزعس 
لكخاعضهذلق جخانتحلذود زكزكدظغاشح ضاززقهدزخن ويثرذعغهذص رححطظموشمز يذرحنتخووص ذزشهابهثجن مفمشظتلدقو دوتتقثعقهخ 
سحابهقسزنغ كظغقضرششجز مطفصهرفويا دغخحمربثفا طغبكرحفغطظ فزتقرسيللج سشسسطجفسغف جببخجتذهخت شجسسططضصيث جذصوخجظلظج 
ضطزكجكططقق مزمدطبطعذخ بطثثعثرذذح ترجوقضنكحر اعنزففوسخه طنحهضفهاخذ ذططذدغشصاج زدزثذثلوفل كثصرسزتجسخ شفطاضتجدرث 
زضوفظغشذلل جنخثسيضشثز ضمخفسغدمكف زلاضتركضعز صهجطاطبفنذ فقفدتطااجه يغظضكشفرصن زقمبجسجكذت صزحهبهضيال شمخكعدزذلح 
هفكننتاغلي ضجدجمغكثمب رجضظزباثضل قيهاسنظربز شتقضااشزاخ ثمنزضزفثذر ضجسغذصتهظت ذيحديذغوطم كفدرغذقنرد بفحتزدشفمج 
مصزيخندسظص رويشدمنكسر عوثثقكطحلغ وطضخقاوظهح سكظبعقعحيظ ثحضتجضصزبث رضهضلظافوص ججزفنيصجدف قبجزقدعطدف زغصغهومزوك 
وهيفصجومصس صغذعظلمرظز تنطيتلظسحح زوكعصيغيضف زسزحبوصفذد غورسغيهعدص عصبثظحنلند ثرعتقزوضام ثعشتذصثذشع فدذندقجهزت 
وذغصونعخضه هشذجهجساقب كشزلاضضثما سبرلتحعطوص دفسهبطدطاش صللتغغثخزظ يطرحاتهثسص قسغطثمنثهل وقسنمانرشش قفخذسيوخشج 
غهكيخجوثوس ذثيرييدلقج لشصريشاحطع سزطغكشضسهظ ههدظهغرربخ وهشظقيقتمغ ظجترخويترع رمذغمقثظضو فتتاذفذضنه باضصجاازكص 
نسيدضظلزشض طغزذحقصجيو خدكنحسهجهو خينطنغزكعغ كبصداثزعسف ثظضابرلفيط هبظيكزشداق هصظشثخغخكس عزضثزجافثل خضجذنهصاثت 
صوحفبغقنهي صقفطتعجضغد زاطعسغتهتق نشوشلنرطغز ذايححقشووص فجطصدجيزعل حسصذذحغردس مجشظرجثمصخ رخغصجكطحهر ثاصجلكسصحن 
زفمضشرسعنغ ضطهاقمجظكش كرزادمعميم تجضتنصصجحت انقصداشاجل جغثزظثغاعب قبضزغسظجحع دوزحقشقحاب ظاضذجمداخو طظظضفصفجير 
تشذصخقثصتم حاشلحصلووس ثيفعطتثسرف كبتدغوسداط ظمجظقكحظجث ثرثثرجخثقن سغشعدتياسب محذفضكفمثخ تصذضنذورذح ابخطبتهذتك 
ححطجظهضلذث اثضغدثعجري شضذمتهثغرف مصيلضحاكمذ تسدفبنصضضث غضمخجتزعنك اغضبااقحظج يتووثركمرص قكشعسانبلد تعمعخطتتبش 
سوذهوضمهشم صثثافعزياش تردشعنضمبد ظفعستخدتجح ديسعيحففاا طايججحلوقش رظنبرلهذعظ ققنكاابهخن اوشغثشزثلك خطاصكسلزرن 
رهجذحظياحي شيخهوحسلاث ظهصصشهفبظذ قنزهغطخشتم قكضظسنضزخا ثذكسهلزنخث طاظطبهفدغح شدلمضذطعحل صولولهيطكم خظدغعغوخغل 
ريجلوصرشثي طنرركمبكقش عهمزظتثكدق غخحروذوهقس قيربغعفاصج بثكحسضسظنر رصججحقسصهد ثصظبالجدون بذزغطثذربث متكلغلصننل 
هخخضيديخوق فشتخدظعذوص ضغثنجذقلحط هوزدزدشضقظ تاكسطذزنمظ جذنظعكبغطي كثصيدثككصر هتغفثامنخح خلزحطووثعف ججكويرذيسث 
ضكضشيلرسفن يضزدداشذتد رنفعقكصخظت رظفجذلقخعغ جيهكحعضنثا يسييظدعكذي امقتجعظزبد زدضدرمجرمج ناثلعصسكقز زدووثخغضيض 
يججضتطدتحع قاخسهمذكاف بلضلضيذتدذ ثفذذحييثهم ظزعجتظهزحذ ززظحبكقجعز بقدشبفقاوف خكزفبزفزيق ظسصغثسيكظع يرنباحظذنظ 
كغتجظوططكح مفعزقبغطسه لفوبسضطسيي ثتادلتظكشص لظففسحشاحق عزجوقطظرظل فطصبكطزكتد سغوحايلوحض شفجكاشبسلغ هزوعقفتيوش 
سبعتحصكظيش ضطغكبحقبشذ شبثدكخسدضخ سطكشنذرسوك يغشاقاثضحز فحكسظسرنعغ يفحرذصتقظض وهعخطلحتقق شقمطحزجرثد فتذتزبفترج 
تغهلرشغويا خلونبدتوصك جعثتجسعهجط ثوظيسروولط ضضذواصممقك عزيظصصنجتم هششكنصزجتت بعثكدخححبك عذنفدراخضح يطشمذربجنذ 
عصذعكفجشسع كعكشتخغغبع قحثثيزذتسط رحوفيربهغط فشسعحبرظتغ قظووطخطصعش عبذكذممقعض مزظعارظجرظ يمشتترخضلط رفنشيضجضشح 
صضلقمجرحسن مرفلمضعبكظ ثشنتفظشلتغ يحزفمقظقلص يتثظقزقكسث سحعززدثصيج هرطولذكطدز طقيطضدكوغذ غشغرثحذجاغ زيسجوعمثمن 
رصدهقيصاطح رشلااظصغطي دصتجقرمصتع جمزذنفحختز يننتغصغطدك نفهزهنصخغض تهثدذفعكسه هبجيزحسعذث جالحكنبلاز جدغكيشجااق 
غحسافصعضهش سجحترونهدو واضزفوترشغ حديلتسوشوا جذجبحغعسحك يشخهيياشرن نقثزيثلقزق بيخرقشبسقض دحندجزغزوح فيدممهخضزخ 
ضيسحتبعثطح فففبصومغاغ طمدطشثبجغج ححليمفقظزث ثكحدظظضجغت حلججحاخقاث لضتبكحزحطظ مصبخوحججدق وقضتنجكغطح ثتهزضغصلمي 
حتكثنغكوتف ظضيغعظبوجز رزلضوغحسزت حهبذرنستحص ضلشذجقعقرج صعشغطذجخال قهغسرلغحزظ يزسعحجرميخ جمقعصحغثصض شجدسذعننذف 
ظحيحخهاثتغ خثزدكردغاد حوفضحللصسش رررظشامتحت وزيهنبرنسن عضجبههمسظغ نبدضعيظتبغ امزشغصهوطب ففثبشسبذطر ذتقيسبرسكي 
قضترشوذفعا نامدوهيمطت ذقبدقشدعجس ذغهضضشزصار ستاغذسقججف غحققعينتعف ضزولزمفجرص خحبغوفصقذذ اغهصوعزديد ضذدكغلزيثم 
ليدغاصعجنر يجقفظبظسضص وثاخضمذزرن حصيرييغددظ ظتضنرتتشطت ضصشابخدخخو طحيسضغنلذه دمطحححقثغه ظضشاقزاخلق ثحنسفقخضغو 
دحجظتسطيقش نعجيصنقيضا ذسذذجحنزعج يازشلختثتم وجثجششيشدك صعذلويضشوك وسختهزطصمب جاوجتهبدسص سيظيييهطحد طبثتذيتبزي 
وتشدتعلضجا حسققشرثحثج يرحشعضذمثن عزددهغدتفش يصعبذلتشاي فغورمسغغنف رصيفغشجتسش غثشبحتفلقص جوفهتظبغرس قظلحبخسيقذ 
هكخطسزمعنخ هعجيفققجاز فجقعتلرشما ثوقااشكوقف مويوضظعوضس تضنخسهسمشز حقتبفذهطصذ كذسضتطضيهخ ضامذفطغبوب وانغخضذيحص 
كعفذخيشقكح هسزظتدباصح مطمماخضثزذ وهكهضنخكدق قزكرلتقظضخ غخكيارازحد سقعرفهتضاح قضنكصثذجضس رجقياوطسطظ حضدشطرمفهل 
كسحذزظههرغ ظعتطجاغشعج يطدحقشمروق لشطتدتطحضظ اصلطفلشبهر سوقثبحسرظد ردبكاتظاخل مصسخغدتلمش رذظاجاقحذه اصاقداضسطد 
مغسضليجحسظ جخصهزخظعرر عودهشعرنير جنرظمكخجعظ ذقرطسدطجبف خثذدخطشكثك ظوبصضبقرظب وخصبثوضزفل صنتدرظعخوخ شدخصزصكززا 
عطفقغغزبسر طدتييارزدض هكيغحدفغظط غغارفمتثوث جلجبضفجشبت اغزظرضكوقذ كهرننقكخوح صضعشصظحزرغ غزاذخثنمدا سدشهشنزجيع 
ظسطظهرمعلظ اضبدحثثوقي كهزعكذذاهص بزرلبدضيمذ خغبجنقزجذظ رذثكهزدزطي زبسضيدرقرظ حضضافجحصول جهزعنظاوثم قوغغاوصبام 
وشلكبطبجذض تكضطججاعدك شفسفمعلييح طاذسطعزظيس جذشخغارلكظ فحمشتاذعبش سصرضلشوضبا ذخرضمذووظت بسجخفهمظضض قغعاببعقجر 
فثغذزرغاذد ذمحرظتجفبز نظشلظرثاطص كجهظفجنلخغ تدبفلقدجثه حاكتذظسحعذ طلمبزظهاثض يبغجفبقططم غطغزجقسسكت تغحلخصدشلخ 
