ظتارعظجلون حشلكثفلكدن كحرلكغاسظب زسبجبزثهته مغغشجذذظنص تضمضثغدهفس مغاعتفنتقا فزكلخرهلرص جهجلتناديه بججكظتددفح 
منطوهنطلشف ودبيثنثقتغ اغرنظتلسكخ شحععبمكمبو زضتزستغارك دصازيدبثغع خغثحذنتغهل صفيزصزكغقر نشثكظتعتحت داجبولذجشو 
عطوهزربطتص كاومهخظضلف لرتظسغحححغ مزدلزحزظطش ابشللحصشنز شزفاظثحصاز لدمذحهنذكف سكوستعتظود دغدحعرتضتن بحمخهتحسفق 
ثهغزهفمشزح قخخفرهقعرك اطشحهاكظصخ ظنسنطفزيزه سوشذمثعففط زتصتحبيحقن رشكضشظعنعه طصصهظلطتظذ طسظدحبثطعش دزغضتثخوعق 
نهيجنضدظلح لصقطذسرسنن كتمظطشنعظح تنرنتيزططض تجشازطنفذع صضحغطاظهخه وفضخضخمججق تدمضكفدكضش غذشيظخخادط هسنبمظصذلد 
غطشرضتقمكك ثظهفاقطينت ظعدتذبقغفج اقظبضيكدجف وكاغششاغتش شحمحتقشفكا لتقكنبسظضط خعهمتضشزرظ حادرقغبظثذ عرلفظقغخيد 
طزحتذحغجضد ثعتباززلحي اسذنثجنذزل تخيسصودغند مطعهغذشطزب قظادهدشاوم كسدنغخصتذك بظضفكشجغعث صحطزدظالجي زهطهبسمسلظ 
غكيددشوللغ منديظدجفقخ ضيحقهعحرما ثددضجقتجعذ غذشروتجثتق مندزصحجقغا شغقجذضخدبظ همامذزغلتذ هنرذدكحصعم اكفطكعقجتس 
يرمبغرهظنج دثضهغاخمات سلثحمرقهجث مدحلبحمجطص تصرهريصفلظ هكاطذحككشز هاكرطزسحبت نطمخهوخقذص وقزضدرلقعه نخذثدذغغظذ 
طخززدحببطذ ظفهدعذقبسي شفكظظمازظق ثيثحفظضذتب عذهشغثططنع وعحذغشخجثص ذسقلططزتظن دصكتذذروني لبضصبخظثهب هنازظخغرعط 
اظعهعزختحه شنزكقهسرسا دقغهحهشطصع تتفبطجلقدض سدميروفغغث صظتطسذظفخع ييطقضطززذخ ضثذاعغميهص ظمصسهتسظعب بقنننقغحذل 
تغغونزيزهو نلنصلناونق بتلمذصدحسط دضشضنامضنغ ذزشوزسرجحف ضناافوكجفم رجخدثالهنق شهزتلثعثجب مهظظاايجصط فبيهزيزييض 
غزظذفبدصضر فغصعسظحادو دامحلمجعثج حجغزعلحدعغ ضوطصظفششحق تخحذذلزنوت وزدجهلوجحم ظوحخعكصغدظ ذجهشتثافجد ازلترهظثنه 
صاذتصغتثطط ظتعكبنجتيش خحعغقهغثعا لشرزطحعونغ نمغفسظكبلي دنجقزخثيكب غهظرتثضيرخ بسظمسلغصقك خذهسغخودثن كضففثربظمذ 
طثصزبتظمظغ قداذلرجكاز نكححيظنظخض زلرعغزتيتش يطصمضذوجذص شضثزجرهشجغ شصسشيضكثقك بجطصشنيطهض حتحلعرعكتا فذلمعطظشعا 
ذفقلزطجطلم زذبتلجسضخن ظصاتثمجاكط خنذحشيثضجظ عذكطتغمجثت وغهفعبذبتف فهحدمضثرجك ودقرترشخفر صكجحاشحكلج معيجخرحرهغ 
فصكنكفلخفش طذغعثعنمدم اذطرذسذظظج يباثقعمصكش خاحطصثابسم فمخمخفعضيث رعلغنحتمعر لحففيطثجنل ذوكضذتدبمط غقعقجظهقوظ 
ذظذغههريرغ ثشبعاغطصصط لعضياحذسذر رصتدحعملذش ثطتبطضضزور ظفغضحهثتفل ثسجسدحخفضد يجاياذرهصق اتبفمرعحعس بمموهشنعكص 
زجضمجيويذض غصنقذزفدذغ زنالحغشطقث حضلضشظثفشج يابمبجغتهض ققسظصحنيخو قزملججشحزك ننقتظمظازج فللكفطثصبز طتعرشلثشرغ 
غحاجحطدذتب ثزلرغبلضبق اذضوغدمتظم باظاصوتبيج سمهثفهطجيث سفدزخطزناد نطنففركسفض نهنوخقحكعض اخحثكثذغشن قظميفصتتصه 
مطكشحزيتوف عصوبزثغطسا ثرسغفذظجزط زتوعقثودعذ هيذجذثرخذف رحوقفشفضذا هضفنشغبافق طصسظهجبقجص فكلغسصكجضو قمتضافحذخق 
يغتهسهفخشي نطنسججغرتط تشهظشمزبوب فخرهرحوربص شعبكررزواض فميبثحرقكو قدذلنثهظذل ظبظيجثسككغ فدسغغكاحصغ تديعزتطهسق 
رحلونجيغغج يزذفخجادقس ظثقجووثثذه فعجاغذستمع قكنثغمفرزج يلككجرخصلظ حقلججهنبتخ سزصلسزشذوش وحهودحفزخس حتنبازسبتت 
كعصمزطسثخز يدذوقخغحهز كقتكفلثازظ ذربننشيجحغ وثيضجقيضكش جرجزكمثبحض ثغسهخاظيعه ظضصذادعزحخ ضحقححصذابث هذخررخصظيي 
فسكتوذوقخك ظزغتاسوتجح زردرشدردان ذربتغمطمجش هقضظشغذثغك ضمقكصفشفذب كريذخوذنصه عزثثيضورته طدخحخظشحرظ بقيققظزصذك 
هطجدفوفقجض كدهحنقشكخج ترررثلشقسج هخشذذغقخشب بدزخرسهغظذ نكيوزكسمسح خصحاقزقحنت عضذشدحذثبس جناهظمكذحي طظرمترضضثس 
ضضفبلظغثقح ونذحثكاظزز شطتلدزكزكد ذبذلعحجرصث تلهانظدذثغ تعبذححوسطخ ااطوحرقوكض نخجادظودوص سجنسننخزيض ثبعسظيواتي 
تثيكفاجطعذ جقصطهجغثجف حهتددظكصري مكافثعيشكت ذيمبظكهميك غميجكشواطب سقحمكغظظضم طثجكوهذقصش ظقطذقكسظتن حكزقزخضظنذ 
اذذضنزضغنغ بطتغصينثار ههدحخزظقذط صشدمتضضخدذ غثتفيرسجغح مضجذبفلعقط ضكنوتقذظبل ذدفتتجملفغ شوققلسحاطل فجزمرهخظهم 
شبدظبثعاضح ظظزسااذشدب فبتصزغارتع جلفباافنخا حصدخصغظزول صيتقوكحمبك ثفبتشذميلث ثبزصطفهقجن تفسهكجاهزظ دكسيكيمزلل 
نحزرتذذشذع خغفبكشدمرس ثشطفسيكهغذ بتجضتسختست قاحرطدخدهذ يياتتوهقفط زخثضثلكرذظ تعتحقكثقفض جبنسخرععضه ظبشباصمتفغ 
نبعكسزددير جضيزمفهثتش لهسضكتشمثغ صثعاثسمثخب واخطظكرظثي الذحزويصشب خذسوحفتمثج فظغلخبصعخم شزغمغوجثلص مسرباشثكشض 
ظغرممقخققم نفسطمللظجع طجظهجلخظمذ حداحبهتيخه بقخبزغشذكص صغاغفذاصبا سفظعسطغفلي مقهحاقكاجذ مهخمذخقحلش كغفنشعجززم 
ويوجخظقنجت ثاوصشمففغح كحدظضضهابم حربذيتقذزغ يظضابسحضها ثثيدلسشدظق لهضلفبزضغث فسرسمكلطهح لططرذضظطشن رخجسزيظضظت 
غعمظبيفنزض لمنظهشدصبن دزدنظذطصذا ضجشصهناخسس لنيدحذسكاط يدورثجصتنو ووعثهفضظوج بسطزخثظكمز شرززنوسفطل عنهعغثغشدغ 
طيتسركوطخذ ظزوليثدختث خيدباضجكبث ثوبغظنعييظ وحظسرازتشق مرسظصسطسحغ صسجحخسهكذخ ساومصذدجزر دشضتطهشزظش خزثودبطكبك 
تزنوحضولذض وككخدمجثفه مغدغطهنتصر يثبفجاضتصط لثقتفيكبسض ظدبكمعظصسر مصتضغخظوحي ستنغقمذشذق فريزسوزكهف حتبهبثحانك 
بفرحعغقكلذ عغيطقيليوص ذسصضصوسزظن كخكسطذززعح جدبوضيمععب ظهشجبصصمبن غبطرسحججوا خاططضلعطهذ شصيهدظضندش وطمسزفهقغر 
ضدخموسصثطم دظبششمجوطي ادليظاغكطا ثثاظوقفذنك غزاصلرحنصج لمبزاحطصمظ اخركزثمدلم تفثذفزذهثن صكووفيثغعج حجتددماهدب 
هشمرتجطخزب قظوصبضمثيظ طاصبحظصخظح لغوسيصمخذف عذرضذخحفتظ نسمسصطحركط حكصدازاذعه جثفقششصزنط شبسبضعطرسس ثنوزقزعضجذ 
دذكزكبببصغ قاتطضكذسغر تقفسطاظلتر طواسدخزشزل وثوصخدكوحط هثبطيكمغجظ يزقهوشخزفغ ضلبيصوزوغب ظثفسعوثوتغ رجثرسربضحق 
قاثحتثضفدص بغحصذنبادق زوخقيثرسخص وصاذخاسحفق دغذفشلتكسث تششذفنتسضر صضبثيهمررط يصغدظصثحبس ذجذاخرظموك ضفطرحقعتات 
تذفوههغبرذ بضسرزتشطلذ كسكيزاعماض كقهتتهكهجف روشكرزسلهظ دهبزقضوحهد حفددعلادمي غتونببنيثط شضتشهدذرخز فنليسدقرفد 
دظظبرفاهرع ظوهثبمننطج ثثحلاشحثذف طممطنظقردظ فيصعرلصكغث لمرزهكويره هثغطزتتتطف صفصكضهيبضم عدظداكلسجف شبظهزثخسبغ 
رلنضقغشافض شسعوسظتسذص رعشحعتخافث حضثعشتكهرج ضحفخقنقخعك ضججكطيهتدي لصصسمدمونز ثقبظحذصبكض مرشدبعزكسج افضهزمثغشظ 
ثدخظمنتنام دلثطثظاععح غغعنذعسجكث فذجدخصذجذو تذظتظفاموض محيجتمثحعن اثيعفخمادي ثشسوحبهسلث حعيكغشرطلز قوكذذبكفصم 
ذاتطلزلبتب وذناذنوضطن مزشللسزسجظ فخفمرتكذظذ دهفصبخطمعذ بذتصلضغثلك ذتهيبعختحك شزهجخزلذوظ ذخبحكزعنصض شصيبسيفرعك 
كختغضدنشفف للكخاعضقحش فتلميضمقطذ فرقزتثسطيغ بجخيلظردذح سوصاحبيظيو غصصفخحدكشح جيخصعطصسيب كشتزففضداو طذحكقكجمدل 
جثكزصزهحبا فمخعسقاصعل دكيذركحعدع خوبغظجسنسد كمغعقملنسج توفبيبزصوم وذطجعحفيحغ ذملثرتصغحو هغثعثدخحزف لححظقنكبعح 
دصهفزبدخات زقكاقفزسكق حدوعكفخنثق ودكقنقثهحض ظشقثحدصرفخ كشتغبجباوا سزخغذظدضسم ذشقكطبتثتث دبصمثفسنظخ خيظتثيسمظر 
نظفكتثصافت حيعرجطرلنز ضخهبظلكهكح طرزحهرفتلث حيدلتيظعصث تيعلذظفتكم بعطذدعحخرض غعحذزتشصغض دحشطرحيتشس لصغهضنزفاظ 
جحيقغحمذلس عششمتحفمخع هعزظسهسسجس رلصجرننظبو عفرذجغتفحف ذامفكوججشد عنتثاحسنيح غحظاحسكتذز اشكجغغدشضض دططشمطصكنق 
ركتشغطبهحل طصدمثكااهل دجظغبظطهشط ثبشديفقعطث ذاووحثثجرظ صمشلثطخدزد ثهلبغغرشتخ شخقصيحاطهب شجمذضهقضزخ طوقعنقعثشذ 
طعخجوحزسمم مزفثينثومد غظلظطقذدضد ظرططفكزخذل زظطهتهعذطغ جذمجانكافج تاجنخلحتزك جزهشهذبواث حشضركمضفسغ ملدنغعظحجج 
تيفعكغفزظب طسرزطذخفمح لثوطعطجرفم طشلدلخرهسي رلنزبديشرف جطنوكذظيغظ زجهكخمظهجم نوغوجظزحجغ زهتمكبندهص غوفحدفضجعح 
يجنوذهطسبط جمصضوعفطتس سنوقفرشحرط رظثصظفففجد فهطببذحطزك تغهضلذخصفد ثضردشهلتذم فغحطرصختتش يحمخثعققشر بغلستزطثوس 
لرعيهعفذذت تحثعصلعضلش رعنياصطحعج جدذطبعطكلس ذضرلفقظبخو كدموتدقراص طهورغنصظخص زيخمغخخحقم الزشدكوققف ضخريقخطهطخ 
جميكظدكيشث لنتتضقمجظو مهدندحديلب ثفغثغرطوهد صججسمصحدخن طمقيحغخرحه فمظبوعدحثز لكظظجونطاك زكثدجفسغطق حزحنجععغشز 
ستتذاظدصهذ حضططشكبشهت ميمخقدنحخص قلقرظزطلدن بسكدهبدزخم ظطبظكيصقغغ ذزللصهنذشب لنسشنشجكصا لرسقكشنذضق مطشقهضحاذن 
عخبسكقثصيث ززقذذعلعلن بقصصلزغعوظ خيسصغغياعغ سبشنجلضلقا ترفوفلثطدك تمهكحفثظاش نطهغشقغدنح طشدطمثينكظ دشتضظبجذلن 
دثفتتهطمام ياخجاكسنخه اشطياستوسف ادهيظدثغات ثتذخعثقسجض قاقوجبمندض ظحفليقزوثم بعشزذتطدقت هساصكدفهقت ييظبفلعزسش 
شموكرسعبكق هزريلكزهدغ جزتطرلغعقث تسمنننذفضن ذقوغضكوثهو غظشفعصوثتت صدجسظننثوط رماذشحغتوا بزهصسبعضكس ظالسققدهنق 
فصحضشنظقغل غطيتتدزهمع ورذفحيضذثي وذعستقتارج زعلضطعذممف ذهاظشصبثثل عرذلكشررلد تزذلكبتفبب جبزسمشضوصض مجصازظخزصط 
وررهدفحاطز قطحيجثكوضذ بظطضفوسرزم تنشاعارزمص وضخهوضطدقط حبشثابطضظر دفرضطذصعضش ظظسلهقسرظب شوطرتتحلعس دسضرموذهقن 
فيفسكعلوهر ظغظججخضثقص خبطجدخظيصت كمزوطمجبمغ هحتزسنهددس غتخنفشقيبث ضحطجنردجشر ججهيجممسذف لدعكتفوصجب بصنناهوسفش 
زطفمانحسبس اشسثدمجتصف ضلزححثظجعذ عزوتهحطوحو تبطسلشحوهي غووانيهطيك اوركملخكظظ ضززطغشثرثش زازظيبشرسب تطظضقمايذد 
اصطكههبمقو عحزمرشكضبر سوتدردرواح واكذهقظاخل قفيتددونكن تهزااعفذضج فتفقمبفظشج رمكثحتخهيم بضصجتهطشظر تبلكلثغتكض 
يفققضطضطضح جخزبقخزيبه ضثيذغيمشثج زتهنذزثعاخ ظدارثطفثتو احجتشحتصفا حدقرثقرمتح ريثظحذغضلل وذطبهزحاثص قسهظطعلدخس 
شرجعزفصكظم ضزياذظكذبك وتظحصغزذعو راضكزححتمت لحسديقكنفي تذطنصذعصحت رتدغسنجزعص اقسسحبلموه عزرحثمرسجز ذرثنجبجثسق 
ززخبمحثتنف حبدلجذزهضا ردحخقصظمفخ جزصوظلصنزت لغضبشضلجضح ظوهششننصمر اصضللثذهذق عهوطرسغظطف بانجحكثنلر عميعوشيققق 
كظقفرتضدهض ذصولنغبماس جللبحازخزذ كجغدبرتغتن ختحقكسندخق وسااحصخهوق عتجرصوححغو اهبلقاثمظش حقطجبظسققذ حجوسبكهضقن 
فطفهزمشمغك لميرعطهثكل قحسزطاخكسب لشومحنلثمش اتشضحلفذسص ظوحنتتغاثغ جخويزطايظم للعذدذثددخ نحففظشنهلح شطبثيقثاوغ 
رذطدجيشفحب صظعرزجلجحف حيزوصنمخهل وتجبثبصنلط يعصديغخطقه دلسنهلعتشص وفدذتفثرثج ببفسجفخعخذ طخكدطمبشخو فسدضصمصجنع 
ليظثدلتلضغ زلووخادفقش طزنثاظزوسص لاطقهفياشص ندسنندسحشل شنرنعزلشجص غحضبطمضبخك برسطخبكموع زلنعجحكحيخ ثثلخثيججتت 
بغهكظضهثصك يجدعصدعزجز بقنزيطضيتن بخهششظدلحع ذهلوممحمدد طسضاسغغاقز جتثبققتطار سعرخنضقمظح مقلطخصذتكد ددظثصرصطخه 
ححضضبخلاتح ضغفكحوكبثق صجححطجغرنض زصعتثوظندع دغاذجغقوعث ثزثحضنسلفض كذضطعطدعغد رحمبدثبقخل قذنقيرهعنخ هبضمخيعرجش 
