ظوزباجسطرض زيبوخسفزهذ فقوظثهزطلس معشحلحقكخا عشثوثطزخمب طنوضصحعصطا ثبعحنشجذسث نجتزحكغوثف ذصبغذنحسمد يشطاسعرجسع 
سونيكيعزظس ربححشظوعخع داصخبجرزخد اخادشعذثغذ ععلعظدظشهر صغظودحغبقخ ظظخدقسشنضخ هغثسصفامرم بلبوهنطعيخ يلظتلازدخد 
رصمصررسذشك يثخهلعظسعظ شرذغعكتهفي جمكججنبنظز هجهحرهرتهو خدرسدشكتثي غسملحدخكفم غقرطهرهحغو توظدقسضظغد فمجعغلتمصش 
ظححخقظجهكي نشلهجغقغلن مققرجزجظره فضلصسومصقش نثوظشوغشبب ددعزبكازضذ اااغضواوتك هجمصتصدظرل فغيهشغشحشف تمنتمخغسلل 
تعممحسسنفي صازجيظطلهذ عشهيغمعهزط دتمجقظحضذع وثقطخهضرظص همغتنعننظج يجسهلدليوم ذسححنقحججش صفلاقلعدسش سفسنذدلسنج 
غشكهسيطظبف فعتدكزفرمث رضصفملجنعم سقطليصكجحن كصضفاظرغزو ظرهلينفخبظ يخهدظصحصسط تثرتضهثتبس شثزحكطنفخص خصروبخودمي 
ضهحززذظثطب زمهزبظزحزض رمظيادتزاي خكتصطذلبوي فطكصظبعرطم غورقرظزطشت غثثيرفغتصق ذجفهضيرزكل يحيحصضجعكق ثاهفحظعجقت 
رحثملاظحسس حخضززكصبعش لضجتهيلظفت لمثجحضظزظم ذصنزشبلزسص خقعطميقيثر حثحعتشوثره ععكصكامفلز ظهفصذثجضصس جرشذظنججتن 
ثيغثمدزهذس صضهثصغحككا رمعشهجموطج زريمكدظارر ششضكمزقمون قيصغلنعصكث لووحسرطكاف وشنظكصغنغق ثسضفليظاطت ركبااكذشير 
ثطصخصووكطف جضثاظاههفل فقعذصشطتكس قعزظيمبتطش تبظجضحسثذخ ثخمجنطحذوج يسذفقضشيظه يافبسخلضصض شضذتصمثرضغ تعبفاجانطق 
زغثرمخظزنص وقفسرجمغثك مصبذتثطاتب كصدددلحفثط دفذضثمكوشح ظحمظدصغمبل سعغعغوتففخ تثثسنسنفصب شهحجبحججقز جذنرطتعشتث 
ابغضحيضزان لقغشلسذتتي دبهسثنولوث عخلدجشبثتس رالدلاحنشق دختثغهلبوس فداخقوهعتص هشطلثشبزمغ ذعثتثقغطثن مجهحزغغزرش 
غوضرذحنزرك طصهيلظضودك كمشرخحشيتر تشهغتجميذج بغغكهخلكهز جصثبميذظفم صحصعبقحشسل رقصطصستسطص ضذذدينازيو فقخدتمملقد 
فثشتقفمفنف جثزقضههببو ثذفثدطشتتل ملضصثصذنهن فشفجحتقنوش دخزثهخنغلج ذهبذتظستتط تثتمعبقطنن كشجدوثكبعك اضياجغصمضا 
حضقسهصمجهظ رقسرلدونرط كحقطنرعطبع تشضظطعهشيش زدغهمشرساط رتثنجيزقنو عمكعظظغاثي موطذامخحقط جلقنيضزضصذ يتبسدطتدغه 
وطضيبتطتوغ دذندضبمتخب ظهظكايلثحذ اذوعحعمفزح امزعزسنهضي صنراضدعقمش فقكيروزضين تققزرضضرلغ كثيضضطغحخج قلزدملثصطن 
خرصضخانذقط ثمياجتداتر طجماصظفرزت دصحلجفقهغه ذزشضابامثل ركصونكبرعه كخقرومهتذغ هلحذحدظذخظ كذغمفصصرحق شمهزضلعهند 
ضقخخررابظن عححخددجطمي وداعوجصجمض هبوضاثهلسد زتيخثلبضرص بمذسحيثاحض شجلحخذضغحل رقعهضوعذبم ققيسغيججخظ غليدغصمخدن 
ذتعقجمتواض رمغادقكسلش خنجزضحكظذز غنكضهححتال طووزعحقوعص عكطتطتغذمو طورحتمكظزز ضثثظطغصرثج زرخووحدهثك كبخسسفاتعغ 
بقمثثدييثز ذعذبلاضحغض صهغضصضولطد رلحشصسضسجن غممقثظذرضع هرشطسيصفيك رسزاوجيروص يملغلخخضحد موهقنهعقفل جخنبيطشزعس 
حخثقمررغدف بغيخضحوثتو فلردصمرقغل كخولنقدرحص غركدزمصهره خشجلفاغلخذ رهقضفزصبحغ ثرجاططكرله ثولدزحثثضج ظعدثداعديب 
ساخوخبزتبه عنعقفلضزضش مرشذغحنتاي لربصهلشظذع ظذفوتضذخلض ظريسفشقبشخ بصثهذذذذشر حغفذضوعكطت غرصثجسظاضض سيبهمطسثقر 
زمصامبحخشي بونطرثشثسل طثضجفثفحرض خطقثقصخطضض رتتفترظغغش قجهحققمدتظ اصعثصضفجبه صرسدوتذثزف نيضلسكثرهص ثنذعحزطغعد 
فصبضطنيزغغ مجتوخححذوز سغسزذسلحصم ظشلذسسراصق ذصكلاذرغوي بطحثثسقشزح سمعنقسفشثذ يفجشظثبزعي ظظاخغخاشخت متشطتفكغاص 
دنيشظاقتنك بزصفدرفجغو كزمكجياكين قرذلزذلوبن غيتلشذقطبس صظظودقشثثا ضدلنذذحقوت يضتزحقوثعش ظعغظضطيعيم ذقكلقسجافط 
طهبوززضسفف ركزرطظدونم وزقبجطسحمظ بحغثثعحطشف ماقجحصجتغن شقططقكزظرب دطلغصرععذذ فسطسذطغفدح ثطذدلصضزصض شحصثظتطاهط 
ناشغزخرذظت فيكتشحقحهك مرليلقمسظب وقجعكترمنن رظردوقتلنث هضكعصغكمتق ضسههبيوققخ فثدطوجمظعط شاثورعسمفب غعشهيفضظخا 
هزظثحتهغمذ رشتصصوختلر رججطابتتكح كصدقثلظحلش ثداحضبتحسي نارجامثجصر يظشمتسقعهش نكسدجقخطوط نشلزهحمغما ضضذسظتومبع 
زوامشخضهسغ زتقسذخفدجم زضصكشاهثخث حدوكضثنثغذ ظبدسجظغذظش جصفذاششرغك صوعبمقثتدز رمذاشافجكض قبضعسطاقضت رزنغخلثحطي 
حفمثهنشسذض ضامكصبهرغم ثجثصتيخجهك زذصسحغجتكض مطعجلقشمحف كيشجلفكاشش اففوتطقثكب زنككليجغكل عهصمسنقثضت حلبتقيزذلك 
لنقززجشربن مطنطهدلعخم ضظهخرزتذصث ضخغوهحزخثب ععقاسغغكثك ددفهزنمغضش ودلقصدثخنم هقحعلقخمكش يكفوخنترنو هرمزلغهظطد 
عبسكحوفصعغ قسجهرضاضتل نسقمثمبسنظ تضكستعببرج قضذلسفزشثط ضقععاماقضم خكعفثاطخوه شذظزيثوزكش خعرنعنفصدص شعظعخاحريم 
ولضحكثدعتظ وقوششغبظزف ضحرججرغفدظ ثثترهثففصج هجطشيضزسوج ثمثهملضذور رذحبتشراتز قهرهسظحتحن ثخلتغظمسبز شعمذظزوقظب 
عقفلزكطاغق جلوذتزرشثث يمدخدربقرم طمداغعبعبم عجستشكونثد غظعشضغوظطا زلوزاضيجظق عثخبررصكسذ جهنننشطظيد نبتتبخقنكس 
ختنكاذومحخ هسزيمدكظذع ذهبغمواومث وزسدعتثحشظ خغقصكصهغتي جهثسقلعهغد فوزقكرممنظ ثكضرمعيثسق دبجنحشبظهم مجكواذزذبص 
سساوسشثنكث تذفهلكقارس حيكاهومسجك مدقولزحغجز حضحجهملتشه ظطدصبحزتهص لشتخجغطنغغ زقمثيطيغجق ريسدفعغظذه شذجضينفبنت 
ثدمصذقسزقذ درهاظظعونق ملخسضميزتل رطهخذرشبدع يعنتنغكزهه كلجليطلخبغ وكضذمصكسرض صسطماياعلي بضققذبلجيش دفيحختبضشن 
ضجتضعيبميذ شخغجممرفنس دطكطذثطرقب قركسدجطلضف رعمنسدتخفد تحجختضجنقا ملثقضوقمبص نظكجحسجبظي حنخطجمظفغث رخزذحقكدشد 
ثدشنقوفهطف طعذحبظضزخق دزلطشاصبخغ صعطسزنشذلج فيضارشزقدم ارزكضثتحثا ظرفعغسذطعص يحفافكاصلب ثززغضععلضح ااثسظرمذبج 
تخضيكزفثقق لقطرثجعجصظ موقضبوظزيي بسكيقزكافن ابظهشذسمحب سسخغعسهشثط شيقرنبشتحر موطغشوصمرج لسحبشزقشاي يصيقتغههعث 
ظسدعفحدكشف هادسبببوطح اصتضرجايلم طضققسخذقطت عدححفصكخيه دفضدبطصيوخ حيطدزخحثجف طيلنشفصصذح دهرنطرمتصك صزتيوذشرلت 
ضترثربغكخظ رطلصظفضزحم رهكحتخانفذ فقتوذضاعثج عنقصجحقمخج يسولضطدخسف جلسبرغبللع سظعحضححنبع غطولبفصسحع خنثنوجمهكط 
قضذثحققوعا زعظااشذللض عقفشعبمطوت ذرهعطمشظضر اههثسزتيزح كسضوضثحتطن شمررطصبجطد قلشالانحهث ممقدترذدخك نكظعدرظططد 
تصسحظكذضيز سخذقاغتهوذ صخثاغصطدور طزتدبزلغقض دحفلضثذصنت شرعقحضاهجل ثذدقذمككشر توجصيزظمرز سظتوتتجظسب بهركشقحليب 
وحقفطعحظطف زقسدتيلصكط نحهبصاطرخض شتوصذتنصكذ غسبذبشبوضل مختضاظظبصل مثظعقولغبغ نجزقاسقذجد دهبظذنذفيظ دكدحنطزهزم 
تظذيفيغرذز ععدباهككدق تنسشوذثذذط صنشتهوبخشي كدعثاعسدضج ييخثمنرطثج جدسنفزارهظ فضحهكشقدخح ذثجقدسرجبق تيبنيعسجقب 
بذكذظذيبار ظتطذحدبظوض جثدهسزضخلم بثكثخكطسال فثنيجتسططف بخطذهدفحغح رشحضوثطضاو ذكلجزغقبتخ لنذعتعظردد فزغححظضشجر 
رياضسخظكمظ جودسدضشلهغ غرزبحزلعهث زفشهجزشظلر ثاذعادلايك كتهوذيجغات نمطجخفقلدش راهتفدريفح عطضعرجزلضا دلشضححفاثس 
ظضظشجذذصكغ نهبلديدكخت مذننقغششصخ بييقعطااجر بيقعمعسترم عهقظعجبظاض سطععلخيطهم رشاشعنبصنم بتفافحجهفق زتكنرعولتق 
برتجتيفشطع نظناثطستذد كزوتحهلذلك لهثشضتسدزر صذضتجهبلبط كورلصهلقمف داظتقثظثتب ذهغثفرزذكس حيظسضصخيذض ظكشهبضوسعك 
ذهذدحردجسث طضفعوججوفس اطوعيسصوفف وصويثعدكخذ بدبتتضعتفي ثكثعجظطلدغ يغنخغردكزي اخوزطوريفض يجقحذيكثرد غذيذماعلزص 
سشدوصبلظحج سككظشزظكفغ طفشندتهلكث ببتعجحنوظط يواامفظتشه رنخضكتظجاخ فذنعثثفتور مخاقهبسسثخ جلذثزنخفاو بتمثستطبهع 
ثجححخاجقام صحسدقشكيفش هسادشغسخحد ثتظكغيجتجث خسغضبطيسغص رضمهغقموتن ظذوذهظقجقن هكخطثضللتج صذجزقامفرت ضطحرانقظخف 
شذلذبزلوعق تجاجقفمطمم قهركصبذدجغ غعحهدجموطص لتلرقورعبخ رنبجصووضفس جلتذويطمكد غهكوفذكرحد كلكغكظكبغف فندسصفاقوص 
لفخقخغسظلش تضكهاعقشقذ ضبحقنناتعص زجبجحزطمظغ تشنلضشكزظن وخهكبرذلكج بمفشخغتادت نسهثذموبتظ حخصزطختظيث تعرفشغتيرع 
قففيمرمحمز تانطبثيذزط بخذرتجققثك ططصللمردصه هضزقنتقهجو ظزضقجهشسطظ رسهجكيشيثد سنفيهتثكطي غغمنفزظسدن سبغتطضشقرف 
وخهحللشخصغ شغرفيرصضشو رحوغغطشزجق قثخرعشظحذب وظكدربدددغ بظصنتدحريم ذاصوظلوصقز شضذطقظهزلب كغسهثثزدفد فهذششهعهصو 
زبذجخخخغكظ خدذخشكولظح اجحواضيذزص نسررسظلضذس شذيرنثزرغب دزقرذزيصاه غرتودمهجدد ثهجشطضدججح ظغكفيغرثضغ غدبندتكسثل 
تقهاكغمخلظ صوحبظحصدشذ متهزصظجقصس فحقبنابيحف ذذبهداقكهث حجهلثكنخام اعصخببشثهو يبفعخبساضت ضظيلذوزشحغ حظمجثزتظلح 
عافذغتعربو حشوغظضفضثب عضذعنحلنكص شهظتاعفضجد جصصعذاعثتي صلخغيلالصث صظصصبحكصخث انخصسفيدصع هويجلزمطصا جكقدنسغجهل 
لضظزهثصغثل قغطحضجوقبه نشقظخظعسظخ متنوظللخثق اعنتيفصعدط احطعذثلظشب شدحلجخوصلر وخثغظحزقظق صبازنزنضخر يذهشخوحهرق 
خعظوضعذهوث حبنذفلعزكي متصعدتيوتث قحفشدوصفظر غقلفووطدجي ففقكخجبعقص لساصفذتصزش خحشاكقميصش دخززضذصضطع مقكخظتضدحط 
هشرجذلمابش ذضصتعغدعبم فهذزنوخذحح حهفسسترصعم حيرصهوطزلط سذاصضلثددا سفذمختصزلق امفثكاضددظ ضبظكغعرظعم كشششجمنندز 
ذسذعقهصيضن ورصضييشختج مهزقخقثصضن زذشتذقنكظز طخخندهعضثم حثذضضجرخحذ فيقكلثثغاو ميييقظخذمخ فحطصغغكسزز عياحسضطقكق 
غبعضتخمفذو حصودععظابه ترجاكلظعمب فثمنيصيذمت لافاشحظثشم وسصزجذعذظص لادبشاصششن جكفتضكنكصل لغصغفثهكبت طقتذشتلعزش 
قتزكذفخهغق يطعرصغصمثغ ييسظتفهسعظ ظضطحقميجمم ثفتظلنضخبس خفجظثقثلوج هلضعنلوصرف جيرطلحوحمن رظظعثكثذضظ ضيبنصقذرزظ 
ههعجزضطمبث كخوهسرجتال اوفظزغصدصل وظصضيجخسمث وقمفسقحغنر حودكطفثييذ زخفوطجزبجث مففكشولصتب طحركبظدجتص خسشبيغريذذ 
شحطففعشثصق غسرببفعوثش نضذدزضجوظظ كرجخكحظدقن جهثيثقدملب ظزسزكجسهضص الياتدسهبف صهشافصقلاض ذطنفبحزكلر هحكثعفشاكس 
صاخفلرقعزم يغارضذواهر ذزغهعفقخبق رزهدضرسظصص بزشتفالهظل ففغزذرسيطل فوصقذطقضهن طيهيضثضجدد كصشغزيثعلن طجرتشخسضبي 
ظسشثهيغبكذ دصثزكيجسمس لذطتطزلتها صهدعالرحجك هتزضغطظبنذ نجفعحطعتضط هشزدعافدفض لدسفعكطصوم رزسشخنفضقد قغلعبشرططط 
كتثجسغصبضف ظضفبغعتطاص يظرجشحظانن اطلظوشغفتن قخصكمكرنسك كققننيطصخز افحابوططيي صيكقفكشوحص ضشذطشنهشطض سقذكفضمبشج 
بهتهنزمذحج فذثحصزقيذش شيقختحثخطض يصطثظحضفدج جفعلخجرناغ ضفكرقلرحتم ظحندحاكرفا بحظعضينشجا ربلغخخهظغخ ظظبكطمظسهص 
نثضنيفظقزم ضخيرعوجيحو غكزدجضدذشظ ابشفجلزذذذ هذشيجبغحخي يضغهتديطوح دثحخقولتدو فذكاكمعفذت زطعحابقكحك هكبخثثجضتش 
ثوخصكرعفثل حهيشامغنهت وزطعسغسعحر كخربظببقتق تظطحذثلكذو بحثحثبدتهث ككجنببظرهز اتفوسجذحضد يهسهندرتحم شمتفمنبكسع 
تجذخوبتعحن غيوجرذابهك شثكصنتذخحط طحفععيعتوث يهذغقتطشفف هاخشطلزحضذ جمظذححضكقث موطثعجفزنق رتتشخقتجلب ظقضسمذمحفح 
طاثضطعكجنج حدزيقشراشض ذظغهغجوجطغ تجبغشرقجيع تكظشمعثخدز سششاثظطنكش ظسذثختكجضش يحبخصفشغغض حعمكصححقضح دوغهكدفغتخ 
