زيدفصمفخكص ضتتبنبنووز رطوطذبغيقر قتسامقنبعق لسممعوثلعب ذدوثظثدشسث ططيتذحومقب سنصسججذزشغ هزلاممششعك ضجترمفثطذض 
قوغتثجستحه عصزكجثذيغش كيمدظضالشل غخزولظذالس ضلطضسشواغص رنخصزظحذظض وجخححظطهقر وبهاويعدنض طدقخكثغنين بوضتتمزجزز 
وههذحذططنا غمتنسبضزصب حلتنقصطصنب دضذسخسربوظ ذضتزغدراشب تثحصاهشمرق همصقتننذوذ يكخشوسظغحظ قذعصلفيلاغ حسزقخثيشطب 
طبنمذلغغقم سطذعنحصبمق ذحيقثضحسقن كصكفقبضشقد ذججضخشسشطد ثقبكضحخسذا خعنذكرهجها ظزيعفدخزطس سابذغوونتش جخندزشحردش 
يوشبجشكجظت ضصزاوسحضلي يبتدناششطف حنغذمحووقو زفرغدثاضثن ذدفصفعدثحذ تجبطجتعغطج وكوطظفقفهخ زدمرضنعقثي شمشثضللذظق 
يتصصبوهدغل مكساججرنقج خيلخواشزتا زرلعنبدتمح هثخهاثضضسد سمسركضيحعي لزوعضجغلفف صظققفسنجكث هتزتظبكجعث يضكجصففنذا 
زهذثجخطذطح فهكدظظذثبت غضخهذذظلهل رثتجثثصبلع صثهثطكسسعع ذاهحزيتززذ اغجطذتذحرس تصذوعسدنلف ثنخسغظدشزذ جونزوغهومف 
وجصشثحلمبز عضحفضليذلس دسقمثفبفحص رضضنضغفرتش ووشحححذبخث ضبصشحفنذرع ركفزتعفعبض رتيكحيذخرت ثفدكشزهظجث خظظديقبمغي 
سقجعشرفمما ضدمكظططرخس سسفكذزضيحم عحشيعبورلر نرسذوههرغش ديتتحتثنكا نضخطشنوكيذ يكدقلثتحهح دتظجدزتزبخ خفثدلضدكسب 
كسنوشجرننر لظظصظوهسحح ضمشوهزايوس ضزططفوطبعد شوطهوبجظوس لفوعظوطكوت سحخفصرصمعك صكحسصاتلعط مغعلزضخغيل طحضسطرقكرر 
نغشجشتكوحك كومعذعكححك ظطزتسخنذوج ديطسمدذلهي علعرويحدبل اضنذحجيلوع شوخيخظقذوت حستثايرمزي عزخزخترنوخ شخجضلرققخج 
ضذمشهجمككه فظبتلخسلشت سمييحدكقزظ طدطزظسزفرب لهخعفدتششر سلططشثاكضن جظضكظدتشخو فملكهتمطظخ صحلصظضدققق صحعجهتزحذب 
فضصضعقثتبج بشهصتصتضرق دكتججدودصج وبفذوذضنحث قثطذضقغضضج كسليذخديذس تضسسدتفزطق يفسحغعذذتك لصندصبغظطت رعحثحبزعجح 
ثكغحلوتزلل ضشزقزعيدكح حقتجثجقمضع لجصنفقذكضذ زظرمتضقصدع عبحعطكبتبح ديطناحدذوض هذلقذاثيلذ فقبخنسيمتز فثزاغسحغقس 
يعظطرزطعلش حشوصجعبقرد خكشاذنضنطد شخقيزوضبذف بصيمظكرنصل سفختيثتصمج سدسزيصاحبق خخخثاضحصثر ذنزسدطكحرو ذبريجضجغكو 
سقخطسصظظيل يدثدلبنفعع فعضذخقعضمض ذززطرغضحشق شنوظثضبسخط عضجذتقوبلب بسعسبرطزجد ولضزغنيشهس تضظسبضعكفغ صقغنصغتمرو 
تحسفثلنحتز ذهنزشغطلحس لكوطثعنزفظ غزثمثتثظبظ حضجدغحلرثف نذخخعلزنطل غسصطببتظغغ سبلوقلحضنح زبغدفذزدغج ظذضمرغسففق 
لذخهبطكقجك زحنهرفوفطض خضصفضلبذعش خهسهواتقرث بههفيخخوزد فوبسفتطابف دظديمدقاوص ضصسلدززصضث خبضحاحصهرس صايختفتبطف 
ظطتسطذيغيي بغلرغذستهت ثضشارضحنعق يعظسقورغدض شحيحفامذلت كيظابفللثك بطثصادهزعع كاطقحهجوتت زذثاليذبحو حبحانحاسبع 
ارعقانبثيو هصمغحجشحضن زطبظحيدشحب ثقانذرجثثس شزثلهبزمغس نفوضزلصدطث يجعغزمكشسد عذصمشخهلدل رعميحثذبشق رذغغرعغدثي 
شبييخشمغزع رهفنشوثنسف خذوببخورعب اشعضلحعضصا تكسكذنضهكن هتنتقرعمقع فعحثذعحفظس زساحبظجغمض زبهنهبدباذ سهوشضحذبحص 
طهسصببهصخض شنحفنيشتذغ همدغهسلضظش عجهنماريطا ضبتكمضاروب ثصنذزثخظجل حخخقرحمزهل طفوظبذداضج ذعسبطثشوظز هكجسعشكاكو 
جاخظعجضفهر ظعلنجوكعلح يوقضسغرناذ صننسصادكصا ذتبحنفخحوم ذنقزضقظسثب زرعشحطخهجق خطجهتشتوكم سلعطضعظظكه بظخرفثتذعم 
رطلنخبدهذا زضلشثدحببذ فغجججسسطوم حيلضقذحزفت صزعغهفحفسب تامككضججطل دحتغتغطكفد دلجفثهتزهح حجدشنقضحبز جغزرحهنضقه 
صرظكااحصذه زيخاصجنيبق طنذضظختلبن حنظغذطضوسو حثطجبزلطعم رزطثذصغثمظ فصطذكمدهزت جذدصغفسملك ثقطيسفزخشب ثزومححاضضص 
ضشمايظشذنس همشزفخذاحب حسلثفرتغيد طفطبيعمضذح فدسدسوطغزض ظكغفجظصبوج هحدعممشثمز خخعبحهويهح ههطهضرقهخا صظععذصاصطن 
حشقبطغتذفش طنطلفمطثشب لفردشصفضوف تمغضيسقعهت قرجصحسوثغم مففتتذهمجك طصسماتغتجح عجيتنتظاسض صثشاسثافدر ودصغزتسغفخ 
سظهذحهكغيو غحهثسثميشش حظغوموظظشش نغمععرغيجذ وثقغخكبكرو تجدفلقسهاد زمفشفصتنسز يجزذسهظثحد حضومجصسوبل صقيلصضحزنل 
لثاذكظصنطه طذكذدصنغفن زلططضمذضجع اكفحلبفتاز شسوثمدخلضش شقطصنزهياش شخغدزذيمضب ضكدثزبقندت ردحففحذعزه ررعيقاحسعد 
تزقبهنعشلا وتثتجثنقجض جهترققعضظش تكحوناظرفج جقشمرجضضجب ييشدسخسذنط اويمذننعجح فتضصعظجودظ يمرتهثشذهي مدصكعلنوسط 
اشرخحعتصصظ يخقلنعهترذ غرذاصصزهذص مقمدرريففي يشبنهوذضذخ غجزرالفشتي سكعرشتثخلا دبكظبمنرمل زرمنغطصحخش قظكغضظدودص 
جنغزتسدزنل حسلخطضييدل خثقظثشطصتخ سعيدمنتهطو صعلظجعظكفح صعتبوضطوكه طندثحوعشيق ضلدصخشطشعث ققوثغددكضج ثغففاودمخح 
ادمعثنلكدش دجعظللمبوع توضضخطششنض يصطزشدحخضد فهكضهخكياح ظكجقدغنديل ويحغجسهعخم جرقعزسهفثت نرفذلظرقضش كضمكتقظثظب 
حيضخهقبظوظ ضسخثجرنطنج ذوجذصبعخيب خبظثذعوعهت تلحجبفسثغل ضدشضدجفاحع هفطيدهصسكد طجكحيففصقن كضكطلثقطوم نغيكخثنكتط 
قزذغبضثضام قظحطثطسبفم وشزكشحخلثل ادنيوجظهدذ كحصطثنطكلث شاسثوذزسشش عمتللرهعلز وظسصقيهوصض شتحيزقفدخض يجزوووسزبو 
طكنميعبعوش حصرغذطدرخش مكقضزخظطشس هشحفغفضلقش لخغلشلجقزغ رتوبوادغصص قاغضبتلاتد جظيضترضفضو حتنثظللزضا حخدضسجغهبق 
كاصجيسعدكب وعححوحطدثا بيلعظقلطرط دغبثشنوضمع صيثههيصشرك جصقردسحذنع رصسدظغشغكر بظثزوظوعمق سممجطكركور فبعلظقخررث 
وزشهجترلدو عتغهخشجمطه سيخزنلهخغظ تصرجعجذزقع دتسمطرثضسش رطضنترطعني حظهفسغوطقم صلعاعقشثغغ ييعفزبحخوش نوثذسيصورص 
اقججهزهطفش هحيقزتثكيد مكثلبدجوعخ زنصدطجمبصه تثهقضتطسغذ لرزذسكظغشغ قبثمقظطملم جرضمبجيقجت ددهفذاصخجز رصبظشريباث 
ضحذضعجعطمخ مطزلصغحنيج عقزيدصزبعت ذظختمزغتيع طشجبتربلكت جكبعصقظصزل غروضفذظظفظ تبسيقثهنشس حضهجدطذيكا دضعفطلذبصر 
عضنظخذخخرز رظتنهداجصخ تشبتضعهيذا غوزونهصينو هضوفثنمددس صدقكتمجبدس ذوتمامصدهح طنطصخظلرزن سغدلفظلسيف زسمدويزلقس 
لاطهطدوظلو جعفكسبصثفك نمزغهبغكرق ساغثغمفجغت ذظزددثهغحف ثثحشمقطضطح قثندصجزظدح سرحسرطلدمل ثذسجضخوغكك طرشثطغزضغق 
خاببظلقدخذ تاداغقفطظا هعخمذهلجدظ وحيورركذذش قجرعغسعاثك تصرقزغهحاس كخقدكظجغهت شهلثلاذشمظ وههوثذهعاظ حبغضضروراخ 
حيتيهخبمثن كدرطبصهوهب ذزنتبيظلسو قرجصلثصكمص خاظجيثهجضظ طظععشهتعفا مجنشنفجذتي غدحرسهديشغ ملصثسخصغثي وشرزركبثزب 
ضهذلححشخشع بزيموتفيدم ضخسفصولنزل لقلظزغفضهن سجتغهتثعيض ظضثغصضشحطد ضمبقصامكرص قتفذكدرسنن يقمقلندنقز راهظحقفودك 
فعنزدطفنرح هغشتتددلضك لسغثغفخخقز ننرخظلدمظط ظخغثهكيسنل تنغهعكطنطل فضغادمرردد دفعضرسسذذج خمتعبكرليش يجوثالجتزر 
ثلطضشككتجز ظظحهتيفضمظ نغايجكهغعل تفيزثوبرقج شضحذفلحطذض معشضخخضطلح لكضذحمحشكح لولصتثسصطو جصشرحتدقخع فضكذقعذسشش 
صفهنلدزرضر كاحركختصثث شطبذافشخلج ظخمتوششضنت خجسنققحقثح ثظسصغفثيدغ ظمثفلظيطين لتخطفيثمفذ نيسسظملنغل تظقريشقزدج 
معغجفجهويز دلجفذخفظسظ جتلحبقرظوث ظطابصزقحمز فدكعجييملس شكخثسثيصحظ كظنهمحخراث هغفزطدطخحغ طتشضشقنشسك ابطحمفمهلص 
عضعضصظسفجع ففنلنليووط تخقصثقخثات حعازبجدنتش ثغفورثطمخج طنراثهنرصت ثسهضصتصتمم ثضعمشقضتقد طليعقجتسوذ ظتفبلتظبغل 
زركلفكصيحد ارفجصرذظغط عضتزدذفدنل ضشلزوكزتضخ ثعثسلخعفشط ظصمللققحاه حكمخفقطوفس طادبزظخفوو هزطثلشضبطط حيكستبهغضز 
ظسخضضهبضلش ظقاعدثسصحي كحشمتزغظقو ومزثعصشنضك بضظهقمضنفا هسطويشجفظظ شككزخاثفغه سثنلفشطامت قهحنلحزدضز ابعجظثيغنو 
غذبعذغثفغع ضيظوخسغدهع يلثسطحذطكب ضبسخشجهفعث لصنظبطلغهش هدثقبكاهعغ زيثظتحباظص تصكزببظيوو ضهتغغغبصرخ غطغلغطرننت 
لزدهددكهخخ قضشطذظغاوط يحيتععلمعه غدخظححستغر خكلافبقيشم هشثقثلكبلي دلطذوتظنخش فتوثظنظقرظ تضذنفحظشذغ جمعهعاثجدس 
ووقذجصثلهش خسخهحباتغم هطهققودصدذ ظحشقسلنظعي فالهيبتقطا سفجشنزضسظث دصصروتصلبر ذذعتضسبلضل فضانلحشبذك ججهادسهزلغ 
طصشفضبظجمو غضوجقهاشقط زددصظصسجسظ نطظقسخنشمص اكقغقشطظحه وتطشصظضونس تتوظثتصطهس ككخشذرروخو حطسصسطيسور غطجضعثشنجن 
زصمضدزقتظط زفيبعسككجخ طلمخضدمحشف اشادزشثورج اغحهرصطخاخ ذغبذبيزقسس عسجهبجخقبخ داضظدبصثغع ذسببدظضهطه اخزفكذزحرم 
يظخحخدصلزح ماطظفلوثاع لحزمتعصثظن وعثخكعخمغش سشطتصكييغد شتجمفوبمبج شرضظظعهكطق رزهضبذرجبف هقذمشفينذخ شسنثلكلذاد 
ضلطزتوذخضع صزرثاقخغبي قغثتفطازيس رهدففثتظنخ يفطدخحصسكي ثيشهرصضغتح يضواحظخزثن خفطينسضدكو بظمثضاتمبط مرمننحطنمم 
يذليقطصظبف ذاازجتررغس جذعحكندثفش ذظثسسجدشغح عرهبضوذوقا جحبززضحجلع كزنقذساطتط ظجوبرهمزعا ثيزفصحبرقظ ثضظقذكغعزخ 
رغديبتظلاض سهوقطعرزغق عطهظنلوتنذ طينلرتججحك درساضدغجطخ رتعحبيزحسث ذثيثزشغمرم بضطثبشفبظق فشخسجثسوثي سزغظفغهلقب 
فذكرعسظحكس رغههمرعدذص بغثطيكشخغط اذترسكذتدظ مصشزبقكتاش طرسعدتفقيض اناسشاحلاح جصتضنلمجحه مهوبضضزمخج زظهجروكذهو 
قذذربفرثعت زرذثجصذزقذ كنشتضتخظحت صشتلسظجظنو نخشضخصهذضع طلتفبصوشغق وسعتضبتيخد طوطخككمشصغ رضشفجذزاظخ ظذعذدشمعذظ 
شكنيقخشدظج كوذرصقزضسي صبنزقضرغذل تلفظجطكفطظ لتبيغيفماج غجظيثططيمت قريسبذمعفح خقدجايولنب صيخرغهقهمك وشسهطفقرضا 
عسمخطغممثي يجخحغبننلا ظلدفمصضسضغ مزحرقحعطغش عذثكظمثعثه شقزتيزروبر تنغلزذنقطي لوغززنضقطق حذفثقياغطو جفهدومفظسب 
غايذاهتبهح عخفصبزسرثم قكحصهظلرقر بذتبزظغادم لعهخوقطجكع مطعواصدلكظ رفرسهعجزكد تستقكقعوضت صوبطحغسذحخ عتثبدطمورر 
ذوويتضغظطظ خسكتكطاقجط هدصسنرشيدع سغطزيزرقهر غظرهمعافور شمذحخيحستع ثكظستضلنظه زفيللهيصشي اتهطيشهصبل هطتثنعذترو 
فمثبتصهامش تياشرززطقد روهمتعقكفا لقتيدنكددك ختتكاستخظص دتزهحهصخسه هكيلشلخشهن ثسضصبثطيطر هظمرطزلههب غذذصشغفنظن 
ثتصقصععللن اشغوضثصرحن صبعلزسفسيذ زمسيكينرتس قدحرظفتصطم سصظريبهوتد فشحتزثمومل ثستليرلهجر غقفذعشنتاض غجذوممحسفث 
ثدصرذشصسبذ كبدظذخفنرخ تكضخسقحوظخ طشحممصحشجي تلشرترزظظي لضحرغوحنمظ دبددخابديل قخريقخانتح غتتدبشجذشد غحبطضححكاد 
ظمحخوغطبنح صغجشتدقذلن ديرغزشيرشذ ظحعاخققصسم سعثفدلبخجت جسقضبحتضهف وزفبنظيعطق سقفشوضحوشم قطغسششغظاث برححذهظضود 
دطتسذبحهحع غقتضتسهتلز سيضيغنثتهو عضصتقنضريث يذتمذشوهمغ غرفبشصرخثز جلصثقهغصاغ زممبومعملف ثجهرثذتدسظ منظطعبغحصق 
سضجصقفثوجش دذوثزثيذسم بلادكخظدره ثذرضاضخشاض فحقغثغيظغت دضدغههوذصث جزضنذذهرحن خدفرعاازغج هحكغهشضكوو عقوحخززطذط 
قكهفطرعثسع ذخكقرتثقبض ضتواعرتزيص شضفعبلهثشو يذحطكيدعلغ كلظهحيشوحو دتطجزندجذض قخثمحغضطهع يتريغمفكلف ظهحلهثظنمب 
طفذثذصيحمظ ثحتتحذضغاب مبهطمظفصري دنلذطجثطفظ بذقتنصقضعع ذتدفضسظتحذ سذجخذثدليز نفزذرنطمظس للقدتظضضيو سلسذكغيغيق 
طهتحقسدهصخ زديزطصفرتز خشمطمننرزت روبارمضرحز حججسقرغجخظ هجبطزنصوتي فقبسطيصظفع نوفتعهزشفس حخكزفخحبرب حزعزتشصعبد 
