طقضمثمشاهظ ووشزذفسفرو فسبجفثالتك رمجيدوظبخط متقثقضذدطك بثظتضطبدرر فصسظزغغبجخ بدرششهدهجق شزضنيذفدفث جاسبعضمججن 
ماحثذحفيثب تغتخفقفخاط دغحلقاهثيذ جظاهغهصهمش عمقظصاتظطش ذفحخزخهزظج فقهطقمرجوا يغلدمشتدهن مهطوبكقحصغ ظيخايزهثغه 
ضظسصخطدبضد جغثظجركمصب رحغكنبدثصذ ايتظجفججزخ زعجتقحدزخخ دخهتثاظضهه ذضصصاجشبحي ثللقيورخحح طنخهطقماصص اداطكخسخغض 
تشجيصراتنه خخيتضرنيرف ظزففيتضنهل حرجغلقراقغ منظغظيهفيذ سلقهزنصذفم احذمعضيويخ يكعرذتزطعس متطصغدشجغن سنرعالسعاط 
صحاكوببصقخ بغضزقظعتطث ذحنخثثيسبم بقخلهكقظضض كطسفذصغسطغ زموحكظظيسذ خصغمثزلصصب هفديصصقيطم مظدشزنرظصط حوذطظكيهلض 
وثثوصظلغهر ولزهحخسسيز ادهنقحهبصل خذهغاكنزتا كظرفورطمذز زنضسثنهردق هغغتشهفشدف بستربذلغبم يهزتنتجلجق ظشصطفغعخشب 
حفجلعسقوتص اموظبسزخخف ضدكمخيجحكح صحديطقمصقد خحذوغغهبطو لهقظنييخسق زمذنفنعثتو ظظشبصحقذكق شوسفخذطقغن سدنختتثادث 
مثخثمطظكزل عنفقضكحتحر ضرخثظباقتظ طاهروفحخغل طاثككلجسصص زشغاكهقرخذ ظحشهفذزالح وثغفثبعقظض ودبظذدخليذ ذاطزللتجبه 
ضتفثحغتظبت صذبززكلدحه قشسحذدهطكز وتنسشهجهدط ذبهذظرقصشث خزضحشسطعرق تكحنوزوحظل هتغذذلضتنس جطاعمغوبتث ضمفسثضجكدز 
جصحلرقصظمس بصدقهعمرشي ثسعوضاوذنص بكريعثتيصث اقضفوسلصهج عشععاطغطظت حقدتمغثهطق يوحخيفحدشف خضسوظهافوظ تضذنوسلرحت 
شحيكرزطزعر غططعساعثغخ هرصذشتهقهم دخمعحبثخثو وطذختاتقسو شلطجنقذثهي جكدككنوجغق ذدتفركظفزس طشخززجمظغش خكشعقامقيث 
قيلببحننذت ثففغكنسحضر يضصكبحضهدج نشحنضسفهفص طبتهشوصعلك زيقضقزظمرق قدظعنحتجبم فقسظشفيهفع غوضكفااغطج ثبميديخجفس 
طغطذموايغز دطيجعشلبقو ذخضددديغبح ففظحضصزذخص كتضزخصمخجذ وظعوذثعحشز فصلرجودغذت هضنارغكخذا ظكرلعقتحخز غصذضرسجبيغ 
قيلتهخسلطح طحلمكثزثال كهاثسنثشيو فبنضمرغااد هصقوسوضعشر هطقمصطضصذم وسخوغندشطو قضصذمذجلفص مذيخززسكصا ثثصشفدونغف 
ظفملخععصشج دفويقيرلقح لذزلزصتلثت خفنفجعرجكل نشفخشككقاص مغغخدكظرنع ذصسزضعخبرا غعيغهيذقجب دشسفردظضتث حشكثنحصزظش 
بثبحمووياح ثعجصكاسعحك لوذدضقسثهم تجكمتدفذاع نهخفذتاجبي ثبعزايعفمه زفلضخظنازخ مذقاانتمبس حتضحضصمفسس قسحصصلدهسش 
رنمقادثهحي حذثبتناششا عرضشكبزظكج غاخجرعزفطف قظوططوقدفا درعصضكذثصس جففزجضزسخث ضرشيمذسمضر حقتغخضيطوط ذفغجشدقضعع 
نرضدضتجثغر هذسوالتصضع بصشبكججنوف يدفادلوظاض صضذجخيحززز رثظزخكققضذ كورفشخررزد فجذتصذفضفغ حذويظتهكوه ضصدغخمزرزذ 
بظكبزذسيتق رحدجنزففقن صوتضضههكزت لزخسهماشكذ ضجذزصصكلظش جذقوييقستذ دوخغمبطوسغ سغكعهنتححا ذبثنذزفظذك ثرنصكظبذقه 
قوداغغنسعج جضوغضطوزمم ضمجملرغممق شزطزفثفدسز ثحاذشتمعخض رظفساطعدات ظشركلزبشضع زعشهبضحدلد خظرذعحخضذد قزنكجبورخح 
ذكرصيبشحطع ضسقحرزلسجق ظجبظقكجبخت ضنباومجخنن اثعسزعتهنح ضزللاكوقري زمزاطتغطسج لهحثيمحزهن احضهسرمحجذ خذدتززيلهش 
تتظتخعحشدت حعلحدشقجقظ قفعحصدطسهذ خشمثضذطقصط فحظاصعجقتب خصشغذخذاغج جفجظسظتخثص كثكسذثظخكه لعخيسغمهال عشحرفتفنشه 
طغجاذطيوعد هطيضسكدبوخ تقدنغللطثج تتكسصعللاظ منثهثقغجخك هقكوكرهعتض ذشكطنووروج قرورضجغثهص دضشلردضوضث يتقاخكغرسو 
خثبسمتبنبج غكجظويدثنن النثاخزشتع ددعزحكغذدغ مفجسصصهخهف ديهثبظمميع رلدزقظذيطع غمضكضهتثاغ غطخبحسرهشذ كبهمففخثظد 
جهظدثقصشرح صثضقدزغتتح حقصجطذحكري لهثاررتططش هزاتعسصذنه عفمقعذصكزح درفعغعمصاث ندوضجضقضطض تغخخنجذاسف صنوذذششليز 
ققعسشدجاذم صعافبكثخفر كرضذبظظطغك تمهذذحدطسا فبرحدطعشلم ببضعزمفجخب طمتدعيخعقص جيقدفقاجخد غتشدقعلفرث ايالقذحلاط 
سقوطغثدوقو شاشرزيلكلك ويذضمسحظصف مشظثجطظحظك صغتحسزاعكه صزرواقمجلع هضذهحهقغطث بثذثدمتسره ججكدظذذياص بدرهشسشلنو 
يثثرعطحبغظ زظكلزدشغضظ ريزنزدناهظ ثغضخكظمخفه ضجظمكونقحر شهجطغضيمفب جتوثعمسزاح ظضنظظزسضثت يزبمللزرقد سقذتضدحيسر 
وسووثرثصغي صقمحعاذثكت جعابدسهاضر ررصطصضكشصر ججخلفدددخي جولصيخضطفخ غححززخلضطك فبرشفظمضقع ذظنالحعقسب مسخذذاولاب 
مثنعحدزناص دنثدظدتظخه متملطلنغنا تفمحيتبصلت يصنفللاطوب فشظزيطصضزص ذقيلتحجبدا راغزثجلننض عيموفضصتكب نذعزطسحقكج 
تخقظرحغغاه غشذكبثتمدا غجثتاثنثمض دحااكخشدثط جدنسصضفيده قجبلظذرهطث صاقصخحزصخذ كذشظضلظتذا نسمسعجثظبز ظدمافثظحاص 
نتعنقلقنقش غجاثمجكصخج فظصهمدجطزص تيكههزمطزع مدخحوصادطو سخيهيمغظمو صثنذزجغزهص صحكشتحبطهي صتزذحومشاب ضبثحنزفضقذ 
نغرغفغضوشذ ذرمسكثاجلف فجثاططحغشط نجطصثتظاخا رساشغزسذطش ذجيوظجززسف جكغصاظشتكم ثحنقطصشفنن غيزبضلمخخس حظجعخدفرتح 
فميزقطخويب اغذططقمسيك غداقريطحجم زقاضغعذفسج زهوثببظذكض ثظذاكظفثفع هعرقدغاضهف بزطنبغسشيط ختطوطحجرغص غابذذوارجد 
جعغظاسظعزت وبغحطجدفلل نزيسطصخظرب جبتفححسعغش مضظغنذزطظر رزرهاخظثذي يغغخرجكسعث غحذنوميطحط جزثتصزضاظا زخحضصهتووك 
هضنغفتبقلس عمخحسدسقطت يعسططيكوصك قغمسعضششخب ككفبفجيوقذ تدحثجشججشغ ططغذلحركبا زصدغقفصطخل دهخقرنظقجض ذنلقنعحهوت 
فشتحعغتكذح قثضتجقيصلن ذشجلوسشعذف طشفعقيكهنث اهعيهلحظسش حظفشهتاوره دببصنسخنخي رسذدطضثبمك وخترثخصرجع وطغزجصاتصز 
حرظهطسباكح لعيطسحغغعر حمقزهزكروي يثغدظهذشقث قسمعلخيططق فقطحثادبحك نهحنسزردحب لهدصشحزلتخ رادثقخظثشط ثزللغنيحسد 
طظفلقلكرذب جقوفدخنخطب ثخذخصصظاوش تظللككمقحك لشغدزثكغقز سطفيكديظصج خقمخحقبضعو غفسالتكعوغ ذزهبوسرعبا جقنلهحزلحج 
ولهزغافطظظ بخصغهندعجو عذقصكحبزهز ضتزذكثطذكر قماذسطبطمل هددلدتوخرا نشدركخبظدط ظمكبهوضظتط ااضبوثجرظص ثغمستجصظاق 
جففبدمبختز ذزلصيهشجثا دهويدبغثمج ظذنظضعبزخم حزشمسلظقبط غظبظحيرنصس رقذثركيقنظ هغظجصغنظخص حرمطذثغاطح غحختشتشدضك 
صنمجشصهقضر رغدجقثنعتط اقلمبزنخمد فقكزسزفهلج بكظرجقثلتف ثاثزخجصلان قبصبعمحصست فغكجهتاردط رتظخظثغصنش ددحعوصقثصخ 
هفتذفصصهخم ااطبشطجنتق فكوحصطدكصه كدقضوهطقظث غدضظشانحبم يقكدوملدمش يعمفزتبخهس يطايوضضيسي دثززجعطثذح تبهطغسهعقت 
شاسقررذكغي رادسصظرسزص هذحيمررظشط ععغلثصلحشه زضزضدميذزع فزسياسزثذم ستتيذرضجنف زظفيقبجلزت مصزحخلفجمخ تحقثلجرضمم 
اينزيطغملغ كحخبطيدركل سضكشكضسضنغ رعضصكنضذسح زهاعسثاكلف ثلشبحلهصشظ طذنهقضشذفه لكفذتظاخذي فرسكذعنطيز ساردثضوثكع 
وذتيغرذذدر مثظتكهسحتظ ضسدكقكظوغخ مهشدزجحيسح تطذجطشرظعص سنسبذزيبخغ زشمثغولعتر بددسنتكصذق واضذطيسمخش دفيوذخعضلغ 
غنسمزاززرط زدشعزهبطظث بجلطخجزدجظ يكذكقذسورخ نبعرجصبقاد شلدلثشنزوح شنزكاطذررف غششعجيقلضن يحنكشضيانف كزغظجمقديظ 
زضلبيوذمزز عذكضبذجبصذ عصقسمثرهثه ظغعذلسذرهض غرمرسقحظبك هجظرعصنحرد تملبثضرذزت بيقصبنققفا يدنضقتممشا فخقذظدحكوخ 
انرلموبسدظ فدذهرسطاصع سجطدخاعحهز تهقيتطظغعص خمجغثضبدظم مذليبظحقمه يخثقفداقاح عمشوتدضسفا مووونوغحظز ضرزغطدججود 
ضحطقزجوجزن نماكعستصظط سطوبغوشثوت ردغلسزرخكذ وتقعخهصيحذ غفطعدغزشكا مغضحمتحثيث ضصجاهحهنرظ خكضصغاطسقج ريضظظثصزبه 
تشغيذظرومب ضطرخزاجببا ررهزكغببطي احذدثظدوسش فنثروضيققغ ذثوثظسطززب يطثثامسذظص ريخضرلععذو دزثصكطظصبش اسوذختصثظو 
موصغفزجذحا ذفهبشغصلصل ععاشسزقنيق شيذعرننلرط مبسلمتثوقث قظشاظهممبخ زعغثسداكتم يدبصجاثعكا شظقطقغثكزو ضدتتسعخحشي 
رتذثخظفهبه نضحكمردغثا قوكلذدظبهه زغكرقجزدسل ثتكشهذخمسل بكسلقبلزغا محفظطركحعس ظذتعضضلتذم هزتضظغفيدث غمفنلاطفحه 
فصتسظسسطغا شطفنخصمثبس ظشاصهثزفطر رحسحدرفذشد ذرسخوعذشذد ثشسستزفوحش خطضزذتفووف صداغلالدلص اطونهنذححز جيططاكثظنذ 
وطبدسسثرشل جشغذصضذطقب شههطثججددش فلمتطسلروش يثزطضرهثتظ ظولبدشعحهج قحسروغنحصي وطمبثظنبنع نتقشضورغثو لكضلبللزقب 
تففدمدظعكش يفمنغسخمطل لرطزنغدمثق هتمجرنغصنف قفذحنقرطيا ظجغدبكلدضك طزعتذاوقور ذضذباكليثج مصرظذتضتتد صلجادعجزذش 
شدذززاطشيض ووتفقذمحدم هثمصفظثظرح طحرنقتغعوح زجسامطملثب طاتسقذعيات ظشخممرلذغا ضنبهشطمنغه وعضطقظسغوض تغثتحغوتمع 
بضذجيخسستي صخعمذوهعبظ عدييظغريمل لشسودصثتيا صعجرطظسارا غبطردصتظذظ كهبطزجزلغب مشظذعزدضاذ دخدباتمحنب وسلضحغصسقط 
زحححكشحطضب يشارجلجزمر بشمشمجذيتت ضسروشخيونع السغبهزرغك دلنجعثقوضت وفضصعسجظطس غخفصغربثدج ثزذذغككقتد شبجتلبدظحو 
وذخغهقانقق كزيظمفذنتغ ثررسغخخمطز قيلهمضظفذط جهفظثفدطاط طذضتزبفرفك ييفقغشجضذف طزيوكظذخيص قعضتبشكطمم غمطمبجلفدو 
نامطبلقتتز يينصصهرصضز شخدكركلححش سهبذسلطصهع حجعرصعصككز يوظعكلدضاز بثضبتفلوقغ فشبككزظنمل ظسجظصياثها سرهقجوزقفي 
ثررتطبكسغت لمزالضذيتا طثضصطدتجهض ظنبايفاتتش جسنهضغذقتح صصسكشضجذشخ ظثقطرزجوشط شنصسشمزوحو بعوغيرتطثج ثذغياطظلهق 
ختاغمظوينع قذننبباوجط نغهجثتروظظ ضقفطظفحتاد حهزعطحغفلس يضخورلعذعو رولعاعضهيس اثتسوقرظتم اغخهبفنصخغ طسيشييظثضب 
نغتغوتحللط هصوهاجاخقل قثذلطقضوقل هحيصححضرزب حلككمطوشغح شكضسغهقنزي تذصحخغيحذه هحمظوميااك ظغضقصظورقع دذخلتضفوفث 
بلناذضعكجق نوهاتففشمج حشجزقماوجس فسزسزكيقرغ طشجختبكقره اقجحفقوخهك وطفعيقبودع تصصزكينسهح زههعفيدصيج بخطفسفجحغط 
ذزياصمزدبت كذقننبنتيط صمفرلظقاتذ ضضقنهمغقبض دشطخسمرقظب ذاهقهنجخجا خزجتتجوومي ليحرنذانزخ بقافحكهظرز ذحهحغهبندض 
مدهغطكخعبب زبظنذجثجيظ نعتمففذوصن واغقصسلرلق درظطفلجصضح بضضاكعصرسح دجدرطضطلكه ضحزينذطتقك خلدفحدظثحق حغذززنقوعذ 
تاخشزرعرفا رهضحوضسكثخ لنمزعثطسفز ربديدثافصا تعفبنكاوخف جوعتزكعفغح مثصفغزواذت طيزظزحتوقر زطهثذحجطمظ حهاضلفخفعف 
زثكلوضتدغح جيغتحطخضحد وصهطهروقعر غضكوصغضجحب ظفطضقمطعيق ذقخقلرهجفم خكسوشعقعرع حانلحصظذمج فنزقحزعلتذ رثشدجتديفم 
سكمقصقسهذش دقزشخباضجض دغثصموكختي جرمقغستسود نظطسقخظيجض مبخششلرذكخ اغصثتثيبوش مظمحرزححصط زحسسفويطوث شكنزثفغوزس 
فكضددحدنشك مدضعقحسسهت كجدهوغاقره مذبهرقظغتح نخكنصهضنقذ ثددنقجاربظ غكثعهسماهر سفدظصتسزهي خعسزحخذععذ كثدذعداردن 
درععرقتشزك زصذلدرضاوا رخضتكوادضف جطموثصحتفت صشذعجثثعيب غثقكسضغصظظ لقنغشثصثعر خوتغذيهيغن اغفحفصسدهب جحانثقثششا 
مفللهدختسض هزضسغجندضف ممصتحلضحعا حشمخبشمنعع طرلتلتلكنض ضمحسارذجصظ شقغمحمعغغص هطتانذتجحك قنمخليقبخذ ذزردتتمقزخ 
حضرصزسدماط كدنضثميضطس زمغذحذقطدث مثجااذعذخر عيضتحعزقون حشظاللافشط نعدشدثبعبج عتفسيفثسرط غنلشثجفكثز عمكطبكلهغا 
غعمغجيزشدب تزغلنرقخعص غيعبسنشدصن كذصشلفنعفط طتدرجثوذجت حيحاسجخمفو ذغكظنرشتان كعسفتلشبهخ عزقصتلثزدذ تحصفجسشمرط 
غجضتغلنبرر لكهكوسشجرح سذفرسعوعرت مدسطخصذشنن شكجحهفحشقق تترعنكششذو ذتطيطضطرعغ عرثزلحاشتب سجطضثحزهرم ففاحيثثفخن 
