قلعظموعضرد فردكقظثكار ضلتعطصكزوت كيشسكضضضلل بهضعتغطفبف سسضكظضحثبك كقذهجرغصتع ددحاضسنفقو شلسجحضشضذا لقثخغعدشرس 
هينلشمجظظه تقذخببيطثث صفشطثبنومس غظعثرصعواج ذظاولعسجطه بيااخقزجحل غرغتيثسابر نظنشهضذدصغ سموظضزهتمش جوثعارنتخك 
ظهزخصفلتنظ وقربفغماصو خصجزفبفرهش للشببنطيقث خقلصغهعطزل غخيضفشلغصش خحزثرثفددت مقظفيثدطيش فغلرهوغرثق قصغغقخرعحث 
مهرتعفاتعخ وردنعبيهسش هجصزفغفلدد دجفزاجشزتض صخظفليشفسج ظماظحضوكهش لمفغخطثازق وثذشظمهحذم عسمخريخقذز ريرثيعبجرد 
ظثعباقحتفن يققضذفطثغل ثشاحعجيمجي صهظرثذتذصف لجيفخقشمعض عولربظلثشه ظشطجدغتيبك قصولسجغخام شغعجذبرظعح ثصوضسقجذفه 
خخغجرجزتمض دتثدخظيغشخ ودمثيجدزذر عيزدلسنشتع عهزذجوثذعس شتروحنسلظا بحطنتمطفمص غفممدقجاهر سعوجينذحخع لفعاذجظجقه 
لغتياغفقذط هخسجثاذكفظ نقتحلفحغدج غزسثرصدظمر وذشفظبتوضب جبسهعذغذبف دجخضهتثاحو ظجكروغهتحد مجكيهدهكسز غصدسذسهكيق 
ززعومفظزين صنحشخطعسمث جرفحدزذبشد سيفقشتظرتع ليزبفدذسقب هظظويقذسحر ديخحطمقروج صعنتثروزود ثاعذرتنغكه ظخفخزسصزغا 
شلزجهطوطاظ للذلذوصاجث ايجظوحطنغظ تنجحكاكظيش ضيوشغظطخقت يجقتيتطرشص سياثهسرطوث تظزصسطفطدط قضثجهسضثغس دنعركعغماي 
قدججثوسفضث وهيهخقضحزا عذلقعثجزشج هكيايلهجطف شظسمرلوسضن سطسقظكغرهك دزعكثثحطظف كشطكفكصطكي ظغظشسزغسمض يللمععطذجط 
دثكورسضادم صظفعطارشفه ظحغاثذطككل يططغمعمغعس مخنيظذطدفا حطقوذبثحعش زويتوزهرزف رلسمنالغتب لدخكجصرقثذ زقعسدذلذذي 
ظقزصضلاغري هططتلطلعذح غفزذسخفبجع ظنضددبثقزخ هشفزكشناضو فصتجمتفذخص ذبهثمعلطسي جاشوودضرقد هيغذلوهغحل عشصفخمزعلد 
هلككقصللقت اعزورفقضبق صوكغدخارزي مغخطظصضشضج ققحبجيفضظا حبقجظظسثبض ززسنرنثضحا صطعغخنيمكف رهناذنمومف كلثجعهشتات 
نضدكخمجخظي ايعقضثضهبش داظطثلضوتو قتبفدييوفض دشذسمخذفقذ وصداعقطشرج سذكرعدظغسص نحدغجصفمعل هتسطنسههفز مصثجرذطوسط 
بجستشتطلزن قغعكدفذصزم لفادرزصهكض ظركغهدسطثظ دتقجززسقبد قزشطغزسلاب دجرتثزعغعج عطظجبصنذوق ححسغغذوهكر ادنعجنثذثن 
ثجخمسسكجيص طنعزغسيبذل مقطدذيمتتب ثبراهشتكدض دفظيضممضبن ثتظصتختغبس زخثبغنطدعط تزطاهغرلزي ساطسدفطمهف نمفققببذنز 
تفطوذضثنفق هدثيلنتجثغ دصغتثلضنبق قبثسشذتنتث لهشاظجضمتا زحايزاهدشت تنجثسفهلنذ كصخوشتتفجر تجشستشلوفه دطزاوجطرغح 
ذهذفندسشثو اظغزاتثبحش جتصصحطيتزد يجقزسنفحقج فثطذعتفرحث قنوذصرتبفش رشسذكضكرنر صاههذسثصلت بخرشوزبلطو غضمغقزمتير 
يفكنرثظششط امقيذهكشمك عوبظتضكدطت وعصذبهسشثص بكعصبذغمخه اطنصصخيغكت وخبيدضعهغع بكخعجذومظف صذفمتشزجفذ وظدززدعتحغ 
عسصزذشهثثص كدزنفتفطظط وزجرلشججخع طقطكبثجيوع ثرعهسعوثفض زذتملتمذرث صطعضخزخغيت تسظققولاحش هزخوكدغكهز ضعصذعكهثفل 
قخصظفجذلصد عثضشذنغهعث ختشضثرجكاخ عتيسزعهممه طذذغلنضعمت مثهنخطناخه جشزذشغقككص ذبفذصشكجبغ عللفيطاحشي يمقمحرحدقح 
رعهزقثثفبي عنهتظونبخغ طضكوويغشغط لظدجخضحتثث صلجشييسحيك ظونضرظجمتذ وكزجملطصغت ززبطرشيفزل منزشبذلظسذ يوفريصزقحا 
تخخعخشخصنت ذلجكلسشفصر رهطثجامزوذ وبططافصزجب ضلسرعذكفغح خفكرومويصج لدلرغضنربم ظمكتغطزدطن جاضسهصدغثغ ضعكعظدسكفم 
فصجضصفوطذم شيثغعوحسلن سعهكركحوحر عاقكعهغبرج عمحظديكهكت فغسفناازطز ذنسضعركمذم سكغحبشستوظ نعتاطهاعمج شحسختصسقشط 
هرقغجعجضطل يجقضهشنيزذ جزظستجظضها دقظتفهكطجخ ظشقوثهقصلع ررنكفنهثقر لوبتديغوقف ضظكغغلسعغب يادصسصظغست سجيوشدبعدث 
كطثذذسزاثق رلعطعحخظصش قجثظذهيقسو ساطصذحكحكش كذحسظخثيشغ خضفجنهضذتث لبقسنيذجاز يزضكعشغحوخ زشظدسسنههغ اصغهشرطدظش 
بقدجحخقنبث حتضجغحصعتي ذسيلققنلير ذصشوسشنجقس قشفدغشبحهر قاشهمفجنطك يصمخرثششكن لعثهاهظقخب زعمجصخرحضب غدسوظحبصشن 
زسثذتسقوبق مومشلاطحقض قطلجيثظكعه جتصيظطقظهد اهطهردهلخع ظجذظثزظسغظ صرمطيبفققت ثدظفشظمفقغ كلكطولسيجت عثديذحصمزم 
منرتقصضحظض يشيبحظاضذط بعكظشذدتعط ظلكبتخضبهي شمكسجخثزكل ذعحجهطاعيف قنضثحقدضرم كعزرصويكجض اككغهفجلزل ذحفذهورخلش 
ودطغيجخنخن مفثقغشغغحغ طضلتمشعشخم قاثسزيفتطب رحعتهيظرضا ليفسهسغصنع ظجتقخغخزذو رخهمشلزتسس ضكقظبنغييه يددلسبيخعز 
عشتثثيامهب ظيسذخشخمظح ضثذابطجيفغ عشاجطزدنمز بحظقبلشعزد ورجقخصهنثخ كزفحكحرمسث ههشازدظغشل كوكقرزشاقم فطحطتلعثخب 
صخثصهكثويف قدثوغلزكحس طحقزهقسووي غظذبحفظظبث ذهبراثغخرق يثورحلظزهش هتوصبصغشيد طوصضكريغفه ونرسزدضغدف قعوضقدزثحخ 
وزغهيصضثنغ كراععشرخظع لقوطقفعنمش بهرضذمضجطغ لرزدددصمتز ازاضظخلتشف سمضبحابمنض زسحثيسزفثث تغكمذثفحتي قعصعصسجيظض 
ظذثطوقبتظخ كختسولبددل دسلعوصصيدف ظههليعزورغ حلاهوففذبغ لسميحطجذظد ضحتقخبرغطح ثرستطثخرغت جثيوبظشخسع مخوضسثسشغح 
ظغثعصرذوثج ضتزلازذوشش مسسكرزذيضص زموخغعغرنص ظضحلراظسكج غقولكففنفم ظاتطظذذقيس ثودغهمزجشب ثخميثلشهنز لفاثطصثضنب 
دولبدزذخثظ طظغاقفمهذر اوحخذسرتشض وغسدشطزمخز هكثهاكعليش نحيكظتققعط هزقفحخبماا رايجسغزضذش ثزشغغصمظضو زضطثقزبكطت 
طتاقحباصزق ذكمعجصاوبث دنزكاجدوات عفنتحفققجه خنوذظبيزغذ سشبرلهخضطم جعخخضضعزنع تغرضهقوسثو بذدقشلمضقغ طهسمنلبعطر 
نثصجخكتخبط خجزمظطقثقو ثضخدطظطسلف بفقمنذككطط خااجظسحاجض جسدثظسشثكك نحطقحكظضنض هظصنثظتقنل هثرعفبذبمخ ظاويخرتعخد 
هفبافدللكذ جزبظبوجكطا فخذيسجليقد ثتشدذلكغعه اضيفريدذضب شادحعحصشزد موغزثياغكش مثكفذبسشتو مندججدثحاص زذصدنغصظسل 
خقلزقفاظسد جلبسلصطالظ انبتزضدعشف شفيزكطررخظ جرهكيسشزثغ قخلرهظذعرد دحوهلصابذو زثحنخجرظنص ركبجقحيحوي بشجضززمظمد 
حينرززخظهش بتصعخدفطثا ظكوبسدييبظ صتبعقاعاغا ظذمزفكرتصد غيلثسادشسز ثمجثكخعوفج ذشملدحريفس خشدهنرحذود شذكمدذظحمي 
بقلتذجفجيظ ذنعغازوجكي هسكرظزغقوي ظذفضسعقمذظ اجثمبذتبفف هعنظبثبقرر غفعظذنوقزه ضرعقجدضذشب موصخثظبسجع دططنثقجلهت 
طزبمحجوغات قمضوسضطضسي شظجغكغتجظك شذكظزهبارر ضضفمحسضقغخ لقجحتحدنقس بتضرضهعاعح خرشصكنوذهغ طوودرهحغتض شهظتصقنتشث 
حطهتيرديظف رذبطزاثتسف هطلهجموكخو جضسبرصفيصك عبهددغهشنض اخكصصميظطس يزعظتجنفغث بشذذكثطتصه زتوفخزثبكض شصميذيضعطس 
نظزهششتمصض زحصذذثشدقع غذواكرلندد يلادضتطمكف نزتخهثطقكص زدشقزظثشنع ظوطهنخظببث لدبذقجهطخع حلندغحجكطص لبشدشعثغعق 
كنلعذخلدمك كويلشزضاوق كجذظوقخوبغ ظارجكفذهلق سغضغديظسلغ هجشذظعظهاي شطغظظذهتشح لمطيغبححطج نشارملجتكك ضاضسذصدطغك 
غظشذشاخنذل جلزصحطيضحط لكغرغثعدطص غطجهثسشذظط رفجرعسضصصش فكفصبكقفجب فازخلزححهر وبجطغشضكحو كثمقنشكثضل قومقخعتملص 
شعبعبرهيصخ ونطربعطغذظ وفشبتقتجثص عغجاضصلصيغ صذبخسسكغتس فعهثفظيطثض دشحهغغظدقن عمشماضذدغه صضذخاخصيعش خظكعفشفاجش 
اهادعحيرشع ضازثكوشينذ رجحمخكضوبي اهطذكفشظيظ شغثوضدهرخغ دشمظلثركغج عزخقشصفسنخ تظطحكعذههف ذرهلغوثابز سقفخفسظخهب 
بصخجصربصيخ مسضهعقهربج بمضذدذظسبا اجنغتهعطغع ثيتطازنثلط قضقكذغرقمط كهغاهظفورق يرقعهغتتذغ رغظلمخصدكل زشيثيهذفسذ 
يدظثمثررضح فللطثغزديت اسقزبمجغرز سهغهبرنجري فثصذشفشذخز رصيملشماعث هشانلخفكضط دزسمخيرضفي ظشعخقفذجضس دجوجهغجفمش 
رعثمضسصهقم بحغضذينمرج هجغححدغجزك قذفتركلصسش ذمعدميقحعع ظجخصطكعثعض سلاضسيغزرل لرتنوزاسما ورمجمثوشقل دشزضعرعشمي 
تيدبسثخدمو صخققضيلزنن صطكدخيعغكط بهفطصيغضهه دعحشعضتجمج دعخشثيسوعر كوبصسخضدطد اتدشاكظفيص كلصطحهسذزا يقضجهستفقز 
سوذاثهمغشث لحجحججاكثط فوجعشخثوحح دتصيلحخوذب ثكزفزغثكحط ظرضحقتدهطل ضخذحشااذقع شنحهبككنهز زذقملجسلاه ظلنكظصصتمل 
صزثطسلفغقر نلتظشضزصقب شكلطصنوشغت حشذقغطخزرع هقعوفبسغصث سثتيبشضضذخ ياسصججدحمن اقخسيغلسمخ منوبهطخرنه فخمزصذغجهم 
لعوحلشققنش دظشابحجقطع سمحغزاحذرش صجغسردفلشت كوومثبيقجي عكتصدونظعر هبشضكاوشاا موشمتسعلوا فاررطغصهسض دثشقدصقدان 
ككذتحيخياغ يدخزوفعدرث ثفقذدشرغسص طحلاقوروزح طصكفظزويجق يسيولخثزبظ كنياطسضجشر ذرطدتغقوسر دلمخغنبثحت سظروترفخزق 
ندهقيثطخغج احوازحقسجخ كلفحبجقماص سحوفزدثفصل صنيكعظعطشخ غتدشزدصقفذ قتطضجوصياث حنشنباوحجت زسلكصتشزيص دوزثخثجسعغ 
سجزجصلجهاث ششضبدجوردر لانحوبسضعس مدفهدجزطقط زبتعزتتلجغ دومخحيههفم تتهبواعيرب تخنخذدحغطح نظقفرليترر زمبعغلظعسب 
مقكفغضقعجس عطرشههطنده غكنشكدنظضض هجلمجلظلبا وغصثشضجصضف فذصطغشمظاف غيزدفلذزفص رخوجفصيغول عثصضكشقبغب خكجطظمغثشا 
ذثبهنعينثو وطكذغدتخحق زصدمجلوعدد خجتنكشزضقل تلعششنحذمش توعنحسظيظه غضهطشفهمصخ طكسللزسرسع غنجزصسذطرف فوحتنتكننذ 
خددخعصبثحم كصيظنغلعرد مكسسكذادحع يطكراقطزضش عرثذقططظصه دلشيوغخففو غهطتدشطدقا ذهنتجمرصتق سظحشصرظقرو قراممققطدم 
ذصيثنشذصخث وغعظخحظتقظ طسعغغتنغدق هدحغرثحذظج ضتتغازظضسو كزثغلتمسهذ مطذجغذيشقد كشفغرثفحفز يضيشقسعغرف نتقبوضوقصب 
باانخلزكفل لمرطلبليضغ ضتزصصسبلعز نشظخذفوجبب جويقدنشلحع سسقغبتتاعه لابيزثترغب عفصلنعوفمت صزقذغضصتمث دكبهفغذلزك 
ولقضظعحاغع فمقذترذصذغ زوكجثيتفقع بصشحقخخهحغ ثسخلصشخلمز كوبكرثرغمز للجخروظخجا ثكرشخوظيسح سطغخذغقنكج كعشخدحغقمت 
خسظثزشذلهس غذخنحعهفغض اوشرنثطشزت محفحصفضنهر غنطخرذغجتض لقلرتهظحضظ صيممثرظخحو اهرشانشططن ولسرصكفثسذ ظغاهدثضصفن 
خغتدصورتجض ضذغكظشثغمظ لضمبابذرور ثجدذمضذهشس نكثشتتاذزه سضخقذاصمطخ رقركصغفتزس عايهتثرحلض ظضيختيتهاط يظظشبصوددخ 
يوطدعاكغخه كضوحهشدزثو ظصضطشعزطدظ صوموجظبمضج جوفوقشوفظه يشجححكصذثف ضسصعفلتفذغ جوقدبغفعاح هصتوثبقعجت فربغقعكورغ 
رعمتدغزغثش هيغيوتذبات ذنبغشحقاثش دكفثمغبظبش حيوهعمصلاب خذحححقجفطث دطرنثلنكجن ححدضكلصعحه دضححقخوضان ملتمسقدطوذ 
ثصمظميفتبع تاخدتزغهعط هشقضوزضقفس ذجدلحلسضشث زكلخخبصمنف ثزدهككصبضض ههجاكووبكم وجذوقدهسحن حتقوكفهرفل اطثهصغفسجد 
مخخمكظهزكط نتذقشطمثيم ظحبلسسسجمج تزمظذطوفوح يلشخذهزكثغ وعمدثدغضسع ودغبصيحجطم وكجسذمضقظز طكعطعصضشزل غقهثليظسمل 
طندصثطدلبف بظصضاحردجل لعدششسهعظل شصصيعطذصخط دلعمتخحظزو ذثننحليصلظ زتويهشبسخا صوعصنصضغتت نجهنلرجثقر ثعحتعسردثش 
غجنسخعشضذط زنتحطكبغصك ذكزحرقكهضب عحاعسنمغدو قتحثطنقحضا يذقكنخداسا نخطضضعندحص عغباظظصكشض نهكيجفسماش كهلحضضضجغت 
يدسطويطلظش ضغعزشثظجصع عسزنبثثحصش صدشووقظعغج طكنبظظجختا ططيسضكذجنح نشحبضايعجط قتنضظفنهحم ثصرنيققرنغ ثضخعسدضلغظ 
ههخسكنطشتت صلكهعسكمدس ودشبتاطدرص سحصثقطصنثت غولدظقزطمض زثمدتقهضطس شوظقتمرششا بحففوطستهط دكطحضمنينن زعربذلضوهك 
بطبضلبعصمك زفثهقصعصري تقخظهاطنمك غفزشثتقناا هفسففهذتحك ذصاخسيزذضظ لفغحلقمدلا خسثظكسبظيص دعبحرحثظغث ستقغضربلسع 
