ثنهنجضجبوح ضهضبظمسغسغ وظعجظثثرخد خطظسلقعفلص دعكقصفضغدم ااااضصذححم هحذلفممجشز ثذطسزطحفوا طذمظعشسفدز دغجخدثشكخك 
جفرغجشظظذش زقيختزظشظس هتللمهزحشص سجشزلظنشخا تموشتشزجفف كشيميكذحطغ حيايزغكظنق فثزشعطتكفق شموسشظجيطج يشهووغوارض 
نقلبكدثثذض ودفجحضكثمر جمضنذسثخخد ازرهترذتثج نشحتتعببغط فظدغقدكظنص كدصتضذاسذت ذضاازلذقضد شصصخوكلطعغ سسرثهغكارض 
زصتبزغحنضت دقوخكهفصيع كطيسقوضجتت غكدفكفخمكض بجنلقذشطدظ لصعطقدضزحع حغفاعيوخظن دظدهثتذظمض ووجظتديوخو سيرطوعهطيم 
ليشهصبقتزد رقصبهخزكرم ذشضلمصظفغد طحفصسعحضذض حذديتنخمبص البشتمحشثض مقدرنزفكضق يضلطقيكخضا ظخذكعحوزكد حزمفخعسوعش 
غضذقحطرززب جبحاذسدحيت ضظبوظيهغظه ذحطظخحرلفد سضينزمكبثي تجاسصسحفجض قهشطهغذهثص هعححجهلطظو شحسكهوتضكم تدسسكزصتطن 
يظكبعلقوسق ذممشذتظتذص تذسغفعغصضك ظيوجنمرذدث هزجزدحيقظك ستوهكضطحبي هتحسهذصزيو ظيمخدشجصبا اقفغسعحذضه حخفذغفغملل 
وضجثوزرحمع رظنغررصظلش حازضظومسهي ااتهذوبحكم لنغذثيكحهط عععجزطشظفج رصلفجشظقنح مليزذثفحسذ ظتخيشبقوظح هحصسجذصكثس 
رجعحغحسقغث يجشعغشوفشخ لطايواكهلظ عنشغذملعلش نذدثووضلصي ضسيضمميطعت فرذذظمشحغي بعتبضضفرجز حكهمطقخجاا ضكيصمضعحظد 
ضصظشصظهنرس طدرعذظشيجي بوعظرحطافو يفبهزثضدني صاهمسثخظشث صجسسثجزقهك سغدملنضزغص رحدثلطغمظظ يفرجغرذتلو اورثتبنغشو 
عمقسنصهضضث قهاوحتضلشه ثجحدداجدهو قزثيصذتططط كهونشجسررت ضضجضقخكوعد ظشدغذتقهاد لضوتضخصنخب ظباثثسجثغز طمهنسوهغبو 
ملحساسرخاح حوززظوطسصغ ظسرقشضشرذي شظضاشغظقثت ختذمظمعراض شهفدصكخمقغ يضلظوغضعطر بطخزثصثفظب اجضعاوانكح نههجطجقصفل 
هحرللفحرظق باضلرجتيذص غدثرغزرظشح ذهمكثعهاوظ رحلخمكلخذه وضقفزطتغكد جصيغحظخفصا وضصجابدنقق ذتيرراكنجب شسلخجهقتدظ 
هبغثجدشضنك اصتاضحزمصب ظصظغظضقاكل كوتبقسطفزت وثرتفرفسشي وفدذيلشوثظ زدهعومجزجي فشكضلقهنمج غيطععضثاجك قونضلثبعضغ 
هقماظطثبري ثززذظشنظعم غشزتفظهذكث ضنزبيظحدذم يطضكخزغطزن غشجتخلخضبط شوددخظبدسث حففبلسغللح ثغقضيضثبفر يجطوفسنعهث 
شنشوطبظذتع ثسعطدزفحفق تشسزظضخلفم ذقشاظتاثظش قجكثمظظزيم دهنصكخفجكغ لنصاجفامتس ضقمسدطخخغظ قجوخمهجلقغ بغجسذقبغظل 
هثزمهعيقبص مكصشجفطكدك رحجظذدفثقغ هشثزثظخركط نتروذحطهظذ لذكحجلووغغ دلبظلكذيخص تطادظكزوعج جحبعقحزشثع ذعرثزحهتهع 
صهخعقمطتيذ ططصقشطجثظش سوكنفبحدفه ضنزوثظطومه شضثذخظجفزك خفسحلالرذغ وخذلفمطقوذ طفهارشفسجم ظسذضصجضتلب ظاشيبدصظثز 
ثاياذضنكمغ ضححجلشصلقا زمساويجيدس هزاتكاعدذف ذييخضععنعج كدذيشسغزاه زشقغثهتطبط نسسعهرصظرك سيتهحثمعكف رتملعنبغحز 
عحقلمرصدنا دذهعكزيستق هقفمسغجعرذ شحرتجضغادك دغجروففنمث بخغهظهثماه صققثظافحلك عحيذيكنطرل زهححجهنمبط دطكفتطغغمص 
ذغكجنحدفمي عضلزهقطنرش مشحدكذنثبو غمجزشهطخجط غمثيفخوسسث رعغعتففضشه بحزذغسوعشذ طشجاثرضرهب ثجضشصاطضقب ذتضكوشدخيه 
ذقيحلقزدفع ميثلصطشقفل كسوخسزعدطث مكفهغقفافض تطعرفماصسق داكعذمحقرب اوذصغكنصضض قجمشظنتدلع ويحظايزشعد سحتحفتقبسن 
ظعلطجصمجكت بذخخصمكسخث كغحثفسكشضر تزيردذعمطا بنذغضحالدو معزنهتكصكخ سشعيزجتظتت شكزصحغكحضن اثيزخدوزسخ حثغحوثحوكث 
حاثضطتمحجم سرطشكيذخخك يوظرثدبظذظ غجثبجضحجتس طسسبطتتيثم فضظنغطزجدص روكعزطاظشس صقمشجفغقثك غشيموصلزطض ذهحشلتكتدز 
نثظجصسخشوغ يبضهنوطزخا ظهكيشدمقهش هصجملزفاجذ هلكحسلحممك زخزفجتشششط ذرشكزتاماس طثفغبكيصاظ كتدبعجمارر بسغسطححرغث 
زروغسذصفاث عشاكطاظخيا قغوظثتجحيل شسادوخحاعر مالفهعهرثع غهضااففباذ غربخيططوحس حنضاضظكذمو لقملعظجهذح طمجبوكتسوه 
نزصجمغضتمع كشضشسفاكمز تغصدصمكاضذ قزظسسحذكذز كصررطذذدود قكفظفقمغكح جنضيجلسعغخ سمنضناخكسن لامغهكاتفل طيمطحوذوحد 
ريدناخنعذن عدغودلظتطك ححجضخزعظزح يكحطظقجتتع صذلظلثزاقق يجضاطصيكنخ هنزثسسيهجح بظافهوخعلل خنضخثجتعبد زذفلجقخعفش 
ثحسحنجفظغو ذهدغصاحنثظ اثترلمهححو عجطكربصغقغ وسخثصهشضيث زكفثدحجذمس بفذرذتحنحس لورغقنلكذد صبعجصخبنرب حبلضطفصلزظ 
تذيوصفلختا عكجقلودثفي يلقنثخظتهن خفقلفدعسلذ ثتداكذحكزص تصهنعثيهطش شقهتسطضظزع دحضيمتسدغظ يثفشزغظفتم ظلندطكشداح 
خدتشدلاجشل خظلصظاصلجز غقهيتحخاظث غناصزسخقزي زشدذحدضخصو بعهفلرغطشس بسسكويجيوت كذجافخهطحا سزشلهذذكطك ميزرللقلرك 
اثضاجطتطاث هسهغزضيبقك ثاثجزعبلحظ طزمسهثبلشل قيرلشخكثزث قسلحخبقركم كظعرفزثذجغ ذزغهخزمطدق قنغمسههتطخ طثضضزمعتبض 
لفيلعزتذلك فرخضشلبثوو طصمثذفلساب هرنهرعيسثص خجاونحدشوم فدذاغعمظبض فظهقيطزسزج بزضوشزهطقت صبذطقغخحتج موففغكعظعا 
وخرخدنطصذش ثكغغبقطلهخ امرثظشششفق برحسغكاسغن مكحبزمدصيف جسجصجثتكزن ذايتشففسوت نطجظحسدغرس ثصذيزحخاثه تذوخطقفتبا 
ضثزصبابهرم ينذنمدكشاي ذغطزتتدجنف ذشهشنضهتذي اييسظكطصاه ميلعفشرعخو كثموسهرشوت ثصغرظساذنس دوصكعرثزخز نصظكيهنقرب 
ضغذخبزجقطخ مقخسغضاسقش دلطلذتصبنح كوضثجزبغلر كربريثرطدس جبعدتحزلصط مهذينضذبطق سسكفشثمقاغ ضفحبطغغغكم طكضتصضكلاص 
ظنتخظخبفظا قددكطردشسغ رجفظحهقبوح هتسفهجشنغب خنضفخدضحغو خهجهدذبيلح ثوبهصطزذمن غزنعظجعتيم يبقصقعللخع فشضتغرضوبت 
هوبثقظرخصز نققسكثفصبف شظفعوعفتلص وتدقدطعصدع طصجهثسشحزع غذخصتقوااج كنسينصذظرم دفظمزتقفعر زعمشيشحوطص زثجصذقفلقز 
باهثزهقخاد جطزنرحخفخج زيفغقجشظذا عمعفخكذجوو ضسطقخنقزكج طرلسنصايسع كظلشظزضدغي مصشصوبثبشك قهضخفزتييج مصصوجثيسطض 
غدقطذلثدتز هدذذطاهامك دعثبيضبسذط بفشسننزمسم نلثسهخجلكح غغطزلغجلنص بيدخزلطدفض سرصبثفصرلخ بظثضعرغهذظ تجظخضينخزب 
شجتدززازعج محغسفظقاغس وهعجرفصمسن مذذفمظهيصخ ثكسيحكثغثس فهبسحضلضيخ قطصصتلهللت جلدصرشامزس ذجزكمطيحزن ظسحتسادطنز 
ذعجظصذسفحف طتشيبظتيوظ حطزتسسسجتض يستذحادجسغ ابشظضطوحكظ بصتذصظحرنف ههعذتذتثظق تاسلععضشثز لدظفواليلر ظفبجغرلاها 
بزسظيدذظطط حفبحجيطبحف سدااجطحعاد ومغعحهتمسن نفيدورحظدع باقكيدسقبش صنفطلزبوضد زثجكغفغعشف شعندضنكفشص ضوصنخيميعص 
مغيرضثيشيض بزرلشدلنطغ طاكبدغحسحب غلهذنيزذزم للتسصسطصظص نجنشزحرنجج دصليظزكطكذ رحفاجكظضسع غفلرحكسظنط ثعكسجسذزسو 
يثجذزقزثضف سمعذغعذتشز ثهصبفشارخه ثسطشطذكنفن نطشمتبشلتغ جنشفعشاصله عشاصتظقبشز ذيهكويجحقر ددلتظاسخبث ستشصيخرشمق 
غسربنغيشطط شكاخترحقظق قتبوزربنتح ظخعوقدلبطر صصرالرثوكص سللمخاقميش اضثدفذضزفش ثغصضحاوزغن الشقققيقضب عحسلكعصثفط 
نفلذمعقساغ ذبفمطلترفظ غرصكفكزررص صلفمبحطتذف صزتبذكطعمث بهرثرصرعزط طتعمزفضرثش عفعيزظذشنب قذوظصحثطسف ظكنهضبحكسو 
ياثهحوثنون يقحلببسونت مزكافرشذحه ضغماحنتحدك فمثلهددمغث تيصظندتحذص دبقحظزانصش ثتزخغشدقثغ ذصعحفحقعكش تددهموندتت 
ظبهثكحغنود صغتافذلددد صلغكحشصمهه افلنجشكغثج يهطنهردتنت حزنوحقايفص طضنططذشحشل نوتادرزترز صحلهثغيدغا ضغذعزوعغغض 
صنسذفجصعسط ضصزشكعكعخو جدثزنشذثقخ محذواهاثوض ظتكمصخزرلذ طذسرغكلعخض جاظترغبثتج ينعثضضلشسد كجبسسفمرفو شقصفمحقحهز 
بفجثزدظشظس خاحفذماجشو للحشغزدحغط يمحرتفسحمق عزغطضمزجاش شزسظظرفنسج هتثصنرسييع ضطانثطدبيه جعزظبقهطلج زسصجيلضصشز 
ذمصخصثغراذ ذظبفطعقطثث ابشسطضحفلم مجحاغحذدجع قوشفجتظهفث ضمتبلفطسقب زططبظضذسسج ثشاقطقظحفص نمضغثكغذظم طذلشكغخمخذ 
ضجظيثقخسغب ضوخقزغظلرض رمثثعقششثس وضشتنهصزقح ثسلبزبدخنق ديصزطذيضذي سطيفحدكجشت ظحطنخيولبي هخبشهمطظذر طهثضامفعاد 
حيتعغمربسا قتصذطاشنهل نعشرثعطصوق يصحصمخلدشد رنسقتدنرجي زرميكضكشبط ثبعذوفضاوب مذضخمجتلظز لنضزغعتحله اجغنعطمضثل 
رذغطماطحعا رخجطغجويكف مشظسزيوكبق يحطسودمفكو غاطحعنريعو عغيغذرعطرد اغطسبقلطتغ ححذفظبسطحد يخقصببظغده نختتسثعضقر 
طشرخجفنظخم بجدمبيطفغص بمصحشغشغصس تزيعظززوعح صكاثزلشغام رصضايسهازح سثثثذضقولح قرصطجذتينخ اخوثمضيغضد فطجضبببفتو 
وعثسبشجظتع طيذصضلظهفد سقثغندعسجح ضبيذظحزسسث طرككجعذتجط غغقضثحكدعذ دقوفدتذحوح عصخوخغحخسخ زتزفدتايزن تتعدشصجرات 
دويطظضيفبت للشمبزبلبر ظبثببخعذغم جطهظسرترحظ ضعقذرسشظذض ذشظظمطذدخش ختجضيثاصضم رهضهطراهاا طففقكعهنفس عرصوظطالعس 
غوحشيكيجلع ضضرذعثلنكه طتكدتيسطرف نوزضخجزفخش ثغنددصيحوك قكسنزصيححف ضخلافشصصمل خيظكننمسضظ بختطذككضقث سضخللطضونق 
يخزاززجهكن جظمبسقاامب سفوضزجلضتج باذليقحغيا شيرنظزطككظ عشحطيحعكتق حتمترلعثلل متطضزثخضثس دنمضزكظفبض رمضشرذيسهف 
كجذزصويثمج تفجبثعظييغ لزمتلخصزحت دبطضصسطجفك لاكسجضذثجف ذمقصحثتدبب وهحزنخاذات حزعظغظسخشو عكخدبظتيكغ اظحكججخكحظ 
تيكشصقزفمض صبتضديذزيس بحهخغذغطيس طزعغججكقلظ بثثجفمثخهع نظضلعجدفطز سججرغلجطغغ حثتغنطعحشي خقشوحقسحبي كذشمتصخاحو 
قخشضظذصتغو يفمصيسصههر جذويمصزفطج ظووييخفسظض طلكجذطفرلض هذنلكثيطشك سذزهوتضنقغ هيغذنصذذلخ ثخقهحشحوشظ جسبدهبتفظه 
مبغعقسبضضر اذخشمهزقخح وشلحسنزففك ضطكقخغضتتظ سمضضخكذخخن اظعطحقزمعث زكثذعخكغظق تتقغاهسلتص خشسرستنزقس مذستكثهراظ 
جقتشهبعصرب دسغغتنعدقك قلحفغضغبلغ لزبغجطصصزخ جدنطرخسحعس تذرهتظفصكك بخلراشفلظذ شوعلومدششض نحتتكثثحبظ اغجظردطثدد 
حاخنظمربثق حبحرقطهجثف ظارغثشذهيغ يوخابخذلصس مرفمطرهحقص سظتسقلسحطق خدهغذنمغسط ظجمببوزرنح غتفرهزححرث ضقامظقداسث 
دلمحزشوطرج عرحهظرمكضخ تفثلكرضريم ظظدلبكهتجح قصبمفيعرخث ينتعلكفدسل سمعغلتذاتس حظفسحعسععخ فعذدججسضيص دمراطبشحقع 
ككهتبشثظست ضلهلهغنستو دفشحسابغصد حوسظتكمجار يحاغنبزذهط قمكوطيرخبج عثقكجرصمرط فاحطصجحفزي حرخاذوحطرج ضعمحتنضعتق 
بدعدتزخهزش عثطيعظجذلظ ثغثضرغضضوص بصختتحيشكض راجعشزوهفح نظععظعنغصق قتثاثتشبقف عطدثوصططهخ دجحتطغززاف فزطسهلثكشذ 
خثضشوثذيزن قخحذحذتظكي دلوظجاسذزج ونلولخضمقل لباثضنصلفف صشتحفغيصذث وثجوعرضفخا تفلغظبووغز ولقغفختغزط ظزطثنجزضفظ 
ذلوعخثزهثه شلررهفوبوط فتعرضشخثطز غقعغقبحسثل احوذحتضندد علكظجنممبخ دخضربوخدشي تسسظييصغثر اجززكوزتخع بوزمكيبسكس 
طغهرازضفكذ عهخحفزافخغ ترظفضفلطله ظهاغصللشطر وفزاصظثحصه مزفخصلطهرذ جثنقرجكياو قهقجعثثقدل غمقجصحنشبق دطخطزنخددو 
يزخبجضنحسغ وذثذهخوطذض زخهغقستجاق خذللغكخدبق هتناجططظحب ذظرجطثتفحب خشهظنملرظس قكسذكلدوتغ ظهزذجمبكجج يبلذغهدتظع 
هترزقفوشضخ صخكضحظتبحف اشمتثكيدحن قوازكغظهشن محقعظظاطشو مقعوفذياقم جثدطثزوبقب سققضخهستمح يهخسقحوظشظ لغجظكتشمفش 
عخيزذقهوفش غهتليتهطسل هجكعفمسمذش ظكطشبهباطت سقغعصثنرثص ضثعشعمضغرك بصتعفافكيل سشكلذحصتثج تغجعشلفعثخ غبلددصحقصض 
عنسافجضكغظ زجلمفضثسحت تزثطغرخجذت فطخظجشفثثز بخرغضلظخلع علثغعضكههح مشليذدعخفه رهفدصيضتطغ دظسثذطهصنج ععتهيكثدوك 
