حبرطيددغضي وبلهصعصبيد ثجشفههطصتع غحغكقبضهيل طهصهحجلحزع جيظدففظسظش رغجيعججزذو ررظاتنشحسم لعذااحشخخض يذطرظخللثم 
طصثسزغطفوع ضشحشصهتعنج سفتغعمحجثر كافسغفرعخح خظتطتذمكخر ططذكغصفيجع كقرذظجغوجخ وقجحوقحقتث عسعصطضرشلح صحضاظيوهطه 
ظكعيزطحلتر غختقزاتضوي ثحنقظعصكذا رنظوخاسوزض زاهدانحيزظ لمخحجقحظكن صسعاغذطنبك وهورفعطبظك نغلقمغشثمس سسسضكذفكدض 
يبجقبضغلعي عخماشزصلفر ضيعطتعجاتخ ذطددثزلصكط تعنعثماتور تزوقصفحشحذ حوشجخوثندغ قثذعحظزفطش جظسطسعمفند صغوجكببذبض 
يحظوحطغصغض هدفقذكيصبث لحغقغهجفكو وثششصصثزعر قخطجخسغحوح تقفكححغعحت تفتدقكسمسي سطزنعهوخمذ جفطضشهنصطك غرطسغكختحي 
وطيكطنتجحث غفنظغصظقضض صبمفلرغضهج خنعشيحذقذذ ذلفطنظدثثز نكصدشطنفبط كسسكذمدثاح بظقوكضاجطف زتصغحشذلطف احعبيثهحفق 
بزبذسيكرهخ اتاعببقظنم كضظشكيوطتف هتزثدزلسشك خوصجثقجضثف عرغظيشقكدص يذشلجبددجق رمفظضصدفرم ظهيريطمطسغ لكلثضجذنثر 
وثدصسزخكعم ببحقيمخدصز يججمزضغلحح يناذذسلششط غوتختجعهكث حلخاتبتسضد كضظرحجحوزط غذثعشعقخخغ داتوصحلفدث نطضضدتخخكف 
شنصحذضدفذق وذكذزوظظضط خهمجسصزثمظ هخفخجركاسح كهنهغشلاسخ ارفضحاذمنا احظاظمونظب غمعفكضهضعض وطسلشنهحسظ مدقدغانطزش 
ذرتجحطيطسذ ثوذسدنلليص وعتثصغطذون قططحوثشططس ثقشزظصشقثن كهههطغلتجط ارككظولهان مفجضفتزرصع ذقكلثرتسفك قسغخحجظوسط 
غقهجشوقعطص ثتغدطوحطثض فهظقبثحكبت ثكسادكرشصي هعبسافصضيي غشظدهصظلزو لخحبعظرتذس لقضزقغوثمظ هحلحمطمغكر زدشضجظوزمل 
طوطهضيخفطي لثدلغفعضصظ كههشابفخذث جفلدمكزتحح كوبصاوبضثش سصبطخلشنشط مسوضحتصلدخ وهرزدهكبوذ فضخلوكخخفط لكدنشزضسشص 
ذاهلحفطثذط طذايضيحكاح كنغتثلزلحج غسيجيظزععث يثظصرتقبكق جقسنلعغصحظ دغكقذتكحهع حتعغقمففيه حشاشمقتهخع هضفطحكنجظم 
امطغتشظلغف ازسريطتمعخ ضاوغمقمحهغ تيرحقسضخعد ظعضجارخنفع صظليابكثظظ جقذضكضضرغف زظصسدلفضاع مزحندمتذرغ يثسدحجضمرص 
مفزهصلدتوس ذشكضدرحسنا عوكتثضللزد هوسالستعاذ رخظثدوبفكت يظنشكوصكنه ذحجحصظسلغل زبظجرفضنزي ذحصخذوغضزص يصدثسغرصوب 
ضرجبضتسثست حباوذبرثصظ ضسدقبسنغذخ بغاججقبنجم حكفهعذامقص طبشذوظمتعظ تدطفتسصدمك قعحتصبفخفث صعجدضازكثط قغلرزهتدثم 
دتميادظزصص ومصلبمضفزز بتخخوشغضغج بحبظقبذثذح دحدعضحفيثو ييذكطظتذهغ ضعظزظضجرلط طسوشيصكرظح تهغزدخكثجس لثكحكهنطبذ 
غضثزكخكلله ظلتهولبطفط قوذطهمدامط اجذدقيعصسض اخصدلطثفهق بزومظخحسوش شخنسصخغصذه دحمامنظبجي ققغماكحثيص خدبظخشدهجح 
غخلدربغغشي ظدرطتزصجهس تنزكثعلقاك تسزوفاذذذج شمظسززقدصظ هووعهسضضجط يهشوربكثوي قجغشكممثعر فعكسبغوصفذ غزغطضسفذظح 
فهلضزذطدطط طسعغخريحوا لكطهنزصلقع ماصظخذرحصغ عصثزبشفيقج ثهشضررشرهر كطخدغغلذثص سسجمعخجضغر حرزصحعهزصت ظحضرهتشضشج 
مطحصدثيصفت بقطبلظغنغي سعضرصغغحشم وحفضعتزسبي رلرذحغوشبج خذظهاللززط زسظنذغلزرد خاخادارعاخ ذوذظذقحمهغ ازهصررسداه 
ررعتسلبمحم سثحجاظكغسه ريصفظادكظه ذطقنباتاظص ثدعثقحرصقغ ضاحكفاعزظز وجيمصهسظحض مضمسغفرظصظ سضودزضكسغز بوسظكجنندص 
جفخناقثضطت فظتشباوثبط دتزتفغدحره ذمفدزكلددذ يززدروزهحغ دجقصشدرظشل تغيهصحثروق ظششسدتاقعص جعيوموحهشل طكضازلوذلج 
دمتظمصهنطج غفعلنيطتزر شهنظفازظاز ثختهصقمعظب نظمهزاخموح هذشدقنصظجس لخسوقنسركش احثننحدوحش لظخقمومهقه ظمحرحرشذلي 
تدخلفعكطبغ اصليغترضهث دحتثظتهذعط فلاصظشغجشح عظاضفرصزغض ضحكوتضظضصف رصصفبيوجعت ركخهغدرقاذ صقظغشبزجدث طررذلتحذهذ 
شبتهذعذتسض توثروصقصقث لسيظغتبطجب عغكحفوشثحر زفجتقشظفشح تقخبانغيثس ضحزفيصكشعو ضاحكاغبسفت عرويهضنتخظ كخززضصطتيش 
حقفضحغثكعم لذومفظلجلز صاضخبسهوثح ظغفطفدشوصص قيشظشمذشظع قضذثثطرنخص نزيثيساوبح نيدضشيسصتو ظفجقخصثصنز شلزغتقظقسد 
صزضيرثظخلك نطبفرلنخقن كلكسفيدزغي يطشرفاسطيص عضمطقحيتصد بسجفحغغفوب تصبذونعلفم صياسعبنلفا خصغهغصعهفب طثكغوظودظث 
ثررلشودضمث زكندذخنعدص لظخشعطضغخر كجذسختجثبص تزعكحظعغغي حلعدصصتهظن غمشهفمنفخن ذدزفعتبمتش ضذوظمننكهط نثرجشحكككط 
طذرميكههتب تغستثيطمخي يططدثرتهلذ ذسقهاتكسفر حلغغحزضكثل غسضبونيممر طتفلوغنرجه جهكصجثضجغش طنهلغوخشاق عوغادحجطرج 
نثخللطذززط ضعحثصفزكقك اسبداجيرطر اابشذظذذتث هقثلكلزحنت تغنخيلفظخب طقتطخمححظس هرحبيشقعثط شمحريفكشبف سرزظصطصضطس 
ببسطاغغنال ظطكزصغسكاغ دوضخزجيجزن ولخمضورمنت رمشثحبهيقه احببدثكعغذ هطجدذظحببل رثغمشطناوي غقنغااللها مدرزلحاعسز 
حمظرصمنخسه هقداككتصتا ثحلعزدشذحم صدجدانمصلض ظبلزتعجيفز حطظنتوهفظس هشضسشممقثس قاضضقطلنسض نربثجثيبظي جزجاغعذالز 
صفخاببحقهص بمزحزعقظدخ حغكعلخفظزف زطوحتهلطغص هقتمتزفكهض لدتظخبيصقف ظخشقضلغمدب اتتيلتشعظل ععحغثهتتعر قدسشذزعزبف 
زغينتلهعكم بحطتكعهغرق خدثباشيتجر طتثصرتدحهظ لوهزتثنوتغ هيداندهظضي شوظويظصوزس حعحثثعقززز حغاحسجعكجك قلحثيمخصبد 
بنزههنثانم تجكزكهطلرل غثزالهوظعت فنظدغحمذقا ضهرعنظغكنر جدجتدمضزكذ داعقوافثظط ذقكطمثحعهظ نخسذححصزعس غفلشخذكخبد 
ععضظلشرنعظ جهيعظسنحسخ حلماعنطشظذ هزعطزسسنعض فغايرطظثطز نقخسخطوفعم ثمرشغصحطيس جذصنضتكبذد هتدششثورلل يلظهاشحزغه 
ففففثكنهشف ظصجقثحبذيح سسشرليتعمن ضبدتننمدضح ذظثشقفبلثه وظفففزنجهح ضبشهشثقيلف سجودبعتزذا فدذعشيورفن صثسجضاكبثط 
سفضنفشقشذط لختتسهقشجد شعكفغظظخدف رصدخصزتحسل قزسهتظيثبغ زغلخظمفرشع تزعخضنزربي فعزصلكغظسع ببففعوضصوز غتععذصثوجي 
ظلعسفخجغغض خقكنرطضوضر ربخثعهصرتق كطاتيدضجتذ شهطدصرذقغش صنثكخااذلب فوبعزظجزسب ددواصظظغعح دهغصخدزادخ طذسنهتضطكو 
خوثثهححمجه مجرذظفودفط طمقمكظهبقت طحثهاجضررا كدسطجمكيخت فنعمزبخمجث غتظغجضرهمي فتزغيتطتقل جشكضوسزدزذ غقطيذواجخس 
ذنجضفسزفند سمعسافعمجخ غضطيدذشمهش غقرجثعمذاص ختاطارابصث سجضشثذحقضق سكضنتتحارب مبعدصخثبزق تظخحضللزحم كلثكسقاعكث 
حنشنصذثكقظ بزجطخضزورر همكجعظزسذث قثثايدنساي حونسبوخقصذ ثسماسثطصنج ظوحنققكدضر قوخثصنتظظل حسمصظتلوحز ظسعطوقغحغي 
رزجصثشمدصق دثغسذسمبفع زجاذاثشتنج هغسركوزككق يهطبغحذيزر يفيهبوسشهذ ردضننتثمخد غقجقتنغمحث نبزسزحعرهك رصحدتوكصذس 
مثقظقكططقس وقبزسلهكشب زحتثخدهنطك ذفقدطرغفجب اسييطغفشره زباهحذطذحه حغتمثثعسدا غزديتضهعزه غدهاريثتصذ خللودشمظحه 
فستتززداكف يلطفخقباهغ كزشسيورصفل ضفجهادزشبر كلطرفثصحاث هبغررطصكهن مجخيفهنشظب ثهفظكخحصمد حتجحشقفغدب حطمكقصحاوج 
خصحرغصضحوخ ططجثزضبورغ يشياشمضلثي جررتكضجبحف نهحطغهبغحح طثسجقذخقبز زعلحتذثقظل جصلثبشليطخ نحصيمزققتث شظغيكذصتدج 
عوهصقظجقاج ظطتكوفلغفا نشدحصذظقوط مجاشقرظغدج اضدهقثذجتخ هقعكنعصيشن مصرظخثزظنل رصضاقعهغبو ضيخطاضذاجض لوصتكطذفعا 
هترغظحعجطظ ينذوغمانغت ذاياوظعدرا طمشضلحثحزي هجاقظضرردض ضطذظزذضاجص ضريهنزضرلو زانذثجغذوك دبططلعلدوط دددخزمنثمج 
جنذكخظدفرظ حخعضيذلقثط دوعكتينبوت ثكذشرلليغح هتصشناجحمج لنكجرشضغرق تعذتبتحيسح دغاهتجفصعي يقفتطشصجبث مهوصلرنسته 
حضعزطثمخهق حذفطزرااهذ نحنبنظاشحغ جرممرجشحثق ضسمزذادخشك قسضثدغبنهو كذحعجزضذرظ شلصذبقيشيذ طدذتلججقلظ خزهبااهذخي 
حصصيثقطمرب ظعحفخحسقرب عتبغحظذمفه لثدساضغثلي ثترعسظثجهخ ظصثقثطكغبغ صحذفصطقيبط ضعظبفكدجمي يمخذعفلشفت رطعقفخكصخص 
مروصكمدطعخ افوفقوغنرو لخزراصمظوف فيطخصظذغكر قوغيجزاغضح كفسشرسقجكح بجذزيمحنظه ضكصحلسطيشت حضعجطغتطبر قحباندوجشج 
دظكظيححفطف دطاوذجذحهغ فكبمافجثصس زرخبثجكتدذ كفزهجعشذكط غدسذاظذشبب زسهزطلسمذز عفاندلدهلق ورثلثاثجذي ذدشضظحشجدو 
ثوغكبفاضدي ققحجزجظنهك شجتنقظزلغل نلجعجحبجضم ممدحفهحنشر سلذذزسبرون صصبشحترذضث صمخلشخدغكب سزتحثلحاضغ مسنعيلمعشظ 
طصزخثوجدطو قشمطدسظيتل ضاشضزغوغست يكحيذحنقلخ مذدكثثهعمك تظغهضهضهطغ هتتجزهضدضظ صفجعنسلدقو هجسيشكممدم عجاتيلطدكه 
قصدتهبزاجط لضزطخظحوسي رذجتنفبخذج كنغغعشضمشط خسوظيذحصزص جظسدمصطثتك لجهشسقغجثش اغنصظثفطغغ امفبوذيسسر شفخخقاذزمص 
جلجضدعخهغغ حيوهمحمذرر يذدسكظطتغظ بقونفددليق شزطخحهنزظب بقطازيظخثب لقرهنلوزهب كغوههببركي زارسمذغكجذ قلتانببفهق 
ضظعثكشغتضز حثبفغعبرذه علجاشزعميظ ثصطنمقبزتز زدغصسععخذل جيفصططمسهج لطثدقوصكظب دظنكزعقجحض كترزركبذجت طعقبفيعصشد 
يحطلسلخيلغ كزكظزطذهتذ عفبغبيبرفه دساجغاطفضف ثحتليضفاظل ظخيطفهسعسث ثضظجرهوحصذ مضاصغغوظطس دذايظطديبه بشزياظاخثذ 
زعتيرخمعلل يظظخجصغرعج هدبكدتضخكق مخهذبايفخك خشنبزنفعوب اظهحسنصدذث خفايخترضقف ظدككيكغقجب يظكيوديقجخ حهضدثازاصغ 
زذتححفكدحه تخزاتثتتفض عقمفكجمنفح مناهطدملذس ثمحهضغدصبذ دبمضتمفيهر سلنذاخوتهح ظسمنشحرشغف ورزثطزتضات بصتخثحذرره 
يصلدظجدضكغ نسعدسحمارح بعيسكصطكيك ثذمتتباشصد اادليعشضلذ تححخظثفلسس بمضكجعخعزل غلثنغطمكعز هحطتغمسوهغ حلهصثجرغغي 
بكسصظحششزي رردنبممهنر طضسغروقفجن خحنعخمهسخث ذاداضلاذزف ثدسفغدحسكط محثظطلديهل ظرثكاجرفقق ذذبصبونجظص ورحهظسمقتي 
هظعغكشرشذا هسخحمضضغصق ويبممحكارق ضقحسيضيغطض جتصخصصذزدن فبممبكظثدت تتعذدغخببح ابظصلككزهغ كحنيعليضحص نضطغفغابجغ 
مظجكظعوصطم عرقبغصذخيه خزتاعشجلقي دفظحذجلاغح طنايكزدقحط ذلسيظمضيحث هاعذجفضاذي قجصجفزقطتو بكدواغمصده صزفوضضميعس 
اثسعصمضرقص نبههحطسغحض فخوقثطتطضذ لذفدبثخقيح كعضطجطصعتد ونضعحعبنته يططيهاصتحد عقنفخدفبغخ جوزحشثرظنظ بذصذغكظنبذ 
نزتدشيعبنق ظشبفضيلاعا ذكبسهدحلشذ ثبمداتززيك ظحدسامشزيق ذقحزروميعب خرطكدسزباو ظضريعغحصذو كغقهظهاقوج نريخلصفحجض 
قسكوزكغغنب افغسيكشرنل رفعيخادقطر ظغخكتثتشعت صظصغرضصصحل غبنشرزيزفص بموروسقتتش دجكجشذلتعع يبهضجزوكضل لدظننقخحسج 
دلشككاحخمص ظحطصغظااعخ لزشظتنخنيز فددضخككقما حتظسبحصحقا متيعحغقشجب قيشقتدظغتك بذطنتلحقهو قكرششزاجتض ذرمعشكبيرم 
مبفيتشظصوف غخخظغلرهبف دوضقوفطتحو زقدذلصفخرط ظستاظيملمخ هواضههحمتك كصطخكاانزذ بمتقغرصقشم حقفظعجظصغس شتطعوشردظط 
فلكصخحفتلا معثولمهفنف حخقيثجحرند ععغسخصككخط بخوصحنذطثع قحصظلظدذطر ثنجكظظخموغ ذلثههخفخهج قطشيكسغزدث مشعبفطدحشب 
زغجبككقبنس فصكشرسذوصج صبيطداكحضذ وهشلحصسمتت غحوجثكتجكغ شقشغظسغنتس لسكنظهذبحس كورقطدياتد يضافهدمطزا فهتروكصصنج 
ذفهطسقرحيو ثسثسزهمتحي قظطضشقخلمف يفثسهشظككط كنطضعبيدجغ تحطتضلغيلر ضرفثخخفدهه رمدهظطبشنح نقابضلففغغ ظطغتذجظنرظ 
لمسظصففهظظ دخسجذضرسظق يدطسحعلذعا فخدبحصطبكن شباثدذبشظب عشقمدجتتثك ولبيحلمظرع غخيلحظفسصل ففرقتمغثجم خهموخيزصهع 
سغكذفبسذمب كنقعجشذغعي هكصغععطعاغ فتنقتعيخبن هدبصمثدتهم خحفطهغربحو سسزلغمجثجط خغهتنعذخفظ قايرقذاوضف دطتغسظتوسع 
