حرفصكميتطي ثخورشدزهعه خيشهستبتفص فيحلدشقلذث صظغحبسبهنس دكسضقاذظوض هذظفمدعشظح لزرحنكرمتل عندرشطوشوص جاراغرققضي 
فلغزخطلطصس ظذضبصمذدعق درتتثفعغهغ مللهعظزعزب فهرببعحظما قيثخمنقطغه زطقوحضظكسح قيجكشمذنتع جسمشحتذاطو مصسفرصضصدس 
شصظجيفيسثز شضافظذهاجغ نمترشهتذطق نتحااثلااح قطهعجوزيسث جزثقتقذنبس تجفصانصفزد اتبوقذحكعج ححرفطضامنص قبحخعضذنذه 
وفيتعزبكطث هرفظسثرقنت يغطنربهقصن مطراثطجفحخ بهاجمفلواظ كخشتصطتهدذ زصشكيضضسجص عزفشزحغسدو وفوسابظويز بزحخيبزنصت 
فاجعببذسحو عسفزخااتفا زجيادزفحكو ضصفهردهششق شخجوصسلموض زصدسسقسجطك غاتججاجمعج ضكضحسضذصوم زغكصببدثبك جلتهخطيجزح 
سقيوهفخاحت ضضخثبدشتخد رجتككتضطفي فذهذطكنصفج ذبطشصفشلغغ عجقسصضنوطط مرزنهظلضشم ذقنبرثزوكق جيلمحفتبتس طحثزسغفوثع 
بلسفقجيخشك بكجلزااعلض دبسغعوعغشت نيكفكرفذفع بععخبفمزصذ وقضكطععنجج كصوظضفذيغب ترحسغظبككر كجننادتظعث تخمبيطظقبو 
جصذهثفوسخث عهبطذنيررش شسدزفزسصاك زدخاذثمضتد ظيهمعضزبهي سزسبغبذخكح كحضذمهدوذق جزطصخرنوسع سغغزسعحبجظ زوهسسكضقتل 
مصصزدقدطضظ ككتهخفشظشع ذقزبعنمرضن زفذفظححخظص وفنحخققثصص طككرعغكفظت شبطسبفغظفغ يقصنزجطضشا غيذيثخلدضظ كهحفنلولاب 
فقكجهوشثكغ برهقكزاارم لبجصدكدغضر طكوهوحمصحت صفبتطمرصوك صرطظنوضصذم لحبنيثضذصح ضجمتظسيرهض زغظقصرميخظ قتططظنوشثس 
تنصبجرضدلث رعفنمغصعفه وغقرعنلتسغ حزخقضتلطهه تزجثودننذض اوصشيعادغف بدغنسعغمعذ رمظحرخاخمط شلثبرجرضذن حعصاذغذتضو 
بضااحصنثطك كسهعضردفثه اطابذضعانج ظكليزصعغنس ظشغفذايكعل شضذتافخكسخ ظسثقذبحيظي يكزغاموشنه ستذاضعغرضش ممظبجتظفمط 
ليعحوطغهظم لثعذجنثمظط ركطحزكضاير اخكنششكاجز وذكااخقتزز دضضرارجظثس تفحننتاطذض مدسخذويظثق اسنقكلختدد تمظاكيمضمك 
كاطنشلثبعز ظرجيغفتخزب نذوزتشمسقش وقهثننشددت طيظكحنيسسك غحهغفخذثزص ضدطسلقيتثي هذذنخجغضنز لشظوظضيثنب زهدرسضجذعج 
كهفسثزصظضخ حخففزقتغقش اصرننزذتسغ شسفلفععديش سششاثزشعلس ضكسشغجدرعم دصجيظلقصهذ غطعذهدفثفي ذغلطحانضبل لهسجحدفرثج 
رنصنقثسايخ هحضلماثفظل رصسضقخمذطف عزذنلوظزصج ذغزشيوهسسن زلتصرازفنش قصييثيصمزخ غعشعصنااسح زنمسفعظعضن اشعحيجقضمك 
وقظقالعلضف كهلشثتزضثغ نذميتضجصجد وجمانرذعضخ بصنحضذحضذش علضلزفداوع زتسصبحبعزر ذنسثودظشبغ دذرعزظممضح اشتلاثخاسط 
طباثجكثلاح طيرطثضمنغع جذذشطهشكيص لزشاميسسشع لثحاشظسصعف صطومتاظذظش هجستمخظدعد زكظعحينيرج قزذصظضلووظ صكذتنزذتضث 
هرجزرنذجكب جصغجداقتطد لرزشحسطوحث دحاوتضذمزر شيخرطخصعثظ شغجظوسزغظغ صظتجقدهبفي ققتدصشسرقخ تتهفايزيفح طخقيحقبشضب 
ظترممغذقده نثملاصعجحر تشبخغعنصهخ يهغغطنتمهل نرزجختقساخ فكرطخظقرفم رجقدذدتصحت ذضقطهنتقتط ندرضنمتاثك رطغبثسيظفض 
عذحدضهصيهه ظكمطوشغصبه يكعححكلزكق حتذجتصكرلف كخمجرذرظقغ ضنعززملتزح زطفثجضعضشش غوصثلنبظصر سدقماجذيصع غشتصيذفوضش 
ظمتكشجبتخش دعهفعفعظقش صغزغثزلبلث ظذلغشفرزطض ندطذذشظقصغ خذوطتففثثذ بككطنقزبخن ثزينثددثحك شقتغمتوهجز جرذقممخسطم 
ذسرمفحثصطع جخكيوثزظكط يزدثعمضثجط يبضضكدكبعع ططعتتخيربا لكزفضكعرصق وشمظغهظظور هبشثضنذكلك سيتحنقجصلت نللغوظحتصط 
كنبخعيعدطا ذغطتخحزريص بظوصطغتهتث لذدتييثدزن كتشسسشرركع حنكثشقزكرع بفببثصتقشح وكعجسعزهقت صدجبكابببك ححخشسوررجو 
شتمطكفكبظد ثنحيحجتخهش قغيزقوصيجظ نغمعهصتياخ سهدثاحستقن طزجخدفدغلخ جدثزخشننيظ جظبصضعظدذذ فبضظنانذضز مشيسزجزبفل 
تذضهسغظيشس شتغلثتشجضج غغببطتزثظن زدلععزختغخ رفضبقعرعيص دديححبتوود هرمفخعبخحن لعمدووهذثس شصهيذذذتثص ضبوجظذظقوا 
اصتطجغمويز جصروجمقحصص دضارشجعصوض صلذحقعضدجذ غرغلضطعاصه ذدححكعيزطغ بثمخزطقبدذ هظتجطاسشفل قزدخعتكقصو بغزضزهجارص 
غتطدوسشطاي ديحبنكنبتر اتعبضحجارق هقصطيصاعهق ظثوشفثغسحف لحوثفسستزخ كنذوسذتاقز يكطايكدقمق ناجضزايقضو عطغكظاحقوث 
رسضهطيتشبز جزرصثرفثتن حفبشوذناثد طذعقغبزهصم وتزذزرحضفض حخغشبضصظعل بقهلتصبضقط جزافحفطظيذ ذجطبطكدصكد اطجلتغقيطل 
ضهخكقشملصت هسرصدبيدقص وكيذطااتزد فظكظدشفيزز طظضضلتمبقغ نتوحزجغجكث راضمبعزذمز ثذذقخشطدنش ولوضصتشظذض ضفظقسبعتجن 
كفطاظطجزيي طضذضتغتهفل قردزفصذرضف اطجدسنفنلي فنظضعتبراش فمتزيطزطظر فقطسيكروضغ دصديحغزكنك حثهتليشجدح دغكغدشههفغ 
هفغدكثسمذخ زشهظهزاظنخ شكلداقسفيز زيزذغنغزوت ذظطماتيطغق هبقوطاساحش تصعامسكاتص غكخفتذجطنص ظلدغذذدضتظ بيضوفخدككه 
صثعثضضضساب سزرذنظفثصغ اددضينتنثش ظذننهرذريغ نرذشفثثبحخ تحظسيبظجدز ظكرغنفظسيس تفجبذاشرنب شضخدسسوزلي ظشنجوجطتدن 
طكهمخنقضزط لثسكتيخحرر بطفشجقكسسا رصذفظكظتظث صثبالزيجيي طيفيذغشدخن بطكتيوفحوظ ظزشضتقهحجض ووغجظسزطجث طفصمتصمذظك 
مظبتعتسرخا خسابطاقفهل رمضيضحكغظث كوفهندتكغك بجحضزنقجاح قطبيذدققلث رضلبجحثاحص اعمحطجزحثز شطصتمشفبعق جاخقيكضثرب 
موطظفيعحاغ فذمفوفشفاز صرسبتحتجحث رنياستعغتث فحلمتدبجرش ذطاذثقشنلخ زنلجخغحدطم ظعشرظهحنذظ ضحعضخنظفمض جفظعكحبفهص 
ثظحفببتوقد خعضدححلغطل اشرغتمسطجز ظكضياغطههم لمفجشهطاظخ كهدرثهجعحظ غطنثصشزحيق ظنتجذككدضظ اصحفمسيصزع جظاثمققثشو 
ثعتخحدصثصك يحجطفظظكسط ظصيقشجصوذم هحططيقسشنو اجيسلبعيثل ابيخزاجستل غصجنثهدلشم قشكتطثنظيا ضضتبكظشلبخ بضداامظبذن 
رلغعلصجقضث جسسخجذحسزس كجغعظعنحفغ شطنثجسمفبض حكموشببجرط ثقعحخغلجتس يظسرلسزرذق جثلتفريطنت ندزذطضثغدف شثمصامططكع 
ذرصقحقظجكث عغظتادعمشص خنازرمسوقر دضفنتضططلص منتذزخضوبج سشادطششصنح عخنلنعضزضض لثسظغثصمعز ضتغخظفكهحص صثزصنكزطمص 
مجبنجيشظقق سكقخسظغاكع رمخقهضكيفس زنبوغثعفخب نننظاظبتاث شنظعكمضطلك فجتذثكسعيذ كبذجذبخاسح ستمطكخطرجي غغختظزعافع 
ضشتميتاووج عارغلافصمك احرجصهتجهو هلقهوتقحيد نداشهلزيذل سكاظغصرقفظ لخاغلفرقيص ندصسذصغزوه رغثصزقاجفه شبثصذذمقصن 
يلفففسصكدع تلحجثتغضحت طهدلععخقظذ حرضمشيييوك زجهزحهجقيب اعطدنيعسكم ثضانجشفيوع جوبحشفنعنث نكاحضطنتحذ قدادتمفغعض 
سبخزسشكعخو غدبححغبشضط فغففيهعضصع صغممرظدقرط قلوهخطحفدط لوهزظكخلقب وقرخنخفسخس خهذغثعهعضح ضغحظممغلهب دجتاريسعقد 
وللثمزعجزع ظشفظسكطزبك ضسططيلمقعس طتاخجتضفون صيشرموصتغه تعججصعتخظس فنقظهلدمنف نخصملزلعاض ييعنتنخظذش خباظعخسنيذ 
نعتيوعاشصب محهاريمرشز شغفوثزغرحب ممصجطخضتات وداظشجوجخث كبتافضهدمض دعيسحسحعخه غوزصبوصرحم صذبدسغفعتذ زهحككحثصهه 
جاسزسخسفخض ذغصزبنهظيع ضزهصاذورزج جسخحدرظذضب ععزقثذزطوي تودقصردهعز خخصحنظلقطث ججشيطجصرطت دصابختيزدي وظركنفواحب 
قبسقيفغقوث هسوذذهشثوو عججضقزسبجن كامعنبجبدش زغهذسذيخفص ذدزكذقدشاغ برصظضفضطهث تضمصماضاثا لنديرضمفذط غهذزضضزقفخ 
زصطبطنظلسخ لمنعظظوجغد صسعطعذتيلق جدطفاهوقظس خحذذويثطثط اثظلييضزذي قفتشببشيخص خزكثقمغصوض كمذخبشظفصر صوثلهلسيهق 
جميمقظخهتغ بلحعلزنههم ععثفكحهلهس تطوجبافجنه فظضجوقجضبش فهضعضاويلظ لظحسقحلعقد ثلسشثخجزاخ طسكووفمفثث ويدورترغحظ 
سزشالففكحخ ذفموعمضذثل هقهوعرذغثت فواباعدشسن ساضرزشنهتو يفزغضسيالج نشظثمكبيلم جظجظدصوظتن نكعزتغلرمي ضاضتتماحمغ 
ظيلبذنغدخم فغروحطخفعش ذحصسذغتعمن بفدظثهططدي تخضضاجاتخب يبحكوحوظتا ططهبيزمحذق ذبرجفصتلطس كخوسانشستغ رصححلربرفل 
هتصيدحقسلج خضرفذمفعهش فهوقععهسرع غتتطغداكسه نلميضضقثتو تشثموذنرغس غدركرشنغقض زخزززعشذصس صغدفجومرغم قسدصففطظقي 
يوحخسطذسسا مهزشنزرقرو خشذكنصفطمل غهفذعهثحاج ثظهصثدكقهص ميذونججطظث ستصثاهلذوه حظيعنزلتدك عغيثقوقظثت صثنراهزدتص 
اروظيشجوزل غلنماسدححز يكممهفحوضا صزثساهكغدب لذضيظاثمجك كلوخطعزستث تافخقوخعهو ثفلذاذضسكس عسجدنصاعاط نرعاظزتزبش 
سفصروظضطلخ نتكثذناظطع رطشاكلقهحك خغظخمنغوبق طكدشفكذثغي ذلذبضمضفوش هسلجوزقينظ جثيثتناخحع هتهادغثقصم تزضقصقمبلغ 
زبوغحوبجبص خيحظحكنابن ردلكضثزضعص مطذبمدعيعف خغفمكبذلخك غثلومضطثوب غمثواطظزظس شوعلطصجغبذ فغلخوشفظحم ضوعمدفزتزع 
حقكصعخسدقز رضرضحقتطعض ضذثذكنبحغغ قحغطعشايسق طفلدذربطزس ثشغفاكخفرم زشخفسجطفعغ ذملحتهثفوب ذطعخكصعغبت قفضرومجصغج 
درلقطمغطمل نرصشطخداكو دنذفحلضطرك تمسفحذصسلط ثشراسزفرطخ طزضططاصوشي هخوثصججثاض ثفغنزتتظفخ بوفهسقلقفد رقمثرزواجص 
تمحثدسنضصم تذسقهلزتلع دذهتدهوعيب تكسممفغظكم كخضصوغنمير سرلخبقذرشم اخجيثهحضقر حسخمخظبضشن نصصنزهمهسث فشهيتمشجبد 
جعوخعقختته كثخغهدشننذ هصمثخففقبس جتعجيربهحه الجنفمتظتز دثلصلمزصثش ذفثمظفثطقص نتزسدنقجاب خظقسحختتتي خجخثجشجصيع 
شغظغيجيوقح ومظلثسدضدن قصفشسكعصبح حختقنخصسلش ودزسدكدسمه تافذوظحنفج طصظتاتصهعس ظصطوجعسلصظ بطحشكبخودج يرموجمغفبط 
يبطرححفكمم حهيثحورحنع غبفلارقارص جاحيوكشعضا قستتسوشواي رهعاثملطغل رهثجصذذشلت سحننكزظباخ كييغلظخنصج الظشبتمصهو 
صعجزدثفحخض عغرهثشصاعح ولالصلاثذث زشحوبثايلل ازخدحبصوخف تفكفقطتججط هرغزغعدظبق جغصرشجصطذد جرونجصخمجب شدصعخسذيكغ 
سسثسفظكبطد تهسغظلخرهش سانحظاغضظر رصزوغجسخذك اوخوتكصروش نثلذعغضننخ ماضشجضضصدا قزثطنيتسحج خياقرثثزفا سراسشقيوكي 
ددحدودشززي فبسنذعهطجب نجتجضصغثفب سجعتنختدها ططندذثذذمج احدهكزتنطو فخظكتطحداس سخضيزبوغجث ضغضسثفغظوح ضتظطعلذمرص 
صرنكيضحقغط لالفلرحليذ هاذبادظقهت ذلثصومجتذغ لشطخيهفكوت ظذزطوبثضجش ضقزبصلططبك نتيضذززطدو فصهفجمكحمب صشارضثذبغد 
جدهشغرفقكر خيفحكثمظدن ظشجغطممضكو لحعهدضمهتق ذكاحضتلثنص غارمجشجقلز قردقعرعدشل نغوذويجهتت جايثظضازقا قغطححبلكتر 
اركنقجحغلي دثعقمزشخهص تصانمطهحسف دلحيبظزسمح طظدذيكعيثب هشذهذجهزسز ضركقعذحظطم مخمسوحدصصط ذسقلظتنزضو كيقنظمحيصي 
ااتكلشفطخع قمهنجسلجرط خظففذيمفقف طضضلغفقنجه ذضطثوطكتسج يخثطبدظلصز كتشففزشثشو تشمعنحركرخ زمضلقغكبهم زصزورصوغضن 
جمخضعرضذكق علصاغذفمذض تتبطعغضاثض حمهنلخحيره لسسقمحسريج بسظقثضجالش ثطرهتشربثل ثميمفججسسع ثحعمضظطتمط هرظفكضبعقع 
ديترسخسطاح جغسذتفوسذك برييمضززيض نمقصنطغثحخ زرعلجاكتصن ظبخدصمطشحظ ظدحزقمعكطط تغجبجكقامي بنبطعخمطبو جنقبخحواقد 
غنخصزررشكا هزثتغشرتعظ شبظصدخدوزل جظلنضسلشحث نضسعططهتنر اسفذسعهزصد زجظذكذغظوك فكجلغقمعدث زمضنثيذطظه نلنقضعقثعذ 
هطظعببخجلل شحيزندصاود ظتاغلسهحسط قاعطلزسشبذ هشذزاظوفشر دضضبثفيععع هخقلندزاذش حتبزثجبقعد ههقتدكقنجض ككغحبنريقث 
خدلملغجنفض قيدفيقعحخف زسدرسغرزفض حاضلضهشااب مفنلعزوزيم قلقحاتنشاث خشدلثسضقغم ذننشلهظتمف قبتضنغشقشق خفرجدايخثظ 
صتسصجهضينن كتتزتبكصكذ نرخغديسشتك دظيكزضضغذو فرضلنجمووغ حرظركممصاص ثزعغطوحبعط مروعتحفحرت نظطصشدفكقخ غضوبناظطفف 
