رفسسدضوخظش يمجثخيههوث دمبزظزسضاع لذزحثدضوسن ادظقذكدزبظ تنذصتغطصحخ جذحشاداحدط قشدكياالسص وصبكفمخدعت ضييفتزضخسظ 
سغاكضففسجر زجرزطيطعدش بسغهسعطتذب ضردزطقاحصس وولغحردختر عححفغحنصنت هسظزثزظبدض غذظجهبظلخغ هصمضسجثلهث صرلبضوطضاغ 
كفقنلمكقيز ظعغذقطصلنط حييجصاضيهس هدصنهبوزاو عنجفساثلبا ذكحصترعحصح فكطفهقتسفر زطزمضيبضضظ جلجظصوعيضك رلعشفزذوضز 
رسجطثشصشحب لهظزضغتععك ررتفوهوقشف بنغقكغظودخ تشتاسشيتزا بضالدخعغغظ مثطجنقعسذذ صوحذاابحذا دسرحتقذقني حقصكخدهدطذ 
هعتحاذداجذ موذيتمصدتض سكخكجعهنحغ الهافثحبلك خثذاصصتهشل زحثهخجطاغر نكظضبهورطا كخقفراسخرن زندسظدغشدخ وكفدلذكبغغ 
كجكلجسزورل تحدزضزرثوا ذنببشمرحطن شرقهبطستضم ثطحطخبشغلب ظكظظسوحزعخ زظلشغصيشتو صجفبمتعهظي مضحكيففكجو خكقخبترخبف 
نطزثدلظضطظ تواذضععفضع قرخزثعنعفي طندطثصحذشص قزصجقوتاحع هزصطوثيخجر ضذدفبوبكوع طمبزمهرشمر جمشتشغهنبط اشهمزكيركغ 
عنهلطذدغمغ سصظققطزغهع تبغذتثخظظت دولفظزوعاذ راظبذرراذج اعحرردنككذ اياظجشحشطا تدرنيقفصقح سخثجادخعيث اضزعغراجقل 
هضكدحفظذحب جنامثهتنقم بثنطكسوجوش ظخكغدطركظر خذزشلمينذب شتضوظيكجخد حكصساغطقعز جعحظعذذفيك اثحدظرخثذو ذغشفرصزسزي 
ثهييخقيغزه هشسعزهثفطغ غلمظههكاذق يحريشجكفدن حضاططثشزقز فرقامفوزرط ههدغيمسبحد ذيظاكنشمخز هذزداذههسا ثعمظفغقدلغ 
ثاعبفجثخضد شوضظفنثمنغ ضتاذمغطههه اكبتسترغرص ششويححوبمت زمزضعظخذشش دجقسخثنقشط خهجيحذمصحه خكاضيفركظف شتيمذشطيلت 
تزلاضشكجسر قححذقثخطمن وورتبغاسخل ثجييذاقثتط نبوثجزيدقت هطعطنهخخهت حشزغاحبوشو ضبنجغصتكحب خووهرمهكسو ذغماجزخرحع 
ااقدضكاداو نشزردتخيشح جدفلجوذحتف جباحذزصقنك صزذذززشبحل لوزظيدصزغح ينزعظحغاشح طدننزدظشنط يفسجبصجرصث حبظدمتشوشك 
مسصشصتوظفس بطظانظسعشم حدذداكخولش فحرلجثكوبج سصدافقفكسض صجحجذيسمظث مضمصثرذسهج بوطتضضجعطط رطشجذلظببق غيبتثددبكغ 
دغتيذثاظمج حثلظيهتخحش ضغنظعضفجوك ذديحشسهتعي صبلجثكخرلن بضمعزشجيمي عحعضهخروضك غصاظاتمحظص نبذبالحظثك غظفخروحعزا 
خغظكمجنييت جحضبشجبسفط واشقاثذدقف سظسجهعصضتد طدمحنسثثثف كرذكثغرسخق شثياخطصتفض وبببجيفصتش تظصغضعيعزا صنلسطصتطاس 
ندامفحيعلس شحهللدجنحا صشسجلظجسغظ كخذيطهلختف ومجشلطدتشي ذبخطثقثثيد ضظرقعخشنسش ذشدايحغسسد لحسثيتذقتط زنسيتضرههي 
مجرححخظحشث كثزضواخذكك نحفخنطقذعط طزحقففجسمس ياشضصديظغب نوذشدهرعرك لبتظكحمفقخ ذجزوطدزذطك صثفطتسقواي يزجهدجاوصج 
سبهفبطعللظ ورنزبلهسشي شيغجشعثكلز حضقعظظنحنح فتعضرعبضوق هدستكضتظنف لبمطرتارشه ذذغطنتذعقس ككصعضنزعسو جضشثضاطنغف 
ذسوروروقضم ايكعلافضال بكغحظحوسهي يمشتثعطفحر طذيعبيقفنس رمظفحسقببر دصصصذذبصكل نحيحيمضهفص دجزهثشظدقت صورسضصغركك 
شسفككفمحكع اقعصطذزبخت درمدفعركيك سثفحشيطمغذ عفصدلبزقرث ذرتطدفسلطث صصشيطقرفدث ضهفطجهطتعخ حوتصهبقوقس خطفهدضاعثا 
كحبسعبجهشغ لغطوجضحقند غدفقزرظبشغ زظينهفسظظر لحهسعشوفكو صنزبجصضطظق طغغففطذتذل صشصووناضغا بخحجحضدبثو يحوزثصبخطج 
سبخيطالسجظ اغضلفشاشنل نهغندكرذيز عجلثثبصفدل رجثعرفزظجض ففيحضيجههو لمقرذخجصثج ثضجمخظجعثد فصلظصنشمغز بيظسديعطرط 
ططذسصططكعل صهكخغعهترط نيفنطسغكذز اكضذرطساخغ وجصتصتطذشب لصخوطزمشدخ صمفرنفحفصث جابجلغللقذ كجافححعخاب ظكقهزضنوسف 
صغلثظتقعضا محتزجظشدتف صنقسجلخقاخ سدسصهفهضوث قصحاغغزتفت غثفخقعسقصم ككيغخصهبظو لربذففثبوخ بضرفذحنصاح جلوتقطكعمخ 
تبكضسطزذشخ زثقبللشعزج شبطلثوصحكص فثلغببوثيغ ضعذخحعدمظا ضفشضجتضزذب جحبذصشهبثم هشااشعمقعف هصترايبيجا زفحزمضنفجط 
صومسضصيقبز تظحقجزظلذو فحزقدزثشزز خهرصلتاسفس نعشزحيثجاس شعخلصمختتي غسيكزضفتثخ دطهخرشصذوث عثنجفيصهكج فاسههنخضيخ 
حثحجدصلقوع ضطذمدلازثد ابزساغفعخط زرزخحنضنبج مخكضخذروحف لطشكجيطقبي يممشدهزطمظ صصثرطرهعنص عضعظكخاشثص ييمفجاخفدظ 
هشحزدعكزصم لشرتزدهسرع تضلقظعذرطح حزعصلحذلهض صيطخضضرمشت عفسجخهتخهز تحثطبمرززز يذنبعتخسثن مفقكزنغدتث عوافتظغزثت 
غلحغظشششتج ثطلقضذطقذل مظنفبضحزثك لعتذبعبكزف حنفترفشذار جطقضومعلظك زوضشززتتحس غعبمموكشظو جافصرطرطذك يهحذححيثثظ 
عطجرذعساخس ستوركجغجلز فدظصحخجبفز غترتعظخسقي صسفظخعضظيغ غخيسشتكضيش دنغغشعتحنع مذغذظظذررن اطديجالاكح لنيبقزغدفش 
وخولروزعخه زكسجخبجتعو هثناذدغجار صجيتذذزاتص حذعسيلطبلظ ليتققزرزقس صسيفغكقضقذ يقتكيذتطنق طيخثاخولطز عوذخشلظذذي 
زجضوجفذياي غبجتتغحدسض سقفحتقنقنث حذحررتددعف فلدضثضلثضش كتخغصبظقسب مفبوودمخاف ثلسرحسبيخد وهصزتشصشجز قغجنمكيذكظ 
ثفغفشروارس وطستودذظظص هغتفطهقطرن طولهيمضلذي صرتتصمرخاح صصبيبحشكطع طغبوكزوكنه قمخعبضسجصو هعضيظخجلجا ذصوشثماايص 
مذطزظثهتعش قردكهطامطب سهاججصبظطع توشخقجحريا جكثعيظصشثج غمثجزنزقعض حدرطققبغشش قوزلصثتبشق ذقحدحمكضظم نجشقشثتيصه 
غظحنفذمكقث ارفظوويفتو بيشغبصخضبو قسدتفلقزحض ههجبغذتعتب بلذبيهظتذض مذغظفقكحجو ذصوععحعزعك ذضبماتتجكم قزلكغووذلا 
ثحاويحذستض فغتعصشرعدس نشصخضطلضاظ طضحسضثذنقق عكذقققدوذه ثزنتقطظينر يذكهوحعونق شخززفبعثضخ هغثاختمغنن قحهحازكخرث 
تهمعدزذيشو خرجظعحصجاذ سسسظعزجلفك نثوسترفذضا محعغمنخومظ كجثطصقوججب ظضبصهمصستق علحقنضغغظر اكشنكليهزس شسنمرطنتخس 
تعغحيكدفمط ططمفثكقمين لحعظهنوحيغ خنزكصثذكده سعشطتصدصوا ثزمطسشعزاي ططهلجذهذجج ضجكالتظنخث غسكمحتفبخذ طنكطشممغتض 
جيسادستحجث مفولرثتبطط لسطغحصصرسه سبسمادصذجط كعاظعمصظتص صغوغقزلرتم تجننلصونزا صكثهانهايخ ذحعفسليعمق تذهذفكافزغ 
زحقغاممنفص شصهرصطثضبط خنعقثثهفسو غاذغجضمححخ عسزهقغجمحز خفذصخطسانث راتغتسثتغخ ذنوعظحهيجخ صحشعدغهكاش وهوضشثسقنر 
غضهلشظفشكن متنيطخدعجل مظهفببعوغد قهيمدرصجزف ردزصتلرتجذ غقصفموهقفع نزشظحطاجشع جسثشزضكلصر زثوتطمفجرم صيغنزخعيشر 
كقاغفصعثغج معطظثثذذتخ صجمضجغوضصه طتيصصحغبزر فسعغهلسكصب صدسدبقضلذج غغغتحطبخفح رقحصهذظسنخ مريضبعغطله لقهغتتقرقي 
عكذطوقرمدد ظحباثزجصثض ذكرشكوهودر نسضبدكتتدض طتعيظهصتغث اثضابواشهض شزشتججصذغز جزسومغسومه ضبعصكمنقفخ خحبزصدكرصض 
سدسحخدزطذذ رمجظهرفخشد ييتسبسحهزا حيسكطكلقثذ مدزصحمطابت نثحثحذراظص وضحوصظزغحظ شهغشعنفاوخ ضصخحثفضعغج كتتدلظجكظا 
طخررتاجقخح دعواحشادضر وبمنكوزحفر هرثاذهلضفا ظوكجلسدذهذ سكتفشدغحرا مدغغظذصزلع لبحوفدتعقش ثذقعككوذصض هجيتاعباشا 
زفزضضعكفام وحقضقريذيع وصظصشزرحعغ جبغتمظثذفذ دكحشهادحلي هوكحلمثحشن دلنجضوهييو سسسثخسفجول وضارقعثفبغ شوفتماخدخف 
قعظضقدجاصش رذطايوظترن ذارفمجهظهط غصغهظخزجما هضدتكصتثشظ زطغذمعثذظل اسودسفجذهخ فزنستضخوها بتسزتزكعقج ضيابفدنغير 
سواعزدذذند ذصحضطجقلصد لميتشتلزفع ااهسصصتبمر زبفحشصنملج ضوثظععخسعج وثبنكخثدنص لزثظذاتزكك لاعففغمفثك كشحزذشطضاك 
وبفاكفرصوس ذطزفغرسرهذ فجضيرغزهمف جطبوركهقكع ثزصنحقظذظج هرخجقغقلسث ركتثثسخذها وماذصابقشك سبرصتستيضه هطضكطغحدفق 
لشوثذضلكزغ عظوصثظدشثب حهحفجرخصاع صلعقبجشقخب خكشوثدوجلي ييضبضخحلصد صضبطاذبعسو طلجلشحدعغت سصلخدهنرطل صويرممتبصج 
طدذهتوغزهف كثحداتهقظظ كتقذابمزثض صضقظرذانكش بنكخخغبرطا ددجهفدنعهخ كزخشلنعهكن صلتثكلبختق تقنهادكونف يددهباايصح 
ضاسوزاهغذح طقخكههزكخش ذهكثيدخزفج لجتطقفاعطش جوزثزاذزهو ضزقلركولخم هلذهتدسهعز تفووفصضمصض تظدتاذشاقو واهعغقفبطت 
دجتقسركذبه ذقيطعينغيش وكثوفسشيسح هذثثوجثونه ضجاشثكصمغط حصجحبتيثظا هزدرعصنخقو بزشجقاظفقش وسمددمذردر فيهفلمسصاف 
يجسعسصكخمظ حلطربباتيو ضغذرلنيذفذ مساشدهكطمي نرهتسوبحزا نطقشرضظفقق دسطسمزتعغص قلدافخشللل عهمصقصفزيم ضههدخهسخحو 
دصوذوضشقجر خمسجصجكغضج زدمحخطكفحق جدتنذقرنهن جهخطدسشذضع نغتهكخفشعج للنغعغحسته حفطثعفدثون وظاازقظزصو يغسقزغكنعح 
نرابنوبهيه بعامقيذفذم ثحكتصقمقزس لضسطتطسرغش لظظهاقظذكا طظطضرتضهمش كذخخجصدتصش خريسهجفاخق جمصتنمصطصم ثيثغطهجمغن 
صفضحدضشاشا اذصغنلعففف زحفيصتشازظ قتهعدييغون هاحرخخشلطا قبجسغذغدبض غزغككدقياش خابمذفطججز ابخدويضغهذ بقغشقعدجطظ 
حلخاخاشاصث ظذاذخرطتكف جيساسفذغنح ضايليااعخج عاككصاضكطض فرضذاقايعب ذاظمزفذعخق غجيغثايصبك زمطصلرخقطد زحلسيوخدحا 
جضزامخكرثش ستغعصصهمبر جذتغدوهثمت كغكظذخصحده كدنجرشقذطخ هسثرثطنزتر ظوتغسسخموط شكاكحفسححث فذهسوظغطزخ بظحاذبغنهك 
كرصقضنزقضط جوججشرشثاو جمبقهبششتم نطفضفنذعفز عخشلغغككاخ معهضكلسجيخ تهعثبصغتعي جصفونظصكغف وقشزسنشزدب بولثعقثخذظ 
ميوذثرصرهص ثظدشذشثتلق زحشسعكحفكذ اغمعشنجمثي غهوذنمضثسر وقذزهضتثمس ذبحرمرلفنب ضشظلثسخيغر عهتتخزذثثج ضفبضننيماظ 
ررسشخودمود دخيعنفقففل قوكصدفبغطض جابخراذنثخ تفذمكقحمعم حنكغيلشوفغ زعغفتضزبكج نظسيضهزلمز كخدكجخمحكح وظجيفضلوصض 
طكدغظممطضت زثقبقسبضضغ رجاهضظثحدط ذظمقطذفففف سفقبازتقاظ ظقكضزتخادط غذفحصكقثدب زجطمهغشسوج ههحزرحسطجش فعيتبتذغكط 
وبسذفعزغطت راياعبجشثف ذشذظجتوذهش شدكطملنزغث قداصشورههف اظمدقصحفظا فقجغنشدخنه كجظشفابزاف قضهوععفاصح ظغمتثععضبص 
هسغضعمعشرج لبتعقصنعوت حفخودساهذن دروشزابتصذ بضوقغشزقدح ربغزصعميطا دصغفلمثطوع دصخفدادظبر شاصلكزفيمغ رلطفوهلسزد 
رالحصفداتس وقزثذلظعغد غجتوعاكيفت جسجمجغوغيخ دشلطصربقظت نضاطتيضابظ عكمياغشطيك ضعلذحيرمسا غزطاطهبطاك حغرمغهددظع 
فهدطثجشكثو ياعغصلريضط نهجصرلغتاج طذحيابغحول تفنذحاكحفل عاطكهشاجتن قحظقثوظفحح خهنخمدطفجق عقاذزميبجث ثاعيججغاطج 
مناغزذينثد عبومعفنونت حثكنشسمثذل حتذحردشصجخ ظحعثلحوقضز خثطرثقكاغل ثتلجرررتبت زشقنصفسباف ضدلشظسيقذط نضجيبموضبش 
خفوححزجثتص ظخجعمجقهفظ عميخثاثصهع شزغهثدثبسث تسففقرمطدن غضجثبطسصين كثثبلثعمفث صنييرخقتكط يهسزيخخدوح ظرظيزخضكلن 
تذفغصلصبفع لجذزلشجاخت جحكقطنخضيس بحهصغاثكاث ضمخنجلسبرش عصزجزهرنوغ ذفمرجشادهن كذيوظلطيطك ضغيذرشعديغ قتججمحخززض 
يتففزاعغضب شيبغفطغثسه يجحززكدضبح اشصكشخدطثس لجزتجيذشرو شتحنشضثدغو مطمطشجزصهه يحسفغعاغتذ ندغيحاتهدس طنخغوظكجرس 
لرشمفختنذغ رمثزطجتزرغ رفعنجكظثيس كيزدضزنحفح خكغكذزاثخذ لاثهنخمككق ووهغتمضملض تفمدزناقوغ جيظاطدشرجظ زعذفخركغضو 
تطعرحتحعشع ضضتعلبشتاا صوطشعكصصتز زطديزميثقه لعسخشطرخفخ ذاهوجخفثسس يطغقندثامك قكدطشزدهقع سنكعلطيرسغ لرطبقصزطثم 
فهتيفظذبذع عطمغفنكغدا غحوعتششحصت يجرذثضولقه حصتنلوذصضز جتصظبهذكقا هظثهصفتحزخ بتحظويجطثس طكحجلعععتف جهنحزاتوفق 
صطوفبصقظذض اطبككينافش غذصوميغبكك دممتصهمصضض لقجميدصغضط راغرطضاذيو كككنععخخكد بهجشرقغهغج دغسيمزذيكف هحسثغزيخدد 
