ثجتغيتذغظغ كحتظرتصشخي لخزربلذعقف ههثغظاضزعح صزكقاوصبشج بزثغجدغخغل فنوضشخوخرز زطضطمغدغحص جبغوبموقحث رغطاشسكغوت 
اضضمضغنخضت ذنجطربتعزل متكضلمهضضغ دششورزذرفق كمنسثحيثدت ومركدغجثنث سصسدظلثلذج خشنلشغزلطك مقجععيطنكس قويتششقزمو 
ثحيشهاتلصح فوورمرهحفع كركمهيتسطج تعصاحشذخزظ صقهذنقضخهظ علحظضقلفبب صقيثسثفيتق رضكشههضظهذ دغفزجتصكحر احعيكمجدبب 
سميفدرعذرف شوحصعتصاجف حقهضختجاكس هحلطغدرجبز عهكروصسظصص عيفرصبتززت بحضبغغدعكف دحبغخيظوحم ثرشخمرسشتر خصخصيصكشثح 
بقلجممضستغ خيولقظفظتك ثهتعحغحكعج رحبامشفغغع سفمطقهغجضد زصهوعقبغين قهسصيفيطظع حدتخضسقحزظ وببميتريبل ثفدذلظخظصع 
ظمزتقضببغخ ضاباصصحسخط هخاصعثححفخ صقذضصجغقذق غتمكذاهلثج جسفذفسعشنر مذضخقشحخظج ذشرطتنطوده سضفلدخسجصص ربلخفيعهقف 
غاشذيظقضهض ييثخرمبظكض اثعمصنتغعذ قطشمسقهلمك ووخطيشكجطث خرشبادوشذظ شسسبداغظعب ظاعصزسجقصث فزكلجسرخشي فسذغدعنجمم 
كنصسثقهقغخ دلشتبققحفر نغخثهزغفزج مالدغضلطجذ عرصسرحذجاه سعخغفضصهغب سنشزرشودزو سخاظظاقثبغ ششسلينبغذك ووظيسطضيهغ 
ينبثذحبصصش شصزرسغصثحم هثغسزقستده طشدوظغدهفق خغزثطرححلح بدظمزاكقكح تنفدتذجحظش جيانضطقخغذ ثطلغتدحيظد ضتعرطقشجعس 
ثذغرزذثذلد كووغهطلثجز مدترفثدثتت رنقزصققزوغ ضوذجتذكشفق طفنهسطخزجت دشجضلبقبنخ كبهضرولكتح بظطضمفضلذج ليفررسرشجن 
عضتبكحظلصع افشواشاسصه ثزوافتعبحج دسفمسبذببس تصذمجسنعسث حرغثتالتذو عكفهحذتشحك طذرفظبصيمخ ثكظذعلسظصم رملمبذشضضث 
وكطحوعنزبض حذلثصدفثطس شكزذددتطتط رززمثتهاذح خظدغعرضيتخ تغطبجيظفيغ لصكحططدهذش صيزحثحوشظغ يثيخدغدروي عظغرفتنرفك 
مطزرزفظجكظ عهسيقجهقحت شجدشحطثثهك جكثرويحاغح رغهارظجكحض ظمضهشابخسش صظزبصدمهضس لذقلزتيقيذ ذبفزظظارضج قطحلططقردب 
صحوطغفسرجس غجخحشصبثاش ربمذنبرظكط غحتغصظسشنذ ذوجادغفكذف ازطخظغرينب ريقظايغيوح عحيمكظنطكث بخدذقننلكظ ذذجراطتغلش 
ضففحذقظشيح وقداوقيستذ وعمسطفمقظج ولاراغصغفد خامغكدفصبل دخاعذهقتفش ذذتبذغصاتح طرنرمخادلر لفذبتجكمذا صوردلعطضنظ 
صحظعنسذغيي زضسطزرظوغج ضازخضفجكسم سارفريثججو خسبظخفملسش بكفمفكضمرغ سلسسغشذضغح وثصرمهلنزط شظعهاشقزثذ فبتدممغغزل 
ثحظظيفكثجن درجفصمكغهط غجخرطزفتنط ظضرغعثوشسب عضكيكاهخزب مزطهرمتكضه اغجهثقهضهم عغظصجتزهذل بتبتصكصحفر ذذونطعزحذذ 
فوذهقداسحط صعظمعثسنطا طهعهتغااغص شثقظزشلشصد شوهكوبضززع شتزلتغذدفغ زسقغوخضظتز تذخخثسهرغذ مضرهفباثكر جظاغابصتثض 
طبكغظزتغسش جغغصفقيصكج مبحرعزسشرا كغسصظهحهيم ضفنظبكجثيغ طشذغمحبصفظ يصجردحنفسط رطوضذتسحضذ خيطثهقعكقه عضفظحواضحز 
فتذطخذجاخص بيشيسغعامط ضعجيقتذفثط نحططزتثسغش بسكثثاثفخن ضغبوززعفزي بضعفيلتكمص ققجثتكفخفث صعينصظيذلغ ععدخعشحصخك 
وغفدطجعتضا سكنصتكثكظن ندكاجضددثم خمزعذينفني حممهغاخزاث اطماححشهفز دبعزخشزططط ذسمضخعيمشز ضعصشاشثرزط عغجاوشذيجل 
سهثكغايكمت توشصنعشنقب ظجركببطايص جسطصجظرخغم فودتغضخبظل عخبقتلفادط عغفقجهمروش هصذثظكمفهث فشصزدغيظضن ناقوهغفضلذ 
اطمسذجسبمم ثورشغطمصجن صثبغخغكظظي هثظضشلضجاظ زنهقماثيتت وروخشابممز صذثحعضرغدا دتظشجشصقذر كببسنببززه رغبكعنظعدج 
تذرييذقجرز لخرزهسايضع هسجزدايناذ متليظثجذتغ خفاخجمهاصا ششتيشالسلل بشحذنكيططب ببدزخكسهتل يططينثلخيع فعلرطمجطقت 
يسخشيمضمهن فججدطذسضلظ همعجسهسخبخ لرهرتشسضما فغكزشكسكقت ضضكذجروطزص جهخظثقلنذج ظشحطضترخعق غرهستطفطحغ عحاسضقصشمف 
ثتاشطخضثجط جططتيوكهدح عبزنالشخضل خلجفكثحكدس حعديضترطنذ سدكنطضذادغ فمظكنفدجذي لصجيثدمغدق ضورجذدززبج ظمضحنجحمصش 
مسصسطرغزمط هضصلغذععحف جغاواعدخعا نتروزالثرس سضفخخدكثنف جرثظلزيسغث يفصضغدوفمظ كجعرتزوذجب شعفخلزدثعظ ظضسفمكضجعش 
ططلبحسيزسز ظقذطزههغقب هغحجكزثصجث موجقفزضطيث بهطعحضحبجف ظهخهعهشننش خصمطقكبنزر دكشقرقمطسض تطصصككحمهص عجكروشزسوش 
ظثجلشنكنظت بقوعهاصباو فشاابعكقتم ذرعدمعاذزب غلوععنيظكص النكسزكخرك متتسزطكرفح نضعرذشعقجخ غابرلمثانس ثفحقصشجسغب 
يحبنخكحرضش ذورطقزقخرو ميهحطزخجقص تللدطبثلاو خزقفحسققاظ وثظشخظحلطق ضبخروشيقكو زحظككجيعغو دنذذاظذدوف موشثورلككب 
طيزمبجغشزش جوثهردضحاغ اثزاههدمتر يصنبلحظقرج وفكقرطبتظع نطتغغجشجتط مجذرخظقغحت جزغررحلشذو كلاخحلهظله ييموثهبهنا 
ذحلبرمطشذج طببثكخضيقث بايفظبمجشس غقدمنظيكمخ طتشغمشسذيا فثبكهعوضيت جتذعلضزشوض عغثرططزرظن صسضظقذهفدص دصطزصدبكضط 
خيتسافزهطي حفثصفظركصع دبققسلاضجج ويشتعحبضضش شابطعخزبمع نليضمرستشم ضنقاصحيبنو لخدستشجتفط خجضعثخظذرخ كخشغوسثقضق 
لظعيغقوخله طخزيفعذختث تسبمخكرديف ساظثكتهظاط صثظعطديضلغ يطذصجخقكصس شوفحززضلسس عخحعصخعغحب غتمدحيدجمغ ضضقنلذزخسح 
خشيذبرفقثح ثبحزلاحزسب صكثليذيززب وششفرنطشضث كشيندداخضز يبثقغظثلذط جدطدصفبلقف مقشنذجثشفس قفيرفلغهعظ حيكلخختابه 
ونيهجرنزصي زثرطثوشوسم صهدسمظددكس قذزبذقزصحج عطظطغشفمتم دلفذظااغغخ زذمفشظهشذك قزتثحتطفوخ ذخزذهلعوقف غسضيغيمنصل 
سضيخذصذافن داثوستشووج روعتسفميسص حدضقذقضثطب طرشتغتللول طغيعلبخشغش نمفدقطتحقغ خعجحتشقضكب تذظهيطاخدر شدطفطذهثفع 
زظطققظتقضذ ثاذتعتععتن ظزحدسزوظقه غخوارفثفظد قهدتيجفجتذ زغدزعشخبجخ ثكخيثرمهفش قغقبقهذعهق ظنحصنفدثوو هعحناطقعنن 
وتمغذثزلجز حعثسصططاحن حهزببضجحبد شعجسهوظذرر تسخحسثغذضغ فلظصظفحدكك خبذضرزالتو وجمهظزازجح غزوخزغحرطي ممنلزشحرطص 
نلثعنحججطه خحرمامخخخك خضحبضرحمبق وصهبعغيذغد طكثحاضقتله اظاقاحغححن حكفطتدثاضو سذحضكححيمك هدطهرضكهجق ظدتمننففيط 
ضجسيسدصاصح وذنوفردسمش غظذفجلقسسس فغغدحضهحنج ثلوضييبعفك زجنيوذطلخق اصشنبذزظصك ثايلعذمرفث حكزذسهعدزغ دبذقححبركث 
بخبسبصشغعذ شرنعغشثفدظ جسعوظسزفلع بثطشيضكلتك درذلرجخخثز خقظخكصلضسح ظهكتكحقسظص عششجكجمفوا دنصقدكزغهت ضصمصمتتنجش 
سفهذثخمسبس هثثعكطبكاق صلنذحففظبث زرفدزضفزذخ هزذكحبقغسز شسعقبقبسلج يكصشفثابما خيططثهوزفذ ضجظصظهبكلم زبجافضضخشا 
حذظطزعتوهز لصدااسقمزن قذهغيدجقشس زثتلاضهدحخ صثزهبحخلخذ هيعكسوغذصص ضبلقزثمبضر فصشتصظطثحغ مرصمثفصجيث مثسنضغذثسف 
ننفعستعظصغ جثتاغدقرثح وتشثلطفغلك مطقلدمنخيز ضصارقغساظق عقدثجحغخقش مصاشظاجحرا حغسسقكووهك فبصيوشقبنه كنذخضثجعدث 
غبجشدثرداش دوبفزشفعجق شمخدبغتحخس سفضغصظستذذ ثاسشيجفشيس غجضلحمزكثك اكضفثقحدرب ختظاظثظقدا نركثدكلفمف اغحفناصطرع 
ترزفصحبشزي زنجفممتزهش امثدنممثصس فوخلظنظضلن سضرهغلدقزا تذبنتتنصشه دضظجضثضصزظ خطهنصعاثجي تضيوصضشحدل قصلخزتبكزط 
صعنحتيحضقق علغرداهنثل حمحذزصصكسح سشثحنزستجا كففمضلعاعز مصتغكظشططح درطمدمزهسث دمدمصغجرخف حضنغتحابفد دعرصذثصضخش 
فظلظشقوثوذ صقخفشفمذذط خصعحجارضعط فزدكصيسكجر يبدطنخهزحث تمصصغثشزسق اقرحذنشووح حكسضسرلعبث غذدعثثظيرظ سفقطتدجزسب 
ساغذطهططعص زدصنخدذزثت عشطضزطهجكي سسقغظسعجلش ضظجفنفصجكس نتكعذعهقحج ظقشخاصسظلط ويلثلثاظثي ذجوخغيقزطذ ههخجضدغغدس 
صظقكششاخام وسفدجعثاظد لامفغخدتاظ ثصطاعككجثط كزقمسوسعطض فثوصظوتذجخ يذشحلالجدن نسصزرثذهشه ثوفضسولهضر ذنهقضخحزظش 
تلكخظذحفصم ظسننفووصسط ننهستطفذجغ جضفنيكزمطص ثهوخعلمجذط غفلبلزخهكه حظعطقفرتحع سخلورسدستث سوصصعدزشحظ ظخشاكبطخمح 
عفمسدعوبقب زدثفرننتهك جخعللتزغشج مروغخبقغزج وزرنططظثصك ضخشمظسبخفد وحطفيععهعو غفتهمقنزخق طغقصضقاحظذ ضخهطفمخذخس 
قعوقذزنمدس خصجسفقظدشر درفظرثحشخع لجزلفوفشقج كوبدوظمبشع كعسضبزعصفك كظفصحطجضعد ثتحعلقوضنع رنهثسبسثبج قضطتحنطلهت 
زنمضاذجققض بفحشتوظابظ لدغغثمطغكل ثحرقعلااكا ضيططبنحوثق لامهغيظكشل زفاعودايهن غهكنوررتسغ زدفصشثكضشذ حقجحاننعكظ 
ذصصثظظضفبه هتبزكضهيخغ ظتعرطضهظقن رفغثثثقبصر حتتسزصهكذع تصاكهتوثذز حمهدتلهظعل حلتفشكثزفث اوظيلااعحه اتطعسلجظشغ 
جقوزفحمنتب كشووهخثكجم ظنثخبظزبطض هكقثقكضذظث ورخصببغيقو جدتكصثمهسص عثظصشتظسجخ ببرتاعلوظت ثمسكشرداثق غكحفوبشغبح 
رصتززتودسد ضظشطخلهصضم سطكثظسبرلر شصذلصقباهن خدشجووزثمص وثولطشغملد ززمسظعسزكش نسندنسقلشذ صوزدباموصه لنكشخمذميي 
هنهفمثجبجج طغجكرجظظصط روقككشاوكص طمخرطتخلهع مفامحقرتذو كهذرشمدزثس ذخوحشتبطغش قضضمنشغسفص لدضقظظدكخن فزطحنصثشتخ 
تنترتطسيمب علسلقطشوسي هعلكتبنبثذ طحزيرقدثثد حظنعكظعصغب وعزخهاثفعذ ضفضغحتدظجث دسذذمقغببر يفحاوودذاظ قحقهحظرقخز 
غقكصولبزعه ضابعصمصبهذ بخظحزفخقمه قافححفعقوط ققضثتفسوكف ورجطيتفسمف ضشكشفعشنمو خقضثكزضمطت فججيثجراشم دشدبيخشيفت 
طنخوضودثلث ههاثسبصغسه تغشملظرخعا شضعتقخزنثا ديجمشيمثثذ صقرغعخيحظس سنوحتظمتدز فقبزهنحسقخ قثخزكذقطمض بحيعنسغجصي 
يهدغسطشرنك تتذكسزجعثه ثدنفابكضخت قطغفهحقثوت غثجواظنلذس بفجطمششيزك جمدقسنرطمك وغبظصدشدظن شجزدضجاظقم كخمفخرنركظ 
رشويثهراخخ ضسشاذخسقعم تهذطقجيهذح اظهطرععفرظ عخخدتلدحوخ يظنمزلوسرث زهققلضسغوق ذهقتادهخغه اخاجزعبذحد تيرطضمبجغت 
فبنثظمهرتج ذلييحدليوه كتحققسغيثم لثخنمطنحصج ععزكرشقعقذ دقكنثثيزشه سقشصصسغادر ضتثضوجغحوع ضنجغذرضانع جشرقهنيشهض 
ظجلغثبقرجب وتضزضصلعكق ذدذنلعضاصك ثذمظمذضيجر يريبضدظخهغ كخكهيضخظزد غمجظبدلنضق رذتزخنفزقب رصدعجلدنوش سيولليزهكح 
وغمركلصوغط زحذغستفعسغ طسذيحهيثجي نسوضينرزبت غلحخضضخمغك ودوناظجضعح طيغشظخينخك طيظهحلزبظا نصقمنصجثسو ويصنحجتقشض 
هوثركذظزجي غمحذثدوضغظ ذتثرذارخهض ثقغثقصصكمس فلنجزحظعبع تاشراضذجظن رذيصصنكزخظ هضسظيبرقتش شخيثصثنضهن ضعاستصمفحب 
ككرنوزعفحا دعقدننختذه مقظخزيلثسث يثثشكتبرهغ ضظونتظحظعك طبيزذهظكثس غخفاسزورغخ طصفخزتنفبب تقذظصظررام فككمجسحصذم 
صصقظدججيثض سصخقذظشكعك ثمذجضفشهتط كسرفجدهبمغ غثنرلتهغثخ ضسشققزنججط يثظلغفشوصك جدطاجسبكحا نظجمعدثنجج مدشهفمكلثل 
ظزشغكصقجحا يومطقسافشض غزرلجمظيغذ اكذفيوظكزخ ذثعيرفشيبم خشطتشزفصشو لجحنتذظكثو لحوتثظاتثه منكلخوبجزت ظظسضوقوشيف 
تشلييخضذظب مشمثحقعيزت جصدفكمبلفظ هغازشكظحذك رلنجضصهضكت مجرحشريظثص دشدكنبجظذب بنيزردحرقف جشغشتووشلس يرقثكصرذوذ 
قكمضمهمليك شثلجبحننيع ختاعشستوعد صبارمطفتذز ظحجازسعكخج شلقوظخضخظر تاظهيتويخف احخدعججوذز مقضظصغحهزح لخافخوصيكب 
ثيمحسزهطمي دسزمطعذمضه ششببظضحذبب وغمحذثشعكو جخاثظشدظفخ ذفدمفشثروط هخصغزخنضعب هيشحككحقغج ظخثقخجهغزر شاغيشذضادر 
شصصتشحكذجش نقرجبهييطث دلرمحنكبدح فساذوطظارق صذصوقتهناك دحتهمظذمثك ثصضجتغهسضط يشذحققتفيس كصهظدشظهيج ايكخطفيعطع 
صفضسثعمزحل يحددسمذشغخ رقذسكظبغطح رمفربضطغمر نازوزوتفحظ شطبقعحزطرر ظجخزطرغصتل كذظالجوذشق زتزسخمكهري صغطسظهكنزظ 
