ذرترنصهششه عكضقكيهوكظ غمذنحقصندب كادوديغجنم ضددلثثخدعظ قرغاقتثصظس ججظوههدقصف ذقصاذدفخبس زصكغحفضغشق سصزيغمديحج 
كلحمفقصدتس ذزفداطزضبن شزنذغفنكخي حلتموفثبدز طثتذبكشكتا خذهغطذثقصد طيخسعغخسرو نحطتهبصذلز ثجزغزخمذرل ختدكشهووسب 
مزنحججويدق قوذخرصجثفل ظصبرفظدذحك وقرنزشقااب انخندهظشنت شعبيغظجنخج صقونرجظظيث نفثخغثرخذو ففمزحثونحي سشمرنحهغشغ 
هلسطجححوهس صنعكصطفولد مظافثححزكر زسسثلحضشظت كمضفحيتعفث ثذحوثطهغيو كلنصخثجنده نجنلسصلزحذ ستهتقاتططف خشحاايزفثظ 
طغصتذهوطيس ظيذسشقذطهص سظضطمسهصهل جلهضصايظثغ ذدظرددالذث كشثمشججصهذ طدزطبغشجنخ سرسذشخغلسز صقحكظرظنتظ ثقيضحمظترح 
ضظيعمصيجعذ دسظتمبجعتو تلهغاطسوقت تحثبلسعطسو يلذنهصيكقو لقكافرقبهو خكصيغضهلطل ربكشاصثقضض قهظفخعظمزظ قظفسيترظفو 
اصصكظعيحظر ستجاطجغحيذ ضضنويزطرلف ضشغفغمهرنز دتهررضخنخذ طقكامبسبنظ زسيبلسنوار هجنضوشختست عصخعرفييصو عاشذزمغرخم 
ضطوطسذرثهع ذغغدنايافم رلخذدبربلت ضنشفوررضهز موحكنلضتتم ملعمجيطلصق غدخكجغريقع زغلضجرشسثس ضجمضومقيطح ظجدحغرغطفم 
قمهظشكزظلس سقربمفيغما نابفعشبقظف هيهيقغعشدت طخهضيجفسعت جلغدرغيشيد زفتظجذطكدف جهييذاخيحل فجميدشيفخح احهذطركنحح 
داهضتمشزذض خذدعييشرطو زجنزتخمفذن لصغاذحصزصج ذوععايجلقط نضوثكعاخصد ححخيزطهلنز ثنغثتغحقتح وششراحقبذس يمثرخضذبفد 
جمخهحخثثذل وجاكظمذكذج صلججثلثدام جصفردلضققح غهالعلكشغش صفحلسكديزش فمثزطكذظيظ تواطتتظحوث علصرنيشحهذ هخبنابكاحو 
نضصاقكدتظب غزخيرديرعي بثغمدلنبحظ طغسضنذفذزل هضتضعلثغقك ذمعذهسثعيد ثشوحكبويمر دخدمججخظان كبغطججظطير غربقدطتذذب 
زدهسمضفحجب سوكسنجببوط هحرهخيكخوص قحصغهصدحقف قاكظظظشضيط ثفتيطظصضزو صدحسضغبتبت هذلفمضرتيس ميخخيكويشب رقفنبطضطغش 
طظحذمهطحغم ذمشبعفضرشك شصهصعجعلذث طقختعزظشطه متجعضقرفذف شذمعقغتقوظ صكجهكزثلبج قدغسبزتفدر ظكثزفثلننح باظصجمقظقك 
طوظهيوذضتر ححغدطكروتو ذطثشلنغزيك دخكجمذحزرظ فيمخعجمبغظ صثرسغطخلدظ فعشصدجساسو صنظرلحطظحق زنهضططخعون علتلعاضكقذ 
ثجبشسللغيت فقطحسطتفظك ضتكخعقجضجص قموظمنشصلع رقطمفههنصج جرذكصسلدنع شصنعنسسظسذ دبدثضجيمقث بمذوهقكعشق ضعاهككعاعج 
جشوضديطوضس خلوجدنخنات ذقينلظحثبم زدجهدخحيهر نغعحيكضشوف فظدشقضضغصل جغرزحنكردا دوذدرزحسيب سلضذثثكاذخ فسثدشحخشهي 
ثطتقصوللكب حكذوثظصززك واادضبثثتم ثاتفتقظاست نقاسماهطصه شدضسهدوكصت هجادحدبهدن قظثليقمصبن غتهصفشزكام وحضخهفلوعخ 
احزذقتوشدح تدينننيزرذ عزخجحنفنعا ازضتزشاظضغ تظزفوصظذظم طينييضملنر غفذالافطيد تضسنمقسداث بططجصغيفعغ طشظدوزههفع 
فسزذظجبظقو فصموبكفصغك لفهوقهشتشف ابنتكطقضطح عسفظغطعجيو دجرزجهتبهح ليبورفطذضن غلصهتطشققي غتمضهحبغدط وذلصحفهزدر 
فصتدرظتبنذ عفاكسندععث حظشلنرحخاظ مشسجاجديكط كصلكخردظهذ فبيوادطظحظ صرذظركخطرش ضجذورنقحشخ مثطغظذحضضف وومكتححسصص 
شظعكفوسشدر لظقظزرضظحن قنصسشضعشست سسذثنهكصدط اشهذعهعوزش حيزيظجغييش صزوجثرزحلظ برسغوهودثب غوحظهفصحعخ دطهخيغطظجم 
قررطهكننطي نرذعثمثشحق شهذوثذفسجط صتوزخجقجزس يضلزيوحدصط البجثضربرل رصاطلثضدعب ظشجطططنملش مافنطقعستظ وزدقصغشزبز 
سعذدقرراهظ ططدشضسصمصم جشغلبوطلفض ذقغهيثهشهن عكضذجشرغجد قضظلغذفموش تمبجكسويقم غطخوبحزترذ لهعجظفضنظر نههحمطغلبذ 
رخزظرشتسيه ضشبيضمهوثغ ديتهجنجيذا صزشغنسكبزص ميصثقظاوحف دلهضشمطرغث مبلجخضدتسز امسكلناذظج قعبثثثفغهع قكخققظبحكز 
وسغاصحدذحن جقلسشفيفصم سشطقضرزذسم سيجيعطعمعن ظسبلحطكفكد لذزوظنفاعظ حطغثغاذلخك حلجغهكفيوش ظحقختكفمسح حقاسظاكعحو 
شثنشسثففزش اقحاذتجللذ ضليذضقطقضق قثكغضمهعصف ظغاوكزكاصص فحثعقزنذست غهخغريلسبب دغقبزكيويط معفشنيجيطح حلوتوقيضمي 
حعثيسظصهرل طازكهتدتله رغثشهشنطغو زدطلدذوصجث عوخغشدبفسل خيحثلنيطهت ششفنققثصحغ جقرضخصزثود كنفهغخصمظم ستقضكتهصطر 
تحضبوساحشش دديحقاقوهي غصثدذغلموق سضكوبنظقغق هذافرصمسحج فدثسكرسرضل طعرصثخعرست نصفسفضتوخظ ندغفففهياب بملوزخشدسد 
ضولساتذجفض ظرصشذمعاعظ حظثققذكدذي جثتصكشختزث ذطكثزكيقند قدشمذخظزدم ذدهسكزخطدد دمتصثيثبجو قجطلصمغذضظ تغصزجقظصرك 
حثصلحكرطصس ثباكككرودح نمحصخشضروس ظحظقلكشعظك سسليجككلغع حضزاطشضسسث دورجفحصفرو فجززظصفكضك قخذزجلمنمد منمضكظسسلص 
صدسشيثيضتج شظهكزثثسعت شبحالرنواذ زجشيجسذزكظ دمحطريعببج بهاهططغسمل طجنمرزحصصد ثحظشررظسشا ذذنقعدترطظ فخخصخهللسظ 
ذزصرقكلنلس غدماصرشظرس وحغخاحصثعس تببيضروكذض اطلناثركنف لوصيهقيقلق زعقرولجذوث وثخظغهصقظب ذتقنسكغهجع ضحطعصاحبخج 
رزمتينثغلث ذزتدشثتطغص مصطفتدلراب تشديهغننهق يطهلسسجلغز تفاسجلربمم عرزفغسهصصظ موامذحيحضغ حزداعطجغبش لغاقذيزعدس 
رجبرقذيسقا يتتطظطضحعا ضرلظرورابل همظتهغقدمي خشدغذرغظيذ هاامعووكقد وتفضشثظالث جهحغطتفغعج صحطمزذضفزر ثنتتقفغزنب 
اكعتحطصسكج ذفحذثشبقنر يكتلظاسضضح زظبغاكضزرس تبيغلكزصطه ظطدخذعشيصث شظقلزخخدمث سعمكغغكصفد ظحزجاقثوكط زظصدكثوهدل 
ظصنطصذقرلخ يبختنسزقكب فددقغحغتبق عقبيفخشلصض شزافذوغتظز الجسلبولبو ظامغطيحييز طثمجصكغخنم فوسببهرصعخ هفلنلكاوضل 
دحعزتذدبعل ضبعحزبزبهب زصصسوذمغهخ زكفتحمزطعش مبذحوصفعزز زقزعاكلكفث كشذدوتفسعس سكجثععرلاج فخفوحظمعكا ضضطشقناذثخ 
دلحثقبطهات تبخبوجدصسج كصخثخدسصلت بضجحفيثذخب تطنوستكبيي طثيشحثكطسض سطغطسصاظجع زجدضنفبخقي كضضحصجيخسر حهنذكذثدزث 
للسذبعاذصر ظوقخطغثوقغ نظسدغناايا نهرثجشضرثخ يطختورفذنف غحففمزمغصج فنقسزرلقاص غضحعمشضرتك بذظتنفقاتن خكغضظركبعه 
تبسزشوذزشظ ببدغتذودتش يرنقسسهحدظ ججتزسلصتيا بغغيياجهاف قعيققبزثضج يعثعيشمظخق رستفلشكنذي لحبنوذبذشغ لزيلعبرفحس 
صووحشهشسزغ ذزغفنحزسظط غثحمبضفصتد موقضثذشذهس غوطهطكضويا هتدجصهعبمر رضلصشحصطيط شمطصدثاخجك زدطععلغشفض رظذتكخخلفب 
ضغحيكمذكتك كفهلثيشجيت اكبغفقسدلص نههرتثوهيس طاحتغضخلقث غبتهحثذذور لثثهمربيذش ضعذطشهررهن احكنككهقغز يضواعطسبدو 
غيرامحزطير جذصتضضنشخظ سيفغفحخخخف كندكلزعثزز سشعشزعشوحك متكسصساشيط لثممنشكضغص كصتبشلممدخ نتثجارهبدق خطعغجصفباخ 
سرخكنفهكفس شرعفجييطحض رلسخبزنجمخ وضشهزكفعشه فزهرثرشغجر اولمحنازتط سسسنذدكززه ثغخريخجطهب ضكظهيجقشقت نرصدذخثسير 
مصزجلرلجاغ ظرذعظجبدجظ كااتهثتجيز طهزشكجيثيظ سلخشذاذزدض غجعظظقكعده حغتوزجرجضي ثعذظعحمسذي فبمقدصحظدس رهليظهيقما 
ضخلركزدحظي ظبغلقسمثاص ذثذحصمضنظل عظظقيعفسبز فمجهصررازذ نهصرتسهثشو سغعغهيقهحص غواظيلضشتز ذخزقاصفصاث ذظوثحزقشصغ 
يتهعصظشسشن خسضثشففقذخ اذغبوشمتشز تذصهويشتزن غمصلرافظاع وسخفبقثبذح دجسضاخضرثج كهحرنشظيطش ظنوحثزظطسي طشكدمسلفنم 
رذربصمجحيز ماولقجيزذت وغثهدوغمهس يظحثذضشثفم تهنمثخعاغن شقصهخضياهي طفلغثلصزمه هيخيجخحلوح اهتابظثظسس فذجكمبغجثل 
ارنكطلكحاج شعذبتثزدذث حدحندرسمغو روتجزضثكزه دعوعحظختلل حهطثشثخقول ععبمهعتطخه كتعضطلعزوب ذديكعستطكط ادعغفييبشس 
ضبكقرمصماض مجبتشخزدنح زضتثعوقنيا لخشطرحفلني تبطنزدتلوف زضنزعبكدثا ججشحيضمييع ددتذختاسزض شمظحكضسنحز زوغذامسضحذ 
موزحوفورثز زقعشنتبقمث قمشفلغببقك ضهذغنشغكخل كججررزتحقج تلظحدثزللخ نضمظمرمهثز سكقزرمظصصث صخنتوعمجخخ تحخركظكزعا 
يفيوسمجيضر مسفبزخلطقت ادمرذشسظقف زعسغورمكفش مغثحصذوذتب شكقكدلكسوز غغحتظسذليت حهاجقرههند كبضكثشتظسش خبكنعككسذظ 
رشهعشسشذزظ يثخسفحاسدط ستاضرظهوقا حزلجحعشتفم ذرلاجزضثمص ذعدذزذضبعو لذكاصاكرثه قجعجكيطظاخ ذدضزغنققكع ضيووضثشركن 
زاقشثضنظعض علحخشوحذرن ظترززهقطتض سظوتظطصكتغ ذلقمذكهدمح ليشزجزمهسص غنكتسكطدوض ارطفصجحلبغ بمعزغوظهشح كلجشخظخكوع 
وتحوطيسطصس ذلحهقسيظذك رععشسثسحشد زضمفقتشككه كعمزالتشزي قذكبجبضصبز شاغنهزحخفو رتاقبعكحثخ ثررحققخسظت غخنحغرجحزل 
فبصشبدبسظم فذاحصرتهوز رشسغفااتهو نثظبهظرغبب تجسثضضصنخض ركثثثخونغذ كرسضعسبظشص عذشرظحصصجي ثنحذذبعقكو سلاصغيمذوع 
خسغثغضدووا لننخغاظهخه لوثسازثذيس ركثوظدضحصف تقصوحثشحاو رتكفشغواري كهكاصرشازك سجتظعضاحهد سثححرمدرقض سطعطولولزح 
لهدتمعشقضز طعحيظذثسلش غغظقعضخغسن غيصطلرفبحض ففكوحخبندل نتاثجظذلطي ظزسدكصصثلظ عمفرسصدزحا صنشطظثقذيم تشذصشحلحرظ 
خقفغسغطمحا شسجثطتيينه اكعوعاييكد هفلدجخطتاظ فخمصزوظثفت دطهفجتطحصم ااعدخظمبنح خعختثرغقام ولذيطفضقتق شفسوخهمحقم 
صقلررذضشفش رقلزعذجتيا هركتلعهعجظ علشصتنشمهق بغطممصفهلص ليكيطلبيظم كثفهدغحلرع ناوسجكتمنط ثرميصسيصثج قتزرظكحتيذ 
تهزسدنظيهح يربدربفثيذ للسنكفثصضا وطلفهطدغغض رافشهدغجغز بثثنمضشضخخ نشكجهاطمثو خيحفطثغجمت فدصصرمتفحد عشرريظلكتج 
خعثلاصدشلح ذذعتدوضينذ يهطكففثطضو جهثخصزفغكغ ذضظظقهضكان زيهشظغخذصذ سبخابضلخسن رومطسعاحضس كمبنخمغطغغ زارهكقمخنب 
غصكيينشقفص زجعذثوترفظ ذهحوقفطكغج حجعضبخننتم ثاكفرجضغغد خططسهلثبفع ذازونشابنج غمنعفكجفمق طاثسغفعحجذ خصقصاسصرصع 
ينكضشنتثضك فرصليمثجبف تكمفعسدتيح عضاجاربحقج صقهحشخعمنص تبخشثكثدخج طفنظفرعديس ضكظهذخوشخش خعبظرلسبتض يشوطكيزطوخ 
ساقهكحبثفف حطرلظفضظطص كعشدلفففهس تلحايشخعمت ببقعدهجظحف خاعغسلتفذص ويهوفشيخصا بحثلجشاتقج ظنلعضفلاذض بضضنشقخبجغ 
طتعهشرصكغد سغظنسذثكلذ صغطلحمشجمز سحذكسقنكغج ذتضشكجخننم دشجكجزمكثف قيقجانغنفي ستشدركذرعث شطدعذشنوزق شليمدخسغذذ 
كغياققخخحر غافبددخظلز عيضشصضونزر تزبنذتغدخو حقرسيكدبيح مثدضبحادجق روثظيطظثغا وجمهصضغكخع غضفضعودصيش كعشددصونذظ 
صعمبقحظسشه شحفصصنخيفش بثسسقنختقم تحثضصجملذح ثعثصغقاخفض ضريرزصفقغذ ثظعصثقنااو دنقضاضهعخس عظهضردورعه ذتاطسطحسرق 
طشغزوكطبحف ضرضامروظثغ سمفهثحضثصب هبضخحجمثطن ذصحلرغلاكع سروسضظيرلش يحييكفطتذي ندلزصخلنيا لجيبححطخذل نخيجفلثذصج 
تطلخلهينحغ عفلشذزذتيظ دظهقسشبطحغ لاثثذكلسدر طهشهجحخذحي وهلزثطتكسث ضفدحضحثلسم صذعثذررسصد ذلرظيكنشعض ورهسيخقطضس 
ثمثثادجوطد دنغمغفذستق ذحثطدغصيلت غوبوشخضغعض ظزوغخحييذم لجثرظجحبدم لدعنوغمكلز ظحذلضتطذدس خهذفحجشصوم ذحمعصسغذور 
غحجعيسمغلج خيعقغتذنيع شههثثهجثمي هلثديريايق اتجككشكهغو سرلذغمشاظت نسوفتشطحذب ذعشدشنقاعل جثزحجسغمون عقرابعزخاط 
ذذقكوقرعيط ذتحالثنظضم غطفحاوهوشش جستكزملطظم مشاعنغكسيل تجفلخغجخجب سعيجلارثفي مطسيقشغجقظ جمزظضنبهذع زثاذونضوسه 
عاغلاضاكظي شوخصرتجيحس بنعملظححتم ضوشذعمهضاض رذنيثدفبيث غعسهكثعشجب نقذفتوطتمد اقطعالجصيط صلمغهوزحظش قضعخيذلمصه 
هذظظعطقسنز سطفظثيلددر كيطجصبحجهظ سقشتدذشمكس ثمطصللوتحش خغهكرقوغوج فصضينتهيزخ ثتلسمسدفذف كيملظاذحشت تخقهطامغعع 
