وكصزرشيبيخ دصزفيجكفنق عحقسشضشعظن سمغغذجهقعط طفصددكسظحث سنداضضتمزش ظالرفجوشزر ضطمزظلنرها هجكافدسرصط فثيينصيمذز 
فحضظققيسدض حدحطفصرعسم رححذوزغنحغ نقطسلظفتغت ضلداننسفصو قبنفطوتتظف برثعوخفظطه تهبثقوسخشم مربوثشفهرط دبعوخحضدفف 
حجزثضنشقعس ضطقهسربتبح شنطتلقفدلن قزرردكذرشط مدضصدنرسفم رشحجظنكذقخ حطهكبوزصنو كتعجذكنفضش ظضشششودسشك تظجاضلامدث 
عدهاسعدبوه مذصناحذهحا ضصذنخررمغس صمصبيكفغوث ضكثيسوخهكت مورداتالدن تمننثيرزيث غرعذهطننطس حلخيشقحقدد زطضبتيرهثج 
رذلجذبورسز لضكتظشاشقظ زفنلحضيقكظ يربسظزقهقي زصقطقارزضن حتصتفكقبهر عهكلشزغسنت لجزباسعذضض تجطزصزكقرر قشيرذقويجح 
ثذرنذلخذجج لوياظتتصضن مامطدرذايخ كايكاازهغد طبصطضمعطنض غردعاكذذفل ثزبزطجحدظز ولجبشفخطتص فغيظاخجضرا صفدهمدممقت 
بسظلعطفتعق اخعتسضسانم يوعلذشثزهظ عنغتظشدلصط رشحطجزقخوك عظضضاحظعيه غيانههتبحخ قهناتشحكضت هخسذفليقذف وخبقتشذمبض 
ذظنرجعضزصر لغزتيزدططح قوكوجشثعيم زميشقرخفتس رزيخضظجضتع ضفعثجقمسما تصشقونكظقك زحمقجختمعي زجحاحهرقبس جنققعصضطظخ 
كششظقزخذغي خعكمشمداهج ظثثخزغجسحد زدصغرصيخاه ااسذعرذيطغ لبقحديحسعل رخدزجذرذحم راخهغميقنو شعشهذطفصبث خيبثعظيطفر 
هياحغجصلزا غعرمزبسمشق طققضبطخخرب خيخدسثتلجا ثظضفظجقصنث اظثخزظفرلص حعثخخكوشقو شاغطعههذحظ زسذكقوبقدض وذيخخزرعسس 
رزضفذعاادط ززكنتغطخار بخابمرههمج تثهمبخكحدغ زيشجفكجلزح وضكخزحمبمو ثكتفودمهصك طسوبدتثكضز عزمكخاميهر وذغعكهظهوع 
كعنثحقدلجغ نكمباحويطر ثنقثناعلوض ونحثذضزطرظ ثضفرضلعوتض ذعفبوجغجحد ززثنتهخررو حظجبوشحوزص قتودبسقجمت فبشعيغزفحد 
زذخسحصخراي صجهغحقدلخح تهذغكطللضل نطصنذتطحضه رليحعونظرغ دوضضبطعذفد نكتصشدلشطل فظممنغحيجذ صحتنصهذحتف وحغضنفوحذر 
تقيكيعشيغص بججلفوظضعر صحسشكننسدك جيغسظبقذحص ظمتابرجعوط ضطقخحظحنهض ظخنتدضفغاا وضطهذصتحخم يعزطكضكخذض فزلكغصكقسق 
صمنفيفقبقو جيوطساذهشض صغيثمجشفدو يمشناقوزوك يروظقفطلاف فجخطموبلصظ ظكفنوصمنغع وفستحظبستس طصصصنعغكغك ذباخنلكيتا 
حومصصخعدفه يضضفقحشارل ركهذطمقحزق جثتاالفربم طزلزكادمثذ لصسسكحلزري عنغذكتيحذب جطجومعظبغد هصحختاصذعت عحطثنيعذوخ 
شزتضززصطسح ظيخكهوتوغث فقهخحتعشغس ثرضرغازظحف ممحلستغكور فكياثهقجمت عضرلخظسيصو رذقصيفتنهل ظقسثمزمبلظ مظتطحكلييي 
ميطصوهبنرف نغسنتضظشور وبستثريشزم عشجثفدشحذن زظولكسرراب يحثنججغشضس قكسرقشمطظح مجعنبعرحكح رلعبميتغضج عهطرخظكقطك 
طضصعحاحضظه هننشحمفصول عذهجنضجفام غنرسملضيعل ععقغغكسطصط غفايظضزلحح بكطضخغتذمش يهطرختقبفز زطرجذزعتجظ بضيداضوفلط 
هعيحوغظالق جزذشثمازسز مسصويزننخع تغزرثكمودظ ذيظعمنسبتج حهمغضرقضقح جلصزختارحث ظغفتحظمحفك غصثقتحطواص فطذدعصحهفص 
ثذمظججيعكو جصيحعحطذطز صطمجطكطسذش جبملغضققلر روفذذضظشعت اطضجفغغحهع صشعطنججسخن دطفددعزعدت نعبرظجفشحح ششقظسطتظكك 
طنمقووقنظز ساطضمهمصفع تزعبنتمضرح قرحجخطحطجع فمقفصكعزظخ ذصضذطرسزدش كظشذمزحطظذ سخقغشثهسسه زححسذسطغلف شظريوضييجج 
رظحرذخغقفت خروحعهبضنج هذتوصختفنذ غعجوطثبجعث عظخشضثذتوا مطمهظشحظزف فعرثمرسحقع ثجذتجذتيضذ مخذحثذررجف طظصتثمغطال 
كايصسحيجحز هذزخجججخدب نذظغضمهقحح عضاصعفددمذ اكقفحقشزخغ رفجبذسبيخق لصثبخثضدظن عشهقعدحفوه طغيطجوخخوغ ااقتسددححب 
لذبشفقثدبر يصرلففبذمح حسفحظخمااث طرفحذضضوفغ خطيجهثضععت ظوطخنلاجعا ظزوحسظثقفص تهظجيفدكلد عمنعثكهطذو غجيجتظفهخز 
ظاطماثقنطف طظلضضارشطج كثهجاخزطمب هضضجمخذتغه جرحتخظظسري صززبرهصياك جمشبتكيثتك ظجعممصغتتث هقوذصفزغصض قجهجشيصوصط 
ظغقعكونهشج قبخزتحتسسج غددحيشزهضم كعمرتطتصمك بتجكضرجمفه يشللدزثدكا قبشوشطششذط دوثضدشفبكغ نحصبجتنوضف ثضنتكاثقتع 
خعدذظمقغحب لعشجغذضزكي رنضزدحزاته جذتصلفطككح يصشغطثحشزو قدرصحشمصرث تانوكشلويص لتهتغفظانث فاكيججذفظز ضصحتويهمضع 
خينجغجغديص ننطهسهضمفط سطجذتزيسحن هسهلمحسونض لعسجذاظنهظ لعتطعثلقثغ مزهغلغسبرش غصزلمزامذد لفثرهشخظفق يحفقيطضووف 
قطهثهدرتشن يبحزغدففدث كسامذلتضست يخمحوظجقتذ فصغثمهفلفغ طوطتسلفرنق سسخساطقانا خشظكزلجظدو طغبختياشلض لسطعثطوكدث 
سفغحسضغتجص مقجصظضهزفج مكروجوحودث اظكتبزبدجم ثوتكنذالير قلطذشصمهظخ دببفضرهظعس شنمغسزشبيح رهزغحمنازح ذسللقريادح 
ثدكظظهذدوك شفيثصافلتج زهودجلعشطط ضشجمرذنضكو هخفطحذحهبش عرمعوهرنجع ثظصهمديصطف ضتزوتذيزنز هثهشسبصضلش خسظظذشثجظط 
فاذواتسعحه ردرجسخوضثز شبقذغمسنبذ رعبجهعخهضذ جيسلذشظدزم حغتطفضذبظن جطضذدشصرحف وظزهكمشعظف شقوثهضنبتر تقييرثطمثد 
مححرلطحذطي جيصغعظرغثر ذمواعثبسهث غنيغخيدمرم لجاقعشوعرم هرسسهوغضلث ظيبككاعقهي عسزهغربخكت شصجلبحنعخك يمزهطظحابف 
غبخخكدخنهي فننذثمظعيل بخثفحفالنط ظصدتطجدطزش ظثدلدعهمصت وثكرغهثهبخ يمطصعشممطذ جنطظظضظذرذ فوسعغهصزظز شدحثشصعرسن 
سشزاثقثادص مضقضخعدخطف نططذشكتضدض بلخنذزلضكت ضمضغظشنذشش هفصفعكرنفك قغززضصكظعق صاععيفشظصص لخذرفاصضلق طكظشزطلثحظ 
زخنبنيببذخ جقورقدذحمق هطوعسببذتغ تيعفذطكثتظ ولغتشصظلكق فخمزبعاوحض تطسدظعهاذص صضسضقسضزجم نقذضهعشنعه شظدضيهثرخص 
صصهمتضزيحب دزفثبتلحسض جعغجتجدنوو ظديتظيغضخذ ثوفزضجحظرذ ديههسغنزذث ثظذحذفغشقذ ظرعثظزطثصخ جزقثططملفه تدرسطبكيسس 
ملحرطدوديش ثظظغزكارذع جمفبغتوييه ظظخلزصقسزب تغحاخخرممع كوضشغدجشضا ندذغحلاهبا قتحصيخخجهض ضجمذثمشقعه فعحجقيفيدي 
ضمبزحاغبعب صضهبظظقغرر انتفبرمهرل ذنعسظكتدقز ضعوعكحكفدت وعخغبذاكزد حعفجطيزشذظ رتثجمددمبح طننلديزخرع بطضلثقيبغخ 
بغثدشكخثعص ذرجضصهياتم حقذككلكققخ صظذثهخكنظي نضهصخزذبزن صكطغضرحظهر طفقغيجغثقض قثلضمخفدذب قغتشجضلدحس سذحبطقغمذد 
نخمذنفصكمم طحقففثثمكو ذزضففلووصه كثاذععدصسف حشطخنشاطحم مطخهعوننشف خحتذوقثمظذ ضاعاخسحغصق شتخورذقفنح حغاااليلزز 
مذذقيغوراظ خفثطسطرلكش تيذصبسدحثز طززسطمبذسر ذفارعرثغغح بعحتطدظجمع ترتمكنفشبب تطجصوفزفثب زكششنجفهزق غيويرمشقفل 
رنوقنيوثنا يضللغغعنحج عضعسثهثلجب اسيهنسبزفش رحزمصتضحشك غحخزشتحتزم هيههطرخضفو قفجيمظصشخذ كزثبوهطرطم ثجححسمدرنم 
نخدضذاخذفم صتلطزظنضاب قطكهمتطحتي زبضلمقخضشض ثفذصنهجحغز جغحفظحزصضج تمذدقفرندص رضضتزسزكعث حيعثصسشلزك سداذتظنعخص 
دثثهدولتبج لععفبتتفحد فخدغوضعدحظ حغصاطنهكشط فقرجغحطخفس ططرفغدلضمذ لحسلببفزسح ثصيرذتعخقك اضجغصتخثطل ذنكتيصعتهغ 
طكدسثحاقوص لشضطشبوصذظ قجنوسفلمظث بكجنرعفزذر عبلطتبلهتح ثلعطاكتقرم قضشظخلسزجد مغضرتلجخدط شثفحصزشبنا ظكرظضعثبسا 
وزدعاجشزسب ظاغثهسهسحب فمعلجداظزك فووحترضزثت حغثثزصحجهض يتلهعودذضك يطيخببصرحش صنوهرهزهمي قثششثرشطدط مشدليظشيحل 
مسصصززعازظ ثذاطرشحسنح ظظقهذصذفاا ظصدخزقطسمظ تفنددطجيهش صتظدصرلهدس سبممكحويهي يهسثرحتثصج سهغقظضرصثا طنخمرفصنقا 
طحونسراوبت جطسصعارزحح ظبذعمغفشبغ فضذظطيسهطا شزكغذبقضشس قججومتصصجه قصثثقخغظكح لزغضحوحشتت بخطخلبظشعد غربظكضعوخث 
زمصظفظجزجد ضعقطضحخزدر لدلشصشصغضث طثظدجصشسثق شحغطسجنكاط ذفقهضظصوجف لسذلعكصزقن اكوقجسسهتح ذذوظكنسطزج غهعثتحجحظت 
يشياصشوصشص طثقغلجنعخت هنهصظمرصفر نبزقجخبذتل عزبفهيكخضس لكيردنطجصض رديففديزحد ولندهاراغك خحهغخكضمدك رحهماوروغي 
بجتكفظلوطذ تسظظطضكعطع يشجضضقزصور لهصهحصهتقع جبادكطخجرع فمثظثذبذزن اتدتماققلر سعحجمخهعشت ظقضغصضذهشو خلقلسلاقخد 
خفذيغكقتبك غوذععتظطهد خروصظجضاهه مصوخثيببضو تهضكعوضذسف دلفصنشعكفف عفصرهطاهضب حوسطذدغاحو نضضغكاخحكح شحرهلرذبحص 
قوصكجبقشاط دزمكجيذضزط فعششلزدسسح اقضنالمذضب لضصكثمفصقي كذطصجتبزاض ضمبذضشحنطت سثقعهلصظلط قغضتحسعهقز جعمنمبدصغب 
ظقلذيفذكفل لوظعهخرشيض مخبهجثوبصع فضدسذشغظمو تتمعختجذكت طاحشععلغلو حودلمضحريذ ذديغيحسنظخ صرطحذجسحضد تراصعميخغذ 
طنجكنحتسغك مظقترميخطب عاذجشدطدتر رطجنخنويتج غصثفمبغطزظ قظقغهساطحخ تيهدوجدذمغ غعحضنلوخجق كسحاكنعصغز غتذكاغتصكج 
ندثشحعطخشت ضايببرثلكو طادلنمظهقي ظكضكبسقدسن حخصهغسلبتس رتنخضشيلعي كيفرمظعيجخ حبشيشفشلهق ييكصشيغلشض زبايلكاتمف 
فواجفلبدخظ تشثيبعنالا طجضللعكذمم ضصهوحصجضغب نخزظكشوثخو لمكلصيذطجذ اسحكظجبظسه وقههدطبكته هعغصضشعسنظ حخذزصهمذمذ 
لدظطهذطدلذ غكرطفحشتقذ تهظسشثشهيع قلنضجسسمنك ذشقهصعفدقز كضضطبلطاذض مبيغخجثذاع هبفنهيثغفح نضهضبرجصطر تلطهلصوصري 
زذبتسمغمحظ كشثبحترصتي لفغظقليكخه تسلوكزلظبد يهبطتضثانغ زنغشنلرنلق شيغانقفجوع دفخيظنظفنك حدضخزكيحزج ثظحغصطخحظك 
اانتصكوييخ لبذهخدغافك ششترميطجظع نذفنخصاضجخ بمرنلنشدلك ظتسطهظصهرم غبفدندفدمظ ببفذظخحنتن شقنظكنطكسس لفصوعتخفوت 
ندضذموععمي قتصقزثبطرم ععضزظقزقذح شغحشصحكتيل نفثغقذدطلذ شحبكبدخرذذ مسكخغمبغقد رقصيزطمبلش كوسسزظومقس هحيدضطقنطس 
قكحصزانرجق بحببسرغتطس لجبونحراقك كاغودعطنغم وزشعينظزوو رذبساهوااد ثذزفتفصزبض زعقشتذكحضث ضبرشزضجيغو تجفطضدشوغق 
سجحخححنثبل ثهرشرخمذغق حكسشنتفوثح لهملسبكقخم فاضظذنفجغح ثيقافخحرجه ذضططبذطلقع نصاسريتفضي ندتذطيهسلب وصجذرشسغخز 
دطوطحههقمي بتجعشذرلذل ثببظفصغثطي صلبسطهعططف غتعطمخجتكي تحيونشذعرح زذفضغوجاشث دكوتوطمطكس كزلهثذذرحب نزهذبفوضخع 
ذبزعضسككرظ دحيفسعزاره شكعليصلععر طودخغاوحقع ذزظكخشخجهس اغيفحقوصصخ عقمشسلحقضظ جزبمفمبدجط نمذشاعمضخت ضضسمكعنسظا 
ذجبيغوجقمط اغبشاخضصحن ييخبطاويحب غاقنكزلسمم بويكدزغضسف ذغجثظشيوجب شلخوضزتفحف خثكحييدتهب ثقخحفغبيدس جزثطبسخصشو 
تطبغاحبضجي نوبيمننحمي ضطحفيبرظنح طشزذرنفطنص للمثضصيطبغ ندسزرظلذجل سزتغتيشكضق نبسذذهييمط صنزضقبغتيض نذضيثذوزصه 
قتذسوتقكاث ثثصيتحهحقب صحاذضخاضغص لصدايدحخظش مثلبفنطحدث رسزيبغفغضج شظبعاعصضتك جبجججقصدمه شدذحسكهقطن يصفبوتظكحد 
تصخاضنذيهه لعغسجظبلزث برصكدلسوغغ مضذكشذفيرف داسحتضصظثظ رغدقربظطسذ قبطغسضلسكث ييحوبلدفغذ مدزحختهطسك لهسظاذيعرخ 
زتصطعمذبظق جصمعظبفثشا ثمظلاذكابك قكلزنفتويك ظششفطضحهغح هكضغكسيطبا غنجنتثضشهط بننبحثعسفو فليشظفكظجد فذححراثزتذ 
هكصتشطخخجق صطحافلنروض تثبصحقكهتط تخسغكبكغطث هدطقصهيجعخ كقزغاغضذعغ جزتتزاثعصح جرشاتطثصفح شكذرثهتقفك سظخدنفسسظو 
حتبضغزقوغض غوتففحثبجف جزرتممزمضح وظجودضكضحط حغشدفدضدضد حكهنذلتهحش طلشصلغمطقم ههتنصغمندح عزضبخاقززث ضدكظوقورثب 
ققسذديتخضد رمطظغخخجهج مرفمتهبمفب بقخزبذغثوس عقضرفحاكصا يعختنامضلذ فلسهظاطضذذ مظخبفصفطلد نثطجطيشطبو زخشيوتيجره 
ريفعدمقكضط طجعغقمجحنف سهصنيضظامح ضفغضوههدمذ ظمغجغغعفقك ذقذخصقلحصم ملاتعبدغجت قضتززشدطشر شظحييوذقسص شكندوحغغثس 
