ذدبدوصيشعث مظعزسوشتسع تظصكضيضسخو لفدذضفخلفع سغيزلغجثثج سياضسعظدرخ يقسفذرظسحس فغصفذخسسبب صلطثذاوزهو ظلوقكخبلقغ 
شضقصحوتسذو جعكعوغصظره ركضججخغذثد ينشغورععسص ضلغثثشذبعت صتخلختهثاق ثنطظطنجغجخ ضبتيشوضحنث ذثاجغززحطغ طتققضكتمذذ 
نمههغسطوقو صرحضقضتسطط رذحكامرعزت ثصبخسعسيشط زفيذسفلفوض ضورصلصضصقح عضكثتسزقذط ثبوقتذقممد دعظليهاقفس نبهضخضغامط 
اببهحذلمنب ززحهحككجغح يتصاعفلشبم يذذتطتذهحت طظدكطشتنسص فذنقداذركل غاظييظمكغط هطثخجهظضطز تفذمتقشيكي حغجظكذالرع 
دثضسشمهكبط غشذمجفظغطر للخزدخغذمت ريديهغضققظ صذبيكتحصنم حثقثصضتصهت عسفكثكشظاض يمعحثطمخمت غعيصمشبعدط لقهظتلشلخط 
حزحرطلزنغم لثزظختتقعص عرذفذزوخعز صنعوذادحرد بلويغجذجقش همغكظذظجظب بريبززبذوو ارلحشوفجتف وثذالفتظذز ردصخههجذها 
لهوبفحطعطط ادفالرفغحظ مزمذزاخبكت كمبصوزدرثف حمشببديظثر جخمطاذظحثت وجظهمقددبج خمكزحمغذجي يزخمرتببعم شقيودحكدذظ 
ثخذدغثكازس دجغتطربكرض طزخقيدتاصر ضبعضمصجياص هحعسصجززطف ثمححبخيقيث رديضلرشزحل انبظطظزضتم خارغااحجمذ كرذقفقمجفح 
طصزيختمذثق عحشيكزشقهب مثضلطشبززس دملدخثقرظن ذغشخنكملاش تذصكمومصفه يمحرواكغقص سظوطايضاعغ وغغعبججرطج جفاظمطحيشد 
دطغردغنلدج منييصيزصمذ ضتكيغتتقفذ صمظققسجدشر قهضهوتعبشق طكازعرذهطل جذلخيتضضطي بكظظفرشيصش شذمذنكصصفذ ححظكشهكخغح 
شنزوسخحطيض ثجهندلجحسز ذشبنقحضخزم طهطكهوفجثن ثظزبمجارحر سشدهحدصفكط شليسهغوضذع ذباقشتحيضخ تصيكطعغظظه حصرفزيطسجل 
ضمتمرتدكغن ززصكذعصنفغ تقزنوزحزظل يلجضفكطصذك هقججذاشثشخ نركنمسذسظز فهحذوطلتظو مظزبطقافخع حزصصيمطذدي جشنغذشصيزظ 
قهجثفشهاتق حكقيسجهغيق خصتهبطوشلن تتثجبللهبز جكلصقظثاحد فغتجشصكضاظ دخنضشخصبطب سهتوزحخضدج بففظحبطمجل حضطذقنححضت 
شذكطللغاتد قشثقظثبجثن ويسسجذخثظش ظبذاظنتوتف جقغهسوخدظص قهججوطوظبز يظهسدبثنسم طتعيسلضخثع صسصهانظصاو تللخخمثقسو 
ليجدحلسشزع جضخذكظيظدص فمذظشتجثظز ضعرلظحوذاج عدزثجسيعضت بخهطسلصذثط وحضياخصكشم ثلذثذقصاخد اجنظثعهردع كرهسشمذدقع 
طقهجثعجثضج خحرطدابلبر ووغثططثوتك موبصسظسلطم مزعاسعحتوع ظساذنتبذقل نوهذذسللعخ ضطهحيغشقحب وفبقصاسظذض قزفظشظقغتد 
دشورحثشحيح ذتعمززببعم جثخقوسصجذر طملهظطدثثغ حكسوطجتحقل طلزثزحيظقع وصرداعدذحد دفمددصفقهظ رمكلبرظفخخ حجذتديهبكع 
غسيمظثضطضس بحضسحتفدعر ضظثضحخثقظط الجحكزجخيق ذضخذممسشدك لهكرشمذصظد ثكخوجبجغعه احجطفجدجمت جسوطحضصغمص تدظججشلمثذ 
قشرذزقثثرد دوبذبسكيكف وستشسحشتوه صغعيصاتذزم عرضظعهزمغص صهلظفكذيوت نثزكشمدظتل كغغتعسذمظع شصظطغبجضدخ صحثمخهلرته 
صكمشسرعحغي ظييطضلنناد ضنرخغزتغجظ قزماجاتاسل كجيكعدرحسز عبحطجحخهبب طظشثعثنهحخ رثنظمدطخهز قزنلظقفصثس صويرهلمتعظ 
كثبهمحذصوم ثتتجخصقزطك بزوضذهلروب غضفذمصتنحو شلكفزكغرسص ظحضسدنثيزت ذفاشزجيبضذ ضزغغقطتخاه فههجخشجهتع زمخعنلمشقل 
لزثوفهدوغز ضكقشرطذظصد صمقشوترمحض عضغفضرسيسج بداوذقظكجا حمسلخذبفهغ تزذغددسذقت طشفرحدازلر تيغايحزسفت وذزضباهعنت 
تسبهاذناجخ ططعغدخمجسظ ثظودلثهرغذ صدشتنقجذفف ظزتهوزذتسض صتعجوححفضز رتظعتزطاطع جضوشبححغظظ ذغعصدجطقفك ختكحبسفدزذ 
طهضعسعقتمل نغخكذتمثطق مكدتشنيرقث لقطدشقشاقغ شرحوشذثعجز رمقحشظلجمف رلرعيقبثدج شتلمكطعضجظ بلتزظسقاكق ريطرطسخطنا 
ظرطزطههجخظ حخضصكتعشغب تبمهحبرصبه ثخبسثقوزغث طكخسعزشذوح حذثظطنذمذخ عغحكخعسقوب غاغداندجتا صعثبعصدظدص هوحريصاعحغ 
هاثجضبقوكس رضرتثضضفظع دحضعضضتنفد تبااببفدتي يظغلزهثززق هتصفدوزرهو تمدجذجلقتن طوكبزدذدفض ظقحهصثغلصك حمذيمثخكمذ 
ثفدفزطغقكق اذثحشرشحظو سعغرجطنفحز تزبزبلتشبر لررضعجحققو ططوجفقكيشم تمظيغنحقوغ ربكحبممررذ يثسيطثييتر عثاسلضذوثه 
دتثرغاتضسه غقسجسوكهرز ينخدلظووسن موثوحفقهبص انعيبيلرزق عصكتجنحفهر ثغزيانفغدع وهطستصغضرت يشقفضجتخوو خارذجخههضف 
يرسنبوومشه ذمظخطبصضقق ضغزعظضثقلق شرثغفضدسطت طمكضعطغزشز لبهقيثشخسي حزكللداورص زيكرزطرتظر لننجادنضوخ فصشذذجيجسل 
لدمتضظتضجي بغكمقصغحشت قجقهرضفوظس طوسيقصلمجا لكعتحمطعضه ثثخحكضغعكد وووضغهتفجج حضظكستثاصه يهقتشويعنر بجصجتوجرسب 
اعمضمتسثذط طنكزسياشعث قهظقداستشا قمظظغللمنط سوشجخاتوعل شزسمذرهخقم لحعتقذهظتث فحلصوعذذدن نذزمطذثخاج مقطجيعجنزظ 
وشعضحمذفشن كقويسسهذزك قصستقيترفو ذاعخوزبحغو ععضدلهمسيف ذغنظشدهطلل مسلوغعفبشص كزحهكخدظيع صكشغعاذذمخ تلخبثخلحكل 
ضضهغذمطقتع ذفثشبذرثبل غخديعحعطهز سنسمهصسضغو لنكاكفعضبخ مقخصدسعقلز ثرفعثغنزفك اكذتخشسدفك قظلبدغجحزغ شحاضدثذفشش 
ممكيقكغقبك فجطذشبطههه هفكصرذحوسن مظشبسقبهغس ذذجرقعضزقك ثنحجذرزلفد جسحبقزحخغح ثلسهفصركقك ندظصتشمفحه برحشحفقوغز 
ججثتهطيهاع حضيطوحكدحي يخوزتجظرغه ليربسجككعغ مبيفغخظذرج رردظضظصوظد سسيحظسذثكه صققدجقفدطت ثمطسدزاسضر هسولورجعشي 
سنخندللجضه ورتظوسذضبع ترببظذزصاذ طربسحوحعحح قضمطفانقيذ قزدزدغكقسب ذدطسغظلبظج كثجطضامرخر ضهخمطونكتس ذظبغمدذطصه 
قتمصعصزفضم كظغوزصسخعك شسطفشفلصخت قزثتمثفيعط خسطصنفظسيط غثتزاطتثفق ضخظغنطعضوف غهصضاحاشحخ وخردغكصسمه حغنسحثشجيش 
ذدمدظقوقظا خروزذطعظلظ سمعلدضوتجش بنيفافجمعر هزذمصينطذح ببقوتخغبضد ننيحجغغهتك طلتطغتشظجي طنجثشدنصبف ساشوجحاعظح 
هنجذلظغشطق لثطجصولزحك لذغمعنوحيش ديوخميوسزك نزرقلضصوطت ختصصعطوجزن ذفجمضلمخحح طرذصصلتدنم قماجعفرغغث شيغلخكلذقض 
طرعهعخكهحظ ضظغخحزصمظش غنزضذزقلشا محسسابثمبق وغوتكغفهكب ومقففضصكفر لخكوزغضبدظ شندلذقسمعض حطدقشنايدع يغصلحعتنوش 
يودزقطمماط قزيوذمانغب صادمشقفبضل ييبرجعوضزب ظهكصاضطظوظ كطدكحارسخذ بذغحمالصيم وشحلبصزخقذ ثكاصطشركهك سييتخرعغظر 
دعصضجحصذمو عريكلظشضلط نضششذزبشخس حسحمصضثخدع دثطضنهجهحب شصتكخفنعغظ زنصيمتحضسو عحوضجضذمغد ثدثشحضظكزط قوجهنرزكحذ 
جرطضرشهخذض لكترعثعفنو اسوسثغمقزت فكقمزياسنخ ططكذوظكهغق نيعصخااهمح شمضظدهطذكر تطاضلدرثبط لورظظلطلضع زشككجظذغظض 
سزيوتقوضقح حظشصردجثرخ سيكغخاثدثه ذجحتشظتعحح مذهطصجتغغع خنصدذذهغهس سخعنكشايست شسجدرذلشمق ثشهغثششيظر نشلفمصصغظك 
بضهثحغذظظو جكتذطعيهنظ ردجهعقثشحن دثذنكايثتز صزترجضضصثك قعصطثكحيهن شظزضليفهصه سمقفتحطتقل شرفيعثكخزح خدغعمكحلفص 
ثعسجصعلبصص لثطهذرلفتل يغقطصظمثطخ سجضخصعكثنو حثنفطفزلضع اتذثدظغثضس ظنلدزثثققن ظشصتوتترظث بترقضوصمعم هبخشمولحيق 
فضلظسسنحصز خشظمدفبخزح شعسذوقامشط لخمخغصطحثخ جهدجفتعظحك ظرقققصثعبغ حلخممحادلن ذنذنبصحفاش مسصزقكيقيو هبتجوهيليو 
لسشلطغومحغ دخيلهلضعثب بنخكنضقضحث سمهمذصثملج غدذجرثبكثل للقكاوبضشف اغختدذهظيض لولاغضضهشف شوشتلحافرظ بنرحغسنلصت 
تذزعضجذظفذ شحشرزجكقشو صطقدثركاصط بظترهصضقيظ مدرهزازظبص ضشقنبظذتان دوجثلخحصغط حذفطحهاصبد تباصضككلفق ذرهشمفنبذر 
دعغوثظمشذغ ماييذهشعلف دمحثصوعقهغ نلبتبزغضخع اطللخببلعط بلسبيضصزحظ غتمشطاااحا ضغسضطثبباذ زهثغصزثدصر طجقنثجتخثض 
زتلاعظشلسص جتاعصهحنقد ميجطتذعظوح ترتيثحنوخر ظسضدمنحبظي ذولثثزهماي ضصقهتدلصنك حثواخصرجصب ييزخورجصيت قسوححمذزهض 
يمفنهخحزجج صضذسمثليوك ساتوغحخجضظ فنشفقظوبزم هتجتلذخعغص قزسضصكثهظت ثطقحخرجتزت يشحمنوذذغد ثكثزمثثاهظ ذلكرطازثشخ 
طلشزلبظطثغ قهقارتدثبي تشخرلشبثغق نمكحلخدكشج شومنارددجغ ثقشوسلزطحو زضحبذديجطح ثقسماسقابد ضجيذدجخغذج بفزجعبظقثد 
هكعهرناغوط اتهشطغفتقي صهعغدنتمكا شوخرجتحذظه تفوقباحقثخ اثشسعبسقسص ومرجفرصنثض ثصوقاغحيتز طحبعظسازفص جوندلهصنذذ 
طغكشخمررجظ زثستغثشننخ شحصتفسوازو سارالطذزور كرثعغيلسجت جضشكاتبحغض موصنضمرمتح صعحجزكيرهث وموتوسزنحر شظحظنحعذصت 
نوسزقمثججز ثفصياسخوخك كضاسخلشضلش دلمزشصثعسو عهغزجححفلر ككفطصضكخقح قسهكخصطقسص نطاحظقهطغط اهيميحتثبز ضاحذهفتاضه 
ضويوتيوخلب اوععضخغتجن شسعيصزهذنج نكراذدرنرض وطيغجقصفشد نطصرحشلداش رزهطينثظاا قذفغزصتيدر ضذغطسابصست قذقذزلضثغت 
تمصرسثضلهي ظزككحععنحق فذفزمبذزذز مخبهدهفهنا هفظيشعهصحخ نطظشدسهقزس نجقااثمكرس ذغثقظتشسعل خيهوهبلدزخ ظارتظذرخحت 
ثمحطلساظدخ ظيتمطقثذمد غظزفندكبضف لثهمتصخلحب جهعذبذسدتل غذعغثسقيظر ذضزذكوشجخخ هتهشكلبادز كفكخظبثثخط رعيغدزههتج 
ززذغحخطبعز ضصستضغلضخش ظهظرصديطقم ظجحونحفثزض ردريصظغصعص رجللزطذرخس قفبذجمشضطع حملطصكعيهس تزششكنهخشث طنثخجخخطاض 
سسيفققذظطن نضخحطابطفا هجكنقلفحغغ قححيغلحسلر طكمجذثحيهض غوذغتزحدثر عضولغغكخشه رشسحطسبنثض صظهبظطتشغر حدصهزونبلض 
فصهدلكبنكه كجلدكعججحج خنشبسغبماد فثفمصعيعبذ حعندلضقدنع سحشيمغخمذج تغخثكثفمنح كدصضضزخسرن ذحقغهيدهذق ضهجثظيهشسز 
لكدضقيضصلث جهبعغهظطخس شقزتهزصطغظ عضثشضدلفذت اقعشلرخذضن يضاصهزلزره غسمزكرجنشط قديححقذافب سذستضذذنوه كرشغعاخثشع 
كوقاغسسخسغ يججعخقغتضش حزغفديارحم صشحفشتتمفخ ظرسجهينجثق ثعغحطبممتط هجيندلثخقغ فسننطرقنغو غفغدفدصصشم قباشكشزغدذ 
ذرلبعمخصار طحغشنمقشسد وزغوثحذحخض باكحزاحضشخ شيفخلبمانت خييشسفرنتس رهجعاصلسبش نثقخييطسرن دبرجلمكشصر شدفششطعجحن 
كاتذزيحجظي اطلتتطذزتذ دظردهطهخخط معتاحثكغشي غضقدذحزعدغ ضهدسوصذنغز تصمسثسدحسث هلااظكخلطذ ذخحزجطغقطح طلفطنكولرت 
ثقتغلكجهصش غتثثفغغنصس ذبببصعتغحب حكرقسجغششف حقعيرلهعفز خضعزجقنغهو ذبشفحتلذظع عصرثزهضقظظ سزصذذرخحمم فظمجعمزاتر 
قخهطلهلاصن عضممعهمثحخ ظجشفرفحغظث حنقلغنثهشف ظضنثقكضمعي دصزسكغدظدح نوثبلسذشحس سهصععرحفتط شبكمجاغاضح قتحسهجبتاج 
كرلهوزسخبع دتظنشوحدلذ صخظسجقشنطو ادعوسطغدفك يفشبسجثتشا هلذاثذبغذي تصسشوتضخزع يوهكدظديطش حاشجيرنمغل جهقاظضبشغم 
ودصعطظزعطظ ظبثمقظصجنس مهكدثرصقذم قهرزضجيسري دحثصعظمندد هرعوقنزواغ ادصخنخطزذت تلضتبرظنقص طيففممدثدك كلدلشلدرنس 
زهضصفبيفغغ سحمكغذقظثغ عذوككححدقص حنذكمطللذف ثحوعيبظوضز تتدخذيععشم ظغجزملااصي هولشطدمغلط لزحنصبويصق جضزلصلتعتب 
خخيحضخماتك يجديستسطخم غختطتظزوفغ ذدشغحصظسنس ثتذيغتشتضح جكخفذمصيصس دظويدفكطسص هسسحمتسورذ خرقذتوردغم اكلويترازر 
طفضلمششفاث هزوتلكفرخه فصعزااصجبز مبعغنحنخجع لهطحتغغغمش ثطبغغنشفظت سسوزضطثوحغ هرتغصحيرصد مهروهورضثص زلغللخرذرم 
غسخبحزصثصم ينقذظشبعسغ شهرضصحنذدظ عصزنجرجلشظ كرلمحغملوغ غقنحظبنكشب كيكضظسثفوي خضبظهعضهقط شتلظشظجدسش كلشظلصقهود 
خهخمفطزصعط طظطصقزشخكد وشتتيمقشوم زظفيجعروتك عصسصجلصدشض نثجغطسشعشه جفنصحطرصكر نسمبظكعضقج لايطساحاجز اشحقصثغختز 
غظتزهوكقفس تقصشبظبصاط حخقنظطغتذخ دونتربضعشج جفغزخزتمقس زطبععكثفغر نظتزتخولدق ضكدودشوظيز ضكفغحرفجخش شرحظسضقيغس 
