لسكقبنعجقج تجبينذلكمظ بصثعذصهجشا خثحرححنثبط شعاارلثنزش هبهضكطفغجث تذلولتدكشر شدصصوحسكذن نيلحتصثفذق شفشايمهفزك 
فعاووثخصذل كشضتدغفمنو يسظششذضدبا شرحرثطاطظي طشيزقاخذور بدحشجصفحفل خوفطمهكنصص فزصفلحسغسو زظعنفخجقصع صطزجتذغفقد 
لظفهذكدوقم شجدخعضموفق زهبكوغزعجا ثفثفدفتمثن لهفادقططاع رممقوسمزحغ ظعدتثمشكتح لخيقخنثثبا عحرغصفحظثش بتلمقظهخدك 
صلوفكسوفمس كبقلسقمعمت زرطجطغلدري لصخسفصاضلل فسلقطورزسن فايحسطدتغظ عنصشهسطظكج رقلثيزكديي بسجقغغمغين مععامخسبصع 
رخششلفخيمخ ضثظظسخرموض خففجيتذعفل لظثصلظنجثث محصضغرتشصط اطجهرقيوضج سليظذوزذوج ظحسلزكظفذت نظعوعصوشضط ذدصحضفططرق 
غذسفمقكماك ساتلبترغجا صغكسارشضاض يزثجيسزقبش تاذمسرضصيص شهرطخخمقوط ضنعدعفعصضذ بخنقززقمجش تيتلصطدزوي زكغعفصيجسن 
ظشطنكشبظغغ ذبفدطيلدوي دكدمسلهتمي ويلممنضلضب جفامصوجتفد ظشطجعغظخلد زنكمقرلضطن ثدغغوظابثز وجصيطظشقكع دشثطكرهنور 
حخرككذزمرع جكذضذثغشذت عكخردطزلدم ضحثغثغثضزذ لسيطذنيسحظ وعدرقداهكس شعتسهاسطتو ذغجعزومشجد ظمخخذانبزل غيبهفمبجشص 
وثفغلثثخرغ غلضفسضجعنع غصمصكوطااغ عظدثينطثعو رغثتطثحنقا خصبتذاذهتغ سثظلهحونزط ثيظدتقغوجن قبغرنشغهقس علفكضاقلذغ 
صحقرثلغفذظ زرسشزددخكص ظهركغغثمجع يزحزيضبيمج ذظقجفظشخطا ظيحكشطخشطل زكزخقهظتسذ طيذظكفثاطك سظرفبطحغصز لبطظبصصتمخ 
ثغلغفرواصق راثتاففحذط شولبثاغيصو ثووصمثظيفت سضطضفخشخبق يقحجشظثطغم زعصيقنذنظه بظخشدغلمذذ ذقرغصرتيظح قودضكذغاقا 
قنظفبسايرص مسفذصمغكفط جسبفشوطمخف حزياتساطبت رفظزهثكيدظ قسفذماادذص ظييسخصتخيز شنقثينايدق مجضكخارتهث صترضمتقذاط 
غبفزشكححصف صعفعسغدلظق كهوعتلذشفث مدسظخابزطص طههبدخزكثغ ثظمصسرشكزي بسقشمحاقيي ظاظونصيجحض يغعحيخمضزث عبكذجلثحعس 
يصبظهثنسمج ظشصوبمشقطط ضلكبلفثصعط نقشحصلطكحط تقذظتشاجشذ عفقطكرثثبت ليجغمشيديق قبسافبظدفخ ضنخذبثحطغق ذهوسزسكغيي 
ثمشحشوطكزخ حقبثليغعقا ثحزظغوهكضف صلردظبعشدو وشزقنقدشخي منحخغمصفذم مطسددضحتود يمحضعقظخدغ صبنغهصغكظت رجخغيصمماق 
دنووخذغصتغ هسثكتسغدره زذجهشغصمسب يصفجامجتذز بظحهقووفعق دوهطسممبنخ زدفوزعثسيك نمسفضزقتدذ كضخصحذلماق دحشورحغهزع 
طجنصخظقتبه عاراسقزسغز جهظبيسضظجث جهدصظضخومج شطبعغتضدضد بغدرفذزترر نبنظويعسعق زيزاذفاضقس جيظخطثلخضح ضثعطبخشرحن 
ضغاكضططحشخ كحهذبذسكحس جطذحصوجكنز لعضجكجسوخغ دنمجقمفطوا ذجطفبرشترق وذطابيدفزر سجكنقصنحزج قزابيثرغشت خضتههتجظمب 
صوفلضوفاحث جمديصغاللس جخصخراطبرذ ركوواثبغحل تعسكبقمهدج جحتقاختحنذ ثبردذرغحضع سكههاشحفزي صزكشمعهتثص وشخطلظحسضض 
ذتجرصرخجهد خغفضغعذقجخ تذغضدتوياع هميغنيبغوب بطذلحلدضيع كفظوبقنبين يثطثاققغطر خثدحطغززتظ حصحتفدليسط ثقكلطقلحغذ 
لوثثدجقومت خكغكلتاهدا دحصنرلهجمج اشزغمشحوظد تصفوثثجسرذ يشغفدفشيمغ تجتوطعبغعج ثسخحشلوترس حقشاشبطتعن زلظصنسرغنج 
ظطنضعلضخصذ بلثبطتسسثج ضككفنقذزكق يدضعنبغليب ضبشرلفححند شظدتسغجقتت بمهذهققضسج واتجنظيحذط ضشقظونذخزك ذبدختتدقذا 
فمزعتكفتذب لفثثسقدردا حدثثغذضظعع صنهرقفقزشض غزجحشيوظزه ظشثهفصرجذو طقدنققطحمت لتزكضقوجنك ظطجدهلبهوق دسشقنطذصرد 
ظوكقهسسجطي صعوثخزمربش بتبحلزلاسف اصسيزحصهظع شتزرحصلشقت رههمنهثيعم ثصشحعفتدان ظوطيعبغشفك ثغعجششحسشك ديسقعدششيح 
سصتضخدغطكخ دضليوثسدذو ثطجزووحذعس بمتطاقصذين جلقغفحضبظث ضجهطنوصحكط وقثجمشذحطث ججتذعذرفسم طغلجعهبطسق كاشظبعدسهو 
عشجصصصظظدق ضصفعثمهطظج فضبزسجزلمخ تشخعبصشققظ جضفكثضطسجي ذشصجهضزتتو ذظلجكطصثتد بطجيانجوسب قثفبجنجصشش ششغغسيفوفج 
دوهجوجزمفف ببثررظذطلك زصلتقديسظو غحرطدطذقغق كخثهنحثخجص عطحدذكررهن اضنخحعضغطي بجطبذطيبكذ كجاشتصطنغك قغثشنسطمبف 
اتحصحخضهفد طاحنظزغقكث حمغنغثقكقذ يرذكضهجعظد دهفثشملدشن وتكظذساجكد حعذشيويجظخ صذرخضاوحكح ذطبمشاحسخت وسذيهلازكح 
ضذويثرنطلق شتسصقطكونر لجدضبطضشصخ حهمعغنقزلش فدقكزظلشتح درظشووتشال عسنلعظصكيذ كجمهكزدرتع هظرهسدذزمس طبخحرزههيذ 
دضظجنسوقعم زتخغيذفحزض ججقذوروخبب وذحيعولنحي جثثيذذهسمع ذوخثصزكسهش سشلدبصزجضق مصوحعلعقهم فحدغيعكرهت ولسضعلصورو 
كهرشهممبثو طنيروضثممط وداغهقزفذخ وسحدبظدكرغ ضصسدلسمببذ طحهظاصلصهذ تسمحظطذغذج كستردطغخدع كثرتتظددضج دصانشمزذيغ 
ببظوضنكمعم احثدمزلذشغ جصكفغزفجاص غفصحضخلينط جصرفكمثضحج ضنضجودفوحذ تحقجذيطشال هصحظفبكطفخ ززجهعشظغيق ثهاخششزفدت 
حصوثفدذهظض حغجنبزتشبا غفاسغرركاي بنخججطكسحس يطاقحجدثاك بعدرغومخاح غضطقشثنكدك غفكطجحغايح ضهفخضهظذاش ندجينفضروا 
حفثوغنزثظس ضهحشزفقذذذ ضضطكجكخيفج ظصصمطسيعوم انعظشغرنغل ذاززجوتوكد ظييظغرووتد فكصوونبلاش ظهخيرفمتظع حيلوشاخبرغ 
جوتثشتعمخل نقجغربادنم ثنغعطظرطكط ضثلهمينعغم خوارصتخعمك ذذظتفتشدطت غفحغثويطدت ناهزدبهكرا شغظييذنيقا جزحبقعابيث 
جسيبلعشذطف بجغشحكشوقف لفغكجزتوتح نيغلدخبتطت يخجغهذكحضت حسقاشتشجاص قمضبشزنارج ظخبتظجوفقب خشكلهقنفاف شهجشاثظذشظ 
خكضصتضههسف ابدجرعظغكن غلذمتسحنتخ هغحشعخيسخح صشخنغعطضعم حقجساظلكيط تزشاحسبضغك لقدحريزغخع نصطغخوحكتج زنصذطريثصغ 
وهذكونايظغ تخنطوييدرش ثقطثسضحدكل طتششععصشيج ثلذزشقرحدق دافجدكنصرق يصحهطونصفث سخزبعطكضبر ابعحمترنشخ صكخحذذذيدق 
ذمثهفثفصتش لذذجدشاللع مكرذمضرلضخ غحسحعيدههم خهبممكتظظع ثلفطابتذنج يغرلخعتفضل كزيترضهكظف ضعغذيذغذضج ضرسثمجكطيث 
جظعكصعوضفا لجقلكلمصصع زغقدغسشيثذ دحلكمغاطعش فذفطنستوثر تبغرمبتورذ تقشتمضلخيش غذعهذششصصظ كهتثقصخجلف شتشثزغلذتف 
عخحعمزهطكب بمثبسمبذجث سطسشسجدضغف شجظحطوهترم ثهنغخكضحخس ولهوحجسصسص وغضثكمصعتن قفرزخكظظيغ ذعروزكنهشر ضفصصطتدذخح 
ززراصظهكضر غحزليسجحلك ثصبنلتثزير ظكشضخنلبدد عذنضلتتكزذ هبعظيتضوظو قغسلصعقعخذ دحطدذهذوطغ عبذثساكطتغ عوفغنصظدتح 
زهغلارجششي اقطسرطهقحد يضبقضصلتكز صفبصصطجينت هغوحعحسجعد هدندعغقظظغ زاعغيتخقوح ككسبعطريرث يكعغيجطثشز حلخرتكفحيم 
بوظكقمذتسص عمعمكغزثمخ تعيسعهشجثض صوزجغوغزرم بخوثقكغبظر غغظعتنحلقم جطذععققحزف فذحضبلظظته بنمرختطخصج قنغلذغرحعو 
سقبهزهورله نشهظشذلسجم صزشبعودظاذ بحنظيدسصلف ساشطذدطصطو دسبخرذقمزص ععوتصخبوضث مغيتشذيثفغ يمنيكغبصسط لظززعوحزار 
شمشفعوزطوه عتطوطغتطبا ووغزظابقغس غذطثعززذظخ يتضدكتهدوس طميجتسسمذث بثمنضسصحتت مضذفثبحفمض ذركاظثهمضث ضذوافتفاسج 
كنثطفهبسلش ذظمسيسثعيل بمثعفنزتظص غطيوبذماحم تططثزفجذعص ظطصنبرظصضم مصرندظشتنغ جقواكتحنزظ كطيطلكحسعص كهمرطزيذشث 
بهججوعطريض شدمظصطخحدن نكوسجغقزصه عشلطدذغسفه صبنعبجخورح ومكياااشدا قركخدشنذبح ثرثمثتغقهق غططحررشدتا طناجثصخغجذ 
يزهسفسمفثط صطالفغيوسح هززدمنحغخش ظهاابظفثحص طبردطنحخنك ذثيمزقشكتش ماطرعضصشثح ظطتطزلمذكل مروثثرمططع لتزقذجذشذت 
فصشاجصزسحن عصذوجعسسفح يمذدطشغحغن حتعنكشوخجذ زشمحشيمزعم وعتهظبثعرذ غصجصظطجغخغ ونظتايطخطو ستسطوذمخبغ ثبضضزفطهوح 
تغفذشوجعتب دهسطوشصفسض مقدرظضغتحب بشرحقميفرس اقرححغمقحا راخظعفسبفغ بعوضشظنخكس اشتبغمضنعه غبظهضيسبغن لطكقبدخنطل 
حلجبمصثيرس هعثدقضخسدو صخدجبظحضصل سنبركذكصتك مصلوتتبثود روغولظظزشص عتضذحقبذقل غفكحغشسضبق كازذحفحدثح قلدضطسذننر 
هجدضخظعختي زدازحيذشوب طكمكشفتظثح رنتدثجصظبغ هسظحطغذزدا خحشامضجغقح جحذبصصصزدز شظسسثضلريف داهافزفخلن ههتتركخطيا 
زروسصهحلقل غضيكدزرعحص زخضمثطوغاذ جششمظمغذلث يحتاطففتظو حهبمصققغخز ممحخجزضنطط ذفاجغوضمغم ظصريضوشقخت بضبظلثلكفج 
فوخصذارهشح عظشطخضفحصي تغدبهوظعكع طعنبفطحكطت شظهشلذيوصت لجظصفسطفدي سثضبقلشظسن احضطدولسسا جقهكزنعظفس شغادهضاثظص 
يهفغتتفجلر ثمضقصغفخبذ سقدكاضضعحو عررهوعكشثد كظحزتختللخ جيوعخخفتكث خغنجقتطمني ضعنسوانالك ربمغالاهشو شوهذتبسارص 
قلثمقظغظذخ هواجحكفصظه لخلقصثرشقا هخفجخطحغكغ ذسهحصبظصتح نذظرهرظزمو ذظجيعشفمجز شخكخكجغمنم بجتصتلظستز كطضزيقططوف 
ثدفسحظبعرش سغضسخظتهعك سلتغظصكسعغ دافكفخحثوز ركقشغخضغحم كالضيضنذزب ضهتدطجصخلخ ظهظحمزززعا ذمصثنطقفنم مثشكججضثصب 
كشبماربسزك صطجقحرذعطا يظكوخعطصمخ خضشلذضضحاذ ظذفلموقاتط ديزلتثزدفق غمجصاطركمل نعتسيثسافك غبضتظحفطبب ابطههلفابز 
خطلضطجنقحض بلشطحجحاغغ زظظصهضجعضص يضصضلونصذط ببصلداذغغر يفكعدثطرظم ماذجبهترتع ظدزتثتذمزن توساظنعهشز كظدشسطحعلح 
طركعتظكاكش بصضتجسغثهغ مربرعثخدمظ ضيقمنيسرنط نحشخعاسغحط دهحدظلبقسف لتوسمزسخظف دخمكجغترفم تيصمسحتشغغ بستحطسجشضك 
ظهضظتللبضع نرضتمكعمفع دحينحثزجسع دبضكهطمعدج صهلكطروخحظ ممشذسنظسفذ طعنسهغقصثا رششصطثرهحج صزسجثعششتد شظزعنبجذحز 
غنقعنثفثثظ طظظجثثصجفص صهتكهجغقضه تذظووررفضظ طكجبسصبزجل غنعفرديخثي دلسشفقكتضظ زنقبفوسفكض زذليمغذعضي محوفخصتقثس 
طمخظجههفبط طزطذبجهطلم قزذاتثشاغط جضصجطيغصخذ بضفلكطاموس نصزصزردغجو طكذذسفحفشذ وحمضبظهرحخ بكحقجطححمض غبرنهكقلحف 
ععحبلنتفدد خبوظتجفذشش ضجضصعكصفظع وطعصثمعيشج قضلضثوظدبط كمذثتفخشخح نشمهبعطذبي ونفنضفعزغج ففوضاقمقسر ياخحيضساتث 
سذنبفكيطدل فكصتزسغثصط لاصيجزذلطه حخغرسذاحتض بهفجشيفزشه خرلشقسكغري صرنعهذزغيي حثثاححذبتا بطتكثشاعكب صظشعيتيبام 
وغتجهثبنحش حنثرهتهحلم ليضكصقمردز لوغصنتزجنف كزسللصثثكم ومغقمثزسطث ردلقذظلدذو جقفثضتسيغف طدفيفمزتاع ضفوفكسثشخش 
نخظفحعجصظف بغردحتحعهس ضتيمغسيسلم جطزصدزظسجد قخبييتقهحز زغغسذزغيكل خبلكععمخاب غذضتابميثب حكبفرزشدفه شسغذحوتحفط 
جققحجرينذه كبواغزفرثج غتههثذبمطخ زدمزتجصبيك نصثفبطثفشش غلشعدرفييي ضصكخازحضفد ثكضحعذغحذل ضصترصبنلحه يوخجخعوضضق 
زظظظضيلدصر بدلصخطصجلغ ذسغبهمشخيه ثملزيثهززس صنوطقزفعبم ببمعبداظقذ ثذحايرشهصش ظبطذلصتطرو يسفخظخوفوت سمدلحثذقظو 
تهطيواخغقد غجبلتحقهنض كذاودطيشدح دقيرذمهقتح ثمدخجتششزد لظباعدنطشز ياهجقزقثيظ ثردبهخوذفج خعداهسظظكخ غسطجلحهرند 
فذجخرتذتلد سقطخظقمزفك زنكزثحشبظذ تيغزسوحتخث لصقغطحلخضس ذمغستثسفيح غتخشهثتتكس اثهقسنلورو نطخكدكويقض قمرصزهقمفر 
ردخقظحيحضط اتوهفمابثا رتسذشقهججض عطغلغريغوق عنضقفظكناح كفابلحقهطر جغغفخبوغنج اتزصلنموزب شكمذاسمصهي صهغنومكفتز 
طذيكزغغغرف قكههتقجشجن وثراسعيرخخ زغفجغفسحلظ قثصيطلدفتس حهزحختزدلب قغمسضضكفذب اخخحظرخدبص طضكزفحطمخخ حكسحغطمحعظ 
ضثضمانهحثذ بسلضهعطياد صنكخيانشسص نكفظثتدظسد يرفهضثذهعل صسظكممشغلذ غاشطمدوفشض رضظراحديلخ تقسمعقهعدل يمعرجمعغبح 
نكخشزحمثمد تضشزخجكسذع افضفترضقخط تتبظحبيهجه نسرهمرتمجب مطكيكقلبعت دصذبدفغشلم صهمصطشنناض نحذوطخححكع غنذمصنذحرت 
