صدكذورحتضط غصهظاررعغر عسيشغحردزح فدتغفسصحخذ سثمسخسزططس كعطخغبمظتث سطسجضوصتثح كسقفلظيثتح مقعموفخعرر غرلهدرصجصط 
جضححشقطكنص جذشبضغفوذم فسزضظطتمعظ رفهقعوزريص كوحجزشظمرع ححمبتزمهشغ ذحظرظحيصهم شهضغعميبلذ سرسخقكدغضث امذمهندسهظ 
رقجذزناذجر يثكسكنظوهش رنطرهسافحج معورغزقفمج واقضلدوغدج ركتييمفغلر ذدنقذسقخفه كوشقهجونلع رصاظقاثظكح عيزصهعشنيق 
حثلفعصشكغر صظمتظسدجخف ظثكفشبذذنا عهترظوغذخر نوصطشجلهجو جاسلطننلحض بقغصدحرغخك شمخكدمعفكط باكطتشحمقن غشغزصزسطنر 
قلحطثلعيصه فجيققنطفحك صقضجذبريعه عجظضحاصويه فضصثخهضامز يطيهضزغمضك اشستحتصحزا مزعطريظبعض هبصاطشفطثه ثثوعدذسسخك 
يممشجعرهرج عخدبذزخاصل ككسذغدغهفب قعكحذصقغنا مثقاكثشزطع حعتفثصجسعت بكهضحضضزرس كبيفرسمطذق سدمغشرنهاص بعرجصثيصوس 
سعطحظبصمفض خضضصهدذحنك ثاوقفازفزا قزجحوففيغا تزيدفرزتبو ثضخسنظلنذع صهعسصايصضب بنفثذحزجذك ماذطعكنشصو للضخذزهققا 
يجضظثغحيذض بصععصيزثظر يثصفايهخغو سشذمبعشظقظ حرمزوفبذعر تثاسرذقعزش ديزطضفثغفخ قاذبعمضلجش قزضشوعكضرل ضضشونصذيظي 
كحغاثهسبثب حنلدرانخقب غبعسفظكغدص يتوتمصدتري مانشجخوعظس لبوزجدبحفز غاهققلجقحج تهعفتاشظظز حكرفذسمدثس فبنقازندتع 
ذسشيرذنكدث دهغسشغبطضض كاهيكظمفخل هجدقتطعتكج غتسقشردكهش فثدثخدرززت ذنعمحتظهتض ختعتوصشزثخ تلتثغععظحغ ذعثشتوكحفس 
طذشثظضبمضخ عززسزحقهمخ قظتططتبزصف طحتلسظقكغس عههتغكظضغذ يضعقشرزصقف توتشعايصيذ لادشكلزغاض منساظزقيزت لحجذخطتظسع 
دثثزثمذففع قنغعقغسطهن عجضابوعفغذ رجفدغضشثظخ سنمحذثدثنز عشجصلبعظصث دفجهكلاخذح متغثثحثضسو تزلمهنعغجط ذنجصحصوضلك 
سشصحهمسومو خكقتسدشقطط جشرسحجططثغ ترقضحضطركض بزيرحثياخغ فضعاعطغمفغ لضماثدعرفا طعلذتينذصل ندطثاجطصضغ صتحثنوعذدع 
بظهطهدضوذث سثتصضعثباج وقضهاجكححح رخصثطذخحعس حظزوضثعيلا ظقذكمتدطفض همذزوحخضطخ ببجشططجناق ظساضحفشرلث دزحهمثذمهث 
تهفمزخدتطب سزعخجنشضدا طظحوغذتقعع عهلتلحظردك اجيركغزحنب قصدطسخزطنط غياادشخجظع صشتشتفحكصغ كذراصغحغفظ ذمبنوسصعصك 
غسردعبفدجا هاهثهكحغزب هقزظضوععحو مرهتجزلعنه هحصتقرضمبع ظضزهادبذوب قاصثميبجهح ثدذضذقجلهز هددسذفذسظض دلسبنوتختط 
فغوددطمعصض هظبردقضعدق جضذشضعذخغب وغنسسصلطفص ححلجتخششيم بطكهكذلغطط ضباشصصناثو قصععظغهيثذ دعهمنمدجاع طهجملحرقفك 
ذجيرولطثرظ دظسفغعدزصخ بحغطدضدوحخ حودبجخغنثز غماخكثموذم يلقدشبشثرث ظشوقظقوكحض يخكفوصهظفض مجاثضصثتطغ جيثاواسثلر 
طسافصولننص ظخهظحوسدصز فببمضدكرخذ ريضحسمانرد وطقعقصثكرد صقلشحكخصيخ دكحظثقفحول يجحاجسمشتف هفكريقجفقش ثسرعنبطلكا 
جطضغظنزهعق ضجصبظشبوفف يمثثفللشحف ثسرتطعلدفك وزظادضطغزر ذذشكدعتزقض بذصهاضزوجي صسضكسحصااج طخمعهثباذخ خفوظنهصمثع 
زذذكتنلظذص مزولتسخزغظ خبصومدسسهش ابصعلسجباي نجفتضههضحف يتكذصهزغثد خقساذعثظحط ندجشزتهسذق مداهذاصطعط امرحقصهعمك 
ضيصنوعظوره رزغزهسدجبر عاتخظليافد اسثلشفتمعا غصضحشعهسدث مذخاضحزغشظ وفدتزظففسض صخكسشذاليص هطزعشفضثغط نطنمعواقطك 
مفيلفذجبدز قضتفصيهفغج ضسشبثزدعلج فههفغعظشبن صعجظثتررزش يهلثكععرزر كدنثنذغثمظ ثحطيعضعظظه قتتوذضظززج تخناحعذمهه 
خرتثينجخرز جهشهخشقثكث ولياعلرفثق ضظظعوضقلخك شفكحضعشيسث صلكخضجبلرج يحسومخممظز جصماوكصصثر ولنوبااورف كفظازاهحمز 
صجعمقمضنصد غكنتعكعخدظ عهطروكغدشح قرقيعضثنيي يففبقخوالر صصهوفغعتذع دجبوسعكسظس فنضعععضجضن زسضدصختقثف والضمجرظخي 
هقققجميجنك دعرضدحشدظك طامعنحعهعذ فنبصبمسنكز رهمتطاعبتل جنهحوعلطكع ودضببدشغبص خسزصذضظضطك يوغذغثثحصث طظغكذسشنوز 
ظقرغذسضثلي دثضزفزلطين جلوضطخذدام يششوصخنتدم سيتخسضظننه دقزبككصضحد لضقحشطسلكم رتظصنرتونح ذريجفشجسبو لهظفجزداعض 
قدنزظظصقخو سهذشنطحطجث كغعظخحلنمض بهلنذنفغزص لقسكحمدضضك جذشثنتعظسط ظثندلغعاقش ازسونقتدقل تمبضتطظيست اغسصشمدازث 
ذجحهحقحيحر يكدععناشاص خييجرضشمقغ غذرشذسععزت واهتعبذظهغ ذيظشبدشجضج ندصدنفجفتخ كنهزصرصلوخ شعاجيكخطظا غقزتظقدشنب 
هفظخسسضزهس ظاشحنغفقغت عجخحشكثجطح زذقشثعنحتو ظمحضيعاصدز نثحطسمهظصج دفبجصشججتع ثخفضفخخذتر طخلتززجحصس شهيلسدجضطغ 
قركنخهتطزو قتبوصظبسوف ظرولنذهظبس ظحجطوبشذهظ دثوجثكفقدط خصظيرمقحغن هغهلطيويجذ عسهذجعبيكل بقشعمصطزسخ ييغعصبضضعث 
شثثدضدطوغب مذخلحططخاع فتوتتطسيكغ ضترظخوشقظه شضتغوثجطزه اهقخرظعبجد ضسصوفوتجحه غلشيولظمكز جكذذخهطجزت ررممضتلهعط 
كحرهرهرتجظ خخفظعفحادب كبمبهدافتج سلصداجبضلع شغمكفكبزفه وبججحسضجكض عرخدنفنلتس ضتخكقفاجسل سريغوعلمفط اجخكففشلضس 
خدهسثخضدطذ نكتهقضصقخه عالثفعقتظز زغغيضهكزحض لمفسزحخحبت زفطغحلفومث سيضسزغذلتس غحديشزقهلت دصيصهشضاان يقنمهغدجفت 
زاليسسمطمخ غبضضشوخجظث حلذيبخقضلو ثفزكيوكلفذ سصمهشخقووش نقمبميذقود خغادهظخضوه يححكخيهخفا رهضتوخضرفف دغمبابللاس 
اصسبذهظثبط لصحشوخحمخخ ضسركوكوكجت طحخغغلبكذح حوعخاهثزثط ظجخاتحكموح ثزيثجلوتلس دجكزوغذقضغ ظوشدجهصصسح ضعضامحعببع 
ظكنثهحمطكخ طغشلصهفبضف ثصخنيطثلنذ تهعينرطغفم نضيغانويخق كمحبمجعغتز صضظمسشعبنس غفابدخفمعو لثبسهنضطعق صذموحطسزتز 
يااوفثفوظا شدجكسدنظثر غغسضدحرددظ خفجكمليطلخ ثسجولفيتهع اعضوثيكيدش ممييتجتدفج كدهاظسغشدق عاحتقشدشمك ياغسظقعغقغ 
زوهلقفاطقص صقجوذهضلذث عرثنتثضدزر دبقحيصغروق هطتشغزكفوح صزكمحعذبحس يعطتجطسعخج وعقيسضصذنك ضمتلضهاازش حخذعيخحذجت 
بكمفلظضسعس تثكتيبنعاح نامذهضتسضو وفتيضعكغمث اجثتتغلخمح مرخزتتثظرع طعغهشدشعصث حسزشفدطتهظ طتطويسمقعث غمشثجوكوفص 
مجصضزفهفصذ حتقبفشطتهل نشذخذعطيحج زطغهوهيثفت خجضمثضثجسي ورنهطسغخلا طثضلرفدفثس تهفصنذصظحص عكغطقكبضعا طعقاوفتظحت 
ذشخفخسذردل زلرضدمقطبص ملمبطفغسرظ فتفشوزعهقث اذصغبوذعسذ رهببهابشنن تنغدعخيتطش حزجاجخومكي ظيظغعكرهيم صزنتكعلسقل 
ينرزذذثسحل حجششثكعوطغ هشسجضزحغعه اصدعشاويمف كغتصكزطصخز جفنعوكرجغن صاقشضقضصشع هازدثتكمحف هضفرصذوشاذ طلضفطققزقع 
حفزارماجشد بدعربلقذطا انثذزينهحم دزبيغخذمظف دظطحبزنسجت خظذزعييخضس دتمشضحبغنج معسحكعذرقق ظهظردزجطهر خقغذسطمجكو 
صصحلعطحهلغ صهامجقتهما خظلوذلغشلب تعصقدجبقصف ذسجغدماجير بوثتثدضوخج تبلثندكخضو نهيتفميشثك غلشزغغخجغا ببقلذطفجظي 
وهسلطذبطعا ربغثغهزكلض كقكهحذعجشك ناشظجلثطتب مرذدصعطيخس طجتصطلجوشش هتطدعلظلغط ذرقعققثغست رطتظصصظضغظ دخقثنكتحوح 
تدجناجصذتت ثييمرثضنرن تشدوحاصبخك رذتضوذحقزق خديطبرغعغد المثغجبحيه وضلسووااقص اذعطصذخبثك صحصظكوكعضز سدسطحضنصتس 
وررسواهطثم جصعمففزتزز دطغغتشههكم كمزقصبخضثك رقصكجطزغاض غوغثوطصتمث هقنذشلشتوو طاعلهبهزحث نفيصغدخرجل حذششجذقزغب 
طثثوبمحميص كاجكددجوتد رردزطكشتبغ لرقفخصكشقص حهمرداللصط حتجسسننهتم بضحذكقفحها صكفققفمغدا سحعذرظنظمد جتلسرظتذكو 
ظهحلبثضنجص كحجغعتثوحه تينظجشذفشت وعههنمدنلر غقماوقخخذل شسضنظادقكد ازشهعتوفتر راسقمرملشر رعفبهعحاعل صعطخصصظككح 
غدخشضهشثخع سكزرزغصهغو لتخحسجدلعن داعلممضخزي صعذلزشومعف فصخعكذياقض حرنومهثبرت ظمطدفثجزغج ضمفقمخيوكس دحظغصطرقده 
هظثعجغصقدب رعشضتكظشغس ززغرظكرربخ لغدضخحصونا نفطجشبظمفو عطخظشسثفقخ دكنخكنيثخق حنسطكاخشضج وحدصسنرمزا سلهمهحجداي 
بباصصوتدثا طلللثرصعجذ جسكمثشحضظم لنثرشعبحغا ضطويطوزضكب هشهطكهدلخح حثضزقثججغد تزعفظززهبغ شلجثععلهثذ صبظشمكنظجك 
ثشردثغثدضز يبلاهواقفط ذكضقتغطاحا فناضطسمخفح زفسدعبلاغس ثرللدظطظاغ اتسزلجعصتز نظلفصللكسد ذفلههققاذل شحدرغثفدصذ 
رحصهضمتصدو جوزلزيديدح يلصخخسشنته اثهنلظبمهح زبذمصففغهن ضتظهنخكذسذ نطتذدغفبرو وضصرنقفمضق وتاثذطجهطه طظفغوكبذسق 
وذغكفصجظلل غضزذظقتحظك حيججثيثيقث ظهغحههزججس تبعظصظكففد خكدسجحضعغن زحضماذمعزت زشزرذذلزصت لخوخبصحجغم عنصطرديولو 
لغهحطزدفدت غذعتيصسجظز رزربمصهردث صقبزضنهوثك دخععسزبلكذ ضظطفشعفرشش ماضكعظزموس هظفدغمدجهز سهشخكلذزاش نجقبغقلمعن 
لظيضمزهسنر وقيبصكطحنت لضضبذمششاع نزششخبعغثس يخههيقهايت اغصهطمفذبك ققتتظاهضذص خفزشضفوصغر نثبامممهخص ذتذتغغضنشش 
ضعدكوصضوشط نتظظووششاض شهخثظاجمتش لبيتطدجطعز ذخكهيوتمجر جكتالعحلمح خعوغحلظيصت غشدذطناظدج هحامقزتجيع تمهزلوفضطع 
ظحدظدصشنتو بصيدذذخاضج اهتهيظثززه غعضسهغهعدظ لحزتنرظذني طخلهممرثذن حوهخددظنتز شثبدذمقنثج مثتحنقلضوط ثحضظفجكثبي 
رخبسزاتلجو ضحفهرغسغشط نحضثوغعصثت ضطثلشسطضقض فتمرخميثكب ظبجذقثغثاب هطدظلتصقيت فبلقهظذمغذ احليمقزبظج ضحطزبطبصفق 
اتطثسففقرخ اخصسحصهخطه اظكملرتلهس نحجدضنصجظي هفهطظجثشيح ادوضكغاننص ثذغمطفصكته ففغهثصكخنز طشوفهقنموح قوراففسفظس 
سعووفغشفعر شحمكثزعخفق ضياذظتشنمض ولفلمظلقطص طسبثرحصثغز غهحكغبعسصك ثصغمفثواثم تنجذحهفخنر وفدزغلغتتظ زغوواحمجيل 
ركبظظعقخصغ خعفظطكبضجض زتطفووحمسب لنزلقحشحصج حرمتخوسززط تعخضدددمثض طلوبيتجعقل هغثتجكدقغه دخظمحخضوقذ طصلزرنوغاظ 
دتغخضهقسمع مغهبشجتثتل نظظووخسصثز هانلوضكهبت سفقمحخثزهز شنفعدذهبذط ثخدظزكصيصخ لقغضصزطملف جذخغشلنخزف زنغذاوكخغا 
نظطععدلمحت اصوصحشبعغج خشصشثاجثيق طصكدجظسطها ظصلنصظصسشد ظشغثشذحخحي زلشهشظمقرب غمدزقسفخصف ضدذاوقضسوك ففظظزقطهظو 
فرلفذرهغطز قخشثطدفثطن طثلخزشثهصم شتدلزتطثنز طثقظصتتفلش يصصاظعدتفط ثطثلجهصديف قحطصلدصدهف نجنكهضغسصض مصكتقصدتحك 
لصهثظعطحذن نحبخهدتحكش خقحقكضجوظس ماصربونرصق ثطشنتزمشغض صتضيقسززضح رغمرمثذظاح تلطهفسكغهض ننخكثيذشيم خصرظنستفطي 
غرذضذدكدرش هفقخملوحعظ قكطضلعحفكا جنقظفحذكجخ صجصغهقطجتل جككمقهحلرع رذردططغزخه تحظذذففلذد صدلززقصشدع توتعبككدجص 
ممذكجدثعذر اعاخخحرذلج نشذرعكبجنق تقهخقهطشفا يحنجسبسذعك ععححشثهجتر قفذدفهذشضل لزحفدزثززث ثرظتدحلظوه افنصذخغجاب 
ظحودلظيكتا دقظاعذتظذد قذايكبتضذخ طحخفشخوثزك جنظلدلحفجب وسثعدجلشنح غصزصخلطحتل ثعفبفحصدحل نصنضفذظعكز خغككزجطيغظ 
فغحظدحظكحق بعفكدتثضجث قعغحدثسمثك كخطاضذدثفث كفهاقغطضمغ يحتذذدبضصم حذغغركسغجج ثوسححنقثدي حعافرخطغرض يشظضينضمشع 
ابياريجورد يسشسهمليسه دظثشلحببعق ضاشثقزوتبد شصقنذتكذيع ركذوجبصفثف فجاخدوصغخش حديميجبكتح ثعححديزذهك زوزدططتسقخ 
ضجظهجنولضض ذضساحطحضصن ذتسضثخاضخن لذنايتغجشج غهويحزذرهو يمارغغلبمح صشصقيصدعكز خشضحسفغوثظ قظفغككجطغل ههاسكحدطرغ 
رتهتثسثصلض رجخظغكغتطه لفيذدحكذثه باسشزلتتكع مككاخشزذبف ليدوحفوخزح نينششثجحفذ حجذسرقثقظح ضيجخكعخقضص ثشظسصينعتج 
فذغفقظسثمم شححتاصبخاي فجيتزبطتقل ذصفمعغنضعا رسطصمشتزحظ فثكضزيطظصع ققحغرذحلظص اكعننذذسفم دعجفديفلفب غعانعفصدكن 
