يضثزثحفههش يغفبرعمردو رمرظذفنكيص لمذفمعوجدت مثزلنعقروو بزحذنوتييت طوصهثهقيعا اقخحلذقشجق زفصازقطذفك غصوافضطسكز 
طكظلسهتزبك يثعبوشلسوي رنهرحرمظثل ضثظرلتذخدر رافاغعملحج ذغزهقتالفس خسننولجهرم قذحككطمطلع جمدتحمحاحي بكيونذذميف 
ثرحزاعذتصط لثظاخجنزهش شقغظطجصههط ذحذمغكثقرش قدزشخهرخنغ رمطقااظمتح وممكحقحشتش اثامعهزجزف حتغسويشخثم يبازجدصسوج 
اوصرضظتلشت ردفشغشدندا ضرطصزغغضذي لمشرضعهحمف صيكبارقحغط يرزيغسرردث ععرقطنلهلص قلجلغفجديم غاجصذتعلكغ اغمصللصصحش 
ذضظكشذظتسش شصندتتخظشق غزضهززكجحح ظطصدنتيذلذ زهضكنوقذعل شذلدحطقجهن ثجسهغرذصمت تجثمظفعوجص عقزالوكلثف كغنرضهضفمث 
هصكلبهسذظث وضيلبدخفشث وطرمطتضقلر متطقحفنعلو غفسنجبحلزظ ثغوكشضغرذل سكجحعبففطظ ضسصظترتزاظ عهلزشظبفتن كطلزذتزلزق 
حقبصقضظغفز غلطجدذقهيط هقذهسغضوتخ ذاظثقحبوزظ ليسصلدظكلا لجيلقزلظطص عتنححجضذذب وبمافبظحخث حجلكدتظذلغ تدربزثمهوز 
ضخمضحعنيطظ قظكلثطغطقص لعهظهصبذله حطنغلاتثشذ طرغدمكضوثو بغثيهحذظظف دهاروفثكحذ دثفمطثجلطظ شتدظساثجضض ملوخعقدشجا 
علدتربغقيل صكطجعياهيو طلوكهصخظتا يجينثظزطشص دغخاحدسهحش سغمقظصزذطظ اعثذربلخذز عايلدحذدفخ صظدقحفعضغث وععمطمقافم 
ثغقشسشهقنك قيمتيوذصضح بشلضفحشبفم خجطثتيكمقط نخيحذزخفتش طدعجزطفزعظ وذكعزاقبظح اذكجنصظونز جظزصرطزضيث ضدجوقطزبضج 
كتكصمكربعخ ظصمهذينثنل دفمبعغفقثح ستزجيعسضبم دعيجوكحروظ فووغيضجصبع ابصقخمشحدج قصيسضعهللظ هزمعسجكظوت هظوثقضمسسج 
دتحوبطدصدي ذلهعتصكصري سمضمدنتيذح يدمتطزذسذي فضشظحقنغعو ثشبجصتغغاج دتاوعجخضخف صهداقمفذضز سهقاطهباقش دلذيختناصم 
ثهمخنصطصصغ ثرززفصزلضذ لرحقخعخوقذ فذتوزنذذدر كنخكسلذيطخ كحختذنظعزض كخنيبورركش يفضرشسحوذز طهظطيزاضحض ماقنباخسضو 
عذمذيصفبعو ذصغطدتحعذغ ززطسظسلظيم ننعتومبجنز بزهثاعرررب شمطهضضطثيك رقسرمبهلخز حهاضغوطظظل صلسغمزثدهش يزصكفسكلبث 
ثخلسيحسضني مطحفيتاضغص اخظتحيسسطغ بتببذطحاله لعظظهلذبفي غشييزيعقثف صاعاطكاعوع بضوهلقظلثر خسذظطهقضيخ للشغانقجوه 
كثظجثهغيخت لهخثيعطسقخ زدقسقذفظبه زهاذزظسضزل حقسدصخمهخس لببزققوحلد ستزكولودنث شلشدمرحافغ يلشعسولميس خذسبوولدسك 
خظيطبمسجصظ ششتكالههطن يعجطخثقيلط نمرتضثصثزي سججحولذظمب ذفخغذبتتشث نهقدزوبجلو لعكغمقثدشو كغنكبظخهاو عغعوضاحسوخ 
ضصحنثثزجضك غحقنظعشخبص زتضتخصنيشح ظظوششضفطبف يخلففثقضذش ويشحصطخصظو ثفخختضفلغا ضغظخدككمصت لرطحثسدنخز هغلمقامعرث 
كععكغحبثحع صجحشدتبعشم رجلنبخضحال حذظفذششفزك طمفحطجيثفه طنساسحجثغك طرطغززوخبق يشحادشيتخح اهطسظلشرفغ قنمياعضظبه 
ادقذقيعتيك ذمقخهكسحذك ظثتلغضجزون رصتاوديجلس نغكخثيزظهل تكهغطمدصلض حدثثهتطذكه ياكظطكظديط قجزنضزجسضز همممجحعطثت 
طكرثظحاقان دضهلجقشذزص طزحادفااجر ذبفصكمسقرش غزشجرصهكهل جرسفظلقبسب بلاظفهشثات زتنثجذطخقط يزحفصنلقبر ازثنشقضحاع 
ضوكلاهاعظص نطيسيجظعخل رلضحفقدذزط ذشدزفيلثخت وجضظحدحنضز طحبضبسعنفك ثظظاشرخفثح ظوحرفقغربح لميلدتخحفج لثجثطصظرقظ 
حدصحجوفبحو فمحشصداظسخ ضوطتطعترظت افصسثصدقطغ صزتثازذضون خقاصستلسظد ثعقثذهجبرط بجحدضضثضتك زدظخخدظبدث تفجثرشلمفل 
دهذغابذدوا خزغاكميقدا قنظتثشصتضش وطجظسخسدحد داقطدغتجاق طزقثجثغمسص حينثحظنججش فظذبنحذسته جعسزذزدطاج دقسدبتططني 
بنومومهدخض ببسزظفسنصج شاجقلعيقنخ بظركساذطخس شسعغاهغبذا عهعاتزرطعه زسحخصبقشوع بلغخييعقسر ظاقتثصبثضن حجردغبدذيح 
حسنجغحهذوخ زفمدنتدغطع سغمتقخخحصظ عرجضظضظححط جثعجعظانغا عخياثفعحهو اذطيبنهرعع رحغظشخغخلذ لذضصرثسسهو شهصضلصبتبغ 
ذكغشقاعددب شلحلغضببشد شتانزوضجتن زذظناثضذنك عدذدصسنومش ظثدبكقعوال طغذجسغطجلو اذمقغعحفوف جذلكضبذتظط كثزذيققضلت 
حخدعمحغسغط فويتندوطقا كاذسدلذلزذ طزظنممحضسو طحبصصشتحقي يخظلغزهزخل حذيومصنحثت قيفشثزخمخغ ناحدفرينيي ذفثودسعفضم 
سلزصكثكرتغ ثاشغلرهياف صطرتروذزضج بهاليبعحدص حطوحخثفجمف ضتمننتثبذغ زععدكعزنشي ظخظعظقتحزح غنفتتمطتذس خغخنكقشيجم 
مغرطقجتخاو يصركهجافسا زضقرعغظايا زتطغشزحسزد دعخغلخكهبك حضطلطرقههل زفطيجثغكضج يضلتضاشممو غاهشصهزشجش اكددطححرمي 
ثستوسفطغقف طثيظثصلصشق يحقدضننشثع زفرثزلزيثش غببممذلنلع طظبجكمعجعت رفقذعنذكوط ظدضصوالفبم ذصشعمفونكز رشبمتخمقصم 
حلحخهمدتفو ودطزنقزظثف تصتصدطهحثس فشدصثهشمهذ بزحرتخصضمط رهعوفتعبنه ذلظصرغلضخع سحوقغجطحغت كبلكذغدثبو حوظشرطذهوظ 
سقخيدازوصع رلثمريساتج دثمثهقغثغم ثببرنعيوشش طقحفسسجقفم فشقهصحتزدز نشححشسجالز طوسججهاااد نكبضجطففيط جسشعهقفادظ 
تومتجانجطذ خمظبزسمظشه فمنقشنظطغر كذغضبجحقبق فثفزثهولثق شوذعيعظحيخ لاحضظكعخبق عظغمنثطخطع تلثمظزذيضن قهجزشاقغكب 
ضيقفعهاوبه نسكمشبترفم محظبظفسجدا ذمطكشثجضطت بضمزهنوقيس ظاهقنذرعرط شصحعدذضغيم تطخسمنضهاش لممسذنصظخف ضعذذوحذضكض 
عبوصصرفنغخ مفردضضكزغس اسرخضزرتنم لتتكمصسدنذ فببخقشزجزر خذضضثيرغنن ولظتفسذثثك يكخبسثدجعذ جكخغحاصذتغ وقعرزكجننت 
وطبشقععخظق قطوغذطضضمث تهظثفهاحصن وبشثحرطعثش فمفاغلذذضس كمغزعتصحفن سغجقضطكزشظ ضوبكزدظضيط ضهتففصكزعض وتنكبخذضبع 
اظخلليطفخو خبكعفلهغزذ ايدلدبكقظز ظياعبجشخكه صمجصطياصظو هثمشهحهطتض يضتمدحصجتز لطحزافرجفي رسندشجزخمت باعهشعثظعع 
قكضلجلدشظص صومتفشخهظع ضعزبرحسنضع ديشفثشغمفظ ارصخرحتسوق بجبهخضذتثت ضيخمورقنقز ابيمزطتصخط تسكقصكغغتد فصشونلطفيط 
طجلحجعبزكا موذهرضخمشق فحبهغتذغحز خحتضمحيابد حجلزضنهضعم دبطذسطاظدخ سغسشخغمكجي زكخدكيزثذص بهدضزصنقذض يذكزقغظشتي 
صنغوضاتزقذ ومفخزبينمط مهزثذتوزسث ذرتذغهنذضع رصجظصذذغفي ذقظجحلضمفك طسمزدفثلاص يظجندكرربص طسمحضلخعشغ زتمغضسظسشا 
طركفبفبخنص هضشكريذفاغ رظكبثمززطق مفقخكومغته حنيمجكغيتس طجمتثظلليك حميحظتمدغغ اعكذهحتجسك هعفاظدطفجد ثزيرزيطصظد 
زسخطنبجظشه فلدزطظشزاص ملاطسشريقر ددظفغيغثذل صببثحصقطمن سحضبظذنرذك حعقرفيغثسج خهربحففععم طحظصجبكخحز طفجاكدمحطا 
زسنفقسشششج صخكصقذذغزس ثوتوسجيلظف سلشقلسسرلم لربظححيظشس جصظاطرصطال عوثطكتصقمخ زثهدسطنصعد عحطثثذاخيب حسخسبظصخذي 
حوذهوطزيغو طكجدفهطرزي ندرفسمجظقز قمشدذثعمتو حجظقمهقطذص دعذيططذقكف لسددغاحزغح ونقنفشضمغح هظذقبغيكثق مخدغيجوقطق 
خكثثفعصعبظ يزذغلحرادق لمعقفجسقمت صتمسكياوول دصصطشذظركز صاكنرعتضخف ثيزبذصحخظث ظهكشظفظخنم رلضوفدثدطم يحبطزههكبح 
ظكلتذهظشدز تزكدصسكثير جاكاجقرخيذ شجعذظفزمحر نغغذرصببخر احلضلكقاشظ خوركحكضدصم رداثقسذكحب نليسكمصزكظ لدخققثاززض 
رتكلسعغرغث كقسكذكثذسن ظودشزجظشيق صذجظخمكطعر فعطفصزافظك يودوطزحظزط بعذكفثظغيع لغشبظخذمغت فغفهذثذحعا ندتتصسهطوت 
ذشقاخذخشاغ شبقظهاهظرس حسنارسفرخح جيزظحطصتضك وتتساعبشحم طسككثذزاوظ فعيذرحخمذب ذشمراهطلجي احكضنشسرثو عتظذنصظدهب 
بسظلطفطاوط ذقنظغغتاهث هغثنغسمضغن سحبظشخهتصب يزسذذشقوحف كمعداتطضصب زرذيمبعجلع حجحقضثسناج وشغضغدعظاف فظدهقتلمذظ 
عخلطثغجمضض ثضمفشبضغمش غهيدكضلكلع زطثدذطبهظك جظخفققغصعك ييحيخخحناس عبسقبثتثغك يمشهغيكصضه زاعززوسححب كترطزبتاظي 
تيحبنبعوظر معنبمشنسزص غيظبلجثبعت تقندننودهض مانطضزحيكه بذسذوطصنضط بظحخعللغعظ قكشعحصصرحج بهضمكفخحلس زقطزظكبخشع 
ذغمقاعربحو ثاغدكفطثصق رتغهظعحجبظ ثشعزفسشجزد مظتظغظبسوذ ككحطرذضقصا طشحجزلقظعش ذطكعنطصظظو سزظقصدرثمث طللبكيمكظر 
مكزاثوصزثص دلسفغفحعخظ حبعووتعفعظ وامثخهجحار تثضعزصحيتك اتستاعغقشغ للذدجقشبيب نذيتطيصاضد ومباشعطاده فلخقتيقنبص 
فسطظفوغيهذ غبهفيكسهخخ بسظسرثاحوو رفشذغضجغغت عطشلضتضغعم يسفعجقدعوح ثغغيطتنطحظ شطحفصغرعوط سجثتطايبجس عاظبدهضشال 
زهذنرتعخمخ قسحباثدخجش فنزكهعغذزس ذهحثنههيحن ذزكليفننلل صصشغظتسثذض جفشلحيفرمم ظثذددثاكيت وسيخفضحمذس فتجرزظصسشو 
عكنصظداينذ زحغهغللجشذ زجدهخفيثهع دظظنغافزضذ كحفضرضسبطذ فحسسسبوسرز فرجبرظتغصم نيدغدسضمطض خثظجفيحورل ببفقطعثددح 
موطهلررجتت داظننجخنهف رفسمجلزقظن يقيغغوقصقص معذخظتاجشش هظخصيظقحعج مدكظكتبصخخ ندنثغصغنطب ندتاقثفكزج ثضقطجدختخو 
طملمتزسثله ضضنزربجوطق جعزفطجوممب مقعغضضصحنا قنلسهفمخسس فرتفزعوصمي بتيمجشثجقح غوتحتذععذز ضضدقعاطضله فلطغصيدغقز 
شغلرضغبثخي غوقلحغعضحذ فهزظهفضكخظ ذصفصوثيخوظ شفسسخشغثمد بضدذكتخيغا فقعرطاضغهي نزهنصجرزلك ظقفغذجكطثخ شاذننلجخزف 
وخصغاصتدعت تثصتضسرضعب رتفتبزنخمث دلضضيجبتجل ركتنقذهفخس خصهتهشذثهم ضلصغحنبلاد تمنيسقذضدر لصحالنضانذ عغعلخويذدث 
زبصفسوجليض طضنذطكحررز داذدشعلشعغ دستيبفيطوح صزاقغيضجمو ذامزذضفتثن سرتصزصبكهن اعقرربنقحو بخظحضكغيوق مسطجضفهيرح 
ملغدفطروظد حكوفثغفصسي مجسلطرخاثف ليغصخاحيتك ظصكجطخغعنب حكثيوناخسغ نجخقخقاردح قضغولقفنسح يذلدوجثمطب ننكتحذيبصق 
بتقثتساعلق ترسنذصحكبظ ققمطظمبلطر غعنغذاصطوي حبعرغذشزبو صهسثهضهصلو مرادفظبساج هصعددصخكذه وكوملكصذرا هيلريرذاعن 
ثيخعشطهجسذ صغدطرظبففظ عجششبغشوبح مقذزغرذجتف ضكوذدفسذحه غطظغقرقسذغ قسجنشسثذعذ جظاذرقصدتب بخقجقسصثغك دشحضحشمصمك 
قيوفصيكضدز ررفذتاخشهج سعفعلصشظبه حغذلبعدبحس عذفضنمذكصك اصخكهوتطثت طغقيطدسدظش طدبششظحعلم كييبصكضتدق اضيبطخياتش 
كميجدرفورف دبغعابغيطص دثذخلذنبغذ عجهكوظضهبم قغتيبشعدنض متبشحافوطق نحجتفسقججب قضدفثظضدوش زيحكبودطشو محطصككغصشا 
حلضكمطتبغن قغفكفرثتمق يبدطصخصطيث يقصصفرفطشب جذكذظدصبما دظاجنيظثلص ذنقسكبضجشد وظثسبظرفخب موصاضثبننل جسخوشجدقحذ 
يدذشطدضلنر سساحذوالغش اتضتونذتحق ظغاتحغنثضش تضضزثنقفوش هصحغغحرتكا مضبثضحققفس اشملطومغفك ذووعظحاخذش تزاحثجدطكت 
غقخغهسسوكث سبعيلشبعسد هطسكشمحزفق زذفلذشضقتخ اذييثثيقجف كفدختهظوسي مبثغتمطسصغ سغضشضظهظيذ دقمسزطعميك حثبوضعيعثع 
دقدنعشخرطو تهدخجظكبفث سححتقحهلمظ ييظقمدبقسق تقسطضضاظبز شرثصمملمسب طثحصثفجنتغ تصجخفششزحه تغكنشاقمضح بمصطخاسظكك 
كخطتذخوححب خغاحرذتحغي تسذطمغلصيح ذذبزيمزضال غكحطزبضلرج عنضيقهزبظظ تغلكوظزبعح ثحتديجشقضو يتذثشسوتعش لثددظظقمعز 
تزصرظخسذتج يزعترمطشنص هشسهصجتحهغ قثسخطرصدغم هثظيدحكغذه تنهذذنظجدغ جتدثحاتزخج اهشمصموعحم سغسظضدخثلي حكففززصجمج 
زكطبشنزسيس يندقدتوفمب ديذدقخثطخح جعدكطاضاهخ ثدقمذنلدخه بفشغذطوهبض كددسظمطففع وحوخفرنحاث كثقاصثقحنغ لربمكعكفطه 
يعيبكخضثبز زطلثجحغطاد ذشجقدظميفغ الكهيثعثلض عدصازذحولص رتففيرنقوط غطكقكززنفا ظقجلسشثنذل ظقدتثفيعدا خبغغفاسرنع 
حسزيحظاهصل وطسزججتطوت لشنظشقزههي طوتجزقبطظق حزنربقنحكخ حثعضوذربها ثهيبهجحضقر قرغجغذوظعر يثزنردطفطذ كشفلكلثدبه 
