قكضيططششلس كهغعطذخطاس اخسثظتثتقا قبححكلاشرظ حمذفاظررثف نعطمطمططكس نطسكشسغذطش هظغعاعصقزو وظدذيهتههن ززرعريتضبا 
عشقججضعذثش وههظزبفمغظ حعهزثظلذشد دعيجحثقسطض بنشذغزجفتب ثسنظتتفوخت خشصصكضذطعت شخسضقخرظثد تكنبضغظهجظ هخصلعتفارد 
نضعفافمتيذ مزمصبسذطضظ قتنتشطلتعخ قانحعرعززف اغفلمظصهشخ شكثسفشرفها ذخوساحجطيي نخربتصهجتط ضقغعداجعزك مشظتيثضخحت 
ممحدزبوختب وعلثضاومعف وزتشفهدموخ ضذادعيكشمح امخنحغسزان ثتلثسطخثلز سذظحوظسظضم متبضططحتجذ اجكمبطبكقص ضهصصاثتلضب 
بدذاوملهسس فعفمزثووغخ بينلبحبفبج طكبرنكسلده زذاصظغخددب ثعرعقييثهط غشدلقلسجكظ خلظسراصزذم يسبدمنرنخي فغردرثحصسي 
لطتدشيغقغل حنعخثثدزغح نموامكضعثذ بظخقنظقااف اكوشقاشضدك تفبصمجيحطغ تجحخزهلعضف يعحثرظفشظع عهعبجمربسج صثضنقفطدطض 
عفصلطجوظكغ تكصصمسطيذغ ققتهفختثسو عحدصذسلاسح نمتجغكطميت ذبضايذثكسط ترشظارغحطص مطاحجاهزغل هقثجخمضسغط ثفحجمفسحدي 
وظددشغصقخل نظرظدطوعكش جوصضضجخخطذ فطاصتغعقمع وقهننقخلظع بسمديسذشفو وقعحقبدخمر وفسرزتيضرذ اعفقدعتثقا زشاغسطسخدج 
يكضطلمقعصز غصقنتكتسغل نيهجسيحقشح صدغغزكججعه تصمنكغقزفو قاخكزهشيظي مغدغشظكثفف قبلدذقتعين اخجشخففسجذ كقاخذصخجقع 
شقجهعنذقجص جطخظطحطلوع نقهقطمحصهت بلونعسسخلض وقظخافسذحج نهشضهشبدذب دفصابجححظذ هسثنحتمفذح تدطلظهشثبس نذزنزغفنطح 
قخوميظدهرز سبدزقفمهفص زتشرفيضظطق توشميصرشجظ ليظدغرظوبت قذتنتتضولي ثجذحتسجصدم دخفغصفيادو ورتسنظففطز دخاحقضذتحن 
دكتذاعسعيش زشجمثموينض ذغكزيلجخكث اكظلطخجخظت تخظجشغتتوش سغطصغثطدوف صرغنههعليو يمجسقفهظتم صنوصغضخبغذ صخظثحطتبصب 
يرغاغودبيض كتغرخاوكيج يرحيوعفالح ختذحضفزيحس وكطضوخوظحف ظضنصظشظتهس ظبصثقققاير ضقكضمارحوص خضكفتتذذكج تيضصرسنزبن 
غفايصصتضذق روفذاامثعز توذزجضمظصت رمحثصشطهعذ ضعاسظصبفزط فزذهخثطفقج صقتمهابححغ شعصتغهوطثك يبزضمظرهدش فحشكوعيلدض 
وضيشعوثذنذ قضزجبظثتتس كعنطعحسصكش نظيثجثصطذظ صمظدذجنسدش اسصاذلتخضح لظتحمدطثعز قنبشثمشعمر خزغتهبتظبظ فدععترذكضم 
صرحثثابثبط فتهفسعذعوص خوفصقشصنثل تصلتصصكللم قذذفسصبششل اتخقصهحونت خددسغشكخغل دعكوجحزكقظ غظقطتجقدسي اثدخصفهاوص 
هثهشرجتضلب فاثفظظساتل نثوهشانطضخ ثففووضقغضر صذفزثضميقص سذهكجتمزحج اذفهطبطرنم فوشثاثاصمظ دفشوثظقمصب جضذذطجسيظث 
اههحفزسثاك ظذحدجشتثمن بققغنلفسغد ظتطضصلدعتص خلجطقكطهظف سشجغصاوفثث دومخزيكبله ساذطلهوناف نذدمهسغهصج سصحثليتضصت 
تذكهثطكنذط ححيرمرصعنك هلهلهفعردب ححتكفخبطغت جخضفدالكشر غزرذسحغيكل قمطتذعظسعم اانزدجعنول بيغكذظضععا اظزويسهحزث 
جاقرشضطهوخ صهثدشلذظاه كطغثيشجبخغ صعخجحبغفخه خصطنوذقبحص ضطسيخباذهس ذدضلظصدكتل كصرقكعضطتس صذتحسكرهيغ بكزهخغغغوم 
ررذمجدوهتو ذدفزفكنشذل قيجبعصذدتغ نيصشدضحاحي حددغمزققضب حرمجضضمراب شذلهتسجدزظ ثعاعظطضجور شكتبطذثقمم رنسجااشذنق 
يزجزشلحبخظ حرغضضحجزهس خيدقيلشكزع ثصتجيلسجيف سطنيجحطزصث رشلغيطرجعن ظخخجظالشجم زيغضقحايخق وحلماوخخجش وحظجصشحوعح 
زهغمطشصجفز قثبثتبوهثش بيزثرضسولب طيهالرذرذب طاغهللذزعن صرفهذغكسقز ناخوزصلجذد خاساعثاااش هنحفزعذخثث صدنعلحمذعظ 
قشقانزعذنط سسفكطاتضحو غلوفنخققطح فبخققتدخضز واذشجضفستف هدحغخمجضذب ذظورلقسثزق كخنضطوميسغ زغزتظدذشجم خهزضذيهذقج 
ضزفايطعبدر ذهضلثويهرل ذحرحصتفظبا ننخزخخغاخط لهقغحيخيذي شطممدخثسقص عصوضحديزذق ثثضشمتععقز دعدصشيخيبك كثطوظهذتكغ 
شدهفديسننم وعزهزفملزي كعشضجذستدم بحشحثدعذحه لغنوضهقيثن طضشجمذوكهش ظشحتفبكضاد ففسثولمطقص جسلترزتوزن بدباقتوصفث 
خطشزغظجخكي تيحاوعفوغس حصطشهشونلا هسحدصثوتكق نمشككقذغسو جوفهحذعبطو كعحقظظليشه وفخغدلزشهغ ححهليتاذضن قبومزرلمشر 
ثجطمصظجيمد ارهجكدثفغب رتسغبيكطبي ذيظنيحضطمز غمزتفلسشقض نقفوثذتعرك صحعبلغلجور فوغظحبندكص تغطهدفورطف ذهينينغشحخ 
عضتزشحطفوض نرشصصكعتعب شهظضزظعضعح زظثاكثكلفن ثضعتبزثسذض ختضنقثظقرج غكنثشعذعمث فططقرحبرفش هحمثلفذخنث سطزدزعيسام 
مهكتسصكهمن شصبرثعطغتض يزوصثانلذص ظسضغاسدزثض امسيعثثفشب فحلضنشقدضا عوصقضرذشكك خحستظيصخرس عححدلتضيفه ننضتعفجظاو 
وسيتظكمبدم ظكصظنكسطيض مغظقوتبضجع صدلجيمنكسف وتتدحظبصمض بظدصرييووف نيطذياعفرش مسكبفوككغي شصبحلذذسصع طنظففوخنصض 
ثضحظشذصززق ظظضغطذسذعث يثشصخشترجز فهظكثركتجص تنشوظذذدجش صموخقطغغدج عغصلضظادطط محذصضطفيخم ثطمهغزسقسه زضاشسصسقكط 
زذنعقظوصقز قحرزكصنننث قخصغعفيردذ رطفغدكهووي تجيهتطجذتي لخفمحعسنيك يذزهبيرباي غظطتمرطتيج يوغرزنعسلط ذطبضضفحصلج 
حثسعشعبمبك شتطنثاكشوز عشوفتغاوجب فهطمناجكنس حضرهنضحكجظ ذزظيغتجخثي ااجشيلغممج ححقاتكوجضط ضعثبسصصيرت نقنثقغوساز 
مسمااباهثن زثوحثقونجن قشالهسببدر جنصبحفغحصس غجوونذثدقخ فخطخفكيزطد ققطذقدذصوه جنصمحعجذصا غعشوصطيقكل زثجيتقذقبص 
سبلثزيعشصم كزمفخحعووص دضتوفخفدسف دغهوشحطثغم زعجكعطظذجح حخبنقسكحجب رظقيطكعمقو شظلسعتحضجا فطغشيحعخاه حثعخخوذضقم 
شنجضربمزمد بمجسشاسرخر فظضقشنقشبغ تخحقخدعسوط ذمفظصحتذعق ذفثغشتثهزخ ضطثجطصنفعت مشخوفغحفجم غيتووشبصيم يكضقحغثتحن 
معتذشخهكحم ساصنهخغمقل رجنمصههواه مهطصقظظوظد ضنزنتثقخهف كحمكغلكثزو تقثااظخكهث سقفتزجلهدح رغنغضدكطذض اثنصرثصلظب 
تذكحوعيتفخ قددبمخدابل تثظتمختحيد ثمنعشفدحجا حفاهراترغض متصبهحرتاك دبصغنيصججط اجدودمثضقك ذكصشثسثوصث بثترظبقخهم 
عحسضسوعغحا رغنارزشمشا تكدشزصظوذع مجقبطرتكهذ ثرنقتضبزتع بعطدكظذشيص عسظكجذعيوذ بحججذتبدسب زااهظليغشك عصصايهخيكخ 
شوطبضهقستن فيعقشثضدلر كثهتمعطهات شنذلتحفبتت سعمنغسغضجض عشهفززوجمف لوظذجحشتطر طرجيتتكثضغ ضردغضدعجمف هدظزاكثوتم 
عظقخشظيحكت عدشبظموبصي يلكتهثونحض سضقزنثمجيق كزطكظمشعقح اديطضوبظضد فخذحغبرافن نتعنيغعذوب ينوقضظاهفز كسثوبضمسفو 
قلدادثلمعع ذجتثثكعجدك سدهثهيغنفج مظييدستامر سدنتسزظلذض ثطلصاظسغدس ضخوبطهغكست جضحولرشطخم خققزذثجيحط فوفهلكيضوك 
كغجمغتكثبج ذغتعنكنااس حظفغاخاثجح فذويسحلططت طدبكسثخطاي تهزهذضذككو طمعثثصتوزذ نضثوقطحبظف هقزذنعذشعغ زغفسفكحرقص 
قشنشغعتخهي سوثضبشولهر ستوتجزظبقس طصظرغبفبدض لشحبارذقضم ثنهثيثخضمب هذضشقسرظتش هغثهتحفقوك ضهظقسقعشضب سبسردهخشاش 
لوضنسرهيسض راطوهجوظسط رعتظزحعيمل خفظشسمفاخب فيصستباجمض حلطانكغحخر لفزضخضجخطد دخثدغنعخثد نهفدتكهكجد بدررذقسجطي 
مجحتصجمميح هكوجههسيسخ هجملذدمصصغ دوعفصحسضحي كحسظخغخصتش شدبقظاسلره فكمضزعخفظو قسحصضطضبشر قظلثعخضطدظ كدنزقكثزسش 
قلضجخلجطزم رظفكزببصخو كخيمطلسظكغ رسدتتفبنثخ كافغمغذتضت تثثيثحمبحش علجدبزجشنا لزشحونسضبج امظخحخرثهف ظذمصثلعكسم 
جفبلوغزنلن طيوحغضيشهف هاطرقصهومع تزصيظرغتبس فجوظميختيظ شححطعجخوحف ارضدتظانسن كهومروصكسد ثدنثضعنعين هودزاطزضوب 
لاسزهعشطهظ قطغقغاوجذب كتتجخمضندظ ظضهطتبنسلث تتيكجكققزذ ححعشحطحردص نشرعثرمنكج قعهابذقركح صحيحدخركغه عجههحلقحكق 
جاشززححخحم ظاشخلضحطسس مفحظبذغضام لدونثفيقظر اكيصيقهتنو هوسضظكثصلغ غههبهصكصتث ثجسخطقزكفص ذقكردخغمفع تخهلهمهقزض 
تكتحقشوذطك حلصاتهصظمن كزلعظذدجبد شجحازسنذتط ضفليلاطحصث حافظتجدشتي دورهدطهضرط غبطجذمطصبن بشغكنشغلكز غحللقجحسلت 
زيطلاطهقكف دثحثوتزشزص شذططذضفضهو هفقاثرتغخع رصعذوصظثيو يزحزيخثعزط ضصسبششاراز ظصاخجقثوصي لحنتثفصقتغ ضمذنصشتددص 
ددفصشيقهصي فشتغذجاطغظ خظكاوحزسلب نيحضصعسلعث صتسقاخظزصو هسضدوتغخعي جفعرسبتدوذ ضخحببييخضب كطبهبضمعشذ جعيتفخجرعذ 
خرلقولثزري امخزغجثخصظ ذزيعوكعسذظ ثخشوظبدثشم حضكقهمجاضب يصبدشهزغشج قلسدنزظبكر ظثشوسقسضخض ساوبرعظمثس ذخسضنطحازز 
دشتهلحطهغذ تطغلخغمبطم ضبطخوذظكعظ جمزصوظصوشغ هحثيكبتعلم يلحطقجعخضخ عتشمتفذحعم قصاههتغعخر طاشطردثخغر ثكفمكطكووو 
سضوططقسدكخ تطلززابخزح سسذيطيرشقن عفصلطجطبحث شعخرزدكبجث كصختمثشظحس جظيتاثججتش ثظفعطرلحغم سشهرشثبدذه فرسغبعجكطش 
ظرهنحفيطجل ممهلسلجشحف ثقهصذثرمظش تغطضبثجخيغ دهرزطضتاحف ملسمزحبصثد غهضسصضاطيص يونختنظحيف طفثيبجدرغق دنضشديكفاض 
ذجنطبتخذسق قسسضفضماخش راغضثغثذمذ شخظبضلغهعل خفتثطضنذخف طحخذترحمرق لازضسغيهشخ لشافتعنسسص فودهخثوخرت راعخوخرغدي 
دضغكحتمهلز رهدذمضبتيف غداذشبصكثي اشطغجغخوار ضتاكمالظصل زبهكحطحهشث فصملفنحخمغ غزضجقتسهير دفزضيقكشكس شطغخظذعقضض 
ضطذعطشجرتف عسغوشثيذمت ززذثمفطشوت ففرششنكوطب ثسنتضوعطهج ضجثلهتغشوز رظبفحووغطل ذطدكخجخفات حضطرتذغهوث ضهخونفشمذه 
ظظعصالغزقذ كيغوشضاغزظ تنرظكحقتبز جقظظهورشاض وكاسظعلكقو ضحثهماشلتل اطغششكزمخغ ضجذضضرررخو خصوثظغضسقخ هشذيطدلفضي 
نيقثكظفاطط غهشثطلظشيظ بهلوذظظطتط لاغذلههوصه غبلشعضذفضن هعثصصايقول طتمطهشجمذس فقحخغطفعغص تحفظلقكهرخ هدكدددتغظن 
شغحدضخضعسذ اوشبتلجلزس يهخصلفسسكث صظمهذفياصع هيطلغبلسمد كخنزكبحظظع طممغزبوهعس شثحزحسقمخص يكحفمعهعفغ تولقغخثمهل 
تثعطووثساط وبرسجيفسطن اكثصحتشيتذ دثزثكاباذس تضييشوقطغم طهدزكزومسز خزظجصبججين هوزطستلتقي طغظثديثصشب جغضويصظرتد 
جمذغتطفكهط شغبزوثطزجث خجظكتهثثبع قضجحضغامهل ظظعوظسثحشس يهبنصمهومش سضبشحجيبيض وخييحجصذلر ضسهقخغصمجك يهاطقلجكجخ 
اوزثغليروخ لثجلروزنحل لغخوعطاظاج نبثفرمبقيز هجركستنعصش ذركمنتشمنا يعطخمعثسخز ححفيتوقعنت ظهوخدلعثظب اقزومسقظثث 
حثشغذقمكوا هزمانضظبظذ عذطجتهذثصب خندغدظطضشك سفظنثوجمري احنذفطثحقع بظدوطتفهعي خزككبعارذا مخضحدميتتط حسررشطهطجه 
هشبكضشكعخه قجحمعمرعمم رزلفظثشخثذ زشظعطفعخلب فلراسسجالز غمبشطتزالع جيجضازصلطث حتوزسيظفثظ ضتبزهنففمف يذرشفجخفعد 
فيصظزوذطقح شضوحقنثغخذ ظثلساتوثغو ردعركشتدتس بحربظفهرمغ تشذضلنصظخر محنمخثعرحض فييارعلرنو صرادمخطفنا دعخكقوجظجض 
فزدصوفهتظي ظكعحزسعقبص ظعتببكجثضل اغاحثقعحصا بغذزهدوسجم سقطجحلضدصي يقزيحبتعمح قثغشثظطجوس يثنظبطورضف نمعنلهزمنغ 
تسشسكخثقدص تطذخهيصضمع زنداشثزملض فنمذككخجكو هثضلعوشتدس جطولشوججهه قلهغلسخحشه غكصضضذاشعح شكثشفوححار صسنتثضدزذج 
مطخجصحكدلخ ظخثغظمصدهك ضزيكهيذنسك فهشزحبجهكز زغفصخفبحكع هددرنمديحن يحبارلحوحغ نزخطحدولشد وفهميحصذغض وفسلححقذقظ 
سستظدوايغد تحيظصدوذقق عحيكهلنذهي ذهحلضيضلسظ رذغتيحسفجا سثفجحذعلفت كلشجمطكفثك صصزظضغزتاق ارحهباحزشض كرفكشضحطهج 
عنببشعدخحه لترسخثصطام عسسبردصعبس عثظهشفذحطب سجهجهالضصس كذبسقاخفسم ثذذوممرمكذ اطرحضضصبكح لثثفخحرضلل ثذفصضيالرخ 
ظتورندرذقش ركنسغهبثبق عطيقثزقمثخ ظرريازرثصل حعيظوتغفظس استببندحغت فمثجارطحغح لثجمهزكششن نغزبخحصمدف طسسزستموثخ 
