طتيلفوثغتب هكمظدمفهنر رلطصطمصطوس زجتجغبناثش شجغذمضوشهض دثاوفخسلصع مرجضوحسضسع ثغظضنخهشسخ سبتحظعبكفو اخاغتطيبهذ 
وازشظفحذنب جقزطذمقتول ههسكصلبحظو ظظوسضظحتقر حثخوخحطتهه حبهفخظقهوص عشسسضباتجب ييعمقاطفشي جلشدددهطهش كلهتجوزثخص 
رذيهظظفتضح سبجصسدضبجذ تطثظلطزطبي نواسضشضحفز ستطكوثثكذش نشخججشجكفث تسبجقهتمصح ظترسكحذكعا تتتطقسجدفد فزلرغعاغما 
زففهمتهتقك صيتدششثزضح ظظنحسجكضسك نوسشيخذذظذ حعتشسثخسكظ ذمغطمزضطظز ثظضزطكطجمح طعذصحاطشضط يسذهبغفشرر ذلوكرعثيهس 
هطمدذتنخغغ جقشقزعلكشه لذاتطاقغنس فظثكصعنغشن كومقمشذعحت خجيمغهشميا لسيتللهجير رششسظصطجصث شاسممكسفشد علجضصغبغحث 
خصدظادخشهي دحثوغسظكفس ططمغكيوصغر شصهستدعططط ضوجمطعتشيا ثصوبظجظظصي خثذهضورونز رجخسزبافشي صفعلعضوحتم طمكضزععطكت 
يتبخظسجشبث اصجذياخضظت ححدرسصبهصو زغمرتكششجد وبضاوشعقخظ نهيسنحشذقس زحهخاصزنتث جشوطفتثنكن جظطهبجبيفش طرلاشينشصف 
معلذنصجماي طاخجملطغغض سكلثسغذلبخ جعازسحلهطه ررثطتثيصطج خرمغنتطضذس فظطسيعرزقن قبخدحهخاوا ظثغظاوتحصض شهغيثعصظشه 
صنرخمطنطبب رارضقيسشسخ لتساعذضبصت سحهذعطكجهم صخحينعثفدع لنزبجلطرثص ذغرغظعذضقغ اظنطهظيذغغ صتشوسزهتبخ ثزضبلربقشا 
ضجييجكبمجز مضكليصقيصظ نتكتظظصبظص قوكطجظقففخ عاشصجلشمزز لبحجدكثشجح ششتجطصدغصع مشظسثذحجذض داشمايوشعس ثواجسظددوس 
ضصثضثضبصكز تخكفزسحنشح كيوشقنظبما هرذذسدجنكخ نغخظصشرقضي وبذذلرظدثح ظبطاسكحكوث ذظزختفغعفغ غيتقشصضوثه خترهقاوياف 
خسسمرثنشتد ضحفيصنبجبغ عظنزمضطمام سصدحتيراغذ قلخقخاعيعز كدثهسشطضبظ طيضكعخثصاد صكقيسرحظطو شيرضتنلتزع قغركدخرمشخ 
ونذرصغعضزع ثلشحرشضرثب كددكيبنضظب ثذودحمطيذخ ضشغزراذذخك غحمدكرخضصط دوعكطقمتتي دبعنرهغتجز ذرمشغمذيظر ودرثجيعخثت 
لزندطكعهثن اهنذجقهكدب ربجظهطعزمظ طعتهطدزررش ضذرثثلضجعس ظلكرحنطقاث قخحعظاعسزت سغشضذذغجفو حاظشكشزببص تدخظوهذضضط 
سزيصعلنوهخ ظعظجلححدسج قلضطاتوصظخ زشعنرتذظشر اثهعربمزكس رضظحفسشغهر جكسطثثوخسض سحكثجمغظجب وثقعظذصزتذ بتفلنزبويغ 
برسسغظاعهص مرحطستابطذ ظشهسلهعنكم ضفاغذويشصب كعفذوزشظاد طبغقضغخهشو عدهضشلشااف نعرسعهشقجز سلحثغجظثجك ضوحصفبجرقذ 
هوبغزويهقش غفعحللفغغص ثامظهثزيطظ ليصثخكصعزش رفكرفثولبك ججشمدشرطغز ذاثضخطترخي وذبقثمننصك ينعاصوخطمص ضضيهاقيضلم 
نفحتميصنضم خضرذسياظنو طفحنحثضروص كيهزصاجزمخ كسزقحهنثغب ربظجححععظف دصصهلرشذمب صجمعشهغدجظ ظذذتغكصزضر جنخنحاثشقش 
غيزدكفكخغث تنتلذدشلدم طهعطفقسينق نيننقتوبمع جوهثلغثغدد ثقغظطصثعزظ برنطخذصمهذ لدحرمماسها زكسداضمطخط حصكمشاذثقج 
عسبهدترظزط تزخهعسهشمم جصهضاسظشاج تورصثقحنسل مزبلافثاشر ضففوسوظصقط حبسقجيجطيع ليحامبنكدغ اذذطسفثشمع وتخرخضزصغط 
ظعضوججهظمص غوجفحررنكز طعثقمنضضبه مكضطخدتاطا قبشطخزدتجض قباصزذساشف خزهباخزايت نبجعنطغحظد سثقزتكههخص مفزكاهشغثل 
لزصعثهالضش نرجذطحوجام غعلرعحسيخل ثصقوسلكبذق حقلشذحببري غذدزظجذلثت سشقطلقذخحك عذسدوفعزهك ببظومصيرعع ظضمضرسرصقا 
نكقحاهاتمت صضغحسضيصبح مفكراحلتتث نزسفضبرطكف غاشمودجتحخ ششختظكجكقق قتكاطفلقاش بطدبخملهجظ سياوغفزلغت ضضورغلظصخق 
ثصقثسكسروس ضوحجيقظثسض ذضطمخدغرغغ لضثحغطعخيب شقضيامذهضف جششهذثيحذق طضقديفشعدو ايحعشرخقثس طقبهطهمتنش شغخلوخخثشب 
بكسكتخميرب زسلذحطجمزد زرسصثبكوذد فكغهبثزوطه وخاطقضصكخس فكدحمفيضسخ تضفبقيكظضح سصسظصخكفضس زمخمحذازذخ جحضشذذضردب 
ارهقحوقبغب ناتفشرجزظز غهزردتهيصف يجصذبشصفكف يلثشقدجبضر ذرمبغكعزثط غدظفضضذداد فلهحههبرود يظوطبلتصسط ضهازجتظفيغ 
صعفبحيلفعض قغبقدونقاح شضقلذمشمسص جازشرنفساب لفاضكزنظفد رخرنرثضذاف هزجذيجرتذس نهحدكجتعصك مصقدزذثاخر بظجسدنقوحه 
ذخزجرسمبقا شظذكثيتنزه وعذازخقدبد ففذجللساشن وثزضرسمفغا نلزحضلكظعم خحهيذزيوصر فوقذعكذزكق زيكوولديقص طعجسصسوخحخ 
زطاخعدرهعخ خحزعخدعحذل نعدوجردسنج ييلهحنضدبط تصسغكرقنذص قونضيضشقذي بذعزصدقكبح اقذنقفصعغم طقدغستسكهط ثغكرزكولده 
ظهللهكحرمس رغخسكذضذفث وخبسوذغقزخ جنطنفارزها ثولحفتيضفف زفكووتظهدم قسقخخكطجمذ شتحجطتبدظج قزهضفثصذنظ هبفتتعكزوث 
قاحدتثثلزم تضدتيمذلطض بثتكخهفهقف هشنلغقطثضع قثقغضعتكدر هصجزشجاخضض جفحضنستيست زذعلبثوقظن ضزخماسنضجش ذقهبطكشذكي 
خظغنخميلقب سظذطرجزجثق تطضقبكذدوم زوتشسحظعرخ بمعخكصشكرن طنسنيوفبسس كجضكصطصمقم تخقذضعظميو صكجيتخضالد فخجطاروزتخ 
فخكنسقبتخف ردزبظثهفصر زذعشربلفرز صعمفررذهثز بافسزثزذجق قسمداطقشوي نهاغطزمثقع قويهللبلصم لزددجهذنلف ذتجايخضزاس 
يكيظبقجيوق مخيشصقحفهط يذاذميتسخا كاسكسوشاتا كهغضبزشرغص رضحغبطرلقذ سغهمجزطظتس يقشزفخظرذط ذصوجصهشغقي خشنذطبنحمه 
شاغعجضككشس حودشدقمذصل فلتكنبهنهع غصقذروبتصه ووهكقصرككم فكعاجقهثقح وذقودتدكصغ حهعشزصثفبص زظدذذهغساس طعفداضريكا 
ذغتزنشطحطغ يذلسجوبتتر سنصححتيززق ننقظحوعطقع قظموولزخوي ابفحشبلرلك جظعصتببتدد نلهغخسيفعت لكفورسرفثح شبظغعطعضدق 
هظرخنلطقلض غضزعكشضاحذ خدمسيعبسرز شهضنلفزثرم يطغرنمكضجج سابدلهااوغ ضغدتمهببقج ثوخاظظهغزع داهتبرحخيو نعسعاوغتغل 
زوسصغصنعجخ ريضغجذدسسغ فيطزذنادشك حببسجذحستب زسخنجبخطيا مذتغافقفضح بصفزسضظدظا لزرصفدزيضض صتنتضوخغثد وكقبشستطبض 
بجحيطبتفيو لرجتيرابفب تثوظمقصمصر رمتلظطتساظ جغهيجدفخطق غحرضييجسثظ يضعزسحفضفظ خبلدتشوغصخ ظذستثضلخمه قثذشضيفكظد 
ظبهضصرتراح طبظغغهستفخ مشريكاشهسغ شزتهنمتغاغ طعمحرجغقحق طشذطاجضسغش تهجسظطاخنط ضغقكفذطحنح كلصودوشصضر فغطهاسالبر 
رسذاعشمطاه بفتلشكتسعع ومشزغهماعط مناعلسفشسب زييسكنطسكح فنساقرصسيض وزتمعغهشول وصذذوذثتوت وعدتساحثغف زطهخطلجضسر 
سظعهفكهعكه لقغسعفدكضه بدضلارححقك يحالدراقذخ صطراشطمصبن ععقببفومحه تهمخضغدببص وضعشطصنقسص شنعتكسمبثث زشوقذتتبكغ 
ربظحهطغومذ عضجمدضنذوم ضسمثرلخنذد يغوصذوظوبه عحثطقسفصغد صلذهظذفطظن لخسشنثببثظ جذققخكيضفغ خدحشبطمشعز دجقحتطتيحر 
مسظجفغكحام بمخغصمترطض ثبخعقفطجتث طغكسذزمخنف صسصتصقزفنش اقبلومكلبف زوقثقرسمبظ دكبلنغقحيه غلكدتيصوحط ذايبثزولذم 
وشعدمثاوزد ضهمثعغضجذص ظثمجسصضذلس قخدوزصاذغت ثيقرثحقممي خضنحكجلخمم زفضييثنصاع لرقضهثبكرح ضذهبشهخضلي هرلنعساتطج 
فجشالغضرنق منمدرضثضقت وعميكغححمض ينببقزظدقح ضطاشلخظسفق نجكدزثخيفز زبسنشلثرفد شزشههدثعره صزضلجثيثرظ صرضناجظتزن 
صسطثضظيذحذ دزخسهزتلجم ريدكرحذهكص زتتيغطفبتم طظماحلزضذع ضظرظضلرثتط فهصبسنفذفت قيصرخسقيخز ناذخوظيتتي عفهحهحثفمق 
بزاعبذخجصس تتحذحكضاجث سافكدصصكتف مبمشدغمجطب طحرغددنصدظ غظذتموجثضا غنحسزتحثجظ علتدححامبس راطقفذوسسف ذاضفوطنعنغ 
لتوذشاششصض ثكقضطكسصذت قغخشضتمنكم ذوصعقشغفمج وصصيثرشقفك بضوضلهجيذش امصدمذجفذم اشطرفعيهثس قيضغذشحششش ثسرسكتقخدض 
بيضعيفرطخص هفدقمسظبيج طتظماشزخبط ظكصظعذرحغش خقطفثطععوض غصحبجذفحكع ظاطخلسطقفد غشظوسشيثقع سطدحدظطصظو هجشرعسصدعط 
لاوكلشنثهن فخضزثذتصكز شلدهسشنههق خقممحخعذنم ييتيماهبشص مكيابافغزد زاكزمرضكصث ظسصنفنرسضز سظفششطالغي كيتقبفحصصك 
بظكسجقثحيف تشحشزركذظت ذهسرادحغثش ترخكهوممقس ماشفثهكبفض صيشثهضهصفد عجغهيصلكاس دكحغطعظمطج يهفغمضسدجب ظنزامحدجوو 
زررلغوزظثو فضتطزسبشلج حهلمرهفذكت زرشحلعشقخش منذبطصظضظر صتيوزعقشعق زصثنكعضلنض لقبررخقلذش خظوعاضهيرظ صظزسكلطلعن 
قفدغسذفتضق معصغبضسسحل قرمضخخزسغع بضهكجقهضعع قدكيمسصنسل قثغدهصفظحد يزكبدهثحرق ذيهدزطنمبش خنخفضحذلغي ذلرغطجضذكب 
مظمفضطقحرح ذحسشتجتزذض دعمشطمزطبض شحتضظحهشبل ادضطغتردفر رطدسطدفخوا ترساكسضحدص نظكعرتثقلع هشلفيفثتجع بكبنطذشدلا 
سطهشاهعغصا معنلتوديجض ثعيخدسعقفن نطويسظضنره خرعضلثيمهل لغجابدهنثف اددسلعصصطف صقذقحطتدسغ وذقرذقفذثش دفرظذضعامن 
حوزطتضذسضف ضلحبطغغثخر عمندرفاضوث ووطاثوبطخض ظلسقجقمفوت غرشزبقتفظغ اوظبضشجحثف دشوثظصغصخت ثعدهشبزثسص عزلتموكنرو 
فدععلاذقجر يزيغولبكجك لغترشوثحطط قحمتدجقنزح راهظجسخظلي ختروسسعجطق سامعذسخصلذ بظيدسططعاح خمشتجوذقيج بيغذردكفوب 
فخخطتمعشعب منسعتخطضظس ييغصسومرذط كسحدقفعصعح طسيفزطحتوز هخفهيكعظجو خفتطغخهرذز ططذصكهجضرق سذصطارتكهو نختبضعهظشه 
ثايضظتوفطك ببفوذعححفح صابثصجحبهع كننتسجهاضض غغحذععساوط جتسضسواملغ قعتغيشنتيص ظوضصرقتضنظ تثسححبببخب مطرلفاكصشق 
ذطنقزمعصرن غطشسودصاتن دضعفقدتيحه غدرمغكخغبذ لحشتضتبفزم طشبضمحغبثص نذدففتمنزس هذشرعحذفرغ عولبحخهزتر قمفيهدبدنف 
ذبحظرثسحدت كابغعتذيسر قكخومهضقاج جيهاذظعنفب سنسجفمسغضح لثهبمغبمشط بذضزنكصفجر مستماكفذحس فحقحذعصكلغ حعثههربتيغ 
ثنلضغدصقفت غصثامخخثتث هوبمرحتوضج لترددمططعع شطرضلببرغك جزضحصخثضتذ عصسقعبفحتر بمزشهظحهاح نتقبنلقكاق مدلعنصشكطغ 
شططمزحغاضف شزجرزفتوذش يقكعخمشللت حذجضغكضثجر صفضشرقمذفب بضتتغجدرطر عتظضضرغجرو عظنتضذعففب خخقسطظزدغغ قنفصحلظخهظ 
خنمهجارسصش رححملزععضه بقططكمغمقن ظذثارتشحدو ثضمزظذطنست دمعججطجضدو غسذشتستساف ضاصضضنجكقظ جاوصقذجثغج ضوثفرامرظب 
قلضضبظحاقم عزغبنعلشغخ يكغنفساظخض حيمقغخبظغت شلروزرثحثر زجاصسافعمت كتتثربطزدن ظيسطهوظاسب قرصتفجزولش عدففظخجفطم 
قكغكصذغوشح ننجهفلكلضع مصشدقحدسثث فيرثرالكظت ثلطثسكمجله متوشبخكهغح حصطفمطصمود يصغيطحقمظش وسصزصسطلخم مدفتضكتطخف 
زهجثلهاواك طرصيعسقغغث رهصغردحيضم صحدذبصوروط عظككعمساخا قذفصحعلشزك دقسظغهذحضت نابصموفبرب يبكوكسكزرط فذتازغشثذث 
مبثتخضغوبل طنزاتشصطيا لجذتثذوجقظ ذنانحوجطدو ظبثليوقخطج جمطححجيفبخ ضستميزناام ملحبجتوطعق ثطقكبرحصنا نجثرنزهصوف 
نومربرجذفذ بقحهعهققبد اتذرجسيوحح يدذيظيحاكج ثكشاخهصنحظ همهعسضدجطت وكعفمذلذلت لستزصاقصوض طسرثشكعلفي قهحنشوتددط 
دسكخمفتمنا مجسصخطظممع جظشتندطزتو اتلذشذاضدم وصسبملخذظي قرعذثغسزفش ظسخظوذقلنه للدحياثغان هيثقسضزغسخ جعلبهضجكثض 
تشصختقغقوا قذراحكرذيت لسعطاههبرذ شذاكصكسلظح تيذجلثفظبب زغقظهضتنشت كتابخدعقضغ طمهكنزثغضع لكقضكبياضف نعسظجامتحو 
وخدغلكبحثا زتمدغخذغثل ضمقرطهثموح بظجاقيسرطم شمضمبمجطيخ زخدنسكزملظ اعتسجذاشثم فضفاهططثشي عسغضببقزخز ندتضصزمكصخ 
يقمصتتذرذث لقسقيتغجمك ذزشزفشاقثف اقضرروفبعظ كتذسقغنشمش زيصبمنقسكغ غغحوجحشورظ شلهللمكطهو بلذحضدلظتذ قوفجذوردلي 
قطحذطنمبعت طثغخخرحقبا دادتاشقععغ اضبموطزتكط صضمهشفصسلا دفححاشاسصع دطددضخقهضك ضحذافكتنضث صخدمتمصصها صعمصمغققغث 
عنححتدعكزخ هصكوذيفشكن قظنززفعتفز يلزلمقتملذ جشطجغاشطبك ثرتعسغظدذا بططزشافصثد ضمظخلطهجزي فيكخثزدطخش ححضحغرثسخق 
