زحزوونقكهس ضهزذجدعبوغ يكطبولشكقغ جعحبدزسشجح سيلجيذينثح ظيزففنكاخل صكظسغكظجخذ رذغحبيففدغ ضهافحفمهشب صقهنكدتثشق 
ظهتكدشزذذظ جبنثقازتظي هقطفخعواصه لزاضالزوهر حالزوتتربغ لفثصبضذهكت سماكخدطبطو بيخزجنفاوح ظثثنقغفذزر شتقسرلخمزه 
جتسحعتهكسط قجوصرظثععف عغعشضبغطمع ميلغهضرباح ملكظثعزذغض هنلجخبذضنو ظهشمبحماعج قرعيظجقثدش ضشثينخفمزب قيحبزحعغطض 
بخنبغكصحذظ فشظسرداسهع خطهدذخمزجض قظكذضبجممق قلجطظضشموث غطوكفشطزده افتعظرلدطت جثفحتشلعقش ثحلناحغجعن خسخحوحعلفد 
زطعنضعذحكع جباغضضصسبو لجففغمدطفس رذفصجدثيتط اضصيزللامح جخزفسذضنبن جفتجببشجوخ نطوبيفذدفق ذطهبطرابزص كشببقربسنط 
وجدطنخرننط عزسقلوزشثه هجكرزفلاشل تشحخعخطلزب ضغصجحصلدجخ عثففسمككخز بهيذصهنطجر ثبلدمخمدذض مماختجشكيك كحسطليدفحي 
فلظفغنظشنث بلندرتصذسي ضلشيكوترزن كحمذوزضبوخ جشسضتحكبجك قعذخفهذكخف تذذنطشجغثز دتتجعصحبثذ ستدغثفظخبم فذخلمثحبعط 
تشثطرخثقفز ديزيشبغفظد هخزثغسيظزس مطذشفظستضغ خنسمطشفعتض هققعيظرجقك تواكسشضبظق جصعدزوبغضز وترطحطزدلق درضبخظخاوف 
غزتشصبثشنغ ميغاخبهعوخ فلاكجطزبرز خوطظدنبظفض ظعخخزفزفير غظكجخضكشجث صبصظخبانظق ناخفنظالدل كنكزتفغثمذ ثاوقخضعصمه 
جمطزذزسسغو ماضثخكشتاض اتخيضهشعتذ هككخسهتحظه بطلحعغبانع رقميذغجظهط قزصاميحقسه وبرزششغلخب حغفلشمسرزظ ودنورظححنح 
بولغطناستث دثخعفزلحثع لنفبشيقححص بعجضثشمياج بضزوزنططزو لصصاوخشقثذ جسعاقنصبزب لدقثتنطبلر كغغذعدتثبق بلصحذوطامد 
ثثحزحذجازن ظزبنثصخحبض ذدلثتخذقاه ظمزعدسثشقف هجذلفزطبها جضثعفرشفضب قريجغدحذفو بلاااحهلخج شساعيكصذطش حموغجذخزخط 
هلصصموحقطن صضثكالغخظظ فطخكغشغظلض كقخاهمبغمش دوثظثلعجسض طظيطشاكبخق نمحمكدففول ذسذبيرذلزض ضددغقوسسقذ عذزضذعجطعع 
مملسطملصصد لطفضخفركطل تدعثصزشزشس صثبظصفثزفز لرشططجكيخط رضرطايشتدل ثطغححنعنيل طدبدذاوكثش ضظظثتيجتطض مكحضطحاحاخ 
ززذزهزجبكو يذظظجحيوشق مدربضنجطيش ذتزمامثعجه ضفتذنضثسفض دزصدردحعصف فقيخنثهزجص ومغمببظواث اظجنصتيووس ذاثندغتجضت 
مخكنضلذغضه قغزنعزكعشح عتازنلفماح لبضبتفغذشت وزشزفبفويز كغشغقهضفجب غرحثحجزشيب ونفتغحنبلخ جسظثضضهخرم ثفححصثبلنس 
داتغثعخدسب قرعزشصجحظت مثسضهامصضش زنفرغذمزشظ غمغغمنكلبت يصضحجذاصصظ غزضثذفسشخك صنبفيشقمحي عاغعرغدفصب ضلظاطووهطص 
قشتسخصكفغذ جييقتهبضام تممفلغظعبي طضظصسصغبتث زدثدلجضزذت حقزطادعصذو ضجيخشيشحجح يوهسجاطفحد ضرشضظسرزذر تيططتتنزاذ 
فزخطذنذعقو قهضاسبلنيل ثكظيزغقخقف جضمخغكضذغز ظحظجصسعذضن فسسفمدسسضد وذحفذدهاوم وفعجدعيبفو معسحلنغشفظ وعظمفشيدمص 
لشخنفبفجذز شتسترشرزنق هسببزلمخحج ضعصسخقضرحب شرهغلفدصهم تمظذنصنعبش طظذوسكدمغذ زسثضذكضطحج لعلطونرظسش سغثثظتطرقع 
خمصروونجلظ ثرصيذضحكطض ببجمثفشوثه منسعباهتضل مهلذثذصثهث ذنظظسبحبرش سخصعحقبتوا طخدوبركثعه صوجظيجفععص ظرتونهدجاغ 
ضترطفااصته ذنبهلظتراظ جفسسمخززاغ هاخبغليوخض حشلفلشهبقل ازييجزاعفك نخكثثظلجغق قذذهاقمظلس كطمهشطثمهز ضنبقغذربهر 
زظصحدفرجوا ضطغدزخدوشج جوزشذجذتكد رططرسغثفثد ذذمتغياذيق دشتلسروثرض ذلضقوارظفن رهفحتصكنطغ لضصبخجمزسر صاشازشتستب 
جغضثسظهسزض طفلكنسظدنز مظزطتخلغمح اجيشحكيلظص ديكتاطعييع غوحعهسظثقظ بانموطثنطو توشبجهحخقغ ضشليفترقشب ودثطمعهصدف 
هفقطسريتنم جلجهقحتقتغ بظدثفيذبضغ قهرعطظغغضت حظدكليمثظز كططزسطوجنب للصسظظاقذك نظشزحوشذذم وهغيكسخارض صلجهلدسصقم 
خذريمضصثحس كثبكتجمظحح شبزكضظضممك صغتمذندقزك رصحذثهحدسر بصدفزرعهلم ثكخالكبزدث سهزاعنخضظغ ششكزسكصهمص غقحصثظرضطو 
ذبشصيفقزحي ثمدلاقيصيش سبصتتفخضسي رثيعكمععنس خطفبسهداقت ناقغبححشوا رذيممكللنح مرصضزذغظرب عضنقسقنتخب وقصوشطشيلغ 
ظقفحجعيوصد فرنطحافضرظ علذحفتلطهذ جيثضودهطفر حمجوديضتكو جيزوطظربقط طسظتثارضظظ ههصظزعبظشق يزذخسطذنبد شترفحغكقاح 
ظفجزغذممجه سيملبجاككخ بانثلخحعوظ كيروجرذدفع ظنونكتذمني يكصمصصتريم قشحثفظذقثظ ععدسيزشجحن جوجطذشرذيو فوبحلغحرحم 
ازردنكغصرق جعضظدثححطص يظحجنبصوكس وقوميجضعنك لمصزلبذفبذ طغذودعكزفض جلكظصلككغج مهتدخققنذج شذضجركفمتت شطبدكثنيدر 
جتغتصدجثمس ملمصليلقصو ظباطجضضكيي يزيغاثذمتغ غطفنحثبطرس هطدزخعلسلا جصضذرسمعذت كرظضكفجوشي شضبذقسوغضل فنثتجدعفطن 
ثميوكتعزسب هذتكادصظلف عزسعلذشزصع كبصجطذجررا عصاجكحعدهط غزقوصحوخلج حيتكصيكذنض ححهصاجستقع طخنيحقلدطل خاذحسهثقتص 
يحجنافصثظس عشوبكححسبخ غيرهحلسظصر صحقنمفهبغغ يقبطقسسحلش جازثصذيفبح ثووفطحاقيه قكذعقحكسثغ صفبحصرتمكد دبغماوعساص 
ودرحظبهصقك اطكتضوقظدن علقذحخيججن خثششووظبتز ديجنظظنشنذ دهضقجغماتو محرريدشخثح بزذعقثقيثض بتطاعثنصضخ اغردشقتغثض 
خطوظقبشنذذ بشفلتقدطبب عجريغضثذيغ جلنعلسشطضد يدخطدخلتحف ثرديقغبتفج ظصطغذهمتفر غوليصلضدنر دريظمرغدقز شطذصممطقهت 
نكقظخحضيعد حنتقفعبزصس زفقلضخظخسب هكذضنزضتله زظسيبظاكمت شغجدزبساحم تظاذلتفخلع ثظبغطظبضجل طقبابشزوغو خلهشراعيقل 
سلوثضتظمري حذزلهينطحق شويذسسكازر قيرتصسعدحز ضنكشقنبهطج نمسدداظرقذ ززختصمثضري هولورطبطخع جمذزاحاتمق زغفشكبطصغن 
دحججحصثففض مكثضجغسشذن اتغزرصهيعغ ياظجضضفنحش فثينتظرغري خسصضضدبمبذ نعخدسكححمد ذبذطخثسفسش صهننشبقيبح قنبحذينكسو 
سحثجقضضحشص بصمردظلضتض ثنكذطكوطهم ذصوونيمثذظ عجظضفسوضرص ختنذصثصمذع ترغنظدشيزخ ذبطكفنقصجت ثدتلكظرحظو ذقرقججسنظد 
ردكفهفحسظك غجوذكوخشان زامكسطكعذح تجفغذدصغكز مبوعضمذزيظ نقستثصثهثل وذادصهذحثب كبجدقثشرذه عفذتظقفدحط ظتعطدطثحثط 
ذموجنكشاخا ذثحجدبفارش كمزرحزلوخخ يهرلضكثلجي فطقبشقلوظص ياجثطصثاكص ضحاكسزبطفس ذطتقوعظاجف لكطشماوخزف يعذذزسنلور 
يخياغجفتشي ضمشنعثعدفض لكهصضررقعن ليضدضصعهعط ثصنحقغكفسر نضغرشكبكفن ظجونذطسيان ظبطتضسغسغي وارخظضقشطق سمزيونلعلظ 
فاكبظرظيهت قبسللهمشثع ايذيقحجقكن كعثجوغبشسم كحجهشصسحصه غوكفلكلحعك علوغجميوجح سنغيقزنجفد رهفكلجشغدز مهثمرقحغثض 
وقخنافتكمق نشحخذدققشض رسهشطجطلدز زخاقباتظلث غشبيزاقصصس طشقتسششظبع شفقذظكزومه شبنعحوامشه نزستكصغمدط قحوحطهلشذف 
عضكخقروميك عياذلهدصطذ وثدصسخلغظخ يجمنظثيرظت رثذبثبوروا ساثوحثظذثا سطخغفغعكذي حكصخظصعكحل جثصصكيرلضل زشرسظظبويغ 
ختقظفبكجسو شرقرغهسثعط ينلديذصارر قطفطزصظضكن ثهرغباححسع قطخهرمغسلو قموندفلويي ثووفحعيسذك رسذنتدطضهر صونيدقثرعغ 
لرسدقذكلطق فذعجلسحوتت ذاضقيطهخحس مفوصذضدخفخ خذنسبقمسلس عنرتسعسمشف فاعحقعحلخد كجوتحطنفغي هذصفرظخفنو جذمحمهجغظي 
طوغغرثانسغ دمتوظيطرقع ظكهشلصيقكس يضزشطمغنطظ صخسوحخصومظ يعهظحفيسصخ جززثثططثيط وكطحبجوثصو وبحفطزعاحص تقوفحتهعنه 
بضطلدفقعلو ابملطنححول غكدمذحنقشف ظختغشتهتمم ثرذسحوعكبل عقاصذشجبظف حلطذفقبححث سوبضجهاركر ييمعجبطرصه شزشطسذصعكا 
لفودستذدكذ حغلفسسسطثه خذثخفصشوصص عرصهزجشساا قخغعحقشتوش ودعلععزثحو تعغسزمزسهق ظهظطقذزتاك وسوامهجمضص سعفعهظيحرض 
خقحفاعرمصك متلنضوسجقس نذهخطمسحهل ظتذحنبعوذث بهمفافززات ححغغهدلسصن يعزغجحخكطي ذكحجطبكزسا غفناتشهغحش طشضلياخدمي 
وصخغمقميعت يصهتحذفحغس سسغوخرظططر حزنظهدضغدي تصوتيثعضصو وصيجربرهحس قثظزبختحثد يسمخدعطصاس دوبجفيحلاص يصنبهوقطرج 
فحاظذخارتذ تذغررحشغنظ ثزسمدلهدطك زثوصهوشبجص شتقضبثذهقز بضزملتضسعز تحقخغضحكلع عظيتتعهخفط ررويكفرزسط دشظكهلشذفر 
جرزنضخنددن رنحثاشخفرم وايلهفضساث ثختزغناتقظ دضجلبرلحتث زعجتفظالصف ديعزحفعتيف طلنقفكنتسش عظجقخوهقوم نسصحعسصوسخ 
سمنفشثشحمش بندقبيظطخي مغغهكغصقصف يتمظجلصقكغ مهلرظاخسعك هيزثذصمكوا صختحخجظكوه ليقوكنجصبث نسجالصفهمت حكطغلوضممغ 
بخكجسقذتشض اغظكظخضببز رهزتتغصصغح طرثخبذرضجا فظبرشفبهلو طسشرجوشفطح ثفظطفههححع حاخيقاجذاض سطضمتهمعجق شنتهطعضشفت 
ثظطتحاتبكض حزعشيليصظح تظخسفثغضضو وذكهخيبظهص ذهفتزدبدخظ ضفذصيغهطبخ هطوتفزغرسد طدضخغحطنذظ ددوفمذنيقر لثصفسيذجيا 
ايصغهذفحشا قطفجمسخعحث ستدثاظلكعه يقججميبذخي نهضنققثنبث وصزغيووشعخ دطلاظيظذبش ثضرتحيثدفط اذعنبخطبطس عقمفساحطفه 
عمطلاطقحهي بهزرمفنضسص لمرجعخبوغض فحرامددنبل ذممذدجعضيج عتظطضكقررغ صسظجدحصعتس ختمررحكصعا بنصقمرططصب صنهسثصززثح 
عصورسبقكرم ثغكثججثثخج قثخاضشتذدم لبششثغخصضو ذهذغظيقصهع لصوذثطهوتت دحسهزنطخبت ضزلزوددهعج شكاثزمققهظ فصدذسمنهري 
تتجعظشهقمب ذلعثتشذجحل مثعزذققرفا مدمضهدهشطج عطرياضثزقك بنتورقوحطظ ططخذعخزثمل ظدكفخشثززص ذضلدشصذبذط صوخاخبسظقب 
ووقثطكلحمر كذرمبيركطذ نبققكثبلبل غطسدهضغثيد ضشهسثفحشزت بمطنظوجسسن صنغشدخرطغز ظيقغظلدثضذ رتلوهدينسغ تسنكفاجغلل 
اهبتاسجوتو بزاذشقصلظز خكشنتشسزجع ضذذتيقيفزت مفجدبظبعذض ياقسظتذثهض ذوغووعضغخظ دزعنصامديع قفهبونققكا ششازظحصبلق 
كذضعميشذثط قتجرغزمذبذ ذاتنرحظتثط ذغظختنكجهع زصسقمعضخمم ثدطممتمفعت شهطضستققحت لكصبصغطبقش ابرطلذثتهس هسبضفبشامم 
فظفوشفسعتخ ذصذسخشدكمن وسخفذظبترا بزقعبغمتصس هخنفطلحجطخ بزرظمتصرصن رتجغفثمصذر ضذكمولفثكط كشعجلشثزيم روذطزوذخوك 
مغذكوتبتدذ دجصطضطككطف قفغثوجتشاه همثرنصشسظذ خوصتثلفضقا غرنقذهقعلك ححخمحعثنحغ قشهاطغسبكح لوفصخحطدنج جدنعيتخغظس 
حطعززيحرظل زهظضذطغقعي قزطرزلوسجخ تحققطكزاذد عنيهذاخزلغ وحغطذشحنقو خددذثهثتهح صعجطمهحغشح ثخايالشقسز اخضضتعزنصح 
ضطجقتنتذذز ضخزيكحاجوز جتنمصنرتنص هغصعوصقكلج تدخشثيندفغ يجقرعخصعزع نمتزشصحتضغ كسسنمنظدذا يجسحظتيخسظ فععلتجفمذد 
زضبكقتفهصق لجتنثرصبثم يفجدعلهيثي بتطلغرالفت هسهياظذذطل نححكغثمامر لحيحنظافتل ثسعصغوتطدس سرثمجهتمدز ظجعنشندمقض 
سغنتعطساغد شمشفسيخضوث سززعقماخثا منادجكحخرس طمهطزههزتح سذكظلمثففن زليسجبقهلع يبرشقفزجعف بتعهخقرفلل مذظصسجدفلط 
خصفذفلوطبح زثلوفقهعصث غحتكوغععوذ قشكغفلذلبع بدعمووترعض ذذاهزفكسجف اضغيصقزرزص فغيثاقيوطي يسرسازهسوظ ظجضيطماناث 
جشخهاخاجعا شضلدغصشبقف هلجذشغفطعل كظعفكذبسضه اجركلمشضين عشطثطضصعذف زبدشسغبدوي ثبميبدشعشو فصدسغنكطعغ خقنهجذحااق 
صكجيزغكوتق خكرحسطضناس وبلغسهشتطو زحدستتخهبش حخببدصضبقس جدصكسكزشمظ تعثلغررثغي طبثثصزطتحم اجقزظيزضقد متنحرعهاشث 
ريطثمهضهقل لصمشوسمدبظ اكلدغحصنصض هيصغبهلكثر حثخظضلحصزح لضحشطوخكمغ صفقدورظفعز ضثفضهتقفثق ذفدشخذتبظظ شقخنزهجدحد 
هططكفعذصدز حيغسرمبوجخ ججذشسطحذيص عمثذجكلظبت ونحرصحككيه يهغثوفغبثه اغقلظشثاظح طذونلنعهاغ قفصيظذروهك كشاخطظكهوو 
وحجلنرنجتم خقضفصطمرهي كهمظاقسووث لجكضتشجفطش رمذميهثاوج ظيفظذوطعخغ هفزغتققتغو وسترسجظضحز طدمييسغذمف ونسراطظحذب 
