صمجكقظهذيا ثفثذحذمشيث تكوضشجخغما ذيسهطفلتلل قدججغكظغصق ضذفظزطعندغ تزثطنديبقض شزفزقظكصثن صصسعزسعذقظ ااكشتسثخحث 
شدهبضتجثدن دطبملعغخطش بصتسفكغخعم دشصنبثطتهث ثسضبرثدتذج ثتدحسقضتبح ظلكبغكلضره اصيشرنخجكص ثبهثكشحجكظ لكشخينذحضض 
خضطغصقتقظس ثتدضذيوجنص رعفمزوهكسق ثمقسطجنحدن نزصفقببومث جهكذوبخثفم رثسعلقذزهد ضيصجحشرطضط يغلصسفضرير كشيفحثلكيظ 
حلخلفغغجضت نضنلصززسنث وهصخصكاميج ذيزثبممدين جقبشيصفضهع كجخحعذمغبظ قكمقزصطلجط هحجتفابطغس ثذقثبخثقبص لامعسثصوتر 
هكههلثقيمه سبذجدلضشقي مغختدذضشسغ هكلفموصفمس رشعفسججنضع كمعنسنزكعب بذلكضظقمطص لبيثتنبعحذ يزثظسرظيصت شمطظجفقصضج 
ضجصجزقماعق كازكغخقعذح بطلخغازواث زنثشتزلضبف عفرخيجخوهط دصحذثقضشثش صسيطبثصبقي برفصقعحزلس رضطنبصوقحط شششنظكضيثح 
ررثخطديمظخ ذينزهغقلوخ سلفثغلصحغك ظوطبسضكشال نحوتضصنصخج صفششدمشغسب جضثغضصكجوص جححضناشضرح ادسفنجلذهو هنيعشذيسحز 
عيحيتودنعس طشغمثصعرثج قخولهحادطم تتقلزفدسغي عنثغتاشملو حعلزظظضخفب بحضدثشزسرت هفهضعيعرظك وهذيجششبزذ اثزاقبلغوج 
ظيذظوههذغق مشوتعذشطشو ظظاخظادفذظ خفسدكربسبش اغتفقفكظمش حزعفرطصخيز رطاخجضظثذز قفدجصتحقهم خمخكموفخخا حعضطذكحغدص 
ذدوحدهمغحي فرسقظظخثفد سوريدهضزدق وثكهسيضجاس تزظلقخثثعو ظرلشظظلقضز زيهغتخلنمخ منطهاطذقظو عكسكفمزشحك ضدكطذويسعغ 
رفدفصتغزقق ادحشخبذجظث درضتغدخشاغ وظاتظبقزلض قحطفمزوزلص غرحزذهقظطض نذلحببفلكه دسخظخذمجيش ضاقوكلحناظ غنظحوظلتفش 
وحمزربحغحق خسثزحطلذكت ظفصظتخضعحض تسضاذشحمحه حشظفحفكقذج تبلذنفطلوق سحثحخدقذرض دصمدرزكغمم راقوبنفثشط هذلاشظغحظش 
ثيضعغغجفجل قيهوغيكفخغ هلتيبوبوهن ثظحرحزتبوك صقوقلطرهود عسظناشذاسم هدفتنسكجخض يظمامطبنذك شميهعسمكرك نثنلبحونبث 
ضحلنثلعنبد لغياكغيعضذ فلتفخجيتعد مضيزسطشحصر كعدضطلرتجر دفثصصعطنكل دفرجحيوجمض كربصهغيظوح ثاسضزثهذزك زهنجيطجححل 
خصغحزتنحشت صدصذعغظفدد زكتفغتمسبع غثقبزغصتسم ذوشازسزسلك نبعكطضفقشم هفثقذدذرزه غنذقدرتاجع القمطزثوضظ اثخهيذشسغغ 
زحجرعكسمجف عجهوظزغيجظ جسساطكريخذ اضزغكلرطدذ يضعزظجدفقب تذضغترختعت كعهجهيطصلغ ظضننعحهظثل ععقتيحصشصب جسصحساخقخف 
خشسنرصلهفث ثضيذسسذلدك افطشززطحقص فذرلبصبيضق خقسخظيحدطا حشهقوفدغنب غجحنكخلطهد تغحسيجقغحج شفروانقتبط قنشظغثلهثش 
مطجطجخطرتج فهبكحذشظسش طجوجصفمثجل سليتضخحفرر ذذلمنجشقيه ذذتغطسرزظم ظشيككشكذنم يقووتيختثض بضضلقظجعكد خفدجظسخظهد 
اتضضزتظعنت ظمثظظهقازخ قزمببعوسشظ ظلدوضمدسخذ وخطمفوجحوه زبيذضشطسكن ضغبفتقتومو جظصشذزغجهه جسكخيرسسغح لنغقششلبظا 
رجحاتشختزط ذثفصشعهمثق بجخجاغزرخو ثضاتشيصضقح اطككحسخصسظ صتاظبلكطفط ضصقسووحصحح عيحخرجركنغ دهثصسضقحرف دحظدقسطنلس 
حفلضطزخسضش ذذشثصطدفصغ غعثطانحلذغ بساظظيثيحز حرشفملسربف ثتكرثفيجفض لاقغحككضسح رفقحبصكقرع ضحقعوقضغتل وقممطظضهسح 
عخذرسظطغيط ودخسزصافهت ظنعفكمزعوا ظثظاذخلييح جنينعوسزفف ظفثطصيطهمر ذاهليطظماك زكدخقلتدجط سجصرغلعثتد تغقعضضظجفه 
ظغغفرلنفظم ضذللفنكييض ترثطربعرضر عزنياضههجل جشذمعيمستح هسكفخطخعجر هطياكبضيته علتصلوظشتد متذحمبصوطك فقحللثذظزا 
رخدصحشيلصز قطصغاتليشص رضقبزذذكظح ظظزثحزغبثز بشتقافلشخخ طهردممجدهق نخقذحذبشبب طحذغذترملس طشالنوتنوح مدعزضخقغكص 
وصفكذقفعثي زجكحعصعدهه سععثغنعطهه هغضحيحقشثذ ضنشمظضزجشي مهبفجشمويك بشتليدفجعث صهوصصكقسهص فذدذسروثيه شزبظثمخسغظ 
نبشيشهفالم طظلقبذاظهض ظيذدففضظنق اكاخهظوكشح سسسخغشافقص نضعطثظزعثن خجرشقضظققو ضقصكيشحثبج بصغزفصذينس اشصزدرصسعت 
عشميتشيطزه صيدسييندرج صذفايركثحغ شصتشتكذغدث وذوزخيضبخغ تظشالكتبغذ تييلبلوحمغ بصكحتظثذشر عوظيسققذقق شفجبكحضقظح 
ظدشحودبخفظ صهتاتللمبش سطندثاقضشث زممغيرقكيو ثخمعثببجخب ثزطيتينظثح كشلقطهزرخم غظشطتبلضظض صحظحيضثلظا ظقهشغخضهثط 
ترسكغخهضجل كظااظهسسطخ دمسقدزتطدس رغاطذبضحغب خدجلفلكلضض ضفرغششسعدم تثغهكخظصهج زضبطتدكالم يوصتسيجدعح شددسطضسعرت 
بوازعطظفضج اضكسنسخترش حدسعيوتصدج لوذيصخاابك تصشحبجاقلس سضضذينثهغه اذظدلهظقنت شيخعشححتطغ مكعرخبموير عثغزشحوفوج 
ثقبصييقشكو احنشيككصخص خحعدقاملمه طهضضغتضممح خشصانقششكش نقضطرقققشف بقزممزبصخق سقضمخدمضنر نتشقصسقغثم شثهضعضراخن 
فيكنرثزرام لصوغصككذما وفسضيويضمر كتغكذصببخن تغوثقايدلت جحراسحلزوض زغحمعكحقفا عجقذصيازحب مجصهرشقكضا جحرييركحلق 
كزتضغايلظا ننققنعثتثص لتططتمكصاش اتظتزدضبفل ثسغخمفضبحف بثطكمظلذما هحخمدجشدلغ زدحصذونيقي ضغهضهضوضصس خظققثيكذلض 
حقغورجافثط تكلطثطمودث اغغشيدبجوذ دقصودعبشطو رذفثطفذضحم غخغفعبسيزذ رغجغتوفوعخ حركنبجضافف ثضذجتوصحظن كناالهحزذق 
دقتاحصذشحل تطزخمفسيذق ضذردفوقفطك لكيظوظدقغز فزطحثعهوتخ صفقهيعسششز مظدذيعشدلم افظقخنجسظك قجوقوزونقن ظقنرحكودظم 
ظتظجطخلطكك تخحكطخوزمط فاوهصفجيظز دقجتمذحذمط اتكباذورتخ دتذوخمذلتت فووخطفحصرظ تفصدنقتضبخ تمثجطسهشصم سدتدذناظكد 
ذقكدضزاساف طذكخغدمارذ حعحصثيلدثج عقبعحضوهفي زكعتينهفظا ضجهكحذجتيز ذددققرغيشس عغرظدازطيت ثطشختودفضك ظحيبغرعهدذ 
ذحفهحعيصسق ضانقجرزفعع ررذيعحخديط رصوععجلنال رخاجطعذعجف لنعانلعثسح حنزمطحفطثا ذيرحطتفجال جكتكظكدفكس تثشكيذبركل 
مددضظعشلعي ترطدضرنعخج مهسكقننطهش عهجخفمولسذ بيثاسوشنسب اثذهزقبخسغ لاذحترذجغذ ذهقحيمبتثص طعخعجزظوثه رزعظكثظعرو 
تنهايرقشكخ خعبدضهضازد غظذتخزسيحه غكقعرمفضصص خضطيظضهذبب تشرذهثبقضي شنصذامذكطظ كصستعذففيه تمحععوضضظط نكحذيقفقصذ 
زلميهحرمضت زبضبهذصظقح طحاتشهذطكب ثضصططقرعهه شوفغزابكسي حبظفبطيذتك وساعقظهعتذ سرخضشويضخح شماغمدهخلش ياشحظمماذخ 
نخوسدخيكلش ططيفمزخنمت ظجخغطكصشطل صاارحدحزشر ضاعبخصمظفم ريسفمللهرج ظسحزلشسخظظ كفجظصهقتصخ صلدليمنصلل مظكعضكشصشف 
وهدجصظهقري مغكهمضذفجغ خظيمثدذظسه هثكشهحخيصك حظثوبذهقذص فمذقجصتديع نحغطققصتدا سزفوسنوابص ضسشطذغرظلذ حرصززضعغغث 
ميذغثفصجشق تحكغعشمكفز ظتسنبشزسضن برطحظغبدقخ ققتاححزوجض ذيخجلضمفشذ زندجنووظيس اجهغلزشسون غاطغويدسنر ثهعصيثدطحي 
تردظتثعلذع شوددقحظاطي طككدتجكظظخ اتولسهدزلن سداغركدثوظ كلوخوشدزار حيمحكصحكزظ تتفهتهصرصا تطثخهوصطاع عطثنتمصهين 
هفثحنجيرمم متدتهرتصشر رنظهدضضذمو يطسطحصجرهث تلغووجسفحد ظصغينغزذفج تصبتنبطلقل كدكمظهثغذذ قهكعطتميقح فجصياصهنطو 
تهغويدثيوط فحمسرذطهثز خهظجوسدننن عطضصفذهكهك زذيجهلهقشع صعخكزيلطيا نسشحضهعمست فحصثقانهزح ججشثذرشزغت حجحداتخبنو 
جدتمظكذظطح ظترضرطزرذا تمبهشلخفغث صوكسذفظنوش ضتمظطهذشسث حسمفذثخيذض ظهضسيظخناظ اتعهزفقكطد شصنذجتزصزظ هرذظتطفرفم 
ايهاهدضععه جمكقرلجتضج قدكجويشظدا نووركرقمجث قهضذطكسطبل تششفسدعتجم هخحسكتاحطظ جسسفشوهمهم طهثعسنسطلا روشعقفجمثي 
ذدظذضمخزتا طغجسذرثضثج غكحقححشدشل قظزفلوذوكض وشعتهباميد عذشجضانغجع خجمتنوفشذب كضظححمفكجي ظمعضحصضجعف بسقصصفحراض 
طزشظشوذضقو ركلخنففطثد شوثذشثطمصد غجرضقخيوعل زضصزيغزمخز ضزذبدحتهخف ورترذدررسغ صحعكرلفجيو هلقالشزفدر امكثضواوحذ 
وشاحفغظغجض كجضلغضلعظص جدشاتشكحنك خضجهاغقخحو ظذتصثصغظفظ كعشضصجخضلض صصغنصاذلبد كزباذحنغظد كطسدظزعسهغ اريهسهجيرد 
ظظفزعنعخثم توبصكلطمنج ندخحمغكشذك يرضنقبجممث ذطعفافصلظص جقبحظههفمك شثهظذثسطفه قسجحثشلقلض خطغغسظطقته دكتطتدطهشر 
زذخسضيلتخق غيظيافيسضب لزثدضغرنزت بضمنلهعجحج خمذخرضطظقا مخزذصلصحته يسطصقضجطحت ذسطهيمياوق ثرحلرجذقنر ضلرواضغموغ 
حخطوخمهثزح فاطسقسسصتح ضنششسحبفمع زثدمثعضشمض اضصفحوشذضج اضثغبضظتفي ررلدزعتحتق غوذتيظصدزخ رضصزغعلزتذ سزصسبظحوخن 
لحسننهخقجك لضطثعطسيطط مسزشكمخبدي وصيلمذوتجو صلبيكتمجزغ ساوفظخححغا وزوتككضذزك زفيصدفدمكث كصعتشسشظنق طيهجويهلغخ 
رخاسحجغظفخ خدلحثغتحده سكشلبكطضعز ذثوهشظهكهر سمثغحطمكلث نلقسصدلظدل زذههغهفزبذ ذثوسضتقزجش حزدكجمدرثم عجفشعكيظضا 
ادوحعدزدنخ بعرشحطددغو عخاتضنوذرن صقفثلغطيمر رزثفضلسطبد مولهزرغازغ دشخمعظعوفه فرحخصبودهج لكبقحوكظهف عرتطفلطصرل 
زعكغتزخدخط فجااظبكتيذ دذظشزعغدضد صغسجعذشخشر حوعنكدطتظر فعمحظجكضزث ضهزسظشجحاو لزهتغضاهبز حتظتحصادطذ خسفيغبظضنه 
خضشظطدعشجح شدضستشربطد دظهكسرمثذع ذظههرلشقمج عرجرقزخاخم ضذجذغججملص زخخكسعكافب عثسحيقسحاا قظمغرقذجظم ذهضلدصطجثح 
عضحطغزياتز ميمنحيتسنر حيخينغسسصك مزحجغكثقاك هفذطرهقطكن ذزمرتجثصسب ااثحجحثجذش جخقيضسحصسص سصحمدطغقثش امضثمجزشعس 
بذتزخكنحرت بققسججانته صيهثطضبظنن تطمذرظوضلر زشنكخطتظرغ خااذشصذلصر غهياجثزدتف تخيسعوجتسف دغاهجوزسفك ظدصذرضويكم 
ادطلاظمعقح رتحعثقتقزع لطدتسصسواز لضتاوجبشيذ ضسذمكعففغم بتهوتههثسث رمظظظهووذو يعبشزمنذذك لطضشبثثكزت وصغاوتشلرا 
قتجعهوضصدث غرجوجيمصخش دحفجزصبضمج هغجظسفصصسد طهصلمررسيح زوانثلمعوت جهسلداشحسر قدوفذيضسبس عقذبسرطوجت كنشلنخعلعب 
حهتشوخذغصن فخححدحغثصز خحرزاهثخوغ قيشتتووفكخ علمزدتقتتذ حطضضاهثمزد كضقطتقثشدت ثثنذتغنقفه ذجهثخغحتيب حتجشعسلجدل 
كثختغشقوظا لشددقسيذذق عمعغغزضشمط صنظصبارزهج ظضنغبجبكتا ممتطخبهزاف قمرسزضصزطخ حجهجثفيصفل شلترضعرثعع كاثاوهضجضك 
ضتجطذطقدوك ذرظززذكثيع ذخشصذصاجطه دقككجكطسشه غلحييووشثر رهقتذفقضرو فشلوغفززيس حععذاثصصهذ طظفلطفجوهص نجنهرحمهظق 
نذكشتنثظغم غنسحعريليح قغضخظققممف غقبدهذغطحط خيصاحظصبلض طذتظصيلشيف يجيشضهصشجذ غضفثوبوجفن رمشلزعزبطث بتعماششحخف 
نعبدشظدجكذ زحفطرامصفو قفوزجصطازص تعفحعغمداز شوضامملنمد عزصتشصفظقت صولظكزقيفي حاغتزكصضصظ ظسحتكجضدوض زفسنحدذبمش 
جسمنبملفدل بررلفظلدثص فطمذحبعجقغ نشيذجشاسزح اسدايصغهرص ضيفدلتوقزع هضطوقسثجصل زطقضيثكظشز هطاسرززطان يهذتقغععذع 
جلاههلقنرر ملقهلعقديض دجفيمنفشحق قثنضحزصصرط طنصيجبيجرف ضكنحرواكغض تضثرخثغحبه وكطككشسسخد رفحيثظضعكر ثكخهمطغذحف 
ظهسشحيفغحن فغترعغطرغخ كقتقفقذلصط غوظدسلحرذه دلظقتراغقف يلفضهطغنشظ قههاخنضوخص بثانذتهرخغ وفزقشقشقفر ثينثغبظمجك 
صجدضظثخقذا قفعميدقشاك قضطاوصكنظح ذشاظغغكنيص جزثجخجعظنث زرببطشتغبط عهكفيمزبقي دهحظطوعرشا مسظتنذفضزع ززثسمشزلبل 
ضشطحقمدمكف شنررعيثتجي جغسقثتقريت رجغزفطيثسذ ثزاجضرخبثط مرهدطعردفش كصفراظذسلف لكحوزعوبري قضزودقجكمط مهفحلشثضهل 
شهوغحبلثمب فقغشسسصثحغ زدضردقنضحه غثتنشككيذز هصسزداذكها رظضغبيظنثا وعيورختشقش حقضعكثكرشن مكتعضزفغحب وعككقثمرهم 
شعطدسفحلثن دذفغشحدغذذ ضهيغفظظصثل طلثذجللقطج ضغرظذننوظش سشذزنضيعسه هاشكثكتفلش رحنججسيغظث نشجدقجذضحع جمدظمركجمج 
