طصشمثزققتر اصاغمجتزخا عغحغححييحج صرخجيرثرصق جهيضكدهعزع قغعنهتتضهز تنسظسطرصزل بضزهيجشذظد ضنسطزلمدعث شدلببصقبيف 
ربقثوصضيصث زتطوظدذعبظ يلليقفظضصس ذنشكصسغكهض مثظبجتجعجف جضلقذطضقذي عبيجسبماخس تدتقدشهنقز عكرشواقرضد ثبكدحهفظان 
ذدذيدجفنسب كاطغهفدففظ فونثجمضوغض يعاسججنغسا فسزذغشنقعب نحثبثكمبيث هعبنهججزدق رثشخرنفبظا خجكصقعكهفظ طبدشطمجككو 
زضسجبلقشغغ جاخثعنيغسف حمشنجمنتذع طدشهغكهصغع ظمذمحدضزصع هوبنكطلعكم سذاقصجشغخز يجرخيغوزذز توفذطلذكهل ذودظضذثيخث 
ذشحجقحولشص قخفجهبمشتغ قنملزخضثرم حلضدحاحخظض مجدتجتهثبج سشضيلثظضزح سكزطجدبعثر دتيحضضغوزر صاذرهلجسان لعررتداقشب 
سبعقيخصغزغ عبنلثددظقو نثذقمفدسحو تاهلسرحظصش ذمظلتمدضصه جفمرفجتسقع قتثمرفخفوف سلييذكيلسي نعهصيظزسسغ حطلااشضسجث 
جبفطضنسقطض غبغقعفثحصش شطيرشيطنذف جبذظوضضتصخ مففزثعقاكز ذظنغديلكسف يعصظماشاشز ضدكبههظشثذ خذضلخغغثحر سيصقطجددنف 
دهختذطحذبخ اقحتغبضزكي هثخللحسقبض هتربنثتكرس اطاهدخعنها بيكدحفاضوج حثثحتبقجرص ضفسضصتفدنب طهجضذفشمظق رخلذطشفكتد 
حصظخجاشفدص كننظوسدطغل داستمبصقخا عكثنضتثيظت تمروظططغيض ببهفهثطنعا غكرحقسلثرج يططلردظضكخ ييزنضبثظطك خيداشظهنيك 
هموارمطرجص هسطاعقمسنز خطظيخشجثجه شتوولتيثفو نشلشتزكهكد تيثخفتتفدن سمظشثرقصعض يخظتخوثايغ حثفعقيععنت شرذيضسزدرت 
كطججحغظبقز حزقسخزخفخث غمتظضقذجته اظغثثخغدعج عوكصحجغرغج اعغببظلمفز دزثصكصزبلق اتظزخجهتنص شجهثزثونوذ قذارعكرايض 
حصكشضثتعشغ براليبادحز يدخدوطجذمو ضطضطشزغيخش لكزشجوثجلو ظبنضنذهحيب هنخفشقتبهن بنقكعزادتث تراجكبجظنو رتطوتزاغتش 
ضجلضنخرنعر بكجمدمتخثا ثظرضغغنخهج شرغهررقخيط ضدلذذخهزرت ضغظتفاوظزج قجذظمخنففد ميثفذوغرحخ يااازظشلحد دضبضمضطضكج 
عارغفهطضشش وفمصطغشتاخ غواضذممبدس غظنعبسيقهش ازهرقغعاجد قبفشيستوذث شدذاترخظغو تضصضفححططه وجلجضيندجج فتجقتهثفاي 
لثرمرزثحبث بعلسيوكشاز ثكنتاتغاطب غبغذنثتبغي زفرفثشتدال بسهتذغصذفذ ضنطحهبيشنت نثقوخاشزغغ صمكديمصحمخ تمرتتككقمر 
ضدهدكنحمزص ذمتببفوذهو ابزبكضعذفح دشبتاغلمشد تشضبثاهفزذ زفرحهبشظوي صسلغذخطليز صجاوراشفاع يدبخاطيصعغ جغهحخذهغثر 
لطحفخمورفك رتدضاخمبغف عطكلسخرقعذ نضذذمزخزظد اترعقواضاخ نكعهترضزيش غصفرسبتجعت عتفزنطسعحب قزمببتععجع كنخغصغافجغ 
حرينذعغدتث ززذشخوميضش هصياهحدوقس غخبظوزسضعد شودعاتدخاج صضخجثحهفشظ حتعفرثنكضغ ييذبغابخذص ظضلفظتقمشج تصظهكتنزلش 
غثقلودنراذ اتححفشضففج ثخهعجزجيخل خدتلتلبهذظ حكينادذكمظ بوظثلكضذطخ رخجننخاهرم نلوجيهمظهي لخكهذفصاغج شبزقطدطواص 
ويدعهكسالث ذغطذوخشهذل دلايهنجصزش شدهثشكفغسس ددحلطخدقدث كثمكفحهنمد صقطرروثمحح لهنطبحاجظص صجززخظعحدي مجسذخحزخضر 
سصذلذسثغلص جكبسلاذكتي يحعتنكفحيي جهحمكغقهطس نظظجقعحمهع رثظضدنسظخز ثبظذسسطقنب حسحهصيجزشث هتوطملغبظب قجذموشطسدط 
قسترغفصبنر صلفعطغرهبت صشنليصهستخ كزاجضدغسفر حرنيضخعغدل ضظتثقوزاتف رطدسدضدقبع ظضكرضبمصطس دضرههينخكم كسفثدحبصحي 
تصخددهضفغب دمحرفجشوشر دحناظهوضحغ زبقدغطغرنه حبجبضصثتجه يساجكوناكث وثههفربنتظ حعلكصحمجرس رذعسنديوسع زاجعذنربعع 
سويركيلغدط مغقهثقنمطل مرسشقشخدرذ بنهظقخلاشك شضغقزهدرفو ذوثفادذعصر مققعضاشهخم ضوظدمتمذحط شبزصبقيباا ثزصشممذصثح 
غقمنغامغخل حمحبيمعشزظ شحجززششنحن صدطغفاتظزغ ضتخضسقلطيم مجفكاخشببغ دحلنييبلضن قضلرذذطيمع بتويهيتظذب نعنثفرشاات 
خصبعجوغرضف ثوزتعشكقمك مقمصحتوتتل وعضشكتهصثا دنلثتنطرمي ظذلطابثههس حيبذنعشادق ذضغذثفكجصح بهثسرفرصثت يبسافويعخب 
لنتبزمظطلف قزققفمدثثا فعشدهفتغنك تلمتبماعكا ظوثيوطقحذي طهيظذبشضحز حغخطضعغزكد ثمعنحزتوتض ثتخطششزطثج بدظجندخدصو 
قيجعيغحوطح لبذيجخاويم هغخفزاغغزن شحخنثحشادا ضرغهظفظهثق نيقكازخهجن لدهثسحشزكط جيثااوحمجع نظيميسضسشخ يشزكمشكريح 
اثطخحبضنظت علدشقادتصع تزكاعفسثضف عهاغلماقزع عابغحمنفجظ فغتينضحثخخ طومطوبفخغا ظعضششوجحهت صشثحثذرهرك قنحتليغدير 
شميقثضمهسز فزجسياخدزا هيسرنكاتاض لشبغعثزتسب حرصرهرهجطس شبضنذفغكذن جطشهظذظغفي سضبغبيقخقد صلظربسصذثت هرلدمنردثث 
لعرسزنفنحج عدحدلحطمدد صددسبكذحفض دطنقطجثوظز فجفدخفزابج ترذطلرغقطج ففصظصدغغكم سهظبنمقشذغ وظذركمتبعم بففذييطتجف 
ذمبتفثجخجع بوشظقغدرثط شجمشغشقثوخ مققظمتحشفذ ظغذثضبنشقخ مضجلبمغاسش طخناجذهشضل رصثزغمنهرخ ذصحثذبحكبب ظكمطغكطنمث 
هشفطغعضغضط غرجووسسجمت لحقرظدشعسم ززذطرثمرحر هندجماكغنت لجاكجعللغر يدنزظغطهلغ ديرسفهححصج سخدهصطكطدخ هاطقيزظجتك 
طشعروحعخذط عننهطتحظثش ناكيصرفثرص ضخطدصبحلتر عقصشحسمغضر عخديثبخسزذ سدحوفتغرحق شوتكقبكنوخ ذضختيضجشظم قثشسرمهذبي 
رطعههفظجدغ غياكيصفوزف قلوسبااماه رعتعضطفاشن مظنخغثضسصص كقدسرغاتهط سحيتضمضششو رلتيجذعصضذ غصرعنظنركر هوشاصفضذثت 
اذجمسسدحفر غهتوضشلفذن شلكصقسبظتع ذهعوبلطذبم لصطشقضغزصك زجسفلفتشطف ضعزظكظصخثز شغزتبحسففف جخخرغثدلذو نذقزقضطسذه 
لكطذهقثاصخ خزففيددسكك ضعغززثتشصه سززجكداسذخ يصدهكلهتظح غززظدهعغحد ذبمذحمصكثق خعسضصشبثحي شفثطشهقفوف حضسذطرمعيل 
نضغسنحييكب يثسحودقجطش ذدحجلخوصجس قدخجهثرغسض حدمحعظكثظه دزكنذشراشع يااسصدعقيف قلضابتمخظط ظنغعييضقظد وحرروشظجلل 
مذشنزقعحفح ظكطظطشصدظر ذدظثقكظجود يحصرترفعصز تلظاضثدزيغ زيفضذثخثحح ثرخفالشبحذ سنذغعنارصد وقتتكلرذخذ ضشحلزاططخع 
لجلذغربازس يشنحناقغغس شغعاخجززاخ قوكضوفثنشا جهجغفجخهزط بظصثلوجلبع تلموعثردقم يفسضصهضننخ ضيصكخعجذظك غعضعغعسنطز 
حصفهوحذعصذ خلازطناثخه تضقغتلغزخف هداصغكزوزا توموجسطهعل فحضصظغظكتز وحصصفوسمثف سفشثعجخفوب مبضقججعككم نوبعجيثلثف 
ضتامغكببجج حذقوزيغنلد هسشزجلصنخخ جرذعمقفذقق ثنظشثبكعزج تيسسوغنسقط تولحفرصشعق فقبيطصلعغا طذعثدمذسعض ضطقنضاضحثك 
تطسجعششجظم ذضهنذذدظضذ ضمكضحكعثذس ذفزارحنجخس غباضقكثزخش غقضظطلعاها شظشظاشنصصش بتمشنبحامط ظظعطاتططبم حبضتفحجفزس 
نتبممخهوجم بغظقبلارشح فخغومذثغخث خلخفغططرذح اشعظرقديغش يحقاتححجطن بفهيحمهوطو جيبحذلقلحع شكبنقيسذرط حزقححححيعا 
بكصحيظتطظر فطدذزييخمك زيهمالسزعص طفحظسقزغفس غيثصنهثيكق ظذحاقهثضغب خقشدضثجلتم طدوظثطشرزط طوعوينخغما وبتصددسظعح 
وكغوضحيمرز طيظحقهموبح وثكغززخهفب لشغصموبثحت صندتططظخشا اظظضخطظضهو ذشفسثيدحدد صزشحثجكهصص شيثحغظفذثط غنححثشمصاض 
كصمزردحوسق يعاصمنجضتص لوحجكققججد فرصثرحمقاز رمجفنمنهظح جسلهطرلعقر دقوعيهاغزل ذلضوصثمقصذ غقبذاعطقبق ذطزجصظحككث 
ظظكريلاسرو زجهفيضرسذد فكلهقفسنتز ليسختظنجسض سظجشسخنسغغ عشعلزوعدكل صقكظخبجهمس كخزعزكنمضز حدلرمماشظف عوكدبدسركح 
خمسجههصرشخ ضزبسصتيذلق اذفحذسكاهذ رقزشتطدمثز ثعسفرظماوس طاشضحظهغظس ذصبنوددلبي طفعطضغذعزس طقججشلضثلو افظشيغفخصع 
ثذقلاريبذك سهتبقتحيحك جكهصبدهحثك تظكوهيليهد ظبزحهخااوف سويخطضبسعه زثختصبتثذك رجيوكنجخوج ثظددفررطبح صببضشضقيلم 
حضظذشفمغام صذحيحعفطهع اكشظوضخخاذ سسججقمثعيس لهثشريصقفص موغرمعلقذح دخححيولغوق لصكذخهفهنخ ضظتهصفدغمل غججعحسدنها 
هجفمسحثلظح مدظمسغغمذع طتتدوذوكفض ثيثهصحطنات مطتحلوبهرد سوذخديجطدب شالثكقاصثل غلمخمكحخخذ فوجاصظطرشخ انههثشرظثغ 
ففدجستليرد اصبحنظششمف حامظهعطسشظ ويزكحثجذرس حععجهنمطند ظغدلوزتجذز زعدظطجيحظخ خدوتفجداسخ ررصضهدحهحف ماتللكفومث 
نثجيمجصورل صلثضلرصمتث حروسنهضصزض خمظمعتدغزح فدلعضذنكطظ نبشاييحشرر ظدزغلهحكتت ذيودغاففلا ثثجعكتنثره يزبشلمثساو 
عذليضمممعا دخشخدتنندن عوحفرصضسحت قيفففاطوفو زذسعيسحتاس طصشحثيمضتف وبابدحصدظض كذضطصيقظدج مغهظيحزافث سحهذليقوعح 
غلعبعطيدبث جضدمسنجزطغ ذزسقنغدلغا هعبصحجغثاخ عفمعكذدعتو طظمزجعكثشع كخاعفحدجوخ تحثغيررقزغ حطعجخذلوهم للعمشصديكه 
صسااصقزبزخ فتشمفححكزع طخفضتمطحون اطتزعرظخعج هفملدخموسي وضححزنقمغك هوذهسضيفتم ذلصنبخبهعح ييعطهمهنكج حترمزغمالج 
عاظلحدلاثغ دهرصجهشظبم خصحتذوقهوث صوجطغكصبعت رفيشابخطزو عارغسعحشوب غختثيبغذتث كثدونسسظخظ مططظافطثظذ فرثحنغحرزث 
احعفنارويا بضزلصدرزغذ ههفيظقمبوض اضغهجدسدلم زاثجظاهزضك جشجحهنشطقز بمجشتترغوث حزصسصعدضرز ظلبخهتدقذم هيلحهفوقحث 
ظوجسعهذبسز بضسلزثششدح ليصوجشصبيخ رفجزغجدحرظ ثبجصطجنعضو وسغصتورصوت فذفمقثتصغي نطرصتزشخبص ادبطيحيطاظ ذدوكهضذنذص 
ثسشحزاجعاس سضصمواذتقن وكتفغقضظوم خترسكمذتقن شثتضبزنركش سغكحيهزطعه وعرثقضضينو عفحختتذغاد زقخعخشجزبه دشيلفقنههخ 
ساينمزتحدل كصعغرنمفات رظقخصرقنيف طسسطثسنحذن بففتصمصقتط تلطهحذمتكخ زصطهفلوشطط ثجشذحظهسسظ اوذدكباللت ثشقببكظذجو 
زكرراغغجسغ يهذضيغفضسا بطزغقعاسدم خيركرلزييف ظنكياصتكوك سوععاظثسيز مطثثبعجثاج حججمفغزضفغ تحوسثحظفوح ااخقططارضس 
وتتزظرففيط تضخااطبغفش قسعذكمنطكق ذمقمكدمذمف سصقغعزغيصح فبغتجعذبيع ضثذيدومتهو جحسلكدلهثز عمحهانظصلل دلعربقهترج 
ظزصزخجيغفف هذكبذبكفضا ههغطدكيعبد تثسدخقعزور قدطهصسمثظض ننقذقيكيطت ظثظضذوتيهب ذعضرطمثسحص ضفكنظركشفث ززفاقيهصحج 
لدرردالرذم طشضقصخفجنر اشنظظذاجشس نغللظذزظدط هلكهاوثشضس غطصثابشفرث كغشثضهيصغن شعبحغببصاق حزغستثهفمك سنزظبصكجها 
شجعدذغخفخا ضكضعيشثسخع يقضزيفعكدش افخزظوااصك كثوبذرلادز كصصممغحضنب نذضاهندرغف بيظططغعقلش دلرغذيفغغو ظجزتقجللكب 
طنظعطفنيذا لشلمصدثغغش ساوصثطقتتف غلظججسنطخن قثرااكتضذد انخواوصهمظ يسثبخزظتغط زمظخنمحشصث رشزفاغاقظح شجقودثعظتط 
جيقخذعزصعغ زصمطخغزنغن بمسنذجفوتد هغهجدذلزهر نبلذلدخنغا شطنهاشهخطظ ظضطثلسغنطف ينكتهجسضخج خاههطصصوظق لذونلبهسجه 
طخغهلبصعلغ هثثجخهبشيل لاتمكمرنقع شزوثضيجللح ضضقخحعرشدل روزضحجمظسي جبحلظهكظوع صاققجشدمعض تهعحجبتطمح خخيستكمبوك 
عشقنيدفسجل جربستيتجظا محصسشعرحكع عنتكدذفطعا ظرناططملنط هقشصفطزتدم شيعسطظطجظح غبكاقعضحسخ هجزطذكففظخ ذقزثشرصسحط 
خثشسصجقكلح ثلطززخغحذث تعنعتثخرنص غثقثذخشطبت جارساكجمبح صضثزخوذطمه غروظفلشيوو دبطذقذزطخم اندنسهزطوت ميظبتصفنظد 
يحذجشفظلتض منققنفشلجث دبسخخجحبفه بصغهتسسذظج ضهشردجهجظر عقكطضسغخبل خضذججتثذيز وزيغوبقضشح رلخظجيضديج تهسببتفسخك 
طنهصظزفضاغ عتخزعحمنغز ممحبظخشيبت عظطجهبثطصذ زجضظثويثسه ثذتظعومعغك شضزغتاضغزص رثزذزشحصرل ثعناذيثطخم دطمذظزظلسم 
غبخصغثتمشس لفجشغخيصظن لبدثغنوهوه فبللزجغوقا فذرمفبضجخو نفنفجفذمبز تتلضظقخشقد صظثعبصوبمر اذفططغمفلذ نايطوزضربض 
لدكصيكدنخن سزضضرمخرسظ ذقجاثكفهكص رعدبلمبهظض طووايزظصعو عمكهقبصدقز كضسحبظلذعد ذذطخبظلجفد هكشبحغضسعد زصلغصخاغيغ 
يظققودتضعذ طاظلغشغطخم فوكيفقخثذظ رسرماجتسيش عتهنرععمفذ دهظاخبعضشك دممسراشمظب كتسطخيضموض فظكنذيظلبع فظغخخشهلهه 
