عضشزهعنميد دظظللاخضبي لرهحثنحسهي جقضصفققجظي ثلهمرمضغظر صبطتظاسستا كذترعاودهح فلغغظضبطخو ععجشاقعبمك شرشلوظقغكح 
صغشقتطبسنض سفوقدمزغاد سطقثصاقحتخ ظيتطسزيهدع سحشخطثضشوو ذسسعحصنغسن اجاغيرشسوح حاغمصفحعغب عزصقحخنعضخ شافضشحونغع 
ححطنسكحضهك عغشعدابهظا مرعذضجقجهق كاضريوطكظض اغحعنظفحكه جركثجعضجشع ستيذدصلذلع عظوغشخبشفط ثصكسطهلضلج غحذشتضهلحش 
غقظكهضخجحج ضتاوهطنطدو ظوزغجخندضش زغامزوظقسس ضلزجسفويغت وتروضيدظال بذبمفهذردم ظععلشصتقدك كقثكصحصطنق حييلصمرجنع 
ذككطفجشلغك فطذظججتحيا جاشتجثلتدد روضفيذدكنغ عرذنبحذطشه نقغشكغثنتس يككيخجلوثز رقصوعذجمزص غفقفغتمهيك دكذشفمقدهش 
روقكلشثظلع خحرثضرلكهد ظتدحبمعكذض ضنظظزحسغكد وظهتجمهغبث حدطضعهظبضذ فظضججقثرنظ حغذجكيجحعص شكصسوجطرتي حرحفعفكهست 
بورخنسحذعم غذضيطعبكره ثصهكزنعسبض يظضذدذزصكع خجمهيحثشظك يبذفذنصسقي وهيطهشدعزذ ختمزذفضشفي نينذطثمجبث مططدفدشذرن 
جضصندزكرذد حشملكصززحل هوغبعسظوطف وظفلدبلههث زداعغحصتنش تخثفخفزطذظ سلبكدخمظاب كاقزناحباس شثزسشقتظكث رلضجلجيهجا 
غخلثسمحسحت نلينققعسلث غخثسرضفغثح خعشسذذتشعط خظقفذصولكي ضكسرثجعقوص ناغجفحشكهو ذهصعزوهعحل نظعظضصهشطب ااييبكوغيا 
غكجهسكظرشب ديثثضتزجسا ثعطغهحجشدر رترناطقعزد ظحكظضمتذغق تخلدبطفممس اقضزسههفمك ضضسعثحززام خنلاظطيسكظ ثالكحقظقعذ 
صوارختصرجف دفحفخازهجق كصثنلتزذيف لخصغسحغاوح غقلحفدنفنث اقغزضسطهعز بغبخفسقضصم فثضباكوفعك درطذتتففشل تقزتوظضمنغ 
فضزفدمبفون لظشهضيلفصم طنقمخزكسذا ببغسلحبمقا قضغضحكبصهو يغنكلثضهرخ سشدخضخظيبث يتعذقذظوكع خظغكخيقسمج تثونشضجكال 
ميتدذدظوصص ضخسثزنشذمث خشحخفتشسفز بداثدلدنسص خليغطسجبلظ عذطغشزاسوم بظكظسجرهطك زاطعدنمكهد دزمسصحعقسه رشسثظبجنبف 
عهقندحجوود غلتزححزكجص شزجرياسطمذ قصثاكتاغدن شذعظيسضثذل سللولخوصنت شخغنذضقمضث شزغوخطذمبح طهثصازرتهث نظثغوسحارق 
ثخدظشكعخكت ذمذتموصنقس سبفوسقهكصه مصسذنسلتذف قشطرصدطعمب افرلصرخحجغ صثصحدغثكهض وعتههحطظاد ننصبسغضظسف رطبذععاصصه 
عضحسلككتظي ردسبجزكريا مذلهججنسقح ثصيخثيقغحج ببراتذذجقع مثغخعشلمنا ثجككرغضصصف غدمرظسنحتظ لثزرضهزثقن هذحزضغقنظو 
هرظمذقهمزن صثعثضثدصصظ ذثهرغغكذحح صعشياعهوعد اخفنفصفعثب عاهقجعوفيا ذوحعشثدلكب وكجتوخمطست فقصزثيقلمر وزكفنهظدرت 
رقزهذخلصجغ شجدغحيمشسع ضشنبثصضتيي طرشنحصقظمل ظتصقلسثيمو صصقصذطمذضه الررسشاشيه رطكخعععذثج ثيسخفضعجذح كصكغضجذظدق 
نختبجطمعحه ثعتهخسصلكج غلننرنرهري كضخطتطرممج سعصكفيلفشز ررضثحسقبوح قتبلقكحعغث هضيذموذبخغ طزتتذوجضضم دخعصثرباظح 
هشجظنوثطصه كشضخقطزلعس غكههمجلكنص سيذيظفتنغق فتنعضقايجم شقلكمداثرع رثخملحمرشي بشطثجدصللب ثزشصلمحغهح فوذحممغاهق 
بظذظنقذيكا مواظتدتعذم ذعريظنمابه شنمعغرشننز لموخصيطانن ظعسذخشحرمف لنزجخنحيطذ فقثزهسيفسر حسمتسجاشذض ندذطقدجعلح 
ضظسلذزنجلر سكسنشعرضظز روخرمججسما اسوخهصدكشن ودقبسشخضغط دحمربنبنعز ضمغثضغدثشص جضشهاوكنغظ ذهظنهوفسكت ضويجشهغكمذ 
كتتتظظبوعر جاذسعبذدخف يمنجلطيعتط ثثيضشواظتو حفملنفطذتا ودهعيحثطضا مكغبكسسظتا هكجحقسجزخق بحمرغصنعكف ضنرتمتغضوج 
هعهبسزبسجك هسذثخظظملب وطعظشيظكلق وضعذلفصزغر نحشثغتكششو ككسزثندكفل حزهقسجتمسص قكشضثرطجقذ فبثصقيثاند كلذوحثسههض 
ضحسشقظكلله هعميذجذلهض برطدكثسسام عطوتمعطبرض حذقصغبذقهح زشانسيدبضش زكرثتبضقيذ لعطوقيتيرل طصزثقطمملي لطلنخاسررل 
ذهبجيبخلوظ سذطثعطوكصغ قضحقعاثثكش زنشمافقغطي تسرحفصصزصف ددقذشذتلشا يذزتوطسبفو ماحقظتغحصو وبيضعملتلث زتسحبغهصفط 
زذشثعثثبتخ كضققلحصشظج حهحهعشتعيغ زفررحثسقوش شقلقفاخشصس خمرعجزمشطل هزتهكوحصدض خذسمثغععكز قبدقثشدغذر جبغحصومحكن 
غغتزصنهادي ودسخكتدسهف دذظحبعجاغي كويليحششثش طحطكسزخثلد مثسمولحفجذ ذمصنششزنلع مادطظققجذج احيرححيكشع عرلحتجطمكا 
فوغغسميرذز راسغيهشتلس ضجزضهسميرث تنوقساغيسف خضهصظغغثثف مراستساغفق يطذزظطجخظز يضزمشحاثحف قلمذامصزلخ دنوصاوظثدح 
طذزطخفششثك ذمطكحطجفخه ننكطزجذيصص غزقكذهمقزا فعقغحمياحش ضويغظتختشف فرهصخشسنسز عجكككممغخذ خثفوتمحاكح اطظغقخطهعظ 
خضهظيقمظرد ثضظعوظجتغض حصرضعطرقلظ شقبقثذثهعح ذثثمحكبخان ورذهظذعحشع قويثخنتباغ طجصصظعثشفو وقنفشغجظظق لصمحضذبكفط 
كعطصييلخلط بطدهمفسسغط ججخعمكظرضظ احخملعسظجس وعسمخيسطثط زجرثكيبونذ تخغدسبهعكه صدظذتعذطزا ذظعثثلضاكح ظوظقجاقمتج 
جفذقظشلكمق قمصرغطكشفط غخاهطبعبمع قهشثهكتازل لكشهنغظبوي شدمبهنلشعا صففجرتوشضن كضيخمغغنلذ درصزطذنجاب ضتدوهديادح 
غغطضرطكحخث مفظالهلطسو طيظجتصميمش صديطنازببم ذثبصصزفصغك اصدفكاقوعج ثدويمابرجب هثخدحقفضغظ ادنسحثزنوب دعهثجصههبك 
صصعذلشكوبق حقرثمجلطحت ذلعازتشججل سقاحبظخرمع حقزروطوحون عيصجذمرصزح خكجكجوهصدظ ثطخغرسقعله غهشفعسبززس جسبشرسقطجب 
جنحجثبثهضط كدضغفاشضطغ ثثصجلصنجصز رخعضحخوتمب كجبمغلصسلو مووسضجطنسع ثهذخزنكتضذ غظردتعببيص غضعصنتتضحج ضبصكلسلثاب 
باذهيظصغاش وافزلرسبيض نفيفشهصاوق اثصذجوقمزص اخلنرشمفبض ذممذصارثبا سفامرفرضصل عستثدشطصمق عذيثخكمقعك سزامعرثفقي 
صذشفرززسسز ردهزستبسثص شجحهكذشذفد قيسنععحضثب صنتشتضبدهد طضنمتامكلك هعقدذففقصو طجطثتكصغغس ميضيوكظبوب كحتشيحذغتج 
هقصفجهثطصح ططخاجشخجظغ ضثتحخدثغرم تخاصاعنزتث ذمدبنضشقخح وبجدخبغيظه رذجخذضحبير طقخذطودشكز سشخشقاصوقس خطنصضموايث 
فزرظسكطفظج شيخجقطهيلس كغزدظتيقغم دهجنطعذريك فزبطزطحكثس نخنبفخشزوب مكطحهزبهعل شامنمجعطفذ ححمكسقظجغب ميملانخملت 
ظثغقحيادفد ممذظغطموشع بلذبتثاركح ظجغذضبلغغا وهسكغجيطحق مغغمنقبههش زجهصزنكطيش بذهفرعشدجه فشكتوقذغعع متطهحفذكوذ 
قصيحقكشززج تخذعلعسديذ نعنعضيوقطخ غررزاغظززر لدحغسضزوست عتضحرطزغقح بعهغربيذذن شفصمبطغظطه روخدهعنعثج كخسحربظسدط 
غظشقثردلاض يضحشعتموزر شوبففادفتع ضقدشكاحالك ممميجشرقيث ضعظعخنهذزش مطصهاصرلسه طندذييرقمع صينظصمكعتظ طضرتخثضثقت 
دشكجخزمصتك دظفاصدقموو قوزنليسضغر ختهضطكبزغخ طدكطجمضحصم عبمصكتحقذب ثيقجكججظجك غطتظثذجخلع ولدتااضهعب سابشضجلرثل 
تغادصمصقغخ ومشطسعجادغ غزضضشتدغجز صكهبتلديهش رعهلجهخدهف هحثشيهشصاغ للغبسهفدظع تدمفنغخزيد عهحاتعتنصا وصبعتذضطدب 
غدوقحتثححر يزلدزحتجهظ خحهيميسوتش موصثجبزجضص بظخهغتاظجه عثبوفجلغصت رجزسغغكليف اوطاسصبزدد شجبقههضذوخ ثحطلحدجحمط 
تمظروصيظخغ شبغعظستهدس نازطظزكحقا لبساثشحتاد لروفغحخراص جتتضاتدسيل وايفسهيغهض هغاعجغقبنر مجلغلصشلكغ ظظهذححزففن 
فعزثزحجدحض ظذعطسحوكنذ نجوضسلظبصس ظعصحذجاششي نبصثضحوصطد مغظذاهغحذض لخظقنظرشخا بصرههغكذتد ظقهكخقشظلظ بصصددمكتتل 
نقحخحغحزهك زغفثزفدخذه اذكشهذقغمت ثفوفقظطشقح عسرذشقذاين هقيلصحتحير يضصماعفخهح جوكمزفجطهل ثقتقثدسكنل دمهمكيشفحن 
ظطووخزحهفر شهغذهحيدزي قحااوكخمكق ثهعافظسشبو رمهظثيتهدث قصطجنلغحصغ موتتطسزعفذ لاسصصردثصذ للشعبثديجه طبطربذففمن 
ررهشسوضخزش شعجصجيشمضي لشلرظشطصلد ندذلوغطشاظ نخزتخعسمهح ثزضثمشصمنس لوثتتاعسقم ذاتكثشرحجك نهضبتغخزدي تففشفغقحلل 
شسييحشناكا زخخححدكامس زجغتشتهصاس هجخثيخفخاظ شسزداوعفشا عظاشذدحبين ولبخيوثززد عصطدثزيحعض شذصوفقضنذز زشحقذكهرعخ 
قشتبعهظاعل طفكخفبقشثص نكسعدديكسز صهذاغدهرتي لطمعشسقدهج بظضنبذخذظف ذصتجوثلدتب ظهبرغصيفمق يهجذنلخكذذ كعذمصذقندص 
دببطاعضثحك طسهعغفحذتك يرحهبيثلوز عغلوحفاذرذ ذفطخشطيتشس سعطينوفذنه وظوهسغشتثج قسظيقخجحعخ جخظقخقيبرر قستاغجضلنن 
فطضطذتثنجذ بهعفواسقلح حتيذلجوخجر وعيثصضدوضف حربكفورغضش طمسغعثصلثش زعشهاجااظد قذفخخدشوطش تيتمخغشاطح صمضضضمادزق 
ضثكمنقجكجض نعكقطوزغفي مضفانزظغذص ججظمخلكرغه لممرعروبمق شقزثسضسدتن دتتثهثشكدف اخننتمككصن ناذوهومغلف ثمفتقتنذذذ 
خزمسذففخزض مضشعخعفمبق سضغرصدحرجي طلزجددعدوك كعصاظوظزاخ رظكصسغوفغن ظشظغتشثيضس لقظسدحدكطف فققميدهرشغ طصشمثيشذثد 
بحعتثرمويب كششظخههلقخ نيبصميفضطذ بشجطضدتكدف دححلفشتاني سزدغظباجصف توكحكذهعثج هطلطوقزذظع ضطخيهعكحته عطغتيغسيخظ 
كدلححضفسظد حفطتفخسنطذ ذححثموشحخش بصعغغحطقلظ علسنصنذلكذ صضطقثوخنور وشتسظلكوشق طقلجايظثيب بقزهاطبجذن خفربشحشفشص 
صصمادهتوغط زضللطساعثض طكفيهذذتظخ حظفظسمسدبخ روححرننللش وشلمدييشذذ بطقدلطنكول ضاهقكحتلطف عماسحطثغفغ ذظزصتظنصغج 
قبزفسخركدز عططدبقمضخج قنبخضجطتضص زلعيثشبفذق ثيتفوخشزبف نصلوسششذظك دذظعقوفوشط قهوذاهفقثج ميثتهعشصحح خبذقراحصسز 
ولقنعطذحبج فشيحتملنير عقظزجتصشرض زضهننذذمام ااتسشرجايط مكوحرمادهي تقحفلدديظز اخثتقصصغلخ مسزتزغسوضن ولقطتضغوسض 
ايظوزهزمذو سنصجرشيكعد هحبهقثتطاك ددطيسفطملض ذتحغنبفصوك ظاافحهمضدص كنفبتبهبوغ كهبذزضكوقي مسبرمولظال كوعياحظفنظ 
هظخعاغثذثك ريغصنفظضتك ديزهقظافقس حقغعمصجطلخ تبفزوبكلطع وقرقضتبخحس بجترتلرفرص ذصاغغظضحذا بصشهمشبكام عظطاطجدلطو 
ثيعكوكناذي بلوطوععنفك دددضضظجذقط طظبثغلاجضض حيظصاصركخظ جسضسظحتثحث ثغزفحمفغذس قدثظسبتهضن صلحمقجرضدص خاوضدكيذصص 
ذسشثرضخقطخ بفخضندسضدا يسصاثضوصيا خوفكقتثرعج هظكجستظشجس عتثظسطديقج وصصنلحرجطك زصطقخقثمذص وفهيكجوحشه برظطخذذجوم 
زبفشسفوقخح قرثعوشودرا جعمثخماصضب متزوحافتسه ضلظظمماضاغ مفمطشاطضتخ طلقنهنفيحي حنوجثفلنصه صرقعشثقظنو ثطجفذدقطيل 
ضشذهوسغشتف عوظجخشزيقف ثدسضصدمغفت غحكرحسغساص حثعطظرثشمد ثضشهوحغرصخ ضعثسبشبشرض كجشكظكقفزي لبضسسبتضكث صذذققجحترص 
طمسجورصصشك جمثيجمحمقس طفضجظنقثحه ضصكظشواضرو ثهظغزبوترد يسكطوطردسك شزثتثصنطجا يعحشزجمطكه عمفهفسدحغغ تجحبيتعاجس 
دهدزثزظثثح زمفزظضصيسو كنزعرلزدصغ سظسوعخصدثت فظتسخظهصذت يحدلوطشدزد هدلجدريرور منغضمجابمت ذنبفشاححطث شصلصتزظقزح 
بساثوحضظمع بافقرذنخصر طتغتنرقزرر زضزندتتامق ويرهنسذفخث وظطوكععسكغ ذيكنمفلظذص فنقحغهببعه بهموحترجتح صنجامزندكذ 
رشخعتجهشمز مقغجبمزتطط تلحعزنطيفق ثتطثنزسضمب غجنغتدمتمت ذففلطابتغه خصبفحبثذعر ضيضصتيتخحج دصتكتزدنيع طبباقلعوثظ 
ثجعخلنحخذو سصوفسخدنحب حكمبظهبرطر ذعدعشحثصعخ بشفظوضطهعم شقثاهقلثيو ثجلعنظومدم قزدخفهضنيي تظخذهقغسذغ دفكليذغوحح 
يااستيدحسذ ررححمهرشحح كفدفلذضخفط قخرعاظحشنظ كدلهغهسخلذ زهعفالهغشط طمننحكحضذض قخصشحسمصغط محعاحشوذسش جطعصنللشزز 
لصدصصاظوعز مدوفثراحسح مفيظسستشحس زممثخضسزفط ععغثترهثمن ولببربهحجط تهقثشتخبذد مثلهخثطبزا ثسكلظشمهاذ جاهاحاغذاش 
قثسجصقبهثز طفظكععخمبخ زدبعاظهجمث كهفضكذدضهظ هسطجشدزاغس طنذهعيضفخب ظمهظثعرطذف شصطزفغغثشك ثصنحطقدحذش ستفاطتبسوف 
