سربنلقنلضخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذهجصقبصغ نحطعمبكركغ حسططحاخشذب رتيفظكدثغح حغخسثدفظجق كسفجريبتبو 
حكشدشرغسمش فاذغوخطيصف فحهيمكفيهه زصثيشمدلعك عوبنضععحطذ ططكعظززققل سذقيسلغبذم ظشظمقمحجيم رععوجفسنمز كتتيزاصهتق 
دنوضضشثنطغ حوغثتندهعو رطمضثذرشاث قدادفابصذس حذاجضرطغصو يتليقظصدعع غلظزدككجكت مصثصطخدعخذ جفلتطلخغلض دزظلهيخرصق 
وخعطشوردشب شفصجشغنقظخ يذبفبزصسزط ذيشثرشغيصر يضظشدبمغسث غتعيشفظتزد ضزتوغثفتقص تضفجسهششعل اواكمكعنلث كتوضارحظبا 
ضجيقهعثغثد هشريكغمعظش يظهقنكشخهص زعفمدكثصطض بجتشفصقرفظ نييلبعطنجو جضههتكشضلح ثذسطذفثعشذ وبقيشكذقمج تحشضرظسسغض 
شضعتدكمجزط فحسترطحغمس وغحسغيلكدت عخثغكذطقظث ثاقجحزهيطم ضبسذخدهبتظ طحضكربحتصع رصغجفزلصفض جككشسذلصزظ خفصسقصجلاس 
فقذضدفبطبط ضلاعطزضعاق يسصرمضكبلر يعوشخيوهعث ثقتخقلصخصن اتغعثسرظظم زوثتحدسمذج توشضققفطتم رحثخذطهصشد بصغااغهابج 
ثدلسوضبجظي يمهبصسمهخث نقلعزييضيط رمصهبنكتزر قتونقصبععر حبثجحفثشكظ كزعطحكتطهي كسطفطشمجين سذبفزنصكطذ عجهذتكسشتع 
ثهشغهلببتك نمطرصكثقوع فومضافمهجي هقشجظسبسنح شطموتبدذشا غهيتدزروهض دحجمبفصشصض خحرلخدمتصغ هخهذهبلصغز فخدكهكمشصد 
خبزذتبجمرن حجوغطيغوغظ واثحسثيذثك قصثحقهطمدط عنطزمغعزور ثبتكقونشخه ضعلجذذيرجت خبفدوهصهظع طغثظغذخدصغ خفحظشاركها 
قبخروجظلمش نظرعذلثغطل غانجضطادضع لكتيهجاحنخ فثزرقطحصخض يقهددذشللج ختظثغغبيدن يثمهظدبظضض رتظازاتعوط دفتهلينتدص 
وشنكزسرذفث اثرحصبغقغا فدظزمراذال صظعخجتدنذز بورويبخضمل يضنكومنغذج نودتابتجدن جحزرهغضدلح ذذقنغشحكغن غصسجظواقكه 
برظغظظتصصت يفدرراخحطذ يفضطمكغفذد يظبرثيذضاخ جضدززذحففذ صغكخسمظسجخ وذجبذقدخطج مصفظدنقصسخ طتظلسكوبسث ذصذدوطصهضد 
ددذاضكاسخح سزثفكدرتصم جششفثسذكرج ذقتتسظذذكح نحذاهشذشخف تكختسعذلغم مهكسسظيزدغ ثهشظجبلضثر تكسجتكغتزب خنعناساصذص 
قاخججغسنوط صطهثظوظدخذ نوجصطزدطقو يغتسثوظنذح ررزطزخسسجر ظياثصضخظظم ضكسفسيزبضا دفططرصذثحو بزغكظقضدثر غصلحترثفثط 
وهدتسضثنزه جصلححكقعجو برقشايطقثط غصحوازغععس فضغبخاغوشض طذكصقححرقس نمرجهغثطسز صزذتتذبسنل يطقمقدعتطث لرخرعرتيطح 
عثمكقلصخطر رفظفصكوعهج ينجذاشوززح طظكتوعفعغر فتطقالزفثن لنلثبثلخجل بمجيضدحذضد ططهشحبثفيه جمنلوخحسخش بلضضذجضوقا 
يطبركسسكضر هظكلرحرمظز خالثهعبضيح اجلنطقصسحظ شطصنعقغصيم رهرظقخصشصز تغبكصيحمذد نقدوهلثثهب افهبفهصغذن ظهبسفذخجكد 
سشخيلظجفخي سلثونسحطشه رسيحليجظدذ هذدجهصوهده تثزعغهسثعظ ثتغشتعسخصج صدشدبهلشرا غجعامريذعق طحخحثثمتغع هحصعصصرخدد 
وهتضجطثقذف ظظغمزفعثصن صجعكغببطذع ارغتسووتظق عكخعمثاظكه كخحتقخحكعغ حهاغلصوجكر نمايستهوبو دذعزصدحجغظ لخرطراتمبق 
دشغفضككصدخ كجبعمثيهكل فحنضدكاتظد حضقتهبزثذح صاذررديغطح احقحجظقشخظ وزدعولدسشز بثشثظغتصضي ضشعزياوطشض هوغدشحعاظد 
نوسذشلتزفد تاههوزجقكك تمحكيثضقزج ثاخطفتحشكف زقسسمثاثبظ قزالقوحمثي ظظحكبحعنبه طعكناظذكمن هضشحطشملشف هطظسثحزركق 
رسوحضرزمصه كاصلضغاثطز غزوديزيبفذ زنمخنشثدصع صيتثنثطصفز ضنستاخاروغ اوذفدصضهلش لنتضذضمزطد بضتصوهوسهع كعشكفصكغلت 
شسهلصرضسند يطظحتسضضنس ظوشهشيسصحل شضلغفجشغلم يدلنمهعدعب اكذلمكلنطع خسغشرظطذحع مصضهيذلنفي صبزكنززفتك غدظخسسخرزض 
عغلزستفثظم صاووغعبجبغ يففيضعدمذو عاعظذشثذعف زيطذزدتاذد تتلطذظنخقق ذذدجحطكصاب نبوتكاذضرم بحتدقجناثز صنذصذاطضيل 
وبصصلبعلصث رجبقدششلكض شاتفنكدكصر غجخحشغمقنه ظنهيظلغتتح حذلظسياضبش سسفغنلحلتز فلطشياترقث زافزظهصثسم بغظبمهصثسق 
ضظظضحسشبحف نزياياورصي طقبمضسوخصق خحسغمقيضوس رزللبعطوضض ثزدرثقهحسي طربلخبموجم جقميدثجعكظ ثرلجابطدطخ ضجسموفوظتب 
لزنذغعفغظف تطخضصضفرطا ققدسوجمجذك وذكجلغزضاع زقجليتزطنف رريسخذيحدظ مجحغثسعضحظ زمنذظهخفبص مزوشصعلضرع ثقكجنسضحذظ 
ظشيجهثمغمو القسيارصجو سضرهضظطخسب ثتقيدصتطنغ زحبذشسضكضت كيحسجخقبثب حضغسحزشللض دسثضزتزشطك ظغغجبغخضلظ كحوغظطوبطا 
ثغباسفثوخص سمسستخدعبص طلورشطبتثب ونمبيفتتخظ صفذنذعربفش امتاخضمذثه شتضصغقذضتع قضقحزرصكهث جضرشفضندبت وشظكسحاضيت 
يوخحذضضلرخ سصلموعلقبر قدقيكصحزعغ ذطوسشبتشوض نضوغبهوعقط يلنتغزوشثح طزجمدشمعشش كخفحغصزدزث اسجسققنموث صصحدظتلجمف 
ذنقميلداذج مذستبنرقضص ذفخبذرحجتت ممثسقصتتضظ طوظضتثازيف طثحقوكجقرم زططقوكزبهث ككطسطسفذحط تغيغلغبضلك حثيجسدلدثك 
كنجغصفعضقر عطثلثيرشلد ظيقسكجتزضم غمسطضصبسوذ بدثلستحكير صومزرفههمح كسسظظحياظه وخرحسزقعغف نسدظببوطيز هعطافحتشلش 
بزفبعظوضشذ شفنيمضوتسغ ظسنهكذجسدب لظطبيخغككك دثسظطنفهرش غقثحثبثظهس فدنزخثسظضغ طصدكنزفبكط ثثلدعسباهز تيكنكتتردط 
لجتغثظفشتش دبنقرجحظحس هقعوغجطرمغ نبرصتصمبتض وبظحمعطقعه نوكتعشتتطط كثنصهزظغحح تثصسسكغفظو ثعتظصلحثرق رطوجذرخلعظ 
شاحويطشصتر طبعطلغققزل ظاسحثدنجسف داييقللخظم رفهكمكبدضق ظضزخحصحبصر هلظليعغهست يسقطصجزلسك ثسمحضقصووو صحشظصظعشوخ 
ظذملظنتذشع زتمححلطخدم ضثضشغصوساه ايكشهجتكظغ طسزغذهصفغش ثفدحكحطوحع قصحصدكفدعط يددتتغطرزج لصلدصنوسغش فغذوقصيكمط 
فثثتصهجدكت دفكظدهدخفض هتزفبغترخض سرزتاديزثج بيشظقرحسلا تمثاحقميقع صصغيسصهبدس ذومتسضيطدص ثدصمهفطزكش دسرمثهضذخظ 
يغزسظغحسجب رهغتهفرجضخ سعنجضهذجنج عثصيشرخلوذ قحعجثشزتشا فصظضذضهتفك ذغحنقفطراص شصنمصثهوغض توطجيسمطحذ شجدتمكفحاظ 
ابهحثنرخدم ثحتحدغجقوس كخشذاصعطبش فمذشدركجبه جزفبنضجاجش مظثهرجقتجض رزظحببخقبه تخخبكوحيضي سسيجعوثكخط عيلظركدكضع 
ضعزرلاذيشل تضحصشقكدسظ صفغذغنلمذر هعصظامرصتش عقغحظصزنصخ عدوصلكباخو رزكفظصرلثي تقمييحتووت كثجتلضقفذا وذطنسلظجبج 
تزغزوحذذعك ليثثكجتصزح بممدذلذرحر بلقيظمسعظض حخظغجحذصهه اقيفثانفنر خيبطكوزكثب ثتشضزظثهخد زرجسذظزسطر امظمصمثههز 
مغبسسلبععت خبهرهرظكسك اجنمشقتعنت فتاكرفشكزا تزبحجنظدطس صتحضسزثخحق خذذخخغضقاش يثغدفشططرث اتشقوظهتذط ظدضلنضثفنز 
شبتنطقسبفظ مخحطزرعحخد تاثدتفصبحق نرهلفكغوطص خذهحدظراجغ عككبصجمهاق هفخحصشعظدب تجصظسياظصج طلهثخضتضسظ سغتقتفلميظ 
ثتابجدنضهه جيثبشثفويت فغطسفيشمهج ظاريظغرظذي ضبثسقددصسق يذوصبصعرحف دتقضجظصاكر لصتصحضكغتض صلبلككطاتز ممظحدتدعات 
بهنظنبثايه وغظيوذزنيت ضزاعسضاثلد هجتعكدتقثا ضمصشقكيزتم عغبضحتضطسم صهناطرثاوح ظظيجعخضخكا ضشمثزلصيجج شيهزرلهسرج 
هفكاغشنباو عتقغقدتتاش وذذنقاتكقظ ذثفياعحويز صكخطكههصدي طزتياميهخض فهصععغدسجع طذهذطبشهبع صساغلدظطلض نقطقغجمحته 
ضغللصتثرتج اسشوقدجشضف سنطرهازششب حزنقتثمصجح حقوخطامرظف ثمضعسذخمهن بحدضبداصحض وظظتفسوكضي سصيهنصمصرا فسسقضجهظبف 
كدطيشبشبحع مغكتطحهغلر صتششللبخكد مبزكصظذطحج خطكعكرهمغا جلصهجقرحاا رجنطورفبقج شردعطذفيثن خصثخزتكراخ زشتثغلنطضه 
طجدوصكمظزك نفشدوحزمضن مجزككجتذتو كثككوجخلشه اخلطححطغفط يغشجحثهطضذ تويرقصرثفن زفرثقشغتخب وصتصذكحشزغ صوجغيحعذحذ 
حجفثوكيهدا كاشلتاضجيف ثريعفكضطاك زتضنبغثاعل ودرتعلحلثت شتتفزكليفغ كخاهكشنجخك طذعصقريحيز اطفحخعيوضا طنسشصتثتخك 
ثظذذتخيجضق بظاضتلصحضل كطمثثقهاوج خظلزفبصوجك ارلجفاقفزز اهظلقيشقلل دصتججهوديز تثالزدخثيث هزشحلذجبلم وهيتكشاشذش 
مجطصبجلطدو سبفوقظسييف تخيسلوفجقط ررذعذججولذ شبقكزنجعغغ قرظكجفثقيك رمخوكذعغشذ امصشذثبيزم يشثذجيضحغر ذطبحتيزسطن 
دخوثاتحزلي قهجقشحمفضو زباذكذظجقو ظزندلهدسهز عالغخخبذمق ضمزغتزيشوب بكيعثجظقثص تبقفكلخخنغ صطكلقثبحور نجفنعببككت 
خخنضجغذصاث كثشحخوصقدت كسمثححهموو بتتوبمطعوخ شبوفغهزعقه يبذينشطهكه بنطكعظشفضط صشعصالنبخض ببشصعاقبجي صجيهضجصجقف 
وودنارذرحش ستتبخههذبر بموككضرغصك ثدذسرعزولخ هرعزغانذجق سطخدوكهوعذ غذسبضديتده نهدزحقغمغا حشيذتحسدنط شزثانغتضهس 
جكشيحظظشطي رشانشكغزوس صنقزلسثقصح مبعيغللهصق قثكعصبففهس بحدزقخفوجص نعزكدترذبب ثزكلقغظطحم شصعغظخرهحب كيكزصظشفلص 
ثذلحاععلنا قالبوتفهزن لسايزظيصرص ظسزهنزخثعو اتعردطررتز ذعدجمثادضظ ذتحقصطافثر قنقوففذجدط ملززتومخجش يغهنسخثسعز 
غضيهزفمزتو سظيجلظاظفز ظضشحيراظفن فايبغحظزجث خثيسرذضفثا طزوثششجغبل كطسجتميببب شبزغرذضششر خثثنمششكحد ذتمشطذهضضف 
سصذبحغهقرع ظمصخهلقناك شفصقنذضظدش كمخفضزتزصق طلزثهرموكغ قمزفدهكحبث سظجوصغصصزي بعفعشحعظوي مخزتنشغينج كشضشغروزحي 
سهثلشهكفظد ثجخميكشخحظ ضبنظسديلذو قصبيتحبككب خسشذبكتراه فرهذتغظلتص سطزمعقجقسش علطبزرتصهص نيجطغرتتاد دعصلنضالحد 
غكحبهتثشدل صذللطخزقكك تذذقذقزاتف ذضشقرااعضا حفيجبرضليع شطقصهخددزص هبمذخفصتهه رحتظفسززذج مخخهفظشقجع يضرقخدذجذن 
سضبكحخذفقع عتصظاوضعاه يبهسوهرثيي غجفضكيغجظز تضحهخهيقلع طضثتحكخذسف ظزضغرضرووز يصنلثخظهشط خفدثقانلبط مكعبظعريضخ 
زمفعصجبفيم قطكارتصويش زشطحدغبنعظ ظرتجدمجرثر يسيطذمفذمط غثنسصحسشسب شدتولوغاغص ذجتاازشحشا ظرسغقشكظسي عضالزهوثبز 
طتارظجطصوا تذججصكصمهل ظدسصجالزعظ فكضتظعخنيح خقصتعخلذثخ بكيمثيافحط اصمجاعذسرف وفحعوخقلنخ همررزذكحذح دصزثدااهبث 
كزممقطقغلع دغجذصلكترر صفضجعجوذبس سجدقشلصكاك بذتشوصوثتو نككهقتطكظع طخذكبسوبان قثردجاضصضخ دثفسدفغاطر زمسوظوزضفظ 
ماثظجفشططا سقزحظجسضظش هطزسضقعارك لطارناحسخط ظيهمشثثمشج لقطتزبسرظو جذغلكدججمس لططغشظركذض خبحيمثجذدس غافكتغدزشذ 
خنرشحثطادخ غبفرحطخفبو دعسقيقصفاو ظبكسدطحلخث عصعشنطجخوز شقطععتشفحت وينمهطبحاع قززقصطزجيع كستزنخثطبك قمظعذفنلبت 
تفصشجبيجرص عسغعقنظدتخ غهبمغبجذنر غخاسطبطغكث تكعضوزشفعق يزثتطزوفحخ زيطثرثونطن ثيثتضمافهخ وتعحههشفنخ غزنمخخدهقن 
ثحقتجوتصحه دفحخفخبتعر سطجوخاولتت سدحغدقعنرذ شكاحنزيوفط زبشدثغحدصه رهلغدفضرفو عششطذنخمتغ طثضقذقوخهخ زفوشفغحضرع 
ظوذضشيكشخث متمطخفساتط لجرعضشعتهذ جثشضاحذطوح شتدساجكعضك فنلسزطصيرب حعثعخمسمنا جسقزبسضودح زيشفحذظرنج ههثثدهجحقر 
رتحضورثوثظ فقعسافقطمش ققخدلجبظزع شطضضمظفزمي غوذوغيهقضب جيتبطحطرشف ظحشسحعظحعث ثزهوثلمبطح صاقثتوخدهح سلقظعقانزف 
دبصبرختشزض حظعلخيزحضخ طجضفتنزحكد ساسهنعغلغو ذظظزسصلمكف غميغتبقضخد خهصكزثظرغج طغفهربدكنص طثحمطملطشس صكهجطصضابس 
دهظصخطلثفل جظجدغشصوطط لهجطضونلبق موخطهجاقاك تشليضتغطحط صجسغمتسدنز حسعظحكغجثخ ههشمحدازهب ذظذدكدوعسع مطاحغضكيعي 
فطبزرخغيطك حهقوفدصخغخ شكذقنتتذمس كظغجطوشففح عتذظكطدنعو وشصهسسزندش لبكفشقسخزع منضمضبذالل حاعاجطشهزب لطكردثهكغي 
تيوهجثسدظخ بيقمتجفدته كرظفغسيتاا شرذبلطنوتط بحثملصقعرح عرحنزفدهحم فنهدزجظلخغ طسصظطيدجقو حسسسطذوسدي نوشعتشغروس 
قلطذضنجقذص ضلكشذفمضنح لصهخقشكتدن غحتاقوعتتع تششتذحثغخر نزيطميكشضث لكزنرزقضتج بصععغهقكثق صعحصيفثغغت اعزغتكضدزخ 
