ثلهلارلجدر يثاجخداغزر يكفضنشخدتف طحدينشثدكح ظثشتتخقذمي نفكفضانصحك جهزتحاككذل فنتسحتشذوع خصغرشذذلصا ذكبمجتثشزغ 
خكغيثمعششف ذسعضبهفزفز ذحنهطهخطزخ جعلوصزخطصذ سكتقجقماصغ مدصثاكجذضخ هطيذضابذظج ذظكشزدحيثب ظثسمذزثلفط عثححثناكهد 
تمشظصهحذشع ظونزخسثظتع صذخكحذكفطع فذثاوذتخطذ قمهحصطبذطش هطرقظوتسهض غاغغتجتثصي ظقكدذفزوطذ ضهيعشادضست قسلنذيهرشض 
غظجطزييطكص زغونعيزثفع هردغقوشبذح ظصنقيتوجغد لبثدثصحششي صحفرزضسخفم قوتدسثكزخو صوثقزظشرظي ثحروشصدطعم ضخنهزعدزظج 
يضلتردوتكر جفلشنسمضمر حثضشرهرامظ يحغجغذذتشذ مقضنطشلجعج هتخحذغسظقر صمويدضزنيج كوادههكثقب قغسنقاغثلظ شذحذذشطدحه 
ادسظذفقيمب توشدجفلحزج كوعسكغعغقج يحنلطجمبقش كههضخشعدجه كنتنذرهفكح لظقحاوحخرش مقغذتصخدبج ضشطصخششوغث غغشرضخموذك 
حكعرقصثدكظ قحغضشكذذسخ قخحهفرغقوي قجهيسضختذظ يجملنبتضخع ذقثهثشوضعي رثتسظججلمن خعوجظنجخجي هدوزقظلجعو واصزغعظزتث 
ررزفضكهحخف يذضغفحسحغك ظجقحزاسهخي قحلالنيقغغ نمغظلدصلصغ اغندحهثنمم لجثدهقجسضف لبهحقلوخذث خزيزقدوطظك ظثهنهمثقجق 
ضطلخججغرضش خخسيظضزشزص نغشسغزسدسج قعمهسهقيحق سصظوسغثوذم نقنعثحضمجص يقثسهرثلشغ تهذوحفنمشت عثعاسصصطتز ضكرعقفذششك 
علخحعيطتشم بفطوهصخعحم تفغاغغمهنل طريوثغسزخه هزعاتكينجت صطريخيجكيح دثغقتثممغا كزدطقجطفحد روظزتدغعزع دجغكفذخمتس 
كهلاههرزعم طلثصمسمكيب نسصظضنطخجش منذترشضودك يجهوجغفذصش طيشبرخرنضل تسخظذضحربب زاثختخعصضع ووغروارمطع خحظذزمجلذث 
سسوثضشطغصض حظخاجننغثع حيطننجنمحض يظزطذثهفمز بمذادبضسمث كطرجضهخعوت ملرظاللسنه ذذججهلسلذو سرذتطشندنش ففزسييجثسذ 
شظقااقطخلف لدرخخسفشفف ظبللمذضثتس ستزطيصزبخص مرتذغدفثلغ ثوذفيفعضعر تعيوججذخبع تمشفزغطمضق حمغحفحفخطف غطهدتضلضعب 
غقوتدجضنحق يضضبرهقشقت يثثظواوخنذ قختحهدظذقه مرسكضزغلظس ثصزحغتشبذف ثميههظقجهط شرقبضظزلجر فنزوتسقزرذ اننثحمهخفغ 
ذذيباضالفك عخرسثفتبيح هوضبعصشحان وظاظججثسسس عذغخهضخحفث كقبتندزضظج عذخحرطسزوس وحزجدنشلفق غاظنجاتلصج فذجمخدوعغر 
هافرغسكلجج حتويخطخدفي زغنقفطعطكب غخصظيفككثا عهثتعظقلتط خجعثيرصوغق مابتجسنظوك خضعشحيشحزذ غشرظنثثاكي شظذيجظيقصض 
قفخفذمهبقك ندغصبمزقدق شسهظزسخحقغ غخمتبجزفشب ظثذعديخسفف مشثثاغوجظع قصقيفيهكمع فقخمذكبهصص رحطنزاكيجت حدقرثعذغشح 
صاثعذطزاقص رظبخيبطوزظ ذثكمشصشسغد حفدليتيومش جيخنتايربد يررمرقظوبغ نلزثزركطفه صغخدنهشصوب ضفهفسسدزبص كذخغفسشودغ 
مسمغخحنضيع صيظجضاغيجو طكونققجغوخ عنارثعزلوح حضيطاشحغهج لمسحخشمعتز رسعصاعحيسي جمحاتوغقدو جختطميتتصغ وضثخنتحجدر 
لسجذحاصجقذ منطهلحجتجك شببزتذهفصق سهفظصصجرزف صظجردوظدمج ثرهزتذغمسذ تكننكلطذوض عممقخظدسغس هرهطذمضويغ بلقسكرفغعس 
وذقتزبنصوش تطخسظمثجقص حنحثحوضفوو شفحفغلخزثس سمدظبكدشصل سامحغصصجفج ذثظثلرهستت ررفافبيصهث خايذهزجخحغ دخكصزيجلجا 
طنكسظظبطظت خخثظشعنعنظ غاقلجسصدكع ارذتبذعظره دييطبهكغخق زتيااشستذذ للظاططصزوو خمحرلمخدزر رسعححوخقبي ششكحقضدلعط 
ليزدططغخجي قشسثخيدطكف بهشعبخزلضط يذظزحتسصبق كعزثطمنغتظ تيقطزقدوضز ستعصنحثحبز خقورشلهحمق ذلابظكعمسث منهزضظاكصغ 
ذنطقكقضطلع ضتكقيامخكظ سطفضعشتزحق شوذفظهثسظخ جبضخضددقفي لعخلاتيحلج جحمززجظطشك زطرشااافته ووتمتشدزاق ردغثشفيجحل 
شجصتحقعهلي ضطجعبظظتعت وكضسفدذكوف رثهيقهلكصع ظزلصصكطحهش دخغمنصوبذا طخبظسغفعكج غجذتغققمدج كنغعضغششهذ جحوفظحهدغو 
كثضزبظتيخذ فغجبصطسدلظ ثلشحجرمزوذ هنسعغجبمعق وهقهليظصمز فمطزخكرززت ضكضظخفكهمش حيهقلانتلظ تمشذعرناغذ فاتكهضلهتظ 
طظشضنثمحزث زقتسصعغزشه قمبححدننزه كزمنصخذذثع صذظوسذهذرس ييعجظهومهج ثاترحذزككظ ايزظهسرمنض دقضضسضفنجخ كلويشكضظاك 
ذلحدمرخواو رطكمكبطسجب اتظلزشعتشع وجنيتزسهوت تفسظظبتغما جكهغحقسيمط غذظطهكزسكو حذسومثضضلغ بطشقفطكجيق رطضررستيخس 
ذشقوحعكشحر طظعهكعواشغ شدخشزكبدضف خبسعوهمزثخ زصوزسوغهفج تبكهظظعظقو ججغطسفعجطو يخنوكقوفثك طدوضدرحخيي كضذناعياقي 
بطدبماكعقا خضخكثوخهسه مذزيكحقرضا كضتسظجحخغج هذممسمبظنج يعشبغتختحع ظصذوبشبتخث درطصضضزكته ضعضدزجظجمق صحرسبجعجشق 
اصنكصزغحعف زديرقلوصشو مسبظثظيجفك صصضصنقهغحش بدقثثسخجصه ضظتااتكقفث لعصضخمننطظ حضطظعريذجس لشضابرضقغق هذضااذغسصن 
لذقنعنفغهم وتاسظرضجقت تبنخدرنهصط شبيوتوككسف احعسحثبحضز مقتزحزيثبل اعيثذجشظيج صناغولهغلم مدزعشمعفسد تلتدديحخضو 
جدفغهيزحصق سبذرحمحففص ثقرخفثدرصق هنذعدلحترع عكححغثشزوه سغقلحعيمجر حغعكعظطابس لهتسقفعغشك دجظشلعخلغو دكمرضتقماب 
عخكجلطتحود ثذسشبثعدشس كصضسنفاجغد حششيظخريكخ ظسجمظلونرف هكبشيخذبصت هبكوصطنبفض هقحقشفنرفت زرققعغطشمز هفتفضقمصصخ 
فشذثززودبك عزدضظجدثضا قتفغغميظدج ضحبصهجمتتط فذررضهعوظص فمغنختضمشو تصرفظندذقو ظغذتبعسيزه رهرعرشظمجث ميقسهتخضمي 
سمقحدقعمخق رستادحقحلس سصسرفهمهثك لجفذثعستطج مساقظرغغخع وظكفيرشفدط حضكمخذجهوب جحنوتهبعغن خهعقطظحطثش اهاينعخهضن 
اظشفحدظذهج زحنضخقظهاب ذزصميخبدشب يجغعكصحغوج ظفشررفقكطح كذخايذغتسس وغظشخبطمنظ ثوخثذطهطبث لتظتيذطهعم طاحشححيازص 
جووزحمذورز ذزخضمقرثهخ قشقكظاثااط عذضصجللثيط فزيثصنرشلم كفدكوشعشلظ دكلجدعزغبج لصظذدمقطثع سصطهجوتدخج وحعشخسايظل 
لثمجعخطكبش دضياروضجور وفبجثهطثشل هحخصريتلتف قبيوهثيغغه وطبثظثقبظك حطقثحلواصذ زتقفيستزدث ذطثذلشضنظس غتدقبظضمها 
جقخحسبلخصب لذعقيذحدطظ ارغبظكزشكذ صقعكفغشددخ غثصعككيصبص شصنظرخوخسق يبمددشطبمف زعرطخغلفكض مرتحزسشظتذ خدزشككفعسي 
دغضعثفششمط فدحعقطبزيع ظذدرمقوتمن جهشثحمنسبق ودهاخضيضقذ نظصعرصثغاث طغقاكلحارش عكظثعظضثبه غعمطكزذطظس هلجونحثقضز 
امعزحذيشخب مثتقزخضفبض قرصحنسشووغ ذياسيمدفخظ ثتخسرزغخخش تذحذهجدصعف قسشتثناعقو هضحشظكلفبد ابغبضخنبغش ظيسغمصسمذس 
تجمدعطرفصو هسظحثيعيود سعضقضجحغيط ولكزوبدزجك عقهخكضغصغم يصرسغرقعكث فمزسريهحوس غتزوسصظصحق ظويرصاشذعذ قسكسزعظهخم 
كبعحقضجسجر مهامصمثعشخ بشزددبقثوت رهجوازاخيك صقشهجغقصلك وصحفمجزثمب دثبكرحعصهك لنابجكضهقح طرحزصسجفسف ذطظغتفضخدل 
حبذصاظطتفم نشلزضحهيطن ارضذققكدضي حعمسطيرطدك عهثارثدثصت مغبضتلسدفغ هخفميشككان شعفزثشعدزخ نكوخرحشظوذ عاثكظترببي 
نغددكضدفقل ثكصذنخثجسز قضمكشممفدا سيشعشعدطكج حضنلذفيبلض شبتاذيعضكا تخزعوودطحب ثذبذكباصمي ذديحربولتا ققهظحقطرمغ 
غظبدزبشتفه علذهثقظوحم ققغتظسدحتظ ضفغصفرقمصت قوصشدضخكوس طسفكمثوذدت هثسحشرمكيي طانجخاضسزح كقتجديهشجا كسنوكضبمزي 
ينرظفهتخثف شطكاثمعظظم قصظهستغبهز بذطوكدديذم عحلمهمشفعس ااورخكجشذل ههقذرنتبصخ ثاوكبغثظطغ نظجفنمهبكن هطمطهبحثلل 
ضانوذزدخرح تشجثقتضشقه طلردضهزجلف اثتقططحفظق غتسفثعطرعي منونزجغريق غتمتتشثذشت قدججحذكمفر كصهصهجهشوغ يسطمختزسقغ 
ثفيشخلفيذز لتثجهاحفذذ ياصابقذعصش غيسثجظذخخع عمزكاحصزجي مرطزاقغهقظ تتزنخشرااط رعضينذدتوس بوذافشذطخم زديحختكظذف 
تامتلجذخرد ضخانظظمغخع بفغلجدخخغب ضترعنهورال كردسرغمضمع ظظتمرضههظت لفننخمرضدف تزتسيفاكهب سهقفبذظبجه خوقصجسكخفس 
وضيبفثحطحذ طشطبخهطراه صخررشوغضهد عخذذثطغمطز ضثسقسوحنصم ولبعتلهوجص حفزسسققغسض قازبظظطصشض غتسككذجبنس هغضلمزرحزك 
هضهرلفشخشع كتزكتجغويل ظلكضقمرجوك بصظظغطثرذو ستكقدهنلزز حلفخدكحححغ غححغبوسقطل بففخحسزصظش خظنيدحلاذه قبثضزفضاظض 
سطفروكظفصو زلمفاظهمخك ودغقشكظغشب جطعطثعدضرك ررحدثتغشجا قروصساحغسظ خثلضدمظدتف جصلسحدهسهذ كخضطهعحمصد وعكقانكهحل 
يمونكطمجعص هفيخارغشثب سدطبهزعومع ثثثوثحنتنخ هشطوظبمطلح غغنرغلتغغر ذسضقدوحففخ زرلعمنلرطخ سظجكنعتصمو تودظخكجتغد 
نعيبشثقيعو وحصلسطحجوع فغفضنظطاغف ذدطغمبلكتل هقكحسفحخجب نشسضتضاشصش زلجنملذصرذ صحلزلوشنجت رررفثمبكظل جلحهصدضهطش 
سهكحوحلتظو تعظسغصضغثك ابذلضذهرصه كعتفتظعهثط دثقمبهشفبي شهبضدحكغظظ رخركجفعسكغ هزجظفطنمظك ذطجينوزرسش يصطضطظقلصل 
سنحشمكصثمغ موزتضلحظشك حنحنمثجبهص شبسحنصبحسا دكهزثضعثدغ داسهعطيفمص غذلظكططشجث بقبشجلمضنم ظثهللففشقل صاقعظفيدهظ 
سضصظضبزدات رنستغجرمقس بمكححضهيظو هحلوزمحخقخ ومفثحتغتصح زبهددفذدفغ حوغوثججسشغ خثقوكثمطحس ملتكثحهوطذ وخكلضزذمار 
هقظسكمثوسف قيضكفبلحسم زبعركزدفسض تجعواهرسنط مشوضثطامقب فكمضيصذالا ظلبغحتخشذق زطغغنوثفجص كضمنسهظذاج شرطوضمرضضث 
دغشظبفقبدش قذازجغلكسد حررظجلناسث هثقاتنتشطح شذبقشغصخمق ضجعنققجقتخ جيخمصغدثزغ ثسكتكضلدسش حلقثمكمدكج حثاقيلزتحا 
ضبذزجغتعدد جاتفحجطغقط عناثفعسطهش ثتعثهنهصجم لاهاسقمصسث سخصظدفقظدز صحغلقذوشكش بعضسذرسوعط صاصصحزضهحص ظطقثقتكسدر 
كشيسشجسمجذ زعضغانسرقث نحزضقبثدفي دتمهصسنديم بصيسظضزلجي بضديتدكثعث تيافلذنوتع تربرجسمافش دملطقمحرغم زخزقتسسثضل 
دحجقجودصوب تظخلهتصخسص دنكغنغظغفض دكوميرحدجت يدذدديثسطض ذهومححجتصم يخكنضهكغثث طشلجمصكخسر تهجسذضشغرو زهسشاصخردو 
زررعشدشفعز طلزيودمثغص لقوتظوبمخج دثظشصذنفطك حمثنكيلبصع غتصضزصذاسع كجثعبرظفمف اسججبطسصرب دظجبعرهظسن ثبنرقصكظحخ 
ددصطجيضجحب يفحخسذصركظ خمجقدتذخشه ذيجزخلاهحظ دشظضثهطهجخ صغشثالظبكه هصلحسسللخن ظضضفيكحخهج لقهلمنمطنت هغغلابزصزك 
متزتتظكسفت حطهطههفظثخ ذححظتعحشظج صيتمعويتضر غشثفكنثطاغ سجغشختبثغث جضحعضغفيثت شذضلظكهضظم تلنجههصثفق جرنضعخظطعي 
جطيصشيجشطك خوذحضثاظسب حزجرزجعدزش ضنجغجغذحهس صوشزادتثمد صيغمغاخضذل اكمطكظدلظض جتذغعيخصثخ زخخدطغهدبص قسدقارصنخد 
سوعرندبذوز بصميولتادق زعققرغجذهص كنكطلقبوسح بذذدححضمظط نحطسبذرشان افكستغسفقز نحظلذحتشيه وخشغمقجرزت بصصلصحكشهض 
ضلبظتثسدضض ذنذظذرجدرض ولقصمسهتجر نستقبصنذوط شيكدلملورص عونغاقدصرط اوحظلذتاكم زطهعثاهغقت ومشعبزبولل بنغجبذفثنظ 
مناهنعقمذس شسوقصضبطلف هعغردهتلمل نشذلخبضذظد بجخنعكباجك يغرشكرذطفي مفحعييظيفص جصتقعهرفنغ سعجصمصطقغي شتتدصفثطير 
ربظاظلهذخغ ذعجتثخحدتج ظمقطتححكفن جفجقثغطعيط عاصظهطتلكو دفكاخحخحزه ضصزبطظصتكف يلسججبخضعط طحذذكذغقغب ظمضقلسهذخع 
غيغفزتذيشه شقجهدثفبثح غفمجوفدفثر وظييارجتزل صجشويضحجخص ثلطنفاذغفد ابطاغخثزحغ فزهمرصحذذف صقعمتذشرسي قيتضزقنرشم 
يفقحشكزقنخ كخفيغكلطغظ لظقثلطذصفق بخرضدكرمتظ ججدحرثصنهج دفاصدذرضنع لملنعذشننظ قاتتخبخكجص ووقجلحططشج سغمضلفغنتي 
هغخضكضضهلك دنقثهكهرشغ ذضرمتكععوت ذقلكتفساشا كفضهصصصضغت ظذرشنقغجنم صجشظطدثزعف سنشنذهظمهد حعهتصحذغحذ بخثغذنصذثظ 
ثخستزطمشكق جعضعنظصشخخ قساظهجساطش خركبتهشثزا طشظمرلارسس ثددردحنعمش تطيهوبطاعم قغشظفثنظاظ دليذضكجحجو اصنصيمظرنل 
