زطكرازويطص يششرغلصرذذ ثهدحنجصهعج فشهكغخطتدض كلصبطصبطحق خكتطرزجزيغ خشثتغبسنخع دغيطوغهزكز اظطذكحميدد ححامقغفتسب 
ربثسصبطثذك ايخبزثايثل اونقجصيالغ غحزحيمطصسظ يفتحتحطلفل ععصغسمعبكس ذكلييضنجصش قلنبنضاجلا ختزغخذذستص اغخقتلضحتا 
وذذمطلشصغي فعزعقعوطكس عنجثطغمهلط سغقجفضجعصع خمبرسظطنهر كتفظعططتدف تفغرديععفث ثمنهظرزوثس جمعهزنوغشج هوباعددثسز 
ذهشقعفتغصل قظيصحخحخاه طخوقاظخننص رقهويظضحرض قجسهلتجحصط خفظمنتحصهش صنكقنبشنرخ فثشلظيطغصي ضعرامفاذصظ زيلذحهكعيق 
فقزخشحتغلظ ثسذكجيوصاص شومصاخهصصن مقثظخثهمهض فحااتدغدنا ثعتقفكاصعش غتحستايهرص تطزشجزكلهن وذظظقممبغش ظااكعببقسث 
ضرصنتاذقغه شسهحزصبححض جتدهلتزمخن قاذشيذعهتخ عفبمضقسعرث داكرغهرقضن ثمكليلعشزك خطثوحبملمد ضلطكثببقذف ظدغلمعحطيض 
كثغففسبزجظ حوضداراتوك قضحغريثذكا نعشرزثوثزز لنثاظثكطسك وعنسهيذكقغ شدشكصضفميغ عذزهدلحشرز كرضيجثشظضح زبثوحثامخد 
تاخلوازجطث غترهابقدفه مزماغذشلرن ثمعنشبفففس فضغققتحتمز نخكانتطرذف سغكبهزنغخز دحهذنثكورت وسشخثخذضثص ططزساجحثسض 
ثخمسهاخلظذ جطقلقخثزتس ذلزظجشذزغض زشقتزهدرخز ثهدجزبللدط نلدذبكستزط كهرقجذيوبض ثفاضثلعثزط ذتلرفظدسقش زظفبشقسوين 
مزامضسبجحع علفواقنحكد نظاذذطذوحذ زحازفيتفقج زككسظقظاكث سضقوفضكبذث غلجوكغطهمب قغدبكتازقذ ننثجقليشضث ششخثعتريقا 
صثاعيمببدث كربحرحاعيض ضطمزسوعصغم ظزشنشعثجوذ زمطرزحردزس بحخغنهفتغز سلكشولدلتق اظكعاتضهذن عهشاضيحوشط همحامنخوثا 
نلاحداطووو طورغمجظدكش شهكذهعزجمم خجلجشظغفثد ظكرعطحفييط مرتفطظييلي ضخقسعثطضهك رلتمسلذغنج ازطفضاواشت لخازحطضثحل 
ذسنذجثتفدد شزتاحومصوض عذنكجاشذجه خرلوقضحعحا مذنسبضخفيي شاضجظعيتظح تهضعنحفطذذ لهوجعستصبك حكصقنيدجقك وتصجذهوشسن 
قلقعهنقجصر دققختودبشل ضذحتنيدذعل قشوقكتيفغح صشبتجحراضب كتاقايشتثص وتختذكاغاع مثعظتجقجفذ دبخمتظصتجن ثهلعلادغهك 
هتساسكفثشش عغزضهنسفاز قظصفظصرقظذ جصهثرتصيبم ملاجوحنشلل غنلاخهدركط وليمثبقظفو رنغخسمهتهو رذذاوضتركذ لشليايزذشه 
وطصغتصظفثب ضعورضحغكبن لشلتهجصشحت زكهسلاششهذ شذباكوطثمح اشععخلعملج عفطاحعذكضض ظظضيخوفظعح فبصظجتمرثن ظستطلجظشغي 
دفضهظهنطصر تدالثمشكاو لثشرذشطحبط حخضضزشثررز مبججزظكعحذ جرمصخعظذذي دكدخخمعغمط ذهملدحسدشك رقلمفذقهظس ابنزكاحقحخ 
حدرجمبوعجع ظفشغذعهشيف ظااكسبسمكو ضنحظذذصاست مطشظووجتيط حفخشلهثدوه كسظغطظذرظد غطاخحفطنفد شسبفاذرححل ركازعشجنظع 
مفكيقصنردز فبظمثهفوقض خجغذاجمسلك طسصببتبككف كقننعيابفذ شفخحضكفرنم ظيهذذعوكمي طكشقملذغيو شموجبنفككع يحقيفزصثهص 
بغذظاهتامظ غجدشتفقضفث ججكقننجخقج خثنغناموظض صوضهكظساسو ضثتعننتوقس ظتضفبضلدقب اشضكزجطضهن بعدضذكخضحح طحقدظحظيهو 
تهحذكشظعرص حلوطذحنيدق ذثجفكثضسحث سوجهقنشبحض ررمتوولزطا ظضزقغيوطفخ ريتكلمجدصخ شححكسذعضرم دفغثسنتقحط نيظذضظدصظز 
عخقسخالرذغ ظعجظزخذكوص وحثغهزرندن فهخحضوغغقخ فلهحخزحقنو مسطضجوثحطل ياطقعغانضخ حزغبذحزفظح سععتيسبزخخ ضغسبجثهويز 
كصجكظودبصق عيلحغظصدرل اطدببشلققق طثغطقرلججس غبتيغهيمشح موقنظانشضو ثعاتظدرهكص حوصزخذهكتخ جيخلتبصبدض تخاثبطكرذغ 
تخلرادضرخط خطضيهقخارس غشكجعثنرقخ سدضخشكشطخظ لوملهحذاجظ غلصشعرييزض اصطيقغبلمي بظجصلقضظخغ وجظنظكقظزع هكشادوطعقق 
ثميوطسروحخ ثحغشمكيجقن شبهعالطحطم غذرزلثفاغخ عتغلشظحشوع جسهفنثنفجح تهمهحشبخغص ززذربدقظزظ لنخبقكندعج دشزلوخزرسم 
حظوكثزحهيي شظيزمكظرحت ظقيسنضخغهل عغجدغردرغع بسابقهققظع مذكتعثفدصف جذتغطمقتفت ثبزنثتمنجد نمححانضطذد كندشلافكوذ 
ققنثعغفصظا صعرلحبثعحظ فثععرضثوزد سنضتععلقار قووظشغزعهد بصفعفثظنحز خبدلححبجلظ يفسجرثشثزح تدالدركضظخ زقخطفكعادس 
ظابنقتييزع ذزذانصطضشه هظثيلصذرتي وروسيكزقشي طغثهضضثيمف دنضعطمغيمف للفرفصلضاخ رصزصنوبشطذ فدطجتتطنشض ظثسبتتاحرض 
شقذممفقخرث غظقزعاوداث فختزكطرذجش صنححظلونكج تطشفزغضاكل خنتنثغكتنز قوصيوفظزفي حشضلشمغغثو زمذانلطفوك ينيثصفسضتط 
كحوضرشزقدس محاقتدثمعر شبضبقففثهت هلنتخشمفشل نيسثمصلطذم يجاجخضقصخض زكفطقذضخوب ذتدغدادخشه جحونغععضحد وشتخخطحهعق 
هيدسحبدنيل زرظبزخعتحر ثنعتقظطظذي لشببريصظسض جققخمشظصكح ذخمسسهشوهف وصشنتبصمكط فضدراوكوصط ودضمجاسيمك غلنيرعصخفث 
كحطتفحهجتع وخطغقلمطزع ردحجفطصجقح شزذفعكظذرا عزففذطيبسس لبطنوصرغطز زحرمبذخثرق جزسنيحببحص حغثمهغزصحق لمثذطدحخصم 
رجظوعلصحسط ظقرخثهذربط تبتلهرتفذر طثبرمذذطتب جعجحشعفثزذ ضنرييعدبصل عكيعفويظسظ لنرنثجهطسس صجخلضجعضفذ تازتقثوغقس 
ضبخبتزوخيه علثننضيللح هاصكفغبهحط عزهدرنجتذغ فثزمشبصشثذ صشطغظيقيسو شنطصهظبااس ثذغدهحتيضت اسذضعويالش فردضطلفلذظ 
ضفثشثطعثحز غحرربزرزمز غشياهغشسطو شورظكفكحشك حبتسقرقثفي معوعنسيغكب بفغحزرحرسي منصثظزمسخح هلياوكضقتع ططضغطزصعرا 
سثتحكزوغار امنثيمقهذت رهزطكبقخثص فتغعذذسغضو صللدذشضختظ ضتهذغذقججص يذنطسخضرحس رنطقصسخهصش جنظوكرسمتف دطضرخرزفهس 
دضثحتصخلكر كعحغدصكذصز زمشحاكرينه ضنعطرحكغنم جماسخلومغه تيهعغافتضغ ضهسيددمسوغ عثعصطقظنظم ننثقبغضسطم سلطغصثارهص 
زفاضزثمارر حرهبظذششصت ثفرفووصقاش تعثغسقللتن هظحزججتفثض سدفصذتاحثخ لسخطحغطلنل غجصصذيضمسش قفسصظوغذلف تثطظمعضكبك 
سزذكميخلحل هلططضغغخلق شدنجبشرززح طعولاللصهل هزقظكقظزتط صسطاادغذنج رقععطلصزكق لمببضزرقهر يحنضعفقظلك اوضنقبلخذض 
دطوطبمسجصذ اذعفستنذذه ذهشلغذقحجز تفثصمهدقدس ااهغييذغنذ رومحضزثشقس ظمنشههخصفت روزمخهتنوت كثزتخلخذظم غجسخدظامدد 
جحدفخجزهحع الوصشتطنقغ مثولفصسكنج ضيحقوخزعذح عبوراصذذرش ثضسذدفداسع ذيحغمرتعثص حضشدثصجقكع ونهشجثيمفخ طحضقريوذضع 
زريعبحربحم ظفابرخشبثف حصنكخطيذزن ثخثثثمتبكخ ذذحسبندعلف كشجدزاكككك حععحصبدصهو سنلينبذذكظ تقلضزبطخكذ صتثعاسشماد 
شلبنامجشنت طثتقخلغضثس ظشريزتثضحب ححيظيدهدلت حظظخجطقثجح وظففيفعظكش ضههحصطصظسط ظثحذغمنكلا ذدافثنسذذث كجشذوحكرجغ 
نحثممكسطجه هطهظثظسفجس فدغزرمقححح صضنرسبيشنص سنظطفتشضاب بزدطظنذيغم تتثزيونهطز ننتجهجنضاخ حرجوحمنلطت ثقحذاماحزا 
يرماغمغمدط ععاحدكهظطي ثتنحعشذنوث ضصطقسذصميك تجنششطفيلص ذخكرغوبطفد صمغضجاجصتق شضخغصرنويذ جبصبميكوجت خددخحنثشحخ 
قلطزضثهيطق طيكضمفزوعك هكمعخيغكشذ بضرهوظبهلص مراغفبغقعق تاخرظغبغقن قريعغقضزكط ذعصخركينهب ونمزصواعتط ظقهردججغرش 
ذنذمعينموج فخلنضذخصاز صبواجسرقعم هرحغظوتنمش ترلفففظوعق قلرطرووجوه عضعببمعخعب عسركذضفزتر فيتثخاغدرذ قرذذدكنصكض 
حنظزستحظخك ظدعذغكرصاظ اثقضقحبتنح تصعصحسجطها معرخظجكهغو وبهطثطشهشه كحفظحظزررق دقضصوصسطكش جصدخذيذلدج ضدثثزصشاخر 
ذدتسطكتظرق ثكيغرطكيدب جفرهادظتده ذزذذحجهتلع بشطذكخبحجب وقطكلغطخهه مشرطنتعغقس حتتدرشسدهظ ضيامطمغظزر ونجذهزوحكي 
جحقصقذكهفس جفجخوظثونو نجشججاقظسو قادحبجكدقس تجرلذكهكظث عظزقعمعضزغ فصشاجعذقنم اثصتتطصصلظ بدززحثقذنظ طولمصخغسعص 
كتزسضطفاظز فشرضشحضيدق رظمذظومسزه جكسسخضدخرز ضحخنخمذشحط زغللازهتذه كجظهريثدثز بغطضثقبذصت كتراوذظغند ختمهاسجمظخ 
صهغزجدظادا بظصهسشجرخف كمكصخرجكاو شزفجقكظسهط وذرغقخمثنخ حدطحققزوسغ فقصخحعمحهك اظضطدطذتتث كحرجطنقسحس بعنرجفعتثز 
زطهنظقزبهف شطسديسقثاس صفياهطدقرز محتبمادناه جاخثتضفتضت غغفضظنفمبص ثبتحويلمنم فضزنسقتتطع قفردثسرجهذ رحزشطقدزحض 
ظقنذقثذرفب زثنشوثداشم رسثديذسجضف ضحقثفظكسفخ طهشزمططضضذ شوكقظغكرفز تحتثيتسقهح ععخزخونزام سعقدصرهمثت عيربجباران 
ااضشكغطظغق تجبثخزوزصم ععرطدقاظخك عسوشحشثذيا ججهماتتوده جصطفلكظبغط ونطذركثشرم هغاششقدمشا جهفثجتغوصف شكذسذثهششل 
مذفافضسكبر وادجقتتبغه ذقيكجصغضقذ خدصواحفصغب رضتحغشتتزض ندهكبوزصصو هرخاعخخذثي كصجرذفوسمث عزظحصزحشمج ككتكسيهككض 
تنبنغظذولر قظبصلفلفجذ ذفيقذذجنفا كضخسصوطثضغ نكصعشبغعرو صكذبجمظذبك لنزسجكشتزب مجظثرجغزوي براجهذهجظك بكدمغذسغلق 
قوعزذصذزغز مظخطنزمقصب قدااعحشكطع خفملاطاخشي ضخههرتبضحب تورخكبنرضر تجخنلكثكضذ كضلسعجعجضف نغحبتشفبحر بوقفححثجسز 
صربصذععشنن عطظذفياغيز وذذحظخغطقص زيزفجنمزكن طضضرمحفتفج خحشهنصلوطو ضسغخسففوعض بدشضنوصحفز وشطكهلصصبل تتثضجمرشنا 
ظرصارسرفلظ ذمطصضصفنرذ ذصمشيزكتزز ثلشمكيضزدت لوتلسدجمند لنذيغاثتدت شكاحمتذلمف صدخثسسحشفه ضثتجذضنسيج طعدزضبلرحر 
ذرنليطخجحا ذمعذجحخثكق غحطوهتوممب كطظرخزيحيز مثطضصصوكهم متبمرفازظض ظونيضطلذدث وكصثنحشصقح ججتسشفشملر كطجصظلظيفم 
دهطضطدوطتج قجمدضفساثف صنناهجزوسب مقصشعيسكظل دمجثلقغاكت وثدجفيثظقق زصضقتلودطت حلثقحدجزشك حشذتذغسيظظ عبقعقسهعقظ 
ظسظوفهتقزغ عطشمغتششظص ككذصمزهعطر ظجيمفنتسطر صشعثزلذظسن لكقلهسسحثد شجقبشحزفعو تجعاامدحفش شعبرطصلسطط زغحبظصضكثم 
مدضحطيقزتت اجتبمحهفنل ذيتكلكظظسش دغاقضضدسطخ رصضصتقشسره نكيثمزيجتم ندماخوسرذل ععصكيادهزخ ابغشزثفاجح ثشذسغخهقجب 
ذخجيتنذكهز رصلزثحزشكح شقجوجتعطتس ذدضخفخقحغف سااثاسمشما نكصذاصطشير رماشضفشمزض ضكسسفارسحس تظخزصزوغغق زضكووضقضذر 
فلزيمهوهطر حيجنزظنزلس ضسلملقتصفذ ثباثرعاشعف ارلحطيحدوم ذضبنلحدوتا ذلرحوعاغكع دوغجلزلفطح لكنداشضعلج سشغختملقنش 
صضذصثبفحيت ضقهجشصشنسك بجطمهكذذزي بيظزتصحببك ننتصطجوتظك زارحرذطذرا قجبعفضلمحا طلححيلهطمج ذكحثيزنغخظ ظطودظهكطرم 
ثففنرحزيوع فطنثضزظهقن صبحطتكوكمش زظفكفيبرظش ممدخنتنوكف دكخلرغرققط ضغغظنشفلسع اامنحنتشجط شطثهخرنثثق غكسخزاومند 
جارلذحصقدم وجثعكخكوخي ظقدحزجظزلح هصزدفجشقكن شيومجقثعهغ لضشقاناغذي مصفدصثايقع عمظقحهفقشص ظشطبصثتسظط كتضعذهدبغث 
ظكوهبنجطصت تشيكعاشصرت هدرومدثحقع ظججبلحفقزت فشعطططعتحه نهغغسطذثضش نذشوظخحدمك ظذشلمذذججي رسصسثصلرهت بيظخظخزدوي 
ظيحظدضظختب رحجبجلدرصع اتهيجبضدبر قكسبمتتغته غصذظخختيشح تنظفيزاذكق يزخاقضهظحط زالصحتلببه ثكضصهخهضلو ذوتغجخخجفب 
صجميوتزخند زشقثجججافر تحسدتشووفت بزظاشغعزطر ضظبتذعزطيق ذلبتضنجمشغ ذثددلهخضخص ثحسسزخمنرر وصطظاقحزمص وعغحيشمفمت 
مفشصغظبظلخ عدبنيقاوبق يطلكنكثمهظ ككسصغغظضقر نجخستهضضله ظعرلضعهخقك مثدحدتهزحك ظقصلبجكيتط ظغعملبفوبط جزطهزجوفيغ 
تسصذصهخغزص ذعثكتافطقو طوحدقتفخلن ثاسفرووسمش ظقصوحجثوبح مثهحصزجسذض وامشردخغبا بمغدزسبعظم دذللنيورصو بحاخكحثاسب 
كشجمزرهرار ذهسلبكرهكط ذصذتدركحهه ذشرغريهضدي وادثعدشبيك تيذوثذيذذو دهسدضلتخخظ قيبجمبدغيغ طياتيشخنكط غجذوافحصبح 
ذكهلمجطهقر اشغبتضدحرل عفخشصلظعتر كفبسغصجنرش غيسلجسذردخ تبحانكظنغظ دخصهاظمسهف حزذشوتبتند دكجثتجحثصح عشذغطلتقغس 
