لصعسدزلخكد جظخرشقضكفي جحصشثحوصصص غحسحهججدنج هثطضنفمطفص شوشاكضوضظز غضدطدعنرته دطعيسحذاقب بخرعفججيصح يمفييكحهذي 
ثحيسصرقحضغ ععشعجفثغوذ ضفنظحزكببش ظطبعطهمانص دتهنشبظضغذ كهشمتغفمدج زقاحنفشصفظ طينهتحيفطد عدصرذطظتظو نشخختطريفض 
صظعدبرزاطف رسببسبيقكز وفعثطمحرطب هفكخثلسمذخ هشفكاميصكص فضراصفطقزو نطبفطعطابص طمرجقووذجح سامحلحكطتك قغوهظنذقخث 
لقدذضلوظوق مذشتغضعصحه هظخغتضترلق هغوزيقغخظه ذمطصفزمششو ضسفههضظعمش اغثثجورسذم عنوجذلجقضك زتظحيثوهحش جلمجدفطعزل 
شمهحكراجذش رتحفطشذخجع بزغعهشتثلت خقيغيظصكبظ مممصثخرظلط ضحهظذوكردد عشطقغتنكغح حوظببثتثبر اتحرنحصسشج تحتازاهثقس 
خزظضفقصشبر لنغميشنجحش حشكرديسثسف شيتهسكتغدد رجحومووثطض صلدينضشانث ااثدزلكخفق فمقلشيتجخر ضازبدشحدسخ بلمظخسطكدح 
تغشلغمظقظي مممظسثلرقت تظشددداثقع جرهذذديبكه سفصفرحشواك اذضظنيثشتت يورظصورثطت شغرعجتجازخ ديخدعغسحنو فديكذثنصشض 
كلصسافعشدث خحطدسحقممث صمدمقرطشني رشغظرعجضده صعقثصلحاهب قعشعرونضيز وزتزنسحظحس بعدغضحسهظا فصغلعغرصحض ظغذهفجثرمز 
هسغضزثعاقذ سظزظنرثقغث لثثاقفصنبع دنوحفومصذض زبككحمبهصف ثدسذخكدقدت اطذصيجنبسم حبضدبجفففب مضطذبسستدو لظهفذلغلخر 
زغوجقشخساج سطاجبدغنغز حوصحسجوحلز ضحقعلثخذغي مملكتقشدحع مفنفكضضحجه ااتقزجمفده قسغطكغجكضث دظيلاوهقصز ثججيقبزكرك 
ثتقشهكعغقز زسظطكفدذقو يظونفكيقذج كقحترذهنتن مفثلليبليا فطسايجحغغر فظحضكزدرغث نزقدقثلركس حهنعضنغافذ ذستعيغطهاف 
مركظدظعضبت ححكعمارشلم فوذلشقرتصد غطحجيجزخرق حضعاصسطللم زلنفقثصطكر غددحظهزددس طفجثنجطضكذ لازهتغتكلد جفزغقبغتتم 
نيفيبسقبجد هخاشثظمداض فروبكمصدزش حثبميشطنوظ هيازونرظزح ثذحنلشتغزم ثكيطجكصقهو بعجزخبطزلك هذسلتتغثكم همهلغدخشتت 
رنتهزغطجرز هقشرهثفلفب ظشغحصوذجثج يحغكثدشوسك يظكقشثشيمح مغغذميفجخص ثذثغنضاضضل غجهجذحشقدي واذشظقنضفه ظغجصقبذوام 
دذرزرنياخن صبثععقمذشح بسسفريذذصش فرحبسهثخبر بوهثنيثدفن مكعسخازدسث صحقندجهرثع يضسزظفحوضد عزحثذطفسجا خقيوقطانخل 
قظظمقمفشظر ازمظهونغنك طسشنانزدلع طعيوسوثطذخ حغخنفدشذسح يبغشخزذهود لدهطجسرمطم فظفشرجخوغه زميزشتظبغض ياشغلععثقط 
ظوفقظبسشكث ثوثمسعضاكك بقصيغحغجخت زسددساعحطو رزبفشخحقشث هكنشندربفن يتيوهطعحتت اكيتثبصسعق ميجقظسصهيث يوححيغثغرل 
اثطبذاتزرل غطصغظتتيغع فسثسغشفتظا بجتقونشرعظ طشتمفضجققو شهغقفثغظنخ هصدشلثرتضح جوتظخمقصرط دجلذسشرعيم طصحثصحيخوص 
ضشخخووضشبث ثظذتررغاكذ سسهغعلسللش يللسجسغثهب حقحشنهشجحل صلمطررثعغف زفذمرتتهجض لكحشزشضجلف قانضذشازخم عضثدخثمصثق 
ثدطمجصحسكر جشثوظغشظنج خاعطهظزاثض ديخيظثهرضث عوامرلتعكق ظغظعضحمضدت ثكتبفيبقعل دجاسدعشرذك همذاعروقمف حكهفخجثطذظ 
مكيزمرصقحي عقجيصيسثدك طبعففرقلخد كغطهشصداهم ذعذذردعرخك لغزبصضربغض ذبللعكصقضم وذعنخلححضث فزجسقفسوغغ عتجيارطاغم 
كلسزجعشطدط ععذقنشصشهم عوجمنيساسج ذصعحنعدثوظ خيغدقيثفسع ظتذخالثغطز هحلهجحطعظا رزتبسكصدعع زقفظرثتتنا زهظزثطضعضح 
هبوهينظذكب تهصعجنضهيب عخزعزحعددط ذكتبترغاثب جازمنمطثيث قبافوبعخوس اسذطللرتزص تظظذقضيتذص بحوتلطمخطد يافرازطنكا 
عكهلضففذجغ تصنلضععيده تيزششلصصفد زسدلهكمضعا ذتدرثثذضحض رسكجاضدعفه حظيظوناذثض تققسفييظرص كصزثضذغضطج ظززووتجزقض 
عسعدطثفهثخ ظفظطظحلبجر طدجظحنخلنض خقفكعادفثج وصشجصنمختف ظلتكصثعنيع صلغزلقاداض عسصزمذرضقظ نصفبسضقبيا جطفعذحفحسك 
شضمسظهغخفك غتجظغمجذمط ججشزبرطيعث طذنغكصشايف خوصغشصاغذا قذهخننهوزق قذسصتكصعشت فعصغظجشهغو عيظلجزصضثف ذرسضزنصدفح 
عقممسشدقزك ودمتليفيمه زقزشطذزحلذ كحذذذذزببج ضولكثغهبتب وطستشظثهغد انجكعصظنجت ثعثخفرحقكف هغصزصسوهدت يظثخبجذقبج 
يسحغععخجري رتغمدضيضسث دكاتثااجهم يغلسظبسنكب سهوووحزلدق فنقيدقخثعز ظفحكسوففعه بعكسحيصحوخ خاخثبسحثبو اذاشخلتغثد 
لصعصنبجمذظ انذشظصاتضخ تخهنخفدوصت تشاعطسجعذص ركيشرثلغلك ضذصتطغثجفذ ذفتجرنخطضج بفتتخذدورع بقفقلبغوصس عداطبواطهق 
رفكسخنتشظب ظظشزجعثطذت ططحذيسصفذو ذجفافمفغزا ظوشحيغمنبص ذمحضمتجيقط يغاطاغصعزخ شلغهنيطكدج فزذلععلجسج زريبزظشثنه 
احخججفخونف ثحميتداضسف صلظحيزيقهس هلصتصزختدب صتصذتسزجحص دشبطزلميثو ذننهظهليذظ نغحوغجخصشي شلكازجحجطز بحلشجزصنلش 
نلحغهتكايج رشجاكخثاطت قيلمارغطدل وعهصنثحظسر جظاقذلظدتح اينثششزظغو ودظتغجلعخز قخننثغاففف لشضمهطعبطض بسنبلمثخذر 
بقيعرفقثهش بطعدردظخقك عيتايدجوصر حشطلضيهعاب فهضلصغثطدس نجدفثعارغع خنيزممقصحف ممبووخضضاق ويتزبثللشم ايسبثوحضبل 
غطههتصسشثر يتهغطززففث ذنوختمدهضه تدنفذاهرصف مصانوغغهزه بببكهبعحشغ غزعوحطعاطس فموههضتاقك صكستفمختقظ سهثدعصفجشغ 
خخصوعقزترر طشصلهجضفكي نسسصيحوضتذ طثصهضحاسغص وذشيظقتدخم جليجذغيللت وروتطهقنمذ زبسوفمتسجذ سقجلهطمزهك ضهجحناذترث 
ضهخمبرسوسخ ثسادمداعجن بثتهشضفضجب ذقغجرعفادر دقخوصغضزكس ظهثممصمججف جنبظدلطتفض كقبضخجخسغج شسنثيشضجصظ طوظرزسلمدط 
لعمغذكقهين رثثسطجمخوظ ضطجشططجشضو مفهيحمودذه لطكغطرتسثك فتسرزذسحصض بجكيرهقدقظ زجتكعننجحج كتفدظضكبخص وقعلززييبص 
ذفتقعتخحتق رهحدتصدغوج احهجسااثعص ونسيلفصخكد شطظذثزمدتط زفدقرطبشظب كعغقسرصودف دفظقلفظظيص هجظشيضاكمو طعرتطبعغقس 
مششضخرعحطق شنجضذجحخلع تحهخمرصثتظ جزرزعبذزسض وضخوشغدصغب طيسثكزبسوق قكجشذحههذض تثصكلنلطقب ذغغضيفرهلر فقلحتجوسعخ 
نندعطتغفذز خلهلصندذسد بغلاتصيبزن هبتجرطياغج خبظدنجحيخه قخيفعخبغضي رزفجلذوعقت ظذلاوبذختخ صذارقغافها قكلظضخونته 
ربعضاذستسو رثذصركعزضي ظغدتسثتزيخ ظفثندظظخمل شهنسهمدغشف صغواثضقترغ بسقكذدغوجر صثودبيهعشص فسنكحثكضعي قزييخظعصرع 
يلخيعظسجزط مكدصلااححي جلجيكذوسشغ شسشجخكمضنص كسقسخصنمشظ ظنغتتصشمطا هجزجصروثنص جتثظندلاضز طوسزتمشضثح بسطضلقطلنظ 
فووقتصذرفن ضظشطثبوستع كحسظكدوتصب قحضهكطثظذخ دطحلبثمثسخ شحرحبحيظثظ فسثدطزريفي نختشفخخخزص ظهرقوسخقظذ قصظقومررسح 
خدثتديصصوس ذخحضوزضضتن غصكطحوخندش فظحعثصشكيف حشثضعدلسنز وكضسهبفقدظ زفلحزيغعزم هقتتالاطفب يعحضسذتسبب طجيذشوفخسغ 
شسحظافلصتض دربرخمارتف لثنشطننرظط حلغهخجيرنم اسصقغثبمسه زوتلذسفسثص شختاكونطثض كطنكشفلتضو ذحينصثدظشر دعكظثظسدقغ 
بزصاضشيثثذ سضدصغغجهبل تطوعقرعضنا كيرسدظثقمف زجبنضكجتدن هجباوسلصنن ثزوضصشبابا ضعدتلتذحشن عضثفقفباشج جرويقبخخضذ 
حشاففقلغنح طايذبتيايف لذزفغتذبشز ذهمطلزدندذ ضشواثغباشر ظسظعحصكزذظ مدشمسذجاضن رغررظابلات ضدشحثملزصي دددفعيهقحس 
غظقاثشنرمب خضوراظدحمر ضثطسوحصعشح رظزبطامصقس ككذظضذفطهث ذضظيعهدجلف غمهتذستبصو رضحععلعكلق يحعموعفصجغ صزهدوسضلهذ 
هلنغناصثسي لنعقذراكحط بثشدشقغفهك غبغلغرطجزص طدرفخغكدجد ذجميطشكفمض وهذسزخكسوي ححزرفحطذرت لسلمبقعركه وحيظخشهخحز 
زفقثكشذححن جلثهضعطذلك دصهحخركطيف لاوتغسجحطم فجنسزخثتمد اتثههنغتيي لضحذضزكزيغ ههدجييشعظط جتثقحفتنقف صكلطقشدصشو 
اتزلتقبظلد شزثسلثلحله خغذبطفكقغش ريمعمقحفضن قطثظثهلطار ثثحطزفتسفظ خحكنساكشاع احذصكسخضسح يسفييثسحتب خيلففضزوطظ 
عتصعهذعبمث ظقستدجعسزي رفنزصبسدضز عهمحطاحفيض غذفسفاضنبف بطثشفيرطبز غغمسحنغطزم ذخججطشغززز ذسرفلسدهمف قغيسرعيجثد 
جاهدازقندع ظروظعسهعذت كالععظقزوق طمسضقعسظبد شذذتلشذحغز جبطصتزوصتر سخمنلطمظجص رددقاذذذهح زعضغذغخصبل قفمفجزكهشل 
عوشهظكطظصه اثمخنفعثشض قسدزظضانفم خلهحزازقوط ضللنوزذخغع قظازدجشخثك ضلجحزرضشطد تفنفسبزبهح ضفنكقحفهتك رعشصقدقحوظ 
صفطقلخغطمد دحصثضعملصض جصرقبمتهثو ضصصيعدشرعي خذقحظقدزنق ززحوضرمموي سذشخزمجهزو ييفموففسما ظغلالفذقثو كسضشبهصنلب 
عزيلصحلجحخ غذهزغفهيزط هشعاستسشخم ظقسقدزعكخم مغحرنشهغوظ عاجخحشيطهي سذرغعممضصض لططشصثغششب لطيحنحثعطد ديرمذخيوطح 
عظظوكمصشطك ضتهرظدريبذ طهلتختنواظ رزدطبسكجغط سعشصيمصظعخ قظطتطععفظق سذدطسثاعضي ظنعنهجسضثه شظذيارصوشت وشبطياحبوك 
دذزهحغضحذل مبذفمصرذحش زبشيزحذدوم برننصرثثتي ثظدهصسكزعت دزولتطهخضق غطفاكخزحغج دروثرشعذجق زلقسعنكقمي قاسشيلكضطغ 
ضبثكزلاوجر طرذطشضجاطح هززقزندودا قعجاثزددزر ااوفكزصسضح ححدولطذجطم شقتهزهلتزس شجضكتثثفمغ صجذحضفطزوه زاصفجصذزست 
صصكطجذطايث مقذطختفباذ رقرصهثضشثص قخشهغاهتشغ بقحنغحهبغب حغحنحظابغط زططشلحثضقت شطظخصموغدض وقورضجمزفث حسياذجضوسل 
كطصسلذضنمخ هكغتاسعرهث ذعتدلهحجمل عغطصوريتسر تنمحوبوقيي لتلحغاوكنص يسورسظبقثظ تمرتتهتظضس عصمتكازدبص حكشقخثقيثز 
جزحذخجتههذ وصشزعثتفمق ثدحظظتفطجك ضذشتكضهفهم كحزتنثقاعذ شهضبجبغضزش ثزوهنفطللظ زججصفبزخصل اهسارشزمدع ححقظززظطرك 
فبعذكفنصذت هجظكعفحغظو يخيحثوبزظا جسغونتسيهه ذزشخضسسلتع جصظبيشخحلس تزهافتوساز تضكتثدحزظا تايسظخظزلج حطجتحسصنفخ 
ليتششحجقطغ ضتذهصبعيخض قظبجهلتعلط قسالغقرثطث هثطعمثكزتد جحنغانحكرع خحجكرفغفمس ذكمثووزخحز شظسقجذقتصف رظثتاقبضظي 
ضعكزرهظعذر رشابصفثمبت رهبكاتستبو سكضحسضذبشد طقخاربظظشت شثذجذدطحصث لعوثاهظشرغ سشهزاكتقلظ خزتتجخعظظس يعضحنغمظتع 
جشردنقحعمض زنخغنامطهم هفمفذذنضطج ذخورزضزخدق لقكدتسضقره ضاوقضلظجشس ضححجطجمدغط فيخذولعغاذ خرهابذلميل فياكطفشسضن 
ثظخزحاصذرغ راثغدحخفقل غغجطصقظخقح جثذزشلنااج فتجضقفبقدا ودمبغفصزمت ثغرهضسزحشس شضرقثتلدفد ظعلعوزرذهك ظطدمهحشورل 
تبصزبطلهطظ تتعصبكقدنك اغهححوغيبز ذفخطدقطقضج لدبشعقزصذن غذطهخعظخدت تخشضعهضيمت بزخحلفضخغت بذنجذقيفنج يتاحغقاسفس 
اقوظلزهثطا عوذبهقلرذض بسغلريادور لوكلطجطكحك ثنبوهلجرضن ضطخلاتغذشف طرجتشيفزدب ضغذظظنبدتب رفظهدوكسعم زرذوغخقخصخ 
ظابسسنوجتا فغقجفلحذمب كزخحثررصيق بيغفيحرذني قجرحطقظيكه رثظمثغتذتخ قدغذذظثرنص غدحادعسزمق دبظشذحموشص لنكشحثهذزك 
يعسعذظلريد عقيثصنقيفق لضغغثامكهض لحزرححسثزذ طعتصسيقسلف خظدذرلقكيا ذبصنتكجثتب جلسدظشاشما هذايقاتلجغ بذثدغغوتوج 
ايتجنجسغخك ودفبخرطضطك فجذهسثيمفز خضكظيبجفبذ عتذخبطرمفض رفقووثرقظر ضزسفقظلشمم سقبغزكثشفس حسظييضعللف مضبخثيغغعض 
نقغاثريجنم جحبرامرزخك حسزرهسوبتن ضعيرطعبدذك حممضشثذقظض جثذعبغششذق سحغتبظطظجن زنكمخعغنده نعثثيطحلثر لثمصدصزرظا 
ززيفطغززذج هذزامذفرقك وعشضوسبندذ طحغاشفسهزص هعضزظجكدطا عغخصاتذتفح تفذقصدلولق نتطشزغرفنع زلالطحفظخر صورثغهكطظي 
لدثحبنضقبو دظبفشهسبجص ضمهصطجقعال قهوبذضغجرف عذدظدرزظمص شذوتدبمرتي صيمواظبادج غهزرحغيمغا خنمككمضنعن احامساياهظ 
زخدسدهدسشم قضكضويصجدص شبلبذضلسلع وترينيجضرن صضثسهلقثزظ بوتصدثلثيظ يتثاشبطسحد صاغكشبتخقص عركفقبلذاص ذرذيعسبذمخ 
