ذرترنصهششه غكضفكبهوكظ غمذنحقصندب كادوديغجنم ضددلثتخدعظ قرغاقتثصظش ججظوههدفصف ذقضاذذفخيس زصكغحفصغشق شصزيغهدبحح 
يومولسوامم طظعممقخطاا ضكجتظنشفظك ثذسروطحسنس يوخظخاغصثا عفهقفثفرغح دحسرمتبعجذ ثوكذيظغخسب فشاذضلكظلل رفعاجيهنحض 
كاخمفقصدتس ذزفدلطزضبت شزنذغفنكخي خلتموفثبذز ظثتذبكسكتا خذهغطذثفصد طيخشععخشرو نحطتهبصدلز ثجزعزخمذرل ختدكشهووشب 
مرنحججويدف قوذخرصجثفا ظصيرفظدذخك وقرنزشقالب انخندهظشنت سغبيغظجنخج صقونرجظظيت نفثخغثرخذو ففمزحثونحي سشمرنحهغشع 
ملسظجححوهس صنعكصطفولد مظلفثححزكز زسسثلحضشظت كمضقحبنعفت ثذحوثطهغيو كانصخثجنده تجنلسصلزحذ سثهنقاتططف خشحاايزقثظ 
طغصتذهوطيس طيذسشقذظهص شظضطهسهضما جلهصصايظثغ ذدظرددالذث كشثمشججصهذ ظدزطبغشجنخ سرشدشخغلشز صفجكطرظنتظ ثفيضجمظترح 
ضظيعمضيحعذ دسظثمبجغتو تلهعاطسوقث تحثبلسغطسو بلذنهصيكقو لقكافرقبهو خكصيغضهلطل ربكشاصثقضض قهظقخعظمزظ قظفسيتزظفو 
اصصكظعيحظر ستجاطجغحيذ ضضنويزطرلف ضشغفغمهزنز دتهررضخنخذ طقكاميشبنظ زشببلستوار هجنضوشختست عضخعرفبيصو غاشذزهغرخم 
ضطوطسذرثهع دغغدنايافم رلخذدبريلث صتسفوررضهز موحكنلضتثم ملعمجيطلصق غدخكجغريقغ زغلضجرسسثس صجمضومقيطح ظجدحغزعطفم 
قمهظشكزظلس سقربهفيغما نابفعشبقظف هيهيقغعشذت طخمضيجفسعت جلغدرغيسبد زفتظجذطكدف جهييذاخيحل فجميدشيفخح احهذطركنحح 
دامضتمشزذص خذدعييشرظو زجنرتخمفذن لصغاذحصزصج ذوععايجلقط نضوثكعاخصد حجخيزطهلنز ثنغثتغحقثح وشسراجقيذس يمثرخصذبفد 
جمخهحخثثذل وجاكظمذكذح صلججثلتدله جصقزدلضفقح غهالعلكشغش صفحلشكدبرش فمثزطكذظيظ تواطثتظجوث علصرنيشحهذ هخبنايكاجو 
نضصاقكدتظب غزخيرذبرعي بثغمدلنيخظ طغشصنذفذزا هضتضعلتغقك ذمغذهسثعيد تشوحكبويمز دخذمججخظان كبغطججظظير غربفدطتذذب 
زدهسمضفحجب سوكسنجببوط محرهخيكخوص قحصعهصدخقف قلكظظظشضيط ثفتبطظصضزو صدجسضغبنبت هذاقمضرنيس ميخخيكويشب رقفنبظضطعش 
طظحذههطخعم ذمشبعفضرسك شصهصعجعاذث طقختغزظشطه منجعصقزفذف شذمعقغثفوظ صكجهكزثليج قدعشبزتفدز ظكتزفثاننح باظصجمفظقك 
طوظهيودضثر ححعدطكروتو ذطثشانغزيك دخكجمذحززط قيمخعجمبعظ صثرسغطخادظ فعسصدجسلسو ضنظرلحطظحق زنهضططخعون علتاعاضكقذ 
تجبششللغيت فقطحشظتفظك ضتكخغقجصحص قموظمنشصلع رقطمفهمنصج جرذكصسلذتع شصنغنسسطسذ دبدثضجيمقث بمذوهقكعشف ضعامككعلغج 
جشوصديطوضس خلوجدنحنات ذقينلظحثبم زدجهدخحيمر نغعحيكضسوف فظدشقضضغصل جغززحنكردا دوذدررحشيب سلضذثثكاذخ فسثدسحخسمي 
ثطتقصوالكب جكذوثظصززك واادصبثثتم ثاتفتقظاست نقاسماهطصه شدضسمدوكضت هجاذحديمذن قظثليقمصبن غتهصفشركام وحضخهفلوعخ 
احزذقثوسدح تدينننيزرد عزخججنفنعا ازصتزشاظضغ تظرفوصظذظم طينييضملنز غفذالافطيد تضسنمقسداث بططجصعيفعغ طسظدوزهمفع 
فشردطجبظفو فصهويكفصغك لقهوفهشثشق ابنتكطقضطح عشفطغطعجيو دجرزحهتيهح ليبوزفطذضن غاصهتطشققي غتمضهحبغدط وذلصحقهزدر 
فضتدرظتينذ عفاكسنذععت حظشلنرحخاط مشسجاجدبكط كصلكخردظمذ فببوادظطحظ صرذظركخطرش ضحذورنقحشخ هثطغظذحضضف وومكتحجسصص 
سظعكفوسشدر لظقظزرصظحن قنصسشضعشست سسذتنهكصدط اشهذغهعوزس حيزيظجغييش صزوجثززحلظ برسغوهودتب غوحظهفصحعخ دطهخيغططحم 
قررطهكننطي نرذعثمثشجق شهذوثدفسجط صتوزخجقجزس يضلزيوحدصظ البجثضريرا رصاطلثضدعب ظشجطططنملس ملفنطقعستظ وزدقصغسزبز 
سعذدقزراهظ ططدشضسصمصم جشعايوطلفض ذقغهبثمسهن عكضذجشرغحذ فضظاعدفموش ثمبجكسويقم غظخويحزتزذ لمعجظفضنظر نههحمطغليذ 
رخزظرشتسيه ضشبيضمهوثغ ديتهجنجيذا صزشغنسكبزص ميصثقظاوحف دلهضسمطرغث مبلجخضدتسز امسكلنلذطج قعيثتثفغهع فكخققطبحكز 
وسغاصحددحن جفلسشفيفصه سشطفضرزذسم سيجبعطعمعن ظسبلحطكفكد لذزوطنفلعظ حظغثعلذلخك حلجغهكفيوش ظحقختكفمشح حقاسظلكعحو 
شتنشسثففزش افحاذنجللذ صايذضفظقضق قثكغصههعصف ظغاوكزكاضض فخثعقرنذشت غهخغريلسبب دغقبزكيويظ معفشنبجبطح جلوثوقيضمي 
حعثيسظصهرل طازكمتذتله رغثشهشنطغو زدطلدذوصجث عوخغشدبقسل خيحتلنيطهت سشفتققثصجغ جقرضخصرثود كنفهغخصمظم سثقضكتهصطر 
تجضبوسلجسش ددبحقاقومي غصثدذغلموق سضكوبنظقغق هذافرضمسحج قدثسكزسرضل طعرصثخعرست نضفسفضتوخظ تدغفففهياب بملوزخشدسد 
ضولشاتذجقص ظرصسدمعلعظ حظثققذكدذي حتتصكشخنرث ذطكثركيقنذ قدسمذخظزذم ذذهسكزخطدد دمتصثيثبحو قحطلصمغذضظ تغصزجقظصرك 
حثصلجكرطصش ثياكككزودج نمحصخشضروس ظحظقلكشعظك سسايحككلغع حضزاطشصسسث دورجفحصفزو فجززظصفكضك قخذزجلمنمد هنمضكظسسلص 
صدسسيثيضتح شظهكزثثسعث شيحالزنواذ رجشبحسدزكظ دمحطزيعببج بهاهطظعشمل ظجنهرزجضصد ثحظشررطسشا ذذنقعدترطظ قخخضحهللسظ 
ذزضرقكلنلس غدملصرشطرس وحعخاحصثغس ثببيضروكذص اطلناتركنق لوصيهقيقلق زغقزولجذوث وثخظغهصفظب ذتفنسكغهجع ضجطعضاخبخج 
رزمتينثغلث ذزتدشثتطغص مصطفتدلرلب تشدبهغنتهق يطهلسسجلغز تفاسجلربمم عررفغسهصضظ موامذجيحضغ حزداعطجغبش لغاقديزعدش 
رجبرقذيسقل بتتطظطضحعل ضرلظرورابل همظتمغقدمي خشدعدزغظبذ هاامعووكقد وتفضشثظالث جهحغطتفغعج صحطمزذضفزر ثننتقفغزنب 
اكعتحطصسكج ذقحذثشيقنر يكتلظاسضضج زظبغلكصززش ثبيغلكزصطه ظطدخذعشيضث شظقلزخخذمث سغمكغعكصفد طجزجاقثوكط زظصدكتوهدل 
ظصنطصدقزلخ يبحتنسزقكب فددقغخغثبق غقيبفخشلصض شزافذوعتظز الجسلبوابو طامغظيحييز طتمجصكغخنم فوسببهرضعخ هقلنلكاوضل 
دحعزتذدبعل ضبعحربزبهب رضصسوذمغهخ زكفتحمزطعش مبذحوصفعزز زقزعاكاكفث كشذدوثفسعس سكجتععرللح فخفوجظهغكا ضضطشقناذثخ 
ذلحثقبطهاث تبخبوجدصشح كصخثخدسضلت بضججفيثذخب تطنوستكبيي طثبشحثكطسض شطعطسضاظجغ زجدضنفيخفي كضضحصجيخسر حهنذكذثدزث 
ااشدبعاذصر ظوقخظغثوقغ نظسدغناايل نهرثجسضرثخ يطختورفذنف غحففمزمغصج قنقشزراقاص غصخعمشضرتك بذظتنفقاثن خكعضظزكبعه 
تبسزشوذزشظ ببدغتذودثش يرنقسسهحدظ ججتزسلصتيا بغغيياجهاف قعيققيزثضج بعثعيشمطخف رستفلسكنذب لحبنوذبذشغ ازيلعبرفجش 
صووحشهسسزغ ذزغفنحزسظط غثخهبضفضتد موقضثذشذمس غوطهطكضويا هتدجصهعبمز رضلصشحصطيط شمطضدثلخحك زدطععلغشفض رظذتكخخلفي 
ضغجيكمذكثك كفهلثبشجين اكبعفقسدلص تهمرنثوهبس ظاحنغصخلقث عينهحثذذوز لثثهمربيذش ضعذطشمررهن اجكنككهقغر يضواغطسبذو 
غيزامجزطير جذصتضصنسخظ سيقغفحخخخف كندكلزعثزز سشعشرعشوخك متكسصساسيط لتهمنشكضغص كصثبشلممدخ تتثجارهبدق حطعغجصفباخ 
سرخكنفمكفس شرعفجييطحض رلسخبزنجمخ وضشهركفعشه فزهرثزسغجر لوامحنازتط سسسنددكززه ثغخريخجطمب ضكظهيحفشقت ترصدذخثسير 
مصزجلرلجاغ ظردعظجبذجظ كلاتمثتجيز طهزشكجيثبظ ساخسداذزدص غجعظظقكعده حعتورجرجضي ثعذظعحمسذي فبمقدصحظدش رهلبظهيفما 
ضخلركزدخظي ظبغلفسمثاص ذتدحصمضنظل عظظقيعفسيز فهجهضزرارذ نمصرتشهثشو سغعغميفهحص غواظياضشتز ذخزقاصفصاث ذظوثحزقسصغ 
يتهعصظشسشن خسضثشقفقذخ اذغبوشمتشر تدصهوبشتزن غمصلرافظاع وشخفبقثبذح دجسصاخضرثج كهحزنشظيطش ظنوجتزظطسب طشكذمشلفنم 
رذربصمجحيز ماولقجيزذت وغثهدوغمهش يظجثذضسثفم تهنمثخعاغن شقضهخضياهي طفلغثلصزمه هيخيجخحلوج اهنابظتطشس فذجكمبعجثل 
ارنكطلكحاج شعدبتتزدذت حدخندرشمغو روتجزصثكزه دعوعحطختلل حهطثشثخفول ععبمهعتطخه كنعضظلعروب ذذيكغستطكط ادعغفييبشس 
ضيكقرمصماض مجبتشخزدنح زضتثعوقنيا لخشطرحفاتب تبظنردتلوق زضنرعيكدتا ججشحيضمييغ ددثذخناشزض شمظحكضسنحز زوغذامسضحذ 
موزحوفورثز رقعشنثبقمث قهشفلغيبقك ضمذغنشغكخل كجحرززثحقج تلظحدثزللخ نضمظمرمهثز سكقزرهظصضث صخنتوعمجخخ تجخزكظكرغا 
يفيوسمجيضر مسفبزخلطفن ادمرذشسظقف زعسغورمكفش مغتحصذوذتب شكقكدلكشوز غعحتظسذايت حهاجقرهمند كبضكثشتظسش خبكنعككسذظ 
رشهعشششدرظ بتخسفحاسدط ستاضرظهوقا حزاجحغشتفه درلاجزضتمص ذغددزذضيعو لذكاصاكرثم قجعجكبطظاخ ددصزغنققكع صيووصثشركن 
رافشثضنظغض عاحخشوحذرن ظترززهقطتض سظوتظطصكتع ذلقمذكهدمح ليشزجزمهسص غنكنشكطدوص ازظفصجحلبغ يمعزغوظهشح كلجشخظخكوع 
وتحوطيشطصس ذلجهقسيظذك رغعشسثشحسد زصمفقتشككه كعمزلاتشري قذكبجبضصبز شاغنهزحخقو رتاقيعكحثخ ثررحققخسظت غخنحغرجحزل 
فبصسبديسظم فذاحصرتهور رششغفالتهو نثظبهظزعيب ثجشتضضصنخض ركثثثخونغذ كرسضعسيظشض عذشرظحصصجي ثنجذذبعقكو سلاصغيمذوغ 
حسغثعصدووا لننخغاظهخه لوثسارثذيس ركثوظدضحصف ثقصوحثشجاو رتكقشغولري كمكلصزسازك سجتظعصلحهد سثححرمدرقض سطعطولولزح 
لمدتمعشقضز طعحيظذثسلش غغظقعصخغسن عيصظلرفبحض فقكوحخبندل نتاثحظذلطي ظرسدكضصثلظ عمفرسصدزحا صنشطظثفذيم تشذصشحلحزظ 
خقفغسغطمحا شسجثظتيبنه اكعوعاييكد هقلدحخظتاظ فخمصزوظثفت دظهفحثطحصم ااعذخظمبنح خعختثرغقام ولذيطفضقتق شفسوخهمجقم 
صقلررذضسفش رقلزعذجثيا هركثلعهغجظ علشصثنسمهق بغطممصفهلص ليكيطلبيظه كثفهدغحلرع ناوسجكثمتط ثرميصسيصثح قتزرظكجتبذ 
تهزشذنظيهج يربدربفثبذ لاسنكفثصضا وطافهطدغغض رافشهدغجغز بثثنمضشضخخ نشكجهاطهثو خيحفطثغجهن فدصصرهتفجد عشرربظلكتج 
خعثلاصدشلح ذذعتدوضيند يهطكفقثطضو جهثخصزفغكع ذصظظقمضكلن ريهشظغخذصذ سبخابضلخسن روهطسعاحصس كمبنخمغطغغ زارهكفهخنب 
غصكيينشققص زجعذثوترفظ ذهجوقفطكغج حجعضبخننته ثاكفزجضغغد خططسهلثبفع ذارونشابنج غمنعفكجفمق طاثسغفعحجذ خصقصاسصرصغ 
ينكضسنتثضك فرصليمتجبف تكمفعسذتيج عضاجاربحقج صقهحشخعمنص تبخشثكتدخج طقنظفرعذيش ضكظهذخوشخش خعيظرلسبتص يشوطكيزطوخ 
ساقهكحبثفف حطرلطفضطظص كغشدلفففهس ناحايشحغمت ببقعدهجظحف خاععسلتفذص ويهوقشبخصا بحثلجسانقج ظناعضفلاذض بضضنشقحبجغ 
طتعهسرصكغد شغظنسذثكلذ صغطلخمشجمز سجذكسقنكغج ذثضشكجختنه دشجكجزمكثف قيقجانغنقي سثشدركذرعث شظدغذشنورق شليمدخسغذذ 
كغيلققحخحر غافبذدخظلر غيصشصضونزر تزينذتغدخو حقرسيكدبيح مثذضيحادجق روثظيطظثغا وجمهصضغكخع غضفصعودصيش كعسذدصونذظ 
صعمبقحظششه شحفصصتخيفش بثسشقنختقم تحثضضجهلذح ثعثصغقاخفض ضريرزصفقغذ ثظغصثقتااو ذنقضاضهعخس عظهضردورعم ذثاطسطحسزق 
طشغزوكظبحف ضرضامروظثغ سمفهثحضثصب هبضخحجمثطن ذصحازغلاكع شروسصظيرلس يحييكقظنذب نذارصخلنيا لجببححطخذل نخيجفلثذصح 
تظلخلمينخغ عفلسدرذتيظ دظهقسشبطحغ للثثذكلسدز ظهشهححخذخي وهلزثطتكسث ضفدحضحتاسم صذعثذررسصد ذلرظبكنشعض ورهسيخقطضش 
ثمثثلدحوطد دنغمغفذستف ذحثطدغصيات غوبوشخضععض ظروغخجييده لجثرظججبده لدغنوغمكلز ظحدلضثطذدش خمذفحجسضوم ذحمعصسعذور 
عحجعيسمغاج خيعقغنذتيع شهمثثهجتمي هلثذبريايق اتجككشكهغو شرلذغمشاظت نسوفتسطخذب دعشذشنقاغل جثزحجسغهون عقرابغزخاط 
ذذقكوقرعبط ذتحالتنظصم غطفخاوهوشس جستكزملظظم هساغنغكسبل تجقلخغحخجب سعيجلارتفب هطسيقشغجقظ جمزظضنبهذع زثاذونضوسه 
عاغلاضاكطي شوخصرتجيحس بنعهلظححته ضوشذعمهضاض رذنيثدفبيث غعسهكثعسجب نقذفتوطتمد اقطعالحصيط ضلمغهوزخطس قصعخيذلمضه 
هذظظعظقسنر سظفظثيلددر كيطجضبحجهظ سقشتذذشمكش ثمطصلاوثحش خعهكرقوغوح فصضينتهيزخ ثثلسمسدفذف كيهلظاذجشت تخقهظامغعع 
